ԱԱ	ɑ ɑ
Ալթըփարմաքյան	ɑ l tʰ ə pʰ ɑ ɾ m ɑ kʰ j ɑ n
Ալթիպարմաղյան	ɑ l tʰ i p ɑ ɾ m ɑ ʁ j ɑ n
Ալժիր	ɑ l ʒ i ɾ
Ալինա	ɑ l i n ɑ
Ալիստեր	ɑ l i s t e ɾ
Ալիև	ɑ l i j e v
Ալլա	ɑ l l ɑ
Ալլահ	ɑ l l ɑ h
Ալկայոս	ɑ l k ɑ j o s
Ալկիբիադես	ɑ l k i b i ɑ d e s
Ալկման	ɑ l k m ɑ n
Ալկմենե	ɑ l k m e n e
Ալմաթի	ɑ l m ɑ tʰ i
Ալյասկա	ɑ l j ɑ s k ɑ
Ալպեր	ɑ l p e ɾ
Ալջունիդ	ɑ l d͡ʒ u n i d
Ալվարդ	ɑ l v ɑ ɾ tʰ
Ախալցխա	ɑ χ ɑ l t͡sʰ ə χ ɑ
Ախալքալաք	ɑ χ ɑ l kʰ ɑ l ɑ kʰ
Ախալքալաքի	ɑ χ ɑ l kʰ ɑ l ɑ kʰ i
Ախուրյան	ɑ χ u ɾ j ɑ n
Ահարոն	ɑ h ɑ ɾ o n
Ահարոնյան	ɑ h ɑ ɾ o n j ɑ n
Ահրիման	ɑ h ɾ i m ɑ n
Աղաթոն	ɑ ʁ ɑ tʰ o n
Աղայան	ɑ ʁ ɑ j ɑ n
Աղաջանյան	ɑ ʁ ɑ d͡ʒ ɑ n j ɑ n
Աղասի	ɑ ʁ ɑ s i
Աղաֆոն	ɑ ʁ ɑ f o n
Աղդամ	ɑ ʁ d ɑ m
Աղձնիք	ɑ ʁ d͡z n i kʰ
Աղջայան	ɑ ʁ d͡ʒ ɑ j ɑ n
Աղվան	ɑ ʁ v ɑ n
Աղվանք	ɑ ʁ v ɑ n kʰ
Աճառյան	ɑ t͡ʃ ɑ r j ɑ n
Աճեմյան	ɑ t͡ʃ e m j ɑ n
Ամազոն	ɑ m ɑ z o n
Ամալյա	ɑ m ɑ l j ɑ
Ամանոս	ɑ m ɑ n o s
Ամանոր	ɑ m ɑ n o ɾ
Ամբակում	ɑ m b ɑ k u m
Ամերիկա	ɑ m e ɾ i k ɑ
Ամերիկայի	ɑ m e ɾ i k ɑ j i
Ամիրան	ɑ m i ɾ ɑ n
Ամիրանյան	ɑ m i ɾ ɑ n j ɑ n
Ամիրխանյան	ɑ m i ɾ χ ɑ n j ɑ n
Ամիրյան	ɑ m i ɾ j ɑ n
Ամման	ɑ m m ɑ n
Ամուդարյա	ɑ m u d ɑ ɾ j ɑ
Ամուր	ɑ m u ɾ
Ամուրի	ɑ m u ɾ i
Ամստերդամ	ɑ m s t e ɾ d ɑ m
Այծեղջյուր	ɑ j t͡s e ʁ d͡ʒ j u ɾ
Այծեմնիկ	ɑ j t͡s e m n i k
Այուբյան	ɑ j u b j ɑ n
Այսրկովկաս	ɑ j s ə ɾ k o f k ɑ s
Այվազյան	ɑ j v ɑ z j ɑ n
Այրարատ	ɑ j ɾ ɑ ɾ ɑ t
Անադիր	ɑ n ɑ d i ɾ
Անակ	ɑ n ɑ k
Անակրեոն	ɑ n ɑ k ɾ e o n
Անահիտ	ɑ n ɑ h i t
Անանիա	ɑ n ɑ n i ɑ
Անաստաս	ɑ n ɑ s t ɑ s
Անատոլի	ɑ n ɑ t o l i
Անատոլիա	ɑ n ɑ t o l i ɑ
Անաքսագորաս	ɑ n ɑ kʰ s ɑ ɡ o ɾ ɑ s
Անաքսիմանդրոս	ɑ n ɑ kʰ s i m ɑ n d ɾ o s
Անաքսիմենես	ɑ n ɑ kʰ s i m e n e s
Անգլիա	ɑ n ɡ l i j ɑ
Անգմոկիո	ɑ n ɡ m o k i o
Անգոլա	ɑ n ɡ o l ɑ
Անդեր	ɑ n d e ɾ
Անդորա	ɑ n d o ɾ ɑ
Անդորրա	ɑ n d o ɾ ɾ ɑ
Անդրանիկ	ɑ n d ɾ ɑ n i k
Անդրբայկալ	ɑ n d ə ɾ b ɑ j k ɑ l
Անդրեաս	ɑ n d ɾ e ɑ s
Անդրեասյան	ɑ n d ɾ e ɑ s j ɑ n
Անդրիասյան	ɑ n d ɾ i j ɑ s j ɑ n
Անդրկովկաս	ɑ n d ə ɾ k o f k ɑ s
Անդրհորդանան	ɑ n d ə ɾ h o ɾ d ɑ n ɑ n
Անդրոմաքե	ɑ n d ɾ o m ɑ kʰ e
Անթառամ	ɑ n tʰ ɑ r ɑ m
Անժելա	ɑ n ʒ e l ɑ
Անժու	ɑ n ʒ u
Անի	ɑ n i
Անկարա	ɑ n k ɑ ɾ ɑ
Անկոս	ɑ n k o s
Աննա	ɑ n n ɑ
Անուշ	ɑ n u ʃ
Անուշավան	ɑ n u ʃ ɑ v ɑ n
Անտանանարիվու	ɑ n t ɑ n ɑ n ɑ ɾ i v u
Անտարկտիկա	ɑ n t ɑ ɾ k t i k ɑ
Անտիգոնե	ɑ n t i ɡ o n e
Անտիոք	ɑ n t i o kʰ
Անտիոքոս	ɑ n t i o kʰ o s
Անտիսթենես	ɑ n t i s tʰ e n e s
Անտիտավրոս	ɑ n t i t ɑ v ɾ o s
Անտոնի	ɑ n t o n i
Անտոնիոս	ɑ n t o n j o s
Աշգաբատ	ɑ ʃ ɡ ɑ b ɑ t
Աշխաբադ	ɑ ʃ χ ɑ b ɑ d
Աշխեն	ɑ ʃ χ e n
Աշոտ	ɑ ʃ o t
Աշոտյան	ɑ ʃ o t j ɑ n
Աշտարակ	ɑ ʃ t ɑ ɾ ɑ k
Աոմին	ɑ o m i n
Աուլիս	ɑ u l i s
Ապամեա	ɑ p ɑ m e ɑ
Ապարան	ɑ p ɑ ɾ ɑ n
Ապենիններ	ɑ p e n i n n e ɾ
Ապիրատ	ɑ p i ɾ ɑ t
Ապոլլոն	ɑ p o l o n
Ապոլոն	ɑ p o l o n
Ապոլոնիա	ɑ p o l o n i ɑ
Ապուլիա	ɑ p u l i ɑ
Ապպիանոս	ɑ p p i j ɑ n o s
Ապպիոս	ɑ p p i j o s
Ապրես	ɑ p ɾ e s
Ապրեսյան	ɑ p ɾ e s j ɑ n
Աջարիա	ɑ d͡ʒ ɑ ɾ i ɑ
Առաքել	ɑ r ɑ kʰ e l
Առաքելյան	ɑ r ɑ kʰ e l j ɑ n
Առինջ	ɑ r i n d͡ʒ
Առյուծ	ɑ r j u t͡s
Առնո	ɑ r n o
Առուշանյան	ɑ r u ʃ ɑ n j ɑ n
Առտիալ	ɑ r t i ɑ l
Ասատուր	ɑ s ɑ t u ɾ
Ասատուրյան	ɑ s ɑ t u ɾ j ɑ n
Ասատրյան	ɑ s ɑ t ɾ j ɑ n
Ասիա	ɑ s i ɑ
Ասլանճյան	ɑ s l ɑ n t͡ʃ j ɑ n
Ասլանյան	ɑ s l ɑ n j ɑ n
Ասկալոն	ɑ s k ɑ l o n
Ասկանիոս	ɑ s k ɑ n i j o s
Ասմարա	ɑ s m ɑ ɾ ɑ
Ասմերա	ɑ s m e ɾ ɑ
Ասորեստան	ɑ s o ɾ e s t ɑ n
Ասորիք	ɑ s o ɾ i kʰ
Ասպահան	ɑ s p ɑ h ɑ n
Ասպետ	ɑ s p e t
Ասսամ	ɑ s s ɑ m
Աստանա	ɑ s t ɑ n ɑ
Աստղիկ	ɑ s t ʁ i k
Աստվածատուր	ɑ s t v ɑ t͡s ɑ t u ɾ
Աստրախան	ɑ s t ɾ ɑ χ ɑ n
Ասքանազ	ɑ s kʰ ɑ n ɑ z
Ավագ	ɑ v ɑ kʰ
Ավագյան	ɑ v ɑ kʰ j ɑ n
Ավանիսյան	ɑ v ɑ n i s j ɑ n
Ավգերյան	ɑ v ɡ e ɾ j ɑ n
Ավգիաս	ɑ v ɡ i j ɑ s
Ավգուստ	ɑ v ɡ u s t
Ավգուստինոս	ɑ v ɡ u s t i n o s
Ավետ	ɑ v e t
Ավետիս	ɑ v e t i s
Ավետիսյան	ɑ v e t i s j ɑ n
Ավետիք	ɑ v e t i kʰ
Ավետյան	ɑ v e t j ɑ n
Ավինյոն	ɑ v i n j o n
Ավիցեննա	ɑ v i t͡sʰ e n n ɑ
Ավլիս	ɑ v l i s
Ավոգադրո	ɑ v o ɡ ɑ d ɾ o
Ավստրալիա	ɑ f s t ɾ ɑ l i ɑ
Ավստրիա	ɑ f s t ɾ i ɑ
Ատալիա	ɑ t ɑ l i ɑ
Ատիլիոս	ɑ t i l i j o s
Ատոմ	ɑ t o m
Ատրներսեհ	ɑ t ə ɾ n e ɾ s e h
Ատրպատական	ɑ t ə ɾ p ɑ t ɑ k ɑ n
Արա	ɑ ɾ ɑ
Արաբաջյան	ɑ ɾ ɑ b ɑ d͡ʒ j ɑ n
Արաբիա	ɑ ɾ ɑ b i ɑ
Արագած	ɑ ɾ ɑ ɡ ɑ t͡s
Արագածոտն	ɑ ɾ ɑ ɡ ɑ t͡s o t ə n
Արախա	ɑ ɾ ɑ χ ɑ
Արածանի	ɑ ɾ ɑ t͡s ɑ n i
Արամ	ɑ ɾ ɑ m
Արամազդ	ɑ ɾ ɑ m ɑ z d
Արամայիս	ɑ ɾ ɑ m ɑ j i s
Արամանյակ	ɑ ɾ ɑ m ɑ n j ɑ k
Արամյան	ɑ ɾ ɑ m j ɑ n
Արայիկ	ɑ ɾ ɑ j i k
Արապաճյան	ɑ ɾ ɑ p ɑ t͡ʃ j ɑ n
Արարատ	ɑ ɾ ɑ ɾ ɑ t
Արաքս	ɑ ɾ ɑ kʰ s
Արաքսի	ɑ ɾ ɑ kʰ s i
Արբելա	ɑ ɾ b e l ɑ
Արգամ	ɑ ɾ ɡ ɑ m
Արգավանդ	ɑ ɾ ɡ ɑ v ɑ n d
Արգենտինա	ɑ ɾ ɡ e n t i n ɑ
Արգիշտի	ɑ ɾ ɡ i ʃ t i
Արգոլիս	ɑ ɾ ɡ o l i s
Արե	ɑ ɾ e
Արեգ	ɑ ɾ e ɡ
Արեգակ	ɑ ɾ e ɡ ɑ k
Արեկիպա	ɑ ɾ e k i p ɑ
Արես	ɑ ɾ e s
Արզումանյան	ɑ ɾ z u m ɑ n j ɑ n
Արթիկ	ɑ ɾ tʰ i k
Արթունյան	ɑ ɾ tʰ u n j ɑ n
Արթուր	ɑ ɾ tʰ u ɾ
Արժանթին	ɑ ɾ ʒ ɑ n tʰ i n
Արիոս	ɑ ɾ i j o s
Արիստակես	ɑ ɾ i s t ɑ k e s
Արիստակեսյան	ɑ ɾ i s t ɑ k e s j ɑ n
Արիստոտել	ɑ ɾ i s t o t e l
Արիստոփանես	ɑ ɾ i s t o pʰ ɑ n e s
Արիստոֆան	ɑ ɾ i s t o f ɑ n
Արիստոֆանես	ɑ ɾ i s t o f ɑ n e s
Արխանգելսկ	ɑ ɾ χ ɑ n ɡ e l s k
Արծրուն	ɑ ɾ t͡s ɾ u n
Արծրունի	ɑ ɾ t͡s ɾ u n i
Արկադի	ɑ ɾ k ɑ d i
Արկադիոս	ɑ ɾ k ɑ d i j o s
Արման	ɑ ɾ m ɑ n
Արմավիր	ɑ ɾ m ɑ v i ɾ
Արմեն	ɑ ɾ m e n
Արմենակ	ɑ ɾ m e n ɑ k
Արմենուհի	ɑ ɾ m e n u h i
Արմին	ɑ ɾ m i n
Արմինե	ɑ ɾ m i n e
Արշալույս	ɑ ɾ ʃ ɑ l u j s
Արշակ	ɑ ɾ ʃ ɑ k
Արշակյան	ɑ ɾ ʃ ɑ k j ɑ n
Արշակունի	ɑ ɾ ʃ ɑ k u n i
Արշակունյաց	ɑ ɾ ʃ ɑ k u n j ɑ t͡sʰ
Արշամ	ɑ ɾ ʃ ɑ m
Արշավիր	ɑ ɾ ʃ ɑ v i ɾ
Արո	ɑ ɾ o
Արոնյան	ɑ ɾ o n j ɑ n
Արուսյակ	ɑ ɾ u s j ɑ k
Արսեն	ɑ ɾ s e n
Արսենի	ɑ ɾ s e n i
Արսենյան	ɑ ɾ s e n j ɑ n
Արսինե	ɑ ɾ s i n e
Արսլանճյան	ɑ ɾ s l ɑ n t͡ʃ j ɑ n
Արսլանյան	ɑ ɾ s l ɑ n j ɑ n
Արտակ	ɑ ɾ t ɑ k
Արտաշատ	ɑ ɾ t ɑ ʃ ɑ t
Արտաշեն	ɑ ɾ t ɑ ʃ e n
Արտաշես	ɑ ɾ t ɑ ʃ e s
Արտաշիր	ɑ ɾ t ɑ ʃ i ɾ
Արտավազդ	ɑ ɾ t ɑ v ɑ z d
Արտավան	ɑ ɾ t ɑ v ɑ n
Արտեմ	ɑ ɾ t e m
Արտեմիս	ɑ ɾ t e m i s
Արտյոմ	ɑ ɾ t j o m
Արտուքյան	ɑ ɾ t u kʰ j ɑ n
Արցախ	ɑ ɾ t͡sʰ ɑ χ
Արքիլոքոս	ɑ ɾ kʰ i l o kʰ o s
Արքիմեդ	ɑ ɾ kʰ i m e d
Արև	ɑ ɾ e v
Արևելք	ɑ ɾ e v e l kʰ
Արևմուտք	ɑ ɾ e v m u t kʰ
Ափրիկե	ɑ pʰ ɾ i k e
Ափրոդիտե	ɑ pʰ ɾ o d i t e
Աքայա	ɑ kʰ ɑ j ɑ
Աքեմենյան	ɑ kʰ e m e n j ɑ n
Աքիլես	ɑ kʰ i l e s
Աքիլլես	ɑ kʰ i l l e s
Աքքա	ɑ kʰ kʰ ɑ
Աֆանասի	ɑ f ɑ n ɑ s i
Աֆղանստան	ɑ f ʁ ɑ n ə s t ɑ n
Աֆրիկա	ɑ f ɾ i k ɑ
Աֆրոդիտե	ɑ f ɾ o d i t e
Բ	b ə
ԲԴԽ	b ə d ə χ ə
ԲՀԿ	b ə h ə k ə
ԲՈՒՀ	b u h
Բաալբեկ	b ɑ ɑ l b e k
Բաբախանյան	b ɑ b ɑ χ ɑ n j ɑ n
Բաբայան	b ɑ b ɑ j ɑ n
Բաբաջանյան	b ɑ b ɑ d͡ʒ ɑ n j ɑ n
Բաբելոն	b ɑ b e l o n
Բաբլոյան	b ɑ b l o j ɑ n
Բաբկեն	b ɑ b k e n
Բագարատ	b ɑ ɡ ɑ ɾ ɑ t
Բագրատ	b ɑ ɡ ɾ ɑ t
Բագրատյան	b ɑ ɡ ɾ ɑ t j ɑ n
Բագրատունի	b ɑ ɡ ɾ ɑ t u n i
Բագրատունյաց	b ɑ ɡ ɾ ɑ t u n j ɑ t͡sʰ
Բադալյան	b ɑ d ɑ l j ɑ n
Բադարա	b ɑ d ɑ ɾ ɑ
Բադրուպանյան	b ɑ d ɾ u p ɑ n j ɑ n
Բազարդյուզյու	b ɑ z ɑ ɾ d j u z j u
Բազոյան	b ɑ z o j ɑ n
Բաթու	b ɑ tʰ u
Բաթում	b ɑ tʰ u m
Բաթումի	b ɑ tʰ u m i
Բալայան	b ɑ l ɑ j ɑ n
Բալկաններ	b ɑ l k ɑ n n e ɾ
Բալջյան	b ɑ l d͡ʒ j ɑ n
Բախչիսարայ	b ɑ χ t͡ʃʰ i s ɑ ɾ ɑ j
Բակալյան	b ɑ k ɑ l j ɑ n
Բակո	b ɑ k o
Բակունց	b ɑ k u n t͡sʰ
Բակուր	b ɑ k u ɾ
Բակքիլիդես	b ɑ kʰ kʰ i l i d e s
Բահամներ	b ɑ h ɑ m n e ɾ
Բահրեյն	b ɑ h ɾ e j n
Բաղդադ	b ɑ ʁ d ɑ d
Բաղդասար	b ɑ ʁ d ɑ s ɑ ɾ
Բաղդասարյան	b ɑ ʁ d ɑ s ɑ ɾ j ɑ n
Բաղրամյան	b ɑ ʁ ɾ ɑ m j ɑ n
Բամակո	b ɑ m ɑ k o
Բայբարս	b ɑ j b ɑ ɾ s
Բայդեն	b ɑ j d e n
Բայկալ	b ɑ j k ɑ l
Բանգալուր	b ɑ n ɡ ɑ l u ɾ
Բանգլադեշ	b ɑ n ɡ l ɑ d e ʃ
Բանդունգ	b ɑ n d u n ɡ
Բանջուլ	b ɑ n d͡ʒ u l
Բառնաբաս	b ɑ r n ɑ b ɑ s
Բառնաուլ	b ɑ r n ɑ u l
Բասմաջյան	b ɑ s m ɑ d͡ʒ j ɑ n
Բավարիա	b ɑ v ɑ ɾ i ɑ
Բատ	b ɑ t
Բարաք	b ɑ ɾ ɑ kʰ
Բարբադոս	b ɑ ɾ b ɑ d o s
Բարդախչյան	b ɑ ɾ d ɑ χ t͡ʃʰ j ɑ n
Բարդակչյան	b ɑ ɾ d ɑ k t͡ʃʰ j ɑ n
Բարդուղիմեոս	b ɑ ɾ tʰ u ʁ i m e o s
Բարդույթ	b ɑ ɾ tʰ u j tʰ
Բարխուդար	b ɑ ɾ χ u d ɑ ɾ
Բարխուդարյան	b ɑ ɾ χ u d ɑ ɾ j ɑ n
Բարութչյան	b ɑ ɾ u tʰ t͡ʃʰ j ɑ n
Բարսեղ	b ɑ ɾ s e ʁ
Բարսեղյան	b ɑ ɾ s e ʁ j ɑ n
Բաքոս	b ɑ kʰ o s
Բաքու	b ɑ kʰ u
Բեբել	b e b e l
Բեգլարյան	b e ɡ l ɑ ɾ j ɑ n
Բեդոկ	b e d o k
Բեթհովեն	b e tʰ h o v e n
Բեթղեհեմ	b e tʰ χ e h e m
Բել	b e l
Բելառուս	b e l ɑ r u s
Բելգիա	b e l ɡ i ɑ
Բելգորոդ	b e l ɡ o ɾ o d
Բելգրադ	b e l ɡ ɾ ɑ d
Բելիզ	b e l i z
Բելիսարիոս	b e l i s ɑ ɾ i o s
Բելմոպան	b e l m o p ɑ n
Բելուջստան	b e l u d͡ʒ s t ɑ n
Բեկյան	b e k j ɑ n
Բեհեղզեբուղ	b e h e ʁ z e b u ʁ
Բեյրութ	b e j ɾ u tʰ
Բենգալուրու	b e n ɡ ɑ l u ɾ u
Բենիամին	b e n j ɑ m i n
Բենիլյուքս	b e n i l j u kʰ s
Բենին	b e n i n
Բեովտիա	b e o f t i ɑ
Բեռլին	b e r l i n
Բեռն	b e r n
Բեսարաբիա	b e s ɑ ɾ ɑ b i ɑ
Բերբերյան	b e ɾ b e ɾ j ɑ n
Բըրբանք	b ə ɾ b ɑ n kʰ
Բիբլոս	b i b l o s
Բիբուլոս	b i b u l o s
Բիլզերյան	b i l z e ɾ j ɑ n
Բիհար	b i h ɑ ɾ
Բիշան	b i ʃ ɑ n
Բիշկեկ	b i ʃ k e k
Բիշքեկ	b i ʃ kʰ e k
Բիչախչյան	b i t͡ʃʰ ɑ χ t͡ʃʰ j ɑ n
Բիրմա	b i ɾ m ɑ
Բիրմինգամ	b i ɾ m i n ɡ ɑ m
Բիրմինգհեմ	b i ɾ m i n ɡ h e m
Բիրմինհամ	b i ɾ m i n h ɑ m
Բիրոբիջան	b i ɾ o b i d͡ʒ ɑ n
Բլագովեշչենսկ	b l ɑ ɡ o v e ʃ t͡ʃʰ e n s k
Բյուզանդիա	b j u z ɑ n d i ɑ
Բյուզանդիոն	b j u z ɑ n d j o n
Բյութանիա	b j u tʰ ɑ n i ɑ
Բոգոտա	b o ɡ o t ɑ
Բոզաջյան	b o z ɑ d͡ʒ j ɑ n
Բոթսվանա	b o tʰ ə s v ɑ n ɑ
Բոլիվիա	b o l i v i ɑ
Բոլոնիա	b o l o n i ɑ
Բոհեմիա	b o h e m i ɑ
Բոհեմունդ	b o h e m u n d
Բոյաջյան	b o j ɑ d͡ʒ j ɑ n
Բոսնիա	b o s n i ɑ
Բոստոն	b o s t o n
Բոսֆոր	b o s f o ɾ
Բոտոշան	b o t o ʃ ɑ n
Բոտսվանա	b o t ə s v ɑ n ɑ
Բորանյան	b o ɾ ɑ n j ɑ n
Բորժոմ	b o ɾ ʒ o m
Բորժոմի	b o ɾ ʒ o m i
Բուդապեշտ	b u d ɑ p e ʃ t
Բուդաքյան	b u d ɑ kʰ j ɑ n
Բութան	b u tʰ ɑ n
Բութանիա	b u tʰ ɑ n i ɑ
Բուժումբուրա	b u ʒ u m b u ɾ ɑ
Բուլղարիա	b u l ʁ ɑ ɾ i ɑ
Բուխարա	b u χ ɑ ɾ ɑ
Բուխարեստ	b u χ ɑ ɾ e s t
Բուկովինա	b u k o v i n ɑ
Բուրգունդիա	b u ɾ ɡ u n d i ɑ
Բուրունդի	b u ɾ u n d i
Բրազիլիա	b ɾ ɑ z i l i ɑ
Բրահմա	b ɾ ɑ h m ɑ
Բրատիսլավա	b ɾ ɑ t i s l ɑ v ɑ
Բրեժնև	b ə ɾ e ʒ n e v
Բրեժնև	b ɾ e ʒ n e v
Բրետան	b ɾ e t ɑ n
Բրիտանիա	b ɾ i t ɑ n i ɑ
Բրյանսկ	b ɾ j ɑ n s k
Բրյուսել	b ɾ j u s e l
Բրունեյ	b ɾ u n e j
Բրուտյան	b ɾ u t j ɑ n
Գ	ɡ ə
Գաբիկյան	ɡ ɑ b i k j ɑ n
Գաբոն	ɡ ɑ b o n
Գաբորոնե	ɡ ɑ b o ɾ o n e
Գաբրիել	ɡ ɑ pʰ ɾ i j e l
Գագ	ɡ ɑ ɡ
Գագիկ	ɡ ɑ ɡ i k
Գագո	ɡ ɑ ɡ o
Գագուլ	ɡ ɑ ɡ u l
Գագուլիկ	ɡ ɑ ɡ u l i k
Գագրա	ɡ ɑ ɡ ɾ ɑ
Գադես	ɡ ɑ d e s
Գազա	ɡ ɑ z ɑ
Գազայի	ɡ ɑ z ɑ j i
Գազավոն	ɡ ɑ z ɑ v o n
Գալեմճյան	ɡ ɑ l e m t͡ʃ j ɑ n
Գալեն	ɡ ɑ l e n
Գալիլեա	ɡ ɑ l i l e j ɑ
Գալիլեյ	ɡ ɑ l i l e j
Գալիլիա	ɡ ɑ l i l i ɑ
Գալիցիա	ɡ ɑ l i t͡sʰ i ɑ
Գալյոնճյան	ɡ ɑ l j o n t͡ʃ j ɑ n
Գալուստ	ɡ ɑ l u s t
Գալստյան	ɡ ɑ l ə s t j ɑ n
Գաղատիա	ɡ ɑ ʁ ɑ t i ɑ
Գաղիանոս	ɡ ɑ ʁ i ɑ n o s
Գամբիա	ɡ ɑ m b i ɑ
Գամիրք	ɡ ɑ m i ɾ kʰ
Գայանա	ɡ ɑ j ɑ n ɑ
Գայանե	ɡ ɑ j ɑ n e
Գայմագճյան	ɡ ɑ j m ɑ ɡ t͡ʃ j ɑ n
Գանա	ɡ ɑ n ɑ
Գանգես	ɡ ɑ n ɡ e s
Գանդի	ɡ ɑ n d i
Գանդինագար	ɡ ɑ n d i n ɑ ɡ ɑ ɾ
Գանթարճյան	ɡ ɑ n tʰ ɑ ɾ t͡ʃ j ɑ n
Գանիմեդ	ɡ ɑ n i m e d
Գանձակ	ɡ ɑ n d͡z ɑ k
Գաշըգճյան	ɡ ɑ ʃ ə ɡ t͡ʃ j ɑ n
Գառնիկ	ɡ ɑ r n i k
Գասապյան	ɡ ɑ s ɑ p j ɑ n
Գասպարյան	ɡ ɑ s p ɑ ɾ j ɑ n
Գավառ	ɡ ɑ v ɑ r
Գավգամելա	ɡ ɑ v ɡ ɑ m e l ɑ
Գավրիլ	ɡ ɑ v ɾ i l
Գարագաշյան	ɡ ɑ ɾ ɑ ɡ ɑ ʃ j ɑ n
Գարամանյան	ɡ ɑ ɾ ɑ m ɑ n j ɑ n
Գարեգին	ɡ ɑ ɾ e ɡ i n
Գարիկ	ɡ ɑ ɾ i k
Գարճյան	ɡ ɑ ɾ t͡ʃ j ɑ n
Գարսևան	ɡ ɑ ɾ s e v ɑ n
