ং	ŋ
অক্ষোভ	ɔ k kʰ o bʱ
অক্ষোভিত	ɔ k kʰ o bʱ i t̪ o
অক্ষোভে	ɔ k kʰ o bʱ e
অক্ষোভ্য	ɔ k kʰ o b bʱ o
অক্সিজেন	ɔ k ʃ i d͡ʒ e n
অক্সিডেশন	ɔ k ʃ i ɖ e ʃ ɔ n
অখণ্ড	ɔ kʰ ɔ n ɖ o
অখণ্ডতা	ɔ kʰ ɔ n ɖ o t̪ a
অখণ্ডিত	ɔ kʰ o n ɖ i t̪ o
অখণ্ড্য	ɔ kʰ ɔ n ɖ o
অখন	ɔ kʰ o n
অখল	ɔ kʰ ɔ l
অখাত	ɔ kʰ a t̪
অখাদ্য	ɔ kʰ a d̪ d̪ o
অখিণ্ণ	ɔ kʰ i n n o
অখিদ্য	ɔ kʰ i d̪ d̪ o
অখিদ্যমান	ɔ kʰ i d̪ d̪ o m a n
অখিল	o kʰ i l
অখিল	ɔ kʰ i l
অখিলআধান	ɔ kʰ i l a d̪ʱ a n
অখিলখণ্ড	ɔ kʰ i l kʰ ɔ n ɖ o
অখিলেশ	ɔ kʰ i l e ʃ
অখুশি	ɔ kʰ u ʃ i
অখেদ	ɔ kʰ e d̪
অখ্যাত	ɔ k kʰ æ t̪ o
অখ্যাতনামা	ɔ kʰ æ t̪ o n a m a
অখ্যাতনাম্নী	ɔ k kʰ æ t̪ o n a m n i
অখ্যাতি	ɔ k kʰ æ t̪ i
অঘ	ɔ ɡʱ
অঘটন	ɔ ɡʱ ɔ ʈ ɔ n
অঘটিত	ɔ ɡʱ o ʈ i t̪ o
অঘা	ɔ ɡʱ a
অঘাকান্ত	ɔ ɡʱ a k a n t̪ o
অঘাট	ɔ ɡʱ a ʈ
অঘোষ	ɔ ɡʱ o ʃ
অঘোষধ্বনি	ɔ ɡʱ o ʃ d̪ʱ o n i
অঙ্ক	ɔ ŋ k o
অঙ্কদেশ	ɔ ŋ k o d̪ e ʃ
অঙ্কন	ɔ ŋ k o n
অঙ্কনি	ɔ ŋ k o n i
অঙ্কপাত	ɔ ŋ k o p a t̪
অঙ্কপাতন	ɔ ŋ k o p a t̪ o n
অঙ্কবিদ	ɔ ŋ k o b i d̪
অঙ্কবিদ্যা	ɔ ŋ k o b i d̪ d̪ a
অঙ্কবেত্তা	ɔ ŋ k o b e t̪ t̪ a
অঙ্কিত	o ŋ k i t̪ o
অঙ্কুট	o ŋ k u ʈ
অঙ্কুশ	o ŋ k u ʃ
অঙ্কুশী	o ŋ k u ʃ i
অঙ্কুষ	o ŋ k u ʃ
অঙ্ক্য	ɔ ŋ k o
অচেনা	ɔ t ʃ e n a
অঞ্চল	ɔ n t ʃ ɔ l
অণ্ড	ɔ n ɖ o
অতিথি	o t̪ i t̪ʰ i
অথচ	ɔ t̪ʰ ɔ t͡ʃ o
অথবা	ɔ t̪ʰ o b a
অদৃষ্ট	ɔ d̪ ɹ i ʃ t o
অধিকাংশ	o dʱ i k a ŋ ʃ o
অধ্যায়	ɔ d̪ʱː a e̯
অনন্যা	ɔ n o nː a
অনুনাসিক	o n u n a ʃ i k
অনুবাদ	o n u b a d̪
অনুবাদক	o n u b a d̪ ɔ k
অনুভব	ɔ n u bʱ ɔ b
অনুমতি	o n u m o t̪ i
অনুষ্ঠান	o n u ʃ ʈʰ a n
অনেক	ɔ n e k
অন্ধত্ব	ɔ n dʱ o t̪ t̪ o
অন্ন	ɔ nː o
অন্বেষণ	ɔ nː e ʃ ɔ n
অন্য	o nː o
অন্যতম	o nː o t̪ ɔ m o
অন্যায়	ɔ n n ɛ e̯
অফিস	ɔ f i ʃ
অবশ্য	ɔ b o ʃː o
অবাক	ɔ b a k
অভিধান	o b i d̪ʱ a n
অভিধান	o bʱ i d̪ʱ a n
অভিনেতা	ɔ bʱ i n e t̪ a
অভিমন্যু	ɔ bʱ i m ɔ nː u
অভিষিক্ত	ɔ bʱ i ʃ i k t̪ o
অভিষেক	o bʱ i ʃ e k
অভীষ্ট	ɔ bʱ i ʃ ʈ o
অমন	ɔ m o n
অমিত	ɔ m i t̪
অমিতাভ	ɔ m i t̪ a bʱ
অলস	ɔ l o ʃ
অলাত	ɔ l a t̪
অলৌকিক	ɔ l o u̯ k i k
অশনি	ɔ ʃ o n i
অশিক্ষিত	ɔ ʃ i kʰː i t̪ o
অশোক	ɔ ʃ o k
অশোত	ɔ ʃ o t
অশ্বত্থ	ɔ ʃː ɔ tʰː ɔ
অশ্বেত	ɔ ʃː e t̪
অষ্টাশি	ɔ ʃ ʈ a ʃ i
অসভ্য	ɔ ʃ o bʱː o
অসমীয়া	ɔ ʃ o m i̯ a
অসি	ɔ ʃ i
অসীমা	ɔ ʃ i m a
অসুখ	ɔ ʃ u kʰ
অস্থি	o ʃ ʈʰ i
অ্যাঁ	ɛ̃
অ্যানিমে	æ n i m e
অ্যানিমেশন	æ n i m e ʃ ɔ n
অ্যাপোলো	æ p o l o
আ	a
আঁচল	a t ʃ o l
আংশিক	a ŋ ʃ i k
আইচ	a i̯ t ʃ
আইন	a i̯ n
আইয়ুব	a i̯ u̯ b
আউলিয়া	a u̯ l i̯ a
আওতা	a o̯ t̪ a
আকাট	a k a ʈ
আকাঠ	a k a ʈʰ
আকাঠা	a k a ʈʰ a
আকাদেমি	a k a d̪ e m i
আকাম	a k a m
আকালী	a k a l i
আকাশ	a k a ʃ
আকাশি	a k a ʃ i
আখ	a kʰ
আখাত	a kʰ a t̪
আঘাট	a ɡʱ a ʈ
আঘাটা	a ɡʱ a ʈ a
আঘাত	a ɡʱ a t̪
আঙিনা	a ŋ i n a
আচমকা	a t ʃ o m k a
আঞ্চলিক	a n t ʃ ɔ l i k
আঞ্চলিকতা	a n t ʃ ɔ l i k ɔ t̪ a
আট	a ʈ
আটচল্লিশ	a ʈ ɔ t ʃ ɔ lː i ʃ
আটা	a ʈ a
আঠা	a ʈʰ a
আড়াই	a ɽ a i̯
আড়াল	a ɽ a l
আণ্ডা	a n ɖ a
আতশ	a t̪ o ʃ
আতশকাচ	a t̪ ɔ ʃ k a t ʃ
আতা	a t̪ a
আত্মা	a t̪ː a
আদম	a d̪ o m
আদমী	a d̪ o m i
আদা	a d̪ a
আদালত	a d̪ a l ɔ t̪
আদিবাসী	a d̪ i b a ʃ i
আদেশ	a d̪ e ʃ
আধুনিক	a d̪ʱ u n i k
আনন্দ	a n o n d̪ o
আনা	a n a
আনাড়ি	a n a ɽ i
আন্দোলন	a n d̪ o l o n
আন্দোলন	a n d̪ o l ɔ n
আপন	a p o n
আপনাকে	a p n a k e
আপনি	a p n i
আপা	a p a
আপেল	a p e l
আফতাব	a f t̪ a b
আফিম	a f i m
আব	a b
আবেদ	a b e d̪
আব্দুল	a b d̪ u l
আব্দুল্লাহ	a b d̪ u lː a
আব্বা	a bː a
আব্বু	a bː u
আম	a m
আমড়া	a m ɽ a
আমল	a m o l
আমলকী	a m l o k i
আমানত	a m a n ɔ t̪
আমাশয়	a m a ʃ ɔ e̯
আমি	a m i
আয়না	a e̯ n a
আয়েশা	a e̯ ʃ a
আলপনা	a l p o n a
আলবেনিয়া	a l b e n i̯ a
আলভী	a l bʱ i
আলম	a l o m
আলাদা	a l a d̪ a
আলাপ	a l a p
আলামত	a l a m o t̪
আলামত	a l a m ɔ t̪
আলী	a l i
আলু	a l u
আলেম	a l e m
আলো	a l o
আলোক	a l o k
আলোচনা	a l o t ʃ ɔ n a
আল্লাহ্	a lː a
আশমান	a ʃ m a n
আশা	a ʃ a
আশুতোষ	a ʃ u t o ʃ
আশেক	a ʃ e k
আশোত	a ʃ o t
আশ্বিন	a ʃː i n
আষাঢ়	a ʃ a ɽ
আষাঢ়	a ʃ a ɽʱ
আসবাব	a ʃ b a b
আসল	a ʃ o l
আসা	a ʃ a
আসান	a ʃ a n
আসানী	a ʃ a n i
আসিয়া	a ʃ i̯ a
আহমদ	a mː o d̪
আহ্বান	a u̯ bʱ a n
ই	i
ইংল্যান্ড	i ŋ l æ n ɖ
ইউনান	i u̯ n a n
ইউনানি	i u̯ n a n i
ইউনিয়ন	i u̯ n i̯ o n
ইউনিয়ন	i u̯ n i̯ ɔ n
ইচলা	i t ʃ ɔ l a
ইজতেমা	i t ʃ t̪ e m a
ইটানো	i ʈ a n o
ইতিমধ্যে	i t̪ i m ɔ d̪ d̪ʱ e
ইতোমধ্যে	i t̪ ɔ m ɔ d̪ d̪ʱ e
ইত্তেফাক	i t̪ː e f a k
ইত্যাদি	i t̪ː a d̪ i
ইদানীং	i d̪ a n i ŋ
ইনকিলাব	i n k i l a b
ইনকিলাবি	i n k i l a b i
ইনশাআল্লাহ	i n ʃ a l l a h
ইনাম	i n a m
ইনি	i n i
ইন্তেকাল	i n t̪ e k a l
ইমাম	i m a m
ইয়াদ	i̯ a d̪
ইলিশ	i l i ʃ
ইস	i ʃ
ইস্কুল	i ʃ k u l
ইস্পাত	i ʃ p a t̪
ঈ	i
ঈদ	i d̪
ঈশপ	i ʃ ɔ p
ঈশানী	i ʃ a n i
ঈস্ট	i ʃ ʈ
উ	u
উইকিপিডিয়া	u̯ i k i p i ɖ i̯ a
উইল	u̯ i l
উইলিয়াম	u̯ i l i̯ a m
উকিল	u k i l
উখড়ানো	u kʰ ɽ a n o
উচিত	u t ʃ i t̪
উচ্চাকাঙ্ক্ষী	u t ʃː a k a ŋ kʰ i
উট	u ʈ
উঠান	u ʈʰ a n
উড়া	u ɽ a
উড়িষ্যা	u ɽ i ʃː a
উদয়	u d̪ ɔ e̯
উদ্বোধন	u d̪ b o d̪ʱ ɔ n
উদ্ভিদ	u d̪ bʱ i d̪
উধাও	u d̪ʱ a o̯
উনআশি	u n a ʃ i
উনি	u n i
উন্মত্ততা	u n m ɔ t̪ː ɔ t̪ a
উপচানো	u p t ʃ a n o
উপত্যকা	u p ɔ t̪ː ɔ k a
উপদেশ	u p o d̪ e ʃ
উপনয়ন	u p ɔ n o e̯ ɔ n
উপনিষদ	u p o n i ʃ ɔ d̪
উপনীত	u p o n i t̪ o
উপন্যাস	u p o nː a ʃ
উপভাষা	u p ɔ bʱ a ʃ a
উপায়	u p a e̯
উপাসনা	u p a ʃ ɔ n a
উফ	u f
উভ	u bʱ o
উভকামী	u bʱ ɔ k a m i
উম্মত	u mː ɔ t̪
উলু	u l u
উল্কা	u l k a
উল্কি	u l k i
উষ্ণ	u ʃ n o
উৎপত্তি	u t̪ p ɔ t̪ː i
উৎস	u t̪ ʃ o
উৎসাহ	u t ʃ a h o
ঊ	u
ঌ	l i
এ	e
এ	æ
এই	e i
এক	æ k
একচল্লিশ	e k t ʃ ɔ lː i ʃ
একটু	e k ʈ u
একতা	æ k o t̪ a
একলব্য	æ k l o bː o
একলা	æ k l a
একাকী	e k a k i
একাডেমি	æ k a ɖ e m i
একামত	e k a m ɔ t̪
একামত	i k a m ɔ t̪
একুশে	e k u ʃ e
এখন	æ kʰ ɔ n
এখনও	æ kʰ ɔ n o
এখান	e kʰ a n
এটা	e ʈ a
এটি	e ʈ i
এডমন্টন	e ɖ ɔ m ɔ n ʈ ɔ n
এন্থনি	æ n t̪ʰ o n i
এবে	e b e
এভাবে	e bʱ a b e
এমন	æ m o n
এলাকা	e l a k a
এলেম	e l e m
ঐ	o i
ও	o
ওঁ	o m
ওই	o i
ওক্ত	o k t̪
ওক্ত	o k t̪ o
ওক্‌ত	o k t̪
ওখান	o kʰ a n
ওখানে	o kʰ a n e
ওঠা	o ʈʰ a
ওড়না	o ɽ n a
ওড়া	o ɽ a
ওড়িশা	o ɽ i ʃ a
ওতফ	o t̪ ɔ f ɔ
ওফাত	o f a t̪
ওয়াইন	o̯ a i̯ n
ওয়াকফ	o̯ a k f
ওয়াকফ	o̯ a k ɔ f
ওয়াকেফ	o̯ a k e f
ওয়াক্ত	o̯ a k t̪
ওয়াক্‌ফ	o̯ a k f
ওয়াতন	o̯ a t̪ ɔ n
ওয়াদা	o̯ a d̪ a
ওয়ালেদ	o̯ a l e d̪
ওয়ালেদা	o̯ a l e d̪ a
ওয়াশিংটন	o̯ a ʃ i ŋ ʈ ɔ n
ওল	o l
ওলদ	o l ɔ d̪
ওলি	o l i
ওশেনিয়া	o ʃ e n i̯ a
ওষুধ	o ʃ u d̪ʱ
ওষ্ঠ্য	o ʃ ʈʰː o
ঔ	o u
ঔষধ	o u̯ ʃ ɔ d̪ʱ
ক	k ɔ
কই	k o i̯
কওয়া	k ɔ o̯ a
কখন	k ɔ kʰ ɔ n
কখনও	k ɔ kʰ ɔ n o
কখনো	k ɔ kʰ o n o
কঙ্কাল	k ɔ ŋ k a l
কঠিন	k ɔ ʈʰ i n
কণা	k ɔ n a
কণ্ঠ্য	k ɔ n ʈʰː o
কত	k ɔ t̪ o
কথন	k ɔ t̪ʰ ɔ n
কথা	k ɔ t̪ʰ a
কথ্য	k o t̪ʰː o
কদবেল	k ɔ d̪ b e l
কদম	k ɔ d ɔ m
কদাচিৎ	k ɔ d̪ a t ʃ i t̪
কদু	k o d̪ u
কনুই	k o n u̯ i
কন্ডম	k ɔ n ɖ ɔ m
কপাল	k ɔ p a l
কপি	k o p i
কপিত্থ	k o p i t̪ʰː o
কফ	k ɔ f
কফি	k ɔ f i
কবি	k o b i
কবিতা	k o b i t̪ a
কবুল	k o b u l
কবে	k ɔ b e
কম	k ɔ m
কমলা	k ɔ m l a
কমলা	k ɔ m o l a
কম্পাস	k ɔ m p a ʃ
কম্পিউটিং	k ɔ m p i u̯ ʈ i ŋ
কম্বল	k ɔ m b o l
কয়	k ɔ e̯
কয়থ	k ɔ e̯ o t̪ʰ
কয়লা	k ɔ e̯ l a
কয়লাখনি	k ɔ e̯ l a kʰ o n i
কয়েক	k ɔ e k
কয়েতবেল	k ɔ e̯ e t̪ b e l
কয়েথ	k ɔ e t̪ʰ
কয়েদ	k ɔ e d̪
কয়েদখানা	k ɔ e̯ e d̪ kʰ a n a
করা	k ɔ ɹ a
করা	k ɔ ɽ a
কলকাতা	k o l k a t̪ a
কলম	k ɔ l o m
কলা	k ɔ l a
কলিকাতা	k o l i k a t̪ a
কল্লা	k ɔ l l a
কষ্ট	k ɔ ʃ ʈ o
কাউন	k a u̯ n
কাউয়া	k a u̯ a
কাক	k a k
কাকাতুয়া	k a k a t̪ u̯ a
কাচ	k a t ʃ
কাচা	k a t ʃ a
কাঠ	k a ʈʰ
কাঠি	k a ʈʰ i
কাড়া	k a ɽ a
কাথিয়াবাড়	k a t̪ʰ i a b a ɽ
কাদা	k a d̪ a
কান	k a n
কান	k a n o
কানন	k a n o n
কানাডা	k a n a ɖ a
কানুন	k a n u n
কান্না	k a nː a
কাপড়	k a p o ɽ
কাপাস	k a p a ʃ
কাফেলা	k a f e l a
কাবাব	k a b a b
কাবুল	k a b u l
কাম	k a m
কামানো	k a m a n o
কামুক	k a m u k
কায়েনাত	k a e̯ n a t̪
কায়েম	k a e̯ m
কাল	k a l
কালা	k a l a
কালি	k a l i
কালো	k a l o
কাল্পনিক	k a l p o n i k
কাশা	k a ʃ a
কাশি	k a ʃ i
কাশ্মীর	k a ʃ m i ɹ
কি	k i
কিংখাব	k i ŋ kʰ a b
কিংবা	k i ŋ b a
কিতা	k i t̪ a
কিতাব	k i t̪ a b
কিন্তু	k i n t̪ u
কিপটা	k i p ʈ a
কিভাবে	k i bʱ a b e
কিশমিশ	k i ʃ m i ʃ
কিসিম	k i ʃ i m
কীভাবে	k i b a b e
কীভাবে	k i bʱ a b e
কুইবেক	k u̯ i b e k
কুউ	k u̯ u
কুকুর	k u k u ɹ
কুড়ি	k u ɽ i
কুত্তা	k u t̪ː a
কুদেতা	k u d̪ e t̪ a
কুমড়া	k u m ɽ a
কুমড়ো	k u m ɽ o
কুম্ভ	k u m bʱ o
কুয়াশা	k u̯ a ʃ a
কুলখানি	k u l kʰ a n i
কুষ্টিয়া	k u ʃ ʈ i̯ a
কুষ্ঠ	k u ʃ ʈʰ o
কুসুম	k u ʃ u m
কূটনৈতিক	k u ʈ n o i t i k
কে	k e
কেউ	k e u
কেক	k e k
কেকেকে	k e k e k e
কেটলি	k e ʈ l i
কেতা	k e t̪ a
কেন	k æ n
কেন	k æ n o
কেনা	k e n a
কেবল	k e b o l
কেয়া	k e a
কেয়ামত	k e a m ɔ t̪
কেল্লা	k e lː a
কেল্লাফতে	k e lː a f o t̪ e
কেষ্ট	k e ʃ ʈ o
কেষ্টবিষ্টু	k e ʃ ʈ o b i ʃ ʈ u
কৈ	k o i̯
কোকিল	k o k i l
কোঠা	k o ʈʰ a
কোথায়	k o t̪ʰ a e̯
কোন	k o n
কোনখানে	k o n kʰ a n e
কোনা	k o n a
কোনো	k o n o
কোরিয়া	k o ɹ i̯ a
কোলবালিশ	k o l b a l i ʃ
কোষ	k o ʃ
কোষ্টা	k o ʃ ʈ a
কৌমুদী	k o u̯ m u d̪ i
কৌলিক	k o u̯ l i k
কৌশিক	k o u ʃ i k
ক্যা	k æ
ক্যানোপাস	k æ n o p a ʃ
ক্যান্ডি	k æ n ɖ i
ক্ষতি	kʰ o t̪ i
ক্ষমতা	kʰ ɔ m o t̪ a
ক্ষমতাশালী	kʰ ɔ m o t̪ a ʃ a l i
ক্ষমা	kʰ ɔ m a
ক্ষুধা	kʰ u d̪ʱ a
কৎবেল	k ɔ t̪ b e l
খ	kʰ ɔ
খণ্ড	kʰ ɔ n ɖ o
খতম	kʰ ɔ t̪ o m
খবিশ	kʰ o b i ʃ
খাই	kʰ a i̯
খাওয়া	kʰ a o̯ a
খাট	kʰ a ʈ
খাড়া	kʰ a ɽ a
খাতা	kʰ a t̪ a
খাদেম	kʰ a d̪ e m
খান	kʰ a n
খানকি	kʰ a n k i
খানকি	kʰ a ŋ k i
খানদান	kʰ a n d̪ a n
খানা	kʰ a n a
খামাখা	kʰ a m a kʰ a
খায়েশ	kʰ a e̯ ʃ
খাল	kʰ a l
খালি	kʰ a l i
খালেদ	kʰ a l e d̪
খাসী	kʰ a ʃ i
খিদা	kʰ i d̪ a
খুব	kʰ u b
খুশকি	kʰ u ʃ k i
খুশবু	kʰ u ʃ b u
খুশি	kʰ u ʃ i
খূব	kʰ u b
খেত	kʰ e t̪
খেদমত	kʰ e d̪ m ɔ t̪
খেয়ানত	kʰ e a n ɔ t̪
খেয়াল	kʰ e a l
খেয়াল	kʰ æ a l
খেলনা	kʰ æ l n a
খেলা	kʰ æ l a
খোঁড়া	kʰ o ɽ a
খোঁড়ানো	kʰ o ɽ a n o
খোকা	kʰ o k a
খোদ	kʰ o d̪
খোয়াব	kʰ o̯ a b
খোশ	kʰ o ʃ
খ্বাব	kʰ o̯ a b
ঘ	ɡʱ ɔ
ঘড়ি	ɡʱ o ɽ i
ঘণ্টা	ɡʱ ɔ n ʈ a
ঘষা	ɡʱ ɔ ʃ a
ঘাড়	ɡʱ a ɽ
ঘাম	ɡʱ a m
ঘামা	ɡʱ a m a
ঘি	ɡʱ i
ঘুড়ি	ɡʱ u ɽ i
ঘেঁষা	ɡʱ æ̃ ʃ a
ঘোড়া	ɡʱ o ɽ a
ঘোমটা	ɡʱ o m ʈ a
ঘোষ	ɡʱ o ʃ
ঘোষণা	ɡʱ o ʃ o n a
ঘোষাল	ɡʱ o ʃ a l
ঙ	ŋ ɔ
চ	t ʃ ɔ
চওড়া	t ʃ ɔ o̯ ɽ a
চকলেট	t ʃ ɔ k l e ʈ
চকলেট	t ʃ ɔ k o l e ʈ
চচ্চড়ি	t ʃ ɔ t ʃː o ɽ i
চট্টোপাধ্যায়	t ʃ ɔ ʈː o p a d̪ʱː a e̯
চড়া	t ʃ ɔ ɽ a
চন্দন	t ʃ ɔ n d̪ ɔ n
চব্বিশ	t ʃ o bː i ʃ
চম্পা	t ʃ ɔ m p a
চশম	t ʃ ɔ ʃ o m
চশমা	t ʃ ɔ ʃ m a
চা	t ʃ a
চাউল	t ʃ a u̯ l
চাওয়া	t ʃ a o̯ a
চাকমা	t ʃ a k m a
চাকা	t ʃ a k a
চাকু	t ʃ a k u
চাটনি	t ʃ a ʈ n i
চাটা	t ʃ a ʈ a
চাতক	t ʃ a t̪ o k
চাপ	t ʃ a p
চাপাতি	t ʃ a p a t̪ i
চাবি	t ʃ a b i
চাবুক	t ʃ a b u k
চামচ	t ʃ a m o t ʃ
চামচ	t ʃ a m u t ʃ
চামচিকা	t͡ʃ a m t͡ʃ i k a
চামড়া	t ʃ a m ɽ a
চামেলি	t ʃ a m e l i
চাল	t ʃ a l
চালানো	t͡ʃ a l a n o
চালু	t ʃ a l u
চাষ	t ʃ a ʃ
চিংড়ি	t ʃ i ŋ ɽ i
চিকন	t ʃ i k o n
চিকিৎসক	t͡ʃ i k i ʈ ʃ ɔ k
চিঠা	t͡ʃ i ʈʰ a
চিঠি	t ʃ i ʈʰ i
চিড়িয়াখানা	t ʃ i ɽ i̯ a kʰ a n a
চিতা	t ʃ i t̪ a
চিনি	t ʃ i n i
চিবানো	t ʃ i b a n o
চিমনি	t ʃ i m n i
চিলমচি	t ʃ i l ɔ m t ʃ i
চিলি	t ʃ i l i
চিল্লাচিল্লি	t ʃ i lː a t ʃ i lː i
চিহ্ন	t ʃ i nː o
চিৎ	t ʃ i t̪
চীন	t ʃ i n
চীনামাটি	t ʃ i n a m a ʈ i
চুদা	t ʃ u d̪ a
চুন	t ʃ u n
চুম্বন	t ʃ u m b ɔ n
চুল	t ʃ u l
চুলা	t ʃ u l a
চেত	t͡ʃ e t̪ o
চেতা	t͡ʃ e t̪ a
