अ	ə
अः	ə̤
अकड	ə k ə ɖ
अकथित	ə k t̪ʰ i t̪
अकरा	ə k ɾ a
अकल्पनीय	ə k ə l p ə n i j
अक्कड	ə k k ə ɖ
अक्कल	ə k k ə l
अक्कलशून्य	ə k k ə l ɕ u n j ə
अक्का	ə k k a
अक्षम	ə k ʂ ə m
अक्षम्य	ə k ʂ ə m j ə
अक्षर	ə k ʂ ə ɾ
अक्षरशः	ə k ʂ ə ɾ ɕ əʰ
अक्षरी	ə k ʂ ə ɾ i
अखंड	ə kʰ ə ɳ ɖ ə
अखंडसौभाग्यवती	ə kʰ ə ɳ ɖ s ə u bʱ a ɡ j ə ʋ t̪ i
अखबार	ə kʰ b a ɾ
अखेरी	ə kʰ e ɾ i
अखेरीस	ə kʰ e ɾ i s
अखोड	ə kʰ o ɖ
अख्खे	ə k kʰ e
अख्खे	ə k kʰ ə
अगत्य	ə ɡ ə t̪ j ə
अगद	ə ɡ ə d̪
अगोचर	ə ɡ o t͡ɕ ə ɾ
अगोचरपणा	ə ɡ o t͡ɕ ə ɾ p ə ɳ a
अग्नि	ə ɡ n i
अग्यारी	ə ɡ j a ɾ i
अचानक	ə t͡ɕ a n ə k
अजगर	ə d͡ʑ ɡ ə ɾ
अजब	ə d͡ʑ ə b
अजिबात	ə d͡ʑ i b a t̪
अजीर्ण	ə d͡ʑ i ɾ ɳ ə
अजून	ə d͡z u n
अझरबैजान	ə d͡zʱ ə ɾ b ə i d͡ʑ a n
अट	ə ʈ
अटकळ	ə ʈ k ə ɭ̆
अटोळा	ə ʈ o ɭ̆ a
अट्टहास	ə ʈ ʈ ə ɦ a s
अट्टाहास	ə ʈ ʈ a ɦ a s
अठरा	ə ʈʰ ɾ a
अठ्ठावीस	ə ʈ ʈʰ a ʋ i s
अठ्ठेचाळीस	ə ʈ ʈʰ e t͡ɕ a ɭ̆ i s
अठ्ठेताळ	ə ʈ ʈʰ e t̪ a ɭ̆
अठ्ठेताळीस	ə ʈ ʈʰ e t̪ a ɭ̆ i s
अडकणे	ə ɖ ə k ɳ e
अडकणे	ə ɖ ə k ɳ ə
अडकवणे	ə ɖ ə k ə ʋ ə ɳ e
अडकवणे	ə ɖ ə k ə ʋ ə ɳ ə
अडखळणे	ə ɖ kʰ ə ɭ̆ ɳ e
अडचण	ə ɖ t͡s ə ɳ
अडणे	ə ɖ ə ɳ e
अडणे	ə ɖ ə ɳ ə
अडतीस	ə ɖ ə t̪ i s
अडाणी	ə ɖ a ɳ i
अडीच	ə ɖ i t͡ɕ
अढळ	ə ɖʱ ə ɭ̆
अणू	ə ɳ u
अण्णा	ə ɳ ɳ a
अति	ə t̪ i
अतिरेक	ə t̪ i ɾ e k
अतिशय	ə t̪ i ɕ ə j
अतिशयोक्ती	ə t̪ i ɕ j o k t̪ i
अतीत	ə t̪ i t̪
अत्तर	ə t̪ t̪ ə ɾ
अत्यंत	ə t̪ j ə n t̪ ə
अत्याचार	ə t̪ j a t͡ɕ a ɾ
अत्याचारी	ə t̪ j a t͡ɕ a ɾ i
अथर्ववेद	ə t̪ʰ ə ɾ ʋ ə ʋ e d̪
अथवा	ə t̪ʰ ʋ a
अद्भुत	ə d̪ bʱ u t̪
अद्याप	ə d̪ j a p
अधर्म	ə d̪ʱ ə ɾ m ə
अधातू	ə d̪ʱ a t̪ u
अधाशी	ə d̪ʱ a ɕ i
अधिक	ə d̪ʱ i k
अधिकार	ə d̪ʱ i k a ɾ
अधिकारशाही	ə d̪ʱ i k a ɾ ɕ a ɦ i
अधिकृत	ə d̪ʱ i k ɾ u t̪
अधीर	ə d̪ʱ i ɾ
अधीरता	ə d̪ʱ i ɾ t̪ a
अधू	ə d̪ʱ u
अधोगत	ə d̪ʱ o ɡ ə t̪
अधोगती	ə d̪ʱ o ɡ t̪ i
अधोरा	ə d̪ʱ o ɾ a
अननस	ə n n ə s
अनर्थ	ə n ə ɾ t̪ʰ ə
अनाथ	ə n a t̪ʰ
अनाथप्रेत	ə n a t̪ʰ p ɾ e t̪
अनाथालय	ə n a t̪ʰ a l ə j
अनाथाश्रम	ə n a t̪ʰ a ɕ ɾ ə m
अनादर	ə n a d̪ ə ɾ
अनामिका	ə n a m i k a
अनियमित	ə n i j ə m i t̪
अनियमितता	ə n i j m i t̪ t̪ a
अनिल	ə n i l
अनिवार्य	ə n i ʋ a ɾ j ə
अनुक्रम	ə n u k ɾ ə m
अनुक्रमणिका	ə n u k ɾ ə m ɳ i k a
अनुगमन	ə n u ɡ m ə n
अनुपस्थित	ə n u p ə s t̪ʰ i t̪
अनुपस्थिती	ə n u p ə s t̪ʰ i t̪ i
अनुप्रास	ə n u p ɾ a s
अनुबंध	ə n u b ə n d̪ʱ ə
अनुभव	ə n u bʱ ə ʋ
अनुभवणे	ə n u bʱ ə ʋ ɳ e
अनुभवणे	ə n u bʱ ə ʋ ɳ ə
अनुमती	ə n u m ə t̪ i
अनुमान	ə n u m a n
अनुमानगम्य	ə n u m a n ɡ ə m j ə
अनुमानणे	ə n u m a n ɳ e
अनुमानणे	ə n u m a n ɳ ə
अनुमानसिद्ध	ə n u m a n s i d̪ d̪ʱ ə
अनुमानित	ə n u m a n i t̪
अनुमानी	ə n u m a n i
अनुमोदन	ə n u m o d̪ ə n
अनुसार	ə n u s a ɾ
अनेक	ə n e k
अन्	ə n
अन्न	ə n n ə
अन्नसाखळी	ə n n ə s a kʰ ɭ̆ i
अन्य	ə n j ə
अन्यथा	ə n j ə t̪ʰ a
अन्याय	ə n j a j
अपंग	ə p ə ŋ ɡ ə
अपकार	ə p k a ɾ
अपघात	ə p ɡʱ a t̪
अपचन	ə p t͡ɕ ə n
अपमान	ə p m a n
अपराध	ə p ɾ a d̪ʱ
अपराधी	ə p ɾ a d̪ʱ i
अपहरण	ə p ə ɦ ɾ ə ɳ
अपाय	ə p a j
अपायकारक	ə p a j k a ɾ ə k
अपुन	ə p u n
अपुरे	ə p u ɾ e
अपूर्ण	ə p u ɾ ɳ ə
अपूर्णांक	ə p u ɾ ɳ a ŋ k ə
अपेक्षा	ə p e k ʂ a
अप्रतिम	ə p ɾ ə t̪ i m
अप्सरा	ə p s ə ɾ a
अफगाणिस्तान	ə pʰ ɡ a ɳ i s t̪ a n
अफू	ə pʰ u
अबीर	ə b i ɾ
अब्ज	ə b d͡ʑ ə
अब्दुल्ला	ə b d̪ u l l a
अब्रू	ə b ɾ u
अभंग	ə bʱ ə ŋ ɡ ə
अभाव	ə bʱ a ʋ
अभिक्रिया	ə bʱ i k ɾ i j a
अभिनय	ə bʱ i n ə j
अभिनेता	ə bʱ i n e t̪ a
अभिनेत्री	ə bʱ i n e t̪ ɾ i
अभिप्राय	ə bʱ i p ɾ a j
अभिषेक	ə bʱ i ʂ e k
अभ्यंग	ə bʱ j ə ŋ ɡ ə
अभ्यंगस्नान	ə bʱ j ə ŋ ɡ ə s n a n
अभ्यास	ə bʱ j a s
अभ्यासक्रम	ə bʱ j a s ə k ɾ ə m
अमर	ə m ə ɾ
अमरावती	ə m ɾ a ʋ ə t̪ i
अमावस्या	ə m a ʋ ə s j a
अमावास्या	ə m a ʋ a s j a
अमुक	ə m u k
अयना	ə j n a
अयोग्य	ə j o ɡ j ə
अयोध्या	ə j o d̪ʱ j a
अरुंद	ə ɾ u n d̪ ə
अर्चित	ə ɾ t͡ɕ i t̪
अर्जुन	ə ɾ d͡ʑ u n
अर्थ	ə ɾ t̪ʰ ə
अर्थशास्त्र	ə ɾ t̪ʰ ə ɕ a s t̪ ɾ ə
अर्थी	ə ɾ t̪ʰ i
अर्धवट	ə ɾ d̪ʱ ə ʋ ə ʈ
अल्लड	ə l l ə ɖ
अळणी	ə ɭ̆ ɳ i
अवकाश	ə ʋ k a ɕ
अवखळ	ə ʋ kʰ ə ɭ̆
अवघड	ə ʋ ɡʱ ə ɖ
अवघे	ə ʋ ɡʱ e
अवचित	ə ʋ t͡ɕ i t̪
अवमान	ə ʋ m a n
अवयव	ə ʋ j ə ʋ
अवलंब	ə ʋ ə l ə m b ə
अवलंबन	ə ʋ ə l ə m b ə n
अवश्यकता	ə ʋ ə ɕ j ə k t̪ a
अवसर	ə ʋ s ə ɾ
अवस्था	ə ʋ ə s t̪ʰ a
अविरत	ə ʋ i ɾ ə t̪
अविवाहित	ə ʋ i ʋ a ɦ i t̪
अविश्वास	ə ʋ i ɕ ʋ a s
अव्यंग	ə ʋ j ə ŋ ɡ ə
अशक्य	ə ɕ ə k j ə
अशांत	ə ɕ a n t̪ ə
अश्रु	ə ɕ ɾ u
अश्रू	ə ɕ ɾ u
अश्व	ə ɕ ʋ ə
अश्वगंधा	ə ɕ ʋ ə ɡ ə n d̪ʱ a
अश्वपरीक्षा	ə ɕ ʋ ə p ɾ i k ʂ a
अश्वमेध	ə ɕ ʋ ə m e d̪ʱ
अश्वशाला	ə ɕ ʋ ə ɕ a l a
असंभव	ə s ə m bʱ ə ʋ
असभ्य	ə s ə bʱ j ə
असामान्य	ə s a m a n j ə
असुंदर	ə s u n d̪ ə ɾ
असे	ə s e
असे	ə s ə
अस्तित्व	ə s t̪ i t̪ ʋ ə
अस्थी	ə s t̪ʰ i
अस्मान	ə s m a n
अहमदनगर	ə ɦ m ə d̪ n ə ɡ ə ɾ
अहमदाबाद	ə ɦ m ə d̪ a b a d̪
अहो	ə ɦ o
आ	a
आंगोळी	a ŋ ɡ o ɭ̆ i
आंघोळ	a ŋ ɡʱ o ɭ̆
आंचूळ	a n t͡ɕ u ɭ̆
आंधळे	a n d̪ʱ ə ɭ̆ e
आंधळे	a n d̪ʱ ə ɭ̆ ə
आंधळेपणा	a n d̪ʱ ə ɭ̆ e p ə ɳ a
आंबट	a m b ə ʈ
आंबा	a m b a
आंबेहळद	a m b e ɦ ɭ̆ ə d̪
आई	a i
आकडा	a k ɖ a
आकांक्षा	a k a ŋ k ʂ a
आकार	a k a ɾ
आकाश	a k a ɕ
आकाशगंगा	a k a ɕ ɡ ə ŋ ɡ a
आकाशपाळणा	a k a ɕ p a ɭ̆ ɳ a
आकाशी	a k a ɕ i
आकृती	a k ɾ u t̪ i
आक्का	a k k a
आक्रमण	a k ɾ ə m ə ɳ
आखडणे	a kʰ ə ɖ ɳ e
आखडणे	a kʰ ə ɖ ɳ ə
आखणे	a kʰ ɳ e
आखणे	a kʰ ɳ ə
आग	a ɡ
आगगाडी	a ɡ ɡ a ɖ i
आगाऊ	a ɡ a u
आग्नेय	a ɡ n e j ə
आग्रा	a ɡ ɾ a
आचार्य	a t͡ɕ a ɾ j ə
आज	a d͡z
आजकाल	a d͡z k a l
आजमावणे	a d͡z m a ʋ ɳ e
आजमावणे	a d͡z m a ʋ ɳ ə
आजार	a d͡z a ɾ
आजारी	a d͡z a ɾ i
आजी	a d͡ʑ i
आजोबा	a d͡z o b a
आटापिटा	a ʈ a p i ʈ a
आठ	a ʈʰ
आठवडा	a ʈʰ ə ʋ ɖ a
आठवण	a ʈʰ ʋ ə ɳ
आठवणे	a ʈʰ ə ʋ ɳ e
आठवणे	a ʈʰ ə ʋ ɳ ə
आठवे	a ʈʰ ʋ e
आठवे	a ʈʰ ʋ ə
आठी	a ʈʰ i
आड	a ɖ
आढळणे	a ɖʱ ə ɭ̆ ɳ e
आढळणे	a ɖʱ ə ɭ̆ ɳ ə
आण	a ɳ
आणणे	a ɳ ɳ e
आणणे	a ɳ ɳ ə
आणा	a ɳ a
आणि	a ɳ i
आणीबाणी	a ɳ i b a ɳ i
आत	a t̪
आता	a t̪ a
आतुर	a t̪ u ɾ
आतुरता	a t̪ u ɾ t̪ a
आत्मघात	a t̪ m ə ɡʱ a t̪
आत्मघातक	a t̪ m ə ɡʱ a t̪ ə k
आत्मनियंत्रण	a t̪ m ə n i j ə n t̪ ɾ ə ɳ
आत्मसमर्पण	a t̪ m ə s m ə ɾ p ə ɳ
आत्महत्या	a t̪ m ə ɦ ə t̪ j a
आत्मा	a t̪ m a
आदर	a d̪ ə ɾ
आदर्श	a d̪ ə ɾ ɕ ə
आदर्शवाद	a d̪ ə ɾ ɕ ə ʋ a d̪
आदेश	a d̪ e ɕ
आधी	a d̪ʱ i
आनंद	a n ə n d̪ ə
आनंदणे	a n ə n d̪ ɳ e
आनंदणे	a n ə n d̪ ɳ ə
आनंददायी	a n ə n d̪ d̪ a j i
आनंदित	a n ə n d̪ i t̪
आनंदी	a n ə n d̪ i
आपटे	a p ʈ e
आपण	a p ə ɳ
आपत्ती	a p ə t̪ t̪ i
आपले	a p ə l e
आपले	a p ə l ə
आपलेपणा	a p ə l e p ə ɳ a
आपसूक	a p s u k
आपुलकी	a p u l ə k i
आपोआप	a p o a p
आफ्रिका	a pʰ ɾ i k a
आभाळ	a bʱ a ɭ̆
आमंत्रण	a m ə n t̪ ɾ ə ɳ
आमटी	a m ʈ i
आमेन	a m e n
आम्ल	a m l ə
आम्ले	a m l e
आम्ले	a m l ə
आम्ही	a mʱ i
आयत	a j ə t̪
आयते	a j t̪ e
आयते	a j t̪ ə
आयुष्य	a j u ʂ j ə
आयुष्य	a j u ɕ j ə
आयुष्य	a j u s j ə
आयुष्ये	a j u ʂ j e
आयुष्ये	a j u ʂ j ə
आर	a ɾ
आरती	a ɾ t̪ i
आरसा	a ɾ s a
आराम	a ɾ a m
आरोग्य	a ɾ o ɡ j ə
आरोपण	a ɾ o p ə ɳ
आर्द्र	a ɾ d̪ ɾ ə
आर्द्रता	a ɾ d̪ ɾ ə t̪ a
आर्मेनिया	a ɾ m e n i j a
आलय	a l ə j
आलवण	a l ʋ ə ɳ
आलिंगन	a l i ŋ ɡ ə n
आळवणे	a ɭ̆ ə ʋ ɳ e
आळवणे	a ɭ̆ ə ʋ ɳ ə
आळशी	a ɭ̆ ɕ i
आळशीपणा	a ɭ̆ ɕ i p ə ɳ a
आळस	a ɭ̆ ə s
आवट	a ʋ ə ʈ
आवड	a ʋ ə ɖ
आवडणे	a ʋ ə ɖ ɳ e
आवर्जून	a ʋ ə ɾ d͡ʑ u n
आवश्यक	a ʋ ə ɕ j ə k
आवश्यकता	a ʋ ə ɕ j ə k t̪ a
आवाज	a ʋ a d͡z
आवृत्ती	a ʋ ɾ u t̪ t̪ i
आशा	a ɕ a
आशावाद	a ɕ a ʋ a d̪
आशी	a ɕ i
आशीर्वाद	a ɕ i ɾ ʋ a d̪
आश्चर्य	a ɕ t͡ɕ ə ɾ j ə
आश्रम	a ɕ ɾ ə m
आश्वासन	a ɕ ʋ a s ə n
आस	a s
आसाम	a s a m
आसामी	a s a m i
आसू	a s u
आस्तिक	a s t̪ i k
आस्तिकता	a s t̪ i k t̪ a
आस्मानी	a s m a n i
आहत	a ɦ ə t̪
आहार	a ɦ a ɾ
आहारी	a ɦ a ɾ i
आहारोन	a ɦ a ɾ o n
आहेर	a ɦ e ɾ
इ	i
इंगलंड	i ŋ ɡ l ə ɳ ɖ
इंग्रजी	i ŋ ɡ ɾ ə d͡ʑ i
इंग्लंड	i ŋ ɡ l ə ɳ ɖ ə
इंडोनेशियन	i ɳ ɖ o n e ɕ i j ə n
इंडोनेशिया	i ɳ ɖ o n e ɕ i j a
इंदूर	i n d̪ u ɾ
इंद्र	i n d̪ ɾ ə
इंद्रधनुष्य	i n d̪ ɾ ə d̪ʱ n u ʂ j ə
इंद्रनील	i n d̪ ɾ ə n i l
इंद्रायणी	i n d̪ ɾ a j ɳ i
इंद्रिय	i n d̪ ɾ i j
इकडे	i k ɖ e
इकडे	i k ɖ ə
इच्छा	i t͡ɕ t͡ɕʰ a
इजा	i d͡ʑ a
इजिप्त	i d͡ʑ i p t̪ ə
इतर	i t̪ ə ɾ
इतिहास	i t̪ i ɦ a s
इथे	i t̪ʰ e
इथे	i t̪ʰ ə
इनामदार	i n a m d̪ a ɾ
इमान	i m a n
इराक	i ɾ a k
इराण	i ɾ a ɳ
इलाज	i l a d͡z
इशारा	i ɕ a ɾ a
इश्क	i ɕ k ə
इसम	i s ə m
इसहाक	i s ɦ a k
इस्पिक	i s p i k
इस्पितळ	i s p i t̪ ə ɭ̆
इस्राइल	i s ɾ a i l
इस्रायल	i s ɾ a j ə l
इस्लाम	i s l a m
ई	iː
ईद	i d̪
ईशान्य	i ɕ a n j ə
ईश्वर	i ɕ ʋ ə ɾ
उ	u
उंच	u n t͡s ə
उंची	u n t͡ɕ i
उंच्या	u n t͡ɕ j a
उंट	u ɳ ʈ ə
उंडा	u ɳ ɖ a
उंबरठा	u m b ə ɾ ʈʰ a
उकड	u k ə ɖ ə
उकडणे	u k ə ɖ ɳ e
उकडणे	u k ə ɖ ɳ ə
उकरणे	u k ə ɾ ɳ e
उकरणे	u k ə ɾ ɳ ə
उकाडा	u k a ɖ a
उकिरडा	u k i ɾ ɖ a
उखळ	u kʰ ə ɭ̆
उखाणा	u kʰ a ɳ a
उग	u ɡ
उगणे	u ɡ ɳ e
उगणे	u ɡ ɳ ə
उगम	u ɡ ə m
उगवणे	u ɡ ə ʋ ɳ e
उगवणे	u ɡ ə ʋ ɳ ə
उगाच	u ɡ a t͡ɕ
उगारणे	u ɡ a ɾ ɳ e
उगारणे	u ɡ a ɾ ɳ ə
उगीच	u ɡ i t͡ɕ
उघडणे	u ɡʱ ə ɖ ɳ e
उघडणे	u ɡʱ ə ɖ ɳ ə
उचकी	u t͡ɕ k i
उच्चार	u t͡ɕ t͡ɕ a ɾ
उच्चारणे	u t͡ɕ t͡ɕ a ɾ ɳ e
उच्चारणे	u t͡ɕ t͡ɕ a ɾ ɳ ə
उच्छ्वास	u t͡ɕ t͡ɕʰ ʋ a s
उजळणे	u d͡z ə ɭ̆ ɳ e
उजळणे	u d͡z ə ɭ̆ ɳ ə
उजवे	u d͡z ʋ e
उजवे	u d͡z ʋ ə
उजेड	u d͡ʑ e ɖ
उझबेकिस्तान	u d͡ʑʱ b e k i s t̪ a n
उटणे	u ʈ ɳ e
उटणे	u ʈ ɳ ə
उठणे	u ʈʰ ɳ e
उठणे	u ʈʰ ɳ ə
उठवणे	u ʈʰ ə ʋ ɳ e
उठवणे	u ʈʰ ə ʋ ɳ ə
उडणे	u ɖ ə ɳ e
उडणे	u ɖ ə ɳ ə
उडवणे	u ɖ ə ʋ ə ɳ e
उडवणे	u ɖ ə ʋ ə ɳ ə
उडीद	u ɖ i d̪
उड्डाण	u ɖ ɖ a ɳ
उणीव	u ɳ i ʋ
उणे	u ɳ e
उणे	u ɳ ə
उतरणे	u t̪ ə ɾ ɳ e
उतरणे	u t̪ ə ɾ ɳ ə
उतरवणे	u t̪ ɾ ə ʋ ɳ e
उतरवणे	u t̪ ɾ ə ʋ ɳ ə
उतराई	u t̪ ɾ a i
उतार	u t̪ a ɾ
उतावीळ	u t̪ a ʋ i ɭ̆
उत्कंठावर्धक	u t̪ k ə ɳ ʈʰ a ʋ ə ɾ d̪ʱ ə k
उत्कृष्ट	u t̪ k ɾ u ʂ ʈ ə
उत्क्रांती	u t̪ k ɾ a n t̪ i
उत्तम	u t̪ t̪ ə m
उत्तर	u t̪ t̪ ə ɾ
उत्तराधिकार	u t̪ t̪ ə ɾ a d̪ʱ i k a ɾ
उत्तराधिकारी	u t̪ t̪ ə ɾ a d̪ʱ i k a ɾ i
उत्पन्न	u t̪ p ə n n ə
उत्पादन	u t̪ p a d̪ ə n
उत्सर्ग	u t̪ s ə ɾ ɡ ə
उत्सव	u t̪ s ə ʋ
उत्साह	u t̪ s a ɦ ə
उत्साही	u t̪ s a ɦ i
उथळ	u t̪ʰ ə ɭ̆
उदंड	u d̪ ə ɳ ɖ ə
उदजन	u d̪ d͡ʑ ə n
उदय	u d̪ ə j
उदर	u d̪ ə ɾ
उदरनिर्वाह	u d̪ ə ɾ n i ɾ ʋ a ɦ
उदार	u d̪ a ɾ
उदास	u d̪ a s
उदासीन	u d̪ a s i n
उदाहरण	u d̪ a ɦ ɾ ə ɳ
उद्गम	u d̪ ɡ ə m
उद्देश	u d̪ d̪ e ɕ
उद्धट	u d̪ d̪ʱ ə ʈ
उद्या	u d̪ j a
उद्योग	u d̪ j o ɡ
उद्योगपती	u d̪ j o ɡ ə p t̪ i
उद्विग्न	u d̪ ʋ i ɡ n ə
उद्वेग	u d̪ ʋ e ɡ
उधई	u d̪ʱ ə i
उधळणे	u d̪ʱ ə ɭ̆ ɳ e
उधळणे	u d̪ʱ ə ɭ̆ ɳ ə
उधेल	u d̪ʱ e l
उनाड	u n a ɖ
उन्हाळा	u nʱ a ɭ̆ a
उन्हाळी	u nʱ a ɭ̆ i
उपकलम	u p ə k l ə m
उपचार	u p t͡ɕ a ɾ
उपडणे	u p ə ɖ ɳ e
उपडणे	u p ə ɖ ɳ ə
उपदेश	u p d̪ e ɕ
उपनिषद	u p n i ʂ ə d̪
उपनिषद्	u p n i ʂ ə d̪
उपयोग	u p ə j o ɡ
उपराष्ट्रपती	u p ɾ a ʂ ʈ ɾ ə p ə t̪ i
उपलब्ध	u p ə l ə b d̪ʱ ə
उपवास	u p ʋ a s
उपवासी	u p ʋ a s i
उपसर्ग	u p s ə ɾ ɡ ə
उपस्थित	u p ə s t̪ʰ i t̪
उपस्थिती	u p ə s t̪ʰ i t̪ i
उपाध्या	u p a d̪ʱ j a
उपाय	u p a j
उपाशी	u p a ɕ i
उपास	u p a s
उमजणे	u m ə d͡z ɳ e
उमजणे	u m ə d͡z ɳ ə
उमटणे	u m ə ʈ ɳ e
उमटणे	u m ə ʈ ɳ ə
उमदे	u m d̪ e
उमदे	u m d̪ ə
उमलणे	u m ə l ɳ e
उमलणे	u m ə l ɳ ə
उमेद	u m e d̪
उरणे	u ɾ ɳ e
उरणे	u ɾ ɳ ə
उरूस	u ɾ u s
उर्दू	u ɾ d̪ u
उल्हास	u lʱ a s
उल्हासनगर	u lʱ a s n ə ɡ ə ɾ
उशी	u ɕ i
उश्या	u ɕ j a
उष्ट	u ʂ ʈ ə
उष्टे	u ʂ ʈ e
उष्टे	u ʂ ʈ ə
उष्ण	u ʂ ɳ ə
उष्णता	u ʂ ɳ ə t̪ a
उष्णतामान	u ʂ ɳ ə t̪ a m a n
उसण	u s ə ɳ
उसळणे	u s ə ɭ̆ ɳ e
उसळणे	u s ə ɭ̆ ɳ ə
उसासा	u s a s a
उस्मानाबाद	u s m a n a b a d̪
ऊ	u
ऊदबत्ती	u d̪ b ə t̪ t̪ i
ऊन	u n
ऊर्जा	u ɾ d͡ʑ a
ऋ	ɾ u
ऋग्वेद	ɾ u ɡ ʋ e d̪
ऋण	ɾ u ɳ
ऋणी	ɾ u ɳ i
ऋतू	ɾ u t̪ u
ऋषी	ɾ u ʂ i
ए	e
एक	e k
एकक	e k ə k
एकजीव	e k d͡ʑ i ʋ
एकटा	e k ʈ a
एकतीस	e k t̪ i s
एकत्र	e k ə t̪ ɾ ə
एकत्रित	e k ə t̪ ɾ i t̪
एकदा	e k d̪ a
एकपेशीय	e k p e ɕ i j ə
एकवचन	e k ə ʋ t͡ɕ ə n
एकवीस	e k ʋ i s
एकसंध	e k s ə n d̪ʱ ə
एकसंधी	e k s ə n d̪ʱ i
एकादशी	e k a d̪ ɕ i
एकी	e k i
एकेचाळीस	e k e t͡ɕ a ɭ̆ i s
एकोणचाळीस	e k o ɳ t͡ɕ a ɭ̆ i s
एकोणतीस	e k o ɳ t̪ i s
एकोणपन्नास	e k o ɳ p ə n n a s
एकोणीस	e k o ɳ i s
एडमंटन	e ɖ m ə ɳ ʈ ə n
एप्रिल	e p ɾ i l
एफ्राईम	e pʰ ɾ a i m
एरवी	e ɾ ʋ i
एलियाहू	e l i j a ɦ u
एलीया	e l i j a
एळा	e ɭ̆ a
एवं	e ʋ ə m
एस्टोनिया	e s ʈ o n i j a
एस्तेर	e s t̪ e ɾ
ऐ	ə i
ऐंशी	ə i u ɕ i
ऐकणे	ə i k ɳ e
ऐकणे	ə i k ɳ ə
ऐकवणे	ə i k ə ʋ ɳ e
ऐकवणे	ə i k ə ʋ ɳ ə
ऐक्य	ə i k j ə
ऐच्छिक	ə i t͡ɕ t͡ɕʰ i k
ऐतिहासिक	ə i t̪ i ɦ a s i k
ऐतिहासिकता	ə i t̪ i ɦ a s i k t̪ a
ऐरावत	ə i ɾ a ʋ ə t̪
ऐवजी	ə i ʋ d͡ʑ i
ऐश्वर्य	ə i ɕ ʋ ə ɾ j ə
ऐश्वर्या	ə i ɕ ʋ ə ɾ j a
ऑ	ɔ
ऑक्टोबर	ɔ k ʈ o b ə ɾ
ऑगस्ट	ɔ ɡ ə s ʈ
ओ	o
ओंगळ	o ŋ ɡ ə ɭ̆
ओंजळ	o n d͡z ə ɭ̆
ओघ	o ɡʱ
ओझरते	o d͡zʱ ə ɾ t̪ e
ओझरते	o d͡zʱ ə ɾ t̪ ə
ओटा	o ʈ a
ओढणे	o ɖʱ ɳ e
ओढणे	o ɖʱ ɳ ə
ओतणे	o t̪ ɳ e
ओतणे	o t̪ ɳ ə
ओथंबणे	o t̪ʰ ə m b ə ɳ e
ओथंबणे	o t̪ʰ ə m b ə ɳ ə
ओमान	o m a n
ओम्	o m
ओरडणे	o ɾ ə ɖ ɳ e
ओरडणे	o ɾ ə ɖ ɳ ə
ओरडा	o ɾ ɖ a
ओरपणे	o ɾ ə p ɳ e
ओरपणे	o ɾ ə p ɳ ə
ओला	o l a
ओलांडणे	o l a ɳ ɖ ə ɳ e
ओलांडणे	o l a ɳ ɖ ə ɳ ə
ओलावा	o l a ʋ a
ओली	o l i
ओले	o l e
ओले	o l ə
ओळ	o ɭ̆
