ait	a i̯ t
niklot	n i k l ɔ t
nüc	n y t͡s
nügă	n y ɡ ɐ
ofkă	ɔ f k ɐ
paizdă	p a i̯ z d ɐ
pasinaićă	p a s i n a i̯ t͡sʲ ɐ
paṕår	p a pʲ ɒ r
perü	p ɛ r y
pic	p i t͡s
ploxtă	p l ɔ x t ɐ
pojąk	p ɔ j ã k
poro	p ɔ r ɔ
prösü	p r œ s y
prǫt	p r ɔ̃ t
püd	p y t
püli	p y l i
püpel	p y p ɛ l
rekă	r ɛ k ɐ
repo	r ɛ p ɔ
råibo	r ɒ i̯ b ɔ
råmą	r ɒ m ã
råno	r ɒ n ɔ
rösă	r œ s ɐ
rözgă	r œ z ɡ ɐ
rǫkă	r ɔ̃ k ɐ
sarp	s a r p
sauko	s a ʏ̯ k ɔ
sestră	s ɛ s t r ɐ
seťaŕă	s ɛ tʲ a rʲ ɐ
sjot	sʲ ɔ t
slaină	s l a i̯ n ɐ
slåmă	s l ɒ m ɐ
slåmă	s l ɒ m ɔ
slåză	s l ɒ z ɐ
slüvensťĕ	s l y v ɛ n s tʲ ə
slüvü	s l y v y
smölă	s m œ l ɐ
sneg	s n ɛ k
sneďau	s n ɛ dʲ a u̯
snok	s n ɔ k
sredă	s r ɛ d ɐ
sroto	s r ɔ t ɔ
stadźă	s t a d͡zʲ ɐ
stornă	s t ɔ r n ɐ
storĕ	s t ɔ r ə
stråjă	s t r ɒ j ɐ
svaińă	s v a i̯ nʲ ɐ
svećă	s v ɛ t͡sʲ ɐ
svorko	s v ɔ r k ɐ
svorko	s v ɔ r k ɔ
sťauko	s tʲ a ʏ̯ k ɔ
sťöră	s tʲ œ r ɐ
taid	t a i̯ t
tetă	t ɛ t ɐ
tok	t ɔ k
trǫbă	t r ɔ̃ b ɐ
tåi	t ɒ i̯
tǫco	t ɔ̃ t͡s ɔ
varo	v a r ɔ
vaujă	v a u̯ j ɐ
vaustă	v a ʏ̯ s t ɐ
vaux́ü	v a ʏ̯ xʲ y
vauzdă	v a ʏ̯ z d ɐ
vedrü	v ɛ d r y
veslü	v ɛ s l y
vilsă	v i l s ɐ
vis	v i s
vistăraićă	v i s t ɐ r a i̯ t͡sʲ ɐ
vit	v i t
viză	v i z ɐ
vićă	v i t͡s ɐ
viľă	v i lʲ ɐ
vińă	v i nʲ ɐ
vorno	v ɔ r n ɔ
vortă	v ɔ r t ɐ
vortăt	v ɔ r t ɐ t
vrex	v r ɛ x
vå	v ɒ
vådă	v ɒ d ɐ
våsă	v ɒ s ɐ
våtrük	v ɒ t r y k
våuno	v ɒ u̯ n ɔ
våvådă	v ɒ v ɒ d ɐ
våzvoʒ́ăt	v ɒ z v ɔ d͡zʲ ɐ t
våťü	v ɒ tʲ y
vǫďör	v ɔ̃ dʲ œ r
vǫďėl	v ɔ̃ dʲ e l
v́otĕr	vʲ o t ə r
xornă	x ɔ r n ɐ
x́örĕ	xʲ œ r ə
x́üdĕt	xʲ y d ə t
zaimă	z a i̯ m ɐ
zenă	z ɛ n ɐ
ziľozü	z i lʲ ɔ z y
ziľă	z i lʲ ɐ
ziḿă	z i mʲ ɐ
zlåtă	z l ɒ t ɐ
zobo	z ɔ b ɔ
zojąc	z ɔ j ã t͡s
ząt	z ã t
åns	ɒ n s
ă	ɐ
ďodă	dʲ ɔ d ɐ
ďölǫb	dʲ œ l ɔ̃ b
ďölǫbăk	dʲ œ l ɔ̃ b ɐ k
ďöră	dʲ œ r ɐ
ďüst	dʲ y s t
ďüľă	dʲ y lʲ ɐ
ľaibĕt	lʲ a i̯ b ə t
ľotü	lʲ ɔ t y
ťåmă	tʲ ɒ m ɐ
ťösă	tʲ œ s ɐ
ťöză	tʲ œ z ɐ
ťün	tʲ y n
ťüpål	tʲ y p ɒ l
ťėd	tʲ e t
ťėnąʒ	tʲ e n ã d͡z
źornü	zʲ ɔ r n y
ḿoro	mʲ ɔ r ɔ
ḿåglă	mʲ ɒ ɡ l ɐ
ṕosăk	pʲ ɔ s ɐ k
ṕås	pʲ ɒ s
ṕǫtă	pʲ ɔ̃ t ɐ
