آلھݨا	aː lʰ ɳ aː
ݙاڑھی	ɗ aː ɽʰ iː
ݙسݨ	ɗ ə sː ə ɳ
ݙسݨ	ɗ ɪ sː ə ɳ
ݙند	ɗ ə n d̪
ݙو	ɗ uː
ݙہ	ɗ ə h
ݙینہہ	ɗ ĩː h
ݙینہہ	ɗ ẽː h
ݙیوݨ	ɗ eː v ə ɳ
ݙیکھݨ	ɗ eː kʰ ə ɳ
ݨ	ɳ
