Aaju	aː j ʊ
Japanimiu	j ə p ə n y m ɪ ʊ
Jarte	j ə t t ɜ
Jarti	j ə t t͡s ɪ
Jense	j ɜ n s ɜ
Jooriina	j ɔː ʁ ɪː n ə
Joorsi	j ɔʶː s s ɪ
Juaanna	j ʊ əː n n ə
Jukku	j ʊ k k ʊ
Juuna	j ʊː n ə
Kaaliina	k əː l ɪː n ə
Kajistiaat	k ə j ɪ s t͡s ɪ əː t
Kalistat	k ə l ɪ s t ə t
Kalistiaat	k ə l ɪ s t͡s ɪ əː t
Kaluliit	k ə l ʉ l ɪː t
Kariita	k ɑ ʁ ɪː t ə
Katta	k ə t t ə
Kattak	k ə t t ə k
Kattaliit	k ə t t ə l ɪː t
Kiista	k ɪː s t ə
Kiistat	k ɪː s t ə t
Kiistiina	k ɪː s t͡s ɪː n ə
Kikivik	k ɪ k ɪ v ɪ k
Kikkik	k ɪ k k ɪ k
Kimmernaq	k y m m ɜ n n ɑ q
Kista	k ɪ s t ə
Kitura	k ɪ t o ʁ ə
Kuluk	k ʊ l ʊ k
Kulunnguaq	k ʊ l ʊ ŋ ŋ ʊ ɑ q
Kunngu	k ʊ ŋ ŋ ʊ
Kunuk	k ʊ n ʊ k
Kuunu	k ʊː n ʊ
Laakki	l əː k k ɪ
Laannguaq	l əː ŋ ŋ ʊ ɑ q
Lippikka	l y p p ɪ k k ə
Maalat	m əː l ə t
Maalia	m əː l ɪ ə
Maaliaanna	m əː l ɪ əː n n ə
Maannguaq	m əː ŋ ŋ ʊ ɑ q
Maariu	m ɑː ʁ ɪ ʊ
Maasi	m əː s ɪ
Makka	m ə k k ə
Makkak	m ə k k ə k
Makkalitta	m ə k k ə l ɪ t t ə
Malake	m ə l ə k ɜ
Maliina	m ə l ɪː n ə
Mannarsi	m ə n n ə s s ɪ
Masaana	m ə s əː n ə
Masaatsiaq	m ə s əː t t͡s ɪ ɑ q
Masaitsiaq	m ə s ə ɪ t t͡s ɪ ɑ q
Masauna	m ə s ə ʊ n ə
Mase	m ə s ɜ
Mate	m ə t ɜ
Matta	m ə t t ə
Mattaliit	m ə t t ə l ɪː t
Meqqusaaq	m ɜ q q ʊ s ɑː q
Mikaali	m ɪ k əː l ɪ
Mikkili	m ɪ k k ɪ l ɪ
Minik	m ɪ n ɪ k
Naalakkersuisut	n əː l ə k k ɜ s s ʊ ɪ s ʉ t
Naasunnguaq	n əː s ʊ ŋ ŋ ʊ ɑ q
Najaaraq	n ə j ɑː ʁ ɑ q
Najannguaq	n ə j ə ŋ ŋ ʊ ɑ q
Napaartoq	n ə p əʶː t t ɔ q
Natuk	n ə t ʊ k
Niisi	n ɪː s ɪ
Nikku	n ɪ k k ʊ
Nikkulaat	n ɪ k k ʊ l əː t
Nikkuliinnguaq	n ɪ k k ʊ l ɪː ŋ ŋ ʊ ɑ q
Nikkuliit	n ɪ k k ʊ l ɪː t
Nivi	n ɪ v ɪ
Nivikka	n ɪ v ɪ k k ə
Norsaq	n ɔ s s ɑ q
Nukannguaq	n ʊ k ə ŋ ŋ ʊ ɑ q
Oquna	ɔ q ʊ n ə
Orto	ɔ t t ɔ
Ortu	ɔ t t ʊ
Paaliit	p əː l ɪː t
Paalu	p əː l ʊ
Paarma	p əʶː m m ə
Paarnannguaq	p əʶː n n ə ŋ ŋ ʊ ɑ q
Palleq	p ə ɬ ɬ ɜ q
Paneeraq	p ə n ɜː ʁ ɑ q
Paninnguaq	p ə n ɪ ŋ ŋ ʊ ɑ q
Parnuuna	p ə n n ʉː n ə
Piita	p ɪː t ə
Piitaq	p ɪː t ɑ q
Pilunnguaq	p ɪ l ʊ ŋ ŋ ʊ ɑ q
Pilutannguaq	p ɪ l ʉ t ə ŋ ŋ ʊ ɑ q
Pilutaq	p ɪ l ʉ t ɑ q
Pipaluk	p y p ə l ʊ k
Pitse	p ɪ t t͡s ɜ
Pitsi	p ɪ t t͡s ɪ
Qaaqqutsiaq	q ɑː q q ʊ t t͡s ɪ ɑ q
Qittoora	q ɪ t t ɔː ʁ ə
Qitura	q ɪ t o ʁ ə
Qivioq	q ɪ v ɪ ɔ q
Qulutak	q ʊ l ʉ t ə k
Qulutana	q ʊ l ʉ t ə n ə
Qulutannguaq	q ʊ l ʉ t ə ŋ ŋ ʊ ɑ q
Qulutaq	q ʊ l ʉ t ɑ q
Qunaaq	q ʊ n ɑː q
Qunerseeq	q ʊ n ɜ s s ɜː q
Qupanuk	q ʊ p ə n ʊ k
Riikki	ʁ ɪː k k ɪ
Rikki	ʁ ɪ k k ɪ
Saalat	s əː l ə t
Saalu	s əː l ʊ
Saamu	s əː m ʊ
Saamua	s əː m ʊ ə
Saarannguaq	s ɑː ʁ ə ŋ ŋ ʊ ɑ q
Sakka	s ə k k ə
Sakkak	s ə k k ə k
Salik	s ə l ɪ k
Saqqaq	s ɑ q q ɑ q
Seeri	s ɜː ʁ ɪ
Serminnguaq	s ɜ m m ɪ ŋ ŋ ʊ ɑ q
Sialoorta	s ɪ ə l ɔʶː t t ə
Siimuut	s yː m ʊː t
Siina	s ɪː n ə
Siiva	s ɪː v ə
Siivali	s ɪː v ə l ɪ
Sikkerneq	s ɪ k k ɜ n n ɜ q
Sikkerninnguaq	s ɪ k k ɜ n n ɪ ŋ ŋ ʊ ɑ q
Sikkersoq	s ɪ k k ɜ s s ɔ q
Suersaq	s ʊ ɜ s s ɑ q
Suusaat	s ʉː s əː t
Taatsiannguaq	t əː t t͡s ɪ ə ŋ ŋ ʊ ɑ q
Taatsiaq	t əː t t͡s ɪ ɑ q
Tasiilaq	t ə s ɪː l ɑ q
Tasmaniamiu	t ə s m ə n ɪ ə m ɪ ʊ
Tiinasi	t͡s ɪː n ə s ɪ
Toornarsuk	t ɔʶː n n ə s s ʊ k
Tukummeq	t ʊ k ʊ m m ɜ q
Tupaarnaq	t ʊ p əʶː n n ɑ q
Tuppi	t ʊ p p ɪ
Tuppia	t ʊ p p ɪ ə
Uiloq	u ɪ l ɔ q
Ujoorsi	u j ɔʶː s s ɪ
Ujuaanna	u j ʊ əː n n ə
Ujukku	u j ʊ k k ʊ
Utertoq	u t ɜ t t ɔ q
Utertunnguaq	u t ɜ t t ʊ ŋ ŋ ʊ ɑ q
Uularik	uː l ɑ ʁ ɪ k
Veerti	v ɜʶː t t͡s ɪ
aaffaffak	aː f f ə f f ə k
aaffanniaq	aː f f ə n n ɪ ɑ q
aaffanniarpoq	aː f f ə n n ɪ ə p p ɔ q
aaffanniusiorpoq	aː f f ə n n ɪ ʊ s ɪ ɔ p p ɔ q
aaffanniut	aː f f ə n n ɪ ʊ t
aaffanniutaaruppoq	aː f f ə n n ɪ ʊ t ɑː ʁ ʊ p p ɔ q
aaffappoq	aː f f ə p p ɔ q
aaffaq	aː f f ɑ q
aaffarmiippoq	aː f f ə m m yː p p ɔ q
aagiak	aː ɣ ɪ ə k
aagiaq	aː ɣ ɪ ɑ q
aaja	aː j ə
aak	aː k
aakilliorneq	aː k ɪ ɬ ɬ ɪ ɔ n n ɜ q
aakilliorpoq	aː k ɪ ɬ ɬ ɪ ɔ p p ɔ q
aalaakkak	aː l əː k k ə k
aalajavoq	aː l ə j ə v ɔ q
aalaneq	aː l ə n ɜ q
aalaq	aː l ɑ q
aalaqqajuppoq	aː l ɑ q q ə j ʊ p p ɔ q
aalavoq	aː l ə v ɔ q
aali	aː l ɪ
aalisagaq	aː l ɪ s ə ɣ ɑ q
aalisaq	aː l ɪ s ɑ q
aalisarpaa	aː l ɪ s ə p p əː
aalisarpoq	aː l ɪ s ə p p ɔ q
aalisartoq	aː l ɪ s ə t t ɔ q
aallaat	aː ɬ ɬ əː t
aamanganiaq	aː m ə ŋ ə n ɪ ɑ q
aamma	aː m m ə
aanaa	aː n əː
aanak	aː n ə k
aanaq	aː n ɑ q
aaneq	aː n ɜ q
aap	aː p
aapaalingiagaa	aː p əː l ɪ ŋ ɪ ə ɣ əː
aapakaaq	aː p ə k ɑː q
aapakaatsiaq	aː p ə k əː t t͡s ɪ ɑ q
aapavoq	aː p ə v ɔ q
aappalaarpoq	aː p p ə l əʶː p p ɔ q
aappalaartoq	aː p p ə l əʶː t t ɔ q
aappalajaarpoq	aː p p ə l ə j əʶː p p ɔ q
aappalajappoq	aː p p ə l ə j ə p p ɔ q
aappalik	aː p p ə l ɪ k
aappallarippoq	aː p p ə ɬ ɬ ɑ ʁ y p p ɔ q
aappallarissoq	aː p p ə ɬ ɬ ɑ ʁ ɪ s s ɔ q
aappalloqut	aː p p ə ɬ ɬ ɔ q ʊ t
aappaluarpoq	aː p p ə l ʊ ə p p ɔ q
aappalukujuppoq	aː p p ə l ʊ k ʊ j ʊ p p ɔ q
aappalunguserpoq	aː p p ə l ʊ ŋ ʊ s ɜ p p ɔ q
aappaluppoq	aː p p ə l ʊ p p ɔ q
aappaluttoq	aː p p ə l ʉ t t ɔ q
aappaq	aː p p ɑ q
aappariit	aː p p ɑ ʁ ɪː t
aappersariaq	aː p p ɜ s s ɑ ʁ ɪ ɑ q
aappilattoq	aː p p ɪ l ə t t ɔ q
aappillerpoq	aː p p ɪ ɬ ɬ ɜ p p ɔ q
aaq	ɑː q
aaqanngitsoq	ɑː q ə ŋ ŋ ɪ t t͡s ɔ q
aaqarpoq	ɑː q ə p p ɔ q
aaqartarneq	ɑː q ə t t ə n n ɜ q
aaqqat	ɑː q q ə t
aariak	ɑː ʁ ɪ ə k
aarlaat	aʶː ɬ ɬ əː t
aarlorpoq	aʶː ɬ ɬ ɔ p p ɔ q
aarlorussivoq	aʶː ɬ ɬ ɔ ʁ ʊ s s ɪ v ɔ q
aarluarsuk	aʶː ɬ ɬ ʊ ə s s ʊ k
aarluk	aʶː ɬ ɬ ʊ k
aasiak	aː s ɪ ə k
aasik	aː s ɪ k
aataa	aː t əː
aataaliannguaq	aː t əː l ɪ ə ŋ ŋ ʊ ɑ q
aataaq	aː t ɑː q
aataq	aː t ɑ q
aatsaat	aː t t͡s əː t
aatsippaa	aː t t͡s y p p əː
aatsitassaq	aː t t͡s ɪ t ə s s ɑ q
aattorpaa	aː t t ɔ p p əː
aavaa	aː v əː
aavarfik	aː v ə f f ɪ k
aavariarpoq	aː v ɑ ʁ ɪ ə p p ɔ q
aavarpaa	aː v ə p p əː
aavarpoq	aː v ə p p ɔ q
aaveq	aː v ɜ q
aavooq	aː v ɔː q
aavoq	aː v ɔ q
abrikosi	a p ʁ ɪ k ɔ s ɪ
afrikarmiu	a f ʁ ɪ k ə m m ɪ ʊ
agguaappai	a x̟ x̟ ʊ əː p p ə ɪ
agguaqatigiissitaq	a x̟ x̟ ʊ ɑ q ə t͡s ɪ ɣ ɪː s s ɪ t ɑ q
agguarneqarsinnaasoq	a x̟ x̟ ʊ ə n n ɜ q ə s s ɪ n n əː s ɔ q
agguarpaa	a x̟ x̟ ʊ ə p p əː
aggustusi	a x̟ x̟ ʊ s t ʉ s ɪ
agiamineq	a ɣ ɪ ə m ɪ n ɜ q
agiaq	a ɣ ɪ ɑ q
aja	a j ə
ajaa	a j əː
ajaaq	a j ɑː q
ajak	a j ə k
ajornanngilaq	a j ɔ n n ə ŋ ŋ ɪ l ɑ q
ajornarpoq	a j ɔ n n ə p p ɔ q
ajornartorsiut	a j ɔ n n ə t t ɔ s s ɪ ʊ t
ajorpaa	a j ɔ p p əː
ajorpoq	a j ɔ p p ɔ q
ajorsaarivoq	a j ɔ s s ɑː ʁ ɪ v ɔ q
ajunaarneq	a j ʊ n əʶː n n ɜ q
ajuusaarnarpoq	a j ʊː s əʶː n n ə p p ɔ q
ajuusaarpoq	a j ʊː s əʶː p p ɔ q
akaarinnittoq	a k ɑː ʁ ɪ n n ɪ t t ɔ q
akiitsut	a k ɪː t t͡s ʉ t
akiliut	a k ɪ l ɪ ʊ t
akissut	a k ɪ s s ʉ t
akisussaaffik	a k ɪ s ʉ s s əː f f ɪ k
akkusativi	a k k ʊ s ə t͡s ɪ v ɪ
akoqanngilaq	a k ɔ q ə ŋ ŋ ɪ l ɑ q
akoqarpoq	a k ɔ q ə p p ɔ q
akornanni	a k ɔ n n ə n n ɪ
aku	a k ʊ
akueraa	a k ʊ ɜ ʁ əː
akuliuppoq	a k ʊ l ɪ ʊ p p ɔ q
akulleq	a k ʊ ɬ ɬ ɜ q
akunneq	a k ʊ n n ɜ q
alanngialasoq	a l ə ŋ ŋ ɪ ə l ə s ɔ q
alanngialavoq	a l ə ŋ ŋ ɪ ə l ə v ɔ q
alanngoq	a l ə ŋ ŋ ɔ q
aleqa	a l ɜ q ə
aleqaq	a l ɜ q ɑ q
aleqat	a l ɜ q ə t
aleutisut	a l ɜ ʊ t͡s ɪ s ʉ t
aleutit	a l ɜ ʊ t͡s ɪ t
alla	a ɬ ɬ ə
allaffeqarfik	a ɬ ɬ ə f f ɜ q ə f f ɪ k
allaffik	a ɬ ɬ ə f f ɪ k
allakkat	a ɬ ɬ ə k k ə t
allamoorut	a ɬ ɬ ə m ɔː ʁ ʊ t
allappoq	a ɬ ɬ ə p p ɔ q
allernaaraq	a ɬ ɬ ɜ n n ɑː ʁ ɑ q
allernaq	a ɬ ɬ ɜ n n ɑ q
allivaa	a ɬ ɬ ɪ v əː
allivoq	a ɬ ɬ ɪ v ɔ q
allu	a ɬ ɬ ʊ
aluu	a l ʊː
amaroq	a m ɑ ʁ ɔ q
ameq	a m ɜ q
amerikarmiu	a m ɜ ʁ ɪ k ə m m ɪ ʊ
amerikarmiut	a m ɜ ʁ ɪ k ə m m ɪ ʊ t
amerlasuut	a m ɜ ɬ ɬ ə s ʉː t
amharisut	a m h ɑ ʁ ɪ s ʉ t
amikoq	a m ɪ k ɔ q
andengradsligningi	a n t ɜ ŋ ʁ ə t s l ɪ ɣ n ɪ ŋ ɪ
anersaaq	a n ɜ s s ɑː q
anersaarpoq	a n ɜ s s əʶː p p ɔ q
anersaaruluppoq	a n ɜ s s ɑː ʁ ʊ l ʊ p p ɔ q
angajoq	a ŋ ə j ɔ q
angajoqqaaq	a ŋ ə j ɔ q q ɑː q
angajoqqaarsiaq	a ŋ ə j ɔ q q əʶː s s ɪ ɑ q
angak	a ŋ ə k
angallanneq	a ŋ ə ɬ ɬ ə n n ɜ q
angaluppoq	a ŋ ə l ʊ p p ɔ q
angisooq	a ŋ ɪ s ɔː q
angut	a ŋ ʊ t
anguteqatiminoortartoq	a ŋ ʊ t ɜ q ə t͡s y m ɪ n ɔʶː t t ə t t ɔ q
anguteqatiminoortoq	a ŋ ʊ t ɜ q ə t͡s y m ɪ n ɔʶː t t ɔ q
anguvoq	a ŋ ʊʷ ɔ q
anigorpaa	a n ɪ ɣ ɔ p p əː
aningaasaq	a n ɪ ŋ əː s ɑ q
aningaasat	a n ɪ ŋ əː s ə t
aningaasivik	a n ɪ ŋ əː s ɪ v ɪ k
anisooq	a n ɪ s ɔː q
anivoq	a n ɪ v ɔ q
anneq	a n n ɜ q
annernarpoq	a n n ɜ n n ə p p ɔ q
annerpaaq	a n n ɜ p p ɑː q
annerpoq	a n n ɜ p p ɔ q
annertusivoq	a n n ɜ t t ʉ s ɪ v ɔ q
anniarfik	a n n ɪ ə f f ɪ k
anniarpoq	a n n ɪ ə p p ɔ q
annilaangavoq	a n n ɪ l əː ŋ ə v ɔ q
annilaarpoq	a n n ɪ l əʶː p p ɔ q
anorersuaq	a n ɔ ʁ ɜ s s ʊ ɑ q
anori	a n ɔ ʁ ɪ
anorliorpoq	a n ɔ ɬ ɬ ɪ ɔ p p ɔ q
aperivoq	a p ɜ ʁ ɪ v ɔ q
appartarneq	a p p ə t t ə n n ɜ q
apusineq	a p ʊ s ɪ n ɜ q
aput	a p ʊ t
aqaguani	ɑ q ə ɣ ʊ ə n ɪ
aqerloq	ɑ q ɜ ɬ ɬ ɔ q
aqerluusaq	ɑ q ɜ ɬ ɬ ʊː s ɑ q
aqqaluk	ɑ q q ə l ʊ k
aqqusineq	ɑ q q ʊ s ɪ n ɜ q
aqqut	ɑ q q ʊ t
aquppaa	ɑ q ʊ p p əː
aqutsisoq	ɑ q ʊ t t͡s ɪ s ɔ q
araberisut	ɑ ʁ ə p ɜ ʁ ɪ s ʉ t
arfeq	a f f ɜ q
arfersaneq	a f f ɜ s s ə n ɜ q
arlallit	a ɬ ɬ ə ɬ ɬ ɪ t
arlaq	a ɬ ɬ ɑ q
arnaasaq	a n n əː s ɑ q
arnaq	a n n ɑ q
arnaqatiminoortartoq	a n n ɑ q ə t͡s y m ɪ n ɔʶː t t ə t t ɔ q
arnaqatiminoortoq	a n n ɑ q ə t͡s y m ɪ n ɔʶː t t ɔ q
arsakoorfik	a s s ə k ɔʶː f f ɪ k
arsaq	a s s ɑ q
arsat	a s s ə t
artornaqaaq	a t t ɔ n n ɑ q ɑː q
asanninneq	a s ə n n ɪ n n ɜ q
aseruutaasoq	a s ɜ ʁ ʊː t əː s ɔ q
assak	a s s ə k
asseqanngilaq	a s s ɜ q ə ŋ ŋ ɪ l ɑ q
asseqanngitsoq	a s s ɜ q ə ŋ ŋ ɪ t t͡s ɔ q
assersuut	a s s ɜ s s ʉː t
assigiissitaq	a s s ɪ ɣ ɪː s s ɪ t ɑ q
ataata	a t əː t ə
ataataq	a t əː t ɑ q
atasoq	a t ə s ɔ q
ateq	a t ɜ q
ateqarpoq	a t ɜ q ə p p ɔ q
atisalersorpaa	a t͡s ɪ s ə l ɜ s s ɔ p p əː
atisaq	a t͡s ɪ s ɑ q
ativaa	a t͡s ɪ v əː
atorneqartoq	a t ɔ n n ɜ q ə t t ɔ q
atorpaa	a t ɔ p p əː
atorpoq	a t ɔ p p ɔ q
atorsinnaanngitsoq	a t ɔ s s ɪ n n əː ŋ ŋ ɪ t t͡s ɔ q
atorsinnaavoq	a t ɔ s s ɪ n n əː v ɔ q
atserpaa	a t t͡s ɜ p p əː
atsiaq	a t t͡s ɪ ɑ q
attartorpoq	a t t ə t t ɔ p p ɔ q
atuaaneq	a t ʊ əː n ɜ q
atuagaq	a t ʊ ə ɣ ɑ q
atuakkiaq	a t ʊ ə k k ɪ ɑ q
atuaqat	a t ʊ ɑ q ə t
atuarfik	a t ʊ ə f f ɪ k
atuarpaa	a t ʊ ə p p əː
atuarpoq	a t ʊ ə p p ɔ q
australiamiu	a ʊ s t ʁ ə l ɪ ə m ɪ ʊ
australiamiut	a ʊ s t ʁ ə l ɪ ə m ɪ ʊ t
avaanngunarpoq	a v əː ŋ ŋ ʊ n ə p p ɔ q
avannarleq	a v ə n n ə ɬ ɬ ɜ q
avannarparpoq	a v ə n n ə p p ə p p ɔ q
baskerisut	p ə s k ɜ ʁ ɪ s ʉ t
belgiamiu	p ɜ l ɣ ɪ ə m ɪ ʊ
betonngi	p ɜ t ɔ ŋ ŋ ɪ
biilerpoq	p ɪː l ɜ p p ɔ q
biilertoq	p ɪː l ɜ t t ɔ q
biskorpi	p ɪ s k ɔ p p ɪ
blobfiski	p l ɔ p f ɪ s k ɪ
computeri	c ɔ m p ʊ t ɜ ʁ ɪ
dommeri	t ɔ m m ɜ ʁ ɪ
efterskole	ɜ f t ɜ s s k ɔ l ɜ
eqalussuannguvoq	ɜ q ə l ʉ s s ʊ ə ŋ ŋ ʊʷ ɔ q
eqqaamiu	ɜ q q əː m ɪ ʊ
eqqaanarneq	ɜ q q əː n ə n n ɜ q
eqqaanarpoq	ɜ q q əː n ə p p ɔ q
eqqaani	ɜ q q əː n ɪ
eqqaavaa	ɜ q q əː v əː
eqqaq	ɜ q q ɑ q
eqqarsarpoq	ɜ q q ə s s ə p p ɔ q
eqqartorpaa	ɜ q q ə t t ɔ p p əː
eqqartuussisoq	ɜ q q ə t t ʉː s s ɪ s ɔ q
eqqoqqortooq	ɜ q q ɔ q q ɔ t t ɔː q
eqqortumik	ɜ q q ɔ t t ʊ m ɪ k
eqquiniunnguaq	ɜ q q ʊ ɪ n ɪ ʊ ŋ ŋ ʊ ɑ q
eqqumiippoq	ɜ q q ʊ m yː p p ɔ q
erfalavoq	ɜ f f ə l ə v ɔ q
erinarsorpoq	ɜ ʁ ɪ n ə s s ɔ p p ɔ q
erinarsortartoq	ɜ ʁ ɪ n ə s s ɔ t t ə t t ɔ q
ernersiaq	ɜ n n ɜ s s ɪ ɑ q
erniaq	ɜ n n ɪ ɑ q
errorpaa	ɜ χ χ ɔ p p əː
errorsivik	ɜ χ χ ɔ s s ɪ v ɪ k
errorsivoq	ɜ χ χ ɔ s s ɪ v ɔ q
erruivoq	ɜ χ χ ʊ ɪ v ɔ q
ersaq	ɜ s s ɑ q
ersiut	ɜ s s ɪ ʊ t
fabrikki	f ə p ʁ ɪ k k ɪ
filmiliorneq	f ɪ l m ɪ l ɪ ɔ n n ɜ q
filmiliorpoq	f ɪ l m ɪ l ɪ ɔ p p ɔ q
finlandimiu	f ɪ n l ə n t y m ɪ ʊ
finlandimiutut	f ɪ n l ə n t y m ɪ ʊ t ʉ t
fjernsyni	f j ɜ n n s y n ɪ
gulerodi	ɣ ʊ l ɜ ʁ ɔ t ɪ
guuti	ɣ ʊː t͡s ɪ
guutipiluk	ɣ ʊː t͡s y p ɪ l ʊ k
guutipilussiorneq	ɣ ʊː t͡s y p ɪ l ʉ s s ɪ ɔ n n ɜ q
guutipilussiorpoq	ɣ ʊː t͡s y p ɪ l ʉ s s ɪ ɔ p p ɔ q
iffiaq	i f f ɪ ɑ q
igaffik	i ɣ ə f f ɪ k
igalaaq	i ɣ ə l ɑː q
igasoq	i ɣ ə s ɔ q
igavoq	i ɣ ə v ɔ q
iguut	i ɣ ʊː t
iigaq	iː ɣ ɑ q
iigarpoq	iː ɣ ə p p ɔ q
ikinngut	i k ɪ ŋ ŋ ʊ t
ikivoq	i k ɪ v ɔ q
ikku	i k k ʊ
ikorpoq	i k ɔ p p ɔ q
ikorsimmavik	i k ɔ s s y m m ə v ɪ k
ikusik	i k ʊ s ɪ k
ilaa	i l əː
ilaajunnaarsippaa	i l əː j ʊ n n əʶː s s y p p əː
ilaasortaq	i l əː s ɔ t t ɑ q
ilaavoq	i l əː v ɔ q
ilannguppaa	i l ə ŋ ŋ ʊ p p əː
ilaqutaq	i l ɑ q ʊ t ɑ q
ilaqutariinneq	i l ɑ q ʊ t ɑ ʁ ɪː n n ɜ q
ilaqutariit	i l ɑ q ʊ t ɑ ʁ ɪː t
ilikkarpoq	i l ɪ k k ə p p ɔ q
ilinneq	i l ɪ n n ɜ q
ilinniagassat	i l ɪ n n ɪ ə ɣ ə s s ə t
ilinniarnertooq	i l ɪ n n ɪ ə n n ɜ t t ɔː q
ilinniarpoq	i l ɪ n n ɪ ə p p ɔ q
ilinniartitsisoq	i l ɪ n n ɪ ə t t͡s ɪ t t͡s ɪ s ɔ q
ilinniartitsivoq	i l ɪ n n ɪ ə t t͡s ɪ t t͡s ɪ v ɔ q
ilippoq	i l y p p ɔ q
ilisimasassarsiorpoq	i l ɪ s y m ə s ə s s ə s s ɪ ɔ p p ɔ q
ilisimasassarsiortoq	i l ɪ s y m ə s ə s s ə s s ɪ ɔ t t ɔ q
ilisimassuseq	i l ɪ s y m ə s s ʉ s ɜ q
ilisimatooq	i l ɪ s y m ə t ɔː q
ilisimatusarfik	i l ɪ s y m ə t ʉ s ə f f ɪ k
ilisimatusarneq	i l ɪ s y m ə t ʉ s ə n n ɜ q
ilisimatusarpoq	i l ɪ s y m ə t ʉ s ə p p ɔ q
ilisimatusartoq	i l ɪ s y m ə t ʉ s ə t t ɔ q
ilisimavaa	i l ɪ s y m ə v əː
ilissi	i l ɪ s s ɪ
iliuuseqarneq	i l ɪ ʊː s ɜ q ə n n ɜ q
illarpoq	i ɬ ɬ ə p p ɔ q
illerfik	i ɬ ɬ ɜ f f ɪ k
illiaq	i ɬ ɬ ɪ ɑ q
illu	i ɬ ɬ ʊ
illukoq	i ɬ ɬ ʊ k ɔ q
ilti	i l t͡s ɪ
iluaqut	i l ʊ ɑ q ʊ t
iluaqutigaa	i l ʊ ɑ q ʊ t͡s ɪ ɣ əː
iluleq	i l ʉ l ɜ q
iluliaq	i l ʉ l ɪ ɑ q
ilumummi	i l ʊ m ʊ m m ɪ
ilungersornertooq	i l ʊ ŋ ɜ s s ɔ n n ɜ t t ɔː q
ilungersorpoq	i l ʊ ŋ ɜ s s ɔ p p ɔ q
iluseq	i l ʉ s ɜ q
ima	y m ə
imaappoq	y m əː p p ɔ q
imaluunniit	y m ə l ʉː n n ɪː t
imaneq	y m ə n ɜ q
imangertaq	y m ə ŋ ɜ t t ɑ q
imaq	y m ɑ q
imeq	y m ɜ q
imeqqutaalaq	y m ɜ q q ʊ t əː l ɑ q
imerajuppoq	y m ɜ ʁ ə j ʊ p p ɔ q
imernaalanngitsoq	y m ɜ n n əː l ə ŋ ŋ ɪ t t͡s ɔ q
imernaalasoq	y m ɜ n n əː l ə s ɔ q
imerniartarfik	y m ɜ n n ɪ ə t t ə f f ɪ k
imerpoq	y m ɜ p p ɔ q
iminngerpoq	y m ɪ ŋ ŋ ɜ p p ɔ q
immannguaq	y m m ə ŋ ŋ ʊ ɑ q
immaqa	y m m ɑ q ə
immiaq	y m m ɪ ɑ q
immigaq	y m m ɪ ɣ ɑ q
immiit	y m m ɪː t
immikkut	y m m ɪ k k ʊ t
imminnguaaraq	y m m ɪ ŋ ŋ ʊ ɑː ʁ ɑ q
