ab	ɑ b
arvadlıq	ɑ r v ɑ d ɫ ɯ x
arvadskoy	ɑ ɾ v ɑ d ɯ s k o j
arvadskoy	ɑ ɾ v ɑ d s k o j
asanlıq	ɑ s ɑ n ɫ ɯ χ
asanlıq	ɑ s ɑ nː ɯ χ
asılı	ɑ s ɯ ɫ ɯ
asılılıq	ɑ s ɯ ɫ ɯ ɫ ɯ χ
asqırıq	ɑ s ɡ ɯ r ɯ χ
asqırmaq	ɑ s ɡ ɯ r m ɑ χ
asqırmaq	ɑ s k ɯ r m ɑ χ
astana	ɑ s t ɑ n a
astanasında	ɑ s t ɑ n ɑ s ɯ n d a
astronavt	ɑ s t ɾ o n ɑ f t
asudə	ɑ s uː d æ
aş	ɑ ʃ
aşağı	ɑ ʃ ɑ ɣ ɯ
aşğal	ɑ ʃ ɣ ɑ ɫ
aşı	ɑ ʃ ɯ
aşıq	ɑ ʃ ɯ x
aşılamaq	ɑ ʃ ɯ ɫ ɑ m ɑ χ
aşılmaz	ɑ ʃ ɯ ɫ m ɑ z
aşırım	ɑ ʃ ɯ r ɯ m
aşırma	ɑ ʃ ɯ r m ɑ
aşırmaq	ɑ ʃ ɯ r m ɑ x
aşiq	ɑː ʃ i ɡ
aşmaq	ɑ ʃ m ɑ x
aşpaz	ɑ ʃ p ɑ z
ata	ɑ t ɑ
atelye	ɑ t e l j e
atəşpərəstlik	ɑː t æ ʃ p æ ɾ æ s d i ç
atım	ɑ t ɯ m
atqı	ɑ t ɡ ɯ
atqı	ɑ t k ɯ
atlanbac	ɑ t ɫ ɑ n b ɑ d͡ʒ
atlanbac	ɑ t d ɑ n b ɑ d͡ʒ
atlanmaq	ɑ t ɫ ɑ n m ɑ χ
atlanmaq	ɑ tː ɑ mː ɑ χ
atlı	ɑ t d ɯ
atlı	ɑ t ɫ ɯ
atmaca	ɑ t m ɑ d͡ʒ ɑ
atmaca	ɑ t m ɑ d͡z ɑ
atmaq	ɑ t m ɑ χ
atmosfer	ɑ t m o s f e r
auditoriya	ɑ u d i t o r i j ɑ
avam	ɑ v ɑ m
avar	ɑ v ɑ r
avara	ɑ v ɑ r ɑ
avarçəkən	ɑ v ɑ r t͡ʃ æ k æ n
avarçəkən	ɑ v ɑ r t͡s æ t͡ʃ æ n
avarçı	ɑ v ɑ r t͡ʃ ɯ
avarçı	ɑ v ɑ r t͡s ɯ
avqust	ɑ v ɡ u s t
avro	ɑ v r o
Avroviziya	ɑ v r ɑ v iː z i j ɑ
Avroviziya	ɑ v r o v iː z i j ɑ
avtoxuliqan	ɑ f t ɑ x u l i ɡ ɑ n
avtoqraf	ɑ f t o ɡ r a f
avtomat	ɑ f t ɑ m ɑ t
avtomatik	a f t o m a t i c
avtoş	ɑ f t o ʃ
ayaq	ɑ j ɑ χ
ayaqqabı	ɑ j ɑ x ɡ ɑ b ɯ
ayaqqabı	ɑ j ɑ k ɡ ɑ b ɯ
ayaqqabı	æ k ɡ ɑ f
ayaqqabı	æ k ɡ ɑ v ɯ
ayaqlaşmaq	ɑ j ɑ x ɫ ɑ ʃ m ɑ x
ayaqyalın	ɑ j ɑ ɣ j ɑ ɫ ɯ n
ayaqyolu	ɑ j ɑ x j o l u
ayaqyolu	ɑ j ɑ ɣ j o l u
ayaz	ɑ j ɑ z
aydın	ɑ j d ɯ n
aydınlıq	ɑ j d ɯ n ɫ ɯ x
aydınlıq	ɑ j d ɯ n n ɯ x
ayğır	ɑ j ɣ ɯ r
ayı	ɑ j ɯ
ayıq	ɑ j ɯ χ
ayıqlıq	ɑ j ɯ ɣ ɫ ɯ χ
ayılmaq	ɑ j ɯ ɫ m ɑ χ
ayırmaq	ɑ j ɯ r m ɑ χ
ayin	ɑː j i n
aylanmaq	ɑ j ɫ ɑ n m ɑ χ
aylanmaq	ɑ j ɫ ɑ mː ɑ χ
aylıq	ɑ j ɫ ɯ χ
ayna	ɑ j n ɑ
aynaçı	a j n a
ayran	ɑ j r ɑ n
ayran	e j r ɑ n
ayrıc	ɑ j r ɯ d͡ʒ
ayrıc	ɑ j r ɯ d͡z
ayrılmaq	ɑ j ɾ ɯ ɫ m ɑ x
ayrılmaz	ɑ j ɾ ɯ ɫ m ɑ z
aysberq	ɑ j s b e r ɡ
aysız	ɑ j s ɯ z
az	ɑ z
azad	ɑ z ɑ d
azadlıq	ɑ z ɑ d ɫ ɯ χ
azalan	ɑ z ɑ ɫ ɑ n
azalma	ɑ z ɑ ɫ m ɑ
azalmaq	ɑ z ɑ ɫ m ɑ x
azaltma	ɑ z ɑ ɫ t m ɑ
azaltmaq	ɑ z ɑ ɫ t m ɑ x
azarlamaq	ɑ z ɑ ɾ ɫ ɑ m ɑ x
azarlı	ɑ z ɑ ɾ ɫ ɯ
azarlı	ɑ z ɑ ɾ ɾ ɯ
Azərbaycan	ɑː z æ ɾ b ɑ j d͡ʒ ɑ n
Azərbaycan	ɑː z æ ɾ b ɑ j d͡z ɑ n
Azərbaycan	ɑ z æ ɾ b ɑ j d͡ʒ ɑ n
azərbaycanca	ɑː z æ ɾ b ɑ j d͡ʒ ɑ n d͡ʒ ɑ
azərbaycanca	ɑː z æ ɾ b ɑ j d͡z ɑ n d͡z ɑ
azərbaycanca	ɑ z æ ɾ b ɑ j d͡ʒ ɑ n d͡ʒ ɑ
azərbaycandilli	ɑː z æ ɾ b ɑ j d͡ʒ ɑ n d i lː i
azərbaycandilli	ɑː z æ ɾ b ɑ j d͡z ɑ n d i lː i
azərbaycandilli	ɑ z æ ɾ b ɑ j d͡ʒ ɑ n d i lː i
azərbaycandilli	ɑ z æ ɾ b ɑ j d͡z ɑ n d i lː i
azərbaycanlı	ɑː z æ ɾ b ɑ j d͡ʒ ɑ nː ɯ
azərbaycanlı	ɑː z æ ɾ b ɑ j d͡ʒ ɑ n ɫ ɯ
azərbaycanlı	ɑː z æ ɾ b ɑ j d͡z ɑ nː ɯ
azərbaycanlı	ɑ z æ ɾ b ɑ j d͡ʒ ɑ nː ɯ
azərbaycanlı	ɑ z æ ɾ b ɑ j d͡z ɑ nː ɯ
azəri	ɑː z æ ɾ i
azğın	ɑ z ɣ ɯ n
azı	ɑ z ɯ
azlıq	ɑ z ɫ ɯ χ
azlıq	ɑ z d ɯ χ
azmaq	ɑ z m ɑ χ
azyaşlı	ɑ z j a ʃ ɫ ɯ
azyaşlı	ɑ z j ɑ ʃ d ɯ
b	b
b	b eː
B	b
B	b eː
baba	b ɑ b ɑ
babasil	b ɑ b ɑ s i l
babat	b ɑ b a t
bacaq	b ɑ d͡ʒ ɑ x
bacanaq	b ɑ d͡ʒ ɑ n ɑ χ
bacanaq	b ɑ d͡z ɑ n ɑ χ
bacanaq	b ɑ ʒ ɑ n ɑ χ
bacarmaq	b ɑ d͡ʒ ɑ r m ɑ x
bacarmaq	b ɑ d͡z ɑ r m ɑ x
bacarmaq	b ɑ ʒ ɑ r m ɑ x
bacı	b ɑ d͡ʒ ɯ
bacı	b ɑ d͡z ɯ
bacı	b ɑ ʒ ɯ
badımcan	b ɑ d ɯ m d͡ʒ ɑ n
badımcan	b ɑ d ɯ m d͡z ɑ n
badımcan	b ɑ ɫ d ɯ r d͡ʒ ɑ n
bağ	b ɑ ɣ
bağana	b ɑ ɣ ɑ n ɑ
bağban	b ɑ ɣ b ɑ n
bağır	b ɑ ɣ ɯ r
Bağır	b ɑ ɣ ɯ r
bağırmaq	b ɑ ɣ ɯ r m ɑ χ
bağırsaq	b ɑ ɣ ɯ r s ɑ χ
bağışlamaq	b ɑ ɣ ɯ ʃ ɫ ɑ m ɑ χ
bağışlamaq	b ɑ ɣ ɯ ʃ t ɑ m ɑ χ
bağışlamaq	b æː ʃ l æ m ɑ χ
bağışlamaq	b ɑː ʃ l ɑ m ɑ χ
bağlama	b ɑ ɣ ɫ ɑ m ɑ
bağlamaq	b ɑ ɣ ɫ ɑ m ɑ χ
bağlanmaq	b ɑ ɣ ɫ ɑ n m ɑ χ
bağlanmaq	b ɑ ɣ ɫ ɑ mː ɑ χ
bağlantı	b ɑ ɣ ɫ ɑ n t ɯ
bağlı	b ɑ ɣ l ɯ
baha	b ɑ h ɑ
bahadır	b ɑ h ɑ d ɯ r
bahalı	b ɑ h ɑ ɫ ɯ
bahar	b ɑ h ɑ r
baxmaq	b ɑ χ m ɑ χ
baxmayaraq	b ɑ χ m ɑ j ɑ r ɑ χ
baxmayaraq	b ɑ χ m ɯ j ɑ r ɑ χ
baxtalamaq	b ɑ χ d ɑ ɫ ɑ m ɑ ɣ
bakir	b ɑː c i r
bakir	b ɑː t͡ʃ i r
bakirə	b ɑː c i r æ
bakirə	b ɑː t͡ʃ i r æ
baqaj	b ɑ ɡ a ʒ
baqajnik	b ɑ ɡ a ʒ n i k
bal	b ɑ ɫ
bala	b ɑ ɫ ɑ
balaban	b ɑ ɫ ɑ b ɑ n
balaca	b ɑ ɫ ɑ d͡ʒ ɑ
balaca	b ɑ ɫ ɑ d͡z ɑ
balaq	b ɑ ɫ ɑ x
balalamaq	b ɑ ɫ ɑ ɫ ɑ m ɑ x
balalayka	b ɑ ɫ ɑ ɫ ɑ j k ɑ
baldız	b ɑ ɫ d ɯ z
balı	b ɑː ɫ ɯ
balıq	b ɑ ɫ ɯ x
Balıq	b ɑ ɫ ɯ x
balıqçı	b ɑ ɫ ɯ x t͡ʃ ɯ
balıqçı	b ɑ ɫ ɯ x t͡s ɯ
balıqçılıq	b ɑ ɫ ɯ x t͡ʃ ɯ ɫ ɯ x
balıqçılıq	b ɑ ɫ ɯ x t͡s ɯ ɫ ɯ x
balış	b ɑ ɫ ɯ ʃ
balışüzü	b ɑ ɫ ɯ ʃ y z y
baltalamaq	b ɑ l t ɑ l ɑ m ɑ χ
bambılı	b ɑ m b ɯ ɫ ɯ
bandaj	b ɑ n d ɑ ʒ
bandit	b ɑ n d i t
bandotdel	b ɑ n d o t d e l
bandotdel	b ɑ n d ɑ t d e l
bani	b ɑː n i
barama	b ɑ r ɑ m ɑ
bardaq	b ɑ ɾ d ɑ χ
barədə	b ɑː r æ d æ
barı	b ɑ r ɯ
barışıq	b ɑ r ɯ ʃ ɯ χ
barışmaq	b ɑ r ɯ ʃ m ɑ χ
bariqa	b ɑ r i ɡ ɑ
barmaq	b ɑ r m ɑ χ
barmaqlamaq	b ɑ r m ɑ ɣ l ɑ m ɑ χ
barmaqlıq	b ɑ r m ɑ ɣ ɫ ɯ χ
baron	b ɑ r o n
Barselona	b ɑ r s e ɫ o n ɑ
basabas	b ɑ s ɑ b ɑ s
basdırmaq	b ɑ s d ɯ r m ɑ x
basılmaz	b ɑ s ɯ ɫ m ɑ z
basketbol	b ɑ s c e t b o ɫ
basketbol	b ɑ s c e d b o ɫ
basketbolçu	b ɑ s k e t b o ɫ t͡ʃ u
basketbolçu	b ɑ s k e t b o ɫ t͡s u
basqı	b ɑ s ɡ ɯ
basqıncaq	b ɑ s ɡ ɯ n d͡ʒ ɑ χ
basqıncaq	b ɑ s ɡ ɯ n d͡z ɑ χ
basmaq	b ɑ s m ɑ χ
baş	b ɑ ʃ
başaxın	b ɑ ʃ ɑ χ ɯ n
başçı	b ɑ ʃ t͡ʃ ɯ
başçı	b ɑ ʃ t͡s ɯ
başçılıq	b ɑ ʃ t͡ʃ ɯ ɫ ɯ χ
başçılıq	b ɑ ʃ t͡s ɯ ɫ ɯ χ
başdaşı	b ɑ ʃ d ɑ ʃ ɯ
başında	b ɑ ʃ ɯ n d ɑ
başqa	b ɑ ʃ k ɑ
başqa	b ɑ ʃ ɡ ɑ
başlamaq	b ɑ ʃ ɫ ɑ m ɑ χ
başlamaq	b ɑ ʃ t ɑ m ɑ χ
başlanğıc	b ɑ ʃ ɫ ɑ n ɣ ɯ d͡ʒ
başlanğıc	b ɑ ʃ ɫ ɑ n ɣ ɯ d͡z
başlanğıc	b ɑ ʃ t ɑ n ɣ ɯ d͡ʒ
başlanğıc	b ɑ ʃ t ɑ n ɣ ɯ d͡z
başlıca	b ɑ ʃ ɫ ɯ d͡ʒ ɑ
başlıca	b ɑ ʃ d ɯ d͡ʒ ɑ
başlıca	b ɑ ʃ d ɯ d͡z ɑ
başsağlığı	b ɑ ʃ s ɑ ɣ ɫ ɯ ɣ ɯ
bataq	b ɑ t ɑ χ
batı	b ɑ t ɯ
bayağı	b ɑ j ɑ ɣ ɯ
bayaq	b ɑ j ɑ χ
bayat	b ɑ j ɑ t
bayquş	b ɑ j ɡ u ʃ
bayquş	b e j ɣ u ʃ
bayraq	b ɑ j r ɑ χ
bayraq	b e j r ɑ ɣ
bazarlıq	b ɑ z ɑ r ɫ ɯ x
bazarlıq	b ɑ z ɑ rː ɯ x
bazlıq	b ɑ z ɫ ɯ χ
bazlıq	b ɑ z d ɯ χ
be	b eː
beh	b e j
belə	b e l æ
belibağlı	b e l i b ɑ ɣ ɫ ɯ
benzin	b e n z i n
benzinölçən	b e n z i n œ l t͡ʃ æ n
benzinölçən	b e n z i n œ l t͡s æ n
beşbarmaq	b e ʃ b ɑ r m ɑ χ
beşbetər	b e ʃ b e t æ r
beşbetər	b e ʃ p æ t æ r
beşbucaqlı	b e ʃ b u d͡ʒ ɑ x ɫ ɯ
beşbucaqlı	b e ʃ b u d͡z ɑ x ɫ ɯ
beşik	b e ʃ i k
beşik	b e ʃ i ç
beşik	b e ʃ i j
beşinci	b e ʃ i n d͡ʒ i
betər	b e t æ r
beyin	b e j i n
beyin	b e i n
Beyləqan	b e j l æ ɡ ɑ n
beynəlxalq	b e j n æ l χ ɑ l ɡ
beynəlxalq	b e j n æ l χ ɑ l χ
beynəlxalq	b e j n ɑ ɫ χ ɑ l ɡ
beynəlxalq	b e j n ɑ ɫ χ ɑ l χ
beysbolçu	b e j s b o ɫ t͡ʃ u
beysbolçu	b e j s b o ɫ t͡s u
beyt	b e j t
bezmək	b e z m æ k
bezmək	b e z m æ j
bəbir	b æ b i r
bədbin	b æ d b i n
bədən	b æ d æ n
bəhrə	b æ h r æ
bəxşiş	b æ x ʃ i ʃ
bəxt	b æ χ t
bəxtəvər	b æ x t æ v æ r
bəxtəvər	b æ x d æ v æ r
bəkarət	b æ t͡ʃ ɑː r æ t
bəla	b æ ɫ ɑ
bəlağət	b æ ɫ ɑː ɣ æ t
bəlağətli	b æ ɫ ɑː ɣ æ t l i
bəlağətli	b æ ɫ ɑː ɣ æ tː i
bələd	b æ l æ d
bələdçi	b æ l æ d t͡ʃ i
bələdçi	b æ l æ d t͡s i
bəlgə	b æ l ɟ æ
bəlgə	b æ l i j æ
bəlgə	b æ l j æ
bəlğəm	b æ l ɣ æ m
bəlkə	b æ l k æ
bəlkə	b æ l k æ m
bəlkə	b æ r k æ
bənd	b æ n d
