Alps	a l p s
aiga	a j ɡ ɔ
aiga	a j ɡ ə
aiga	ɛ ɡ
aiganha	a j ɡ a ɲ ɒ
aimar	a j m a
ajocar	a d͡ʒ u k a
albricòt	a l b ɾ i k ɔ t
alcòl	a l k ɔ l
alucar	a l y k a
amarum	a m a r y n
amb	a m
amb	a m b
amb	a m e
amora	a m u r o̞
anajon	a n a ʒ u n
anatomia	a n a t u m i o
ancessor	a n s e s u
anchoiada	a n t ʃ u j a d ɔ
anchòia	a n t͡ʃ ɔ j ɔ
ancian	a n s j a
ancora	a ŋ k u r ɒ
anet	a n e t
anglés	a ŋ ɡ l e s
anhèl	a ɲ ɛ l
anolha	a n u ʎ o
aparelh	a p a ɾ e l
aparelh	a p a ɾ e ʎ
aparelh	a p a ʁ e j
aprèp	a p ɾ ɛ p
aps	a p s
aquel	a k ɛ l
aquela	a k ɛ l o
aqueste	a k e s t e
arbe	a ɾ b e
arbre	a ɾ b ɾ e
arc	a ɾ k
arna	a r n o
arrimar	a r r i m a
arrondiment	a r u n d i m e n
as	a s
aspècte	a s p ɛ t t e
assassinat	a s a s i n a t
astre	a s t r e
ataüc	a t a y k
ataüt	a t a y
atge	a d͡ʒ e
aucièra	a u s i ɛ r ɒ
augan	a w ɣ a n
aurassa	a w r a s s a
auratge	a w r a d͡ʒ e
auçar	a w s a
aver	a b e
azard	a z a ɾ t
aürós	a ɥ ʁ u s
babau	b a b a w
badalhar	b a d a ʎ a
baish	b a ʃ
balena	b a l e n o
bambó	b a m b u
barca	b a r k ɒ
barcarés	b a ɹ k a ɹ e s
batèl	b a t ɛ l
beluga	b e l u ɡ a
beluguejar	b e l y ɡ e d͡ʒ a
beure	b e w r e
biais	b j a j s
bielorús	b j e l u ɾ y s
blat	b l a t
boca	b u k o
bocas	b u k o s
bohar	b u h a
bolegar	b u l e ɣ a
brand	b r a n d
braçalet	b ɾ a s a l e t
braçat	b ɾ a s a t
braçats	b ɾ a s a t s
bruc	b ɾ y k
brumós	b ɾ y m u s
brusc	b ɾ y s k
brèç	b ɾ ɛ s
buòu	b j ɔ w
bòsc	b ɔ s k
cabel	k a β e l
cabestran	k a b e s t r a
cabiron	k a b i ɾ u
cabra	k a b r o
cabrit	k a β ɾ i t
cadun	k a d y
cafè	k a f ɛ
cai	k a i
caire	k a j ɾ e
calanca	k a l a ŋ k ɒ
camba	k a m b o
campana	k a m p a n o
camèl	k a m ɛ l
candèla	k a n d ɛ l o
canonicat	k a n u n i k a t
canton	k a n t u
cap	k a p
capitalisme	k a p i t a l i z m e
capvirar	k a v v i r a
carbòni	k a r b ɔ n i
cardon	k a ɾ ð u
carrièra	k a r r j ɛ r o
catedrala	k a t e ð ɾ a l o
caumatge	k a w m a d ʒ e
causida	k a w z i ð o
cedilha	s e ð i ʎ o̞
cellula	s e l l y l o
cercar	s e ɾ k a
cervesa	s e ɾ b e z o
chasca	t s a s k o
chasca	ʃ a s k o
chastelan	t͡s a s t e l ãᵑ
chausida	t͡s a w z i d o
chausir	t͡s a w z i
chinés	t͡ʃ i n e s
chuc	t͡ʃ y k
ciclon	s i k l u
cigala	s i ɡ a l o
cinc	s i ŋ k
ciutadan	s i w t a ð a
ciutat	s i w t a t
clap	k l a p
clarièra	k l a r j ɛ r o
clausura	k l a w z y ɾ ɔ
cluèg	k l ɥ ɛ t͡ʃ
cobrir	k u β ɾ i
codonh	k u d u ɲ
coire	k u j ɾ e
colhonar	k u ʎ u n a
comjat	k u n d ʒ a t
conilh	k u n i l
conilh	k u n i ʎ
coratge	k u ɾ a d͡ʒ o
corregir	k u r r e d ʒ i
cortina	k u ɾ t i n o
cortés	k u ɾ t e s
cridar	k ɾ i d a
crocodil	k ɾ u k u ð i l
crosta	k ɾ u s t ɔ
còca	k ɔ k ɒ
còla	k ɔ l ɒ
còp	k ɔ p
còr	k w a ʁ
còr	k w ɔ ʁ
còr	k ɔ ɾ
còrs	k ɔ ɾ s
còsta	k ɔ s t o
dalfin	d a l f i
dalha	d a ʎ o
dalhatge	d a ʎ a d͡ʒ e
danés	d a n e s
davant	d a v ɑ̃
davant	d a β a n
dempuèi	d e m p ɥ ɛ
descriptiu	d e s k ɾ i t t i w
desvolopar	d e z b u l u p a
det	d e t
devath	d e β a t
diccionari	d i t͡s j u n a ɾ i
dignitat	d i n n i t a t
dimècres	d i m ɛ k r e s
dire	d i ɾ e
dobrir	d u β ɾ i
dobte	d u t t e
dobèrt	d u β ɛ ɾ t
document	d u k y m e n
dos	d u s
dotze	d u d͡z e
drissa	d r i s ɒ
dròga	d ɾ ɔ ɣ o̞
dròga	d ʀ ɔ ɡ o̞
dròga	d ʀ ɔ ɡ ə
duc	d y k
durbir	d y ɾ β i
dètz	d ɛ t͡s
dòsi	d ɔ z i
eiretar	e j ɾ e t a
electorat	e l e t t u ɾ a t
eliç	e l i s
embonilh	e m b u n i l
embut	e m b y t
encalhar	e ŋ k a ʎ a
enfança	e f a n s ɔ
enfonsar	e n f u n s a
engatjar	e ŋ ɡ a d͡ʒ a
entorn	e n t u r n
ençà	e n s a
escaire	e s k a j ɾ e
escasença	e s k a z e n s o
escocesa	e s k u s e z o
escocés	e s k u s e s
escota	e s k u t ɒ
escotar	e s k u t a
escotilha	e s k u t i ʎ a
escut	e s k y t
escàder	e s k a ð e
escàser	e s k a z e
esfèra	e s f ɛ r ɐ
eslovac	e s l u β a k
espaci	e s p a s i
espanhòl	e s p a ɲ ɔ l
especialament	e s p e s j a l o m e n
esquiròl	e s k i ɾ ɔ l
estanh	e s t a n
estant	e s t a n t
estatut	e s t a t y t
estela	e s t e l ɔ
estiu	e s t i w
estolha	e j t u j o
estuari	e s t y a ɾ i
exili	e d z i l i
existir	e d z i s t i
faisan	f a j z a
falhir	f a ʎ i
fals	f a l s
far	f a
farga	f a r ɣ o
faure	f a w ɾ e
fauç	f a w s
felibre	f e l i b ɾ e
fendre	f e n d ɾ e
fenestreta	f e n e s t r e t ɒ
ferida	f e ɾ i ð ɔ
filha	f i ʎ o
filmar	f i l m a
flor	f l u
formatge	f u r m a d ʒ e
forn	f u ɾ n
fraga	f ɾ a ɣ ɔ
fusta	f y s t o
futur	f y t y ɾ
futura	f y t y ɾ o̞
fuèlha	f ɥ ɛ ʎ o
fuòc	f j ɔ
fuòc	f j ɔ k
fuòc	f ɥ ɔ k
fèbre	f ɛ β ɾ e
fénher	f e ɲ e
fòc	f ɔ
fòc	f ɔ k
fòcs	f ɔ t s
fòrt	f ɔ ɾ t
gabarra	ɡ a b a r r a
gaireben	ɡ a j r e β e
garba	ɡ a ɾ β o
gardian	ɡ a ʁ d j ɑ̃
gasosa	ɡ a z u z o̞
gasós	ɡ a z u s
gauta	ɡ a w t o
genibre	d͡ʒ e n i β ɾ e
genovés	d ʒ e n u v e s
glaç	ɡ l a s
glaça	ɡ l a s o
glaçar	ɡ l a s a
gojat	ɡ u d ʒ a t
gojata	ɡ u d ʒ a t o
gola	ɡ o l a
gonèla	ɡ u n ɛ l o
gotic	ɡ u t i k
governar	ɡ u v e r n a
govèrn	ɡ u β ɛ ɾ n
granhòta	ɡ ɾ a ɲ ɔ t o
granolha	ɡ ɾ a n u ʎ o
gravitat	ɡ ɾ a β i t a t
grua	ɡ r y ɒ
grèc	ɡ ɾ ɛ k
gàbia	ɡ a b j ɒ
gòda	ɡ ɔ d ɔ
iberic	i β e r i k
imortal	i m u ɾ t a l
incendi	i n s e n d i
introduire	i n t r u ð y i r e
istòria	i s t ɔ ɾ j o̞
italian	i t a l j a
jo	j u
jo	ʒ u
joglar	d ʒ u ɡ ɡ l a
jor	ʒ u
jornada	d͡z u r n a d ɔ
jornada	d͡ʒ u r n a d ɔ
jove	d͡ʒ u b e
júnher	d͡ʒ y ɲ e
laga	l a ɡ ɒ
lenga	l e ŋ ɡ o̞
lengatge	l e ŋ ɡ a d ʒ e
leugièr	l e u̯ d ʒ j ɛ
liuç	l i w s
localitat	l u k a l i t a t
localitats	l u k a l i t a t s
luènh	l ɥ ɛ n
lèst	l ɛ s t
lòna	l ɔ n o
mai	m a i
majofa	m a d ʒ u f ɔ
manifestacion	m a n i f e s t a s j u
manjadoira	m a n d͡ʒ a ð u j ɾ o
manjar	m a n d͡ʒ a
maquina	m a k i n o̞
margue	m a ɾ ɡ e
maréa	m a r e ɒ
matafion	m a t a f j u
meisson	m e j s u
menaça	m e n a s ɔ
minuta	m i n y t o
miègjorn	m j ɛ d d͡ʒ u ɾ
miélhe	m j e ʎ e
molon	m u l u
monarquia	m u n a ɾ k i o
moneda	m u n e d ɔ
montanha	m u n t a ɲ o
montanhós	m u n t a ɲ u s
monument	m u n y m e n
morir	m u ɾ i
mossa	m u s o
mur	m y r
musaranha	m y z a ɾ a ɲ o̞
musical	m y z i k a l
mèstre	m ɛ s t r e
mètge	m ɛ d ʒ e
mòt	m ɔ t
mòure	m ɔ w ɾ e
nacion	n a s j u
nadar	n a d a ɾ
naissença	n a j s e n s o̞
nau	n a w
necessari	n e s e s a ɾ i
neient	n e j e n t
nevada	n e β a ð o
nevar	n e β a
nevós	n e β u s
nhacar	ɲ a k a
nichola	n i t͡ʃ u l o
niçard	n i s a ɾ t
niçard	n i s a ʀ t
nos	n u s
numeric	n y m e ɾ i k
nàisser	n a j s e
nòrd	n ɔ ɾ t
nòu	n ɔ w
obrir	u β ɾ i
occitan	u k s i t a
occitana	u t s i t a n o
occitana	u t s i t a n ɔ
olimpic	u l i m p i k
omenatge	u m e n a d ʒ e
ondejar	u n d e d ʒ a
ont	u n t
ostau	u s t a w
pal	p a l
palanca	p a l a ŋ k ɐ
palha	p a ʎ o
paraula	p a ɾ a w l o
passar	p a s a
passat	p a s a t
pastís	p a s t i s
pauta	p a u̯ t o
pavon	p a β u
pel	p e l
pelha	p e ʎ o
penjar	p e n d͡ʒ a
pergam	p e ɾ ɣ a n
pergamin	p e ɾ ɡ a m i
periclada	p e ɾ i k l a d ɔ
pericle	p e ɾ i k l e
pesolh	p e z u l
pesolh	p e z u ʎ
picar	p i k a
pilar	p i l a
pinha	p i ɲ ɔ
pièja	p i ɛ d ʒ a
plan	p l a
ploja	p l u ʒ o
poder	p u ð e
poder	p u ð e j
poja	p u d ʒ ɒ
polacre	p u l a k r e
popa	p u p ɒ
portal	p u ɾ t a l
potz	p u
potz	p u t͡s
prat	p ɾ a t
pregar	p ɾ e ɣ a
pregària	p ɾ e ɡ a ɾ j o
pro	p r u
proa	p r u ɒ
provençau	p ʀ u v eⁿ s a w
puèg	p ɥ ɛ t͡ʃ
pèira	p ɛ j ɾ o
pèstel	p ɛ s t e l
pòble	p ɔ b l e
qualqu'un	k a l k y
quatre	k a t ɾ e
que	k e
quilha	k i ʎ ɒ
quimic	k i m i k
quin	k i n
quèrre	k ɛ r r e
qué	k e
raiç	r a i s
rapaire	ɾ a p a j ɾ e
rasic	r a z i k
raulet	r a w l e t
raus	r a w s
rauset	r a w z e t
rausèl	r a w z ɛ l
recebre	r e s e b ɾ e
rei	r e j
reialme	r e j a l m e
reiaume	r e j a w m e
rem	r e m
rema	r e m ɒ
remolin	r e m u l i
ren	r e n
rescontrar	ɾ e s k u n t ɾ a
rescontre	r e s k u n t ɾ e
romec	r r u m e k
rompuda	r u m p y ð o
romput	r u m p y t
rondinar	r u n d i n a
rostir	r u s t i
ròs	r ɔ s
saba	s a β o
sabor	s a β u
sagaç	s a ɣ a s
sageta	s a d͡ʒ e t o
saique	s a j k e
salmoira	s a l m u j r o
saloon	s a l u n
sampa	s a m p ɒ
sassa	s a s ɒ
saunejar	s a w n e ʒ a
scientific	s j e n t i f i k
scientificament	s j e n t i f i k ɔ m e n
sciéncia	s i e n s j ɔ
sciéncia	s j e n s j ɔ
sejar	s e d͡z a
semenar	s e m e n a
senh	s e n
servir	s ə ɾ β i
sièis	s j ɛ j s
soca	s u k o
soi	s u j
solar	s u l a
solelh	s u l ɛ l
somiar	s u m j a
sonda	s u n d ɒ
sonsir	s u n s i
sota	s u t o
sud	s y t
sègle	s ɛ ɡ l e
sèt	s ɛ t
talhon	t a ʎ u
talpa	t a l p o
tambor	t a m b u ɾ
tampa	t a m p ɒ
tardiu	t a r ð i w
tau	t a w
telescòpi	t e l e s k ɔ p i
teoria	t e u r i ɐ
tet	t e t
tija	t i d͡ʒ o
timon	t i m u
timonièr	t i m u n j ɛ
torneg	t u r n e t ʃ
tornejar	t u ɾ n e d͡ʒ a
torre	t u r r e
torrèla	t u r r ɛ l a
tot	t u t
trabalh	t ɾ a b a ʎ
trabalhs	t r a β a l s
tradicion	t ɾ a ð i s j u
traire	t ɾ a j ɾ e
traça	t r a s o̞
traça	t ʀ a s o̞
tres	t ɾ e s
trobar	t ɾ u b a
tron	t r u
tròç	t r ɔ s
tu	t y
tuar	t y a
tèsta	t ɛ s t o
un	y
un	y n
urós	y ʁ u s
uèch	ɥ ɛ t͡ʃ
uèi	ɥ ɛ j
uèlh	ɥ ɛ l
uòi	ɥ ɔ j
vagar	v a ɡ a
vam	b a m
veire	b e j ɾ e
ventada	β e n t a ð o
verd	b e r t
verificar	b e ɾ i f i k a
verin	b e ɾ i n
vida	b i ð o̞
violéncia	b j u l e n s j o
virar	b i ɾ a
vièlh	b j ɛ l
voler	b u l e
volontat	b u l u n t a t
volp	b u l p
vos	v u s
votar	b u t a
votz	b u t͡s
vèr	v ɛ r
vèrga	v ɛ r ɡ ɒ
vòtz	v ɔ t͡s
zòna	z ɔ n o
èrsa	ɛ r s ɒ
èsser	ɛ s e
òbra	ɔ b ɾ o
òbra	ɔ β ɾ o
òrsa	ɔ r s ɒ
òrsapop	ɔ r s ɒ p u p
