ঁ	ɔ̃
অকলুষ	ɔ k o l u ʃ
অকলুষিত	ɔ k o l u ʃ i t̪ o
অকল্ক	ɔ k ɔ l k ɔ
অকল্কা	ɔ k ɔ l k a
অকল্পনা	ɔ k ɔ l p ɔ n a
অকল্পনীয়	ɔ k ɔ l p o n i̯ o
অকল্পিত	ɔ k o l p i t̪ o
অকল্মষ	ɔ k ɔ l m ɔ ʃ
অকল্যাণ	ɔ k ɔ l l a n
অকল্যাণকর	ɔ k ɔ lː a n k ɔ ɹ
অকল্যাণকারিণী	ɔ k ɔ lː a n k a ɹ i n i
অকষ্ট	ɔ k ɔ ʃ ʈ o
অকষ্টকল্পনা	ɔ k ɔ ʃ ʈ o k ɔ l p o n a
অকষ্টকল্পিত	ɔ k ɔ ʃ ʈ o k o l p i t̪ o
অকষ্টবদ্ধ	ɔ k ɔ ʃ ʈ o b ɔ d̪ d̪ʱ o
অকস্মাৎ	ɔ k ɔ ʃː a t̪
অকাজ	ɔ k a d ʑ
অকাট	ɔ k a t
অকাট্য	ɔ k a tː o
অকাঠ	ɔ k a ʈʰ
অকাঠা	ɔ k a tʰ a
অকাণ্ড	ɔ k a n d ɔ
অকাণ্ডে	ɔ k a n d e
অকাতর	ɔ k a t̪ ɔ ɹ
অকাতরে	ɔ k a t̪ ɔ ɹ e
অকাপট্য	ɔ k a p o ʈ ʈ o
অকাম	ɔ k a m
অকাম্য	ɔ k a mː o
অকায়	ɔ k a e̯
অকার	ɔ k a ɹ
অকারণ	ɔ k a ɹ o n
অকারণে	ɔ k a ɹ ɔ n e
অকারত	ɔ k a ɹ ɔ t̪
অকারাদি	ɔ k a ɹ a d̪ i
অকারান্ত	ɔ k a ɹ a n t̪ o
অকার্য	ɔ k a ɹ d ʑ o
অকার্যকর	ɔ k a ɾ d͡ʒ ɔ k ɔ ɾ ɔ
অকার্যকরী	ɔ k a ɹ d ʑ ɔ k o ɹ i
অকার্যকারিতা	ɔ k a r d͡ʒ o k a r i t̪ a
অকাল	ɔ k a l
অকালকুষ্মাণ্ড	ɔ k a l k u ʃ m a n ɖ o
অকালকুষ্মাণ্ড	ɔ k a l k u ʃ ʃ a n ɖ o
অকালজ	ɔ k a l o d͡ʒ o
অকালজ	ɔ k a l ɔ d͡ʒ
অকালজাত	ɔ k a l d͡ʒ a t̪
অকালপক্ব	ɔ k a l p ɔ kː o
অকালপক্বতা	ɔ k a l p ɔ kː ɔ t̪ a
অকালবর্ষণ	ɔ k a l b ɔ ɹ ʃ ɔ n
অকালবার্ধক্য	ɔ k a l b a ɹ d̪ʱ ɔ kː o
অকালবৃদ্ধ	ɔ k a l b r i d̪ d̪ʱ o
অকালবোধন	ɔ k a l b o d̪ʱ ɔ n
অকালমৃত্যু	ɔ k a l m ɹ i t̪ː u
অকালসন্ধ্যা	ɔ k a l ɔ ʃ ɔ n d̪ʱ a
অকালী	ɔ k a l i
অকালে	ɔ k a l e
অকাল্পনিক	ɔ k a l p o n i k
অকিঞ্চন	ɔ k i n t͡ʃ ɔ n
অকিঞ্চনতা	ɔ k i n t ɕ ɔ n o t̪ a
অকিঞ্চনত্ব	ɔ k i n t ɕ ɔ n o t̪ː o
অক্রেয়তা	ɔ k k r e o t̪ a
অক্সাইড	ɔ k s a i ɖ
অঘটনঘটনপটিয়সী	ɔ ɡʱ ɔ ʈ ɔ n ɡʱ ɔ ʈ ɔ n p o ʈ iʲ o ʃ i
অঘটনীয়	ɔ ɡʱ ɔ ʈ o n iʲ o
অঘটিত	ɔ ɡʱ o ʈ i t̪ o
অঘর	ɔ ɡʱ ɔ r
অঘা	ɔ ɡʱ a
অঘাকান্ত	ɔ ɡʱ a k a n t̪ o
অঘাচণ্ডী	ɔ ɡʱ a t͡ʃ o n ɖ i
অঘাট	ɔ ɡʱ a ʈ
অঘামারা	ɔ ɡʱ a m a r a
অঘারাম	ɔ ɡʱ a r a m
অঘৃণ্য	ɔ ɡʱ r i n n o
অঘোর	ɔ ɡʱ o r
অঘোরতন্ত্রী	ɔ ɡʱ o r o t̪ o n t̪ r i
অঘোরপন্থি	ɔ ɡʱ o r o p o n t̪ʰ i
অঘোরমন্ত্র	ɔ ɡʱ o r o m ɔ n t̪ r o
অঘোরী	ɔ ɡʱ o r i
অঘোরে	ɔ ɡʱ o r e
অঘোষ	ɔ ɡʱ o ʃ
অঘোষধ্বনি	ɔ ɡʱ o ʃ d̪ʱ o n i
অঘোষবর্ণ	ɔ ɡʱ o ʃ b ɔ r n o
অঘ্রাত	ɔ ɡ ɡʱ r a t̪ o
অঘ্রান	ɔ ɡ ɹ a n
অঘ্রান	ɔ ɡʱ ɹ a n
অঙ্ক	ɔ ŋ k o
অঙ্কগত	ɔ ŋ k o ɡ ɔ t̪ o
অঙ্কদেশ	ɔ ŋ k o d̪ e ʃ
অঙ্কন	ɔ ŋ k o n
অঙ্কনি	ɔ ŋ k o n i
অঙ্কনীয়	ɔ ŋ k o n iʲ o
অঙ্কপাত	ɔ ŋ k o p a t̪
অঙ্কপাতন	ɔ ŋ k o p a t̪ o n
অঙ্কবাচক	ɔ ŋ k o b a t͡ʃ o k
অঙ্কবিদ	ɔ ŋ k o b i d̪
অঙ্কবিদ্যা	ɔ ŋ k o b i d̪ d̪ a
অঙ্কবেত্তা	ɔ ŋ k o b e t̪ t̪ a
অঙ্কলক্ষ্মী	ɔ ŋ k o l o k kʰ ĩ
অঙ্কলগ্ন	ɔ ŋ k o l ɔ ɡ n o
অঙ্কশায়িনী	ɔ ŋ k o ʃ a e̯ i n i
অঙ্কশায়ী	ɔ ŋ k o ʃ a e̯ i
অঙ্কশাস্ত্র	ɔ ŋ k o ʃ a s t̪ r o
অঙ্কশাস্ত্রবিদ	ɔ ŋ k o ʃ a s t̪ r o b i d̪
অঙ্কশাস্ত্রবেত্তা	ɔ ŋ k o ʃ a s t̪ r o b e t̪ t̪ a
অঙ্কস্থ	ɔ ŋ k o s t̪ʰ ɔ
অঙ্কস্থলী	ɔ ŋ k o s t̪ʰ o l i
অঙ্কস্থিত	ɔ ŋ k o s t̪ʰ i t̪ o
অঙ্কারূঢ়	ɔ ŋ k a r u ɽʱ o
অঙ্কিত	o ŋ k i t̪ o
অঙ্কীয়	o ŋ k iʲ o
অঙ্কুট	o ŋ k u ʈ
অঙ্কুর	o ŋ k u ɾ
অঙ্কুরিত	o ŋ k u ɾ i t̪ o
অঙ্কুরোদগম	o ŋ k u r o d̪ ɡ ɔ m
অঙ্কুরোদয়	o ŋ k u r o d̪ ɔ e̯
অঙ্কুরোদ্গম	o ŋ k u r o d̪ ɡ ɔ m
অঙ্কুরোদ্‌গম	o ŋ k u r o d̪ ɡ ɔ m
অঙ্কুশ	o ŋ k u ʃ
অঙ্কুশী	o ŋ k u ʃ i
অঙ্কুষ	o ŋ k u ʃ
অঙ্কোপরি	ɔ ŋ k o p o ɾ i
অঙ্ক্য	ɔ ŋ k o
অঙ্গ	ɔ ŋ ɡ o
অঙ্গন	ɔ ŋ ɡ o n
অঙ্গার	ɔ ŋ ɡ a ɹ
অঙ্গুষ্ঠ	ɔ ŋ ɡ u ʃ tʰ o
অচেনা	ɔ t ɕ e n a
অছি	ɔ t ɕʰ i
অজগর	ɔ d ʑ o ɡ ɔ ɹ
অজুহাত	ɔ d ʑ u h a t̪
অজ্ঞাত	ɔ ɡː ɛ t̪ o
অজ্ঞাতনামা	ɔ ɡː æ t̪ o n a m a
অঞ্চল	ɔ n t ɕ ɔ l
অঞ্জলি	ɔ n d ʑ o l i
অটল	ɔ t ɔ l
অড়হর	ɔ ɹ h ɔ ɹ
অড়হর	ɔ ɹ o h ɔ ɹ
অণু	o n u
অণুবীক্ষণ	o n u b i kʰː ɔ n
অণ্ড	ɔ n d o
অণ্ডজ	ɔ n d o d ʑ
অত	ɔ t̪ o
অতএব	ɔ t̪ o e b
অতিথি	o t̪ i t̪ʰ i
অতিমঙ্গল্য	o t i m o ŋ ɡ o lː ɔ
অতিরিক্ত	o t̪ i ɹ i k t̪ o
অতীত	o t̪ i t̪
অত্যাচার	o t̪ː a t ɕ a ɹ
অত্যাধুনিক	o t̪ː a d̪ʱ u n i k
অথচ	ɔ t̪ʰ ɔ t͡ʃ o
অথবা	ɔ t̪ʰ o b a
অদৃশ্য	ɔ d̪ ɹ i ʃː o
অদৃষ্ট	ɔ d̪ ɹ i ʃ t o
অদ্বিতীয়	ɔ d̪ː i t̪ i̯ o
অদ্ভুত	ɔ d̪ bʱ u t̪
অধঃপতন	ɔ d̪ʱ ɔ h p ɔ t̪ o n
অধর্ম	ɔ d̪ʱ ɔ ɹ m ɔ
অধিকাংশ	o dʱ i k a ŋ ʃ o
অধিকার	o d̪ʱ i k a ɹ
অধিকার	ɔ d̪ʱ i k a ɹ
অধিকারী	o dʱ i k a ɾ i
অধীর	ɔ d̪ʱ i ɹ
অধীশ্বর	ɔ d̪ʱ i ʃː ɔ ɹ
অধ্যবসায়	ɔ d̪ʱː ɔ b ʃ a e̯
অধ্যয়ন	ɔ d̪ʱː ɔ e̯ o n
অধ্যাদেশ	ɔ d̪ʱː a d̪ e ʃ
আখেরাত	a kʰ e ɹ a t̪
আজার	a d ʑ a ɾ
আনন্দিত	a n ɔ n d̪ i t̪ o
আনা	a n a
আনাড়	a n a ɹ
আনাড়ি	a n a ɹ i
আনার	a n a ɹ
আনারস	a n a ɹ ɔ ʃ
আনোয়ার	a n o̯ a ɹ
আনোয়ারউদ্দিন	a n o̯ a ɹ u d̪ː i n
আন্টার্কটিকা	a n t a ɹ k t i k a
আন্তঃনগর	a n t̪ ɔ n o ɡ ɔ ɹ
আন্তর্জাতিক	a n t̪ ɔ ɹ d ʑ a t̪ i k
আন্তর্জাল	a n t̪ ɔ ɹ d ʑ a l
আন্দাজ	a n d̪ a d ʑ
আন্দোলন	a n d̪ o l o n
আন্দোলন	a n d̪ o l ɔ n
আপকাওয়াস্তে	a p k a o̯ a s t̪ e
আপত্তি	a p ɔ t̪ː i
আপন	a p ɔ n
আপনাকে	a p n a k e
আপনাদের	a p n a d̪ e ɹ
আপনার	a p n a ɹ
আপনারা	a p n a ɹ a
আপনি	a p n i
আপা	a p a
আপু	a p u
আপেল	a p e l
আফগানিস্তান	a pʰ ɡ a n i s t a n
আফজল	a f d ʑ ɔ l
আফতাব	a f t̪ a b
আফসোস	a f s o s
আফিম	a f i m
আফ্রিকা	a f ɹ i k a
আফ্রোদিতি	a f ɹ o d̪ i t̪ i
আব	a b
আবছা	a b ɔ t ɕʰ a
আবছায়া	a b t ɕʰ a e̯ a
আবর্জনা	ɑ b ɔ ɾ d͡ʒ ɔ n ɑ
আবশ্যকীয়	a b ɔ ʃː ɔ k i̯ o
আবহাওয়া	a b h a o̯ a
আবহাওয়া	a b o h a o̯ a
আবাদ	a b a d̪
আবার	a b a ɹ
আবাস	a b a ʃ
আবির	ä b i ɾ
আবিষ্কার	a b i ʃ k a ɹ
আবেগ	a b e ɡ
আবেগাপ্লুত	a b e ɡ a p l u t̪ o
আবেদ	a b e d̪
আব্দুল	a b d̪ u l
আব্দুল্লাহ	a b d̪ u lː a
আব্বা	a bː a
আব্বু	a bː u
আব্রাহাম	a b ɹ a h a m
আম	a m
আমড়া	a m ɽ a
আমন্ত্রণ	a m o n t̪ ɹ o n
আমন্ত্রণ	a m o n t̪ ɹ ɔ n
আমপারা	a m p a ɾ a
আমবেগুন	a m b e ɡ u n
আমবেগুন	a m b æ ɡ u n
আমরা	ä m ɹ ä
আমরার	a m ɾ a ɾ
আমল	a m o l
আমলকী	a m l o k i
আমাকে	a m a k e
আমাগর	ä m ä ɡ ɔ ɾ
আমাদের	a m a d̪ e ɹ
আমানত	a m a n ɔ t̪
আমার	a m a ɾ
আমারে	a m a ɹ e
আমাশয়	a m a ʃ ɔ e̯
আমি	ɑ m i
আমীর	a m i ɹ
আমেজ	a m e d ʑ
আমেজ	a m e z
আমেরিকা	a m e ɹ i k a
আম্মা	a mː a
আম্মে	ä m m e
আযহার	a z h a ɹ
আয়কর	a e̯ k ɔ ɹ
আয়না	a e̯ n a
আয়াতুল্লাহ	a e̯ a t̪ o lː a
আয়াতুল্লাহ	a e̯ a t̪ o lː a h
আয়াতুল্লাহ	a e̯ a t̪ u lː a
আয়াতুল্লাহ	a e̯ a t̪ u lː a h
আয়ারল্যান্ড	a e̯ a ɹ l ɛ n d
আয়ু	a i̯ u
আয়ুর্বেদ	ä e u ɾ b e d̪
আয়ুর্বেদ	ä j u ɾ b e d̪
আয়েশা	a e̯ ʃ a
আয়োগ	a j o ɡ
আযাদ	a d ʑ a d̪
আযান	a d ʑ a n
আযাব	a d ʑ a b
আর	a ɹ
আরও	a ɹ o
আরক	a ɹ ɔ k
আরক্ষী	a ɾ o k kʰ i
আরজ	a ɹ o d ʑ
আরজু	a ɹ d ʑ u
আরজুমান্দ	a ɹ d ʑ u m a n
আরজুমান্দ	a ɹ d ʑ u m a n d̪
আরণ্যক	a ɾ o nː o k
আরতি	a ɹ o t̪ i
আরব	a ɹ ɔ b
আরম্ভ	a ɹ ɔ m bʱ o
আরশি	a ɹ ʃ i
আরাফাত	a ɾ a f a t̪
আরাম	a ɹ a m
আরিফ	a ɾ i f
আরে	a ɹ e
আরেক	a ɹ ɛ k
আরোগ্য	a ɹ o ɡː o
আর্জি	a ɹ d ʑ i
আর্জেণ্টিনা	a ɹ d ʑ e n t i n a
আর্জেন্টিনা	a ɹ d ʑ e n t i n a
আর্জেন্তিনা	a ɹ d ʑ e n t̪ i n a
আর্ত	a ɹ t̪ o
আর্তব	ɑ ɾ t̪ ɔ b
আর্দ্র	a ɹ d̪ ɹ o
আর্মেনিয়া	a ɹ m e n i̯ a
আর্য	a ɹ d ʑ o
আল	a l
আলকাতরা	a l k a t̪ ɹ a
আলগা	a l ɡ a
আলজেরিয়া	a l d͡ʒ e r i a
আলপনা	a l p o n a
আলবেনিয়া	a l b e n i̯ a
আলভী	a l bʱ i
আলভী	a l ə bʱ i
আলম	a l o m
আলমগীর	a l o m ɡ i ɹ
আলমারি	a l m a ɹ i
আলয়	a l ɔ e̯
আলহামদুলিল্লাহ	a l h a m d̪ u l i lː a
আলাদা	a l a d̪ a
আলাপ	a l a p
আলামত	a l a m o t̪
আলামত	a l a m ɔ t̪
আলামিন	a l a m i n
উনআশি	u n a ʃ i
ঊরু	u ɹ u
একাকী	e k a k i
একাডেমি	ɛ k a d e m i
একাত্তর	e k a t̪ː ɔ ɹ
একাদশ	æ k a d̪ ɔ ʃ
একাধিপত্য	e k a d̪ʱ i p ɔ t̪ː o
একামত	e k a m ɔ t̪
একামত	i k a m ɔ t̪
একুশে	e k u ʃ e
একে	e k e
একেবারে	e k e b a ɹ e
এখতিয়ার	e kʰ t̪ i̯ a ɹ
এখন	æ kʰ ɔ n
এখনও	æ kʰ ɔ n o
এখান	e kʰ a n
এগারো	ɛ ɡ ɑ ɹ o
এগুলা	e ɡ u l a
এগোনো	e ɡ o n o
এজাজতনামা	e d ʑ a z ɔ t̪ n a m a
এটা	e t a
এটি	e t i
এডমন্টন	e d ɔ m ɔ n t ɔ n
এডিনবরা	e ɖ i n b r a
এডিনবরা	e ɖ i n b ɔ r a
এত	æ t̪ o
এতদ্বারা	æ t̪ ɔ d̪ ɑ ɾ ɑ
এতে	e t̪ e
এদের	e d̪ e ɹ
এনসাফ	e n s a f
এনসাফ	i n s a f
এন্ড্রু	æ n d ɹ u
এন্তেখাব	e n t̪ e kʰ a b
এন্তেখাব	ɪ n t̪ e kʰ a b
এন্তেজার	e n t̪ e d ʑ a ɹ
এন্তেজার	e n t̪ e z a ɹ
এন্তেজার	i n t̪ e d ʑ a ɹ
এন্তেজার	i n t̪ e z a ɹ
এন্তেজারি	e n t̪ e d ʑ a ɹ i
এন্থনি	ɛ n t̪ʰ o n i
এপ্রিল	e p ɹ i l
এবে	e b e
এভাবে	e bʱ a b e
এভাবে	e v a b e
এমন	æ m o n
এমনকী	ɛ m ɔ n k i
এমেরিকা	e m e ɹ i k a
এমেরিকা	ɛ m e ɹ i k a
এর	e ɹ
এরশাদ	e ɹ ʃ a d̪
এরা	e ɹ a
এলজাম	e l d ʑ a m
এলজাম	e l z a m
এলজিবিটি	e l d ʑ i b i t i
এলা	e l a
এলাকা	e l a k a
এলাচ	e l a t ɕ
এলাহাবাদ	e l a h a b a d̪
এলে	e l e
এলেম	e l e m
এলেমান	e l e m a n
এলোহিম	e l o h i m
এশক	e ʃ k
এশক	e ʃ o k
এশক	e ʃ o q
এশক	e ʃ q
এশট্রে	e ʃ ɔ t ɹ e
এশিয়া	e ʃ i̯ a
এস্তেমাল	e s t̪ e m a l
এস্রাজ	e s ɹ a d ʑ
ঐ	o i
ঐতিহাসিক	o i̯ t̪ i h a ʃ i k
ঐরাবত	o i r a b ɔ t
ও	o
ও	u
ওঁ	o m
ওঁ	o u̯ m
ওঁ	õ m
ওঁম	o m
ওঁম	o u̯ m
ওঁম	õ m
ওঁম্	o m
ওঁম্	o u̯ m
ওঁম্	õ m
ওঁর	o ɹ
ওঁর	õ ɹ
ওঁরা	o ɹ a
ওঁরা	õ ɹ a
ওই	o i̯
ওকালতি	o k a l o t̪ i
ওকে	o k e
ওক্ত	o k t̪
ওক্ত	o k t̪ o
ওক্‌ত	o k t̪
ওখান	o kʰ a n
ওখানে	o kʰ a n e
ওগো	o ɡ o
ওজন	o d ʑ o n
ওজন	o d ʑ ɔ n
ওজন	o z o n
ওজর	o d ʑ ɔ ɹ
ওজু	o d ʑ u
ওজোন	o d ʑ o n
ওজোন	o z o n
ওঝা	o d ʑʱ a
ওঠা	o ʈʰ a
ওড়না	o ɽ n a
ওড়া	o ɹ a
ওড়িশা	o ɹ i ʃ a
ওতফ	o t̪ ɔ f ɔ
ওদের	o d̪ e ɹ
ওফাত	ɔ f a t̪
ওফাত	ʊ f a t̪
ওম	o m
ওম	o u̯ m
ওম	õ m
ওমর	o m o ɹ
ওম্	o m
ওম্	o u̯ m
ওম্	õ m
ওয়াইন	o̯ a i̯ n
ওয়াকফ	o̯ a k f
ওয়াকফ	o̯ a k ɔ f
ওয়াকেফ	o̯ a k e f
ওয়াক্ত	o̯ a k t̪ o
ওয়াক্‌ফ	o̯ a k f
ওয়াজ	o̯ a d ʑ
ওয়াজ	o̯ a z
ওয়াজিব	o̯ a d ʑ i b
ওয়াতন	o̯ a t̪ ɔ n
ওয়াদা	o̯ a d̪ a
ওয়ারশ	o a r ʃ ɔ
ওয়ারিস	o̯ a ɹ i ʃ
ওয়ালেদ	o̯ a l e d̪
ওয়ালেদা	o̯ a l e d̪ a
ওয়াশিংটন	o̯ a ʃ i ŋ t ɔ n
ওয়াস্তা	o̯ a s t̪ a
ওয়াহেগুরু	o̯ a h e ɡ u ɹ u
ওয়েবপেজ	o̯ e b p e d ʑ
ওয়েলস	o̯ e l s
ওয়েল্‌স্‌	o̯ e l s
ওরফে	o ɾ o f e
ওল	o l
ওলদ	o l o d̪
ওলন্দাজ	o l o n d̪ a d ʑ
ওলি	o l i
ওশেনিয়া	o ʃ e n i̯ a
ওষুধ	o ʃ u d̪ʱ
ওষ্ঠ্য	o ʃ tʰː o
ওসমান	o s m a n
ওস্তাদ	o s t̪ a d̪
ওহাইও	o h a i̯ o
ঔ	o u
ঔঁ	o m
ঔঁ	o u̯ m
ঔঁ	õ m
ঔষধ	o u̯ ʃ ɔ d̪ʱ
ক	k ɔ
কংগ্রেস	k ɔ ŋ ɡ ɹ e s
কই	k o i̯
কওম	k ɔ o̯ m
কওয়া	k ɔ o̯ a
কক্সবাজার	k ɔ k s b a d͡ʒ a ɾ
কক্সবাজার	k ɔ k s e s b a d͡ʒ a ɾ
কখন	k ɔ kʰ ɔ n
কখনও	k ɔ kʰ ɔ n o
কখনো	k ɔ kʰ o n o
কঙ্কাল	k ɔ ŋ k a l
কচু	k ɔ t ɕ u
কচুয়া	k ɔ t ɕ u̯ a
কচ্ছপ	k ɔ t ɕʰː ɔ p
কঠিন	k o tʰ i n
কঠোর	k ɔ t̪ʰ o ɹ
কড়া	k ɔ ɹ a
কড়াই	k ɔ ɹ a i̯
কণা	k ɔ n a
কণ্ঠ	k ɔ n tʰ o
কণ্ঠা	k ɔ n tʰ a
কণ্ঠ্য	k ɔ n tʰ o
কত	k ɔ t̪ o
কথন	k ɔ t̪ʰ ɔ n
কথা	k ɔ t̪ʰ a
কথাবার্তা	k ɔ t̪ʰ a b a ɹ t̪ a
কথ্য	k o t̪ʰː o
কদবেল	k ɔ d̪ b e l
কদম	k ɔ d̪ o m
কদম্ব	k ɔ d̪ o m b o
কদম্বকুসুম	k ɔ d̪ o m b ɔ k u ʃ u m
কদর	k ɔ d̪ o ɹ
কদাচিৎ	k ɔ d̪ a t ɕ i t̪
কদু	k o d̪ u
কনক	k ɔ n o k
কনকচাঁপা	k ɔ n o k t ɕ a p a
কনস্টান্টিনোপল	k ɔ n s t a n t i n o p o l
কনুই	k o n u̯ i
কন্ডম	k ɔ n ɖ ɔ m
কন্যা	k o nː a
কন্যা	k ɔ nː a
কপাল	k ɔ p a l
কপি	k o p i
কপিত্থ	k o p i t̪ʰː o
কফ	k ɔ f
কফি	k ɔ f i
কবর	k ɔ b o ɹ
কবর	q ɔ b o ɹ
কবরস্থান	k ɔ b o ɹ ɔ s t̪ʰ a n
কবি	k o b i
কবিতা	k o b i t̪ a
কবুতর	k o b u t̪ ɔ ɹ
কবুল	k o b u l
কবে	k ɔ b e
কম	k ɔ m
কমলা	k ɔ m l a
কমলা	k ɔ m o l a
কমানো	k ɔ m a n o
কম্পাস	k ɔ m p a s
কম্পাস	k ɔ m p a ʃ
কম্পিউটার	k ɔ m p i u̯ t a ɹ
কম্পিউটিং	k ɔ m p i u̯ t i ŋ
কম্বল	k ɔ m b o l
কয়	k ɔ e̯
কয়থ	k ɔ e̯ o t̪ʰ
কয়লা	k ɔ e̯ l a
কয়লাখনি	k ɔ e̯ l a kʰ o n i
কয়েক	k ɔ e k
কয়েক	k ɔ e̯ ‿ ɛ k
কয়েতবেল	k ɔ e̯ e t̪ b e l
কয়েথ	k ɔ e t̪ʰ
কয়েদ	k ɔ e d̪
কয়েদখানা	k ɔ e d̪ kʰ a n a
কর	k ɔ ɹ
করজ	k ɔ ɹ o z
করঞ্জ	k ɔ r o n d͡ʒ o
করণ	k ɔ ɹ o n
করত	k ɔ ɹ t̪ o
করতে	k o ɹ t̪ e
করবী	k ɔ ɾ ɔ b i
করবে	k ɔ ɹ b e
করবেন	k o ɹ b e n
করলা	k ɔ ɾ o l a
করলে	k ɔ ɹ l e
করা	k ɔ ɹ a
করাত	k ɔ r a t
করানো	k ɔ ɹ a n o
করি	k o ɹ i
করিম	k o ɹ i m
করুণা	k o ɹ u n a
করুন	k o ɹ u n
করে	k ɔ ɹ e
করেছিল	k ɔ ɹ e t ɕʰ i l o
করেছিলেন	k ɔ ɹ e t ɕʰ i l e n
করেন	k ɔ ɹ e n
করো	k ɔ ɹ o
করোনা	k ɔ ɹ o n a
করোনাভাইরাস	k ɔ ɹ o n a bʱ a i̯ ɹ a s
কর্কট	k ɔ ɹ k ɔ t
কর্জ	k ɔ ɹ d ʑ o
কর্ণ	k ɔ ɹ n o
কর্ণপাত	k ɔ ɹ n o p a t̪
কর্ণাটক	k ɔ ɹ n a t ɔ k
কর্তৃকারক	k ɔ ɹ t̪ ɹ i k a ɹ ɔ k
কর্তৃত্ব	k o ɹ t̪ ɹ i t̪ː o
কর্পূর	k ɔ ɹ p u ɹ
কর্বুর	k ɔ ɹ b u ɹ
কর্ম	k ɔ ɹ m o
কারখানা	k a ɹ kʰ a n a
কুকুর	k u k u ɹ
কুকুর	k u k u ɾ
কেন্দ্র	k e n d̪ ɾ o
কেবল	k e b ɔ l
কেবল	k ɛ b ɔ l
কেমন	k æ m o n
কেমন	k æ m ɔ n
কেয়া	k e a
কেয়ামত	k e a m ɔ t̪
কেয়ামত	k e̯ a m ɔ t̪
কেরল	k e ɹ ɔ l
কেরামত	k e ɹ a m ɔ t̪
কেরামতি	k e ɹ a m o t̪ i
কেরালা	k e ɹ a l a
কেরোসিন	k e ɹ o ʃ i n
কেল্লা	k e lː a
কেল্লাফতে	k e lː a f o t̪ e
কেষ্ট	k e ʃ ʈ o
কেষ্টবিষ্টু	k e ʃ ʈ o b i ʃ ʈ u
কৈ	k o i̯
কোকিল	k o k i l
কোঠা	k o tʰ a
কোণ	k o n
কোত	k o t̪
কোতোয়াল	k o t̪ o̯ a l
কোথা	k o t̪ʰ a
কোথাও	k o t̪ʰ a o̯
কোথায়	k o t̪ʰ a e̯
কোন	k o n
কোনখানে	k o n kʰ a n e
কোনা	k o n a
কোনো	k o n o
কোপতা	k o p t̪ a
কোপ্তা	k o p t̪ a
কোফতা	k o f t̪ a
কোফতা	k o pʰ t̪ a
কোমর	k o m o ɹ
কোমল	k o m o l
কোমলাস্থি	k o m o l a s t̪ʰ i
কোরিয়া	k o ɹ i̯ a
কোল	k o l
কোলবালিশ	k o l b a l i ʃ
কোশেশ	k o ʃ e ʃ
কোষ	k o ʃ
কোষ্টা	k o ʃ ʈ a
কোহিনূর	k o h i n u ɹ
কৌঁসুলি	k o u̯ ʃ u l i
কৌমুদী	k o u̯ m u d̪ i
কৌলিক	k o u̯ l i k
কৌশল	k o u̯ ʃ ɔ l
কৌশল্যা	k o u̯ ʃ ɔ lː a
কৌশিক	k o u ʃ i k
কৌশিক	k o u̯ s̠ i k
ক্বিবলা	k i b l a
