آلھݨا	aː lʰ ɳ aː
ستر	s ə t̪ t̪ ɪ ɾ
ستونجھا	s ə t̪ ʋ ə̃ d͡ʒʰ ɑː
ستیٹھ	s ə t̪ ɛː ʈʰ
سجاگ	s ʊ d͡ʒ ɑː ɡ
سر	s ɪ ɾ
سرائیکی	s ə ɾ ɛː k iː
سرائیکی	s ɪ ɾ ɛː k iː
سرینہہ	s ə ɾ ĩː h
سرینہہ	ʃ ə ɾ ĩː h
سلھ	s ɪ lʰ
سمھݨ	s ʊ m mʰ ə ɳ
سمھݨ	s ə m mʰ ə ɳ
سناں	s i n n ãː
سنتالی	s ə n t̪ ɑː l iː
سنگھݨ	s ɪ ŋ ɡʰ ə ɳ
سنیہا	s ə n eː h aː
سوتر	s oː t̪ ɾ
سولھاں	s oː lʰ ãː
سوݨھا	s oː ɳʰ aː
سوݨھا	s oː h ɳ aː
سٹھ	s ə ʈʰː
سڄا	s ə ʄ ʄ äː
سڑن	s ə ɽ ə n
سکا	s ʊ k k aˑ
سکھݨ	s i k̚ kʰ ə ɳ
سینتی	s ɛ̃ː t̪ iː
سݙݨ	s ə ɗ ɗ ə ɳ
سݨݨ	s ʊ ɳ ə ɳ
شاپر	ʃ aˑ p o ɾ
شاپر	ʃ aˑ p ə ɾ
لانگھا	l ãː ɡʰ aː
لت	l ə t̪ː
لفظ	l ə v z
لوا	l ə ʋ ʋ ɑː
لوٹا	l oː ʈ aː
لوݨ	l uː ɳ
لکھݨ	l ɪ k kʰ ə ɳ
لکݨ	l ʊ k k ə ɳ
لکݨ	l ə k k ə ɳ
لیٹݨ	l eː ʈ ə ɳ
متھا	m ə t̪ t̪ʰ ɑː
مس	m ə s
مسات	m ə s aː t̪
مسیت	m ə s iː t̪
مسیتر	m ə s iː t̪ ʊ ɾ
مسیتر	m ə s iː t̪ ə ɾ
ملݨ	m ɪ l ə ɳ
ملݨ	m ə l ə ɳ
منجھ	m ə̃ d͡ʒʰ
مندری	m ʊ n d̪ ɾ iː
مونڈھا	m õː n ɖʰ aː
مونڈھا	m ũː n ɖʰ aː
مٹھا	m ɪ ʈ ʈʰ aː
مہینہ	m ə h iː n aː
میتھوں	m ɛ̃ː t̪ʰ ũː
میکوں	m ɛː k ũː
میں	m ɛ̃ː
میݙا	m ɛː ɗ aː
ناس	n aː s
نانگ	n ãː ɡ
نوں	n ũː
نوں	n ɔ̃ː
نوں	n õː
نک	n ə kː
نکا	n i k k aː
واسطے	v aː s t̪ eˑ
وال	v aː l
وتاؤں	v ə t̪ a ũː
وسل	ʋ ə sː ʊ l
وسل	ʋ ə sː ə l
ولݨ	v ə l l ə ɳ
ونڄݨ	ʋ ə̃ ɲ ʄ ə ɳ
وچ	v ɪ t͡ʃ
ویچݨ	ʋ eː t͡ʃ ə ɳ
ویہہ	v iː h
وݙا	v ə ɗ ɗ aː
ٹرݨ	ʈ ʊ ɾ ə ɳ
ٹٻا	ʈ i ɓ ɓ aː
ٻئیٹھ	ɓ ɪ j ɛː ʈʰ
ٻئیٹھ	ɓ ɪ ɛː ʈʰ
ٻئیٹھ	ɓ ɛː ʈʰ
ٻارھاں	ɓ aː ɾʰ ãː
ٻال	ɓ aː l
ٻالٹی	ɓ aː l ʈ iː
ٻانہہ	ɓ ãː h
ٻاوی	ɓ aː v iː
ٻتالی	ɓ ɪ t̪ ɑː l iː
ٻتی	ɓ ə t̪ t̪ iː
ٻلا	ɓ ɪ l l aː
ٻلی	ɓ ɪ l l iː
ٻولݨ	ɓ oː l ə ɳ
ٻونجھا	ɓ ə ʋ ə̃ d͡ʒʰ ɑː
ٻڈھا	ɓ ʊ ɖ ɖʰ aː
ٻڑکݨ	ɓ ə ɽ k ə ɳ
ٻہتر	ɓ ə h ə t̪ t̪ ə ɾ
پاوݨ	p ɑː ʋ ə ɳ
پاݨی	p aː ɳ iː
پتر	p a t r
پتر	p ʊ t̪ ɾ
پترا	p ə t̪ ɾ aː
پتریر	p ɪ t̪ ɾ eː ɾ
پراݨا	p ʊ ɾ aː ɳ aː
پرسوں	p ə ɾ s ũː
پرنیجݨ	p ə r n iː ɟ ə ɳ
پروݨ	p ə ɾ uː ɳ
پسݨ	p ʊ s s ə ɳ
پنتالی	p ɪ n t̪ ɑː l iː
پنج	p ə̃ d͡ʒ
پنجھا	p ə̃ ɲ d͡ʒʰ ɑː
پنجھتر	p ə ŋ d͡ʒʰ ə t̪ t̪ ɪ ɾ
پنجھتر	p ə ŋ d͡ʒʰ ə t̪ t̪ ə ɾ
پنجی	p ə̃ d͡ʒ iː
پندھراں	p ə n d̪ʰ ɾ ãː
پوݨا	p õː ɳ ɑ̃ː
پٹھاݨ	p ə ʈʰ aː ɳ
پچونجھا	p ə t͡ʃ ʋ ə̃ d͡ʒʰ ɑː
پچھاواں	p ə t͡ʃʰ ɑː v ɑ̃ː
پکھا	p ə kːʰ aː
پکھی	p ə k kʰ iː
پکݨ	p ə k k ə ɳ
پہارو	p ə h ɑː ɾ uː
پیر	p eː ɾ
پیر	p iː ɾ
پینتی	p ɛ̃ː t̪ iː
پینٹھ	p ɛ̃ː ʈʰ
پیوݨ	p iː v ə ɳ
پے	p ɛː
پݨݨ	p ʊ ɳ ə ɳ
ڄبھ	ʄ ɪ bʰ
ڄنگھ	ʄ ə̃ ŋ ɡʰ
چار	t͡ʃ aː ɾ
چالیہہ	t͡ʃ ɑː l iː h
چاٻی	t͡ʃ aː ɓ iː
چتالی	t͡ʃ ʊ t̪ ɑː l iː
چرنجھا	t͡ʃ ʊ ɾ ə̃ d͡ʒʰ ɑː
چن	t͡ʃ ə n
چنانہہ	t͡ʃ ə n ãː h
چونتی	t͡ʃ õː t̪ iː
چونٹھ	t͡ʃ õː ʈʰ
چوی	t͡ʃ ə v iː
چوݙاں	t͡ʃ oː ɗ ãː
چکھݨ	t͡ʃ ə k kʰ ə ɳ
چھئیٹھ	t͡ʃʰ ɪ j ɛː ʈʰ
چھئیٹھ	t͡ʃʰ ɪ ɛː ʈʰ
چھاں	t͡ʃʰ ɑ̃ː
چھتالی	t͡ʃʰ ɪ t̪ ɑː l iː
چھتی	t͡ʃʰ ə t̪ t̪ iː
چھورا	t͡ʃʰ oː ɾ äː
چھونجھا	t͡ʃʰ ɪ ʋ ə̃ d͡ʒʰ ɑː
چھوہر	t͡ʃʰ oː h ɾ
چھوہر	t͡ʃʰ oː h o ɾ
چھوہر	t͡ʃʰ uː h ɾ
چھوہر	t͡ʃʰ uː h o ɾ
چھوہر	t͡ʃʰ oː h ɪ ɾ
چھوہر	t͡ʃʰ uː h ɪ ɾ
چھوݨی	t͡ʃʰ ũː ɳ iː
چھٻی	t͡ʃʰ ə ɓ ɓ iː
چھہتر	t͡ʃʰ ɪ h ə t̪ t̪ ə ɾ
چھیں	t͡ʃʰ ẽː h̃
چھیں	t͡ʃʰ ẽː
چھیں	t͡ʃʰ ĩː h̃
چھیں	t͡ʃʰ ĩː
چہتر	t͡ʃ ʊ h ə t̪ t̪ ə ɾ
چیل	t͡ʃ eː l
چیچی	t͡ʃ iː t͡ʃ iː
ڈھاک	ɖʰ aː k
ڈیرہ	ɖ eː ɾ aː
کاوڑ	k aː v ɪ ɽ
کاں	k ãˑ
کتا	k ʊ t̪ t̪ aː
کتھاں	k ɪ t̪ t̪ʰ ɑ̃ː
کرݨ	k ə ɾ ə ɳ
کلتھوں	k ə l ə t̪ t̪ʰ ũː
کلھ	k ə lʰ
کن	k ə nː
کنجی	k ʊ̃ n d͡ʒ iː
کندھ	k ə n̪ d̪ʰ
کوں	k ũː
کوݨ	k oː ɳ
کچھ	k ə t͡ʃːʰ
کچھݨ	k ə t͡ʃ t͡ʃʰ ə ɳ
ککڑ	k ʊ k k ʊ ɽ
ککڑ	k ʊ k k ə ɽ
ککڑ	k ʊ k k ɪ ɽ
کھاوݨ	kʰ aː v ə ɳ
کھاݨاں	kʰ aː ɳ ãː
کھرسی	kʰ ʊ ɾ s iː
کھولݨ	kʰ oː l ə ɳ
کھٻا	kʰ ə ɓ ɓ ɑː
کھکھاڑی	kʰ ə kʰ ɑː ɽ iː
کھکھر	kʰ ə k̚ kʰ ɪ ɾ
کھیر	kʰ iː ɾ
کھیݙݨ	kʰ eː ɗ ə ɳ
کیویں	k iː v ẽː
کݙݨ	k ə ɗ ə ɳ
گوشت	ɡ oː ʃ t̪
گھنݨ	ɡʰ i n ə ɳ
گھٹݨ	ɡʱ ə ʈ ʈ ə ɳ
گھٹݨ	ɡʰ ʊ ʈ ʈ ə ɳ
ڳاں	ɠ ãː
ڳسݨی	ɠ ɪ s ɳ iː
ڳلھ	ɠ ə lːʰ
ڳوݙا	ɠ oː ɗ aː
ڳٹا	ɠ i ʈ ʈ aː
ڳچی	ɠ ɪ t͡ʃ t͡ʃ iː
ہاں	h ɑ̃ː
ہتھ	h ə t̪ʰ
ہفتہ	h ə f t̪ ɑː
ہنج	h ə̃ d͡ʒ
ہوا	h ə v aː
ہولا	h oː l ɑː
ہووݨ	h oː v ə ɳ
ہوٹھ	h oː ʈʰ
ہک	h ɪ k
ہݙی	ɦ ə ɗ ɗ iː
ہݨوں	h ə ɳ ũː
یارھاں	j aː ɾʰ ãː
یہݨ	j ə h ə ɳ
ݙ	ɗ aː l
ݙ	ɗ
ݙا	ɗ ɑː
ݙاند	ɗ ãː d̪
ݙاڑھی	ɗ aː ɽʰ iː
ݙاہ	ᶑ aː ɦ
ݙبھار	ɗ ɪ bʰ ɑː ɾ
ݙسݨ	ɗ ə sː ə ɳ
ݙسݨ	ɗ ɪ sː ə ɳ
ݙلاہ	ɗ ɪ l ɑː h
ݙند	ɗ ə n d̪
ݙو	ɗ uː
ݙہ	ɗ ə h
ݙینہہ	ɗ ẽː h
ݙینہہ	ɗ ĩː h
ݙیوݨ	ɗ eː v ə ɳ
ݙیکھݨ	ɗ eː kʰ ə ɳ
ݨ	ɳ
घट्टण	ɡʱ ə ʈ ʈ ə ɳ
तावण	t̪ aː v ə ɳ
𑊈𑊐𑊕	ɡʱ ə ʈ ʈ ə ɳ
𑊖𑊤𑊕	t̪ aː v ə ɳ
