abacc	a β ə k
saigtech	s a ɣʲ d̠ʲ a x
saigteóir	s a ɣʲ d̠ʲ eː o̯ rʲ
saigteóir	s a ɣʲ d̠ʲ e̯ oː rʲ
saillte	s a l̠ʲ t̠ʲ ə
scáeth	s k ɤː θ
scáeth	s k ɯː h
sceng	ɕ kʲ e ŋ
scúap	s k uː ə̯ b
secht	ɕ e x t̪
seiche	ɕ e xʲ ə
seólaid	ɕ eː o̯ l ə ðʲ
seólaid	ɕ e̯ oː l ə ɣʲ
sescatmad	ɕ e s k ə d̪ β̃ ə ð
sescatmad	ɕ e s k ə d̪ β̃ ə ɣ
sibal	ɕ i β ə l
siblaid	ɕ i β l ə ðʲ
siblaid	ɕ i β l ə ɣʲ
sicc	ɕ i k
slige	ɕ l̠ʲ i ɣʲ ə
sligeda	ɕ l̠ʲ i ɣʲ ə ð ə
sligeda	ɕ l̠ʲ i ɣʲ ə ɣ ə
sligi	ɕ l̠ʲ i ɣʲ ə
slis	ɕ l̠ʲ i s
slis	ɕ l̠ʲ i ɕ
slúag	s l̪ uː ə̯ ɣ
snechtaide	ɕ n̠ʲ e x t̪ ə ðʲ ə
snechtaide	ɕ n̠ʲ e x t̪ ə ɣʲ ə
snechtamail	ɕ n̠ʲ e x t̪ ə β̃ ə lʲ
socamail	s o k ə β̃ ə lʲ
spled	s pʲ lʲ e ð
spled	s pʲ lʲ e ɣ
substaint	s u b s t̪ ə n̠ʲ t̠ʲ
tabair	t̪ a β ə ɾʲ
tadall	t̪ a ð ə l̪
tadall	t̪ a ɣ ə l̪
Tadg	t̪ a ð ɡ
Tadg	t̪ a ɣ ɡ
taibred	t̪ a βʲ ɾʲ ə ð
taibred	t̪ a βʲ ɾʲ ə ɣ
táncas	t̪ aː ŋ ɡ ə s
téiged	t̠ʲ eː ɣʲ ə ð
téiged	t̠ʲ eː ɣʲ ə ɣ
téit	t̠ʲ eː d̠ʲ
tellach	t̠ʲ e l̪ ə x
tellach	t̠ʲ e l̪ a x
tellaige	t̠ʲ e l̪ ə ɣʲ ə
thecht	θʲ e x t̪
thecht	h e x t̪
théged	θʲ eː ɣʲ ə ð
théged	h eː ɣʲ ə ɣ
tigerna	t̠ʲ i ɣʲ ə r n̪ ə
tinne	t̠ʲ i n̠ʲ ə
tre	t̠ʲ ɾʲ e
trethe	t̠ʲ ɾʲ e θʲ ə
trethe	t̠ʲ ɾʲ e h ə
túarastal	t̪ uː ə̯ ɾ ə s t̪ ə l
túathach	t̪ uː ə̯ θ a x
túathach	t̪ uː ə̯ θ ə x
túathach	t̪ uː ə̯ h a x
túathach	t̪ uː ə̯ h ə x
tucad	t̪ u ɡ ə ð
tucad	t̪ u ɡ ə ɣ
tuilid	t̪ u lʲ ə ðʲ
tuilid	t̪ u lʲ ə ɣʲ
úag	uː a̯ ɣ
úar	uː ə̯ ɾ
úathbás	uː ə̯ θ β aː s
úathbás	uː ə̯ ɸ aː s
uball	u β ə l̪
uile	u lʲ ə
uili	u lʲ ə
Ulad	u l ə ð
Ulad	u l ə ɣ
Ulaid	u l ə ðʲ
Ulaid	u l ə ɣʲ
urlár	u r l̪ aː ɾ
