Ellah	ɛ ɫ ɑː
desmalı	d ɛ s m ɑ l ɪ
destan	d ɛ s t ɑ n
destmale	d ɛ s t m ɑ l ə
destmalı	d ɛ s t m ɑ l ɪ
deştene	d ɛ ʃ t ɛ n ə
dindar	d i n d a r
diyayene	d iː ɛ n ə
diyene	d iː ɛ n ə
dol	d o l
dole	d o l ə
doşiyayene	d o ʃ i j ɑː ɛ n ə
doşiyene	d o ʃ iː ɛ n ə
dû	d ʉ
dıtene	d ɪ t ɛ n ə
edat	e d a t
engıştane	e n ɡ ɯ ʃ t a n e
erd	ɛ ɾ d
esker	ɛ s k ɛ ɾ
espar	ɛ s p ɑ ɾ
eşir	ɛ ʃ i ɾ
eşire	ɛ ʃ i ɾ ə
eşiret	ɛ ʃ i ɾ ɛ t
eşiretı	ɛ ʃ i ɾ ɛ t ɪ
eşirı	ɛ ʃ i ɾ ɪ
finlandıc	f i n l a n d y j
fıkır	f ɯ k ɯ r
fıkırnayış	f ɯ k ɯ r n a y ɯ ʃ
fırayene	f ɪ ř ɑː ɛ n ə
ga	ɡ ɑ
gendnayene	ɡ ɛ n d n ɑː ɛ n ə
gol	ɡ o ɫ
goze	ɡ o z ə
gırewtene	ɡ ɪ r ɛ w t ɛ n ə
herfe	h ɛ r f ɛ
hewr	h ɛ w ɾ
heywan	h ɛ j w a n
heywon	h ɛ j w o n
hor	h o ɾ
héga	h e ɡ a
imam	i m ɑ m
kakuç	k ɑ k u t s
kakuç	k ɑ k u t ʃ
kenek	k e n e k
kerdene	k ɛ r d ɛ n ə
kerdenı	k ɛ r d ɛ n ɪ
kerg	k ɛ ɾ ɡ
kerge	k ɛ ɾ ɡ ə
keyber	k e j b e r
keye	k ɛ j ɛ
ko	k o
kurbeşık	k u ɾ b ɛ ʃ ɪ k
kırıştış	k ɯ r ɯ ʃ t ɯ ʃ
lac	l ɑ d z
lac	l ɑ d ʒ
laj	l ɑ ʒ
laz	l ɑ z
lengayene	l ɛ n ɡ ɑː ɛ n ə
liste	l i s t ə
maki	m ɑ k i
mar	m ɑ ɾ
mazot	m a z o t
mendene	m ɛ n d ɛ n ə
merdene	m ɛ r d ɛ n ə
mezg	m æ z ɣ
murcele	m oː ɾ t ʃʰ æ
musnayene	m u s n ɑː ɛ n ə
mıc	m ɪ d z
mıc	m ɪ d ʒ
mısnayene	m ɪ s n ɑː ɛ n ə
nan	n ɑ n
nergise	n ɛ ɾ ɡ i s ə
nergize	n ɛ ɾ ɡ i z ə
neri	n ɛ r i
non	n o n
numra	n u m ɾ ɑ
numre	n u m r ɛ
numro	n u m ɾ o
nun	n u n
nuştene	n u ʃ t ɛ n ə
nımro	n ɪ m ɾ o
nıştene	n ɪ ʃ t ɛ n ə
omnon	o m n o n
padayış	p a d a y ɯ ʃ
pendir	p ɛ n d i ɾ
perrayene	p ɛ ř ɑː ɛ n ə
pewtene	p ɛ w t ɛ n ə
pezwang	p ɛ z ɛ v ɛ ɳ ɡ
peğıl	p e χ ɯ ɫ
qatır	q ɑ t ɪ ɾ
qatıre	q ɑ t ɪ ɾ ə
qelb	k a l p
qeleme	q ɛ l ɛ m ə
qene	q ɛ n ə
qurbet	q u r b ɛ t
qutiye	q u t i j ə
qıne	q ɪ n ə
rae	ɾ ɑː ə
raye	ɾ ɑː ə
ri	ɾ i
ro	ɾ o
ropırocnayene	r o p ɪ ɾ o d z n ɑ ɛ n ə
ropırocnayene	r o p ɪ ɾ o d ʒ n ɑ ɛ n ə
ropırojnayene	r o p ɪ ɾ o ʒ n ɑ ɛ n ə
ropıroznayene	r o p ɪ ɾ o z n ɑ ɛ n ə
se	s ɛ
sed	s ɛ d
sinayene	s i n ɑː ɛ n ə
sir	s i ɾ
sutene	s u t ɛ n ə
telebe	t ɛ l ɛ b ɛ
torge	t o ɾ ɡ ə
tute	t u t ə
tutı	t u t ɪ
varan	v ɑ ɾ ɑ n
vay	v ɑ y
vaya	v ɑː ɑ
vaye	v ɑː ə
vayı	v ɑː ɪ
vaş	v a ʃ
vinayene	v i n ɑ ɛ n ə
vinıtene	v i n ɪ t ɛ n ə
vênayene	v e n ɑː ɛ n ə
vıl	v ɪ l
vırar	v ɯ r a r
vırnayış	v ɯ r n a y ɯ ʃ
vırsık	v ɪ ɾ s ɪ k
weled	w ɛ l ɛ d
wendene	w ɛ n d ɛ n ə
xali	x ɑ l i
xatune	x ɑ t u n ə
xatunı	x ɑ t u n ɪ
zebeş	z ɛ b ɛ ʃ
zebeşe	z ɛ b ɛ ʃ ə
zebeşı	z ɛ b ɛ ʃ ɪ
zerf	z e ɾ f
zern	z ɛ ɾ n
zerri	z ɛ řʲ
zeveşe	z ɛ v ɛ ʃ ə
çakut	t s ɑ k u t
çakut	t ʃ ɑ k u t
çakuç	t s ɑ k u t s
çakuç	t ʃ ɑ k u t ʃ
çek	t s ɛ k
çek	t ʃ ɛ k
çeke	t s ɛ k ə
çeke	t ʃ ɛ k ə
çem	t s ɛ m
çem	t ʃ ɛ m
çerme	t s ɛ ɾ m ɛ
çerme	t ʃ ɛ ɾ m ɛ
ğamık	ɣ ɑ m ɪ k
İngılızki	i n ɡ ɪ l ɪ z k i
şağ	ʃ ɑ ʁ
şermayene	ʃ ɛ ɾ m ɑː ɛ n ə
şiyayış	ʃ i j a y ɯ ʃ
şutene	ʃ u t ɛ n ə
şuşa	ʃ u ʃ ɑ
şuşe	ʃ u ʃ ɛ
şıtene	ʃ ɪ t ɛ n ə
şıwayene	ʃ ɪ w ɑ ɛ n ə
