аав	aː w ə
тәәҗ	t æː d͡ʑ ə
тәкл	t æ k ə lʲ
тәмрч	t æ m ə r t͡ɕ ə
тег	t e k
телңгүд	t e l ə ŋ ɡ y t
темән	t e m æ n
тер	t e r ə
тиим	t iː m ə
тод	t o d ə
толь	t o lʲ
тоовр	t oː w ə r
тоох	t oː x ə
торһа	t o r ʁ a
торһн	t o r ʁ ə n
тосхач	t o s χ aː t͡ɕ ə
төмр	t ø m ə r
туула	t uː l a
түлкүр	t y lʲ k y r
уйһр	u j ʁ ə r
улан	u l a n
улс	u l ə s
улс	u l s ə
урл	u r ə l
урл	u r l ə
усн	u s ə n
ут	u t ə
утх	u t χ ə
ууһр	uː ʁ ə r
уульнц	uː lʲ ə n t͡s ə
учр	u t͡ɕ ə r
үвл	y w ə lʲ
үзг	y z ə k
үзх	y s x ə
үкрч	y k ə r t͡ɕ ə
үнн	y n ə n
үр	y r
үсн	y s ə n
үүдн	yː d ə n
үүл	yː lʲ ə
хавр	χ a w ə r
хадур	χ a d u r
хазг	χ a z ə k
халх	χ a l χ ə
хальмг	χ a lʲ m ə k
хамр	χ a m ə r
ханҗанав	χ a nʲ d͡ʑ a n a w
ханх	χ a n χ ə
хар	χ a r ə
харҗахар	x a r d͡ʑ a x a r
харнда	χ a r ə n d a
хасг	χ a s ə k
хату	χ a t u
хаша	χ a ʃ a
хәәр	χ æː r χ ə n
хәдрис	χ æ d r i s
хәләх	x æ l æ x ə
хәрх	χ æ r χ ə
хойр	χ o j ə r
хонг	χ o n ə k
хорһлҗн	χ o r ʁ ə lʲ d͡ʑ ə n
хөн	χ ø n
хөөн	χ øː n ə
хөөч	χ øː t͡ɕ ə
хөрг	χ ø r ə k
хувцн	χ u f t͡s ə n
хунтәҗ	x u n t æː d͡ʑ ə
хур	χ u r ə
хур	χ u r
хуур	χ uː r ə
цаасн	t͡s aː s ə n
цаһан	t͡s a ʁ a n
цаңһх	t͡s a ŋ k x ə
цәкм	t͡s æ k ə m
цегдг	t͡s e ɡ d ə k
цекә	t͡s e k æ
цецг	t͡s e t s ə k
цецгә	t͡s e t͡s ɡ æ
цецгә	t͡s e t͡s k æ
циигн	t͡s iː ɡ ə n
цогц	t͡s o k t͡s ə
чееҗ	t͡ɕ eː d͡ʑ ə
чиирг	t͡ɕ iː r ə k
чикн	t͡ɕ i k ə n
чирә	t͡ɕ i r æ
чон	t͡ɕ o n ə
шалвр	ʃ a l w ə r
шалтан	ʃ a l t a n
шар	ʃ a r ə
шеемг	ʃ eː m ə k
шеех	ʃ eː χ ə
шин	ʃ i n ə
ширә	ʃ i r æ
шугшх	ʃ u k ʃ χ ə
шүдн	ʃ y d ə n
эгч	e k t ɕ ə
эк	e k ə
эләд	e l æː d ə
элмр	e lʲ m ə r
эмч	e m t͡ɕ ə
эн	e n ə
Эркү	e r k y
эркшлтә	e r k ʃ ə lʲ t æ
эрмәль	e r m æː lʲ ɪ
эрмәль	e r m æ lʲ
эцк	e t͡s ə k ə
ээ	eː
ээҗ	eː d͡ʑ ə
юн	j u n
яах	j aː χ ə
яһсн	j a χ s ə n
яман	j a m a n
ямаран	j a m a r a n
ясн	j a s ə n
