Ա	ɑ
Ագարակ	ɑ kʰ ɑ ɾ ɑ ɡ
Ագարտալա	ɑ kʰ ɑ ɾ d ɑ l ɑ
Ագինսկոյե	ɑ kʰ i n s k o j e
Ագրիպպաս	ɑ kʰ ɾ i bː ɑ s
Ադամ	ɑ tʰ ɑ m
Ադամյան	ɑ tʰ ɑ m j ɑ n
Ադանա	ɑ tʰ ɑ n ɑ
Ադլեր	ɑ tʰ l e ɾ
Ադոնց	ɑ tʰ o n t͡sʰ
Ադրբեջան	ɑ tʰ ə ɾ pʰ e t͡ʃʰ ɑ n
Ադրիանապոլիս	ɑ tʰ ɾ i j ɑ n ɑ b o l i s
Ադրիանոս	ɑ tʰ ɾ i j ɑ n o s
Ազատ	ɑ z ɑ d
Ազնիվ	ɑ z n i v
Ազորներ	ɑ z o ɾ n e ɾ
Աթաբեկ	ɑ tʰ ɑ pʰ e ɡ
Աթանաս	ɑ tʰ ɑ n ɑ s
Աթենաս	ɑ tʰ e n ɑ s
Աթենք	ɑ tʰ e ŋ kʰ
Աժդահակ	ɑ ʃ tʰ ɑ h ɑ ɡ
Աիդա	ɑ j i tʰ ɑ
Ալադին	ɑ l ɑ tʰ i n
Ալազան	ɑ l ɑ z ɑ n
Ալանք	ɑ l ɑ ŋ kʰ
Ալավերդի	ɑ l ɑ v e ɾ tʰ i
Ալբանիա	ɑ l pʰ ɑ n i j ɑ
Ալբարյան	ɑ l pʰ ɑ ɾ j ɑ n
Ալբերտ	ɑ l pʰ e ɾ d
Ալեն	ɑ l e n
Ալեքսան	ɑ l e kʰ s ɑ n
Ալեքսանդր	ɑ l e kʰ s ɑ n tʰ ə ɾ
Ալեքսանդրապոլ	ɑ l e kʰ s ɑ n tʰ ɾ ɑ b o l
Ալեքսանդրիա	ɑ l e kʰ s ɑ n tʰ ɾ i j ɑ
Ալեքսանյան	ɑ l e kʰ s ɑ n j ɑ n
Ալեքսիյ	ɑ l e kʰ s i j
Ալթըբարմագյան	ɑ l tʰ ə pʰ ɑ ɾ m ɑ kʰ j ɑ n
Ալթըբարմաքյան	ɑ l tʰ ə pʰ ɑ ɾ m ɑ kʰ j ɑ n
Ալթըփարմագյան	ɑ l tʰ ə pʰ ɑ ɾ m ɑ kʰ j ɑ n
Ալթըփարմաքյան	ɑ l tʰ ə pʰ ɑ ɾ m ɑ kʰ j ɑ n
Ալթիպարմաղյան	ɑ l tʰ i b ɑ ɾ m ɑ ʁ j ɑ n
Ալժիր	ɑ l ʒ i ɾ
Ալինա	ɑ l i n ɑ
Ալիստեր	ɑ l i s t e ɾ
Ալիև	ɑ l i j e v
Ալլա	ɑ lː ɑ
Ալլահ	ɑ lː ɑ h
Ալկայոս	ɑ l ɡ ɑ j o s
Ալկիբիադես	ɑ l ɡ i pʰ i j ɑ tʰ e s
Ալկման	ɑ l ɡ m ɑ n
Ալկմենե	ɑ l ɡ m e n e
Ալմաթի	ɑ l m ɑ tʰ i
Ալյասկա	ɑ l j ɑ s k ɑ
Ալպեր	ɑ l b e ɾ
Ալջունիդ	ɑ l t͡ʃʰ u n i tʰ
Ախալցխա	ɑ χ ɑ l t͡sʰ ə χ ɑ
Ախալքալաք	ɑ χ ɑ l kʰ ɑ l ɑ kʰ
Ախալքալաքի	ɑ χ ɑ l kʰ ɑ l ɑ kʰ i
Ախուրյան	ɑ χ u ɾ j ɑ n
Ահարոն	ɑ h ɑ ɾ o n
Ահարոնյան	ɑ h ɑ ɾ o n j ɑ n
Ահրիման	ɑ h ɾ i m ɑ n
Աղաթոն	ɑ ʁ ɑ tʰ o n
Աղայան	ɑ ʁ ɑ j ɑ n
Աղաջանյան	ɑ ʁ ɑ t͡ʃʰ ɑ n j ɑ n
Աղասի	ɑ ʁ ɑ s i
Աղաֆոն	ɑ ʁ ɑ f o n
Աղդամ	ɑ χ tʰ ɑ m
Աղձնիք	ɑ χ t͡sʰ n i kʰ
Աղջայան	ɑ χ t͡ʃʰ ɑ j ɑ n
Աղվան	ɑ ʁ v ɑ n
Աղվանք	ɑ ʁ v ɑ ŋ kʰ
Աճառյան	ɑ d͡ʒ ɑ ɾ j ɑ n
Աճեմյան	ɑ d͡ʒ e m j ɑ n
Ամազոն	ɑ m ɑ z o n
Ամալյա	ɑ m ɑ l j ɑ
Ամանոս	ɑ m ɑ n o s
Ամանոր	ɑ m ɑ n o ɾ
Ամբակում	ɑ m pʰ ɑ ɡ u m
Ամերիկա	ɑ m e ɾ i ɡ ɑ
Ամերիկայի	ɑ m e ɾ i ɡ ɑ j i
Ամիրան	ɑ m i ɾ ɑ n
Ամիրանյան	ɑ m i ɾ ɑ n j ɑ n
Ամիրխանյան	ɑ m i ɾ χ ɑ n j ɑ n
Ամիրյան	ɑ m i ɾ j ɑ n
Ամման	ɑ mː ɑ n
Ամուդարյա	ɑ m u tʰ ɑ ɾ j ɑ
Ամուր	ɑ m u ɾ
Ամուրի	ɑ m u ɾ i
Ամստերդամ	ɑ m s t e ɾ tʰ ɑ m
Այծեղջյուր	ɑ j d͡z e χ t͡ʃʰ ʏ ɾ
Այծեմնիկ	ɑ j d͡z e m n i ɡ
Այուբյան	ɑ j u pʰ j ɑ n
Այսրկովկաս	ɑ j s ə ɾ ɡ o f ɡ ɑ s
Այվազյան	ɑ j v ɑ z j ɑ n
Այրարատ	ɑ j ɾ ɑ ɾ ɑ d
Անադիր	ɑ n ɑ tʰ i ɾ
Անակ	ɑ n ɑ ɡ
Անակրեոն	ɑ n ɑ ɡ ɾ e o n
Անահիտ	ɑ n ɑ h i d
Անանիա	ɑ n ɑ n i j ɑ
Անաստաս	ɑ n ɑ s t ɑ s
Անատոլիա	ɑ n ɑ d o l i j ɑ
Անաքսագորաս	ɑ n ɑ kʰ s ɑ kʰ o ɾ ɑ s
Անաքսիմանդրոս	ɑ n ɑ kʰ s i m ɑ n tʰ ɾ o s
Անաքսիմենես	ɑ n ɑ kʰ s i m e n e s
Անգլիա	ɑ ŋ kʰ l i j ɑ
Անգմոկիո	ɑ ŋ kʰ m o ɡ i j o
Անդեր	ɑ n tʰ e ɾ
Անդորա	ɑ n tʰ o ɾ ɑ
Անդորրա	ɑ n tʰ o ɾː ɑ
Անդրանիկ	ɑ n tʰ ɾ ɑ n i ɡ
Անդրբայկալ	ɑ n tʰ ə ɾ pʰ ɑ j ɡ ɑ l
Անդրեաս	ɑ n tʰ ɾ e ɑ s
Անդրեասյան	ɑ n tʰ ɾ e ɑ s j ɑ n
Անդրիասյան	ɑ n tʰ ɾ i j ɑ s j ɑ n
Անդրկովկաս	ɑ n tʰ ə ɾ ɡ o f ɡ ɑ s
Անդրհորդանան	ɑ n tʰ ə ɾ h o ɾ tʰ ɑ n ɑ n
Անդրոմաքե	ɑ n tʰ ɾ o m ɑ kʰ e
Անթառամ	ɑ n tʰ ɑ ɾ ɑ m
Անժելա	ɑ n ʒ e l ɑ
Անժու	ɑ n ʒ u
Անի	ɑ n i
Անկարա	ɑ ŋ ɡ ɑ ɾ ɑ
Անկոս	ɑ ŋ ɡ o s
Աննա	ɑ nː ɑ
Անուշ	ɑ n u ʃ
Անուշավան	ɑ n u ʃ ɑ v ɑ n
Անտանանարիվու	ɑ n d ɑ n ɑ n ɑ ɾ i v u
Անտարկտիկա	ɑ n d ɑ ɾ ɡ d i ɡ ɑ
Անտիգոնե	ɑ n d i kʰ o n e
Անտիոք	ɑ n d i j o kʰ
Անտիոքոս	ɑ n d i j o kʰ o s
Անտիսթենես	ɑ n d i s tʰ e n e s
Անտիտավրոս	ɑ n d i d ɑ v ɾ o s
Անտոնիոս	ɑ n d o n j o s
Աշգաբատ	ɑ ʃ kʰ ɑ pʰ ɑ d
Աշխաբադ	ɑ ʃ χ ɑ pʰ ɑ tʰ
Աշխեն	ɑ ʃ χ e n
Աշոտ	ɑ ʃ o d
Աշոտյան	ɑ ʃ o d j ɑ n
Աշտարակ	ɑ ʃ t ɑ ɾ ɑ ɡ
Աոմին	ɑ o m i n
Աուլիս	ɑ u l i s
Ապամեա	ɑ b ɑ m e ɑ
Ապարան	ɑ b ɑ ɾ ɑ n
Ապենիններ	ɑ b e n i nː e ɾ
Ապիրատ	ɑ b i ɾ ɑ d
Ապոլլոն	ɑ b o l o n
Ապոլոն	ɑ b o l o n
Ապոլոնիա	ɑ b o l o n i j ɑ
Ապուլիա	ɑ b u l i j ɑ
Ապպիանոս	ɑ bː i j ɑ n o s
Ապպիոս	ɑ bː i j o s
Ապրես	ɑ b ɾ e s
Ապրեսյան	ɑ b ɾ e s j ɑ n
Աջարիա	ɑ t͡ʃʰ ɑ ɾ i j ɑ
Առաքել	ɑ ɾ ɑ kʰ e l
Առաքելյան	ɑ ɾ ɑ kʰ e l j ɑ n
Առինջ	ɑ ɾ i n t͡ʃʰ
Առյուծ	ɑ ɾ ʏ d͡z
Առնո	ɑ ɾ n o
Առուշանյան	ɑ ɾ u ʃ ɑ n j ɑ n
Առտիալ	ɑ ɾ d i j ɑ l
Ասատուր	ɑ s ɑ d u ɾ
Ասատուրյան	ɑ s ɑ d u ɾ j ɑ n
Ասատրյան	ɑ s ɑ d ə ɾ j ɑ n
Ասիա	ɑ s i j ɑ
Ասլանճյան	ɑ s l ɑ n d͡ʒ j ɑ n
Ասլանյան	ɑ s l ɑ n j ɑ n
Ասկալոն	ɑ s k ɑ l o n
Ասկանիոս	ɑ s k ɑ n i j o s
Ասմարա	ɑ s m ɑ ɾ ɑ
Ասմերա	ɑ s m e ɾ ɑ
Ասորեստան	ɑ s o ɾ e s t ɑ n
Ասորիք	ɑ s o ɾ i kʰ
Ասպահան	ɑ s p ɑ h ɑ n
Ասպետ	ɑ s p e d
Ասսամ	ɑ sː ɑ m
Աստանա	ɑ s t ɑ n ɑ
Աստղիկ	ɑ s t ʁ i ɡ
Աստվածատուր	ɑ s t v ɑ d͡z ɑ d u ɾ
Աստրախան	ɑ s t ɾ ɑ χ ɑ n
Ասքանազ	ɑ s kʰ ɑ n ɑ z
Ավագ	ɑ v ɑ kʰ
Ավագյան	ɑ v ɑ kʰ j ɑ n
Ավանիսյան	ɑ v ɑ n i s j ɑ n
Ավգերյան	ɑ f kʰ e ɾ j ɑ n
Ավգիաս	ɑ f kʰ i j ɑ s
Ավգուստինոս	ɑ f kʰ u s t i n o s
Ավետ	ɑ v e d
Ավետիս	ɑ v e d i s
Ավետիսյան	ɑ v e d i s j ɑ n
Ավետիք	ɑ v e d i kʰ
Ավետյան	ɑ v e d j ɑ n
Ավինյոն	ɑ v i n j o n
Ավիցեննա	ɑ v i t͡sʰ e nː ɑ
Ավլիս	ɑ v l i s
Ավոգադրո	ɑ v o kʰ ɑ tʰ ɾ o
Ավստրալիա	ɑ f s t ɾ ɑ l i j ɑ
Ավստրիա	ɑ f s t ɾ i j ɑ
Ատալիա	ɑ d ɑ l i j ɑ
Ատիլիոս	ɑ d i l i j o s
Ատոմ	ɑ d o m
Ատրներսեհ	ɑ d ə ɾ n e ɾ s e h
Ատրպատական	ɑ d ə ɾ b ɑ d ɑ ɡ ɑ n
Արա	ɑ ɾ ɑ
Արաբաջյան	ɑ ɾ ɑ pʰ ɑ t͡ʃʰ j ɑ n
Արաբիա	ɑ ɾ ɑ pʰ i j ɑ
Արագած	ɑ ɾ ɑ kʰ ɑ d͡z
Արագածոտն	ɑ ɾ ɑ kʰ ɑ d͡z o d ə n
Արախա	ɑ ɾ ɑ χ ɑ
Արածանի	ɑ ɾ ɑ d͡z ɑ n i
Արամ	ɑ ɾ ɑ m
Արամազդ	ɑ ɾ ɑ m ɑ s tʰ
Արամայիս	ɑ ɾ ɑ m ɑ j i s
Արամանյակ	ɑ ɾ ɑ m ɑ n j ɑ ɡ
Արամյան	ɑ ɾ ɑ m j ɑ n
Արայիկ	ɑ ɾ ɑ j i ɡ
Արապաճյան	ɑ ɾ ɑ b ɑ d͡ʒ j ɑ n
Արարատ	ɑ ɾ ɑ ɾ ɑ d
Արաքս	ɑ ɾ ɑ kʰ s
Արաքսի	ɑ ɾ ɑ kʰ s i
Արբելա	ɑ ɾ pʰ e l ɑ
Արգավանդ	ɑ ɾ kʰ ɑ v ɑ n tʰ
Արգենտինա	ɑ ɾ kʰ e n d i n ɑ
Արգիշտի	ɑ ɾ kʰ i ʃ t i
Արգոլիս	ɑ ɾ kʰ o l i s
Արե	ɑ ɾ e
Արեգ	ɑ ɾ e kʰ
Արեգակ	ɑ ɾ e kʰ ɑ ɡ
Արեկիպա	ɑ ɾ e ɡ i b ɑ
Արես	ɑ ɾ e s
Արզումանյան	ɑ ɾ z u m ɑ n j ɑ n
Արթիկ	ɑ ɾ tʰ i ɡ
Արթունյան	ɑ ɾ tʰ u n j ɑ n
Արթուր	ɑ ɾ tʰ u ɾ
Արժանթին	ɑ ɾ ʒ ɑ n tʰ i n
Արիոս	ɑ ɾ i j o s
Արիստակես	ɑ ɾ i s t ɑ ɡ e s
Արիստակեսյան	ɑ ɾ i s t ɑ ɡ e s j ɑ n
Արիստոտել	ɑ ɾ i s t o d e l
Արիստոփանես	ɑ ɾ i s t o pʰ ɑ n e s
Արիստոֆան	ɑ ɾ i s t o f ɑ n
Արիստոֆանես	ɑ ɾ i s t o f ɑ n e s
Արխանգելսկ	ɑ ɾ χ ɑ ŋ kʰ e l s k
Արծրուն	ɑ ɾ d͡z ɾ u n
Արծրունի	ɑ ɾ d͡z ɾ u n i
Արկադի	ɑ ɾ ɡ ɑ tʰ i
Արկադիոս	ɑ ɾ ɡ ɑ tʰ i j o s
Արման	ɑ ɾ m ɑ n
Արմավիր	ɑ ɾ m ɑ v i ɾ
Արմեն	ɑ ɾ m e n
Արմենակ	ɑ ɾ m e n ɑ ɡ
Արմենուհի	ɑ ɾ m e n u h i
Արմին	ɑ ɾ m i n
Արմինե	ɑ ɾ m i n e
Արշալույս	ɑ ɾ ʃ ɑ l u j s
Արշակ	ɑ ɾ ʃ ɑ ɡ
Արշակյան	ɑ ɾ ʃ ɑ ɡ j ɑ n
Արշակունի	ɑ ɾ ʃ ɑ ɡ u n i
Արշակունյաց	ɑ ɾ ʃ ɑ ɡ u n j ɑ t͡sʰ
Արշամ	ɑ ɾ ʃ ɑ m
Արշավիր	ɑ ɾ ʃ ɑ v i ɾ
Արո	ɑ ɾ o
Արոնյան	ɑ ɾ o n j ɑ n
Արուսյակ	ɑ ɾ u s j ɑ ɡ
Արսեն	ɑ ɾ s e n
Արսենի	ɑ ɾ s e n i
Արսենյան	ɑ ɾ s e n j ɑ n
Արսինե	ɑ ɾ s i n e
Արսլանճյան	ɑ ɾ s l ɑ n d͡ʒ j ɑ n
Արսլանյան	ɑ ɾ s l ɑ n j ɑ n
Արտակ	ɑ ɾ d ɑ ɡ
Արտաշատ	ɑ ɾ d ɑ ʃ ɑ d
Արտաշեն	ɑ ɾ d ɑ ʃ e n
Արտաշես	ɑ ɾ d ɑ ʃ e s
Արտաշիր	ɑ ɾ d ɑ ʃ i ɾ
Արտավազդ	ɑ ɾ d ɑ v ɑ s tʰ
Արտավան	ɑ ɾ d ɑ v ɑ n
Արտեմ	ɑ ɾ d e m
Արտեմիս	ɑ ɾ d e m i s
Արտյոմ	ɑ ɾ d j o m
Արտուքյան	ɑ ɾ d u kʰ j ɑ n
Արցախ	ɑ ɾ t͡sʰ ɑ χ
Արքիլոքոս	ɑ ɾ kʰ i l o kʰ o s
Արքիմեդ	ɑ ɾ kʰ i m e tʰ
Արև	ɑ ɾ e v
Արևելք	ɑ ɾ e v e l kʰ
Արևմուտք	ɑ ɾ e v m u t kʰ
Ափրիկե	ɑ pʰ ɾ i ɡ e
Ափրոդիտե	ɑ pʰ ɾ o tʰ i d e
Աքայա	ɑ kʰ ɑ j ɑ
Աքեմենյան	ɑ kʰ e m e n j ɑ n
Աքիլես	ɑ kʰ i l e s
Աքիլլես	ɑ kʰ i lː e s
Աքքա	ɑ kʰː ɑ
Աֆանասի	ɑ f ɑ n ɑ s i
Աֆղանստան	ɑ f ʁ ɑ n ə s t ɑ n
Աֆրիկա	ɑ f ɾ i ɡ ɑ
Աֆրոդիտե	ɑ f ɾ o tʰ i d e
Բ	pʰ ə
ԲԴԽ	pʰ ə tʰ ə χ ə
ԲՀԿ	pʰ ə h ə ɡ ə
ԲՈՒՀ	pʰ u h
Բաալբեկ	pʰ ɑ ɑ l pʰ e ɡ
Բաբախանյան	pʰ ɑ pʰ ɑ χ ɑ n j ɑ n
Բաբայան	pʰ ɑ pʰ ɑ j ɑ n
Բաբաջանյան	pʰ ɑ pʰ ɑ t͡ʃʰ ɑ n j ɑ n
Բաբելոն	pʰ ɑ pʰ e l o n
Բաբլոյան	pʰ ɑ pʰ l o j ɑ n
Բաբկեն	pʰ ɑ pʰ k e n
Բագարատ	pʰ ɑ kʰ ɑ ɾ ɑ d
Բագրատ	pʰ ɑ kʰ ɾ ɑ d
Բագրատյան	pʰ ɑ kʰ ɾ ɑ d j ɑ n
Բագրատունի	pʰ ɑ kʰ ɾ ɑ d u n i
Բագրատունյաց	pʰ ɑ kʰ ɾ ɑ d u n j ɑ t͡sʰ
Բադալյան	pʰ ɑ tʰ ɑ l j ɑ n
Բադարա	pʰ ɑ tʰ ɑ ɾ ɑ
Բադրուպանյան	pʰ ɑ tʰ ɾ u b ɑ n j ɑ n
Բազարդյուզյու	pʰ ɑ z ɑ ɾ tʰ ʏ z ʏ
Բազոյան	pʰ ɑ z o j ɑ n
Բաթու	pʰ ɑ tʰ u
Բաթում	pʰ ɑ tʰ u m
Բաթումի	pʰ ɑ tʰ u m i
Բալայան	pʰ ɑ l ɑ j ɑ n
Բալկաններ	pʰ ɑ l ɡ ɑ nː e ɾ
Բալջյան	pʰ ɑ l t͡ʃʰ j ɑ n
Բախչիսարայ	pʰ ɑ χ t͡ʃʰ i s ɑ ɾ ɑ j
Բակալյան	pʰ ɑ ɡ ɑ l j ɑ n
Բակո	pʰ ɑ ɡ o
Բակունց	pʰ ɑ ɡ u n t͡sʰ
Բակուր	pʰ ɑ ɡ u ɾ
Բակքիլիդես	pʰ ɑ kʰː i l i tʰ e s
Բահամներ	pʰ ɑ h ɑ m n e ɾ
Բահրեյն	pʰ ɑ h ɾ e j n
Բաղդադ	pʰ ɑ χ tʰ ɑ tʰ
Բաղդասար	pʰ ɑ χ tʰ ɑ s ɑ ɾ
Բաղդասարյան	pʰ ɑ χ tʰ ɑ s ɑ ɾ j ɑ n
Բաղրամյան	pʰ ɑ ʁ ɾ ɑ m j ɑ n
Բամակո	pʰ ɑ m ɑ ɡ o
Բայբարս	pʰ ɑ j pʰ ɑ ɾ s
Բայկալ	pʰ ɑ j ɡ ɑ l
Բանգալուր	pʰ ɑ ŋ kʰ ɑ l u ɾ
Բանգլադեշ	pʰ ɑ ŋ kʰ l ɑ tʰ e ʃ
Բանդունգ	pʰ ɑ n tʰ u ŋ kʰ
Բանջուլ	pʰ ɑ n t͡ʃʰ u l
Բառնաբաս	pʰ ɑ ɾ n ɑ pʰ ɑ s
Բառնաուլ	pʰ ɑ ɾ n ɑ u l
Բավարիա	pʰ ɑ v ɑ ɾ i j ɑ
Բատ	pʰ ɑ d
Բարաք	pʰ ɑ ɾ ɑ kʰ
Բարբադոս	pʰ ɑ ɾ pʰ ɑ tʰ o s
Բարդախչյան	pʰ ɑ ɾ tʰ ɑ χ t͡ʃʰ j ɑ n
Բարդակչյան	pʰ ɑ ɾ tʰ ɑ kʰ t͡ʃʰ j ɑ n
Բարդուղիմեոս	pʰ ɑ ɾ tʰ u ʁ i m e o s
Բարդույթ	pʰ ɑ ɾ tʰ u j tʰ
Բարխուդար	pʰ ɑ ɾ χ u tʰ ɑ ɾ
Բարխուդարյան	pʰ ɑ ɾ χ u tʰ ɑ ɾ j ɑ n
Բարութչյան	pʰ ɑ ɾ u tʰ t͡ʃʰ j ɑ n
Բարսեղ	pʰ ɑ ɾ s e ʁ
Բարսեղյան	pʰ ɑ ɾ s e ʁ j ɑ n
Բաքոս	pʰ ɑ kʰ o s
Բաքու	pʰ ɑ kʰ u
Բեգլարյան	pʰ e kʰ l ɑ ɾ j ɑ n
Բեդոկ	pʰ e tʰ o ɡ
Բեթղեհեմ	pʰ e tʰ χ e h e m
Բել	pʰ e l
Բելառուս	pʰ e l ɑ ɾ u s
Բելգիա	pʰ e l kʰ i j ɑ
Բելգրադ	pʰ e l kʰ ɾ ɑ tʰ
Բելիզ	pʰ e l i z
Բելիսարիոս	pʰ e l i s ɑ ɾ i j o s
Բելմոպան	pʰ e l m o b ɑ n
Բելուջստան	pʰ e l u t͡ʃʰ ə s t ɑ n
Բեկյան	pʰ e ɡ j ɑ n
Բեհեղզեբուղ	pʰ e h e ʁ z e pʰ u ʁ
Բենգալուրու	pʰ e ŋ kʰ ɑ l u ɾ u
Բենիամին	pʰ e n j ɑ m i n
Բենիլյուքս	pʰ e n i l ʏ kʰ s
Բենին	pʰ e n i n
Բեովտիա	pʰ e o v d i j ɑ
Բեռն	pʰ e ɾ n
Բեսարաբիա	pʰ e s ɑ ɾ ɑ pʰ i j ɑ
Բերբերյան	pʰ e ɾ pʰ e ɾ j ɑ n
Բիբլոս	pʰ i pʰ l o s
Բիբուլոս	pʰ i pʰ u l o s
Բիհար	pʰ i h ɑ ɾ
Բիշան	pʰ i ʃ ɑ n
Բիշկեկ	pʰ i ʃ k e ɡ
Բիշքեկ	pʰ i ʃ kʰ e ɡ
Բիչախչյան	pʰ i t͡ʃʰ ɑ χ t͡ʃʰ j ɑ n
Բիրմա	pʰ i ɾ m ɑ
Բիրմինգամ	pʰ i ɾ m i ŋ kʰ ɑ m
Բիրմինգհեմ	pʰ i ɾ m i ŋ kʰ h e m
Բիրմինհամ	pʰ i ɾ m i n h ɑ m
Բիրոբիջան	pʰ i ɾ o pʰ i t͡ʃʰ ɑ n
Բլագովեշչենսկ	pʰ l ɑ kʰ o v e ʃ t͡ʃʰ e n s k
Բյուզանդիա	pʰ ʏ z ɑ n tʰ i j ɑ
Բյուզանդիոն	pʰ ʏ z ɑ n tʰ j o n
Բյութանիա	pʰ ʏ tʰ ɑ n i j ɑ
Բոգոտա	pʰ o kʰ o d ɑ
Բոլիվիա	pʰ o l i v i j ɑ
Բոլոնիա	pʰ o l o n i j ɑ
Բոհեմիա	pʰ o h e m i j ɑ
Բոհեմունդ	pʰ o h e m u n tʰ
Բոյաջյան	pʰ o j ɑ t͡ʃʰ j ɑ n
Բոսնիա	pʰ o s n i j ɑ
Բոսֆոր	pʰ o s f o ɾ
Բոտոշան	pʰ o d o ʃ ɑ n
Բորանյան	pʰ o ɾ ɑ n j ɑ n
Բորժոմ	pʰ o ɾ ʒ o m
Բորժոմի	pʰ o ɾ ʒ o m i
Բուդապեշտ	pʰ u tʰ ɑ b e ʃ t
Բուդաքյան	pʰ u tʰ ɑ kʰ j ɑ n
Բութան	pʰ u tʰ ɑ n
Բութանիա	pʰ u tʰ ɑ n i j ɑ
Բուժումբուրա	pʰ u ʒ u m pʰ u ɾ ɑ
Բուլղարիա	pʰ u l ʁ ɑ ɾ i j ɑ
Բուխարա	pʰ u χ ɑ ɾ ɑ
Բուխարեստ	pʰ u χ ɑ ɾ e s t
Բուրգունդիա	pʰ u ɾ kʰ u n tʰ i j ɑ
Բրազիլիա	pʰ ɾ ɑ z i l i j ɑ
Բրահմա	pʰ ɾ ɑ h m ɑ
Բրատիսլավա	pʰ ɾ ɑ d i s l ɑ v ɑ
Բրեժնև	pʰ ə ɾ e ʒ n e v
Բրեժնև	pʰ ɾ e ʒ n e v
Բրետան	pʰ ɾ e d ɑ n
Բրիտանիա	pʰ ɾ i d ɑ n i j ɑ
Բրյանսկ	pʰ ɾ j ɑ n s k
Բրյուսել	pʰ ɾ ʏ s e l
Բրունեյ	pʰ ɾ u n e j
Բրուտյան	pʰ ɾ u d j ɑ n
Գ	kʰ ə
Գաբիկյան	kʰ ɑ pʰ i ɡ j ɑ n
Գաբորոնե	kʰ ɑ pʰ o ɾ o n e
Գաբրիել	kʰ ɑ pʰ ɾ i j e l
Գագ	kʰ ɑ kʰ
Գագիկ	kʰ ɑ kʰ i ɡ
Գագո	kʰ ɑ kʰ o
Գագուլ	kʰ ɑ kʰ u l
Գագուլիկ	kʰ ɑ kʰ u l i ɡ
Գագրա	kʰ ɑ kʰ ɾ ɑ
Գադես	kʰ ɑ tʰ e s
Գազա	kʰ ɑ z ɑ
Գազայի	kʰ ɑ z ɑ j i
Գազավոն	kʰ ɑ z ɑ v o n
Գալեմճյան	kʰ ɑ l e m d͡ʒ j ɑ n
Գալեն	kʰ ɑ l e n
Գալիլեա	kʰ ɑ l i l e j ɑ
Գալիլեյ	kʰ ɑ l i l e j
Գալիլիա	kʰ ɑ l i l i j ɑ
Գալիցիա	kʰ ɑ l i t͡sʰ i j ɑ
Գալյոնճյան	kʰ ɑ l j o n d͡ʒ j ɑ n
Գալուստ	kʰ ɑ l u s t
Գալստյան	kʰ ɑ l ə s t j ɑ n
Գահիրե	kʰ ɑ h i ɾ e
Գաղատիա	kʰ ɑ ʁ ɑ d i j ɑ
Գաղիանոս	kʰ ɑ ʁ i j ɑ n o s
Գամբիա	kʰ ɑ m pʰ i j ɑ
Գամիրք	kʰ ɑ m i ɾ kʰ
Գայանա	kʰ ɑ j ɑ n ɑ
Գայանե	kʰ ɑ j ɑ n e
