ё	j o
кʼеӄвандуф	kʰ e q v a n d u f
кʼеӈ	kʰ e ŋ
кʼер̌ӄод	kʰ e r̥ q o d
кʼикт	kʰ i k t
кʼилӈ	kʰ i l ŋ
кʼиу	kʰ i u
кʼлы	kʰ l ɤ
кʼмый	kʰ m ɤ j
кʼр̌уӈи	kʰ r̥ u ŋ i
кʼу	kʰ u
кʼувань	kʰ u v a ɲ
кʼуғи	kʰ u ɣ i
кʼузр̌	kʰ u z r̥
кʼуквур̌	kʰ u k v u r̥
кʼызд	kʰ ɤ z d
кʼыск	kʰ ɤ s k
кʼыскнонӄ	kʰ ɤ s k n o n q
кʼыстилығыдь	kʰ ɤ s c i l ɤ ɣ ɤ ɟ
ӄаӻн	q a ʁ n
ӄадь	q a ɟ
ӄалм	q a l m
ӄамлен	q a m l e n
ӄан	q a n
ӄанд	q a n d
ӄанӈ	q a n ŋ
ӄаӈи	q a ŋ i
ӄап	q a p
ӄарӈ	q a r ŋ
ӄой	q o j
ӄойла	q o j l a
ӄʼа	qʰ a
ӄʼави	qʰ a v i
ӄʼавӈи	qʰ a v ŋ i
ӄʼастяр̌	qʰ a s c a r̥
ӄʼатьӈ	qʰ a c ŋ
ӄʼоӻл	qʰ o ʁ l
ӄʼоӻӈи	qʰ o ʁ ŋ i
ӄʼод	qʰ o d
ӄʼордь	qʰ o r ɟ
ӄʼос	qʰ o s
ӄʼотр̌	qʰ o t r̥
л	l
ла	l a
лавӄор̌	l a v q o r̥
лаӄрд	l a q r d
лаӄр̌	l a q r̥
лаӈр̌	l a ŋ r̥
лах	l a x
лезӈ	l e z ŋ
леп	l e p
лепр̌анивӈ	l e p ‿ r̥ a ‿ ɲ i v ŋ
лиғр̌	l i ɣ r̥
лиғс	l i ɣ s
лоӈ	l o ŋ
лоӈи	l o ŋ i
лоти	l o c i
Лоча	l o cʰ a
лоча	l o cʰ a
лу	l u
луд	l u d
лудь	l u ɟ
лумр	l u m r
лураюниғвӈ	l u ‿ r a j u ‿ ɲ i ɣ v ŋ
лур̌	l u r̥
лый	l ɤ j
лых	l ɤ x
м	m
мавр	m a v r
мағд	m a ɣ d
маӻнд	m a ʁ n d
мамӻать	m a m ʁ a c
манд	m a n d
мард	m a r d
маревд	m a r e v d
марнд	m a r n d
марр̌	m a r r̥
мар̌	m a r̥
мғедь	m ɣ e ɟ
мғонемӄаӈ	m ɣ o ɲ e m q a ŋ
мевор	m e v o r
меги	m e ɡ i
меӄр̌	m e q r̥
мем	m e m
менӈ	m e n ŋ
мер	m e r
мефат	m e f a t
мин	m i n
минр̌	m i n r̥
миф	m i f
мих	m i x
мла	m l a
мӈаӄ	m ŋ a q
мор̌	m o r̥
моть	m o c
мролвдь	m r o l v ɟ
мрыдь	m r ɤ ɟ
му	m u
муғв	m u ɣ v
муғф	m u ɣ f
мудь	m u ɟ
муиныдь	m u i n ɤ ɟ
мур	m u r
мурӈ	m u r ŋ
мускыр̌	m u s k ɤ r̥
муспи	m u s p i
мухтук	m u x t u k
мӽоӄр̌	m χ o q r̥
мӽоӈ	m χ o ŋ
мӽос	m χ o s
мӽоу	m χ o u
мыкс	m ɤ k s
мыло	m ɤ l o
мылосиф	m ɤ l o ‿ s i f
мырдь	m ɤ r ɟ
н	n
нёни	ɲ o ɲ i
наўх	n a w x
намр̌	n a m r̥
нана	n a n a
нанак	n a n a k
нанака	n a n a k a
нар̌	n a r̥
нар̌тиӈ	n a r̥ c i ŋ
ненӈ	ɲ e n ŋ
нео	ɲ e o
ни	ɲ i
нивғӈ	ɲ i v ɣ ŋ
нивӈ	ɲ i v ŋ
нивх	ɲ i v x
ниғвӈ	ɲ i ɣ v ŋ
низчу	ɲ i z cʰ u
ним	ɲ i m
нин	ɲ i n
нир̌	ɲ i r̥
ниу	ɲ i u
Ниӿоӈ	ɲ i h o ŋ
нӈыӄ	n ŋ ɤ q
нойк	n o j q
нос	n o s
нур̌	n u r̥
Нуча	n u cʰ a
ныкр̌	n ɤ k r̥
ныкы	n ɤ k ɤ
нымр̌	n ɤ m r̥
нырӈ	n ɤ r ŋ
ных	n ɤ x
ньвор	ɲ v o r
ньғуви	ɲ ɣ u v i
ньлай	ɲ l a j
ньӈаӄ	ɲ ŋ a q
ньфат	ɲ f a t
ньын	ɲ ɤ n
ньыньбен	ɲ ɤ ɲ b e n
ньыӈ	ɲ ɤ ŋ
нюдь	ɲ u ɟ
няӻр	ɲ a ʁ r
няӄр	ɲ a q r
няӄр̌	ɲ a q r̥
нян	ɲ a n
няндорӈ	ɲ a n d o r ŋ
няндор̌	ɲ a n d o r̥
няр	ɲ a r
няӽ	ɲ a χ
ӈа	ŋ a
ӈаўр̌	ŋ a w r̥
ӈаўр̌к	ŋ a w r̥ k
ӈавдь	ŋ a v ɟ
ӈағмӽоӈ	ŋ a ɣ m χ o ŋ
ӈаӻмӽо	ŋ a ʁ m χ o
ӈаӻри	ŋ a ʁ r i
ӈазл	ŋ a z l
ӈайӄ	ŋ a j q
ӈайс	ŋ a j s
ӈакс	ŋ a k s
ӈаӄр	ŋ a q r
ӈалдь	ŋ a l ɟ
ӈамг	ŋ a m ɡ
ӈамк	ŋ a m k
ӈарғыр̌	ŋ a r ɣ ɤ r̥
ӈарӻор̌	ŋ a r ʁ o r̥
ӈарӈи	ŋ a r ŋ i
ӈатьх	ŋ a c x
ӈафӄ	ŋ a f q
ӈах	ŋ a x
ӈаю	ŋ a j u
ӈойӄ	ŋ o j q
ӈол	ŋ o l
ӈыньк	ŋ ɤ ɲ k
о	o
обезьяна	o b e z j j a n a
овӻоӈ	o v ʁ o ŋ
оғла	o ɣ l a
оӻла	o ʁ l a
оӻм	o ʁ m
озр	o z r
ойр̌	o j r̥
олӻоӈ	o l ʁ o ŋ
остол	o s t o l
охт	o x t
п	p
пазр̌	p a z r̥
пал	p a l
парф	p a r f
пасӄ	p a s q
пат	p a t
патадь	p a t a ɟ
патинд	p a c i n d
паӽ	p a χ
пеӈъюдь	p e ŋ ‿ j u ɟ
перӄадь	p e r q a ɟ
пилдь	p i l ɟ
пиӈрдь	p i ŋ r ɟ
питғы	p i t ɣ ɤ
питғыдаюнивх	p i t ɣ ɤ d a j u ɲ i v x
пих	p i x
пихти	p i x c i
поми	p o m i
порр̌	p o r r̥
пос	p o s
пуйӈа	p u j ŋ a
пуньдь	p u ɲ ɟ
пығи	p ɤ ɣ i
пыйӈа	p ɤ j ŋ a
пыт	p ɤ t
пʼ	pʰ
Пʼ	pʰ
пʼал	pʰ a l
пʼеӄ	pʰ e q
пʼиск	pʰ i s k
пʼова	pʰ o v a
пʼорпʼорс	pʰ o r pʰ o r s
пʼратудь	pʰ r a t u ɟ
пʼрыд	pʰ r ɤ d
пʼрыдь	pʰ r ɤ ɟ
пʼр̌оӄ	pʰ r̥ o q
пʼуф	pʰ u f
р	r
р̆	r̥
Р̆	r̥
радь	r a ɟ
рал	r a l
рауд	r a u d
раюд	r a j u d
риӈго	r i ŋ ɡ o
розудь	r o z u ɟ
роӄть	r o q c
роруйд	r o r u j d
рыудь	r ɤ u ɟ
рыуумгу	r ɤ u ‿ u m ɡ u
р̌ад	r̥ a d
р̌аӈӷ	r̥ a ŋ ɢ
р̌аӈӷэӻлӈ	r̥ a ŋ ɢ ‿ e ʁ l ŋ
р̌атӽӿагин	r̥ a t χ h a ɡ i n
р̌икть	r̥ i k c
с	s
сета	s e t a
сид	s i d
сидух	s i d u x
сидь	s i ɟ
со	s o
т	t
тёӈр̌	c o ŋ r̥
тёр̌	c o r̥
тавух	t a v u x
тай	t a j
тай	t a j
тамк	t a m k
тамх	t a m x
таӈваӈ	t a ŋ v a ŋ
таф	t a f
тафть	t a f c
таӽ	t a χ
твирк	t v i r k
теўзеў	c e w z e w
тер̌	c e r̥
тес	c e s
тивдь	c i v ɟ
тиғр	c i ɣ r
тилф	c i l f
тиф	c i f
тоӄть	t o q c
тол	t o l
толф	t o l f
тоӈӄ	t o ŋ q
тот	t o t
ту	t u
ту	t u
туғс	t u ɣ s
туд	t u d
тунь	t u ɲ
туӈ	t u ŋ
тупр̌	t u p r̥
тур̌	t u r̥
тутут	t u t u t
ты	t ɤ
тыдь	t ɤ ɟ
тымк	t ɤ m k
тыф	t ɤ f
тьӈаӄ	c ŋ a q
тюй	c u j
тюс	c u s
тяӄо	c a q o
тяӄр̌	c a q r̥
тяӈӽ	c a ŋ χ
тятьр̌	c a c r̥
тʼ	tʰ
Тʼ	tʰ
тʼаӻр	tʰ a ʁ r
тʼад	tʰ a d
тʼару	tʰ a r u
тʼар̌ӄраӽ	tʰ a r̥ q r a χ
тʼатӈ	tʰ a t ŋ
тʼоӻзаӈ	tʰ o ʁ z a ŋ
тʼоӄр̌	tʰ o q r̥
тʼолхаскр	tʰ o l x a s k r
тʼом	tʰ o m
тʼорӈ	tʰ o r ŋ
тʼор̌	tʰ o r̥
тʼр̌ат	tʰ r̥ a t
тʼу	tʰ u
тʼуғр	tʰ u ɣ r
тʼуғр̌	tʰ u ɣ r̥
тʼуғр̌му	tʰ u ɣ r̥ m u
тʼулф	tʰ u l f
тʼурс	tʰ u r s
тʼуск	tʰ u s k
тʼуф	tʰ u f
тʼхар̌пт	tʰ x a r̥ p t
тʼхырпть	tʰ x ɤ r p c
тʼӽар̌пт	tʰ χ a r̥ p t
у	u
у	u
улаӈ	u l a ŋ
улдь	u l ɟ
умгу	u m ɡ u
уньғыр̌	u ɲ ɣ ɤ r̥
уӈа	u ŋ a
урк	u r k
ур̌	u r̥
ут	u t
утӻаврр̌	u t ʁ a v r r̥
утку	u t k u
ух	u x
ухта	u x t a
ф	f
фурд	f u r d
х	x
хизд	x i z d
хота	x o t a
хыл	x ɤ l
ӽа	χ a
ӽад	χ a d
ӽарпть	χ a r p c
ӽойр̌	χ o j r̥
ӽонь	χ o ɲ
ӽотаӈ	χ o t a ŋ
ӿ	h
Ӿ	h
ӿа	h a
ӿағитли	h a ɣ i t l i
ӿағску	h a ɣ s k u
ӿай	h a j
ӿаймӈар̌	h a j m ŋ a r̥
ӿал	h a l
ӿана	h a n a
ӿаӈ	h a ŋ
ӿаӈр̌	h a ŋ r̥
ӿарӈи	h a r ŋ i
ӿеўӈи	h e w ŋ i
ӿелудь	h e l u ɟ
ӿемар	h e m a r
ӿеми	h e m i
ӿерук	h e r u k
ӿивр̌	h i v r̥
ӿивс	h i v s
ӿилх	h i l x
ӿискр̌	h i s k r̥
ӿиф	h i f
ӿоло	h o l o
ӿонф	h o n f
ӿосо	h o s o
ӿурр̌	h u r r̥
ӿы	h ɤ
ӿыи	h ɤ i
ч	cʰ
ча	cʰ a
чай	cʰ a j
чалу	cʰ a l u
чам	cʰ a m
чамӈ	cʰ a m ŋ
чаӈдь	cʰ a ŋ ɟ
чарб	cʰ a r b
чарӈи	cʰ a r ŋ i
чатьф	cʰ a c f
чафӄ	cʰ a f q
чаӽ	cʰ a χ
чед	cʰ e d
чи	cʰ i
чид	cʰ i d
чирлоӈ	cʰ i r l o ŋ
чо	cʰ o
Чока	cʰ o k a
чоӽ	cʰ o χ
чры	cʰ r ɤ
чуғных	cʰ u ɣ n ɤ x
чуздь	cʰ u z ɟ
чузлоӈ	cʰ u z ‿ l o ŋ
чуралс	cʰ u r a l s
чухт	cʰ u x t
чухчуғд	cʰ u x cʰ u ɣ d
чхуйғур̌	cʰ x u j ɣ u r̥
чхыф	cʰ x ɤ f
чӽар̌	cʰ χ a r̥
чӽасиф	cʰ χ a s i f
чӽевр	cʰ χ e v r
чӽодид	cʰ χ o ɟ i d
ы	ɤ
ывлых	ɤ v l ɤ x
ығрӿагин	ɤ ɣ r ‿ h a ɡ i n
ығр̌	ɤ ɣ r̥
ығых	ɤ ɣ ɤ x
ызӈ	ɤ z ŋ
ыкын	ɤ k ɤ n
ыкына	ɤ k ɤ n a
ымк	ɤ m k
ымка	ɤ m k a
ымык	ɤ m ɤ k
ымыка	ɤ m ɤ k a
ыныя	ɤ n ɤ j a
ыӈг	ɤ ŋ ɡ
ыпып	ɤ p ɤ p
ыр	ɤ r
ырпс	ɤ r p s
ыр̌к	ɤ r̥ k
ыр̌кыр̌	ɤ r̥ k ɤ r̥
ыс	ɤ s
ыт	ɤ t
ытик	ɤ c i k
ытиксо	ɤ c i k ‿ cʰ o
ытк	ɤ t k
ытка	ɤ t k a
ытӈунивх	ɤ t ŋ u ‿ ɲ i v x
ытс	ɤ t s
ытык	ɤ t ɤ k
ытыка	ɤ t ɤ k a
ыу	ɤ u
ыф	ɤ f
э	e
эӻа	e ʁ a
эӻаӈ	e ʁ a ŋ
эӻлӈ	e ʁ l ŋ
эдр	e d r
элӈф	e l ŋ f
эр̌ӄ	e r̥ q
ю	j u
я	j a
яғньдь	j a ɣ ɲ ɟ
яӈ	j a ŋ
ярд	j a r d
ярдь	j a r ɟ
яскмд	j a s k m d
ң	ŋ
Ң	ŋ
ҳ	χ
Ҳ	χ
