ཀ	k ɑ
བཞི་ཕོད	ʑ e ˩ pʰ øː ˥
བསྡུ	t u ˩
བསྡུ་ཚིག	t u ˩ t͡sʰ i k̚ ˥
བསླབ་བྱ	l ɑ p ˥ p t͡ɕʰ ɑ ˩
བོད	pʰ øː ˩
བོདཔ	pʰ øː p ˩
བྱག	p t͡ɕʰ ɑː k̚ ˩
བྱི་ཙི	p t͡ɕʰ i ˩ t͡s i ˥
བྱི་ལི	p t͡ɕʰ i ˩ l i ˩
བྱུང	p t͡ɕʰ u ŋ ˩
མ	m ɑ ˥
མ	m ɑ ˩
མགྱོནམོ	kʰ øː m ˩
མཉམ	n j ɑ m ˥
མདའ	t ɑ ˩
མཚམས	t͡sʰ ɑ m ˥
མཛོད	t͡s øː ˩
མི	m i ˥
མི	m i ˩
མིག་ཏོ	m i k̚ ˥ t o ˥
མིང	m e ŋ ˩
མིང་སྡུད	m e ŋ ˩ t u ˩
མེ	m e ˩
མོ	m o ˩
ཙ	t͡s ɑ ˥
ཙ་རི	t͡s ɑ ˥ r i ˩
ཙན་དན	t͡s e n ˥ t e ˩
ཚ	t͡sʰ ɑ ˥
ཚིག	t͡sʰ i k̚ ˥
ཚིག་མཛོད	t͡sʰ i k̚ ˥ t͡s øː ˩
ཚུ	t͡sʰ u ˥
ཚོང	t͡sʰ o ŋ ˥
ཛ	t͡s ɑ ˥
ཛ་ཏི	t͡s ɑ ˩ t i ˥
ཛའི	t͡s ɑ j ˩
ཝ	w ɑ ˥
ཝ	w ɑ ˩
ཝ་གཤོང	w o ˩ ɕ o ˥
ཞ	ɕ ɑ ˥
ཞབས	ɕ ɑ p ˩
ཞབས་ཁྲ	ɕ ɑ p ˩ ʈʰ ɑ ˥
ཞལ	ɕ ɛː ˩
ཞྭམོ	ɕ ɑ m ˩
ཟ	s ɑ ˥
ཟ	s ɑ ˩
ཟོརཝ	s o w ˩
ཟོརཝ་དང་ཐོཝ	s o w ˩ tʰ ɑ ˩ tʰ o w ˥
འ	ɦ ɑ ˥
འགྱོ	t͡ɕ o r ˩
འཆར་གཞི	t͡ɕʰ ɑ r ˥ ʑ i ˩
འཕོཝ	pʰ o w ˥
འབྱུང	p t͡ɕʰ u ŋ ˩
འབྲུག	ʈ u k̚ ˩
འབྲུག་ཡུལ	ʈ u k̚ ˩ yː ˩
འུ	u ˩
འུགཔ	uː p ˩
ཡ	j ɑ ˥
ཡ	j ɑ ˩
ཡང	j ɑ ˩
ཡི	j i ˩
ཡིག་ཚང	j i k̚ ˩ t͡sʰ ɑ ˥
ཡུ་ཁོད	j u ˩ kʰ øː ˥
ཡུལ	yː ˩
ཡེ་ཤུའི་ལྷ	j e ˩ ɕ u j ˥ ɬ ɑ ˥
ཡོད	j øː ˩
ར	r ɑ ˥
རི	r i ˩
རྐངམ	k ɑː m ˥
རྒིལ་འག་སྨེ་ཡེར	k i l ˩ k ɑ ˩ m e ˥ j e r ˩
རྒྱབོ	t͡ɕ ɑ w ˩
རྒྱལ	k ɛː ˩
རྒྱལཔོ	k ɛː p ˩
རྫས	t͡s ɛː ˩
རྫས་མདའ	t͡s ɛː ˩ t ɑ ˩
རྫོང	t͡s o ŋ ˩
རྫོང་ཁ	t͡s o ŋ ˩ kʰ ɑ ˥
ལ	l ɑ ˥
ལ	l ɑ ˩
ལམ	l ɑ m ˩
ལཱ	l ɑː ˩
ལྔ	ŋ ɑ ˥
ལྕགས	t͡ɕ ɑː k̚ ˥
ལྗིད་ཅན	t͡ɕ i ˩ t͡ɕ e n ˥
ལྦ	w ɑ ˩
ལྦ་གཤོང	w o ˩ ɕ o ˥
ལྷ	ɬ ɑ ˥
ལྷག	ɬ ɑː k̚ ˥
ལྷབ	ɬ ɑ p ˥
ལྷོ	ɬ o ˥
ལྷོ་མཚམས་ཁ	ɬ o ˥ t͡sʰ ɑ m ˥ kʰ ɑ ˥
ལྷོ་མཚམས་པ	ɬ o ˥ t͡sʰ ɑ m ˥ p ɑ ˥
ལྷོ་མཚམས་མི་ཁ	ɬ o ˥ t͡sʰ ɑ m ˥ m i ˥ kʰ ɑ ˥
ལྷོད	h øː ˥
ལྷོད	ɬ øː ˥
ལྷོད་ལམ	h øː ˥ l ɑ m ˩
ལྷོད་ལམ	ɬ øː ˥ l ɑ m ˩
ཤ	ɕ ɑ ˥
ཤི	ɕ i ˥
ཤིང	ɕ i ŋ ˥
ཤེས	ɕ eː ˥
ས	s ɑ ˥
སེརཔོ	s eː p ˥
སོདཔ	s øː p ˥
སོདབ་ཁ	s øː p ˥ kʰ ɑ ˥
སྐད	k eː ˥
སྐར་ཚོགས	k ɑː ˥ t͡sʰ o k̚ ˥
སྐོར་ཆ	k oː ˥ t͡ɕ ɑ ˥
སྐྱུརཔོ	t͡ɕ uː p ˩
སྒྲོམ	ʈ o m ˩
སྡིག་ཅན	t i k ˩ t͡ɕ e ŋ ˥
སྡུད	t u ˩
སྤྱ	p t͡ɕ ɑ ˥
སྤྱུང་ཀ	p t͡ɕ ɑ ŋ ˥ k ɑ ˥
སྤྲོད	ʈ øː ˥
སྦལཔ	p ɛː p ˩
སྦོམ	p oː m ˩
སྨན	m e n ˥
སྨན	m ɛː n ˥
སྨེ	m eː ˥
སླབ	l ɑ p ˥
ཧ	h ɑ ˥
ཧབ	h ɑ p ˥
ཧོནམོ	h øː m ˥
ཧྲལ	r ɛː ˥
ཧྲིལ་པོ	r i l ˥ pʰ u ˩
ཧྲིལཔོ	r iː p ˥
ཨ	ɑ ˥
ཨ་རཔ	ɑ ˥ r ɑ p ˩
ཨ་རབ་ཁ	ɑ ˥ r ɑ p ˩ kʰ ɑ ˥
ཨརཝ	ɑː w ˥
ཨིཤ་ཏོ་ནི་ཡ	i ɕ ˥ t o ˥ n i ˩ j ɑ ˩
ཨུ་རུ་སུ	u ˥ r u ˩ s u ˥
ཨོ་ལེ	o ˥ l e ˩
ཨོ་ལེ་ཁ	o ˥ l e ˩ kʰ ɑ ˥
