Bias	b j aː s
jer	j eː ɾ
jovedí	d͡ʒ o e d e
jovedí	d͡ʒ o v e d i
jâld	d͡ʒ a l d
jâld	d͡ʒ e l t
jâld	z a l t͡ʃ
jóveny	d ʒ u i n
jóveny	d ʒ u ɛ n
jóveny	z u e n i
jóveny	z u ɛ j ɲ
jóveny	z u ɛ ɲ
jœbia	d͡ʒ ø b j a
jœbia	z ø b j a
jœbia	z ɔ b j a
jœbia	ʒ ø b j a
lacc	l a t͡ʃː
lege	l eː d ʒ e
lege	l eː z
legg	l eː d ʒ
legge	l eː d ʒ e
legi	l eː d ʒ i
lengua	l e ŋ ɡ w a
lengua	l eː ŋ ɡ w a
leon	l e u
leon	l e u n
leon	l i o m
leon	l i u
lesg	l eː z
less	l ɛ sː
levà	l e v a
lez	l e z
lez	l e ŋ d ʒ
lez	l eː z
libertà	l i b e r t a
lingot	l ĩː ɡ ɔ t
local	l u c aː l
lochet	l o k e t
lot	l ɔ t
luj	l y j
lunedí	l y n e d i
lunedí	l ø n e d e
lus	l yː z
lèzer	l e d ʒ i
lèzer	l e z
lèzer	l e z e r
lèzer	l eː d ʒ
lüganega	l y ɡ a n e ɡ a
macà	m a k a
magioster	m a d͡ʒ u s t e r
magioster	m a d͡ʒ u ʃ t e r
magiostra	m a d͡ʒ u s t r a
magiostra	m a d͡ʒ u ʃ t r a
man	m aː
man	m aː n
manjar	m a n d͡ʒ a
manjar	m a ɲ a
manjar	m ã j a
marbré	m a r b r e
martedí	m a r t e d e
martedí	m a r t e d i
mascarpa	m a s k a r p a
mascarpa	m a ʃ k a r p a
mercoldí	m e r k o l d e
mercoldí	m e r k u l d i
mercoldí	m e r k u r d e
mercoldí	m e r k u r d i
mes	m e z
metall	m e t a l
montà	m ũː t a
monumental	m o n y m ẽː t ɒː l
mur	m yː r
negar	a n e ɡ a
negar	a n e ɡ a ɾ
negar	n e ɡ a
negar	n e ɡ a ɾ
neuv	n ø
neuv	n ø v
neuva	n ø v a
neuve	n ø v e
nevod	n e v uː t
ninfa	n i ɱ f a
ninfe	n i ɱ f
nobil	n ɔ b iː l
nobiltà	n u b i l t a
nog	n ø d͡ʑ
nos	n uː s
nud	n yː t
négher	n eː ɡ e r
négher	n eː ɡ r o
négher	n eˑ j ɡ r o
négher	n iː ɡ e r
nò	n ɔ
oboè	u b u ɛ
oli	ɔ l i
oregjon	o r e d ʒ oː n
oregjon	o r e t ʃ oː n
orfen	ɔ r f ẽː
paas	p aː s
paes	p a eː s
pagura	p a ɡ yː r a
pagà	p a ɡ a
pan	p a ŋ
pan	p ãː
panaton	p a n a t o ŋ
papagall	p a p a ɡ a l
patì	p a t i
pavon	p a u
pavon	p a v o j
pavon	p a v u n
pavon	p a v u ɲ
pavura	p a v yː r a
pavura	p a ɡ yː r a
paés	p a eː s
paês	p a eː s
paüra	p a yː r a
perder	p ɛ r d
persegh	p ɛ r s e k
persian	p e r s j ãː
pever	p eː r
pever	p eː v ɐ r
pever	p eː v ɛ r
pever	p iː v ɐ r
pever	p iː v ɛ r
pianta	p j ãː t a
piaxer	p j a z e r
piaxer	p j a ʒ e r
pich	p i k
piemontes	p j e m ũː t e z
piomb	p j o m b
piomb	p j oː m b
piomb	p l o m b
pitor	p i t uː r
politich	p u l i t i k
pomm	p ɔ m
pora	p oː r a
pora	p ɔː r a
presentà	p r e z ẽː t a
proclamà	p r u k l a m a
provà	p r u a
publich	p y b l i k
pugn	p y ɲ
pura	p oː r a
pòra	p ɔː r a
póra	p oː r a
póra	p ɔː r a
quaja	k w a j a
quantità	k w a n t i t a
quest	kʷ e s t
rebellion	r e b e l j ũː
religios	r e l i d͡ʒ uː z
renovà	r e n u v a
reuda	r ø d a
reude	r ø d e
reude	r ø d i
reude	r ø t
risott	r i z ɔ tː
rizz	r i t s
rizz	r i ʃ
riç	r i t s
riç	r i ʃ
rost	r ɔ ʃ t
ròda	r ɔ d a
ròda	r ɔ v a
ròde	r ɔ d i
ròde	r ɔ t
saa	s a a
salvà	s a l v a
santuari	s ã t w ɑː r i
savé	s a v ɛ
scarpa	s k ɑː r p a
scepp	t͡ʃ ɛ p
scepp	ʃ ɛ p
scires	ʃ i r eː s
sciresa	ʃ i r eː z a
sculptor	s k u l p t o r
sentì	s e n t i
servì	s e r v i
ses	s e s
set	s e t
sloven	s l u v ẽː
sofegar	s o f e ɡ a
sofegar	s o f e ɡ a r
someià	s o m e j a
someià	s o m eː a
someià	s o m i j a
sonà	s u n a
sorbet	s u r b ɛ t
sorella	s o r e l a
sorelle	s o r e l e
spalla	s p a l a
spiret	s p i r ɛ t
stagn	s t a ɲ
stella	s t ɛ l a
stenograf	s t e n ɔ ɡ r a f
stenograf	s t e n ɔ ɡ r ɛ f
storich	s t ɔ r i k
strafà	s t r a f a
strani	s t r aː n e
strani	s t r aː n i
strania	s t r aː n j a
stremí	s t r e m i
stremí	s t r i m i
stremí	s t r y m i
stremísser	s t r e m e s
stremísser	s t r e m e s ɛ r
stremísser	s t r e m i s
stremísser	s t r e m i s ɐ r
stremísser	s t r i m i s
stria	s t r i a
strie	s t r i e
strie	s t r i j
studios	s t y d j uː z
sudà	s y d a
s·cèt	s t ʃ ɛ t
süpa	s y p a
tajà	t a j a
tajâ	t a j a r
tajâ	t a j e
tajâ	t a ʎ a
television	t e l e v i z j uː ŋ
tera	t ɛ r a
terminà	t e r m i n a
testa	t ɛ s t a
tirà	t i r a
torr	t o r
torr	t u r
tossì	t u s i
tratad	t r a t ɒː
trovà	t r u a
trovà	t r u v a
vardà	v a r d a
veder	v e d e r
vegg	v ɛ t͡ʃ
veggia	v ɛ d͡ʒ a
venerdí	v e n d e r d i
venerdí	v e n e r d e
venerdí	v e n e r d i
venerdí	v e r n e d i
vent	v ɛː n t
verd	v e r t
verificà	v e r i f i k a
vin	v i
vin	v i ŋ
vin	v ĩː
vost	v o s t
vésser	v e s
vésser	v e s e
vésser	v e s e r
vòt	v ɔ t
vòt	w ɔ t
zeneugg	d ʒ e n ø t ʃ
zeneugg	d ʒ i n y t ʃ
zeneugg	d ʒ i n ø t ʃ
zeneugg	z e n o t ʃ
zeneugg	z e n ø t ʃ
zenziva	ʒ e n ʒ iː v a
zinamom	s i n a m ɔ m
zop	s ɔ p
çinc	s i k
çinc	s i n k
çinc	t ʃ i n k
çinc	ʃ i n k
çincu	t ʃ i n k w
çitâ	s i t aː
çitâ	t s i t aː
òr	ɔː r
üsmarin	y ʃ m a r i ŋː
