A	a
alksnis	à l k s n i s
alnis	â l n i s
alumīnijs	a l u m iː n i j s
alus	a l u s
alva	ā l v a
amerikāniete	a m ɛ ɾ i k āː n i ɛ t ɛ
amerikānis	a m ɛ ɾ i k āː n i s
amerikānisks	a m ɛ ɾ i k āː n i s k s
amerikānisms	a m ɛ ɾ i k āː n i s m s
amerīcijs	a m e r ìː t s i j s
amfībija	a m f īː b i j a
ananass	a n a n a s
andoriete	a n d o ɾ i ɛ t ɛ
anglis	ā ŋ ɡ l i s
anglisks	ā ŋ ɡ l i s k s
angļu	a ŋ ɡ ʎ u
anketa	ā ŋ k ɛ t a
antropologs	ā n t ɾ o p o l o ɡ s
antropoloģe	ā n t ɾ o p o l o ɟ ɛ
antropoloģija	ā n t ɾ o p o l o ɟ i j a
apart	a p â ɾ t
aparšana	a p a ɾ ʃ a n a
apavniece	a p a w n ì ɛ t s ɛ
apavnieks	a p a w n ì ɛ k s
apcept	a p t s ɛ p t
apinis	a p i n i s
apinis	a p īː n i s
aplikācija	a p l i k aː t͡s i j a
aploksne	a p l ù o k s n e
apmainīt	a p m ā ī n îː t
apmainīšana	a p m ā ī n îː ʃ a n a
apmaiņa	a p m ā ī ɲ a
apostrofs	a p o s t ɾ oː f s
aprikoze	a p ɾ i k oː z ɛ
apse	a p s ɛ
apspriede	a p s p ɾ i ɛ̂ d ɛ
apspriest	a p s p ɾ i ɛ̂ s t
apstāklis	a p s t àː k l i s
apstāklis	a p s t âː k l i s
apvidus	a p v i d u s
apvidvārds	a p v i d v aː ɾ d s
apziņa	a p z i ɲ a
arbūzs	â ɾ b ūː s
arkls	â ɾ k l s
armija	a ɾ m i j a
arsēns	a r s eː n s
art	â ɾ t
arvien	a ɾ v î ɛ n
arī	a ɾ îː
arī	a ɾ īː
asinis	a s i n i s
astats	a s t a t s
aste	a s t ɛ
astere	a s t ɛ ɾ ɛ
astronomisks	a s t ɾ o n oː m i s k s
atart	a t â ɾ t
atbilde	a t b i l d ɛ
atcept	a t t s ɛ p t
atgriezt	a t ɡ r i ɛ̂ s t
atgriezt	a t ɡ r ī ɛ̄ s t
atmiņa	a t m i ɲ a
atoms	a t oː m s
atoms	aː t oː m s
atrast	a t ɾ a s t
atslēga	a t s l æ̂ː ɡ a
atstāstījums	a t s t āː s t īː j u m s
atstāstīt	a t s t âː s t îː t
atvasara	a t v a s a ɾ a
atvere	a t v ɛ ɾ ɛ
atvērt	a t v ɛ̄ː ɾ t
audums	a u d u m s
auglis	â w ɡ l i s
augs	â w k s
augsme	â w k s m e
augsne	â w k s n ɛ
augsts	a û k s t͡s
auka	ā w k a
aukla	à w k l a
auksts	ā ū k s t͡s
auns	à w n s
auss	à w s
aust	à w s t
aust	â w s t
austrumi	à w s t r u m i
aušana	â w ʃ a n a
avokado	a v o k a d oː
avokado	a v o k aː d oː
b	b
bads	b a t s
bagāts	b a ɡ āː t s
baidīt	b â j d îː t
baidīt	b ā ī d îː t
baigs	b a î ɡ s
bail	b â j l
bailes	b â j l ɛ s
balss	b à l s
baltkrievs	b a l t k ɾ ì e w s
balts	b ā l t s
baltums	b ā l t u m s
baznīca	b a z n ìː t s a
bebris	b ɛ b ɾ i s
bebrs	b æ b ɾ s
berilijs	b e r i l i j s
berklijs	b e r k l i j s
bet	b ɛ t
biedre	b ì ɛ d ɾ ɛ
biedrs	b ì ɛ d r s
biezs	b ì ɛ s
bikls	b i k l s
bikses	b i k s ɛ s
binoklis	b ì n o k l i s
birka	b ì ɾ k a
birža	b ī ɾ ʒ a
bismuts	b i s m u t s
blāvs	b l āː w s
blīvs	b l īː w s
bole	b ū ō l e
brasls	b ɾ a s l s
brauciens	b r à w t s i ɛ n s
braukt	b ɾ à w k t
briedis	b ɾ i ɛ̂ d i s
briesmas	b ɾ ī ɛ̄ s m a s
brilles	b ɾ ī l l ɛ s
brālis	b ɾ āː l i s
brālēns	b r āː l æː n s
brīdis	b ɾ îː d i s
brīvs	b r īː w s
brūngans	b r ūː n ɡ a n s
brūngans	b r ūː ŋ ɡ a n s
brūns	b ɾ ū n s
bulta	b ū l t a
bumba	b ū m b a
bura	b u ɾ a
burka	b ù ɾ k a
burka	b ū ɾ k a
burkāns	b ū ɾ k āː n s
burtnīca	b ū r t n ì t s a
burts	b ū r t s
burāt	b u ɾ aː t
burātājs	b u ɾ aː t aː j s
buča	b u t ʃ a
bāls	b āː l s
bālums	b āː l u m s
bārabērns	b àː ɾ a b æ̀ː ɾ n s
bārda	b àː ɾ d a
bārdains	b àː ɾ d ā j n s
bāre	b àː ɾ ɛ
bārene	b àː ɾ ɛ n ɛ
bārenis	b àː ɾ ɛ n i s
bāris	b àː ɾ i s
bē	b ɛː
bēda	b æ̀ː d a
bēgt	b ɛ̂ː k t
bērns	b æ̀ː ɾ n s
bērzs	b ǣː r s
bīstams	b iː s t a m s
bīstamākais	b iː s t a m aː k a i s
bīstamāks	b iː s t a m aː k s
bīties	b îː t i ɛ̂ s
bļoda	b ʎ ū ō d a
būcenis	b uː t s ɛ n i s
būt	b ûː t
c	t s
cauna	t s a û n a
caur	t s ā ū ɾ
caurs	t s ā ū ɾ s
celis	t s ɛ l i s
celt	t͡s ɛ̂ l t
cena	t͡s æ n a
censties	t s ɛ̀ n s t i ɛ̂ s
cepetis	t s ɛ p ɛ t i s
cepeškrāsns	t s ɛ p ɛ ʃ k ɾ âː s n s
cepiens	t s ɛ p i e n s
ceplis	t s ɛ p l i s
cept	t͡s ɛ p t
cepties	t͡s ɛ p t i ɛ̂ s
ceptuve	t s æ p t u v ɛ
cerēt	t s ɛ ɾ ɛ̂ː t
ceļš	t s ɛ ʎ ʃ
ciems	t s ì e m s
ciet	t s i ɛ̂ t
ciets	t s i ɛ̂ t s
ciešs	t s i ɛ̂ ʃ
cilts	t s î l t s
cilvēks	t͡s ì l v ǣː k s
cimds	t s ì m t s
cipars	t s i p a r s
cirslis	t s ì ɾ s l i s
citronkoks	t s i t ɾ o n k ù o k s
citrons	t s i t ɾ oː n s
cits	t s i t s
cālis	t s āː l i s
cē	t s ɛː
cēls	t s eː l s
cērijs	t s ɛ̄ː ɾ i j s
cēsnieks	t s ēː s i n i ɛ k s
cēsnieks	t s ēː s n i ɛ k s
cūciņa	t s ūː t s i ɲ a
cūka	t͡s ūː k a
cūkgaļa	t s ūː k ɡ a ʎ a
d	d
dabūt	d a b ûː t
daikts	d a î k t͡s
daile	d ā ī l ɛ
daiļš	d ā ī ʎ ʃ
dalīt	d a l îː t
dancis	d ā n t s i s
darbarīks	d â ɾ b a ɾ ìː k s
darbs	d â ɾ p s
darīt	d a r îː t
daudzi	d ā ū d z i
daļiņa	d a ʎ i ɲ a
daži	d a ʒ i
dažreiz	d a ʒ ɾ ɛ ī z
debils	d e b i l s
debils	d e b iː l s
degt	d e k t
degvīns	d æ ɡ v īː n s
dejot	d ɛ j u ô t
desmit	d ɛ s m i t
deviņi	d ɛ v i ɲ i
dibens	d i b æ n s
diena	d ì ɛ n a
diennakts	d ì ɛ n n a k t s
dieve	d ì ɛ v ɛ
dievs	d ì ɛ w s
direktore	d i ɾ ɛ k t oː ɾ ɛ
direktors	d i ɾ ɛ k t oː ɾ s
dirst	d ì ɾ s t
diskutēt	d i s k u t ɛ̂ː t
divdabis	d i w d a b i s
divi	d i v i
drakons	d ɾ a k oː n s
drosme	d ɾ ù o s m e
drošs	d ɾ ù o ʃ
drāna	d r āː n a
drēgns	d r ǣː ɡ n s
drīkstēt	d ɾ ìː k s t ɛ̂ː t
dundurs	d ū n d u ɾ s
dusa	d u s a
dusēt	d u s ɛ̂ː t
duļķes	d ū ʎ c ɛ s
dvēsele	d v ɛ̄ː s ɛ l ɛ
dvīne	d v ìː n ɛ
dvīnis	d v ìː n i s
dzeguze	d͡z æ ɡ u z ɛ
dzelt	d z ɛ̂ l t
dzeltens	d z æ̀ l t æ n s
dzelzs	d z ɛ̀ l s
dzert	d͡z ɛ̂ ɾ t
dzestrs	d z æ s t ɾ s
dzestrums	d z æ s t ɾ u m s
dziedāt	d͡z i ɛ̂ d âː t
dziesma	d z i ɛ̂ s m a
dzimt	d z ì m t
dzimt	d z î m t
dzimt	d z ī m t
dzimta	d z ì m t a
dzimte	d z ì m t ɛ
dzimtene	d z î m t e n e
dzimtene	d z ī m t e n e
dzimšana	d z î m ʃ a n a
dzimšana	d z ī m ʃ a n a
dzintars	d͡z ī n t a ɾ s
dzirdēt	d z ì ɾ d ɛ̂ː t
dziļš	d͡z i ʎ ʃ
dzērve	d͡z ɛ̄ː ɾ v ɛ
dzīsla	d z îː s l a
dzīt	d z îː t
dzīt	d z īː t
dzīvnieks	d z î u n ì ɛ k s
dzīvoklis	d z īː v u o k l i s
dzīvs	d z îː w s
dzīšana	d z î ʃ a n a
dzīšana	d z ī ʃ a n a
dāma	d āː m a
dārgs	d àː ɾ ɡ s
dārzs	d àː ɾ s
dāsns	d âː s n s
dāsns	d āː s n s
dē	d ɛː
dēle	d ɛ̂ː l ɛ
dēli	d æ̂ː l i
dēli	d ɛ̂ː l i
dēli	d ɛ̄ː l i
dēlis	d ɛ̄ː l i s
dēls	d æ̂ː l s
dēļ	d ɛ̄ː ʎ
dīvains	d īː v a j n s
dūzis	d ūː z i s
e	æ
e	ɛ
ef	ɛ f
egle	ɛ ɡ l ɛ
eja	ɛ j a
el	ɛ l
elpa	ǣ l p a
em	ɛ m
en	ɛ n
er	ɛ ɾ
ercens	æ̂ ɾ t͡s æ n s
erozija	ɛ ɾ oː z i j a
es	ɛ s
esamība	æ s a m īː b a
esmu	æ s m u
ezers	æ z æ ɾ s
ezis	ɛ z i s
eļ	ɛ ʎ
eņ	ɛ ɲ
eš	ɛ ʃ
f	f
fakts	f a k t s
fantastika	f a n t a s t i k a
fantastisks	f a n t a s t i s k s
folklora	f o l k l oː ɾ a
g	ɡ
gads	ɡ a t͡s
gadsimts	ɡ a t s ì m t s
gaist	ɡ à j s t
gaist	ɡ â j s t
gaist	ɡ ā j s t
gaišs	ɡ à j ʃ
galds	ɡ â l t s
gals	ɡ a l s
galvaspilsēta	ɡ â l v a s p ì l s ǣː t a
gards	ɡ â ɾ t s
garša	ɡ â ɾ ʃ a
gatavot	ɡ a t a v u ô t
gaume	ɡ ā ū m e
gavēt	ɡ a v æː t
gaļa	ɡ a ʎ a
gliemezis	ɡ l ī ɛ̄ m ɛ z i s
glābt	ɡ l âː p t
glāze	ɡ l āː z ɛ
glīts	ɡ l îː t s
gnīda	ɡ n īː d a
gotu	ɡ o t u
govs	ɡ ù o w s
gramatika	ɡ ɾ a m a t i k a
grebt	ɡ r ɛ b t
gredzens	ɡ ɾ æ d z æ n s
grezns	ɡ ɾ æ z n s
gribēt	ɡ ɾ i b ɛ̂ː t
grieznes	ɡ ɾ i ɛ̂ z n ɛ s
griezt	ɡ r i ɛ̂ s t
griezt	ɡ r ī ɛ̄ s t
grāmata	ɡ ɾ āː m a t a
grīva	ɡ ɾ īː v a
grūsns	ɡ ɾ ūː s n s
grūtniecība	ɡ ɾ ūː t n ì ɛ t s īː b a
grūts	ɡ ɾ ūː t s
grūtums	ɡ ɾ ūː t u m s
gulbis	ɡ ù l b i s
gulta	ɡ ù l t a
gulta	ɡ ū l t a
gulēt	ɡ u l ɛ̂ː t
gurķis	ɡ û ɾ c i s
gā	ɡ aː
gādāt	ɡ āː d âː t
gāze	ɡ âː z e
gāze	ɡ āː z e
i	i
iecept	i ɛ t s ɛ p t
iedvesma	ì ɛ d v ɛ s m a
iekļūt	ì ɛ k ʎ ûː t
iekša	ì ɛ k ʃ a
iela	ì ɛ l a
ierocis	ì ɛ ɾ u ô t s i s
iet	i ɛ̂ t
iet	i ɛ̄ t
igaunis	i ɡ ā ū n i s
inde	ī n d ɛ
insekts	i n s ɛ k t s
inspiratore	i n s p i ɾ a t oː ɾ ɛ
inspiratore	i n s p i ɾ aː t oː ɾ ɛ
inspirators	i n s p i ɾ a t oː ɾ s
inspirators	i n s p i ɾ aː t oː ɾ s
interpunkcija	i n t e ɾ p u n k t s i j a
intonācija	i n t o n āː t s i j a
intuīcija	i n t u ī c i j a
intīms	īː n t īː m s
ir	i r
istaba	i s t a b a
izart	i z â ɾ t
izcept	i s t s ɛ p t
izcils	i s t s i l s
izkapts	i s k a p t s
izputēt	i z p u t æː t
izteikt	i s t ɛ̀ i k t
iztulkot	i s t ū l k u ô t
j	j
jakts	j a k t s
jauks	j â w k s
jautrs	j à w t ɾ s
jautāt	j ā ū t â t
jebkurš	j ɛ p k u ɾ ʃ
jods	j oː t s
jods	j u o t s
jokot	j u ō k u ô t
joks	j u ō k s
joprojām	j ù o p ɾ u ô j âː m
joprojām	j ù o p ɾ u ô j āː m
jumts	j ù m t s
just	j u s t
jā	j àː
jē	j ɛː
jēdzīgs	j ɛ̄ː d͡z îː k s
jēga	j ǣː ɡ a
jēgt	j ɛ̄ː k t
jēls	j æ̂ː l s
jērs	j ǣː ɾ s
jūra	j ūː ɾ a
jūrascūciņa	j ūː ɾ a s t s ūː t s i ɲ a
jūs	j uː s
k	k
ka	k a
kaija	k ā ī j a
kails	k a î l s
kaitināt	k ā ī t i n âː t
kalns	k â l n s
kalps	k ā l p s
kalt	k ā l t
kapibara	k a p i b a ɾ a
kaplis	k a p l i s
kaplēt	k a p l ɛ̂ː t
karaliene	k a ɾ a l ī ɛ̄ n ɛ
karalis	k a ɾ a l i s
karaspēks	k à ɾ a s p æ̀ː k s
kareivis	k a ɾ ɛ̄ ī v i s
karogs	k a ɾ u ō k s
karote	k a r u ô t e
karsts	k â ɾ s t s
kartupelis	k ā r t u p e l i s
karš	k à ɾ ʃ
kauns	k à w n s
kaza	k a z a
kaķe	k a c ɛ
kaķene	k a c ɛ n ɛ
kija	k i j a
kivi	k i v i
kivi	k i v iː
klade	k l a d e
klaips	k l à j p s
klaips	k l â j p s
klausīt	k l à w s îː t
klausīt	k l ā ū s îː t
klausīties	k l à w s îː t i ɛ̂ s
klausīties	k l ā ū s îː t i ɛ̂ s
klaviatūra	k l a v j a t ūː ɾ a
klepot	k l æ p u ô t
klepus	k l æ p u s
klints	k l ī n t s
klons	k l o n s
klons	k l ū ō n s
klosteris	k l u o s t ɛ ɾ i s
klupt	k l u p t
kluss	k l u s
klusēt	k l u s ɛ t
klēts	k l ɛ̄ː t s
knašs	k n a ʃ
knābis	k n àː b i s
koks	k ù o k s
komats	k o m a t s
kopā	k u ō p aː
kreile	k ɾ ɛ̄ ī l ɛ
kreilis	k ɾ ē ī l i s
kreiss	k ɾ è j s
krievs	k ɾ ì ɛ w s
kronis	k ɾ ū ō n i s
krusts	k ɾ u s t͡s
krāce	k ɾ āː t s ɛ
krāsa	k r āː s a
krāsns	k ɾ âː s n s
krāšņs	k ɾ àː ʃ ɲ s
krēsla	k r ǣː s l a
krēslains	k r ǣː s l a i n s
krēslot	k ɾ æ̀ː s l u ô t
krēslot	k ɾ ǣː s l u ô t
krēsls	k r ǣː s l s
krūms	k ɾ ūː m s
kukainis	k u k â j n i s
kult	k ū l t
kungs	k ù ŋ k s
kur	k ù ɾ
kur	k û ɾ
kur	k ū ɾ
kurls	k û ɾ l s
kurls	k ū ɾ l s
kurlums	k û ɾ l u m s
kurlums	k ū ɾ l u m s
kurmis	k ū ɾ m i s
kurpe	k û ɾ p ɛ
kurpe	k ū ɾ p ɛ
kurt	k û r t
kurt	k ū r t
kustonis	k u s t u ô n i s
kustēt	k u s t ɛ̂ː t
kuģis	k u ɟ i s
kuņģis	k ū ɲ ɟ i s
kvieši	k v ì ɛ ʃ i
kā	k âː
kā	k āː
kādreiz	k â d r e ī z
kāja	k āː j a
kājbumba	k āː j b ū m b a
kāmis	k āː m i s
kāpnes	k âː p n ɛ s
kāposti	k àː p u ô s t i
kāpt	k âː p t
kāpēc	k âː p êː t s
kāravs	k āː ɾ a w s
kārs	k āː r s
kārts	k āː ɾ t s
kāsis	k àː s i s
kāss	k āː s
kļūda	k ʎ ûː d a
kļūt	k ʎ ûː t
kūka	k ūː k a
kūts	k ūː t s
l	l
labrīt	l a b ɾ îː t
labrīts	l a b ɾ îː t s
labvakar	l a b v a k a ɾ
labība	l a b ìː b a
lai	l a î
laidnis	l a î d n i s
laikmets	l ā ī k m æ t͡s
laime	l ā ī m ɛ
laimēties	l a i m ɛː t i e s
laimīgs	l ā ī m îː ɡ s
laipns	l ā ī p n s
laist	l a î s t
laiva	l ā ī v a
laizīt	l a i z iː t
lakstīgala	l a k s t îː ɡ a l a
lakstīgala	l a k s t īː ɡ a l a
lapsa	l a p s a
lasīt	l a s îː t
latvis	l a t v i s
lauks	l ā ū k s
lauva	l ā w v a
ledus	l æ d u s
leitis	l ɛ̄ ī t i s
lepns	l æ p n s
leģenda	l ɛ ɟ ɛ̄ n d a
lidot	l i d u ô t
liegt	l i ɛ̂ k t
lielpilsēta	l ī ɛ̄ l p ì l s ǣː t a
liels	l i ɛ̂ l s
liels	l ī ɛ̄ l s
lielīgs	l ī ɛ̄ l îː k s
liepa	l ī ɛ̄ p a
liet	l i ɛ̂ t
lieta	l ì ɛ t a
lietus	l i ɛ̂ t u s
lietvārds	l ì ɛ t v àː ɾ d s
ligzda	l i ɡ z d a
loceklis	l ù o t s e k l i s
locījums	l ù o t s îː j u m s
lode	l ū ō d ɛ
logaritms	l o ɡ a ɾ i t m s
logs	l u ô k s
lokans	l ù o k a n s
lops	l ū ō p s
lācene	l âː t s ɛ n ɛ
lācis	l âː t s i s
lāpsta	l âː p s t a
lāpstiņa	l âː p s t i ɲ a
lēca	l ǣː t s a
lēns	l æ̀ː n s
lēts	l ǣː t s
līdzeklis	l iː d z æ k l i s
līdzskanis	l īː d s k a n i s
līt	l îː t
līķis	l īː c i s
lūk	l ùː k
lūk	l ūː k
lūpa	l ūː p a
m	m
mainīt	m ā ī n îː t
maisiņš	m à j s i ɲ ʃ
maiss	m à j s
maize	m à j z ɛ
maiznieks	m a i z n i ɛ k s
maiznīca	m à i z n ìː t s a
maks	m a k s
maksa	m a k s a
maksts	m a k s t s
maksāt	m a k s âː t
mango	m a ŋ ɡ oː
manuskripts	m a n u s k ɾ i p t s
masturbēt	m a s t u ɾ b æː t
mats	m a t s
mazgāt	m a z ɡ âː t
medus	m æ d u s
meija	m ē ī j a
meklēt	m ɛ k l ɛ̂ː t
melns	m ǣ l n s
menca	m ǣ n t s a
mest	m ɛ s t
met	m æ t
met	m ɛ t
mezgls	m æ z ɡ l s
mežacūka	m ɛ ʒ a t s uː k a
mežāzis	m ɛ ʒ âː z i s
mežģīt	m ɛ ʒ d ʒ îː t
mežģīt	m ɛ ʒ ɟ îː t
miegs	m ì ɛ k s
miers	m i ɛ̂ ɾ s
miesa	m ì ɛ s a
miests	m ī ɛ̄ s t͡s
miets	m ì ɛ t s
mikls	m i k l s
milti	m i l t i
milze	m î l z ɛ
milzis	m î l z i s
minēt	m i n ɛ̂ː t
mirstība	m î ɾ s t iː b a
mirstība	m ī ɾ s t iː b a
mirstīgs	m î ɾ s t iː k s
mirstīgs	m ī ɾ s t iː k s
mirstīgums	m î ɾ s t iː ɡ u m s
mirstīgums	m ī ɾ s t iː ɡ u m s
mirt	m î ɾ t
mirt	m ī ɾ t
miršana	m î ɾ ʃ a n a
miršana	m ī ɾ ʃ a n a
mitrs	m i t ɾ s
mobils	m o b i l s
mobils	m o b iː l s
moderns	m o d æ ɾ n s
modernums	m o d æ ɾ n u m s
modrs	m u ô d ɾ s
možs	m u ô ʃ
mukls	m u k l s
mundrs	m ū n d ɾ s
mute	m u t ɛ
muļķis	m û ʎ c i s
mušmire	m u ʃ m i ɾ ɛ
mācēt	m âː t͡s ɛ̂ː t
mācīt	m âː t͡s îː t
mācīties	m âː t͡s îː t i ɛ̂ s
māja	m āː j a
māksla	m âː k s l a
māsa	m āː s a
māsīca	m aː s iː t͡s a
māte	m āː t ɛ
mēle	m ɛ̀ː l ɛ
mēnesis	m ɛ̄ː n ɛ s i s
mēness	m ɛ̄ː n ɛ s
mērs	m ǣː ɾ s
mērs	m ɛ̄ː ɾ s
mēs	m ɛ̄ː s
mēsli	m æ̂ː s l i
mētā	m ǣː t âː
mētāt	m ǣː t âː t
mīksts	m îː k s t s
mīts	m îː t s
mīts	m īː t s
mīļš	m īː ʎ ʃ
mūks	m ūː k s
mūsu	m uː s u
mūziķe	m uː z i c ɛ
mūziķis	m uː z i c i s
mūķene	m ūː c ɛ n ɛ
mūžs	m ûː ʃ
n	n
nakts	n a k t s
nams	n à m s
nasks	n a s k s
nauda	n â w d a
naudasmaks	n â w d a s m a k s
nebēda	n æ b æ̀ː d a
nedēļa	n ɛ d ɛ̄ː ʎ a
neglīts	n ɛ ɡ l îː t s
neglītums	n ɛ ɡ l îː t u m s
nejēga	n ɛ j ǣː ɡ a
nepareizs	p a ɾ ɛ̄ ī s
nerātns	n æ ɾ āː t n s
nespodrs	n ɛ s p u ô d ɾ s
nest	n ɛ s t
netīrs	n ɛ t īː ɾ s
noart	n u o â ɾ t
nocept	n u o t s ɛ p t
norma	n o ɾ m a
nākotne	n āː k u ô t n ɛ
nākt	n āː k t
nāss	n āː s
nāve	n âː v ɛ
nāvēt	n âː v ɛ̂ː t
nēsāt	n ǣː s âː t
nīlzirgs	n īː l z î ɾ k s
o	o
o	oː
ola	w ō l a
oma	u ō m a
ota	ū ō t a
ozols	u ô z u o l s
p	p
paart	p a â ɾ t
paceplītis	p a t͡s ɛ p l iː t i s
pacept	p a t s ɛ p t
paduse	p a d u s ɛ
pagasts	p a ɡ a s t͡s
pagātne	p a ɡ āː t n ɛ
paklājs	p a k l âː j s
palodze	p a l ū ō d z ɛ
palīdzēt	p a l īː d z ɛ̂ː t
pamats	p a m a t s
panna	p ā n n a
paprika	p a p ɾ i k a
paradokss	p a ɾ a d o k s
parast	p a ɾ a s t
pareizs	p a ɾ ɛ̄ ī s
parīt	p a ɾ îː t
parītdiena	p a ɾ îː d d ì ɛ n a
parīts	p a ɾ îː t s
paslēpt	p a s l ɛ̀ː p t
pastala	p a s t a l a
pastmarka	p a s t m a ɾ k a
pasts	p a s t s
patikt	p a t i k t
pats	p a t͡s
patulkot	p a t ū l k u ô t
pavēle	p a v ɛ̄ː l ɛ
pavēlēt	p a v ɛ̄ː l ɛ̂ː t
peldēt	p ɛ̂ l d ɛ̂ː t
pelnīt	p ɛ̀ l n îː t
pelēks	p æ l æ̂ː k s
pergamentpapīrs	p ɛ ɾ ɡ a m ɛ n t p a p iː ɾ
pergaments	p ɛ ɾ ɡ a m ɛ n t s
peri	p æ ɾ i
piecept	p i ɛ t s ɛ p t
piedurkne	p ì ɛ d û ɾ k n ɛ
piedurkne	p ì ɛ d ū ɾ k n ɛ
piedāvājums	p i ɛ d a v aː j u m s
piemirst	p ì ɛ m ì ɾ s t
pienene	p ī ɛ̄ n ɛ n ɛ
piens	p ī ɛ̄ n s
piere	p ì ɛ ɾ ɛ
pilns	p ī l n s
pilsonis	p ì l s u o n i s
pilsēta	p ì l s ǣː t a
pipars	p i p a ɾ s
pirkt	p ì ɾ k t
plats	p l a t s
plaukts	p l à u k t͡s
plaušas	p l à u ʃ a s
plašs	p l a ʃ
pludmale	p l u d m a l ɛ
plāns	p l âː n s
plāns	p l āː n s
plīts	p l īː t s
polis	p ū ō l i s
post	p u ô s t
prast	p ɾ a s t
prasīt	p r a s îː t
priecīgs	p ɾ i ɛ̂ k s îː ɡ s
prieks	p ɾ i ɛ̂ k s
priesteriene	p ɾ ī ɛ̄ s t ɛ ɾ i ɛ n ɛ
priesteris	p ɾ ī ɛ̄ s t ɛ ɾ i s
priesterība	p ɾ ī ɛ̄ s t ɛ ɾ ìː b a
prievārds	p ɾ i e v àː ɾ d s
producēt	p ɾ o d u t s ɛ̂ː t
profesore	p ɾ o f ɛ s o ɾ ɛ
profesors	p ɾ o f ɛ s o ɾ s
prāts	p ɾ àː t͡s
prāvs	p r à w s
puisis	p ū ī s i s
pulkstenis	p ù l k s t ɛ n i s
pulkstens	p ù l k s t æ n s
punšs	p u n ʃ
purvs	p ù ɾ v s
pusdiena	p u z d ì ɛ n a
pusdienas	p u z d ì ɛ n a s
pusnakts	p u s n a k t s
pāksts	p âː k s t s
pār	p āː r
pārcept	p aː ɾ t s ɛ p t
pārtulkot	p āː ɾ t ū l k u ô t
pātaga	p àː t a ɡ a
pāvests	p āː v ɛ s t s
pē	p ɛː
pēkšņs	p ɛ̀ː k ʃ ɲ s
pērn	p ǣː ɾ n
pērns	p ǣː ɾ n s
