A	ʔ aː ˧˧
An Dương	ʔ aː n ˧˧ z ɨ ə ŋ ˧˧
an dưỡng	ʔ aː n ˧˧ z ɨ ə ŋ ˦ˀ˥
an dưỡng đường	ʔ aː n ˧˧ z ɨ ə ŋ ˦ˀ˥ ʔ ɗ ɨ ə ŋ ˨˩
an định	ʔ aː n ˧˧ ʔ ɗ ï ŋ ˧˨ ʔ
An Giang	ʔ aː n ˧˧ z aː ŋ ˧˧
an giấc	ʔ aː n ˧˧ z ə k̚ ˧˦
an giấc ngàn thu	ʔ aː n ˧˧ z ə k̚ ˧˦ ŋ aː n ˨˩ tʰ u ˧˧
an giấc nghìn thu	ʔ aː n ˧˧ z ə k̚ ˧˦ ŋ i n ˨˩ tʰ u ˧˧
An Hải	ʔ aː n ˧˧ h aː j ˧˩
An Huy	ʔ aː n ˧˧ h w i ˧˧
an hưởng	ʔ aː n ˧˧ h ɨ ə ŋ ˧˩
an khang	ʔ aː n ˧˧ x aː ŋ ˧˧
an khang thịnh vượng	ʔ aː n ˧˧ x aː ŋ ˧˧ tʰ ï ŋ ˧˨ ʔ v ɨ ə ŋ ˧˨ ʔ
an lạc	ʔ aː n ˧˧ l aː k̚ ˧˨ ʔ
an lành	ʔ aː n ˧˧ l a j ŋ̟ ˨˩
An Lão	ʔ aː n ˧˧ l aː w ˦ˀ˥
An Lê Mân	ʔ aː n ˧˧ l e ˧˧ m ə n ˧˧
An Nam	ʔ aː n ˧˧ n aː m ˧˧
An Ngãi	ʔ aː n ˧˧ ŋ aː j ˦ˀ˥
an nghỉ	ʔ aː n ˧˧ ŋ i ˧˩
an nguy	ʔ aː n ˧˧ ŋ w i ˧˧
an nhàn	ʔ aː n ˧˧ ɲ aː n ˨˩
an nhiên	ʔ aː n ˧˧ ɲ i ə n ˧˧
an ninh	ʔ aː n ˧˧ n ï ŋ ˧˧
an ninh mạng	ʔ aː n ˧˧ n ï ŋ ˧˧ m aː ŋ ˧˨ ʔ
an ninh trật tự	ʔ aː n ˧˧ n ï ŋ ˧˧ t͡ɕ ə t̚ ˧˨ ʔ t ɨ ˧˨ ʔ
an phận	ʔ aː n ˧˧ f ə n ˧˨ ʔ
an phận thủ thường	ʔ aː n ˧˧ f ə n ˧˨ ʔ tʰ u ˧˩ tʰ ɨ ə ŋ ˨˩
An Phong	ʔ aː n ˧˧ f a w ŋ͡m ˧˧
an sinh	ʔ aː n ˧˧ s ï ŋ ˧˧
an sinh xã hội	ʔ aː n ˧˧ s ï ŋ ˧˧ s aː ˦ˀ˥ h o j ˧˨ ʔ
an táng	ʔ aː n ˧˧ t aː ŋ ˧˦
an tâm	ʔ aː n ˧˧ t ə m ˧˧
an thai	ʔ aː n ˧˧ tʰ aː j ˧˧
an thần	ʔ aː n ˧˧ tʰ ə n ˨˩
an toạ	ʔ aː n ˧˧ t w aː ˧˨ ʔ
an toàn	ʔ aː n ˧˧ t w aː n ˨˩
an toàn khu	ʔ aː n ˧˧ t w aː n ˨˩ x u ˧˧
an toàn là trên hết	ʔ aː n ˧˧ t w aː n ˨˩ l aː ˨˩ t͡ɕ e n ˧˧ h e t̚ ˧˦
An Tôn	ʔ aː n ˧˧ t o n ˧˧
an trí	ʔ aː n ˧˧ t͡ɕ i ˧˦
an trú	ʔ aː n ˧˧ t͡ɕ u ˧˦
an tử	ʔ aː n ˧˧ t ɨ ˧˩
an tức hương	ʔ aː n ˧˧ t ɨ k̚ ˧˦ h ɨ ə ŋ ˧˧
an ủi	ʔ aː n ˧˧ ʔ u j ˧˩
an vị	ʔ aː n ˧˧ v i ˧˨ ʔ
An Vĩnh	ʔ aː n ˧˧ v ï ŋ ˦ˀ˥
an vui	ʔ aː n ˧˧ v u j ˧˧
án	ʔ aː n ˧˦
án binh bất động	ʔ aː n ˧˦ ʔ ɓ ï ŋ ˧˧ ʔ ɓ ə t̚ ˧˦ ʔ ɗ ə w ŋ͡m ˧˨ ʔ
án chung thân	ʔ aː n ˧˦ t͡ɕ ʊ w ŋ͡m ˧˧ tʰ ə n ˧˧
án điểm	ʔ aː n ˧˦ ʔ ɗ i ə m ˧˩
án gian	ʔ aː n ˧˦ z aː n ˧˧
án hành chính	ʔ aː n ˧˦ h a j ŋ̟ ˨˩ t͡ɕ ï ŋ ˧˦
án lệ	ʔ aː n ˧˦ l e ˧˨ ʔ
án mạng	ʔ aː n ˧˦ m aː ŋ ˧˨ ʔ
án ngữ	ʔ aː n ˧˦ ŋ ɨ ˦ˀ˥
án oan	ʔ aː n ˧˦ ʔ w aː n ˧˧
án phí	ʔ aː n ˧˦ f i ˧˦
án phúc thẩm	ʔ aː n ˧˦ f ʊ w k͡p̚ ˧˦ tʰ ə m ˧˩
án quyết	ʔ aː n ˧˦ k w i ə t̚ ˧˦
án sát	ʔ aː n ˧˦ s aː t̚ ˧˦
án thư	ʔ aː n ˧˦ tʰ ɨ ˧˧
án treo	ʔ aː n ˧˦ t͡ɕ ɛ w ˧˧
án tù	ʔ aː n ˧˦ t u ˨˩
án từ	ʔ aː n ˧˦ t ɨ ˨˩
án tử hình	ʔ aː n ˧˦ t ɨ ˧˩ h ï ŋ ˨˩
ancol	ʔ aː n ˧˧ k o n ˧˧
anđêhit	ʔ aː n ˧˧ ʔ ɗ e ˧˧ h i t̚ ˧˦
Anê	ʔ aː n ˧˧ n e ˧˧
ang	ʔ aː ŋ ˧˧
ang áng	ʔ aː ŋ ˧˧ ʔ aː ŋ ˧˦
áng	ʔ aː ŋ ˧˦
áng chừng	ʔ aː ŋ ˧˦ t͡ɕ ɨ ŋ ˨˩
anh	ʔ a j ŋ̟ ˧˧
Anh	ʔ a j ŋ̟ ˧˧
anh ách	ʔ a j ŋ̟ ˧˧ ʔ a j k̟̚ ˧˦
anh ánh	ʔ a j ŋ̟ ˧˧ ʔ a j ŋ̟ ˧˦
anh ấy	ʔ a j ŋ̟ ˧˧ ʔ ə j ˧˦
Anh Cát Lợi	ʔ a j ŋ̟ ˧˧ k aː t̚ ˧˦ l əː j ˧˨ ʔ
anh chàng	ʔ a j ŋ̟ ˧˧ t͡ɕ aː ŋ ˨˩
anh chị em	ʔ a j ŋ̟ ˧˧ t͡ɕ i ˧˨ ʔ ʔ ɛ m ˧˧
anh chột làm vua xứ mù	ʔ a j ŋ̟ ˧˧ t͡ɕ o t̚ ˧˨ ʔ l aː m ˨˩ v u ə ˧˧ s ɨ ˧˦ m u ˨˩
anh dũng	ʔ a j ŋ̟ ˧˧ z ʊ w ŋ͡m ˦ˀ˥
anh đào	ʔ a j ŋ̟ ˧˧ ʔ ɗ aː w ˨˩
anh em	ʔ a j ŋ̟ ˧˧ ʔ ɛ m ˧˧
anh em cây khế	ʔ a j ŋ̟ ˧˧ ʔ ɛ m ˧˧ k ə j ˧˧ x e ˧˦
anh em cọc chèo	ʔ a j ŋ̟ ˧˧ ʔ ɛ m ˧˧ k a w k͡p̚ ˧˨ ʔ t͡ɕ ɛ w ˨˩
anh em thúc bá	ʔ a j ŋ̟ ˧˧ ʔ ɛ m ˧˧ tʰ ʊ w k͡p̚ ˧˦ ʔ ɓ aː ˧˦
Anh giáo	ʔ a j ŋ̟ ˧˧ z aː w ˧˦
anh hào	ʔ a j ŋ̟ ˧˧ h aː w ˨˩
anh hoa	ʔ a j ŋ̟ ˧˧ h w aː ˧˧
anh hùng	ʔ a j ŋ̟ ˧˧ h ʊ w ŋ͡m ˨˩
anh hùng bàn phím	ʔ a j ŋ̟ ˧˧ h ʊ w ŋ͡m ˨˩ ʔ ɓ aː n ˨˩ f i m ˧˦
anh hùng ca	ʔ a j ŋ̟ ˧˧ h ʊ w ŋ͡m ˨˩ k aː ˧˧
anh hùng cá nhân	ʔ a j ŋ̟ ˧˧ h ʊ w ŋ͡m ˨˩ k aː ˧˦ ɲ ə n ˧˧
anh hùng chủ nghĩa	ʔ a j ŋ̟ ˧˧ h ʊ w ŋ͡m ˨˩ t͡ɕ u ˧˩ ŋ i ə ˦ˀ˥
anh hùng hào kiệt	ʔ a j ŋ̟ ˧˧ h ʊ w ŋ͡m ˨˩ h aː w ˨˩ k i ə t̚ ˧˨ ʔ
anh hùng hảo hán	ʔ a j ŋ̟ ˧˧ h ʊ w ŋ͡m ˨˩ h aː w ˧˩ h aː n ˧˦
anh hùng khó qua ải mĩ nhân	ʔ a j ŋ̟ ˧˧ h ʊ w ŋ͡m ˨˩ x ɔ ˧˦ k w aː ˧˧ ʔ aː j ˧˩ m i ˦ˀ˥ ɲ ə n ˧˧
anh hùng không có đất dụng võ	ʔ a j ŋ̟ ˧˧ h ʊ w ŋ͡m ˨˩ x ə w ŋ͡m ˧˧ k ɔ ˧˦ ʔ ɗ ə t̚ ˧˦ z ʊ w ŋ͡m ˧˨ ʔ v ɔ ˦ˀ˥
anh hùng mạt lộ	ʔ a j ŋ̟ ˧˧ h ʊ w ŋ͡m ˨˩ m aː t̚ ˧˨ ʔ l o ˧˨ ʔ
anh hùng nghĩa hiệp	ʔ a j ŋ̟ ˧˧ h ʊ w ŋ͡m ˨˩ ŋ i ə ˦ˀ˥ h i ə p̚ ˧˨ ʔ
anh hùng nhất khoảnh	ʔ a j ŋ̟ ˧˧ h ʊ w ŋ͡m ˨˩ ɲ ə t̚ ˧˦ x w a j ŋ̟ ˧˩
anh hùng rơm	ʔ a j ŋ̟ ˧˧ h ʊ w ŋ͡m ˨˩ z əː m ˧˧
anh hùng tương ngộ	ʔ a j ŋ̟ ˧˧ h ʊ w ŋ͡m ˨˩ t ɨ ə ŋ ˧˧ ŋ o ˧˨ ʔ
anh kiệt	ʔ a j ŋ̟ ˧˧ k i ə t̚ ˧˨ ʔ
anh linh	ʔ a j ŋ̟ ˧˧ l ï ŋ ˧˧
anh minh	ʔ a j ŋ̟ ˧˧ m ï ŋ ˧˧
Anh ngữ	ʔ a j ŋ̟ ˧˧ ŋ ɨ ˦ˀ˥
anh nuôi	ʔ a j ŋ̟ ˧˧ n u ə j ˧˧
anh quân	ʔ a j ŋ̟ ˧˧ k w ə n ˧˧
Anh Quốc	ʔ a j ŋ̟ ˧˧ k u ə k̚ ˧˦
anh rể	ʔ a j ŋ̟ ˧˧ z e ˧˩
anh tài	ʔ a j ŋ̟ ˧˧ t aː j ˨˩
anh thư	ʔ a j ŋ̟ ˧˧ tʰ ɨ ˧˧
anh trai	ʔ a j ŋ̟ ˧˧ t͡ɕ aː j ˧˧
anh tuấn	ʔ a j ŋ̟ ˧˧ t w ə n ˧˦
anh túc	ʔ a j ŋ̟ ˧˧ t ʊ w k͡p̚ ˧˦
anh túc xác	ʔ a j ŋ̟ ˧˧ t ʊ w k͡p̚ ˧˦ s aː k̚ ˧˦
Anh văn	ʔ a j ŋ̟ ˧˧ v a n ˧˧
anh vũ	ʔ a j ŋ̟ ˧˧ v u ˦ˀ˥
anh yêu em	ʔ a j ŋ̟ ˧˧ ʔ i ə w ˧˧ ʔ ɛ m ˧˧
ảnh	ʔ a j ŋ̟ ˧˩
ảnh ảo	ʔ a j ŋ̟ ˧˩ ʔ aː w ˧˩
ảnh âm	ʔ a j ŋ̟ ˧˩ ʔ ə m ˧˧
ảnh hưởng	ʔ a j ŋ̟ ˧˩ h ɨ ə ŋ ˧˩
ảnh thật	ʔ a j ŋ̟ ˧˩ tʰ ə t̚ ˧˨ ʔ
Ánh	ʔ a j ŋ̟ ˧˦
ánh	ʔ a j ŋ̟ ˧˦
ánh dương	ʔ a j ŋ̟ ˧˦ z ɨ ə ŋ ˧˧
ánh đèn	ʔ a j ŋ̟ ˧˦ ʔ ɗ ɛ n ˨˩
ánh kim	ʔ a j ŋ̟ ˧˦ k i m ˧˧
ánh mắt	ʔ a j ŋ̟ ˧˦ m a t̚ ˧˦
ánh nắng	ʔ a j ŋ̟ ˧˦ n a ŋ ˧˦
ánh nhìn	ʔ a j ŋ̟ ˧˦ ɲ i n ˨˩
ánh sáng	ʔ a j ŋ̟ ˧˦ s aː ŋ ˧˦
ánh sao	ʔ a j ŋ̟ ˧˦ s aː w ˧˧
ánh trăng	ʔ a j ŋ̟ ˧˦ t͡ɕ a ŋ ˧˧
ánh xạ	ʔ a j ŋ̟ ˧˦ s aː ˧˨ ʔ
ankan	ʔ aː n ˧˧ k aː n ˧˧
ankanol	ʔ aː n ˧˧ k aː ˧˧ n o n ˧˧
anken	ʔ aː n ˧˧ k ɛ n ˧˧
ankin	ʔ aː n ˧˧ k i n ˧˧
Anphongsô	ʔ aː n ˧˧ f a w ŋ͡m ˧˧ s o ˧˧
Anphonsô	ʔ aː n ˧˧ f ɔ n ˧˧ s o ˧˧
anti	ʔ aː n ˧˧ t i ˧˧
anti	ʔ ɛ n ˧˧ t i ˧˧
antimon	ʔ aː n ˧˧ t i ˧˧ m o n ˧˧
Antôn	ʔ aː n ˧˧ t o n ˧˧
ao	ʔ aː w ˧˧
ao ước	ʔ aː w ˧˧ ʔ ɨ ə k̚ ˧˦
ào	ʔ aː w ˨˩
ào ào	ʔ aː w ˨˩ ʔ aː w ˨˩
ào ạt	ʔ aː w ˨˩ ʔ aː t̚ ˧˨ ʔ
ảo	ʔ aː w ˧˩
ảo ảnh	ʔ aː w ˧˩ ʔ a j ŋ̟ ˧˩
ảo giác	ʔ aː w ˧˩ z aː k̚ ˧˦
ảo mộng	ʔ aː w ˧˩ m ə w ŋ͡m ˧˨ ʔ
ảo thuật	ʔ aː w ˧˩ tʰ w ə t̚ ˧˨ ʔ
ảo thuật gia	ʔ aː w ˧˩ tʰ w ə t̚ ˧˨ ʔ z aː ˧˧
ảo tưởng	ʔ aː w ˧˩ t ɨ ə ŋ ˧˩
ảo tưởng sức mạnh	ʔ aː w ˧˩ t ɨ ə ŋ ˧˩ s ɨ k̚ ˧˦ m a j ŋ̟ ˧˨ ʔ
ảo tượng	ʔ aː w ˧˩ t ɨ ə ŋ ˧˨ ʔ
áo	ʔ aː w ˧˦
Áo	ʔ aː w ˧˦
áo ấm	ʔ aː w ˧˦ ʔ ə m ˧˦
áo ba lỗ	ʔ aː w ˧˦ ʔ ɓ aː ˧˧ l o ˦ˀ˥
áo bà ba	ʔ aː w ˧˦ ʔ ɓ aː ˨˩ ʔ ɓ aː ˧˧
áo bào	ʔ aː w ˧˦ ʔ ɓ aː w ˨˩
áo bù long	ʔ aː w ˧˦ ʔ ɓ u ˨˩ l a w ŋ͡m ˧˧
áo chíp	ʔ aː w ˧˦ t͡ɕ i p̚ ˧˦
