ё	j ɵ
ваторась	w ʌ t o r ə sʲ
ваторць	w ʌ t o r t͡sʲ ə̥
ваторць	w ʌ t o r t͡sʲ
ваӈг	w ʌ ŋ ɡ ə̥
ваӈг	w ʌ ŋ ɡ
ваӈгалць	w ʌ ŋ ɡ ə ɫ t͡sʲ ə̥
ваӈгалць	w ʌ ŋ ɡ ə ɫ t͡sʲ
ваӈгахалць	w ə ŋ ɡ ʌ ɣ ʌ ɫ t͡sʲ ə̥
ваӈгахалць	w ə ŋ ɡ ʌ ɣ ʌ ɫ t͡sʲ
ваӈглёсь	w ʌ ŋ ɡ lʲ ɵ sʲ ə̥
ваӈглёсь	w ʌ ŋ ɡ lʲ ɵ sʲ
ваӈгота	w ʌ ŋ ɡ o t ʌ
ваӈготинзь	w ʌ ŋ ɡ o tʲ i n zʲ ə̥
ваӈготинзь	w ʌ ŋ ɡ o tʲ i n zʲ
ваӈгця	w ʌ ŋ ɡ t͡sʲ ɐ
ваӈо	w ʌ ŋ o
ваӈумзь	w ʌ ŋ u m zʲ ə̥
ваӈумзь	w ʌ ŋ u m zʲ
ваӈута	w ʌ ŋ u t ʌ
ваӈуць	w ʌ ŋ u t͡sʲ ə̥
ваӈуць	w ʌ ŋ u t͡sʲ
воскресенье	w o s k rʲ e sʲ e nʲ j e
вторник	f t o r nʲ i k ə̥
вторник	f t o r nʲ i k
выʼ	w ɨː ʔ
вэʼ	w ɤ ʔ
вэба	w ɤ b ʌ
вэбарка	w ɤ b ʌ r k ʌ
вэсако	w æ s ʌ k o
едя	j e dʲ ɐ
ен	j e n ə̥
ен	j e n
Ензя	j e n zʲ ɐ
Енься	j e nʲ sʲ ɐ
есерˮ	j e sʲ e rˀ
еся	j e sʲ ɐ
и	j iː
иˮ	j i ʔ
ибя	j i bʲ ɐ
ид	j i d ə̥
ид	j i d
ий	j i j ə̥
ий	j i j
илась	j i ɫ ə sʲ ə̥
илась	j i ɫ ə sʲ
илесь	j i lʲ e sʲ ə̥
илесь	j i lʲ e sʲ
ирий	j i rʲ i j ə̥
ирий	j i rʲ i j
исавэй	j iː s ʌ w æ j ə̥
исавэй	j iː s ʌ w æ j
иӈгней	j i ŋ ɡ nʲ e j ə̥
иӈгней	j i ŋ ɡ nʲ e j
лабя	ɫ ʌ bʲ ɐ
лембя	lʲ e m bʲ ɐ
лидяӈг	lʲ i dʲ ɐ ŋ ɡ ə̥
лидяӈг	lʲ i dʲ ɐ ŋ ɡ
лимбя	lʲ i m bʲ ɐ
лохо	ɫ o ɣ o
луца	ɫ u t͡s ʌ
лы	ɫ ɨ
мал	m ʌ l ə̥
мал	m ʌ l
мандо	m ʌ n d o
манзь	m ʌ n zʲ ə̥
манзь	m ʌ n zʲ
маниʼ	m ʌ nʲ i ʔ
мань	m ʌ nʲ ə̥
мань	m ʌ nʲ
маняˮ	m ʌ nʲ ɐ ʔ
марˮ	m ə rˀ
марˮ	m ə rˀ
марˮ	m ʌ rˀ
мардась	m ə r d ʌ sʲ ə̥
мардась	m ə r d ʌ sʲ
масась	m ʌ s ə sʲ ə̥
масась	m ʌ s ə sʲ
матˮ	m ə tˀ
маха	m ʌ ɣ ʌ
маха	m ə ɣ ʌ
махась	m ʌ ɣ ə sʲ ə̥
махась	m ʌ ɣ ə sʲ
мея	mʲ e j ɐ
минзь	mʲ i n zʲ ə̥
минзь	mʲ i n zʲ
мирв	mʲ i r w ə̥
мирв	mʲ i r w
мирвасавэй	mʲ i r w ə s ʌ w æ j ə̥
мирвасавэй	mʲ i r w ə s ʌ w æ j
мись	mʲ i sʲ ə̥
мись	mʲ i sʲ
миць	mʲ i t͡sʲ ə̥
миць	mʲ i t͡sʲ
муноцьʼ	m u n o t͡sʲˀ
муӈг	m u ŋ ɡ ə̥
муӈг	m u ŋ ɡ
мыд	m ɨ d ə̥
мыд	m ɨ d
мэнесь	m ɤ nʲ e sʲ ə̥
мэнесь	m ɤ nʲ e sʲ
мэсь	m ɤ sʲ ə̥
мэсь	m ɤ sʲ
мюсесь	mʲ ʉ sʲ e sʲ ə̥
мюсесь	mʲ ʉ sʲ e sʲ
мяˮ	mʲ ɐ ʔ
нёя	nʲ ɵ j ɐ
надо	n ʌ d o
надо	n ə d o
нахарˮ	n ʌ ɣ ʌ rˀ
нахароӈгад	n ʌ ɣ ʌ r o ŋ ɡ ʌ d ə̥
нахароӈгад	n ʌ ɣ ʌ r o ŋ ɡ ʌ d
не	nʲ e
небя	nʲ e bʲ ɐ
нензад	nʲ e n z ʌ d ə̥
нензад	nʲ e n z ʌ d
ненэцьʼ	nʲ e n æ t͡sʲˀ
ни	nʲ i
ни	nʲ i
нибя	nʲ iː bʲ ɐ
нимнесь	nʲ i m nʲ e sʲ ə̥
нимнесь	nʲ i m nʲ e sʲ
нинека	nʲ i nʲ e k ʌ
нися	nʲ iː sʲ ɐ
нохо	n o ɣ o
нумʼ	n u mˀ
нумгы	n u m ɡ ɨ
ныхы	n ɨ ɣ ɨ
ню	nʲ ʉː
нюмʼ	nʲ ʉ mˀ
нюня	nʲ ʉ nʲ ɐ
нюсавэй	nʲ ʉː s ʌ w æ j ə̥
нюсавэй	nʲ ʉː s ʌ w æ j
ня	nʲ ɐ
няʼ	nʲ ɐ ʔ
няʼ	nʲ ɐ ʔ
нява	nʲ ɐ w ʌ
няламзь	nʲ ə ɫ ə m zʲ ə̥
няламзь	nʲ ə ɫ ə m zʲ
нямд	nʲ ɐ m d ə̥
нямд	nʲ ɐ m d
нянь	nʲ ɐ nʲ ə̥
нянь	nʲ ɐ nʲ
няхарˮ	nʲ ɐ ɣ ə rˀ
няхарамдэй	nʲ ɐ ɣ ə r ʌ m d æ j ə̥
няхарамдэй	nʲ ɐ ɣ ə r ʌ m d æ j
пад	p ʌ d ə̥
пад	p ʌ d
падарˮ	p ʌ d ə rˀ
падсавэй	p ʌ d s ʌ w æ j ə̥
падсавэй	p ʌ d s ʌ w æ j
палы	p ʌ ɫ ɨ
паны	p ə n ɨ
парэʼ	p ə r æ ʔ
парэӈоць	p ə r æ ŋ o t͡sʲ ə̥
парэӈоць	p ə r æ ŋ o t͡sʲ
паӈгалць	p ə ŋ ɡ ə ɫ t͡sʲ ə̥
паӈгалць	p ə ŋ ɡ ə ɫ t͡sʲ
пеля	pʲ e lʲ ɐ
пензо	pʲ e n z o
пи	pʲ i
пиваˮ	pʲ i w ʌ ʔ
пидя	pʲ i dʲ ɐ
пикця	pʲ i k t͡sʲ ɐ
пилюць	pʲ iː lʲ ʉ t͡sʲ ə̥
пилюць	pʲ iː lʲ ʉ t͡sʲ
пинась	pʲ iː n ə sʲ ə̥
пинась	pʲ iː n ə sʲ
пинась	pʲ i n ə sʲ ə̥
пинась	pʲ i n ə sʲ
пир	pʲ i r ə̥
пир	pʲ i r
пираць	pʲ i r ə t͡sʲ ə̥
пираць	pʲ i r ə t͡sʲ
пись	pʲ i sʲ ə̥
пись	pʲ i sʲ
письʼ	pʲ i sʲˀ
пися	pʲ iː sʲ ɐ
писянзь	pʲ i sʲ ə n zʲ ə̥
писянзь	pʲ i sʲ ə n zʲ
писянзь	pʲ iː sʲ ə n zʲ ə̥
писянзь	pʲ iː sʲ ə n zʲ
плат	p ɫ ʌ t ə̥
плат	p ɫ ʌ t
по	p o
понедельник	p o nʲ e dʲ e lʲ nʲ i k ə̥
понедельник	p o nʲ e dʲ e lʲ nʲ i k
пулы	p u ɫ ɨ
пуць	p uː t͡sʲ ə̥
пуць	p uː t͡sʲ
пыв	p ɨ w ə̥
пыв	p ɨ w
пыда	p ɨ d ə
пыдар	p ɨ d ə r ə̥
пыдар	p ɨ d ə r
пыдараˮ	p ɨ d ə r ʌ ʔ
пыдари’	p ɨ d ə rʲ i ʔ
пыди’	p ɨ dʲ i ʔ
пыдо’	p ɨ d o ʔ
пыя	p ɨ j ɐ
пэдара	p ɤ d ʌ r ʌ
пя	pʲ ɐ
пятница	pʲ ɐ t nʲ i t͡s ʌ
сё	sʲ ɵ
сёхоˮмя	sʲ ɵ ɣ o ʔ mʲ ɐ
саˮесь	s ʌ ʔ j e sʲ ə̥
саˮесь	s ʌ ʔ j e sʲ
сава	s ə w ʌ
сава	s ə w ʌ
савне	s ʌ w nʲ e
салаба	s ʌ ɫ ʌ b ʌ
саля	s ʌ lʲ ɐ
самляӈг	s ə m lʲ ɐ ŋ ɡ ə̥
самляӈг	s ə m lʲ ɐ ŋ ɡ
сармик	s ʌ r mʲ i k ə̥
сармик	s ʌ r mʲ i k
саюв	s ʌ j ʉ w ə̥
саюв	s ʌ j ʉ w
сей	sʲ e j ə̥
сей	sʲ e j
сельбя	sʲ e lʲ bʲ ɐ
си	sʲ i
сиˮив	sʲ iː ʔ j i w ə̥
сиˮив	sʲ iː ʔ j i w
сибя	sʲ iː bʲ ɐ
сибя	sʲ i bʲ ə
сибя	sʲ i bʲ ə
сива	sʲ i w ʌ
сидндет	sʲ i d ə n dʲ e t ə̥
сидндет	sʲ i d ə n dʲ e t
сидндет	sʲ i d n dʲ e t ə̥
сидндет	sʲ i d n dʲ e t
сидя	sʲ i dʲ ɐ
сохо	s o ɣ o
среда	s rʲ e d ʌ
суббота	s u b o t ʌ
сыв	s ɨ w ə̥
сыв	s ɨ w
сыра	s ɨ r ʌ
сырасавэй	s ɨ r ʌ s ʌ w æ j ə̥
сырасавэй	s ɨ r ʌ s ʌ w æ j
сэв	s æ w ə̥
сэв	s æ w
сэрˮ	s ɤ rˀ
сюн	sʲ ʉ n ə̥
сюн	sʲ ʉ n
сяˮ	sʲ ɐ ʔ
сяв	sʲ ɐ w ə̥
сяв	sʲ ɐ w
сялʼ	sʲ ɐ ɫˀ
сяхаʼ	sʲ ɐ ɣ ə ʔ
тёня	tʲ ɵ nʲ ɐ
таʼ	t ʌ ʔ
тавыˮ	t ʌ w ɨ ʔ
такалць	t ə k ə ɫ t͡sʲ ə̥
такалць	t ə k ə ɫ t͡sʲ
талей	t ʌ lʲ e j ə̥
талей	t ʌ lʲ e j
талесь	t ʌ lʲ e sʲ ə̥
талесь	t ʌ lʲ e sʲ
талесь	t ə lʲ e sʲ ə̥
талесь	t ə lʲ e sʲ
тапарць	t ə p ə r t͡sʲ ə̥
тапарць	t ə p ə r t͡sʲ
тароць	t ʌ r o t͡sʲ ə̥
тароць	t ʌ r o t͡sʲ
таряв	t ə rʲ ɐ w ə̥
таряв	t ə rʲ ɐ w
тас	t ʌ s ə̥
тас	t ʌ s
Тасу	t ʌ s u
тато	t ʌ t o
тедаʼ	tʲ e d ə ʔ
тей	tʲ e j ə̥
тей	tʲ e j
тет	tʲ e t ə̥
тет	tʲ e t
тибя	tʲ i bʲ ɐ
тив	tʲ i w ə̥
тив	tʲ i w
тир	tʲ i r ə̥
тир	tʲ i r
тиртя	tʲ i r tʲ ɐ
то	t o
то	t o
тоʼ	t o ʔ
тоʼ	t o ʔ
тоʼ	t o ʔ
тоба	t o b ʌ
тобъёва	t o b j ɵ w ʌ
тохоˮ	t o ɣ o ʔ
тохоˮ	t o ɣ o ʔ
тохоˮ	t o ɣ o ʔ
тохолкода	t o ɣ o ɫ k o d ʌ
ту	t u
тубка	t u b k ʌ
тумдась	t u m d ə sʲ ə̥
тумдась	t u m d ə sʲ
тумдась	t u m d ʌ sʲ ə̥
тумдась	t u m d ʌ sʲ
тумдувдавэй	t u m d u w d ʌ w æ j ə̥
тумдувдавэй	t u m d u w d ʌ w æ j
туни	t u nʲ i
туӈгоˮ	t u ŋ ɡ o ʔ
ты	t ɨ
тырась	t ɨ r ʌ sʲ ə̥
тырась	t ɨ r ʌ sʲ
тэ	t æ
тэʼ	t ɤ ʔ
тэʼ	t æ ʔ
тэва	t æ w ə
тю	tʲ ʉ
тяхад	tʲ ɐ ɣ ə d ə̥
тяхад	tʲ ɐ ɣ ə d
ха	h ʌ
хаёсь	h ʌ j ɵ sʲ ə̥
хаёсь	h ʌ j ɵ sʲ
хаби	h ə bʲ i
хавˮ	h ʌ wˀ
хад	h ʌ d ə̥
хад	h ʌ d
хада	h ʌ d ʌ
хада	h ə d ʌ
хады	h ʌ d ɨ
хадян	h ə dʲ ɐ n ə̥
хадян	h ə dʲ ɐ n
хаерˮ	h ʌ j e rˀ
хаесь	h ʌ j e sʲ ə̥
хаесь	h ʌ j e sʲ
халя	h ʌ lʲ ɐ
халясавэй	h ʌ lʲ ɐ s ʌ w æ j ə̥
халясавэй	h ʌ lʲ ɐ s ʌ w æ j
хамба	h ʌ m b ʌ
хан	h ə n ə̥
хан	h ə n
хан	h ʌ n ə̥
хан	h ʌ n
ханена	h ʌ nʲ e n ʌ
ханзˮ	h ɑ n zˀ
ханзь	h ʌ n zʲ ə̥
ханзь	h ʌ n zʲ
хар	h ʌ r ə̥
хар	h ʌ r
харё	h ʌ rʲ ɵ
хара	h ə r ʌ
харад	h ʌ r ə d ə̥
харад	h ʌ r ə d
харвась	h ə r w ʌ sʲ ə̥
харвась	h ə r w ʌ sʲ
харна	h ə r n ʌ
харӈэ	h ə r ŋ æ
хасава	h ʌ s ʌ w ʌ
хасуй	h ʌ s u j ə̥
хасуй	h ʌ s u j
хасуюˮ	h ʌ s u j ʉ ʔ
хась	h ʌ sʲ ə̥
хась	h ʌ sʲ
хаямзь	h ə j ə m zʲ ə̥
хаямзь	h ə j ə m zʲ
хаясь	h ə j ə sʲ ə̥
хаясь	h ə j ə sʲ
хибя	ç i bʲ ɐ
хибяри	ç i bʲ ɐ rʲ i
хо	h o
хоˮ	h o ʔ
хой	h o j ə̥
хой	h o j
хойраха	h o j r ʌ ɣ ʌ
хора	h o r ʌ
хохорэй	h o ɣ o r æ j ə̥
хохорэй	h o ɣ o r æ j
ху	h uː
хуˮлась	h u ʔ ɫ ʌ sʲ ə̥
хуˮлась	h u ʔ ɫ ʌ sʲ
хулы	h u ɫ ɨ
хуняна	h u nʲ ɐ n ʌ
хуӈго	h u ŋ ɡ o
хыдя	h ɨ dʲ ɐ
хэмʼ	h æ mˀ
хэмʼ	h ɤ mˀ
хэтась	h ɤ t ə sʲ ə̥
хэтась	h ɤ t ə sʲ
хэхэ	h æ ɣ æ
четверг	sʲ e t bʲ e r k ə̥
четверг	sʲ e t bʲ e r k
четверг	t͡ɕ e t wʲ e r k ə̥
четверг	t͡ɕ e t wʲ e r k
юˮ	j ʉ ʔ
я	j ɐ
я	j ɐ
яб	j ɐ b ə̥
яб	j ɐ b
ябсавэй	j ɐ b s ʌ w æ j ə̥
ябсавэй	j ɐ b s ʌ w æ j
ябта	j ə b t ʌ
ябта	j ɐ b t ʌ
ябта	j a b t ʌ
яля	j ɐ lʲ ɐ
ямʼ	j ɐ mˀ
яха	j ɐ ɣ ʌ
яхась	j ɐ ɣ ə sʲ ə̥
яхась	j ɐ ɣ ə sʲ
ӈабт	ŋ ʌ b t ə̥
ӈабт	ŋ ʌ b t
ӈано	ŋ ʌ n o
ӈарка	ŋ ʌ r k ʌ
ӈацекы	ŋ ʌ t͡sʲ e k ɨ
ӈаць	ŋ ʌ t͡sʲ ə̥
ӈаць	ŋ ʌ t͡sʲ
ӈо	ŋ o
ӈобˮ	ŋ o bˀ
ӈодя	ŋ o dʲ ɐ
ӈу	ŋ u
ӈуˮ	ŋ u ʔ
ӈуˮ	ŋ u ʔ
ӈуда	ŋ u d ʌ
ӈулиˮ	ŋ u lʲ i ʔ
ӈылека	ŋ ɨ lʲ e k ʌ
ӈылна	ŋ ɨ ɫ n ʌ
ӈын	ŋ ɨ n ə̥
ӈын	ŋ ɨ n
ӈынаб	ŋ ɨ n ʌ b ə̥
ӈынаб	ŋ ɨ n ʌ b
ӈысма	ŋ ɨ s m ʌ
ӈэбт	ŋ æ b t ə̥
ӈэбт	ŋ æ b t
ӈэва	ŋ æ w ʌ
ӈэсо	ŋ ɤ s o
ӈэсы	ŋ ɤ s ɨ
