Aagos	aː ɡ o s
chros	t͡ʃ ɹ o s
chruu	t͡ʃ ɹ uː
chuu	t͡ʃ uː
chuut	t͡ʃ uː t
cocobay	k ʌ k ʌ b ɛ
Concorde	k a n k ɑː d
cotch	k a t ʃ
craven	k rʲ eː v ə n
craven	k rʲ eː b ə n
crep	k ɹ ɛ p
cyaan	kʲ ɑ̃
cyaan	kʲ ɒ̃
cyan	k j a n
da	d a
daag	d aː ɡ
daata	d aː t a
dat	d a t
dem	d ɛ m
demself	d e m s e l f
deso	d e s o
devl	d e v l̩
di	d i
did	d i d
die	d i e
difrant	d i f r a n t
diil	d iː l
Disemba	d i s ɛ m b a
disorv	d i s o r v
disrispek	d ɪ s ɹ i s p e k
don	d a n
du	d u
dung	d ʌ ŋ
duppy	d ʌ p ɪ
dutchy	d ʌ t͡ʃ ɪ
dutty	d ʌ t ɪ
ed	e d
el	ɛ l
elda	e l d a
ello	h ɛ l oː
ello	ɛ l oː
ello	h ɛ l ɔː
ello	ɛ l ɔː
elp	e l p
enibadi	e n i b a d i
enuh	ɪ n ʌ
evn	ɛ v n̩
evri	ɛ v ɹ ɪ
evribadi	ɛ v ɹ ɪ b a d ɪ
evriting	e v ɹ ɪ t ɪ ŋ
faada	f aː d a
faambli	f aː m b l i
faiya	f a i a
faks	f a k s
falara	f a l a r a
fambili	f a m b i l i
fass	f ɑː s
fassy	f a s ɪ
Febiweri	f ɛ b ɪ w ɛ ɹ ɪ
fenneh	f ɛ n ɛ
fi	f ɪ
fies	fʲ e s
fingga	f i n ɡ a
flim	f l ɪ m
fling	f l i ŋ
flowa	f l o w a
flowaz	f l o w a z
fos	f o s
foundieshan	f o ʊ̯ n d ɪ̯ ɛ ʃ a n
fram	f ɹ a m
fren	f ɹ e n
frii	f r iː
fuckery	f ʌ k ɹ ɪ
fuud	f uː d
Gad	ɡ a d
garrison	ɡʲ a ɹ ɪ s ə n
gi	ɡ i
gizzada	ɡ ɪ z ɑː d a
go	ɡ o
graasapa	ɡ r aː s a p a
grabba	ɡ ɹ a b a
guango	ɡ w a ŋ ɡ ʌ
gud	ɡ u d
guinep	ɡ ɪ n ɛ p
gungo	ɡ ʊ ŋ ɡ ʊ
guzu	ɡ ʊ z ʊ
gwaan	ɡ w aː n
gweehn	ɡ w ɛ̃ː
gyal	ɡʲ a l
gyallis	ɡʲ a l ɪ s
haffi	a f i
haffi	h a f i
heartical	h ɑː ɹ t ɪ k a l
heartical	h ɑː t ɪ k a l
heartical	ɑː ɹ t ɪ k a l
heartical	ɑː t ɪ k a l
higgler	h ɪ ɡ l a
higgler	ɪ ɡ l a
hit	h ɪ t
hush	h ʌ ʃ
ienjel	i e n d͡ʒ e l
Iepril	ɪ̯ ɛ p ɹ ɪ l
ier	i e r
iip	iː p
iit	iː t
iivn	iː v n
im	i m
impuotant	ɪ m p ʊ̯ o t a n t
imself	ĩ m s e l f
infamieshan	ɪ n f a m ɪ̯ ɛ ʃ a n
irie	a ɪ ɹ i
ischri	ɪ s t͡ʃ ɹ ɪ
it	i t
ital	a ɪ t a l
Jamaica	d͡ʒ ʌ mʲ eː k a
Jamaica	d͡ʒ a mʲ eː k a
Jamaican	d͡ʒ ʌ mʲ eː k a n
Jamaican	d͡ʒ a mʲ eː k a n
Jamdown	d͡ʒ a m d ɔː n
Jamdown	d͡ʒ a m d ʌ ŋ
Janiweri	d͡ʒ a n ɪ w ɛ ɹ ɪ
Jiizas	d͡ʒ iː z a s
jinarieshan	d͡ʒ ɪ n a ɹ ɪ̯ ɛ ʃ a n
joj	d͡ʒ o d͡ʒ
jook	d ʒ ʊ k
jostis	d͡ʒ o s t ɪ s
jred	d r e d
jriim	d͡ʒ ɹ iː m
jringk	d͡ʒ ɹ ɪ ŋ k
Julai	d͡ʒ u l a ɪ̯
Jumiekan	d͡ʒ ʌ mʲ eː k a n
Jumiekan	d͡ʒ a mʲ eː k a n
junjo	d͡ʒ ʌ n d͡ʒ ʌ
juu	d͡ʒ uː
Juu	d͡ʒ uː
Juun	d͡ʒ uː n
kaal	k aː l
kaaz	k aː z
kier	k ɪ̯ ɛ r
kimischri	k ɪ m ɪ s t͡ʃ ɹ ɪ
kip	k iː p
kluoz	k l ʊ̯ o z
kolcha	k o l t͡ʃ a
kom	k o m
komiin	k o m iː n
konchri	k o n t͡ʃ ɹ ɪ
kopl	k o p l̩
kraani	k ɹ aː n ɪ
kraim	k ɹ a ɪ̯ m
krievn	k ɹ ɪ̯ ɛ v n̩
kudn	k u d n̩
kuol	k ʊ̯ o l
kyaahn	c ãː
kyan	k j ã
kyari	c a ɹ ɪ
laad	l aː d
Laad	l aː d
laaf	l aː f
labrish	l a b ɹ ɪ ʃ
laif	l a ɪ f
laiv	l a ɪ v
leta	l e t a
liida	l iː d a
likkle	l ɪ k l
likl	l i k l̩
lime	l a ɪ m
lisn	l ɪ s n̩
liv	l i v
lov	l o v
Maach	m aː t͡ʃ
Magnum	m a ɡ n ʌ m
mampy	m a m p ɪ
man	m a n
Manley	m a n l ɪ
mawga	m ɑː ɡ a
mek	m e k
memba	m e m b a
mesij	m e s ɪ d͡ʒ
mi	m ɪ
Mie	m ɪ̯ ɛ
miggle	m ɪ ɡ ə l
miggle	m ɪ ɡ ə
miself	m ɪ s e l f
MoBay	m ʌ bʲ eː
mon	m o n
mongks	m o ŋ k s
mordara	m o r d a r a
mountn	m ɔ u n t n̩
muo	m u o
muos	m u o s
musmus	m uː s m uː s
muun	m uː n
muuv	m uː v
myuuzik	m j uː z ɪ k
naa	n aː
nalij	n a l ɪ d͡ʒ
Nanny	n a n ɪ
natty	n a t ɪ
naw	n ɑː
naw	n ɔː
neehn	n ɛ̃ː
niem	n ɪ e m
no	n o
nobadi	n o b a d i
nof	n o f
notn	n o t n̩
Novemba	n o v ɛ m b a
nuh	n ə
nuo	n u ɔ
nyam	ɲ a m
nyanga	ɲ a ŋ ɡ a
nyuu	n j uː
nyuuz	n j uː z
onggl	o ŋ ɡ l
onggri	o ŋ ɡ r i
op	o p
osh	o ʃ
ou	o u
oudi	ɔ u d i
paadn	p aː d n̩
paat	p aː t
partner	p ɑː d n a
patty	p a t ɪ
Patwa	p a t w a
pear	pʲ e ɹ
peas	p iː z
pickney	p ɪ k n ɪ
pickney	p ɪ k ɪ n ɪ
piis	p iː s
pikni	p ɪ k n ɪ
pikni	p ɪ k ɪ n ɪ
politrickster	p a l ɪ t͡ʃ ɹ ɪ k s t a
pon	p ɒ n
pongonut	p ʌ ŋ ɡ a n ʌ t
pongonut	p ʌ ŋ ɡ ʌ n ʌ t
posse	p a s ɪ
powa	p o w a
powaful	p a ʊ a f uː l
prafit	p ɹ a f ɪ t
praid	p ɹ a ɪ d
pramis	p r a m i s
pree	p r iː
prekeh	p ɹ ɛ k ɛ
priich	p ɹ iː t͡ʃ
priis	p ɹ iː s
punani	p ʊ n ɑː n i
quattie	k w a t ɪ
quint	k w ɪ n t
raatid	ɹ ɑː t ɪ d
ramp	r a m p
rass	ɹ ɑː s
rassclaat	ɹ ɑː s k l ɑː t
ratbat	ɹ a t b a t
respect	ɹ ɪ s s p ɛ k
Revilieshan	r ɛ v i lʲ e ʃ a n
riich	r iː t͡ʃ
riili	r iː l i
robot	ɹʷ oː b ʌ t
rudie	ɹ u d ɪ
runnings	ɹ ʌ n ɪ n z
ruul	r uː l
saalt	s aː l t
samfie	s a m f a ɪ
scallion	s k ɛ l j a n
se	s e
Septemba	s ɛ p t ɛ m b a
Shearer	ʃʲ eː ɹ a
shiem	ʃ ɪ̯ ɛ m
shotta	ʃ a t a
si	s i
sidong	s i d o ŋ
siikrit	s iː k r i t
simitri	s i m i t ʃ r i
sitn	s i t n
smadi	s m a d i
so	s o
sopm	s o p m
sopuot	s o p u ɔ t
sorvant	s o ɹ v a n t
speshal	s p e ʃ a l
spliff	s p l ɪ f
staat	s t aː t
sumadi	s u m a d i
suod	sʷ o d
taak	t aː k
taim	t a ɪ m
tallawah	t a l a w a
tambrin	t a m b ɹ ɪ n
tambrin	t a m b ɹ a n
tambrin	t a m b ɹ ɪ ŋ
tandad	t a n d a d
tek	t e k
tiich	t iː t͡ʃ
tiicha	t iː t͡ʃ a
tiif	t iː f
tiit	t iː t
tingk	t ɪ ŋ k
tingz	t i ŋ z
tu	t u
tugeda	t u ɡ e d a
uman	u m a n
unnu	ʊ n ʊ
unuself	u n u s e l f
uoli	o u l i
uu	uː
uufa	uː f a
wa	w a
waahn	w ãː
wagonist	w a ɡ a n ɪ s
wai	w a i
wan	w ã n
wan	w ã
weda	w e d a
weehn	w ɜ̃ː n
weehn	w ɜ̃ː
welkom	w e l k a m
wen	w e n
wi	w iː
wikid	w ɪ k i d
wikidnis	w i k i d n i s
wip	w i p
wiself	w i s e l f
woklis	w o k l ɪ s
worl	w o r l
worship	w o r ʃ i p
ya	j a
yaad	j aː d
yai	j a i
yanga	j a ŋ ɡ a
yard	j ɑː d
yard	j ɔː d
Yard	j ɑː d
Yard	j ɔː d
yardie	j ɑː d ɪ
yardie	j ɔː d ɪ
yaso	j a s o
yuh	j ʌ
yuh	j ʊ
yuself	j u s e l f
yuuz	j uː z
