က	k a̰
ကတွတ်	ɡ ə d ʊ ʔ
ကတွတ်ယို	k ə d ʊ ʔ j ò
ကထာန	m ə h à k ə tʰ à n a̰
ကထိက	k ə tʰ ḭ k a̰
ကထိန်	k ə tʰ è ɪ ɴ
ကဒတ်	ɡ ə d a ʔ
ကဒ်	k à d
ကနခို	k ə n ə kʰ ò
ကနစိုး	k ə n ə z ó
ကနား	k ə n á
ကနုကမာ	k ə n ṵ k ə m à
ကနုတ်	k ə n o ʊ ʔ
ကနေဒါ	k a̰ n è d à
ကန့်	k a̰ ɴ
ကန့်လန့်	k a̰ ɴ l a̰ ɴ
ကန့်လန့်ကာ	k ə l ə ɡ à
ကန္တာရ	k à ɴ t à j a̰
ကန်	k à ɴ
ကန်စွန်း	ɡ ə z ʊ́ ɴ
ကန်စွန်းဥ	ɡ ə z ʊ́ ɴ ʔ ṵ
ကန်တော့	ɡ ə d ɔ̰
ကန်ထရိုက်	k à ɴ tʰ ə ɹ a ɪ ʔ
ကပိလဝတ်	k ə p ḭ l a̰ w ʊ ʔ
ကပ္ပလီ	k a ʔ p ə l ì
ကပ္ပလီပင်လယ်	k a ʔ p ə l ì p ɪ̀ ɴ l ɛ̀
ကပ်	k a ʔ
ကပ်ကြီးသုံးပါး	k a ʔ d͡ʑ í θ ó ʊ ɴ b á
ကပ်နာ	k a ʔ n à
ကပ်ပယ်	k a ʔ p ɛ̀
ကပ်ပါး	k a ʔ p á
ကပ်ရောဂါ	k a ʔ j ɔ́ ɡ à
ကပွဲရုံ	k a̰ b w ɛ́ j ò ʊ ɴ
ကဖီး	k ə pʰ í
ကဗျာ	ɡ ə b j à
ကဘတ်	ɡ ə b a ʔ
ကဘီလူး	k a̰ b ə l ú
ကဘူးလ်	k a̰ b ú
ကမန်	k a̰ m à ɴ
ကမာ	k ə m à
ကမာရွတ်	k ə m à j ʊ ʔ
ကမ္ဗလာ	ɡ ə b ə l à
ကမ္ဗောဇ	k à ɴ b ɔ́ z a̰
ကမ္ဘာ	ɡ ə b à
ကမ္ဘာဂြိုဟ်	ɡ ə b à d͡ʑ ò
ကမ္ဘာစစ်	ɡ ə b à s ɪ ʔ
ကမ္ဘာဖလား	ɡ ə b à pʰ ə l á
ကမ္ဘာလုံး	ɡ ə b à l ó ʊ ɴ
ကမ္ဘာလုံးခြမ်း	ɡ ə b à l ó ʊ ɴ d͡ʑ à ɴ
ကမ္ဘာ့ဖလား	ɡ ə b a̰ pʰ ə l á
ကမ္ဘောဒီးယား	k à ɴ b ɔ́ d í j á
ကမ္မဝါ	k à ɴ m a̰ w à
ကမ္မဝါစာ	k à ɴ m a̰ w à s à
ကမ်စော်	k à ɴ z ɔ̀
ကမ်း	k á ɴ
ကမ်းခြေ	k á ɴ d͡ʑ è
ကယား	k ə j á
ကယ်	k ɛ̀
ကယ်တင်ရှင်	k ɛ̀ t ɪ̀ ɴ ʃ ɪ̀ ɴ
ကယ်လဆီယမ်	k ɛ̀ l ə sʰ ì j à ɴ
ကရကဋ်	k ə ɹ a̰ k à t
ကရက်	k a̰ ɹ ɛ ʔ
ကရင်	k ə j ɪ̀ ɴ
ကရင်နီ	k ə j ɪ̀ ɴ n ì
ကရစ်ကက်	k ə ɹ ɪ ʔ k ɛ ʔ
ကရဝိက်	k ə ɹ a̰ w e ɪ ʔ
ကရဝေးရွက်	k ə ɹ ə w é j w ɛ ʔ
ကရိန်း	k ə ɹ é ɪ ɴ
ကရုဏာ	ɡ ə j ṵ n à
ကလပ်	k ə l a ʔ
ကလမောင်း	k ə l ə m á ʊ ɴ
ကလာပ်စည်း	k ə l a ʔ s í
ကလိုရင်း	k ə l ò ɹ ɪ́ ɴ
ကလီစာ	k ə l ì z à
ကလောင်	k ə l à ʊ ɴ
ကလေး	kʰ ə l é
ကလေးဖျက်	k ə l é pʰ j ɛ ʔ
ကလျာ	k ə l ə j à
ကလျာဏမိတ္တ	k ə l ə j à n a̰ m e ɪ ʔ t a̰
ကလျာဏီ	k ə l ə j à n ì
ကဝိ	k ə w ḭ
ကဝေ	k ə w è
ကသည်း	k ə θ í
ကာ	k à
ကာကွယ်	k à ɡ w ɛ̀
ကာကွယ်ဆေး	k à ɡ w ɛ̀ z é
ကာကွယ်ရေး	k à ɡ w ɛ̀ j é
ကာဂစ်စတန်	k ə ɡ ɪ ʔ s ə t à ɴ
ကာဂျစ္စတန်	k ə d͡ʑ ɪ ʔ s ə t à ɴ
ကာဇက်စတန်	k à z ɛ ʔ s ə t à ɴ
ကာတာ	k à t à
ကာတွန်း	k à t ʊ́ ɴ
ကာဗွန်	k à b ʊ̀ ɴ
ကာမ	k à m a̰
ကာမသုတ်	k à m a̰ θ o ʊ ʔ
ကာယ	k ə j a̰
ကာယကံ	k à j ə ɡ à ɴ
ကာယပညာ	k à j a̰ p j ɪ̀ ɴ ɲ à
ကာရန်	k ə j à ɴ
ကာရာအိုကေ	k à ɹ à ʔ ò k è
ကာလ	k à l a̰
ကာလဝမ်း	k à l ə w ʊ́ ɴ
ကာလသား	k à l ə ð á
ကာလသားရောဂါ	k à l a̰ θ á j ɔ́ ɡ à
ကာလာမသုတ်	k à l à m a̰ θ o ʊ ʔ
ကာလီဖိုးနီးယား	k à l ì pʰ ó n í j á
ကား	k á
ကားဂိတ်	k á ɡ e ɪ ʔ
ကားမှတ်တိုင်	k á m̥ a ʔ t à ɪ ɴ
ကားရုံ	k á j ò ʊ ɴ
ကိစ္စ	k e ɪ ʔ s a̰
ကိတ်	k e ɪ ʔ
ကိတ်ဗာဒီ	k e ɪ ʔ b ə d ì
ကိတ်မုန့်	k e ɪ ʔ m o̰ ʊ ɴ
ကိန္နရာ	k è ɪ ɴ n ə j à
ကိန္နရီ	k è ɪ ɴ n ə j ì
ကိန်း	k é ɪ ɴ
ကိန်းရှင်	k é ɪ ɴ ʃ ɪ̀ ɴ
ကိမိလဗေဒ	k ḭ m ḭ l a̰ b è d a̰
ကိရိယာ	k ə ɹ ḭ j à
ကိလေသာ	k ḭ l è θ à
ကို	k ò
ကို	ɡ ò
ကို	ɴ
ကို	ʔ
ကိုကာကိုလာ	k ò k à k ò l à
ကိုကို	k ò k ò
ကိုက်	k a ɪ ʔ
ကိုက်လန်	k a ɪ ʔ l à ɴ
ကိုင်	k à ɪ ɴ
ကိုင်ရို	k à ɪ ɴ j ò
ကိုဆိုဗို	k ò sʰ ò b ò
ကိုပင်ဟေဂင်	k ò p ɪ̀ ɴ h è ɡ ɪ̀ ɴ
ကိုဘော့	k ò b ɔ̰
ကိုမိုရို	k ò m ò ɹ ò
ကိုယ့်ဥမှဥထင်	k o̰ j ʔ ṵ m̥ a̰ ʔ ṵ tʰ ɪ̀ ɴ
ကိုယ်	k ò
ကိုယ်စားလှယ်	k ò j z ə l̥ ɛ̀
ကိုယ်စားလှယ်အဖွဲ့	k ò j z ə l̥ ɛ̀ ʔ ə pʰ w ɛ̰
ကိုယ်လုပ်တော်	k ò l o ʊ ʔ t ɔ̀
ကိုယ်ဝန်	k ò j w ʊ̀ ɴ
ကိုယ်ဝန်ဆောင်	k ò j w ʊ̀ ɴ sʰ à ʊ ɴ
ကိုယ်ဝန်ပျက်	k ò w ʊ̀ ɴ p j ɛ ʔ
ကိုယ်ဝန်ဖျက်	k ò w ʊ̀ ɴ pʰ j ɛ ʔ
ကိုယ်ဝန်ရှိ	k ò j w ʊ̀ ɴ ʃ ḭ
ကိုရင်	k ò j ɪ̀ ɴ
ကိုရမ်ကျမ်း	k ò ɹ à ɴ t͡ɕ á ɴ
ကိုရိုနာဗိုင်းရပ်စ်	k ò ɹ ò n à b á ɪ ɴ ɹ a ʔ s
ကိုရီးယား	k ò ɹ í j á
ကိုလိုနီ	k ò l ò n ì
ကိုလိုနီဝါဒ	k ò l ò n ì w à d a̰
ကိုလံဘို	k ò l à ɴ b ò
ကိုလံဘီယာ	k ò l à ɴ b ì j à
ကိုး	k ó
ကိုးကန့်	k ó ɡ a̰ ɴ
ကိုးလ	k ó l a̰
ကီလိုဂရမ်	k ì l ò ɡ ə ɹ à ɴ
ကီလိုမီတာ	k ì l ò m ì t à
ကီးမား	k í m á
ကီးမားပလာတာ	k í m á p ə l à t à
ကီးယက်	k í j ɛ ʔ
ကုဋေ	ɡ ə d è
ကုတ်	k o ʊ ʔ
ကုတ်ဟီးနာ	k o ʊ ʔ h í n à
ကုန်	k ò ʊ ɴ
ကုန်ကား	k ò ʊ ɴ ɡ á
ကုန်ကုန်	k ò ʊ ɴ ɡ ò ʊ ɴ
ကုန်စည်	k ò ʊ ɴ z ì
ကုန်တင်ကား	k ò ʊ ɴ d ɪ̀ ɴ ɡ á
ကုန်ထုတ်သမဝါယမ	k ò ʊ ɴ tʰ o ʊ ʔ θ ə m a̰ w à j ə m a̰
ကုန်ပစ္စည်း	k ò ʊ ɴ p ɪ ʔ s í
ကုန်ပဒေသာဆိုင်	k ò ʊ ɴ b ə d è θ à sʰ à ɪ ɴ
ကုန်ပို့လွှာ	k ò ʊ ɴ p o̰ l̥ w à
ကုန်သည်	k ò ʊ ɴ ð è
ကုန်သည်ကြီး	k ò ʊ ɴ ð è d͡ʑ í
ကုန်သွယ်ရေး	k ò ʊ ɴ θ w ɛ̀ j é
ကုန်သွယ်ရေးသမဂ္ဂ	k ò ʊ ɴ θ w ɛ̀ j é ð a̰ m ɛ ʔ ɡ a̰
ကုန်း	k ó ʊ ɴ
ကုန်းနှီး	k ó ʊ ɴ n̥ í
ကုန်းဘောင်	k ó ʊ ɴ b à ʊ ɴ
ကုန်းဘောင်ကြီး	k ó ʊ ɴ b à ʊ ɴ d͡ʑ í
ကုဗ	k ṵ b a̰
ကုဗ္ဘီး	k o ʊ ʔ b í
ကုဗ္ဘီးတိုင်	k o ʊ ʔ b í d à ɪ ɴ
ကုမုဒ	k ṵ m o ʊ ʔ d a̰
ကုမ္ပဏီ	k ò ʊ ɴ p ə n ì
ကုလသမဂ္ဂ	k ṵ l a̰ θ a̰ m ɛ ʔ ɡ a̰
ကုလား	k ə l á
ကုလားတန်	k ə l ə t à ɴ
ကုလားထိုင်	k ə l ə tʰ à ɪ ɴ
ကုလားနို့	k ə l ə n o̰
ကုလားပဲ	k ə l ə p ɛ́
ကုလားဖြူ	k ə l ə pʰ j ù
ကုလားအုတ်	k ə l ə ʔ o ʊ ʔ
ကုလားအော်	k ə l ə ʔ ɔ̀
ကုသိုလ်	k ṵ θ ò
ကုသိုလ်ကံ	k ṵ ð ò ɡ à ɴ
ကုသိုလ်ရှင်	k ṵ θ ò ʃ ɪ̀ ɴ
ကုံ	k ò ʊ ɴ
ကုံကုမံ	ɡ ò ʊ ɴ ɡ ə m à ɴ
ကူ	k ù
ကူညီ	k ù ɲ ì
ကူဖီ	k ù pʰ ì
ကူရှင်	k ù ʃ ɪ̀ ɴ
ကူလီ	k ù l ì
ကူဝိတ်	k ù w e ɪ ʔ
ကူး	k ú
ကူးစက်ရောဂါ	k ú z ɛ ʔ j ɔ́ ɡ à
ကူးတို့	ɡ ə d o̰
ကူးတို့ဆိပ်	ɡ ə d o̰ z e ɪ ʔ
ကူးပြောင်း	k ú p j á ʊ ɴ
ကူးပြောင်းဆဲကာလ	k ú p j á ʊ ɴ sʰ ɛ́ k à l a̰
ကူးလောင်း	k ú l á ʊ ɴ
ကေ	k è
ကေတုမဒီ	k è t ṵ m ə d ì
ကေသ	k è θ a̰
ကေသာ	k è θ à
ကော	k ɔ́
ကော	ɡ ɔ́
ကောက်	k a ʊ ʔ
ကောက်ညှင်း	k a ʊ ʔ ɲ̊ ɪ́ ɴ
ကောက်ညှင်းပေါင်း	k a ʊ ʔ ɲ̊ ɪ́ ɴ b á ʊ ɴ
ကောက်ညှင်းမှုန့်	k a ʊ ʔ ɲ̊ ɪ́ ɴ m̥ o̰ ʊ ɴ
ကောက်ရိုး	k a ʊ ʔ j ó
ကောင်	k à ʊ ɴ
ကောင်ငယ်	k à ʊ ɴ ŋ ɛ̀
ကောင်စစ်ဝန်	k à ʊ ɴ s ɪ ʔ w ʊ̀ ɴ
ကောင်စစ်ဝန်ရုံး	k à ʊ ɴ s ɪ ʔ w ʊ̀ ɴ j ó ʊ ɴ
ကောင်စီ	k à ʊ ɴ s ì
ကောင်တာ	k à ʊ ɴ t à
ကောင်မ	k à ʊ ɴ m a̰
ကောင်မငယ်	k à ʊ ɴ m a̰ ŋ ɛ̀
ကောင်မလေး	k à ʊ ɴ m a̰ l é
ကောင်း	k á ʊ ɴ
ကောင်းကင်	k á ʊ ɴ ɡ ɪ̀ ɴ
ကောင်းကင်ကြိုး	k á ʊ ɴ ɡ ɪ̀ ɴ d͡ʑ ó
ကောင်းကင်တမန်	k á ʊ ɴ ɡ ɪ̀ ɴ t ə m à ɴ
ကောင်းကင်ဘုံ	k á ʊ ɴ ɡ ɪ̀ ɴ b ò ʊ ɴ
ကောင်းကောင်း	k á ʊ ɴ ɡ á ʊ ɴ
ကောင်းမှု	k á ʊ ɴ m̥ ṵ
ကောင်းရာသုဂတိ	k á ʊ ɴ j à θ ṵ ɡ ə d ḭ
ကောဋိ	k ɔ́ t ḭ
ကောဋိပကောဋိ	k ɔ́ d ḭ p a̰ k ɔ́ d ḭ
ကောဏဂုံ	k ɔ́ n ə ɡ ò ʊ ɴ
ကောဏဂုံဘုရား	k ɔ́ n ə ɡ ò ʊ ɴ pʰ ə j á
ကောဏ္ဍည	k ɔ̀ n d ə ɲ a̰
ကောဏ္ဍညဘုရား	k ɔ̀ n d ə ɲ a̰ pʰ ə j á
ကောလာဟလ	k ɔ́ l à h a̰ l a̰
ကောလိပ်	k ɔ́ l e ɪ ʔ
ကောလိသိန်	k ɔ́ l ḭ θ è ɪ ɴ
ကောသလ	k ɔ́ θ ə l a̰
ကော့စတာရီကာ	k ɔ̰ s ə t à ɹ ì k à
ကော်	k ɔ̀
ကော်ဇော	k ɔ̀ z ɔ́
ကော်တွန်	k ɔ̀ t ʊ̀ ɴ
ကော်ပီ	k ɔ̀ p ì
ကော်ပီစာအုပ်	k ɔ̀ p ì s à ʔ o ʊ ʔ
ကော်ပီသီချင်း	k ɔ̀ p ì θ ə t͡ɕʰ ɪ́ ɴ
ကော်ပြန့်	k ɔ̀ p j a̰ ɴ
ကော်ပြန့်ကြော်	k ɔ̀ p j a̰ ɴ d͡ʑ ɔ̀
ကော်ပြန့်စိမ်း	k ɔ̀ p j a̰ ɴ z é ɪ ɴ
ကော်ဖီ	k ɔ̀ pʰ ì
ကော်မတီ	k ɔ̀ m ə t ì
ကော်ရည်ခေါက်ဆွဲ	k ɔ̀ j ì kʰ a ʊ ʔ sʰ w ɛ́
ကော်လာ	k ɔ̀ l à
ကဲကုလ	k ɛ́ k ṵ l a̰
ကဲ့	k ɛ̰
ကံ	k à ɴ
ကံကုန်	k à ɴ k ò ʊ ɴ
ကံကြမ္မာ	k à ɴ t͡ɕ ə m à
ကံတော်ကုန်	k à ɴ t ɔ̀ k ò ʊ ɴ
ကံသုံးပါး	k à ɴ θ ó ʊ ɴ b á
ကံ့ကူတံ	k a̰ ɴ ɡ ù d à ɴ
ကံ့ကော်	ɡ a̰ ɴ ɡ ɔ̀
ကျ	t͡ɕ a̰
ကျက်	t͡ɕ ɛ ʔ
ကျက်သရေ	t͡ɕ ɛ ʔ θ ə j è
ကျင်	t͡ɕ ɪ̀ ɴ
ကျင်ကြီး	t͡ɕ ɪ̀ ɴ d͡ʑ í
ကျင်ချောင်း	t͡ɕ ɪ̀ ɴ t͡ɕʰ á ʊ ɴ
ကျင်စွယ်	t͡ɕ ɪ̀ ɴ z w ɛ̀
ကျင်း	t͡ɕ ɪ́ ɴ
ကျဉ်း	t͡ɕ ɪ́ ɴ
ကျဉ်းကျပ်	t͡ɕ ɪ́ ɴ t͡ɕ a ʔ
ကျည်	t͡ɕ ì
ကျည်ကပ်	t͡ɕ ì ɡ a ʔ
ကျည်ဖူး	t͡ɕ ì b ú
ကျနော်	t͡ɕ ə n ɔ̀
ကျန်	t͡ɕ à ɴ
ကျန်း	t͡ɕ á ɴ
ကျန်းမာ	t͡ɕ á ɴ m à
ကျန်းမာရေး	t͡ɕ á ɴ m à j é
ကျန်းမာရေးပညာ	t͡ɕ á ɴ m à j é p a̰ ɲ à
ကျပ်	t͡ɕ a ʔ
ကျပ်သား	t͡ɕ a ʔ θ á
ကျမ	t͡ɕ ə m a̰
ကျယ်	t͡ɕ ɛ̀
ကျယ်ဝန်း	t͡ɕ ɛ̀ w ʊ́ ɴ
ကျာပွတ်	t͡ɕ à b ʊ ʔ
ကျား	t͡ɕ á
ကျားကျားလျားလျား	t͡ɕ á d͡ʑ á j á j á
ကျားကျုတ်	t͡ɕ á d͡ʑ o ʊ ʔ
ကျားထိုးခြင်း	t͡ɕ á tʰ ó d͡ʑ ɪ́ ɴ
ကျားမ	t͡ɕ á m a̰
ကျားမျက်လုံး	t͡ɕ á m j ɛ ʔ l ó ʊ ɴ
ကျားလက်သည်း	t͡ɕ á l ɛ ʔ θ ɛ́
ကျားလျှာ	t͡ɕ á ʃ à
ကျားသစ်	t͡ɕ ə θ ɪ ʔ
ကျိန္တလီ	t͡ɕ è ɪ ɴ t a̰ l ì
ကျိန်း	t͡ɕ é ɪ ɴ
ကျိပ်	t͡ɕ e ɪ ʔ
ကျို	t͡ɕ ò
ကျိုက္ခမီ	t͡ɕ a ɪ ʔ kʰ ə m ì
ကျိုက်ထို	t͡ɕ a ɪ ʔ tʰ ò
ကျိုက်ထီးရိုး	t͡ɕ a ɪ ʔ tʰ í j ó
ကျိုက်မရော	t͡ɕ a ɪ ʔ m ə ɹ ɔ́
ကျိုင်းတုံ	t͡ɕ á ɪ ɴ t ò ʊ ɴ
ကျိုး	t͡ɕ ó
ကျီ	t͡ɕ ì
ကျီး	t͡ɕ í
ကျီးကန်း	t͡ɕ í ɡ á ɴ
ကျီးတာရာ	t͡ɕ í t à j à
ကျီးနိုးချိန်	t͡ɕ í n ó d͡ʑ è ɪ ɴ
ကျီးအ	t͡ɕ í ʔ a̰
ကျုပ်	t͡ɕ o ʊ ʔ
ကျုပ်တို့	t͡ɕ o ʊ ʔ t o̰
ကျူးကျော်	t͡ɕ ú t͡ɕ ɔ̀
ကျူးဘား	t͡ɕ ú b á
ကျေနပ်	t͡ɕ è n a ʔ
ကျော	t͡ɕ ɔ́
ကျောက်	t͡ɕ a ʊ ʔ
ကျောက်ကပ်	t͡ɕ a ʊ ʔ k a ʔ
ကျောက်ကျော	t͡ɕ a ʊ ʔ t͡ɕ ɔ́
ကျောက်ကြီး	t͡ɕ a ʊ ʔ t͡ɕ í
ကျောက်ခေတ်	t͡ɕ a ʊ ʔ kʰ ɪ ʔ
ကျောက်ဂွမ်း	t͡ɕ a ʊ ʔ ɡ ʊ́ ɴ
ကျောက်စာတိုင်	t͡ɕ a ʊ ʔ s à d à ɪ ɴ
ကျောက်စိမ်း	t͡ɕ a ʊ ʔ s é ɪ ɴ
ကျောက်တူလုံး	t͡ɕ a ʊ ʔ t ù l ó ʊ ɴ
ကျောက်နီ	t͡ɕ a ʊ ʔ n ì
ကျောက်ပွင့်သုပ်	t͡ɕ a ʊ ʔ p w ɪ̰ ɴ θ o ʊ ʔ
ကျောက်ဖရုံ	t͡ɕ a ʊ ʔ pʰ ə j ò ʊ ɴ
ကျောက်ဖြူ	t͡ɕ a ʊ ʔ pʰ j ù
ကျောက်မီး	t͡ɕ a ʊ ʔ m í
ကျောက်မီးသွေး	t͡ɕ a ʊ ʔ m í ð w é
ကျောက်သင်ပုန်း	t͡ɕ a ʊ ʔ θ ɪ̀ ɴ b ó ʊ ɴ
ကျောင်း	t͡ɕ á ʊ ɴ
ကျောင်းနေဖက်	t͡ɕ á ʊ ɴ n è b ɛ ʔ
ကျောင်းသား	t͡ɕ á ʊ ɴ ð á
ကျောင်းသုံးစာအုပ်	t͡ɕ á ʊ ɴ ð ó ʊ ɴ s à ʔ o ʊ ʔ
ကျောင်းသူ	t͡ɕ á ʊ ɴ ð ù
ကျောပိုးအိတ်	t͡ɕ ɔ́ b ó ʔ e ɪ ʔ
ကျောရိုး	t͡ɕ ɔ́ j ó
ကျော်	t͡ɕ ɔ̀
ကျော်စွာ	t͡ɕ ɔ̀ z w à
ကျေး	t͡ɕ é
ကျေးဇူး	t͡ɕ é z ú
ကျေးဇူးတင်	t͡ɕ é z ú t ɪ̀ ɴ
ကျေးဇူးတင်ပါတယ်	t͡ɕ é z ú t ɪ̀ ɴ b à d ɛ̀
ကျေးဇူးပြု၍	t͡ɕ é z ú p j ṵ j w ḛ
ကျေးဇူးရှင်	t͡ɕ é z ú ʃ ɪ̀ ɴ
ကျေးတော်မျိုး	t͡ɕ é d ɔ̀ m j ó
ကျဲ	t͡ɕ ɛ́
ကျွတ်	t͡ɕ ʊ ʔ
ကျွန်	t͡ɕ ʊ̀ ɴ
ကျွန်တော့်	t͡ɕ ʊ̀ ɴ d ɔ̰
ကျွန်တော်	t͡ɕ ʊ̀ ɴ d ɔ̀
ကျွန်တော်တို့	t͡ɕ ʊ̀ ɴ d ɔ̀ d o̰
ကျွန်တော်မျိုး	t͡ɕ ʊ̀ ɴ d ɔ̀ m j ó
ကျွန်မ	t͡ɕ ʊ̀ ɴ m a̰
ကျွန်မတို့	t͡ɕ ʊ̀ ɴ m a̰ d o̰
ကျွန်ုပ်	t͡ɕ ə n o ʊ ʔ
ကျွန်း	t͡ɕ ʊ́ ɴ
ကျွန်းကလေး	t͡ɕ ʊ́ ɴ ɡ ə l é
ကျွန်းကိုင်းမှီကိုင်းကျွန်းမှီ	t͡ɕ ʊ́ ɴ k á ɪ ɴ m̥ ì k á ɪ ɴ t͡ɕ ʊ́ ɴ m̥ ì
ကျွန်းစု	t͡ɕ ʊ́ ɴ z ṵ
ကျွန်းဆွယ်	t͡ɕ ʊ́ ɴ z w ɛ̀
ကျွမ်း	t͡ɕ w á ɴ
ကျွမ်းကျင်သူ	t͡ɕ w á ɴ t͡ɕ ɪ̀ ɴ ð ù
ကျွဲ	t͡ɕ w ɛ́
ကျွဲကော	t͡ɕ w ɛ́ ɡ ɔ́
ကျွဲပြည့်စင်	t͡ɕ w ɛ́ p j ḭ z ɪ̀ ɴ
ကြက်	t͡ɕ ɛ ʔ
ကြက်ခြေ	t͡ɕ ɛ ʔ t͡ɕʰ è
ကြက်ခြေထောက်	t͡ɕ ɛ ʔ t͡ɕʰ è d a ʊ ʔ
ကြက်ခြေနီ	t͡ɕ ɛ ʔ t͡ɕʰ è n ì
ကြက်ခြေနီအသင်း	t͡ɕ ɛ ʔ t͡ɕʰ è n ì ʔ ə θ ɪ́ ɴ
ကြက်ဆင်	t͡ɕ ɛ ʔ sʰ ɪ̀ ɴ
ကြက်ဆီထမင်း	t͡ɕ ɛ ʔ sʰ ì tʰ ə m ɪ́ ɴ
ကြက်ဆူ	t͡ɕ ɛ ʔ sʰ ù
ကြက်တူရွေး	t͡ɕ ɛ ʔ t ù j w é
ကြက်တော	t͡ɕ ɛ ʔ t ɔ́
ကြက်ဖ	t͡ɕ ɛ ʔ pʰ a̰
ကြက်မ	t͡ɕ ɛ ʔ m a̰
ကြက်မောက်	t͡ɕ ɛ ʔ m a ʊ ʔ
ကြက်မောက်သီး	t͡ɕ ɛ ʔ m a ʊ ʔ θ í
ကြက်သား	t͡ɕ ɛ ʔ θ á
ကြက်သီးထ	t͡ɕ ɛ ʔ θ é ɪ ɴ tʰ a̰
ကြက်သီးမွေးညင်းထ	t͡ɕ ɛ ʔ θ é ɪ ɴ m w é ɲ ɪ́ ɴ tʰ a̰
ကြက်သွန်	t͡ɕ ɛ ʔ θ ʊ̀ ɴ
ကြက်သွန်နီ	t͡ɕ ɛ ʔ θ ʊ̀ ɴ n ì
ကြက်သွန်ဖြူ	t͡ɕ ɛ ʔ θ ʊ̀ ɴ b j ù
ကြက်သွန်မြိတ်	t͡ɕ ɛ ʔ θ ʊ̀ ɴ m j e ɪ ʔ
ကြက်ဟင်းခါးသီး	t͡ɕ ɛ ʔ h ɪ́ ɴ ɡ á ð í
ကြက်အူချောင်း	t͡ɕ ɛ ʔ ʔ ù d͡ʑ á ʊ ɴ
ကြက်ဦးတွန်	t͡ɕ ɛ ʔ ʔ ú t ʊ̀ ɴ
ကြခတ်ဝါး	t͡ɕ ə kʰ a ʔ w á
ကြငှန်း	t͡ɕ ə ŋ̊ á ɴ
ကြငှန်းတိုင်	t͡ɕ ə ŋ̊ á ɴ d à ɪ ɴ
