aba	a b a
administratoare	a d m i n i s t r a t o̯ a r e
administrator	a d m i n i s t r a t o r
administrație	a d m i n i s t r a t͡s i e
administrații	a d m i n i s t r a t͡s iː
admira	a d m i r a
admirație	a d m i r a t͡s i e
admisibil	a d m i s i b i l
adnota	a d n o t a
adopta	a d o p t a
adora	a d o r a
adorabil	a d o r a b i l
adorație	a d o r a t͡s i e
adormit	a d o r m i t
aducătoare	a d u k ə t o̯ a r e
adulmeca	a d u l m e k a
adult	a d u l t
adulte	a d u l t e
aduna	a d u n a
adunător	a d u n ə t o r
adverbial	a d v e r b i a l
adânc	a d ɨ ŋ k
adânci	a d ɨ n t͡ʃ i
adânci	a d ɨ n t͡ʃʲ
adăpa	a d ə p a
adăpostit	a d ə p o s t i t
adăsta	a d ə s t a
adăuga	a d ə u ɡ a
aera	a e r a
afemeiat	a f e m e j a t
aferim	a f e r i m
afișa	a f i ʃ a
afla	a f l a
africa	a f r i k a
afront	a f r o n t
afuma	a f u m a
afund	a f u n d
afunda	a f u n d a
afurisit	a f u r i s i t
afâna	a f ɨ n a
agente	a d͡ʒ e n t e
ager	a d͡ʒ e r
agita	a d͡ʒ i t a
aglomerat	a ɡ l o m e r a t
aglomerație	a ɡ l o m e r a t͡s i e
agrafă	a ɡ r a f ə
agresiv	a ɡ r e s i v
agricol	a ɡ r i k o l
agricultor	a ɡ r i k u l t o r
agrimensor	a ɡ r i m e n s o r
agrișă	a ɡ r i ʃ ə
agronom	a ɡ r o n o m
agronoma	a ɡ r o n o m a
agronomă	a ɡ r o n o m ə
agura	a ɡ u r a
agust	a ɡ u s t
agăța	a ɡ ə t͡s a
agățat	a ɡ ə t͡s a t
ai	a j
aia	a j a
aicea	a i t͡ʃ e̯ a
aidoma	a i d o m a
aiepta	a j e p t a
aiest	a j e s t
aievea	a j e v e̯ a
aisberg	a j s b e r ɡ
aiura	a j u r a
aiurea	a j u r e̯ a
aiurit	a j u r i t
ajuna	a ʒ u n a
ajuta	a ʒ u t a
ajutător	a ʒ u t ə t o r
al	a l
alamă	a l a m ə
alarma	a l a r m a
alb	a l b
alba	a l b a
albatros	a l b a t r o s
albe	a l b e
albea	a l b e̯ a
albi	a l b i
albi	a l bʲ
albicios	a l b i t͡ʃʲ o s
albinar	a l b i n a r
albinos	a l b i n o s
albină	a l b i n ə
albinărel	a l b i n ə r e l
albuș	a l b u ʃ
albă	a l b ə
albăstrea	a l b ə s t r e̯ a
albăstrele	a l b ə s t r e l e
albăstri	a l b ə s t r i
albăstriu	a l b ə s t r i w
albăstrui	a l b ə s t r u j
alchimic	a l c i m i k
ale	a l e
alea	a l e̯ a
aleatoriu	a l e a t o r j u
alee	a l e e
alega	a l e ɡ a
alegător	a l e ɡ ə t o r
alei	a l e j
alene	a l e n e
alerga	a l e r ɡ a
alexandru	a l e k s a n d r u
alfabet	a l f a b e t
alfabetiza	a l f a b e t i z a
algebric	a l d͡ʒ e b r i k
algoritm	a l ɡ o r i t m
aliment	a l i m e n t
alina	a l i n a
alinta	a l i n t a
alo	a l o
alogic	a l o d͡ʒ i k
alotropic	a l o t r o p i k
alpaca	a l p a k a
alt	a l t
altceva	a l t t͡ʃ e v a
altcineva	a l t t͡ʃ i n e v a
altcumva	a l t k u m v a
altcândva	a l t k ɨ n d v a
altera	a l t e r a
altoi	a l t o i
altoi	a l t o j
altundeva	a l t u n d e v a
altă	a l t ə
aluminifer	a l u m i n i f e r
aluminiu	a l u m i n j u
alunar	a l u n a r
aluneca	a l u n e k a
alunecos	a l u n e k o s
alunga	a l u n ɡ a
alungi	a l u n d͡ʒ i
alăpta	a l ə p t a
alătura	a l ə t u r a
am	a m
amabil	a m a b i l
amabile	a m a b i l e
amabili	a m a b i lʲ
amaneta	a m a n e t a
amar	a m a r
amarilis	a m a r i l i s
ambala	a m b a l a
ambalaj	a m b a l a ʒ
ambalaje	a m b a l a ʒ e
ambalare	a m b a l a r e
ambalări	a m b a l ə rʲ
ambii	a m b i j
ambiție	a m b i t͡s i e
amenința	a m e n i n t͡s a
amenințător	a m e n i n t͡s ə t o r
american	a m e r i k a n
americancă	a m e r i k a ŋ k ə
americani	a m e r i k a nʲ
amesteca	a m e s t e k a
amestecat	a m e s t e k a t
ametist	a m e t i s t
ameți	a m e t͡s i
amețit	a m e t͡s i t
amețitor	a m e t͡s i t o r
amfibian	a m f i b i a n
amfibian	a m f i b j a n
amfibiu	a m f i b j u
amiază	a m j a z ə
amical	a m i k a l
amicale	a m i k a l e
amiciție	a m i t͡ʃ i t͡s i e
amidon	a m i d o n
amintească	a m i n t e̯ a s k ə
amnar	a m n a r
amuza	a m u z a
amâna	a m ɨ n a
amănunțit	a m ə n u n t͡s i t
amărui	a m ə r u j
amărât	a m ə r ɨ t
amărăcios	a m ə r ə t͡ʃʲ o s
analist	a n a l i s t
analistă	a n a l i s t ə
analog	a n a l o ɡ
analogic	a n a l o d͡ʒ i k
anarhic	a n a r h i k
anatide	a n a t i d e
anatomia	a n a t o m i a
anatomic	a n a t o m i k
anatomist	a n a t o m i s t
andorran	a n d o r a n
andrea	a n d r e̯ a
anecdotic	a n e k d o t i k
anexa	a n e k s a
angheluță	a n ɡ e l u t͡s ə
anghilă	a n ɡ i l ə
anglican	a ŋ ɡ l i k a n
anglofon	a ŋ ɡ l o f o n
anima	a n i m a
animal	a n i m a l
animală	a n i m a l ə
animatoare	a n i m a t o̯ a r e
animator	a n i m a t o r
animație	a n i m a t͡s i e
anormal	a n o r m a l
anotimp	a n o t i m p
anterior	a n t e r i o r
antic	a n t i k
antiguan	a n t i ɡ u a n
antilopă	a n t i l o p ə
antiviral	a n t i v i r a l
antrenare	a n t r e n a r e
antropolog	a n t r o p o l o ɡ
antropologă	a n t r o p o l o ɡ ə
anual	a n u a l
anulare	a n u l a r e
anulat	a n u l a t
anulări	a n u l ə rʲ
anumit	a n u m i t
aparat	a p a r a t
apariție	a p a r i t͡s i e
apartament	a p a r t a m e n t
apatrid	a p a t r i d
apicultoare	a p i k u l t o̯ a r e
apicultor	a p i k u l t o r
aplicație	a p l i k a t͡s i e
apos	a p o s
aprig	a p r i ɡ
aprilie	a p r i l i j e
aprins	a p r i n s
apropo	a p r o p o
apus	a p u s
apărătoare	a p ə r ə t o̯ a r e
apătos	a p ə t o s
ar	a r
ara	a r a
arab	a r a b
arabic	a r a b i k
arabil	a r a b i l
aragonit	a r a ɡ o n i t
arahide	a r a h i d e
arahidă	a r a h i d ə
arahnidă	a r a h n i d ə
aramă	a r a m ə
aratru	a r a t r u
arboricultoare	a r b o r i k u l t o̯ a r e
arboricultor	a r b o r i k u l t o r
arcuș	a r k u ʃ
are	a r e
argentina	ɑ r d ʒ e n t i n a
argilos	a r d͡ʒ i l o s
argintie	a r d͡ʒ i n t i e
argintii	a r d͡ʒ i n t i j
argon	a r ɡ o n
arheolog	a r h e o l o ɡ
arheologă	a r h e o l o ɡ ə
arhicunoscut	a r h i k u n o s k u t
arhitect	a r h i t e k t
arhitectă	a r h i t e k t ə
arhivar	a r h i v a r
arhivist	a r h i v i s t
arinos	a r i n o s
aripă	a r i p ə
aritmetic	a r i t m e t i k
armat	a r m a t
armean	a r m e̯ a n
armeancă	a r m e̯ a ŋ k ə
armeană	a r m e̯ a n ə
armoniza	a r m o n i z a
armurier	a r m u r i e r
arogant	a r o ɡ a n t
arpagic	a r p a d͡ʒ i k
ars	a r s
arsen	a r s e n
artistic	a r t i s t i k
artă	a r t ə
arămiu	a r ə m i w
arător	a r ə t o r
arătos	a r ə t o s
ascunde	a s k u n d e
ascunzătoare	a s k u n z ə t o̯ a r e
ascuțit	a s k u t͡s i t
ascuțitoare	a s k u t͡s i t o̯ a r e
asemenea	a s e m e n e̯ a
asemănare	a s e m ə n a r e
asemănător	a s e m ə n ə t o r
asistat	a s i s t a t
aspirator	a s p i r a t o r
aspirație	a s p i r a t͡s i e
aspru	a s p r u
astea	a s t e̯ a
astrobiolog	a s t r o b i o l o ɡ
astrobiologă	a s t r o b i o l o ɡ ə
astrofizician	a s t r o f i z i t͡ʃ i a n
astrofiziciană	a s t r o f i z i t͡ʃ i a n ə
astronaut	a s t r o n a u t
astronaută	a s t r o n a u t ə
astronom	a s t r o n o m
astronomă	a s t r o n o m ə
astupa	a s t u p a
astăzi	a s t ə zʲ
atacant	a t a k a n t
atare	a t a r e
atent	a t e n t
atinge	a t i n d͡ʒ e
atlantic	a t l a n t i k
atom	a t o m
atotputernic	a t o t p u t e r n i k
atotvăzător	a t o t v ə z ə t o r
atotștiutor	a t o t ʃ t i u t o r
atrage	a t r a d͡ʒ e
atrăgător	a t r ə ɡ ə t o r
atrăsei	a t r ə s e j
atât	a t ɨ t
atâta	a t ɨ t a
au	a w
audiovizual	a u d i o v i z u a l
august	a w ɡ u s t
aur	a w r
auriu	a u r i w
australian	a u s t r a l i a n
autohton	a u t o h t o n
automat	a u t o m a t
automate	a u t o m a t e
automată	a u t o m a t ə
aușel	a u ʃ e l
avantajos	a v a n t a ʒ o s
avaria	a v a r i a
avea	a v e̯ a
aventura	a v e n t u r a
aviatoare	a v i a t o̯ a r e
aviator	a v i a t o r
avion	a v j o n
aviva	a v i v a
avocat	a v o k a t
avocată	a v o k a t ə
avut	a v u t
avânta	a v ɨ n t a
azi	a zʲ
azot	a z o t
azotos	a z o t o s
azur	a z u r
aș	a ʃ
așeză	a ʃ e z ə
b	b
baban	b a b a n
babau	b a b a w
babaua	b a b a w a
bacă	b a k ə
balcon	b a l k o n
balenă	b a l e n ə
balerină	b a l e r i n ə
baletistă	b a l e t i s t ə
ban	b a n
bancnotă	b a n k n o t ə
bani	b a nʲ
bara	b a r a
barabulă	b a r a b u l ə
barman	b a r m a n
barmaniță	b a r m a n i t͡s ə
barză	b a r z ə
bască	b a s k ə
bate	b a t e
batist	b a t i s t
batoane	b a t o̯ a n e
baton	b a t o n
bebe	b e b e
beep	b i p
bej	b e ʒ
bengal	b e ŋ ɡ a l
benzinărie	b e n z i n ə r i e
bere	b e r e
beriliu	b e r i l j u
berlin	b ɛ r l i n̪
bete	b e t e
beteag	b e t e̯ a ɡ
beteji	b e t e ʒ i
bezmetic	b e z m e t i k
bețivan	b e t͡s i v a n
bianual	b i a n u a l
biban	b i b a n
bibilică	b i b i l i k ə
bibliotecar	b i b l i o t e k a r
bideu	b i d e w
bidon	b i d o n
biet	b j e t
biete	b j e t e
bilet	b i l e t
binar	b i n a r
bine	b i n e
binefacere	b i n e f a t͡ʃ e r e
binefăcător	b i n e f ə k ə t o r
biochimic	b i o c i m i k
biochimist	b i o k i m i s t
biochimistă	b i o k i m i s t ə
biolog	b i o l o ɡ
biologic	b i o l o d͡ʒ i k
biologă	b i o l o ɡ ə
birman	b i r m a n
birou	b i r o w
bisericesc	b i s e r i t͡ʃ e s k
bisericos	b i s e r i k o s
bisericuță	b i s e r i k u t͡s ə
bisexual	b i s e k s u a l
bismut	b i s m u t
bituminos	b i t u m i n o s
bivalent	b i v a l e n t
bizon	b i z o n
blajin	b l a ʒ i n
blajinătate	b l a ʒ i n ə t a t e
blasfemie	b l a s f e m i e
bleg	b l e ɡ
blestemat	b l e s t e m a t
bleu	b l ø
blogger	b l o ɡ ə r
blond	b l o n d
blând	b l ɨ n d
blănar	b l ə n a r
blănăreasă	b l ə n ə r e̯ a s ə
boace	b o̯ a t͡ʃ e
boala	b o̯ a l a
boem	b o e m
boi	b o j
boieri	b o j e rʲ
boldești	b o l d e ʃ tʲ
bolivian	b o l i v i a n
bolnav	b o l n a v
bomba	b o m b a
bombardament	b o m b a r d a m e n t
bomboană	b o m b o̯ a n ə
bombă	b o m b ə
bomfaier	b o m f a j e r
bont	b o n t
bor	b o r
borcan	b o r k a n
borțoasă	b o r t͡s o̯ a s ə
borțos	b o r t͡s o s
boschet	b o s k e t
bosumfla	b o s u m f l a
bosumflat	b o s u m f l a t
botanic	b o t a n i k
botanică	b o t a n i k ə
botanist	b o t a n i s t
botanistă	b o t a n i s t ə
botezat	b o t e z a t
botgros	b o t ɡ r o s
botroș	b o t r o ʃ
bou	b o w
bovin	b o v i n
boxer	b o k s e r
boșorog	b o ʃ o r o ɡ
brancardier	b r a ŋ k a r d i e r
brav	b r a v
braț	b r a t s
bre	b r e
breban	b r e b a n
breton	b r e t o n
brie	b r i
brigadier	b r i ɡ a d i e r
britanic	b r i t a n i k
britanici	b r i t a n i t͡ʃʲ
brom	b r o m
bronz	b r o n z
brumar	b r u m a r
brumărel	b r u m ə r e l
brumăriu	b r u m ə r i w
brun	b r u n
bruna	b r u n a
brune	b r u n e
bruni	b r u nʲ
brusc	b r u s k
brutal	b r u t a l
brânză	b r ɨ n z ə
brădioară	b r ə d i o̯ a r ə
bucureștean	b u k u r e ʃ t e̯ a n
bucureșteni	b u k u r e ʃ t e nʲ
bucurești	b u k u r e ʃ tʲ
bucuros	b u k u r o s
bucătărie	b u k ə t ə r i j e
buda	b u d a
budism	b u d i s m
bufal	b u f a l
bufniță	b u f n i t͡s ə
bufnă	b u f n ə
bufon	b u f o n
buged	b u d͡ʒ e d
buiestru	b u j e s t r u
bujor	b u ʒ o r
bulangiu	b u l a n d ʒ i w
bulevard	b u l e v a r d
bulgare	b u l ɡ a r e
bulgaria	b u l ɡ a r j a
bulgaru	b u l ɡ a r u
bun	b u n
bunget	b u n d͡ʒ e t
buni	b u nʲ
bunicel	b u n i t͡ʃ e l
bunicuț	b u n i k u t͡s
bunicuță	b u n i k u t͡s ə
bunică	b u n i k ə
bunuri	b u n u rʲ
bunăvoință	b u n ə v o i n t͡s ə
bura	b u r a
burghiu	b u r ɡ i w
burlac	b u r l a k
burtos	b u r t o s
bură	b u r ə
buzoianu	b u z o j a n u
buză	b u z ə
bâtlan	b ɨ t l a n
bă	b ə
bădăran	b ə d ə r a n
băgăreț	b ə ɡ ə r e t͡s
băi	b ə j
băl	b ə l
bălai	b ə l a j
bălan	b ə l a n
bălțat	b ə l t͡s a t
bărbat	b ə r b a t
bărbați	b ə r b a t sʲ
bărbos	b ə r b o s
bărbătească	ɨ n d͡ʒ e r e̯ a s k ə
bărbătos	b ə r b ə t o s
bătrân	b ə t r ɨ n
bătrânet	b ə t r ɨ n e t
bătut	b ə t u t
băubil	b ə u b i l
băut	b ə u t
băutor	b ə u t o r
băutură	b ə u t u r ə
c	k
c	t ʃ
ca	k a
cad	k a d
cadou	k a d o w
cafea	k a f e̯ a
cafeniu	k a f e n i w
cai	k a j
caiman	k a j m a n
cal	k a l
calamar	k a l a m a r
calambur	k a l a m b u r
calcan	k a l k a n
calcar	k a l k a r
calcare	k a l k a r e
calcaros	k a l k a r o s
calciu	k a l t͡ʃ j u
calcul	k a l k u l
calculat	k a l k u l a t
cald	k a l d
calde	k a l d e
caldă	k a l d ə
calificat	k a l i f i k a t
caligrafie	k a l i ɡ r a f i e
calmar	k a l m a r
calotă	k a l o t ə
calzi	k a l zʲ
cameraman	k a m e r a m a n
cameră	k a m e r ə
canal	k a n a l
canar	k a n a r
cangur	k a ŋ ɡ u r
canicular	k a n i k u l a r
caniculă	k a n i k u l ə
cantata	k a n t a t a
cantautor	k a n t a u t o r
cantinier	k a n t i n i e r
cap	k a p
capabil	k a p a b i l
capac	k a p a k
capital	k a p i t a l
capitalist	k a p i t a l i s t
capitală	k a p i t a l ə
capitol	k a p i t o l
caprin	k a p r i n
caprină	k a p r i n ə
capră	k a p r ə
caracara	k a r a k a r a
caracteristici	k a r a k t e r i s t i t͡ʃʲ
caracteristică	k a r a k t e r i s t i k ə
carantină	k a r a n t i n ə
carbon	k a r b o n
carboxilic	k a r b o k s i l i k
cardinal	k a r d i n a l
cardinali	k a r d i n a lʲ
cardiolog	k a r d i o l o ɡ
cardiologă	k a r d i o l o ɡ ə
care	k a r e
caricaturist	k a r i k a t u r i s t
caricaturistă	k a r i k a t u r i s t ə
carne	k a r n e
carnivor	k a r n i v o r
cartea	k a r t e̯ a
cartezian	k a r t e z i a n
cartograf	k a r t o ɡ r a f
casnic	k a s n i k
cast	k a s t
castaniu	k a s t a n i w
castel	k a s t e l
castravete	k a s t r a v e t e
cat	k a t
catastrofic	k a t a s t r o f i k
catifea	k a t i f e̯ a
catifelat	k a t i f e l a t
catran	k a t r a n
cauză	k a u z ə
caviar	k a v i a r
cazuar	k a z u a r
cazuistic	k a z u i s t i k
caș	k a ʃ
cașalot	k a ʃ a l o t
cd	s i d i
cea	t͡ʃ e̯ a
ceacâr	t͡ʃ e̯ a k ɨ r
ceapă	t͡ʃ e̯ a p ə
ceară	t͡ʃ e̯ a r ə
ceașcă	t͡ʃ e̯ a ʃ k ə
ceață	t͡ʃ e̯ a t͡s ə
cecen	t͡ʃ e t͡ʃ e n
ceh	t͡ʃ e h
cehi	t͡ʃ e hʲ
cei	t͡ʃ e j
cele	t͡ʃ e l e
celebra	t͡ʃ e l e b ɾ a
celebru	t͡ʃ e l e b r u
celiachie	t͡ʃ e l i a k i e
celt	t͡ʃ e l t
celulă	t͡ʃ e l u l ə
celălalt	t͡ʃ e l ə l a l t
celți	t͡ʃ e l t͡sʲ
centrali	t͡ʃ e n t r a lʲ
cenușiu	t͡ʃ e n u ʃ i w
ceramistă	t͡ʃ e r a m i s t ə
cerca	t͡ʃ e r k a
cercel	t͡ʃ e r t͡ʃ e l
cercetător	t͡ʃ e r t͡ʃ e t ə t o r
cerească	t͡ʃ e r e̯ a s k ə
ceresc	t͡ʃ e r e s k
cerești	t͡ʃ e r e ʃ tʲ
ceros	t͡ʃ e r o s
cert	t͡ʃ e r t
cești	t͡ʃ e ʃ tʲ
cețos	t͡ʃ e t͡s o s
chefal	k e f a l
cheia	k e j a
chel	k e l
chiar	k j a r
chimic	c i m i k
chimion	k i m i o n
chimist	k i m i s t
chimistă	k i m i s t ə
china	k i n a
chinez	k i n e z
chinezi	k i n e zʲ
chinezoaice	k i n e z o̯ a j t͡ʃ e
chinezoaică	k i n e z o̯ a j k ə
chineză	c i n e z ə
chinui	k i n u i
chinuitor	k i n u i t o r
chip	k i p
chițcan	k i t͡s k a n
christadelfian	k r i s t a d e l f i a n
ci	t͡ʃ i
ciao	t͡ʃ a u
ciclist	t͡ʃ i k l i s t
ciclistă	t͡ʃ i k l i s t ə
ciclon	t͡ʃ i k l o n
ciclostom	t͡ʃ i k l o s t o m
cimbru	t͡ʃ i m b r u
cincea	t͡ʃ i n t͡ʃ e̯ a
cinci	t͡ʃ i n t͡ʃʲ
cincilea	t͡ʃ i n t͡ʃ i l e̯ a
cincime	t͡ʃ i n t͡ʃ i m e
cincisprezece	t͡ʃ i n s p r e z e t͡ʃ e
cincisprezece	t͡ʃ i n t͡ʃʲ s p r e z e t͡ʃ e
cincisprezecea	t͡ʃ i n s p r e z e t͡ʃ e̯ a
cincisprezecea	t͡ʃ i n t͡ʃʲ s p r e z e t͡ʃ e̯ a
cincisprezecelea	t͡ʃ i n s p r e z e t͡ʃ e l e̯ a
cincisprezecelea	t͡ʃ i n t͡ʃʲ s p r e z e t͡ʃ e l e̯ a
cincizecea	t͡ʃ i n t͡ʃʲ z e t͡ʃ e̯ a
cincizecea	t͡ʃ i n z e t͡ʃ e̯ a
cincizeci	t͡ʃ i n t͡ʃʲ z e t͡ʃʲ
cincizeci	t͡ʃ i n z e t͡ʃʲ
cincizecilea	t͡ʃ i n t͡ʃʲ z e t͡ʃ i l e̯ a
cincizecilea	t͡ʃ i n z e t͡ʃ i l e̯ a
cinetic	t͡ʃ i n e t i k
cineva	t͡ʃ i n e v a
cinstit	t͡ʃ i n s t i t
cinteză	t ʃ i n t e z ə
cinzeci	t͡ʃ i n z e t͡ʃʲ
cinșpe	t͡ʃ i n ʃ p e
cinșpea	t͡ʃ i n ʃ p e̯ a
cinșpelea	t͡ʃ i n ʃ p e l e̯ a
cioacă	t͡ʃ j o̯ a k ə
cioară	t͡ʃ j o̯ a r ə
cioban	t͡ʃ j o b a n
ciobani	t͡ʃ j o b a nʲ
ciocolate	t͡ʃ j o k o l a t e
ciocârlan	t͡ʃ j o k ɨ r l a n
ciocârlie	t͡ʃ j o k ɨ r l i e
ciocănitoare	t͡ʃ j o k ə n i t o̯ a r e
ciorap	t͡ʃ o ɾ a p
circuit	t͡ʃ i r k u i t
circumscrie	t͡ʃ i r k u m s k r i e
cireașă	t͡ʃ i r e̯ a ʃ ə
cireșar	t͡ʃ i r e ʃ a r
citeț	t͡ʃ i t e t͡s
ciucă	t͡ʃʲ u k ə
ciufut	t͡ʃʲ u f u t
ciut	t͡ʃʲ u t
ciută	t͡ʃ j u t ə
civiliza	t͡ʃ i v i l i z a
civilizație	t͡ʃ i v i l i z a t͡s i e
clanță	k l a n t͡s ə
clapon	k l a p o n
clari	k l a rʲ
clasă	k l a s ə
climatolog	k l i m a t o l o ɡ
climatologă	k l i m a t o l o ɡ ə
clor	k l o r
cneaz	k n e̯ a z
coacin	k o̯ a t͡ʃ i n
coafor	k o̯ a f o r
coaie	k o̯ a j e
coajă	k o̯ a ʒ ə
coapsă	k o̯ a p s ə
cobai	k o b a j
cobalt	k o b a l t
coborât	k o b o r ɨ t
coborî	k o b o r ɨ
cobză	k o b z ə
cochet	k o c e t
cochilie	k o k i l i e
coclauri	k o k l a u rʲ
cocor	k o k o r
cocoșat	k o k o ʃ a t
cocoșați	k o k o ʃ a t͡sʲ
codalb	k o d a l b
codalbi	k o d a l bʲ
codaș	k o d a ʃ
codificat	k o d i f i k a t
codobatură	k o d o b a t u r ə
coji	k o ʒʲ
colaborator	k o l a b o r a t o r
colectați	k o l e k t a t͡sʲ
colibri	k o l i b r i
colibă	k o l i b ə
colorat	k o l o r a t
comandant	k o m a n d a n t
combinat	k o m b i n a t
combinație	k o m b i n a t͡s i e
comerț	k o m e r t͡s
comestibil	k o m e s t i b i l
comorian	k o m o r i a n
comparație	k o m p a r a t͡s i e
compensație	k o m p e n s a t͡s i e
competent	k o m p e t e n t
competiție	k o m p e t i t͡s i e
complet	k o m p l e t
completa	k o m p l e t a
component	k o m p o n e n t
componentă	k o m p o n e n t ə
compoziție	k o m p o z i t͡s i e
compus	k o m p u s
comune	k o m u n e
comunicație	k o m u n i k a t͡s i e
comunism	k o m u n i s m
comună	k o m u n ə
concentrat	k o n t͡ʃ e n t r a t
condiție	k o n d i t͡s i e
condor	k o n d o r
conducere	k o n d u t͡ʃ e r e
configurare	k o n f i ɡ u r a r e
conform	k o n f o r m
confuz	k o n f u z
conjuga	k o n ʒ u ɡ a
conjugal	k o n ʒ u ɡ a l
conjugare	k o n ʒ u ɡ a r e
conopidă	k o n o p i d ə
consecvent	k o n s e k v e n t
conspirație	k o n s p i r a t͡s i e
construit	k o n s t r u i t
consular	k o n s u l a r
contabil	k o n t a b i l
contabile	k o n t a b i l e
contabili	k o n t a b i lʲ
contabilă	k o n t a b i l ə
contagios	k o n t a d͡ʒ i o s
continental	k o n t i n e n t a l
continua	k o n t i n u a
continue	k o n t i n u e
continui	k o n t i n u j
continuu	k o n t i n u u
continuu	k o n t i n u w
continuă	k o n t i n u ə
contrar	k o n t r a r
contravenție	k o n t r a v e n t͡s i e
contrazice	k o n t r a z i t͡ʃ e
controlați	k o n t r o l a t͡sʲ
contur	k o n t u r
convenție	k o n v e n t͡s i e
convențional	k o n v e n t͡s i o n a l
conversație	k o n v e r s a t͡s i e
conversie	k o n v e r s i e
convingător	k o n v i ŋ ɡ ə t o r
conștient	k o n ʃ t i e n t
conștiință	k o n ʃ t i i̯ n t͡s ə
conține	k o n t͡s i n e
conținut	k o n t͡s i n u t
conținuturi	k o n t͡s i n u t u rʲ
copac	k o p a k
copiii	k o p i i j
copil	k o p i l
copiuță	k o p i u t͡s ə
copt	k o p t
corb	k o r b
corbiu	k o r b i w
corect	k o r e k t
coregraf	k o r e ɡ r a f
coregrafă	k o r e ɡ r a f ə
corigibil	k o r i d͡ʒ i b i l
corijabil	k o r i ʒ a b i l
cormoran	k o r m o r a n
cornut	k o r n u t
coronavirus	k o r o n a v i r u s
corupe	k o r u p e
corupt	k o r u p t
cositor	k o s i t o r
cosmetician	k o s m e t i t͡ʃ i a n
cosmeticiană	k o s m e t i t͡ʃ i a n ə
cosmic	k o s m i k
cosmonaut	k o s m o n a u t
costarican	k o s t a r i k a n
costum	k o s t u m
costume	k o s t u m e
cotoi	k o t o j
covrig	k o v r i ɡ
covrigei	k o v r i d͡ʒ e j
covrigel	k o v r i d͡ʒ e l
covrigi	k o v r i d ʒʲ
coțofană	k o t͡s o f a n ə
cracă	k r a k ə
crampon	k r a m p o n
crap	k r a p
crea	k r e a
creativ	k r e a t i v
creator	k r e a t o r
creaturi	k r e a t u rʲ
creatură	k r e a t u r ə
creație	k r e a t͡s i e
credibil	k r e d i b i l
credincios	k r e d i n t͡ʃʲ o s
credință	k r e d i n t͡s ə
creier	k r e j e r
creion	k r e j o n
creme	k r e m e
