'nane	n ɛː n
ayndiuish	u n d e u ə ʃ
ayndiuish	u n d e u ʃ
ayndiuish	u n d u ə ʃ
ayndiuish	u n d u ʃ
ayndoo	u n d u
ayndoosyn	u n d u s ə n
aynin	u n ə nʲ
ayninyn	u n ə ŋʲ ə n
aynjee	u n d ʒ i
aynjeeish	u n d ʒ i i ʃ
aynjeeish	u n d ʒ i ʃ
aynsyn	u n s ə n
aynyd	u n ə d
aynym	u n ə m
aynym's	u n ə m s
ayr	ɛː r
baa	b ɛː
baagh	b eː a x
baase	b ɛː s
baatey	b ɛː t ə
bainney	b a nʲ ə
balley	b a lʲ ə
bannee	b a n i
bannish	b a n ə ʃ
barroose	b ə r uː s
bass	b a s
bayr	b ɛː r
bea	b eː
beagh	b eː x
beagh	b i ə x
beayn	b ɨ ə n
bee	b iː
bee'm	b i m
beeal	b i ə l
beg	b e ɡ
beggan	b e ɡ a n
beign	b eː nʲ
beign	b iː nʲ
beisht	b eː ʃ tʲ
beishteig	b e ʃ tʲ eː ɡ
beishteig	p r ə ʃ tʲ eː ɡ
ben	b e n
benrein	b e n r eː nʲ
bial	b a i a l
biallagh	b a i a l a x
biallys	b a i a l ə s
billey	b i lʲ ə
bio	b j oː
bioyr	b j oː r
blaa	b l ɛː
bleayst	b l əː s t
bleeaney	b lʲ i ə n ə
blein	b lʲ eː nʲ
blennick	b l e nʲ ə kʲ
boal	b oː l
boalley	b oː l ə
boandey	b oː n d ə
boandyr	b oː n d ə r
boayl	b oː l
bodjal	b o d ʒ a l
boirey	b oː i̯ rʲ ə
bolg	b o l ɡ
bollag	b o l a ɡ
bollan	b o l a n
booa	b u ə
bouyr	b a u r
braag	b r ɛː ɡ
braar	b r ɛː rʲ
braew	b r a u
brah	b r aː
breag	b r eː ɡ
brein	b r eː nʲ
brellish	b r e lʲ ə ʃ
briaght	b r a i a x t
brie	b r a i
briw	b r e u
broghe	b r oː x
brout	b r a u t
buggane	b ə ɡ ɛː n
bwoirryn	b w o rʲ ə n
caa	k ɛː
cabbag	k a b a ɡ
cabbil	k a b ə lʲ
cabbyl	k a b ə l
caddil	k a d ə lʲ
caddil	k a d ʒ ə lʲ
cadjin	k a d ʒ ə n
cadley	k a d l ə
cagg	k a ɡ
caggey	k a ɡ ə
caghlaa	k a x l ɛː
cagliagh	k a ɡʲ lʲ a x
caigney	k a ɡʲ nʲ ə
cair	k ɛː rʲ
callin	k a l ə nʲ
car	k a r
carrane	k a r ɛː n
carrick	k a r ə kʲ
casherick	k a ʃ ə rʲ ə kʲ
cass	k a s
cayrn	k aː r n
ceau	kʲ a u
ceau	kʲ e u
choud	x a u d
clagh	k l a x
clagh	k l o x
clashtyn	k l a ʃ tʲ ə n
clean	k lʲ eː n
cleayn	k l əː n
cleaysh	k l əː ʃ
cleaysh	k l ɨ ə ʃ
clienney	k l e nʲ ə
cloan	k l a u n
cloan	k l oː n
clou	k l a u
coan	k a u a n
coan	k oː n
coayl	k oː l
collaneyn	k a l i nʲ ə n
cooill	k uː lʲ
craa	k r ɛː
crackan	k r a kʲ ə n
craie	k r eː i
cramp	k r a m p
craue	k r ɛː u
cray	k r eː
crea	k r eː
creagh	k r i ə x
creagh	k r ɨ ə x
credjue	k r e d ʒ u
cree	k r iː
creg	k r e ɡ
creid	k r e dʲ
croan	k r a u n
croan	k r oː n
cronney	k r o n ə
crou	k r a u
crout	k r a u t
cuirrey	k u rʲ ə
cuishlin	k u ʃ lʲ ə nʲ
cummey	k u m ə
cushag	k u ʃ a ɡ
da	d ɛː
daa	d ɛː
daah	d aː
daah	d ɛː
dasyn	d ɛː s ə n
daue	d ɛː u
dewil	d e u lʲ
deyll	d əː l
deyr	d əː r
dhiane	d a i̯ ɛː n
dhone	d oː n
dhyt	d i tʲ
dhyts	d i t s
diu	d e u
doal	d oː l
doillee	d o lʲ i
dollan	d o l a n
doltanys	d o l t a n ə s
doltey	d o l t ə
donney	d o n ə
doo	d a u̯
doo	d uː
dooin	d u nʲ
dooin	d uː nʲ
dooinney	d u nʲ ə
doon	d uː n
dooney	d uː n ə
dorrys	d o r ə s
dou	d ã u
dourin	d a u r ə nʲ
dowin	d a u nʲ
dreeym	d r iː m
dreih	d r əː i
drone	d r oː n
drunt	d r u n t
duillag	d o lʲ a ɡ
dwoaie	d w əː i̯
dy	d a
dy	d ə
eaddagh	e d a x
eaghtyr	ɨ ə x t ə r
eairk	əː r k
earkan	əː r k a n
earroo	e rʲ u
earroo	i rʲ u
earroo	ɛː rʲ u
eash	əː ʃ
eayn	ɣ ɨ ə n
eayn	ɨ ə n
eaynagh	əː n a x
eayst	eː s t
ec	e kʲ
echey	e ɡʲ ə
echeysyn	e ɡʲ ə s ə n
eck	e kʲ
ecksh	e kʲ ʃ
eddin	e d ə n
eddyr	e d ə r
ee	iː
eean	j i ə n
eeast	j iː s t
eeym	iː m
eisht	e ʃ tʲ
eisht	eː ʃ tʲ
eiy	ə i̯
ellan	e lʲ a n
emshir	e m ʃ ə rʲ
ennal	e n a l
enney	e n ə
enney	e nʲ ə
ennym	e n ə m
er	e rʲ
erreeish	e rʲ iː ʃ
erriu	e rʲ u
erriuish	e rʲ u ʃ
ersyn	e r s ə n
etlan	e t lʲ a n
eu	e u
euish	e u ə ʃ
euish	e u ʃ
faaie	f ɛː i̯
faarkey	f aː r kʲ ə
faarkey	f əː r kʲ ə
faasaag	f e s ɛː ɡ
faggys	f a ɡ ə s
fainey	f ɛː nʲ ə
faitagh	f a tʲ a x
faiyr	f eː r
fakin	f a kʲ ə nʲ
famman	f a m a n
feaill	f eː lʲ
feailley	f eː lʲ ə
feallagh	f e l a x
feallagh	f o l a x
feanish	f eː n ə ʃ
feayn	f əː n
feayr	f u ə r
feayr	f ɨ ə r
fedjag	f e d ʒ a ɡ
feeackle	f i ə k ə l
feed	f iː dʲ
feill	f eː lʲ
feme	f eː m
fenish	f eː n ə ʃ
fer	f e r
feue	f e u
fir	f i rʲ
flaunys	f l a u n ə s
fliaghey	f lʲ a x ə
fo	f oː
foaddey	f o d ə
foalley	f oː l ə
fockle	f o k ə l
foee	f oː i
foin	f oː nʲ
foldyr	f o l d ə r
foldyr	f o l d ə rʲ
folt	f o l t
foue	f oː u
fouyr	f a u r
foyd	f oː d
foym	f oː m
foyr	f oː r
fraue	f r ẽː u
freayll	f r i ə̯ l
freayll	f r iː l
freoagh	f r əː x
freoaie	f r əː i
fuill	f u lʲ
fuygh	f ə i̯
fys	f i s
gaaue	ɡ ɛː u
gaih	ɡ ɛː i
garey	ɡ ɛː r ə
gaue	ɡ ɛː u
gear	ɡ ɛː rʲ
gear	ɡʲ eː r
gearey	ɡ ɛː rʲ ə
geay	ɡ əː
geay	ɡ ɨ ə
geayee	ɡ əː i
geayl	ɡ ɨ ə l
geinnagh	ɡ e nʲ a x
geurey	ɡʲ e u r ə
geurey	ɡʲ uː r ə
gial	ɡʲ a l
giall	ɡʲ oː l
giare	ɡʲ ɛː r
giat	ɡʲ a t
gioot	ɡʲ i u t
glare	ɡ l ɛː r
glashtin	ɡ l a ʃ tʲ ə nʲ
gleash	ɡ l əː ʃ
gleih	ɡ l əː i
glen	ɡ l e n
glion	ɡ lʲ a u n
glion	ɡ lʲ oː n
glionney	ɡ lʲ o n ə
glioon	ɡʲ lʲ uː n
graih	ɡ r ɛː i̯
graney	ɡ r ɛː n ə
greiney	ɡ r eː nʲ ə
griagh	ɡ r a i a x
grian	ɡ r i ə n
grooish	ɡ r ũː ʃ
guag	ɡ uː a ɡ
guilley	ɡʲ i lʲ ə
hannah	h a n ə
hene	h eː n
hene	h iː n
hoal	h oː l
hoght	h o x t
hullad	h u l ə d
imbagh	i m b a x
ingin	i ŋ ə n
inneen	i nʲ iː n
jaagh	d ʒ eː a x
jannoo	d͡ʒ a n u
jarrood	d ʒ a r uː d
jarroodit	d ʒ a r uː d ə tʲ
jean	d ʒ e n
jeanym	d ʒ e n ə m
jee	d ʒ iː
jeeish	d͡ʒ iː ʃ
jeeragh	d ʒ iː r a x
jees	d͡ʒ iː s
jeh	d ʒ eː
jeih	d͡ʒ e i
jeir	d ʒ eː r
jeir	d ʒ eː rʲ
jiass	d͡ʒ a s
jinnagh	d͡ʒ e n a x
jinnair	d ʒ i nʲ eː r
jinnin	d ʒ e n e nʲ
jiulean	d ʒ i u lʲ eː n
joan	d ʒ a u n
joan	d ʒ oː n
jooigh	d ʒ uː x
jough	d ʒ o x
jouyil	d͡ʒ a u lʲ
jouyl	d͡ʒ a u l
jymmoose	d ʒ i m uː s
kay	kʲ eː
kayt	k a t
kayt	k e t
keayrt	k ɨ ə r t
keck	k e k
keead	kʲ i ə d
keeagh	kʲ i ə x
keeaght	kʲ i ə x t
kegeesh	k e ɡʲ iː ʃ
kennip	k e nʲ ə p
kere	kʲ eː rʲ
kere	kʲ iː r
keyl	k əː l
keyll	k e lʲ
keyll	k əː lʲ
keyrragh	k əː r a x
keyrrey	k əː r ə
kiare	kʲ ɛː r
kiaull	kʲ oː l
kinjagh	kʲ i nʲ d ʒ a x
kione	kʲ a u̯ n
kione	kʲ oː n
kiune	kʲ uː nʲ
kys	kʲ i s
laa	l ɛː
laare	l ɛː r
lane	l ɛː n
laue	l ɛ̃ː u
leagh	l ɨ ə̯ x
leagh	l ɨː x
leayr	lʲ eː rʲ
leayr	lʲ i ə r
leigh	l ə i̯
leih	l ə i̯
leoaie	l əː i̯
leoie	l əː i̯
lesh	l e ʃ
leshyn	l e ʃ ə n
lhaih	lʲ ɛː i
lhean	lʲ eː n
lhee	lʲ i
lheeah	lʲ i ə
lheeish	lʲ i ʃ
lheiy	l əː i̯
lhesh	lʲ e ʃ
lhiabbee	lʲ a b i
lhiam	lʲ a m
lhiams	lʲ a m s
lhiat	lʲ a t
lhiats	lʲ a t s
lhiattee	lʲ a t i
lhie	l a i̯
lhien	lʲ e n
lhienyn	lʲ e n ə n
lhionney	lʲ o n ə
lhiy	l a i̯
lhong	l o ŋ
lhune	lʲ uː n
liauyr	lʲ a u r
lioar	lʲ oː r
loayr	l oː rʲ
loayrt	l oː r t
logh	l o x
loo	l uː
lugh	l u x
lurgey	l u r ɡ ə
maaig	m ɛː ɡʲ
maggle	m a ɡ ə l
magh	m a x
maidjey	m a d ʒ ə
maih	m ɛː i
mair	m eː r
mairagh	m ɛː rʲ a x
mango	m a ŋ ɡ o
mannagh	m a n a x
maree	m ɛː rʲ i
marin	m ɛː rʲ ə nʲ
marish	m ɛː rʲ ə ʃ
maroo	m ɛː rʲ u
marym	m ɛː rʲ ə m
maynrey	m aː n r ə
maynrey	m eː n r ə
mayrt	m ɛː r t
mean	m eː n
mec	m e kʲ
mee	m iː
meen	m iː nʲ
meeyl	m iː l
meinn	m e nʲ
meir	m eː rʲ
meriu	m ɛː rʲ u
meshtey	m e ʃ t ə
mess	m e s
mian	m i ə n
mie	m a i
mill	m i lʲ
mio	m j oː
mish	m i ʃ
moddey	m o d ə
moghrey	m o x r ə
moghrey	m o x ə r ə
moghrey	m o x ə rʲ i
moidyn	m a i d ʒ ə n
moir	m o rʲ
mooar	m u ə r
mooidjeen	m u d ʒ iː nʲ
mooie	m u i
mooir	m u rʲ
moyrn	m oː r nʲ
mreih	m r ĩː
mreih	m r ə̃ː ĩ̯
muickey	m u kʲ ə
mullagh	m u l a x
mwannal	m u n a l
mwannal	m w a n a l
my	m a
my	m ə
mygeayrt	m ə ɡ ɨ ə r t
myleeaney	m lʲ i ə n ə
myleeaney	m ə lʲ i ə n ə
myr	m a r
myr	m ə r
naboo	n ɛː b u
naim	n eː m
nane	n ɛː n
nee	nʲ eː
nee	nʲ iː
nee'm	nʲ iː m
neese	nʲ iː s
neeym	nʲ iː m
niart	nʲ a r t
niau	nʲ a u
nieu	nʲ e u
noa	n oː
noon	n uː n
nuy	n əː i
nuyr	n ɛː rʲ
ny	n a
ny	n ə
oc	o k
ocsyn	o k s ə n
oe	oː
oeghyn	oː ɣ ə n
oie	iː
oie	ə i
oirr	o rʲ
olk	o l k
ollan	o l a n
olley	o l ə
ommidan	o m ə d a n
oney	oː n ə
oo	u
oo	uː
ooh	a u
ooh	uː
ooig	uː ɡʲ
ooilley	u lʲ u
ooilley	u lʲ ə
ooir	uː rʲ
orrin	o r ə nʲ
orrinyn	o r ə ŋʲ ə n
orroo	o r u
orroosyn	o r u s ə n
orrym	o r ə m
orryms	o r ə m s
ort	o r t
orts	o r t s
oyr	oː r
paag	p ɛː ɡ
paart	p aː r t
paart	p əː r t
paart	p ɛː r t
padjer	p a d ʒ ə rʲ
paitçhey	p ɛː t ʃ ə
peccah	p e k ə
pibbin	p i b i n
prash	p r a ʃ
prinse	p r i n s
quaagh	k w eː a x
quaiyl	k w ɛː lʲ
quallian	k w a lʲ a n
queeyl	k w iː l
queeyl	k w iː lʲ
queig	k w e ɡʲ
quiggal	k w i ɡʲ a l
quing	k w i ŋʲ
quoi	k w ə i
r'ee	rʲ iː
r'ou	r a u
raad	r ɛː d
ragh	r a x
raih	r ɛː i
rass	r a s
raue	r ɛː u
raun	r oː n
rea	r eː
reddyn	r e d ə n
reeoil	r iː oː l
rheynn	r eː nʲ
rheynn	r i ŋʲ
rhym	rʲ u m
rhyt	rʲ u t
ribbey	r i b ə
rish	rʲ i ʃ
riu	rʲ i u
riu	rʲ uː
riyr	r a i rʲ
roie	r iː
roie	r õː ĩ
roie	r ə i
rollage	r o l ɛː ɡ
roo	rʲ uː
rooin	r u nʲ
roost	r uː s t
row	r a u
ruy	r iː
ruy	r ə i
s'loo	s l uː
saa	s ɛː
saaue	s ɛː u
saih	s ɛː i
sassey	s a s ə
saue	s ɛː u
scaa	s k ɛː
scoill	s k o lʲ
seaghyn	s əː x ə n
seaghyn	s ɨ ə x ə n
seihll	s əː l
seyr	s əː r
share	ʃ ɛː r
sharmane	ʃ a r m ɛː n
sharvaant	ʃ a r v ɛː n t
shassoo	ʃ a s u
shayrey	ʃ ɛː r ə
sheear	ʃ i ə r
sheelnaue	ʃ iː l n ɛ̃ː u
sheeloghe	ʃ i l oː x
sheh	ʃ eː
shellan	ʃ e lʲ a n
shellanyn	ʃ e lʲ a n ə n
shen	ʃ e n
shennaghys	ʃ a n a x ə s
shennaghys	ʃ e n a x ə s
sheshaght	ʃ e ʃ a x
sheshey	ʃ e ʃ ə
shey	ʃ eː
shiaght	ʃ a x t
shiaghtin	ʃ a x t ə nʲ
shiaull	ʃ oː l
shlea	ʃ lʲ eː
shliawin	ʃ lʲ ã u nʲ
shooyl	ʃ uː lʲ
shuyr	ʃ uː r
side	s a i d
skeddan	s k e d a n
skee	s kʲ iː
skian	s kʲ i ə n
slaanee	s l ɛː n i
slane	s l ɛː n
slaynt	s l ɛː nʲ tʲ
sleih	s l əː i
sleityn	s lʲ eː tʲ ə n
slieau	s lʲ uː
slieau	ʃ lʲ uː
sloo	s l uː
snaid	s n ɛː dʲ
snaie	s n ɛː i
sniaghtey	ʃ nʲ a x t ə
sollan	s o l a n
sonnaase	s o n ɛː s
sooill	s uː lʲ
sooillyn	s uː lʲ ə n
sourey	s a u r ə
sourey	s ã u r ə
soylee	s oː l i
speyr	s p eː rʲ
sterrym	s t e rʲ ə m
sthie	s t a i
stiagh	s tʲ a x
straid	s t r ɛː dʲ
stroin	s t r oː nʲ
stroshey	s t r o ʃ ə
syrjey	s i r d ʒ ə
t'ad	t a d
t'ee	t a i
t'eh	t eː
t'ou	t a u
ta	t a
ta	t ɛː
taarnagh	t aː r nʲ a x
taaue	t ɛ̃ː u
tarroogh	t a r uː x
te	t eː
tead	t eː d
teigh	t əː i
teiy	t ə i
thalloo	t a l u
thallooin	t a l uː nʲ
theinniu	t e nʲ u
thie	t a i
thoin	t oː nʲ
toghyr	t o x ə r
toig	t i ɡʲ
toiggal	t i ɡʲ a l
toshiaght	t o ʃ a x
traaue	t r eː u
traie	t r ɛː i̯
trean	t r eː n
tree	t r iː
treih	t r əː i̯
treoghan	t r oː x a n
troid	t r o dʲ
trome	t r oː m
trooid	t r uː dʲ
tuitt	t u tʲ
uinnag	u nʲ a ɡ
un	u n
un	əː n
urley	u r l ə
urree	u r i
urreeish	u r i ʃ
ushag	u ʃ a ɡ
ushtey	u ʃ tʲ ə
v'ou	v a u
va	v a
va	v ɛː
ve	v eː
veagh	v eː x
veagh	v i ə x
vee'm	v i m
vees	v i s
vees	v iː s
veg	v e ɡ
veign	v eː nʲ
veign	v iː nʲ
vel	v e l̠
vio	v j oː
voalley	v oː l ə
vondeish	v o n d eː ʃ
yinnagh	j e n a x
yinnin	j e n e nʲ
ymmyd	i m ə d
ynrican	i n r ə k a n
çhagh	t ʃ a x
çheh	t ʃ eː
çhengey	t ʃ a ŋ ə
çhengey	t ʃ e nʲ ə
çhengey	t ʃ e ŋʲ ə
çheu	t͡ʃ e u
çhiamble	t ʃ a m b ə l
çhiarn	t ʃ aː r n
çhiollagh	t ʃ o l a x
çhymnee	t͡ʃ i m n i
çhyndaa	t ʃ i n d ɛː
