@	a̠ t̚ t o̞
曙覧	a̠ k e̞ mʲ i
朱美	a̠ k e̞ mʲ i
揚げ物	a̠ ɡ e̞ m o̞ n o̞
顎	a̠ ɡ o̞
亜港	a̠ k o̞ː
亜綱	a̠ k o̞ː
雀榕	a̠ k o̞ː
アコーデオン	a̠ k o̞ː d e̞ õ̞ ɴ
憧れ	a̠ k o̞ ɡ a̠ ɾ e̞
あこぎ	a̠ k o̞ ɡʲ i
アコギ	a̠ k o̞ ɡʲ i
顎鬚	a̠ ɡ o̞ ç i ɡ e̞
衵	a̠ k o̞ m e̞
朝	a̠ s a̠
麻	a̠ s a̠
痣	a̠ z a̠
アサイ	a̠ s a̠ i
浅い	a̠ s a̠ i
アサイー	a̠ s a̠ iː
あさいち	a̠ s a̠ i t͡ɕ i
麻糸	a̠ s a̠ i t o̞
麻色	a̠ s a̠ i ɾ o̞
朝起き	a̠ s a̠ o̞ kʲ i
あさがえり	a̠ s a̠ ɡ a̠ e̞ ɾʲ i
朝方	a̠ s a̠ ɡ a̠ t a̠
あさぎり	a̠ s a̠ ɡʲ i ɾʲ i
朝シャン	a̠ s a̠ ɕ ã̠ ɴ
浅瀬	a̠ s a̠ s e̞
朝立ち	a̠ s a̠ d a̠ t͡ɕ i
明後日	a̠ s a̠ t̚ t e̞
朝っぱら	a̠ s a̠ p̚ p a̠ ɾ a̠
安里	a̠ s a̠ t o̞
あざとい	a̠ z a̠ t o̞ i
あさどり	a̠ s a̠ d o̞ ɾʲ i
朝寝	a̠ s a̠ n e̞
浅はか	a̠ s a̠ h a̠ k a̠
浅縹	a̠ s a̠ h a̠ n a̠ d a̠
朝晩	a̠ s a̠ b ã̠ ɴ
朝番	a̠ s a̠ b ã̠ ɴ
朝日	a̠ s a̠ ç i
旭蟹	a̠ s a̠ ç i ɡ a̠ ɲ̟ i
あさひこ	a̠ s a̠ ç i k o̞
朝比奈	a̠ s a̠ ç i n a̠
あさぼらけ	a̠ s a̠ b o̞ ɾ a̠ k e̞
浅ましい	a̠ s a̠ m a̠ ɕ i i
麻巳	a̠ s a̠ mʲ i
薊	a̠ z a̠ mʲ i
朝飯	a̠ s a̠ m e̞ ɕ i
朝飯前	a̠ s a̠ m e̞ ɕ i m a̠ e̞
あさもや	a̠ s a̠ m o̞ j a̠
鮮やか	a̠ z a̠ j a̠ k a̠
朝焼け	a̠ s a̠ j a̠ k e̞
海豹	a̠ z a̠ ɾ a̠ ɕ i
浅蜊	a̠ s a̠ ɾʲ i
朝練	a̠ s a̠ ɾ ẽ̞ ɴ
あし	a̠ ɕ i
アシ	a̠ ɕ i
亜市	a̠ ɕ i
足	a̠ ɕ i
アジ	a̠ ʑ i
味	a̠ ʑ i
鯵	a̠ ʑ i
アジア	a̠ ʑ i a̠
亜細亜	a̠ ʑ i a̠
アジア人	a̠ ʑ i a̠ ʑ ĩ ɴ
足跡	a̠ ɕ i a̠ t o̞
悪しい	a̠ ɕ iː
アジェンダ	a̠ ʑ ẽ̞ n d a̠
足置き	a̠ ɕ i o̞ kʲ i
足音	a̠ ɕ i o̞ t o̞
海驢	a̠ ɕ i̥ k a̠
足利	a̠ ɕ i k a̠ ɡ a̠
足利時代	a̠ ɕ i k a̠ ɡ a̠ ʑ i d a̠ i
アシガバート	a̠ ɕ i ɡ a̠ b a̠ː t o̞
あしき	a̠ ɕ i kʲ i
味気ない	a̠ ʑ i kʲ i n a̠ i
あしきり	a̠ ɕ i kʲ i ɾʲ i
彼処	a̠ ɕ i k o̞
足コキ	a̠ ɕ i k o̞ kʲ i
足腰	a̠ ɕ i̥ k o̞ ɕ i
紫陽花	a̠ ʑ i s a̠ i
鰺刺	a̠ ʑ i s a̠ ɕ i
悪し様	a̠ ɕ i z a̠ m a̠
アジソン病	a̠ ʑ i s õ̞ m bʲ o̞ː
明日	a̠ ɕ i̥ t a̠
足駄	a̠ ɕ i d a̠
あじたま	a̠ ʑ i t a̠ m a̠
足垂れ星	a̠ ɕ i t a̠ ɾ e̞ b o̞ ɕ i
足手まとい	a̠ ɕ i̥ t e̞ m a̠ t o̞ i
アジト	a̠ ʑ i t o̞
足止め	a̠ ɕ i d o̞ m e̞
足取り	a̠ ɕ i d o̞ ɾʲ i
芦名	a̠ ɕ i n a̠
蘆名	a̠ ɕ i n a̠
味の素	a̠ ʑ i n o̞ m o̞ t o̞
足場	a̠ ɕ i b a̠
足早	a̠ ɕ i b a̠ j a̠
葦原	a̠ ɕ i̥ h a̠ ɾ a̠
葦火	a̠ ɕ i bʲ i
足日	a̠ ɕ i bʲ i
馬酔木	a̠ s e̞ bʲ i
足ひれ	a̠ ɕ i ç i ɾ e̞
味変	a̠ ʑ i h ẽ̞ ɴ
足忠実	a̠ ɕ i m a̠ m e̞
味見	a̠ ʑ i mʲ i
足下	a̠ ɕ i m o̞ t o̞
あしゃ	a̠ ɕ a̠
唖者	a̠ ɕ a̠
アジヤ	a̠ ʑ i j a̠
亜硝酸	a̠ ɕ o̞ː s ã̠ ɴ
アジョシ	a̠ ʑ o̞ ɕ i
アジョッシ	a̠ ʑ o̞ ɕː i
汗	a̠ s e̞
あぜ	a̠ z e̞
ASEAN	a̠ s e̞ ã̠ ɴ
アゼチジン	a̠ z e̞ t͡ɕ i ʑ ĩ ɴ
アセチレン	a̠ s e̞ t͡ɕ i ɾ ẽ̞ ɴ
あせっかき	a̠ s e̞ k̚ k a̠ kʲ i
畔菜	a̠ z e̞ n a̠
汗塗れ	a̠ s e̞ m a̠ mʲ i ɾ e̞
あぜみち	a̠ z e̞ mʲ i t͡ɕ i
焦り	a̠ s e̞ ɾʲ i
唖然	a̠ z ẽ̞ ɴ
阿蘇	a̠ s o̞
麻生	a̠ s o̞ː
あそこ	a̠ s o̞ k o̞
遊び	a̠ s o̞ bʲ i
遊び心	a̠ s o̞ bʲ i ɡ o̞ k o̞ ɾ o̞
遊び人	a̠ s o̞ bʲ i ɲ̟ ĩ ɴ
遊び場	a̠ s o̞ bʲ i b a̠
朝臣	a̠ s õ̞ ɴ
遊んだ	a̠ s õ̞ n d a̠
咫	a̠ t a̠
仇	a̠ d a̠
婀娜	a̠ d a̠
讐	a̠ d a̠
あたい	a̠ t a̠ i
価	k a̠
値	a̠ t a̠ i
あたおか	a̠ t a̠ o̞ k a̠
あたかも	a̠ t a̠ k a̠ m o̞
あだかも	a̠ d a̠ k a̠ m o̞
愛宕	a̠ t a̠ ɡ o̞
あたし	a̠ t a̠ ɕ i
暖か	a̠ t a̠ t a̠ k a̠
あたたかい	a̠ t a̠ t a̠ k a̠ i
アタッシェ	a̠ t a̠ ɕː e̞
渾名	a̠ d a̠ n a̠
徒花	a̠ d a̠ b a̠ n a̠
頭	a̠ t a̠ m a̠
頭金	a̠ t a̠ m a̠ kʲ ĩ ɴ
頭ごなし	a̠ t a̠ m a̠ ɡ o̞ n a̠ ɕ i
頭虱	a̠ t a̠ m a̠ ʑ i ɾ a̠ mʲ i
頭高型	a̠ t a̠ m a̠ d a̠ k a̠ ɡ a̠ t a̠
熱海	a̠ t a̠ mʲ i
可惜	a̠ t a̠ ɾ a̠
新しい	a̠ t a̠ ɾ a̠ ɕ iː
アタリ	a̠ t a̠ ɾʲ i
当たり	a̠ t a̠ ɾʲ i
辺り	a̠ t a̠ ɾʲ i
あたりどし	a̠ t a̠ ɾʲ i d o̞ ɕ i
当たり判定	a̠ t a̠ ɾʲ i h ã̠ n t e̞ː
当たり前	a̠ t a̠ ɾʲ i m a̠ e̞
当たり屋	a̠ t a̠ ɾʲ i j a̠
あ段	a̠ d ã̠ ɴ
あちき	a̠ t͡ɕ i kʲ i
あちゃあ	a̠ t͡ɕ a̠ː
あちら	a̠ t͡ɕ i ɾ a̠
彼方此方	a̠ t͡ɕ i ɾ a̠ k o̞ t͡ɕ i ɾ a̠
悪化	a̠ k̚ k a̠
圧巻	a̠ k̚ k ã̠ ɴ
悪感	a̠ k̚ k ã̠ ɴ
悪漢	a̠ k̚ k ã̠ ɴ
呆気ない	a̠ k̚ k e̞ n a̠ i
あっけらかん	a̠ k̚ k e̞ ɾ a̠ k ã̠ ɴ
あっさり	a̠ sː a̠ ɾʲ i
あっし	a̠ ɕː i
圧死	a̠ ɕː i
アッシー	a̠ ɕː iː
アッシリア	a̠ ɕː i ɾʲ i a̠
圧制	a̠ sː e̞ː
圧政	a̠ sː e̞ː
斡旋	a̠ sː ẽ̞ ɴ
有った	a̠ t̚ t a̠
あったかい	a̠ t̚ t a̠ k a̠ i
あっち	a̠ t̚ t͡ɕ i
あっち系	a̠ t̚ t͡ɕ i k e̞ː
あっちゃえ	a̠ t̚ t͡ɕ a̠ e̞
あっちゃこっちゃ	a̠ t̚ t͡ɕ a̠ k o̞ t̚ t͡ɕ a̠
圧倒	a̠ t̚ t o̞ː
圧倒的	a̠ t̚ t o̞ː t e̞ kʲ i
アッパー	a̠ p̚ p a̠ː
天晴れ	a̠ p̚ p a̠ ɾ e̞
あて	a̠ t e̞
アテーナー	a̠ t e̞ː n a̠ː
あてがき	a̠ t e̞ ɡ a̠ kʲ i
宛先	a̠ t e̞ s a̠ kʲ i
当て字	a̠ t e̞ ʑ i
艶姿	ẽ̞ ɰ̃ ɕ i
宛名	a̠ t e̞ n a̠
当て逃げ	a̠ t e̞ ɲ̟ i ɡ e̞
アテネ	a̠ t e̞ n e̞
あでやか	a̠ d e̞ j a̠ k a̠
後	a̠ t o̞
跡	a̠ t o̞
あど	a̠ d o̞
アド	a̠ d o̞
阿戸	a̠ d o̞
後味	a̠ t o̞ a̠ ʑ i
あといれ	a̠ t o̞ i ɾ e̞
あとおし	a̠ t o̞ o̞ ɕ i
後書き	a̠ t o̞ ɡ a̠ kʲ i
あとかた	a̠ t o̞ k a̠ t a̠
あどけない	a̠ d o̞ k e̞ n a̠ i
後先	a̠ t o̞ s a̠ kʲ i
後産	a̠ t o̞ z ã̠ ɴ
あとぜき	a̠ t o̞ z e̞ kʲ i
あとだし	a̠ t o̞ d a̠ ɕ i
跡地	a̠ t o̞ t͡ɕ i
後継	k o̞ː k e̞ː
あとどり	a̠ t o̞ d o̞ ɾʲ i
アドバイザー	a̠ d o̞ b a̠ i z a̠ː
後腹	a̠ t o̞ b a̠ ɾ a̠
あとばらい	a̠ t o̞ b a̠ ɾ a̠ i
アドバンテージ	a̠ d o̞ b ã̠ n t e̞ː ʑ i
アトピー	a̠ t o̞ pʲ iː
Adobe税	a̠ d o̞ bʲ i z e̞ː
アドベ	a̠ d o̞ b e̞
アドベンチャー	a̠ d o̞ b ẽ̞ ɲ̟ t͡ɕ a̠ː
あとめ	a̠ t o̞ m e̞
後戻り	a̠ t o̞ m o̞ d o̞ ɾʲ i
花鶏	a̠ t o̞ ɾʲ i
アトリエ	a̠ t o̞ ɾʲ i e̞
アドレナリン	a̠ d o̞ ɾ e̞ n a̠ ɾʲ ĩ ɴ
アナ	a̠ n a̠
穴	a̠ n a̠
あない	a̠ n a̠ i
強ち	a̠ n a̠ ɡ a̠ t͡ɕ i
穴窯	a̠ n a̠ ɡ a̠ m a̠
穴子	a̠ n a̠ ɡ o̞
アナコンダ	a̠ n a̠ k õ̞ n d a̠
アナザー	a̠ n a̠ z a̠ː
あなた	a̠ n a̠ t a̠
あなたいろ	a̠ n a̠ t a̠ i ɾ o̞
あなた方	a̠ n a̠ t a̠ ɡ a̠ t a̠
あなた達	a̠ n a̠ t a̠ t a̠ t͡ɕ i
貴方達	a̠ n a̠ t a̠ t a̠ t͡ɕ i
侮り	a̠ n a̠ d o̞ ɾʲ i
あなば	a̠ n a̠ b a̠
あなほり	a̠ n a̠ h o̞ ɾʲ i
阿南	a̠ n ã̠ ɴ
兄	a̠ ɲ̟ i
豈	a̠ ɲ̟ i
あにい	a̠ ɲ̟ iː
アニオタ	a̠ ɲ̟ i o̞ t a̠
アニオン	a̠ ɲ̟ i õ̞ ɴ
兄貴	a̠ ɲ̟ i kʲ i
兄弟子	a̠ ɲ̟ i d e̞ ɕ i
アニバーサリー	a̠ ɲ̟ i b a̠ː s a̠ ɾʲ iː
アニマンガ	a̠ ɲ̟ i m ã̠ ŋ ɡ a̠
アニメ	a̠ ɲ̟ i m e̞
アニメーション	a̠ ɲ̟ i m e̞ː ɕ õ̞ ɴ
アニリン	a̠ ɲ̟ i ɾʲ ĩ ɴ
姉	a̠ n e̞
姉貴	a̠ n e̞ kʲ i
あねご	a̠ n e̞ ɡ o̞
亜熱帯	a̠ n e̞ t̚ t a̠ i
アネモネ	a̠ n e̞ m o̞ n e̞
あの	a̠ n o̞
アノア	a̠ n o̞ a̠
あのう	a̠ n o̞ː
アノード	a̠ n o̞ː d o̞
あの方	a̠ n o̞ k a̠ t a̠
あの方々	a̠ n o̞ k a̠ t a̠ ɡ a̠ t a̠
あの方達	a̠ n o̞ k a̠ t a̠ t a̠ t͡ɕ i
あの人	a̠ n o̞ ç i̥ t o̞
あの人達	a̠ n o̞ ç i̥ t o̞ t a̠ t͡ɕ i
あのよいき	a̠ n o̞ j o̞ i kʲ i
浮子	a̠ b a̠
アバーア	a̠ b a̠ː a̠
アパート	a̠ p a̠ː t o̞
アバーヤ	a̠ b a̠ː j a̠
アバサー	a̠ b a̠ s a̠ː
アバター	a̠ b a̠ t a̠ː
アパタイト	a̠ p a̠ t a̠ i t o̞
あばよ	a̠ b a̠ j o̞
