aba	a b a
acaroar	a k a ɾ o a r
acarreirar	a k a r e j ɾ a ɾ
acción	a k θ j o ŋ
acción	a k θ j o ŋ
acción	a k s j o ŋ
acea	a θ e a̝
aceal	a θ e a l
aceal	a θ e a l
aceal	a s e a l
aceda	a θ e ð a̝
acedo	a θ e d o
acedo	a θ e d o
acedo	a s e d o
acedume	a θ e d u m e
acedume	a θ e d u m e
acedume	a s e d u m e
aceiro	a θ e j ɾ o
aceiro	a θ e j ɾ o
aceiro	a s e j ɾ o
aceitar	a θ e j t a ɾ
aceitar	a θ e j t a ɾ
aceitar	a s e j t a ɾ
aceite	a θ e j t e
aceite	a θ e j t e
aceite	a s e j t e
acelga	a θ ɛ l ɡ a
acelga	a θ ɛ l ɡ a
acelga	a θ ɛ l ħ a
acelga	a s ɛ l ħ a
acender	a θ e n d e ɾ
acender	a θ e n d e ɾ
acender	a s e n d e ɾ
aceno	a θ e n o̝
acepción	a θ ɛ p θ j o ŋ
acepción	a θ ɛ p θ j o ŋ
acepción	a s ɛ p s j o ŋ
aceptable	a θ ɛ p t a b l e
aceptable	a θ ɛ p t a b l e
aceptable	a s ɛ p t a b l e
aceptablemente	a θ ɛ p t a b l e m e n t e
aceptablemente	a θ ɛ p t a b l e m e n t e
aceptablemente	a s ɛ p t a b l e m e n t e
aceptación	a θ e p t a θ j o ŋ
aceptación	a θ e p t a θ j o ŋ
aceptación	a s e p t a s j o ŋ
aceptar	a θ ɛ p t a ɾ
aceptar	a θ ɛ p t a ɾ
aceptar	a s ɛ p t a ɾ
acerbo	a θ ɛ ɾ b o
acerbo	a θ ɛ ɾ b o
acerbo	a s ɛ ɾ b o
acereiro	a θ e ɾ e j ɾ o̝
acertar	a θ e ɾ t a ɾ
acertar	a θ e ɾ t a ɾ
acertar	a s e ɾ t a ɾ
aceso	a θ e s o̝
aceso	a s e s o̝
acevo	a θ e b o
acevo	a θ e b o
acevo	a s e b o
acha	a t͡ʃ a
achadizo	a t͡ʃ a d i θ o
achadizo	a t͡ʃ a d i θ o
achadizo	a t͡ʃ a d i s o
achaiar	a t͡ʃ a j a ɾ
achandar	a t͡ʃ a n d a ɾ
achantar	a t͡ʃ a n t a ɾ
achanzar	a t͡ʃ a n θ a ɾ
achanzar	a t͡ʃ a n θ a ɾ
achanzar	a t͡ʃ a n s a ɾ
achaque	a t͡ʃ a k e
achar	a t͡ʃ a ɾ
achegar	a t͡ʃ e ɣ a ɾ
achen	a t͡ʃ e ŋ
achorentar	a t͡ʃ o ɾ e n t a ɾ
achorentar	a t͡ʃ o ɾ ɛ n t a ɾ
acibeche	a θ i b ɛ t͡ʃ e
acibeche	a θ i b ɛ t͡ʃ e
acibeche	a s i b ɛ t͡ʃ e
acibecheiro	a θ i β ɛ t͡ʃ e i ɾ o̝
acibecheiro	a s i β ɛ t͡ʃ e i ɾ o̝
ácida	a θ i d a
ácida	a θ i d a
ácida	a s i d a
ácidas	a θ i d a s
ácidas	a θ i d a s
ácidas	a s i d a s
ácido	a θ i d o
ácido	a θ i d o
ácido	a s i d o
ácidos	a θ i d o s
ácidos	a θ i d o s
ácidos	a s i d o s
aciñeira	a θ i ɲ e j ɾ a̝
acio	a θ j o
acio	a θ j o
acio	a s j o
acivro	a θ i b ɾ o
acivro	a θ i b ɾ o
acivro	a s i b ɾ o
acme	a k m e
acó	a k o
acolá	a k o l a
acoller	a k o ʎ e ɾ
acomodar	a k o m o d a ɾ
acompañamento	a k o m p a ɲ a m e n t o
acompañamento	a k o m p a ɲ a m ɛ n t o
acompañar	ɐ k ɔ m p ɐ ɲ a ɾ
acorar	a k o ɾ a ɾ
acordanza	a k o ɾ d a n θ a
acordanza	a k o ɾ d a n θ a
acordanza	a k o ɾ d a n s a
acordo	a k o ɾ d o
acordo	a k ɔ ɾ d o
acoro	a k o ɾ o
acostumar	a k o s t u m a ɾ
acotío	a k o t i o̝
acougar	a k o w ɣ a ɾ
Acre	a k ɾ e
acreditar	a k ɾ ɛ d i t a ɾ
acredite	a k ɾ ɛ d i t e
activamente	a k t i b a m e n t e
activista	a k t i b i s t a
actor	a t t o ɾ
actriz	a t t ɾ i θ
actuación	a k t w a θ j o ŋ
actuación	a k t w a θ j o ŋ
actuación	a k t w a s j o ŋ
actual	a k t u a l
actualidade	a k t w a l i d a d e
actualmente	a k t u a l m e n t e
acuático	a k w a t i k o
acubillar	a k u β i ʎ a ɾ
acubillo	a k u b i ɟ o
acumulación	a k u m u l a θ j o ŋ
acumulación	a k u m u l a θ j o ŋ
acumulación	a k u m u l a s j o ŋ
acumular	a k u m u l a ɾ
acupuntura	a k u p u n t u ɾ a
acusación	a k u s a θ j o ŋ
acusación	a k u s a θ j o ŋ
acusación	a k u s a s j o ŋ
adala	a ð a l a̝
adaptabilidade	a d a p t a b i l i d a d e
adaptar	a d a p t a ɾ
adapto	a d a p t o
adega	a d ɛ ɡ a
adega	a d ɛ ɡ a
adega	a d ɛ ħ a
aderezo	a d e ɾ e θ o
aderezo	a d e ɾ e θ o
aderezo	a d e ɾ e s o
adicción	a d i k θ j o ŋ
adicción	a d i k θ j o ŋ
adicción	a d i k s j o ŋ
adicional	a d i θ j o n a l
adicional	a d i θ j o n a l
adicional	a d i s j o n a l
adicionalmente	a d i θ j o n a l m e n t e
adicionalmente	a d i θ j o n a l m e n t e
adicionalmente	a d i s j o n a l m e n t e
adiñeirado	a d i ɲ e j ɾ a d o
aditar	a d i t a ɾ
adiviñar	a ð i β i ɲ a ɾ
administración	a d m i n i s t ɾ a θ j o ŋ
administración	a d m i n i s t ɾ a θ j o ŋ
administración	a d m i n i s t ɾ a s j o ŋ
admiración	a d m i ɾ a θ j o ŋ
admiración	a d m i ɾ a θ j o ŋ
admiración	a d m i ɾ a s j o ŋ
admitiu	a d m i t i w
adobar	a ð o β a ɾ
adobe	a d ɔ b e
adobo	a ð o β o̝
adoito	a ð o j t o̝
adoptar	ɐ ð ɔ p t a ɾ
adoración	a d o ɾ a θ j o ŋ
adoración	a d o ɾ a θ j o ŋ
adoración	a d o ɾ a s j o ŋ
adormentar	a ð o ɾ m e n t a ɾ
adormentar	a ð o ɾ m ɛ n t a ɾ
adormiñar	a d o ɾ m i ɲ a ɾ
adquirir	a d k i ɾ i ɾ
adra	a ð ɾ a̝
adrede	a ð ɾ e ð e̝
adro	a ð ɾ o̝
adscrito	a d s k ɾ i t o
aduanada	a ð w a n a ð a̝
adubo	a ð u β o̝
aduciu	a d u θ i w
aduciu	a d u θ i w
aduciu	a d u s i w
adufe	a d u f e
adúltero	a d u l t e ɾ o
adulto	a d u l t o
adurmiñar	a d u ɾ m i ɲ a ɾ
aduziu	a d u θ i w
aduziu	a d u θ i w
aduziu	a d u s i w
advento	a d b e n t o̝
advento	a d b ɛ n t o̝
adverbial	a d b ɛ ɾ b j a l
aérea	a ɛ ɾ e a
aéreo	a ɛ ɾ e o
aeródromo	a ɛ ɾ ɔ d ɾ o m o
aeroliña	a ɛ ɾ ɔ l i ɲ a
aeroporto	a ɛ ɾ ɔ p o ɾ t ʊ
afagar	a f a ɣ a ɾ
afalar	a f a l a ɾ
afán	a f a ŋ
afastar	a f a s t a ɾ
afeitar	a f e j t a ɾ
aferretar	a f e r e t a ɾ
aferventar	a f e ɾ β e n t a ɾ
afervoar	a f e ɾ b o a ɾ
Afganistán	a f ɡ a n i s t a ŋ
Afganistán	a f ɡ a n i s t a ŋ
Afganistán	a f ħ a n i s t a ŋ
AFI	a f i
afiar	a f i a ɾ
aficar	a f i k a ɾ
afillado	a f i ɟ a d o
afín	a f i ŋ
afinar	a f i n a ɾ
afinidade	a f i n i d a d e
afirmar	a f i ɾ m a ɾ
afixación	a f i k s a θ j o ŋ
afixación	a f i k s a θ j o ŋ
afixación	a f i k s a s j o ŋ
afondar	a f o n d a ɾ
aformigar	a f o ɾ m i ɣ a ɾ
aforrar	a f o r a ɾ
afreitas	a f ɾ e j t a̝ s
africano	a f ɾ i k a n o
afta	a f t a
afuar	a f u a ɾ
afumar	a f u m a ɾ
afundir	a f u n d i ɾ
afungar	a f u ŋ ɡ a ɾ
agaitar	a ɣ a j t a ɾ
aganar	a ɡ a n a ɾ
aganar	a ɡ a n a ɾ
aganar	a ħ a n a ɾ
agarimar	a ɣ a ɾ i m a ɾ
agarimo	a ɡ a ɾ i m o
agarimo	a ɡ a ɾ i m o
agarimo	a ħ a ɾ i m o
agarrar	a ɡ a r a ɾ
agarrar	a ɡ a r a ɾ
agarrar	a ħ a r a ɾ
agás	a ɡ a s
agás	a ɡ a s
agás	a ħ a s
agasallar	a ɡ a s a ɟ a ɾ
agasallar	a ɡ a s a ɟ a ɾ
agasallar	a ħ a s a ɟ a ɾ
agasallo	a ɡ a s a ɟ o
agasallo	a ɡ a s a ɟ o
agasallo	a ħ a s a ɟ o
agatuñar	ɡ a t u ɲ a ɾ
agochar	a ɣ o t͡ʃ a ɾ
agoireiro	a ɣ o j ɾ e j ɾ o̝
agora	a ɡ o ɾ a
agora	a ɡ o ɾ a
agora	a ħ o ɾ a
agosto	a ɡ o s t o
agosto	a ɡ o s t o
agosto	a ħ o s t o
agra	a ɣ ɾ a̝
ágrafo	a ɡ ɾ a f o
ágrafo	a ɡ ɾ a f o
ágrafo	a ħ ɾ a f o
agro	a ɣ ɾ o̝
agromar	a ɣ ɾ o m a ɾ
agruñeiro	a ɣ ɾ u ɲ e j ɾ o̝
agruño	a ɡ ɾ u ɲ o
agruño	a ɡ ɾ u ɲ o
agruño	a ħ ɾ u ɲ o
agua	a ɡ w a
agua	a ɡ w a
agua	a ħ w a
aguacate	a ɡ w a k a t e
aguacate	a ɡ w a k a t e
aguacate	a ħ w a k a t e
aguacil	a ɡ w a θ i l
aguacil	a ɡ w a θ i l
aguacil	a ħ w a θ i l
aguacil	a ħ w a s i l
aguante	a ɡ w a n t e
aguante	a ɡ w a n t e
aguante	a ħ w a n t e
agudo	a ɡ u d o
agudo	a ɡ u d o
agudo	a ħ u d o
aguia	a ɡ j a
aguia	a ɡ j a
aguia	a ħ j a
aguillada	a ɡ i ʎ a ð a̝
aguillar	a ɣ i ʎ a ɾ
aguilloar	a ɣ i ʎ o a ɾ
aguillón	a ɡ i ʎ o ŋ
aguisar	a ɣ i s a ɾ
agulla	a ɡ u ɟ a
agulla	a ɡ u ɟ a
agulla	a ħ u ɟ a
agulleiro	a ɡ u ɟ e j ɾ o
agulleiro	a ɡ u ɟ e j ɾ o
agulleiro	a ħ u ɟ e j ɾ o
agulletar	a ɣ u ʎ e t a ɾ
aire	a j ɾ e
airiño	a j ɾ i ɲ o
aixada	a j ʃ a d a
aixola	a j ʃ ɔ l a
alá	a l a
alabarar	a l a β a ɾ a ɾ
alabardada	a l a b a ɾ d a d a
alalá	a l a l a
alameda	a l a m e d a
alarbio	a l a ɾ b j o
alarido	a l a ɾ i d o
albacora	a l b a k ɔ ɾ a
albanel	a l b a n ɛ l
albar	a l β a ɾ
albarda	a l b a ɾ d a
albardar	a l b a ɾ d a ɾ
Albarde	a l b a ɾ d e
albaricoque	a l b a ɾ i k ɔ k e
albariño	a l b a ɾ i ɲ o
albaroque	a l b a ɾ ɔ k e
albatros	a l b a t ɾ o s
albedro	a l b e d ɾ o
albeiro	a l b e j ɾ o
albelo	a l b ɛ l o
albergue	a l b ɛ ɾ ɡ e
albergue	a l b ɛ ɾ ɡ e
albergue	a l b ɛ ɾ ħ e
Alberte	a l b ɛ ɾ t e
albiscar	a l β i s k a ɾ
albó	a l β o̝
alboio	a l β ɔ j o
alboio	a l β o j o
albor	a l β o ɾ
Albor	a l β o ɾ
alcacén	a l k a θ ɛ ŋ
alcácer	a l k a s ɛ ɾ
alcachofa	a l k a t͡ʃ o f a
alcachofra	a l k a t͡ʃ o f ɾ a
alcaiote	a l k a j ɔ t e
alcalde	a l k a l d e
alcalinidade	a l k a l i n i d a d e
alcanzar	a l k a n θ a ɾ
alcanzar	a l k a n s a ɾ
alcatifa	a l k a t i f a
alcatrán	a l k a t ɾ a ŋ
alcipreste	a l θ i p ɾ ɛ s t e
alcipreste	a l θ i p ɾ ɛ s t e
alcipreste	a l s i p ɾ ɛ s t e
Alcobre	a l k ɔ β ɾ e̝
alcouce	a l k o w θ e̝
alcrique	a l k ɾ i k e̝
alcuñar	a l k u ɲ a ɾ
Aldara	a l d a ɾ a̝
aldea	a l d e a
Aldobrén	a l d o β ɾ ɛ ŋ
aldraxe	a l d ɾ a ʃ e
alegre	a l ɛ ɡ ɾ e
alegre	a l ɛ ɡ ɾ e
alegre	a l ɛ ħ ɾ e
alegría	a l e ɡ ɾ i a
alegría	a l e ɡ ɾ i a
alegría	a l e ħ ɾ i a
aleitar	a l e j t a ɾ
aleixar	a l e j ʃ a ɾ
alemán	a l e m a ŋ
Alemaña	a l e m a ɲ a
Alemparte	a l ɛ m p a ɾ t e̝
alén	a l ɛ ŋ
Alén	a l ɛ ŋ
aleta	a l e t a
alfaia	a l f a j a
alfar	a l f a ɾ
alfarroba	a l f a r o b a
alfiestra	a l f i ɛ s t ɾ a̝
alfil	a l f i l
alfinete	a l f i n e t e
alfinetes	a l f i n e t e s
alfombra	a l f o m b ɾ a
alfombrar	a l f o m b ɾ a ɾ
alga	a l ɡ a
alga	a l ɡ a
alga	a l ħ a
algaria	a l ɣ a ɾ j a̝
algaria	a l ħ a ɾ j a̝
Algarve	a l ɡ a ɾ b e
Algarve	a l ɡ a ɾ b e
Algarve	a l ħ a ɾ b e
algodón	a l ɡ o d o ŋ
algodón	a l ɡ o d o ŋ
algodón	a l ħ o d o ŋ
algodóns	a l ɡ o d ɔ ŋ s
algodóns	a l ɡ o d ɔ ŋ s
algodóns	a l ħ o d ɔ ŋ s
alguén	a l ɡ ɛ ŋ
alguén	a l ɡ ɛ ŋ
alguén	a l ħ ɛ ŋ
algunha	a l ɡ u ŋ a
algunha	a l ɡ u ŋ a
algunha	a l ħ u ŋ a
algúns	a l ɣ u ŋ s
algures	a l ɡ u ɾ e s
alí	a l i
alicerce	a l i θ ɛ ɾ θ e
alicerce	a l i θ ɛ ɾ θ e
alicerce	a l i s ɛ ɾ s e
álido	a l i ð̞ o̝
alifafe	a l i f a f e
alimentación	a l i m e n t a θ j o ŋ
alimentación	a l i m e n t a θ j o ŋ
alimentación	a l i m e n t a s j o ŋ
alimentación	a l i m ɛ n t a θ j o ŋ
alimentación	a l i m ɛ n t a θ j o ŋ
alimentación	a l i m ɛ n t a s j o ŋ
alimentar	a l i m e n t a ɾ
alimentar	a l i m ɛ n t a ɾ
alínea	a l i n e a
alistado	a l i s t a d o
aliteración	a l i t e ɾ a θ j o ŋ
aliteración	a l i t e ɾ a θ j o ŋ
aliteración	a l i t e ɾ a s j o ŋ
aliviar	a l i β j a ɾ
allada	a ʎ a ð a̝
Allariz	a ʎ a ɾ i θ
allear	a ʎ e a ɾ
allo	a ɟ o
alma	a l m a
alma	j a l m a
almadraque	a l m a d ɾ a k e
almallo	a l m a ʎ o̝
almanaque	a l m a n a k e
Almariz	a l m a ɾ i θ
almirante	a l m i ɾ a n t e
almofada	a l m o f a d a
Almofrei	a l m o f ɾ e j
almorzar	a l m o ɾ θ a ɾ
almorzar	a l m o ɾ θ a ɾ
almorzar	a l m o ɾ s a ɾ
almorzo	a l m o ɾ θ o
almorzo	a l m o ɾ θ o
almorzo	a l m o ɾ s o
almorzo	a l m ɔ ɾ θ o
almorzo	a l m ɔ ɾ θ o
almorzo	a l m ɔ ɾ s o
almucela	a l m u θ ɛ l a̝
aló	a l o
alor	a l ɔ ɾ
aloumiñar	a l o w m i ɲ a ɾ
aloumiñeiro	a l o w m i ɲ e j ɾ o
aloumiño	a l o w m i ɲ o
alpendre	a l p e n d ɾ e
alpendre	a l p ɛ n d ɾ e
alpestre	a l p ɛ s t ɾ e
alporizar	a l p o ɾ i θ a ɾ
alporizar	a l p o ɾ i s a ɾ
alquimista	a l k i m i s t a
alroto	a l r o t o̝
alta	a l t a
Altamira	a l t a m i ɾ a̝
altar	a l t a ɾ
alteración	a l t e ɾ a θ j o ŋ
alteración	a l t e ɾ a θ j o ŋ
alteración	a l t e ɾ a s j o ŋ
alto	a l t o
alucinación	a l u θ i n a θ j o ŋ
alucinación	a l u θ i n a θ j o ŋ
alucinación	a l u s i n a s j o ŋ
alucinar	a l u θ i n a ɾ
alucinar	a l u θ i n a ɾ
alucinar	a l u s i n a ɾ
alugar	a l u ɣ a ɾ
alugueiro	a l u ɡ e j ɾ o
alugueiro	a l u ɡ e j ɾ o
alugueiro	a l u ħ e j ɾ o
aluguer	a l u ɡ ɛ ɾ
aluguer	a l u ɡ ɛ ɾ
aluguer	a l u ħ ɛ ɾ
alumear	a l u m e a ɾ
aluscar	a l u s k a ɾ
alustrar	a l u s t ɾ a ɾ
alustro	a l u s t ɾ o̝
alvariza	a l b a ɾ i θ a
alvariza	a l b a ɾ i θ a
alvariza	a l b a ɾ i s a
alverxón	a l β̞ e ɾ ʃ o ŋ
alxaba	a l ʃ a b a
alxibe	a l ʃ i b e
alxofre	a l ʃ ɔ f ɾ e
alxofre	a l ʃ o f ɾ e
alzar	a l θ a ɾ
alzar	a l θ a ɾ
alzar	a l s a ɾ
ama	a m a
amades	a m a d e s
ámago	a m a̝ ɣ o̝
amalloar	a m a ʎ o a ɾ
amamos	a m a m o s
amantar	a m a n t a ɾ
amante	a m a n t e
amañar	a m a ɲ a ɾ
amaravallar	a m a ɾ a β a ʎ a ɾ
amarela	a m ɐ ɾ ɛ l ɐ
amarelas	a m a ɾ ɛ l a s
amarelo	a m a ɾ ɛ l o
amarelos	a m a ɾ ɛ l o s
amarga	a m a ɾ ɡ a
amarga	a m a ɾ ɡ a
amarga	a m a ɾ ħ a
amargo	a m a ɾ ɡ o
amargo	a m a ɾ ɡ o
amargo	a m a ɾ ħ o
amargoso	a m a ɾ ɡ o s o
amargoso	a m a ɾ ɡ o s o
amargoso	a m a ɾ ħ o s o
Amaro	a m a ɾ o
amata	a m a t a
ámbar	a m b a ɾ
ambición	a m b i θ j o ŋ
ambición	a m b i θ j o ŋ
ambición	a m b i s j o ŋ
ambiciosamente	a m b i θ j o s a m e n t e
ambiciosamente	a m b i θ j o s a m e n t e
ambiciosamente	a m b i s j o s a m e n t e
ambiente	a m b j ɛ n t e
ambiguo	a m b i ɡ w o
ambiguo	a m b i ɡ w o
ambiguo	a m b i ħ w o
ámboa	a m b o̯ a̝
ambos	a m b o s
ambroesa	a m b ɾ o e s a̝
ambroesa	a m b ɾ u e s a̝
ambulancia	a m b u l a n θ j a
ambulancia	a m b u l a n θ j a
ambulancia	a m b u l a n s j a
ameaza	a m e a θ a
ameaza	a m e a θ a
ameaza	a m e a s a
amecer	a m e θ e ɾ
ameixa	a m e j ʃ a
ameixeira	a m e j ʃ e j ɾ a̝
amencer	a m e n θ e ɾ
amencer	a m e n θ e ɾ
amencer	a m e n s e ɾ
amencida	a m e n θ i d a
amencida	a m e n θ i d a
amencida	a m e n s i d a
améndoa	a m e n d o a
americano	a m ɛ ɾ i k a n o
Ames	a m e̝ s
ameter	a m e t e ɾ
ametista	a m e t i s t a
amieiro	a m i e j ɾ o̝
amiga	a m i ɡ a
amiga	a m i ɡ a
amiga	a m i ħ a
amígdala	a m i ɡ d a l a
amígdala	a m i ɡ d a l a
amígdala	a m i ħ d a l a
amigdalite	a m i ɡ d a l i t e
amigdalite	a m i ɡ d a l i t e
amigdalite	a m i ħ d a l i t e
amigo	a m i ɡ o
amigo	a m i ɡ o
amigo	a m i ħ o
amigos	a m i ɡ o s
amigos	a m i ɡ o s
amigos	a m i ħ o s
amiguiño	a m i ɣ i ɲ o̝
amirolo	a m i ɾ ɔ l o̝
amizade	a m i θ a ð e̝
amo	a m o
amodo	a m ɔ ð o̝
amoestar	a m o ɛ s t a ɾ
amolar	a m o l a ɾ
amolar	a m o l a ɾ
amolecer	a m o l e θ e ɾ
amolecer	a m o l e s e ɾ
amolegar	a m o l e ɣ a ɾ
amolentar	a m o l e n t a ɾ
amor	a m o ɾ
amora	a m ɔ ɾ a̝
amorogo	a m o ɾ o ɡ o̝
amosegar	a m o s e ɣ a ɾ
ámote	a m o t e
amoucar	a m o w k a ɾ
amoxetar	a m o ʃ e t a ɾ
amoxo	a m o ʃ o
amplifica	a m p l i f i k a
amplificada	a m p l i f i k a d a
anaco	a n a k o
anafil	a n a f i l
anal	a n a l
anano	a n a n o
anarquía	a n a ɾ k i a
anárquico	a n a ɾ k i k o
anarquista	a n a ɾ k i s t a
anarquistas	a n a ɾ k i s t a s
anatomía	a n a t o m i a
anazar	a n a θ a ɾ
anca	a ŋ k a̝
anchear	a n t͡ʃ e a ɾ
ancho	a n t͡ʃ o
ancián	a n θ j a ŋ
ancián	a n θ j a ŋ
ancián	a n s j a ŋ
anciño	a n θ i ɲ o̝
ancoradoiro	a ŋ k o ɾ a ð o j ɾ o̝
anda	a n d a
andaina	a n d a j n a̝
andamos	a n d a m o s
andar	a n d a ɾ
andas	a n d a s
andoriña	a n d o ɾ i ɲ a
Andorra	a n d o r a
Andrade	a n d ɾ a d e
André	a n d ɾ ɛ
