־י	i
אחיינית	ʔ a χ j a n i t
אחרי	a χ a ʁ e
אחרי	a χ ʁ e
אחריות	a χ ʁ a j u t
אחשדרפן	a χ a ʃ d a ʁ p a n
אחשורוש	ʔ a χ a ʃ v e ʁ o ʃ
אחת	a χ a s
אחת	a χ a t
אחת	ä ħ ä t̪
אחת	æ ħ æ θ
אחתו	a χ o t o
אטמוספירה	a t m ɔ s f ɛ ʁ a
איבד	ʔ i b e d
איבה	e v a
איבוד	ʔ i b u d
איגרוף	i ɡ ʁ u f
איווה	ʔ i v a
איזבל	ʔ i z e v e l
איים	i j e m
איך	ʔ e χ
אין	ʔ e n
אינדיגו	i n d i ɡ o
איפה	e f o
איראן	i ʁ a n
איש	ʔ i ʃ
אכלה	ʔ a k a l aː
אכלה	ʔ a χ l a
אכלה	ʔ o χ l a
אכלה	ʔ u k l aː
אכלה	ʔ ɔ x l ɔː
אכלה	ʔ ɔː x l ɔː
אל	ʔ a l
אל	ʔ e l
אל	ʔ i l
אל	ʔ ɛ l
אלא	e l a
אלה	e l e
אלוה	e l o a
אלוה	ʔ i l oː h
אלוהים	ʔ e l oː h iː m
אלוף	ʔ a l u f
אלייך	ʔ e l a j i χ
אליך	ʔ e l a j i χ
אליך	ʔ e l e χ a
אלכסנדריה	a l e k s a n d ʁ i j a
אם	ʔ e m
אם	ʔ i m
אמד	ʔ a m a d
אמונה	e m u n a
אמן	a m e n
אמן	ɔ m e ɪ n
אמן	ʔ a m e n
אמן	ʔ ɔ m e n
אנגליה	ʔ a ŋ ɡ l i j a
אנגלית	a n ɡ l i t
אנו	ʔ a n u
אנו	ʔ a n uː
אנוכי	ɔ n o j x i
אנוכי	ʔ a n a k i
אנוכי	ʔ a n o x i
אנוכי	ʔ a n o χ i
אנוכי	ʔ a n oː k iː
אנוכי	ʔ ɔ n o x i
אנוכי	ʔ ɔ n ø x i
אנחנו	ʔ a n a ħ n uː
אנחנו	ʔ a n a χ n u
אנטומולוגיה	e n t o m o l o ɡ j a
אני	ʔ a n i
אני	ʔ a n iː
אני	ʔ ă n i
אנציקלופדיה	e n t͡s i k l o p e d j a
אסור	a s u ʁ
אסטרופיזיקה	a s t ʁ o f i z i k a
אסנת	a s ə n a t
אסנת	o s n a t
אסנת	ɔ s n ə s
אסנת	ʔ ɔ s ă n aː θ
אספירין	ʔ a s p i ʁ i n
אסתר	e s t e j r
אסתר	e s t e ʁ
אסתר	e s t̪ e r
אסתר	æ s t eː r
אף	ʔ a f
אפוד	ʔ e f o d
אפוד	ʔ e f o ð
אפילו	a f i l u
אפיקורוס	e p i k o r o s
אפרטהייד	a p a ʁ t h a j d
אפשר	e f ʃ a ʁ
אפשר	i f ʃ e ʁ
אפ׳חד	ʔ a f x a d
אצבע	ʔ e t͡s b a ʕ
אקונומיקה	e k o n o m i k a
ארבע	a ʁ b a
ארבע	ʔ a r b a ʕ
ארבעה	a ʁ b a a
ארבעה	ʔ a r b a ʕ a h
ארבעה	ʔ a r b ɔ ʕ ɔ
ארון	a ʁ o n
אריאל	ʔ a ʁ i ʔ e l
ארכיטקטורה	a r x i t e k t u r a
ארכנופוביה	a ʁ a χ n ɔ f ɔ b j a
ארם	ʔ a ʁ a m
ארמון	ʔ a r m o n
ארמני	a r m e n i
ארמנית	a ʁ m ɛ n i t
ארנק	a r n a k
ארנק	a ʁ n a k
ארץ	e r e s
ארץ	e ʁ e t͡s
ארץ	ʔ a r sˤ
ארץ	ʔ æ r æ sˤ
ארצות	a ʁ a t͡s o t
ארר	ʔ a ʁ a ʁ
אררט	ʔ a ʁ a ʁ a t
אשה	ʔ i ʃ a
אשור	a ʃ u ʁ
אשורית	a ʃ u ʁ i t
אשך	ʔ e ʃ e χ
אשכיים	ɛ ʃ χ a i m
אשכים	a ʃ a χ i m
אשמה	a ʃ m a
אשפה	a ʃ p a
את	e d
את	e t
את	e ɪ s
את	e θ
את	ɛ s
את	ʔ a t
את	ʔ a t t i
אתה	ʔ a t a
אתה	ʔ a t t a
אתה	ʔ a t t ɔ
אתם	ʔ a t e m
אתם	ʔ a t i m
אתמול	ʔ e t m o l
אתן	ʔ a t i n
ב־	b a
ב־	b i
באולינג	b a u̯ l i ŋ ɡ
בבל	b a v e l
בבל	b ɔː v ɛ l
בבלי	b a v l i
בבקשה	b e v a k a ʃ a
בג״ץ	b a ɡ a t s
בדולח	b d o l a χ
בדולח	æ b b ɑ d l æ
בדיוק	b e d i j u k
בדיוק	b i d j u k
בהכרח	b ə h e χ ʁ a χ
בהכרח	b ə h e χ ʁ e a χ
בהמה	b e h e m a
בהמות	b e h e m o t
בוב	b o b
בוטן	b o t e n
בוקר	b o k e ʁ
בוש־דו־רון	b u ʃ d u ʁ o n
בחוץ	b a x u t͡s
בחור	b a ħ u r
בחור	b a χ u ʁ
בחור	b ɔ χ ə r
בחייך	b e χ a j a i χ
בחייך	b e χ a j ɛ χ a
בחייך	b e χ aː j ɛ χ a
בחר	b a χ a ʁ
בטוח	b a t u a χ
בידה	b i d e
ביטא	b i t e ʔ
ביטוח	b i t u a χ
ביטוח	b i tˤː uː a ħ
בייגל	b e j ɡ e l
בין	b e n
בינה	b i n a
בית	b a j i θ
בית	b a j t
בית	b a j ɪ s
בית	b e j s
בית	b e t
בית	b e θ
בית	b eː t
בלוט	b a l u t
בלשנות	b a l ʃ a n u t
במה	b a m a
במהירות	b e m e h i ʁ u t
במהירות	b i m h i ʁ u t
במו	b e m o
במקום	b a m a k o m
במקום	b i m k o m
בן	b e n
בן	b i n
בנה	b a n a
בנות	b ɔ n o θ
בני	b a n a ɪ
בני	b n e
בני	b n i
בניין	b i n j a n
בנים	b ɔ n i m
בננה	b a n a n a
בעיה	b a a j a
בעיה	b e a j a
בעל	b a ʔ a l
בעל	b a ʕ l
בעל	b aː ʕ a l
בעל	b ɔː ʕ a l
בצל	b a t͡s a l
בקבוק	b a k b u k
בקע	b a k a
בקע	b aː q a ʕ
בקע	b e k a
בקע	b ɛ q a ʕ
בר	b a r
בראשית	b e r e ʃ i t
בראשית	b e ʁ e ʃ i t
בראשית	b æ r eː ʃ i θ
בראשית	b ə r e j ʃ i s
ברבור	b a ʁ b u ʁ
ברוך	b a ʁ u χ
ברור	b a ʁ u ʁ
ברז	b e r e z
ברח	b a ʁ a χ
בריכה	b ʁ e χ a
ברכה	b ʁ a χ a
ברציפות	b ə r ə t s i f u t
ברק	b a ʁ a k
בשל	b ə ʃ e l
בשעטו״מ	b e ʃ a a t o v a u m u t s l a χ a t
בשעטו״מ	b e ʃ a a t u m
בשר	b aː s aː r
בת	b a t
גבול	ɡ v u l
גבעה	ɡ i v a
גבר	ɡ e v e ʁ
גברבר	ɡ v a ʁ v a ʁ
גבריאל	ɡ a v ʁ i ɛ l
גג	ɡ a ɡ
גדול	ɡ a d o l
גודש	ɡ o d e ʃ
גוויה	ɡ v i j a
גוזל	ɡ o z a l
גוי	ɡ o j
גולית	ɡ o l j a t
גולן	ɡ ɔ l a n
גוף	ɡ u f
גוץ	ɡ u t͡s
גזבר	ɡ i z b a ʁ
גזל	ɡ a z a l
גיטרה	ɡ i t a ʁ a
גישור	ɡ i ʃ u ʁ
גלויה	ɡ l u j a
גלידה	ɡ l i d a
גם	d ʒ æ m
גם	ɡ a m
גמבה	ɡ a m b a
גמל	d͡ʒ a mː ɔː l
גמל	d͡ʒ ɔː m a l
גמל	d͡ʒ ɔː m ɔː l
גמל	ɡ a m a l
גן	ɡ a n
גן	ɡ ɛ n
גנב	d ʒ ɔ n æ v
גנב	ɡ a n a b
גנב	ɡ a n a v
גנב	ɡ aː n a b
גנב	ɡ aː n a v
גנב	ɡ aː n a β
גנב	ɡ ɔ n a v
גפן	d ʒ æ f æ n
גפן	d ʒ ɔː f æ n
גפן	ɡ a f e n
גפן	ɡ e f e n
גפן	ɡ ɔ f e n
גפן	ɡ ɔ f ɛ n
גפן	ɡ ɛ f ɛ n
גרב	ɡ e ʁ e v
גרון	ɡ a ʁ o n
גרש	ɡ e ʁ e ʃ
גרשם	ɡ e ʁ ʃ o m
ג׳וק	d ʒ u k
ג׳ירפה	d ʒ i ʁ a f a
דבק	d a v a k
דבק	d e v e k
דבר	d a b a r
דבר	d a v a ʁ
דבר	d aː b aː r
דבר	d ɔ v ɔ r
דבר	d̪ a v a r
דברים	d a v ɔː ʀ̟ iː m
דברים	d e b a r i m
דברים	d v a ʁ i m
דברים	d v ɔ r i m
דברים	d æ v ɔ r i m
דברים	d̪ e v a r i m
דג	d a ɡ
דג	d ɔː ɣ
דוב	d o v
דובאי	d u b a j
דובדבן	d u v d e v a n
דוגרי	d u ɡ ʁ i
דוד	d a v i d
דוד	d aː w iː ð
דוד	d o d
דוד	d o j d
דוד	d oː ð
דוד	d u d
דוד	d øː ð
דוד	d ɔ v i d
דוד	d ɔ w i ð
דוד	d ɔː w i ð
דוד	d̪ aː v i d̪
דוד	d̪ o d̪
דוח	d u a χ
דוך	d u χ
דולר	d o l a r
דיו	d i j o
דיכוי	d i k u j
דימם	d i m ɛ m
דין	d iː n
דיקטטורה	d i k t a t u ʁ a
דיר	d i ʁ
דלקת	d a l e k e t
דלת	d a l t
דלת	d e l e t
דם	d a m
דמוקרטיה	d e m o k r a t j a
דמות	d m u t
דממה	d m a m a
דן	d a n
דניאל	d a n i j e l
דעה	d e ʔ a
דעיכה	d e ʔ i χ a
דעת	d a ʔ a t
דפקט	d e f e k t
דפקתי	d a f a k t i
דקל	d e k e l
דרום	d ɔ ʀ o m
דרך	d e ʁ e χ
דרכון	d a ʁ k o n
דרקון	d a r q o n
דרקון	d a ʁ k o n
דרקון	d ʁ a k o n
דשא	d e ʃ e
דת	d a t
ד״ר	d o k t o ʁ
ה־	h a
ה־	h e
הארץ	h a ʔ a ʁ e t͡s
הארץ	h ɔ ɔ r e t͡s
הארץ	h ɔ ʔ ɔ r æ sˤ
הארץ	h ɔ ʔ ɔ ʀ ɛ sˤ
הבדיל	h i v d i l
הביא	h e v i
הבין	h e v i n
הבל	h e v e l
הבנה	h a v a n a
הבנה	h o v n e
הבנה	h ɔ v n ɛː
הדסה	h a d a s a
הוא	h u
הוא	h u w a ʔ
הודה	h o d a
הודו	h o d u
הודו	h oː d d uː
הודו	h oː ð uː
הודעה	h o d a ʔ a
הוכחה	h o χ a ħ a
הוכחה	h o χ a χ a
הומו	h o m o
הומוסקסואליות	h o m o s e k s u ʔ a l i u t
הועיל	h o ʔ i l
הועיל	h o ʕ i l
הוציא	h o t͡s i
הורדוס	h o r d o s
הורדוס	h o r d u s
הושע	h o ʃ e a
הזדיין	h i z d a j e n
הזדמנות	h i z d a m n u t
הזכיר	h i z k i ʁ
החזיק	h e χ e z i k
החזיק	h e χ z i k
היא	h iː ʔ
היה	h a j a
הייתה	h a j t a
הייתה	h a j ə t a
הייתה	h a j ɛ t a
הלחם	h e l χ e m
הלכה	h a l a χ a
הלכה	h a l χ a
הם	h i m
המן	h a m a n
הן	h i n
הנה	h e n n ɔ
הנה	h i n n e
הנה	h i n n ɔ
הסתיר	h i s t i ʁ
הסתתר	h i s t a t e ʁ
הפגין	h i f ɡ i n
הפך	h a f a χ
הפך	h e f e χ
הפעם	h a p a ʔ a m
הפרעה	h a f r a ʔ a
הפשיט	h i f ʃ i t
הצהיר	h i t͡s h i ʁ
הצטרפות	h i t s t a r f u t
הקהיל	h i k h i l
הקשיב	h i k ʃ i v
הר	h a ʁ
הראה	h e ʁ ʔ a
השואה	h a ʃ ɔ ʔ a
השם	h a ʃ ɛ m
השפעה	h a ʃ p a ŋ a
השפעה	h a ʃ p a ʔ a
השפעה	h a ʃ p a ʕ a
השפעה	h a ʃ p aː ʕ aː
השפעה	h a ʃ p ɔ ɔ
השפעה	h a ʃ p ɔ ʕ ɔ
השפעה	h æ ʃ p ɔ ʕ ɔ
השפריץ	h i ʃ p ʁ i t͡s
השקיף	h i ʃ k i f
השתכנז	h i ʃ t a k n e z
התאבד	h i t ʔ a b e d
התאבדות	h i t ʔ a b d u t
התאבל	h i t ʔ a b e l
התאגד	h i t ʔ a ɡ e d
התחרט	h i t χ a ʁ e t
התכוון	h i t k a v e n
התלכלך	h i t l a χ l e χ
התפשט	h i t p a ʃ e t
התקוממות	h i t k ɔ m ɛ m u t
התרפא	h i t ʁ a p e
ו־	w a
ובכן	u v χ ɛ n
ווק	w o k
ויילס	w e j l s
ויסקי	v i s k i
ויקיפדיה	v i k i p e d j a
ויקיפדיה	w i k i p e d j a
ויקרא	v a j i k ʁ a
וכו׳	v ə χ u l e
וכו׳	v ə χ u l u
ולא	w a l oː ʔ
וסת	v e s e t
ורד	v ɛ ʁ ɛ d
ורונה	v e r o n a
ושתי	v a ʃ t i
זאב	z e ʔ e v
זאב	z i ʔ b
זבוב	z v u v
זבל	z e v e l
זברה	z ɛ b ʁ a
זה	z ɛ
זהב	z a h a v
זהב	z ɔ h ɔ v
זהיר	z a h i ʁ
זומבי	z o m b i
זיהום	z i h u m
זיוה	z i v a
זיין	z i j e n
זיעה	z e ʕ a
זכר	z a x a r
זכר	z a x a ʁ
זכר	z u χ u r
זכר	z ɔ x ɔ r
זכר	z ɔ χ ɔ r
זמזומילה	z i m z u m i l a
זמן	z m a n
זן	z a n
זן	z ɔː n
זנה	z a n a
זרג	z é r e ɡ
זרוע	z a ʁ u a
זרוע	z i r oː ʕ
זרוע	z ă r oː a ʕ
זרוע	z ɔː r uː a ʕ
זרוע	z ʁ o a
ח	χ e t
חבל	χ a v a l
חבל	χ e v e l
חבר	x a v e j r
חבר	ħ a b e r
חבר	ħ a v e r
חבר	ħ ɔ v e r
חבר	ħ ɔ v eː r
חבר	χ a v e ʁ
חבר	χ aː b eː r
חברון	ħ ɛ v r oː n
חברון	χ e v ʁ o n
חברותא	χ a v ʁ u t a
חברתי	χ a v ʁ a t i
חברתי	χ e v ʁ a t i
חבש	x ɔ v a ʃ
חבש	ħ a v a ʃ
חבש	ħ aː b a ʃ
חבש	ħ ɔ v a ʃ
חבש	ħ ɔ v æ ʃ
חבש	χ a v a ʃ
חדר	χ a d a ʁ
חדר	χ e d e ʁ
חדש	χ a d a ʃ
חוגה	χ u ɡ a
חוה	χ a v a
חולצה	χ u l t s a
חום	χ o m
חום	χ u m
חומש	χ u m a ʃ
חוקר	χ o k e ʁ
חורג	χ o ʁ e ɡ
חורף	χ o ʁ e f
חורפי	χ o ʁ f e i̯
חורפים	χ o ʁ a f i m
חו״ל	χ u l
חזיר	χ a z i ʁ
חחח	χ a χ a χ a
חחח	χ χ χ
חטיף	χ a t i f
חטף	χ a t a f
חיבל	χ i b e l
חיות	χ i j j u t
חיטה	χ i t a
חייט	χ a j a t
חייך	χ i j ɛ χ
חיים	x a j i m
חיים	ħ a j i m
חיים	ħ æ j i m
חילדון	χ i l a d o n
חכם	x u x u m
חכם	x ɔ x ɔ m
חכם	ħ a x a m
חכם	ħ ɑː k ɑː m
חכם	ħ ɔ x ɔ m
חכם	χ a χ a m
חלב	ħ ɔ l a v
חלב	ħ ɔ l ɔ v
חלום	χ a l o m
חלומות	χ a l ɔ m ɔ t
חלון	χ a l o n
חלוץ	ħ aː l uː t s
חלוץ	ħ ɔ l u t s
חלוץ	χ a l u t s
חלוק	ħ ɔ l u q
חלוק	χ a l u k
חלל	χ a l a l
חלם	χ a l a m
חם	χ a m
חמאס	χ a m a s
חמאסניק	χ a m a s n i k
חמה	χ a m a
חמה	χ e m a
חמישה	x a m i ʃ a
חמישה	ħ a m i ʃ a h
חמישה	ħ ă m i ʃ ʃ ɔː
חמישה	χ a m i ʃ a h
חמישי	χ a m i ʃ i
חמץ	ħ a m e sˤ
חמץ	ħ a m e t s
חמץ	ħ aː m eː sˤ
חמץ	χ a m e t s
חמץ	χ ɔ m ə t s
חמש	ħ a m e ʃ
חמש	ħ ɔ m e ʃ
חמש	χ a m e ʃ
חנוכה	ħ a n u k k aː
חנוכה	χ a n u k a
חנוכייה	χ a n u k i j a
חנון	χ n u n
חנונית	χ n u n i t
חנות	ħ aː n uː θ
חנות	χ a n u t
חנ״ג	x a n a ɡ
חסד	ħ e s e d
חסד	χ e s e d
חסון	x a s o n
חסון	ħ a s o n
חסיד	χ a s i d
חפירה	ħ a f i r ɔ
חפירה	χ a f i r a
חפירה	χ a f i r ɔ
חפרע	ħ ɔ f r a ʕ
חפרע	χ o f ʁ a ʔ
חפרפרת	χ a f a ʁ p e ʁ e t
חצות	χ a t͡s o t
חרא	χ a ʁ a
חרב	χ e ʁ e v
חרדי	χ a ʁ e d i
חרדיים	χ a ʁ ɛ d i m
חרדית	χ a ʁ ɛ d i t
חרה	χ a ʁ a
חרוסת	ħ ă ʁ o s ɛ θ
חרוסת	χ a ʁ o s e t
חרטה	χ a ʁ a t a
חרמן	χ a ʁ m a n
חרת	ħ aː r a θ
חשוב	ħ a ʃ u b
חשוב	ħ a ʃ u v
חשוב	ħ aː ʃ uː b
חשוב	ħ ɔ ʃ u v
חשוב	χ a ʃ u v
חשוב	χ ɔ ʃ u v
חשף	χ a s a f
חשש	x a ʃ a ʃ
חתול	x u s i l
חתול	x ɔ s u l
חתול	ħ a t̪ u l
חתול	ħ ɔ θ u l
חתול	χ a t u l
טבעי	t i v ʔ i
טג׳יקי	t a d͡ʒ i k i
טג׳יקיסטן	t a d͡ʒ i k i s t a n
טוב	t e i̯ v
טוב	t o i̯ v
טוב	t o v
טוב	t ɔ i v
טוב	tˤ eː v
טוב	tˤ o v
טוב	tˤ oː b
טוב	tˤ øː v
טוס	t a v a s
טוס	t u s
טורסו	t ɔ ʁ s ɔ
טורף	t o ʁ e f
טכנולוגי	t e χ n o l o ɡ i
טלית	t a l e t
טלית	t a l i t
טלית	t a l l i θ
טלית	t a l l iː θ
טלית	t a l ə s
טלפון	t e l e f o n
טלפן	t i l f e n
טמפורה	t e m p u ʁ a
טראומה	t ʁ a w m a
טרול	t ʁ o l
טרוריסט	t e ʁ o ʁ i s t
טריגונומטריה	t ʁ i ɡ o n o m e t ʁ i j a
טרפנטין	tˤ ɛ ʀ p ɛ n tˤ i n
יאכטה	j a χ t a
יד	j a d
ידיד	j a d i d
ידע	j a d a
ידע	j a d̪ a ʕ
ידע	j e d a
ידע	j e d̪ a ʕ
ידע	j æ ð æ ʕ
ידע	j ɔ d a
ידע	j ɔ ð a ʕ
ידע	j ɔ ð æ ʕ
ידע	j ɛ ð a ʕ
יה	j a h
יהדות	j a h a d u t
יהודה	j e h u d a
יהודי	j e h u d i
יהודי	j ŭ h u ð i
יהושע	j e h o ʃ u a
יהי	j e h i
יובל	j o v e l
יובל	j u v a l
יוגורט	j o ɡ u ʁ t
יוחנן	j o j χ ɔ n ɔ n
יוחנן	j o ħ a n a n
יוחנן	j o ħ ɔ n ɔ n
יוחנן	j o χ a n a n
יוחנן	j oː ħ aː n aː n
יוחנן	j ø ħ ɔ n ɔ n
יוכבד	j o χ e v e d
יום	j a w m
יום	j o m
יומולדת	j ɔ m u l ɛ d ɛ t
יון	j a v a n
יון	j o n
יונה	j o n a
יונה	j oː n ɔː
יוסף	j o s e f
יוסף	j oː s i p
יזיז	j a z i z
יחזקאל	j e χ e s k e l
יחזקאל	j ə ħ ɛ z q eː l
יחי	j e χ i
יחידה	j ɛ χ i d a
ייבא	j i b e
יין	j a j i n
ייצא	j i t s e
יכול	j a χ o l
ילד	j a l a d
ילד	j e l e d
ילד	j ɔ l a ð
ילד	j ɛ l ɛ ð
ים	j a m
ינקות	j a n k u t
יסוד	j e s o d
יעל	j a ɛ l
יעקב	j a ʔ a k o v
יעקב	j a ʕ ă q o v
יער	j a ʔ a ʁ
יער	j a ʕ a ʁ
יערות	j ɛ ʕ a ʁ o t
יפה	j a f a
יפה	j a f e
יפנית	j a p a n i t
יצא	j a t s a
יצחק	j i s ħ a k
יצחק	j i sˤ ħ ɔ q
יצחק	j i t͡s x ɔ k
יצחק	j i t͡s χ a k
יצר	j a t s a ʁ
יצר	j e t s e ʁ
ירה	j a ʁ a
ירוק	j a ʁ o k
ירושה	j e ʁ u ʃ a
ירושלים	j e ʁ u ʃ a l a j i m
ירושלים	j ə r u ʃ ɔ l a j i m
ירושלים	j ə r uː ʃ aː l a j i m
ירח	j a ʁ ɛ a χ
ירח	j ɛ ʁ a χ
יריעה	j e ʁ i ʔ a
יריעה	j e ʁ i ʕ a
ירך	j a ʁ e χ
ירמיה	j i ʁ m j a
ישב	j a ʃ a v
ישב	j a ʃ e v
ישב	j a ʃ o v
ישב	j i ʃ e v
ישו	j ɛː s ʊ
ישיבה	j e ʃ i v a
ישמעאל	j i ʃ m a ʔ e l
ישמעאל	j i ʃ m a ʕ e l
ישמעאל	j i ʃ m ɔ e j l
ישמעאל	j i ʃ m ɔ ʕ e l
ישעיהו	j e ʃ a ʕ j a h u
ישראל	j i s r a ʔ e l
ישראל	j i s r aː ʔ eː l
ישראל	j i s r u a j l
ישראל	j i s r ɔ e j l
ישראל	j i s r ɔː ʔ eː l
ישראל	j i s ʁ a ʔ e l
ישראל	j i ɬ r aː ʔ i l
כאילו	k e ʔ i l u
כאילו	k i l u
כבוד	k a b o d
כבוד	k a v o d
כבוד	k aː b oː d
כבוד	k ɔ v e ð
כבוד	k ɔ v o j d
כבוד	k ɔ v ø ð
כבוד	k ɔː v oː ð
כבר	k v a ʁ
כדאי	k e d a j
כדורעף	k a d u ʁ a f
כדי	k e d e j
כוהן	k o h e n
כוהן	k o j h e n
כוהן	k oː h eː n
כוהן	k ø h e n
כוח	k o a χ
כולה	k u l a
כולו	k u l o
כולם	k u l a m
כולנו	k u l a n u
כור	k o r
כור	k u r
כורש	k o ʁ e ʃ
כוש	k u ʃ
כותב	k e ɪ̯ s e ɪ̯ v
כותב	k e θ e v
כותב	k o d̪ e v
כותב	k o t e v
כותב	k o t̪ e v
כותב	k o ɪ̯ s e ɪ̯ v
כותב	k o θ e v
כותב	k oː t eː b
כותב	k oː t i b u
כותב	k ø θ e v
כחול	k a χ ɔ l
כיוון	k i v e n
כיוון	k i v u n
כיסא	k i s e
כיפה	k i p p ɔ
כך	k a χ
ככה	k a χ a
כלב	k e l e v
כלב	k ɛ l ɛ v
כלבה	k a l b ɔ
כלבלב	k l a v l a v
כלבת	k a l l ɛ v ɛ θ
כלום	k ă l u m
כלל	k a l a l
כלל	k l a l
כמו	k e m o
כמו	k m o
כמעט	k i m ʔ a t
כן	k a n
כן	k e n
כנסת	k n e s e t
כנען	k e n a ʔ a n
כנען	k ă n a ʕ a n
כנף	k a n a f
כסת״ח	k a s t a x
כף	k a f
כפל	k a f a l
כפל	k e f e l
כרגיל	k a ʁ a ɡ i l
כרה	k a ʁ a
כרה	k e ʁ a
כרוב	k ə r uː v
כרוב	k ʁ u v
כריסטמס	k ʁ i s t m a s
כרית	k a ʁ i t
כרע	k a ʁ a ʕ
כרפס	k a r p a s
כתיבה	k e t i v a
כתיבה	k s i v ɔ
כתיבה	k t i v a
כתיבה	k æ θ i v ɔ
כתיבה	k ă θ i v ɔ
כתיתה	k t i t a
כתף	k a t e f
ל־	l a
ל־	l e
ל־	l i
ל־	l ə
לא	l o
לא	l oː ʔ
לבב	l e v a v
לבב	l e v ɔ v
לבב	l e ɪ v ɔ v
לביבה	l e v i v a
לבש	l a v a ʃ
לגם	l a ɡ a m
לגמרי	l e ɡ a m r e
לדינו	l a d i n ɔ
לדפוק	l i d f ɔ k
לדרוש	l i d ʁ o ʃ
לה	l a
לה	l ɑ h
להגמר	l e h i ɡ a m e ʁ
להקה	l a h a k a
לו	l o
לו	l u
