A	ʔ aː ˧˧
Ba Vì	ʔ ɓ aː ˧˧ v i ˨˩
Ba mươi sáu kế	ʔ ɓ aː ˧˧ m ɨ ə j ˧˧ s a w ˧˦ k e ˧˦
Ba Đình	ʔ ɓ aː ˧˧ ʔ ɗ ï ŋ ˨˩
Baidu	ʔ ɓ aː j ˧˧ ʔ ɗ u ˧˧
Ban Chấp hành Trung ương	ʔ ɓ aː n ˧˧ t͡ɕ ə p̚ ˧˦ h a j ŋ̟ ˨˩ t͡ɕ ʊ w ŋ͡m ˧˧ ʔ ɨ ə ŋ ˧˧
Ban Mê Thuột	ʔ ɓ aː n ˧˧ m e ˧˧ tʰ u ə t̚ ˧˨ ʔ
Batôlômêô	ʔ ɓ aː ˧˧ t o ˧˧ l o ˧˧ m e ˧˧ ʔ o ˧˧
Bi	ʔ ɓ i ˧˧
Bin	ʔ ɓ i n ˧˧
Binh pháp Tôn Tử	ʔ ɓ ï ŋ ˧˧ f aː p̚ ˧˦ t o n ˧˧ t ɨ ˧˩
Biên Hoà	ʔ ɓ i ə n ˧˧ h w aː ˨˩
Biên Xích	ʔ ɓ i ə n ˧˧ s ï k̟̚ ˧˦
Biển Bắc	ʔ ɓ i ə n ˧˩ ʔ ɓ a k̚ ˧˦
Biển Chết	ʔ ɓ i ə n ˧˩ t͡ɕ e t̚ ˧˦
Biển Na Uy	ʔ ɓ i ə n ˧˩ n aː ˧˧ ʔ w i ˧˧
Biển Trắng	ʔ ɓ i ə n ˧˩ t͡ɕ a ŋ ˧˦
Biển Đen	ʔ ɓ i ə n ˧˩ ʔ ɗ ɛ n ˧˧
Biển Đông	ʔ ɓ i ə n ˧˩ ʔ ɗ ə w ŋ͡m ˧˧
Biển Đỏ	ʔ ɓ i ə n ˧˩ ʔ ɗ ɔ ˧˩
Biển Đức	ʔ ɓ i ə n ˧˩ ʔ ɗ ɨ k̚ ˧˦
Biện Hàn	ʔ ɓ i ə n ˧˨ ʔ h aː n ˨˩
Biện Tài	ʔ ɓ i ə n ˧˨ ʔ t aː j ˨˩
Bo	ʔ ɓ ɔ ˧˧
Bon	ʔ ɓ ɔ n ˧˧
Brigitta	ʔ ɓ ɹ i ˧˧ z i t̚ ˧˦ t aː ˧˧
Brâu	ʔ ɓ ɹ ə w ˧˧
Buôn Ma Thuột	ʔ ɓ u ə n ˧˧ m aː ˧˧ tʰ u ə t̚ ˧˨ ʔ
Bà La Môn	ʔ ɓ aː ˨˩ l aː ˧˧ m o n ˧˧
Bà Nà	ʔ ɓ aː ˨˩ n aː ˨˩
Bàn Cổ	ʔ ɓ aː n ˨˩ k o ˧˩
Bàn Môn Điếm	ʔ ɓ aː n ˨˩ m o n ˧˧ ʔ ɗ i ə m ˧˦
Bành	ʔ ɓ a j ŋ̟ ˨˩
Bành Hồ	ʔ ɓ a j ŋ̟ ˨˩ h o ˨˩
Bá Linh	ʔ ɓ aː ˧˦ l ï ŋ ˧˧
Bác	ʔ ɓ aː k̚ ˧˦
Bác Hồ	ʔ ɓ aː k̚ ˧˦ h o ˨˩
Bác Nhĩ Truật	ʔ ɓ aː k̚ ˧˦ ɲ i ˦ˀ˥ t͡ɕ w ə t̚ ˧˨ ʔ
Bác Tôn	ʔ ɓ aː k̚ ˧˦ t o n ˧˧
Bác Đạt	ʔ ɓ aː k̚ ˧˦ ʔ ɗ aː t̚ ˧˨ ʔ
Bách	ʔ ɓ a j k̟̚ ˧˦
Bách Khoa	ʔ ɓ a j k̟̚ ˧˦ x w aː ˧˧
Bách Tế	ʔ ɓ a j k̟̚ ˧˦ t e ˧˦
Bách Việt	ʔ ɓ a j k̟̚ ˧˦ v i ə t̚ ˧˨ ʔ
Bách gia tính	ʔ ɓ a j k̟̚ ˧˦ z aː ˧˧ t ï ŋ ˧˦
Bách niên quốc sỉ	ʔ ɓ a j k̟̚ ˧˦ n i ə n ˧˧ k u ə k̚ ˧˦ s i ˧˩
Bách Độ	ʔ ɓ a j k̟̚ ˧˦ ʔ ɗ o ˧˨ ʔ
Bát Tràng	ʔ ɓ aː t̚ ˧˦ t͡ɕ aː ŋ ˨˩
Bát Xát	ʔ ɓ aː t̚ ˧˦ s aː t̚ ˧˦
Bão	ʔ ɓ aː w ˦ˀ˥
Bênađô	ʔ ɓ e ˧˧ n aː ˧˧ ʔ ɗ o ˧˧
Bênêđictô	ʔ ɓ e ˧˧ n e ˧˧ ʔ ɗ ï k̟̚ ˧˦ t o ˧˧
Bình	ʔ ɓ ï ŋ ˨˩
Bình Chánh	ʔ ɓ ï ŋ ˨˩ t͡ɕ a j ŋ̟ ˧˦
Bình Dương	ʔ ɓ ï ŋ ˨˩ z ɨ ə ŋ ˧˧
Bình Nhưỡng	ʔ ɓ ï ŋ ˨˩ ɲ ɨ ə ŋ ˦ˀ˥
Bình Phước	ʔ ɓ ï ŋ ˨˩ f ɨ ə k̚ ˧˦
Bình Thuận	ʔ ɓ ï ŋ ˨˩ tʰ w ə n ˧˨ ʔ
Bình Trị Thiên	ʔ ɓ ï ŋ ˨˩ t͡ɕ i ˧˨ ʔ tʰ i ə n ˧˧
Bình Đông	ʔ ɓ ï ŋ ˨˩ ʔ ɗ ə w ŋ͡m ˧˧
Bình Định	ʔ ɓ ï ŋ ˨˩ ʔ ɗ ï ŋ ˧˨ ʔ
Bích	ʔ ɓ ï k̟̚ ˧˦
Bính	ʔ ɓ ï ŋ ˧˦
Bò sát	ʔ ɓ ɔ ˨˩ s aː t̚ ˧˦
Bùi	ʔ ɓ u j ˨˩
Băng Cốc	ʔ ɓ a ŋ ˧˧ k ə w k͡p̚ ˧˦
Băng Đảo	ʔ ɓ a ŋ ˧˧ ʔ ɗ aː w ˧˩
Bưởi	ʔ ɓ ɨ ə j ˧˩
Bạc Liêu	ʔ ɓ aː k̚ ˧˨ ʔ l i ə w ˧˧
Bạch	ʔ ɓ a j k̟̚ ˧˨ ʔ
Bạch Cung	ʔ ɓ a j k̟̚ ˧˨ ʔ k ʊ w ŋ͡m ˧˧
Bạch Dương	ʔ ɓ a j k̟̚ ˧˨ ʔ z ɨ ə ŋ ˧˧
Bạch Hổ	ʔ ɓ a j k̟̚ ˧˨ ʔ h o ˧˩
Bạch Liên giáo	ʔ ɓ a j k̟̚ ˧˨ ʔ l i ə n ˧˧ z aː w ˧˦
Bạch Long Vĩ	ʔ ɓ a j k̟̚ ˧˨ ʔ l a w ŋ͡m ˧˧ v i ˦ˀ˥
Bạch Mã	ʔ ɓ a j k̟̚ ˧˨ ʔ m aː ˦ˀ˥
Bạch Mã Hoàng Tử	ʔ ɓ a j k̟̚ ˧˨ ʔ m aː ˦ˀ˥ h w aː ŋ ˨˩ t ɨ ˧˩
Bạch Nga	ʔ ɓ a j k̟̚ ˧˨ ʔ ŋ aː ˧˧
Bạch Tuyết	ʔ ɓ a j k̟̚ ˧˨ ʔ t w i ə t̚ ˧˦
Bạch Đằng	ʔ ɓ a j k̟̚ ˧˨ ʔ ʔ ɗ a ŋ ˨˩
Bản	ʔ ɓ aː n ˧˩
Bảo	ʔ ɓ aː w ˧˩
Bảo An	ʔ ɓ aː w ˧˩ ʔ aː n ˧˧
Bảo Bình	ʔ ɓ aː w ˧˩ ʔ ɓ ï ŋ ˨˩
Bảo Gia Lợi	ʔ ɓ aː w ˧˩ z aː ˧˧ l əː j ˧˨ ʔ
Bảo Lộc	ʔ ɓ aː w ˧˩ l ə w k͡p̚ ˧˨ ʔ
Bảy Núi	ʔ ɓ a j ˧˩ n u j ˧˦
Bắc	ʔ ɓ a k̚ ˧˦
Bắc Băng Dương	ʔ ɓ a k̚ ˧˦ ʔ ɓ a ŋ ˧˧ z ɨ ə ŋ ˧˧
Bắc Bộ	ʔ ɓ a k̚ ˧˦ ʔ ɓ o ˧˨ ʔ
Bắc Carolina	ʔ ɓ a k̚ ˧˦ k aː ˧˧ z ɔ ˧˧ l i ˧˧ n aː ˧˧
Bắc Carolina	ʔ ɓ a k̚ ˧˦ k aː ˧˧ ɹ ɔ ˧˧ l i ˧˧ n aː ˧˧
Bắc Chu	ʔ ɓ a k̚ ˧˦ t͡ɕ u ˧˧
Bắc Giang	ʔ ɓ a k̚ ˧˦ z aː ŋ ˧˧
Bắc Giải	ʔ ɓ a k̚ ˧˦ z aː j ˧˩
Bắc Hà	ʔ ɓ a k̚ ˧˦ h aː ˨˩
Bắc Hà Lan	ʔ ɓ a k̚ ˧˦ h aː ˨˩ l aː n ˧˧
Bắc Hàn	ʔ ɓ a k̚ ˧˦ h aː n ˨˩
Bắc Kinh	ʔ ɓ a k̚ ˧˦ k ï ŋ ˧˧
Bắc Kì	ʔ ɓ a k̚ ˧˦ k i ˨˩
Bắc Kạn	ʔ ɓ a k̚ ˧˦ k aː n ˧˨ ʔ
Bắc Mĩ	ʔ ɓ a k̚ ˧˦ m i ˦ˀ˥
Bắc Nguỵ	ʔ ɓ a k̚ ˧˦ ŋ w i ˧˨ ʔ
Bắc Ninh	ʔ ɓ a k̚ ˧˦ n ï ŋ ˧˧
Bắc Síp	ʔ ɓ a k̚ ˧˦ s i p̚ ˧˦
Bắc Triều Tiên	ʔ ɓ a k̚ ˧˦ t͡ɕ i ə w ˨˩ t i ə n ˧˧
Bắc Trung Bộ	ʔ ɓ a k̚ ˧˦ t͡ɕ ʊ w ŋ͡m ˧˧ ʔ ɓ o ˧˨ ʔ
Bắc Tề	ʔ ɓ a k̚ ˧˦ t e ˨˩
Bắc Tống	ʔ ɓ a k̚ ˧˦ t ə w ŋ͡m ˧˦
Bắc cực	ʔ ɓ a k̚ ˧˦ k ɨ k̚ ˧˨ ʔ
Bắc phần	ʔ ɓ a k̚ ˧˦ f ə n ˨˩
Bắc thuộc	ʔ ɓ a k̚ ˧˦ tʰ u ə k̚ ˧˨ ʔ
Bắc triều	ʔ ɓ a k̚ ˧˦ t͡ɕ i ə w ˨˩
Bắc Ái Nhĩ Lan	ʔ ɓ a k̚ ˧˦ ʔ aː j ˧˦ ɲ i ˦ˀ˥ l aː n ˧˧
Bắc Âu	ʔ ɓ a k̚ ˧˦ ʔ ə w ˧˧
Bắc Úc	ʔ ɓ a k̚ ˧˦ ʔ ʊ w k͡p̚ ˧˦
Bắc Đại Dương	ʔ ɓ a k̚ ˧˦ ʔ ɗ aː j ˧˨ ʔ z ɨ ə ŋ ˧˧
Bắc Đẩu	ʔ ɓ a k̚ ˧˦ ʔ ɗ ə w ˧˩
Bắc Đẩu Bội tinh	ʔ ɓ a k̚ ˧˦ ʔ ɗ ə w ˧˩ ʔ ɓ o j ˧˨ ʔ t ï ŋ ˧˧
Bắc Đẩu thất tinh	ʔ ɓ a k̚ ˧˦ ʔ ɗ ə w ˧˩ tʰ ə t̚ ˧˦ t ï ŋ ˧˧
Bằng Hữu	ʔ ɓ a ŋ ˨˩ h i w ˦ˀ˥
Bến Cát	ʔ ɓ e n ˧˦ k aː t̚ ˧˦
Bến Nghé	ʔ ɓ e n ˧˦ ŋ ɛ ˧˦
Bến Thành	ʔ ɓ e n ˧˦ tʰ a j ŋ̟ ˨˩
Bến Tre	ʔ ɓ e n ˧˦ t͡ɕ ɛ ˧˧
Bỉ	ʔ ɓ i ˧˩
Bỉ Lợi Thì	ʔ ɓ i ˧˩ l əː j ˧˨ ʔ tʰ i ˨˩
Bỉ Quốc	ʔ ɓ i ˧˩ k u ə k̚ ˧˦
Bỉm Sơn	ʔ ɓ i m ˧˩ s əː n ˧˧
Bọ Cạp	ʔ ɓ ɔ ˧˨ ʔ k aː p̚ ˧˨ ʔ
Bố Y	ʔ ɓ o ˧˦ ʔ i ˧˧
Bố Đại	ʔ ɓ o ˧˦ ʔ ɗ aː j ˧˨ ʔ
Bồ	ʔ ɓ o ˨˩
Bồ Tát	ʔ ɓ o ˨˩ t aː t̚ ˧˦
Bồ Tát Quan Thế Âm	ʔ ɓ o ˨˩ t aː t̚ ˧˦ k w aː n ˧˧ tʰ e ˧˦ ʔ ə m ˧˧
Bồ Đào Nha	ʔ ɓ o ˨˩ ʔ ɗ aː w ˨˩ ɲ aː ˧˧
Bờ Biển Ngà	ʔ ɓ əː ˨˩ ʔ ɓ i ə n ˧˩ ŋ aː ˨˩
Bờ Tây	ʔ ɓ əː ˨˩ t ə j ˧˧
Bụt	ʔ ɓ u t̚ ˧˨ ʔ
Bụt nhà không thiêng	ʔ ɓ u t̚ ˧˨ ʔ ɲ aː ˨˩ x ə w ŋ͡m ˧˧ tʰ i ə ŋ ˧˧
Bửu	ʔ ɓ i w ˧˩
C	k əː ˨˩
C	s e ˧˧
CCHN	t͡ɕ ɨ ŋ ˧˦ t͡ɕ i ˧˩ h a j ŋ̟ ˨˩ ŋ e ˨˩
CH	s e ˧˧ h aː t̚ ˧˦
CH	t͡ɕ əː ˨˩
CH	t͡ɕ əː ˨˩ ɲ ɛ ˧˨ ʔ
CHXHCN Việt Nam	k ə w ŋ͡m ˧˨ ʔ h w aː ˨˩ s aː ˦ˀ˥ h o j ˧˨ ʔ t͡ɕ u ˧˩ ŋ i ə ˦ˀ˥ v i ə t̚ ˧˨ ʔ n aː m ˧˧
CHXHCNVN	k ə w ŋ͡m ˧˨ ʔ h w aː ˨˩ s aː ˦ˀ˥ h o j ˧˨ ʔ t͡ɕ u ˧˩ ŋ i ə ˦ˀ˥ v i ə t̚ ˧˨ ʔ n aː m ˧˧
CLB	k ə w ˧˧ l aː k̚ ˧˨ ʔ ʔ ɓ o ˧˨ ʔ
COCC	k ɔ n ˧˧ ʔ ə w ŋ͡m ˧˧ t͡ɕ a w ˧˦ t͡ɕ aː ˧˧
Ca	k aː ˧˧
Ca Li	k aː ˧˧ l i ˧˧
Cam Bốt	k aː m ˧˧ ʔ ɓ o t̚ ˧˦
Cam Túc	k aː m ˧˧ t ʊ w k͡p̚ ˧˦
Can Chi	k aː n ˧˧ t͡ɕ i ˧˧
Can Lộc	k aː n ˧˧ l ə w k͡p̚ ˧˨ ʔ
Cang	k aː ŋ ˧˧
Canh	k a j ŋ̟ ˧˧
Canh Tuất	k a j ŋ̟ ˧˧ t w ə t̚ ˧˦
Cao	k aː w ˧˧
Cao Bằng	k aː w ˧˧ ʔ ɓ a ŋ ˨˩
Cao Câu Li	k aː w ˧˧ k ə w ˧˧ l i ˧˧
Cao Hùng	k aː w ˧˧ h ʊ w ŋ͡m ˨˩
Cao Li	k aː w ˧˧ l i ˧˧
Cao Lệ	k aː w ˧˧ l e ˧˨ ʔ
Cao Man	k aː w ˧˧ m aː n ˧˧
Cao Miên	k aː w ˧˧ m i ə n ˧˧
Cao Đài	k aː w ˧˧ ʔ ɗ aː j ˨˩
Cao Đài Tiên Ông Đại Bồ Tát Ma Ha Tát	k aː w ˧˧ ʔ ɗ aː j ˨˩ t i ə n ˧˧ ʔ ə w ŋ͡m ˧˧ ʔ ɗ aː j ˧˨ ʔ ʔ ɓ o ˨˩ t aː t̚ ˧˦ m aː ˧˧ h aː ˧˧ t aː t̚ ˧˦
Catarina	k aː ˧˧ t aː ˧˧ z i n ˧˧ n aː ˧˧
Catarina	k aː ˧˧ t aː ˧˧ ɹ i n ˧˧ n aː ˧˧
Cebu	s ɛ ˧˧ ʔ ɓ u ˨˩
Ch	s e ˧˧ h aː t̚ ˧˦
Ch	t͡ɕ əː ˨˩
Ch	t͡ɕ əː ˨˩ ɲ ɛ ˧˨ ʔ
Chi	t͡ɕ i ˧˧
Chi Na	t͡ɕ i ˧˧ n aː ˧˧
Chim	t͡ɕ i m ˧˧
Chinh	t͡ɕ ï ŋ ˧˧
Chiêm	t͡ɕ i ə m ˧˧
Chiêm Thành	t͡ɕ i ə m ˧˧ tʰ a j ŋ̟ ˨˩
Chiến	t͡ɕ i ə n ˧˦
Chiến Quốc	t͡ɕ i ə n ˧˦ k u ə k̚ ˧˦
Chiến tranh Cách mạng Mĩ	t͡ɕ i ə n ˧˦ t͡ɕ a j ŋ̟ ˧˧ k a j k̟̚ ˧˦ m aː ŋ ˧˨ ʔ m i ˦ˀ˥
Chiến tranh Lạnh	t͡ɕ i ə n ˧˦ t͡ɕ a j ŋ̟ ˧˧ l a j ŋ̟ ˧˨ ʔ
Chiến tranh Lạnh thứ hai	t͡ɕ i ə n ˧˦ t͡ɕ a j ŋ̟ ˧˧ l a j ŋ̟ ˧˨ ʔ tʰ ɨ ˧˦ h aː j ˧˧
Chiến tranh Nha phiến	t͡ɕ i ə n ˧˦ t͡ɕ a j ŋ̟ ˧˧ ɲ aː ˧˧ f i ə n ˧˦
Chiến tranh lạnh	t͡ɕ i ə n ˧˦ t͡ɕ a j ŋ̟ ˧˧ l a j ŋ̟ ˧˨ ʔ
Chiến tranh thế giới thứ hai	t͡ɕ i ə n ˧˦ t͡ɕ a j ŋ̟ ˧˧ tʰ e ˧˦ z əː j ˧˦ tʰ ɨ ˧˦ h aː j ˧˧
Chiến tranh thế giới thứ nhất	t͡ɕ i ə n ˧˦ t͡ɕ a j ŋ̟ ˧˧ tʰ e ˧˦ z əː j ˧˦ tʰ ɨ ˧˦ ɲ ə t̚ ˧˦
Chiết Giang	t͡ɕ i ə t̚ ˧˦ z aː ŋ ˧˧
Choang	t͡ɕ w aː ŋ ˧˧
Chu	t͡ɕ u ˧˧
Chu Ru	t͡ɕ u ˧˧ z u ˧˧
Chu Tước	t͡ɕ u ˧˧ t ɨ ə k̚ ˧˦
Chung	t͡ɕ ʊ w ŋ͡m ˧˧
Chà Và	t͡ɕ aː ˨˩ v aː ˨˩
Châm Ngôn	t͡ɕ ə m ˧˧ ŋ o n ˧˧
Chân Lạp	t͡ɕ ə n ˧˧ l aː p̚ ˧˨ ʔ
Chân khớp	t͡ɕ ə n ˧˧ x əː p̚ ˧˦
Châu	t͡ɕ ə w ˧˧
Châu Hải	t͡ɕ ə w ˧˧ h aː j ˧˩
Châu Úc	t͡ɕ ə w ˧˧ ʔ ʊ w k͡p̚ ˧˦
Châu Đại Dương	t͡ɕ ə w ˧˧ ʔ ɗ aː j ˧˨ ʔ z ɨ ə ŋ ˧˧
Chí Lợi	t͡ɕ i ˧˦ l əː j ˧˨ ʔ
Chí Phèo	t͡ɕ i ˧˦ f ɛ w ˨˩
Chính thống giáo	t͡ɕ ï ŋ ˧˦ tʰ ə w ŋ͡m ˧˦ z aː w ˧˦
Chó	t͡ɕ ɔ ˧˦
Chúa	t͡ɕ u ə ˧˦
Chúa Ba Ngôi	t͡ɕ u ə ˧˦ ʔ ɓ aː ˧˧ ŋ o j ˧˧
Chúa Dêu	t͡ɕ u ə ˧˦ z e w ˧˧
Chúa Trời	t͡ɕ u ə ˧˦ t͡ɕ əː j ˨˩
Chúa nhật	t͡ɕ u ə ˧˦ ɲ ə t̚ ˧˨ ʔ
Chúa ơi	t͡ɕ u ə ˧˦ ʔ əː j ˧˧
Chăm	t͡ɕ a m ˧˧
Chũ	t͡ɕ u ˦ˀ˥
Chơ Ro	t͡ɕ əː ˧˧ z ɔ ˧˧
Chương	t͡ɕ ɨ ə ŋ ˧˧
Chương Hóa	t͡ɕ ɨ ə ŋ ˧˧ h w aː ˧˦
Chất Tri	t͡ɕ ə t̚ ˧˦ t͡ɕ i ˧˧
Chế	t͡ɕ e ˧˦
Chệc	t͡ɕ e k̚ ˧˨ ʔ
Chệch	t͡ɕ ə j k̟̚ ˧˨ ʔ
Chệt	t͡ɕ e t̚ ˧˨ ʔ
Chợ Gạo	t͡ɕ əː ˧˨ ʔ ɣ aː w ˧˨ ʔ
Chợ Lớn	t͡ɕ əː ˧˨ ʔ l əː n ˧˦
Chức Nữ	t͡ɕ ɨ k̚ ˧˦ n ɨ ˦ˀ˥
Chứt	t͡ɕ ɨ t̚ ˧˦
Chử Đồng Tử	t͡ɕ ɨ ˧˩ ʔ ɗ ə w ŋ͡m ˨˩ t ɨ ˧˩
Chữ thập đỏ	t͡ɕ ɨ ˦ˀ˥ tʰ ə p̚ ˧˨ ʔ ʔ ɗ ɔ ˧˩
Clêmêntê	k l e ˧˧ m e n ˧˧ t e ˧˧
Co	k ɔ ˧˧
Con đường tơ lụa	k ɔ n ˧˧ ʔ ɗ ɨ ə ŋ ˨˩ t əː ˧˧ l u ə ˧˨ ʔ
Constantinô	k ɔ n ˧˧ s t aː n ˧˧ t i n ˧˧ n o ˧˧
Cà Lồ	k aː ˨˩ l o ˨˩
Cà Mau	k aː ˨˩ m a w ˧˧
Cà Ná	k aː ˨˩ n aː ˧˦
Cá sụn	k aː ˧˦ s u n ˧˨ ʔ
Cá xương	k aː ˧˦ s ɨ ə ŋ ˧˧
Các	k aː k̚ ˧˦
Các Thánh	k aː k̚ ˧˦ tʰ a j ŋ̟ ˧˦
Các Vua	k aː k̚ ˧˦ v u ə ˧˧
Cách mạng Tháng Tám	k a j k̟̚ ˧˦ m aː ŋ ˧˨ ʔ tʰ aː ŋ ˧˦ t aː m ˧˦
Cái Bè	k aː j ˧˦ ʔ ɓ ɛ ˨˩
Cái Răng	k aː j ˧˦ z a ŋ ˧˧
Cáp Nhĩ Tân	k aː p̚ ˧˦ ɲ i ˦ˀ˥ t ə n ˧˧
Cáp Ve	k aː p̚ ˧˦ v ɛ ˧˧
Cát Dài	k aː t̚ ˧˦ z aː j ˨˩
Cát Hải	k aː t̚ ˧˦ h aː j ˧˩
Cát Lâm	k aː t̚ ˧˦ l ə m ˧˧
Cân Xứng	k ə n ˧˧ s ɨ ŋ ˧˦
Cây Trường II	k ə j ˧˧ t͡ɕ ɨ ə ŋ ˨˩ h aː j ˧˧
Cô Bé Quàng Khăn Đỏ	k o ˧˧ ʔ ɓ ɛ ˧˦ k w aː ŋ ˨˩ x a n ˧˧ ʔ ɗ ɔ ˧˩
Cô Tô	k o ˧˧ t o ˧˧
Cô Vy	k o ˧˧ v i ˧˧
Côn Minh	k o n ˧˧ m ï ŋ ˧˧
Côn Sơn	k o n ˧˧ s əː n ˧˧
Côn Đảo	k o n ˧˧ ʔ ɗ aː w ˧˩
Công	k ə w ŋ͡m ˧˧
Công Nguyên	k ə w ŋ͡m ˧˧ ŋ w i ə n ˧˧
Công giáo	k ə w ŋ͡m ˧˧ z aː w ˧˦
Căm Bốt	k a m ˧˧ ʔ ɓ o t̚ ˧˦
CĐ	k aː w ˧˧ ʔ ɗ a ŋ ˧˩
CĐ	k ə w ŋ͡m ˧˧ ʔ ɗ ə w ŋ͡m ˨˩
CĐ	k ə w ŋ͡m ˧˨ ʔ ʔ ɗ ə w ŋ͡m ˨˩
Cường	k ɨ ə ŋ ˨˩
Cảng Thơm	k aː ŋ ˧˩ tʰ əː m ˧˧
Cấn	k ə n ˧˦
Cầm	k ə m ˨˩
Cần	k ə n ˨˩
Cần Giờ	k ə n ˨˩ z əː ˨˩
Cần Thơ	k ə n ˨˩ tʰ əː ˧˧
Cần Vương	k ə n ˨˩ v ɨ ə ŋ ˧˧
Cầu	k ə w ˨˩
Cầu Giấy	k ə w ˨˩ z ə j ˧˦
Cầu Đỏ	k ə w ˨˩ ʔ ɗ ɔ ˧˩
Cẩm	k ə m ˧˩
Cẩm Lệ	k ə m ˧˩ l e ˧˨ ʔ
Cẩm Xuyên	k ə m ˧˩ s w i ə n ˧˧
Cận Đông	k ə n ˧˨ ʔ ʔ ɗ ə w ŋ͡m ˧˧
Cồn Cỏ	k o n ˨˩ k ɔ ˧˩
Cổ Cò	k o ˧˩ k ɔ ˨˩
