a	eː
allergies	æ l ɚ d͡ʒ i z
allergy	æ l ə d ʒ i
allergy	æ l ɚ d͡ʒ i
alliterate	ə l ɪ ɾ ə ɹ e ɪ t
alliteration	ə l ɪ ɾ ə ɹ e ɪ ʃ ə n
allocated	æ l ə k e ɪ ɾ ɪ d
allocator	æ l ə k e ɪ ɾ ɚ
almanac	ɔ l m ə n æ k
alpha	æ ɫ f ə
alphabetical	æ l f ə b ɛ ɾ ɪ k ə l
Amanda	ə m ɛ ə n d ə
amatory	ɑː m ə t ə ɹ ɪ
amatory	æ m ə t ɔ ɹ i
amazing	ə m e ɪ̯ z ɪ ŋ
Amazon	ɛ ə m ə z ɑ n
amazon	ɛ ə m ə z ɑ n
amber	æ m b ɚ
amber	æ m b ɹ̩
amber	e ə̯ m b ɚ
amber	e ə̯ m b ɹ̩
amber	ɛ ə̯ m b ɚ
amber	ɛ ə̯ m b ɹ̩
ambiguity	æ m b ɪ ɡ j u ɪ ɾ i
ambiguity	æ m b ɪ ɡ j u ə ɾ i
ambiguity	ɛ ə m b ɪ ɡ j u ə t i
ambiguity	æ m b ə ɡ j u ə ɾ i
ambiguous	ɛ ə m b ɪ ɡ j u ə s
ambition	ɛ ə m b ɪ ʃ n̩
ambitiously	ɛ əː m b ɪ ʃ ə s l i
amity	ɛ ə m ɪ ɾ i
AMLC	ʔ a m l ɐ k̚
Ammon	ɛ ə̯ m ɪ̈ n
Ammonite	ɛ ə̯ m ɪ̈ n ʌ ɪ̯ t̚
Amorite	ɛ ə̯ m ɚ ʌ ɪ̯ t̚
amp	e ə̯ m p
amp	ɛ ə̯ m p
amp	eː m p
amplifier	ɛ ə m p l ə f a ɪ ɚ
amplifier	ɛ ə m p l ə f a ɪ ɹ
amplify	ɛ ə m p l ə f a ɪ
amplify	ɛ ə m p l ə f a ɪ
amply	ɛ ə m p l i
amputation	ɛ ə m p j ʊ t e ɪ ʃ ə n
an	æ n
an	a n
an	e ə n
an	ɛ ə n
an	ɛ ə n
an	æː n
an	æ n
an'	n̩
anal	e ɪ̯ n ə l
anal	e ɪ̯ n l̩
analects	æ n ə l ɛ k t s
analects	æ n ə l ɛ k s
analog	ɛ ə n ə l ɔ ɡ
analog	ɛ ə n ə l ɒ ɡ
analog	ɛ ə n ə l ɑ ɡ
analytical	ɛ ə n ə l ɪ ɾ ɪ k ɫ̩
analytical	æ n ə l ɪ ɾ ə k ɫ̩
analytical	ɛ ə n ə l ɪ ɾ ə k ɫ̩
analytically	æ n ə l ɪ ɾ ɪ k l i
analytically	ɛ ə n ə l ɪ ɾ ɪ k l i
analytics	ɛ ə n ə l ɪ ɾ ɪ k
analyze	ɛ ə n ə l a ɪ z
analyze	æː n ə l a ɪ z
analyze	æ n ə l a ɪ z
analyze	ɑ n ə l ə i̯ z
analyze	a n ə l ə i̯ z
analyzer	ɛ ə n ə l a ɪ z ɚ
analyzer	æː n ə l a ɪ z ɚ
analyzer	æ n ə l a ɪ z ɚ
analyzer	ɑ n ə l ə i̯ z ɚ
analyzer	a n ə l ə i̯ z ɚ
Anatolia	ɛ ə n ə t o ʊ l i ə
anchor	æ ŋ k ɚ
anchor	æ ŋ k ɹ̩
anchor	e ɪ̯ ŋ k ɚ
anchor	e ɪ̯ ŋ k ɹ̩
anchor	ɛ̃ ŋ k ɚ
anchor	ɛ̃ ŋ k ɹ̩
anchorage	æ ŋ kʰ ə ɹʷ ɪ d͡ʒ
anchorage	æ ŋ kʰ ɹʷ ɪ d͡ʒ
anchorage	æ ŋ kʰ ɚ ɪ d͡ʒ
anchorage	æ ŋ kʰ ɹ̩ ɪ d͡ʒ
anchorage	e ɪ ŋ kʰ ɚ ɪ d͡ʒ
anchorage	e ɪ ŋ kʰ ɹ̩ ɪ d͡ʒ
anchorage	ɛ̃ ŋ kʰ ɚ ɪ d͡ʒ
anchorage	ɛ̃ ŋ kʰ ɹ̩ ɪ d͡ʒ
Anchorage	æ ŋ kʰ ə ɹʷ ɪ d͡ʒ
Anchorage	æ ŋ kʰ ɹʷ ɪ d͡ʒ
Anchorage	æ ŋ kʰ ɚ ɪ d͡ʒ
Anchorage	æ ŋ kʰ ɹ̩ ɪ d͡ʒ
Anchorage	e ɪ ŋ kʰ ɚ ɪ d͡ʒ
Anchorage	e ɪ ŋ kʰ ɹ̩ ɪ d͡ʒ
Anchorage	ɛ̃ ŋ kʰ ɚ ɪ d͡ʒ
Anchorage	ɛ̃ ŋ kʰ ɹ̩ ɪ d͡ʒ
ancillary	ɛ n s ə l ɛ ɹ i
and	æ n d
and	a n d
and	a n d
and	a n d
and	ä n d
and	æ n d
and	e ə̯ n d
and	ɛ ə̯ n d
and	æː n d
and	eː n d
and	ɛː n d
and	ɛ n d
and	ə n d
and	n̩ d
and	n̩ ʔ
Andorra	æ n d o̞ ɹ ə
Andrew	eᵊ n d̠ ɹ̠ʷ ˔ ʊ̈ u
Andrew	æ n d̠ ɹ̠ʷ ˔ ʊ̈ u
anecdotal	æ n ɪ k d o ʊ̯ t ɫ̩
anecdotal	æ n ɪ k d o ʊ̯ ɾ ɫ̩
anecdotal	ɛ ə n ɪ k d o ʊ̯ t ɫ̩
anecdotal	ɛ ə n ɪ k d o ʊ̯ ɾ ɫ̩
anecdote	ɛ ə n ɪ k d o ʊ t
Ang	e ɪ̯ ŋ
Ang	ɛ̃ ŋ
angel	e ɪ̯ n d͡ʒ ə l
angel	e ɪ̯ n d͡ʒ l̩
anger	æ ŋ ɡ ɚ
anger	e ɪ̯ ŋ ɡ ɚ
anger	ɛ̃ ŋ ɡ ɚ
angiotensin	ɛ ə n d͡ʒ ɪ o ʊ t ɛ n s ɪ n
angle	e ɪ̯ ŋ ɡ ə l
angle	e ɪ̯ ŋ ɡ l̩
angle	ɛ̃ ŋ ɡ ə l
angle	ɛ̃ ŋ ɡ l̩
Anglia	e ɪ̯ ŋ ɡ l̥ ɪ i̯ ə
Anglia	ɛ̃ ŋ ɡ l̥ ɪ i̯ ə
anglo	æ ŋ ɡ l o ʊ̯
anglo	æ ŋ ɡ l ɔ ʊ̯
anglo	e ɪ̯ ŋ ɡ l o ʊ̯
anglo	e ɪ̯ ŋ ɡ l ɔ ʊ̯
anglo	ɛ̃ ŋ ɡ l o ʊ̯
anglo	ɛ̃ ŋ ɡ l ɔ ʊ̯
angriness	e ɪ̯ ŋ ɡ ɹʷ ɪ i̯ n ə s
angriness	ɛ̃ ŋ ɡ ɹʷ ɪ i̯ n ə s
angry	e ɪ̯ ŋ ɡ ɹʷ ɪ i̯
angry	ɛ̃ ŋ ɡ ɹʷ ɪ i̯
angst	e ɪ̯ ŋ k s t
angst	e ɪ̯ ŋ s t
angst	ɛ̃ ŋ k s t
angst	ɛ̃ ŋ s t
angsts	e ɪ ŋ k s t s
angsts	e ɪ ŋ s t s
angsty	æ ŋ k s t ɪ i̯
angsty	æ ŋ s t ɪ i̯
angsty	e ɪ̯ ŋ k s t ɪ i̯
angsty	e ɪ̯ ŋ s t ɪ i̯
angsty	ɛ̃ ŋ k s t ɪ i̯
angsty	ɛ̃ ŋ s t ɪ i̯
anguine	æ ŋ ɡ w ɪ n
anguine	e ɪ̯ ŋ ɡ w ɪ n
anguine	ɛ̃ ŋ ɡ w ɪ n
angulus	æ ŋ ɡ j ə l ə s
angulus	e ɪ̯ ŋ ɡ j ə l ə s
angulus	ɛ̃ ŋ ɡ j ə l ə s
animosity	æ n ə m ɑ s ɪ ɾ i
animosity	ɛ ə n ə m ɑ s ɪ ɾ i
ankle	e ɪ̯ ŋ kʰ ə l
ankle	e ɪ̯ ŋ kʰ l̩
Ann	e ə n
annals	ɛ ə n ə l z
Anne	e ə n
annotate	ɛ ə n ə t e ɪ t
annoy	ə n o ɪ̯
annoy	ə n ɔ ɪ̯
Anselm	æ n s ɛ l m
answer	e ə n s ɚ
answered	e ə n s ɚ d
answering	ɛ ə n s ɚ ɪ ŋ
answering	ɛ ə n s ə ɹ ɪ ŋ
ant	ɛ ə n t
ant	e ə n t
ant	ɛː n t
antagonist	ɛ ə̯ n t æ ɡ ə n ɪ s t
antagonistic	ɛ ə n t æ ɡ ə n ɪ s t ɪ k
antagonize	ɛ ə n t æ ɡ ɪ n a ɪ z
antagonize	ɛ ə n t æ ɡ ə n a ɪ z
ante	ɛ ə n t i
antenatal	ɛ ə n tʰ i n ɛ ɪː ɾ l̩
anthropic	ɛ ə n θ ɹ ɑ p ɪ k
anthropometric	ɛ ə n θ ɹ ə p ə m ɛ t ɹ ɪ k
anthropometry	ɛ ə n θ ɹ ə p ɑ m ɪ t ɹ ɪ
antibiotic	ɛ ə n t a ɪ b a ɪ ɑ ɾ ɪ k
antibiotic	ɛ ə n t ə b a ɪ ɑ ɾ ɪ k
antibiotic	ɛ ə n t i b a ɪ ɑ ɾ ɪ k
antibody	æ n t ɪ b ɑ ɾ i
antibody	ɛ ə n t ɪ b ɑ ɾ i
anticipate	ɛ ə n t ɪ s ɪ p e ɪ t
anticipate	ɛ ə n t ɪ s ə p e ɪ t
anticipation	ɛ ə n t ɪ s ə p e ɪ ʃ ə n
anticlimax	æ ɾ̃ i k l a ɪ m æ k s
antifungal	ɛ ə n t i f ʌ ŋ ɡ ə l
antifungal	ɛ ə n t a ɪ f ʌ ŋ ɡ ə l
antimatter	æ n t i m æ ɾ ɚ
antimatter	æ ɾ̃ i m æ ɾ ɚ
antimatter	æ n i m æ ɾ ɚ
antimicrobial	ɛ ə n t i m a ɪ k ɹ o ʊ b i ə l
antre	æ n ɾ ɚ
antre	æ n ɚ
anxiety	æ ŋ z a ɪ ə ɾ i
anxiety	æ ŋ z a ɪ ə ɾ i
anxiety	ɛ ŋ z a ɪ ə ɾ i
anxiety	e ɪ̯ ŋ z a ɪ ə ɾ i
anxiety	e ɪ ŋ z a ɪ ə ɾ i
anxious	æ ŋ k ʃ ə s
anxious	æ ŋ k ʃ ə s
anxious	ɛ ə̯ ŋ k ʃ ə s
anxious	e ɪ̯ ŋ k ʃ ə s
anxious	e ɪ ŋ k ʃ ə s
aortal	e ɪ ɔ ɹ ɾ ɫ̩
apathetic	æ p ə θ ɛ ɾ ɪ̈ k
app	æ ʔ p̚
appear	ə pʰ ɪ ɹ
appendices	ə pʰ ɛ n d ɪ s i z
apple	æ p ə l
apple	æ p l̩
appled	æ p ɫ̩ d
applicable	ə p l ɪ k ə b ɫ̩
applicable	æ p l ɪ k ə b ɫ̩
apply	ə p l a ɪ
apply	ə p l ɑ j
apply	ə p l a ɪ
apply	ə p l ə j
apply	ə p l ɑ ɪ
appointment	ə pʰ ɔ ɪ̯ n ʔ m ɪ n ʔ
appointment	ə pʰ ɔ ɪ̯̃ ʔ m ɪ n ʔ
approachable	ə p ɹ o ʊ t͡ʃ ə b l̩
approximation	ə p ɹ ɑ k s ɪ m e ɪ ʃ n̩
aptitude	æ p tʰ ɪ tʰ ʊ u̯ d
arbiter	ɑ ɹ b ɪ ɾ ɚ
arbitrary	ɑ ɹ b ɪ t͡ʃ ɹ̊ ɛ ɹ i
arbitration	ɑ ɹ b ə t̠͡ɹ̠ e ɪ ʃ n̩
arborvitae	ɑ ɹ b ɚ v a ɪ ɾ i
arborvitae	ɑ ɹ b ɚ v ə ɪ ɾ i
archer	ɑ ɹ t͡ʃʰ ɚ
archer	ɑ ɹ t͡ʃʰ ɹ̩
Archer	ɑ ɹ t͡ʃʰ ɚ
Archer	ɑ ɹ t͡ʃʰ ɹ̩
arena	ə ɹʷ ɪ i̯ n ə
argh	ɑ ɹ ɣ
argh	ɑː ɣː
Aristotle	æ ɹ ɪ s t ɑ ɾ ɫ̩
Aristotle	ɛ ɹ ɪ s t ɑ ɾ ɫ̩
arithmetic	ə ɹ ɪ θ m ə t ɪ k
Arkite	ɑ ɹ kʰ ʌ ɪ̯ t̚
Arlon	ɑ ɹ ɫ ɔː n
Arlon	ɑː ɫ ɔː n
armageddon	ɑ ɹ m ə ɡ ɛ ɾ ʔ n
Armenia	ɑ ɹ m i n j ə
aromatic	ɛ ɹ ə m æ ɾ ɪ k
arr	ɑ̝̹ ɹ̝ː
arr	ɑ̝̹ ɹ̻̝ː
arrest	ə ɹʷ ɛ s t
arrogative	ə ɹ ɑ ɡ ə ɾ ɪ v
arrow	æ ɹ o ʊ̯
arrow	ɛ ɹ o ʊ̯
arrow	æ ɹ ə
arthritis	ɑ ɹ θ ɹ a ɪ ɾ ɪ s
arthritis	ɑ ɹ θ ɹ ɪ ɾ ɪ s
article	ɑː ɹ ɾ ɨ k ɫ̩
article	ɑ ɹ ɾ ɨ k ɫ̩
artificial	ɑ ɹ ɾ ə f ɪ ʃ l̩
Artina	ɑ ɹ tʰ i n ə
artist	ɑ ɹ ɾ ɪ s t
artistamp	ɑ ɹ ɾ ɪ s t æ m p
as	æ z
ash	æ ʃ
Ash	æ ʃ
ashen	æ ʃ ə n
ashen	æ ʃ n̩
Asherite	æ ʃ ɚ ʌ ɪ̯ t̚
Ashley	æ ʃ l ɪ i̯
asked	æ s k̚ t
asociality	e ɪ̯ s o ʊ̯ ʃ i æ l ɪ ɾ i
assertion	ə s ɝ ʃ n̩
assessability	ə s ɛ s ə b ɪ l ə ɾ i
astaxanthin	æ s t ə z ɛ ə n θ ɪ n
Astoria	ə s t ɔ ɹ j ə
astride	ə s t ɹ̝̊ʷ a ɪ̯ d
astride	ə s t̠ ɹ̠̊ ˔ʷ a ɪ̯ d
asymptote	æ s ɪ m t o ʊ̯ t
at	æ ʔ
atavism	æ ɾ ə v ɪ z ə m
ate	eː t
Atlanta	æ t l æ ɾ̃ ə
Atlanta	æ t l æ n ə
Atlantic	æ t l æ ɾ̃ ɪ k
Atlantis	ə t̚ l æ ɾ̃ ɪ s
atom	æ ɾ m̩
atom	æ ɾ ə m
atone	ə tʰ o ʊ̯ n
attend	ə tʰ ɛ n d
attentive	ə tʰ ɛ n tʰ ɪ v
attentive	ə tʰ ɪ̟ n tʰ ɪ v
attestable	ə t ɛ s t ə b ɫ̩
attic	æ ɾ ɪ k
attitude	æ ɾ ɪ t u d
attitudinal	æ ɾ ɪ t u d ɪ n ə l
attraction	ə t ɹ æ k ʃ ɪ̈ n
attraction	ə t ɹ æ k ʃ n
attraction	ə t͡ʃ ɹ æ k ʃ ɪ̈ n
attraction	ə t͡ʃ ɹ æ k ʃ n
attributed	ə t ɹ ɪ b j ə ɾ ɪ d
attributed	ə t ɹ ɪ b ə ɾ ɪ d
attributing	ə t ɹ ɪ b j ə ɾ ɪ ŋ
attributing	ə t ɹ ɪ b ə ɾ ɪ ŋ
audacity	ɔ d æ s ɪ ɾ i
audacity	ɑ d æ s ɪ ɾ i
audible	ɔ ɾ ɪ b ə l
audible	ɑ ɾ ɪ b ə l
audience	ɔ ɾ i ə n s
audience	ɑ ɾ i ə n s
audio	ɔ ɾ i o ʊ
audio	ɑ ɾ i o ʊ
aUI	a uː iː
aunt	ɑː n t
aunt	ɑ n t
aunt	äː n t
aunt	ɐː n t
aunt	ɒː n t
aunt	ɑː n t
aunt	aː n t
aunt	äː n t
aunt	ɑː n t
aunt	æ n t
aunt	ɛ ə n t
aunt	e ə n t
aunt	a n t
aunt	ä n t
authenticity	ɑ θ ɛ n t ɪ s ɪ ɾ i
authenticity	ɑ θ ə n t ɪ s ɪ ɾ i
author	ɔ θ ɚ
author	ɔ θ ɹ̩
authority	ə θ ɔ ɹ ə ɾ i
authority	ə θ ɔ ɹ ɾ i
authority	ə θ ɑ ɹ ə ɾ i
authority	ə θ ɑ ɹ ɾ i
auto	ɔ tʰ o ʊ̯
auto	ɑ tʰ o ʊ̯
auto	ɒ tʰ o ʊ̯
auto	ɔ ɾ o ʊ̯
auto	ɑ ɾ o ʊ̯
auto	ɒ ɾ o ʊ̯
autograph	ɔ ɾ ə ɡ ɹ æ f
autoimmunity	ɑ ɾ o ʊ ɪ m j u n ɪ ɾ i
automate	ɔ ɾ ə m e ɪ t
automate	ɔ ɾ o ʊ m e ɪ t
automate	ɑ ɾ ə m e ɪ t
automate	ɑ ɾ o ʊ m e ɪ t
automate	ɒ ɾ ə m e ɪ t
automate	ɒ ɾ o ʊ m e ɪ t
automated	ɔ ɾ ə m e ɪ ɾ ɪ d
automated	ɔ ɾ o ʊ m e ɪ ɾ ɪ d
automatic	ɔː ɾ ə m æ ɾ ɪ k
automatic	ɑː ɾ ə m æ ɾ ɪ k
automatically	ɔː ɾ ə m æ ɾ ɪ k ə l i
automatically	ɔː ɾ ə m æ ɾ ɪ k l i
automatically	ɑː ɾ ə m æ ɾ ɪ k ə l i
automatically	ɑː ɾ ə m æ ɾ ɪ k l i
automation	ɔ ɾ ə m e ɪ ʃ ə n
automation	ɑː ɾ ə m e ɪ ʃ ə n
automotive	ɔ ɾ ə m o ʊ ɾ ɪ v
automotive	ɑ ɾ ə m o ʊ ɾ ɪ v
autopilot	ɔ ɾ o ʊ p a ɪ l ə t
autothrottle	ɔ ɾ o ʊ θ ɹ ɔ ɾ ə l
autumn	ɔ ɾ ɪ̈ m
autumn	ɔ ɾ m̩
autumn	ɑ ɾ ɪ̈ m
autumn	ɑ ɾ m̩
availability	ə v e ɪ l ə b ɪ l ɪ ɾ i
available	ə v e ɪ l ə b ɫ̩
avocado	ɑ v ə k ɑ d o ʊ̯
avocado	ɑ v ə k ɑ ɾ o ʊ̯
avocado	æ v ə k ɑ d o ʊ̯
avocado	æ v ə k ɑ ɾ o ʊ̯
awara	æ w ɑ ɹ ʌ
awara	ɑ w ʌ ɹ ʌ
aware	ə w ɛ ɚ
aware	ə w ɛ ɹ̩
aware	ə w eː ɾ
awe	ɔ
awe	ɑ
awe	ɒ
awful	ɔ f ɫ̩
awful	ɑ f ɫ̩
ayuh	ˀe ɪ ʌˀ
baa	b æ
baa	b ɑ
baa	b æ̰ː
baa	b æ̰ˀ æ̰ˀ æ̰ˀ æ̰ˀ
babysitter	b e ɪ̯ b ɪ i̯ s ɪ ɾ ɚ
bachelorx	b æ t ʃ ə l ɝ ɛ k s
bachelorx	b æ t ʃ ɪ l ə ɹ ɛ k s
back	b æ k
back	b a k
backbiter	b æ k b a ɪ ɾ ɚ
backdrop	b æ k d ɹ ɑ p
backdrop	b æ k d͡ʒ ɹ ɑ p
bacterial	b æ k t ɪ ə ɹ i ə ɫ
badder	b æ ɾ ɚ
Baedeker	b e ɪ d ə k ɚ
baetyl	b iː t l̩
baetyli	b iː t l̩ a ɪ
baetylus	b iː t l̩ ə s
bagel	b e ɪ̯ ɡ ɫ̩
ban	b e ə̯ n
ban	b ɛ ə̯ n
banco	b æ ŋ kʰ o ʊ̯
banco	b æ ŋ kʰ ɔ ʊ̯
banco	b e ɪ̯ ŋ kʰ o ʊ̯
banco	b e ɪ̯ ŋ kʰ ɔ ʊ̯
banco	b ɛ̃ ŋ kʰ o ʊ̯
banco	b ɛ̃ ŋ kʰ ɔ ʊ̯
band	b e ə n d
band	b ɛ ə n d
Banderite	b æ n d ə ɹ a ɪ̯ t
bandwagon	b e ə̯ n d w æ ɡ ə n
bandwagon	b ɛ ə̯ n d w æ ɡ ə n
bang	b æ ŋ
bang	b e ɪ̯ ŋ
bang	b ɛ̃ ŋ
banger	b æ ŋ ɚ
banger	b æ ŋ ɹ̩
banger	b e ɪ̯ ŋ ɚ
banger	b e ɪ̯ ŋ ɹ̩
banger	b ɛ̃ ŋ ɚ
banger	b ɛ̃ ŋ ɹ̩
bank	b æ ŋ k
bank	b a ŋ k
bank	b ɛ ŋ k
bank	b e ɪ̯ ŋ k
bank	b ɛ̃ ŋ k
banker	b æ ŋ k ɚ
banker	b æ ŋ k ɹ̩
banker	b e ɪ̯ ŋ k ɚ
banker	b e ɪ̯ ŋ k ɹ̩
banker	b ɛ̃ ŋ k ɚ
banker	b ɛ̃ ŋ k ɹ̩
banned	b e ə n d
banned	b ɛ ə n d
banter	b ɛ ə n t ɚ
baptize	b æ p t a j z
baptize	b a p t a j z
bar	b ɑ ɹ
bar	b ɑ ˞
Bardigang	b ɑ ɹ ɾ i ɡ æ ŋ
bare	b eː ~ b ɛː
barge	b ɑ ɹ d͡ʒ
barn	b ɑ ɹ n
barn	b ɑ ɻ n
barometer	b ə ɹ ɑ m ə ɾ ɚ
barre	b ɑ ɹ
barre	b ɑ ˞
barrel	b æ ɹ ə ɫ
barrel	b ɛ ɚ ə ɫ
barter	b ɑ ɹ ɾ ɚ
basal	b e ɪ z ə ɫ
bashful	b æ ʃ f ə ɫ
bashful	b æ ʃ f ʊ ɫ
bath	b æ θ ~ b ɛ ə θ ~ b e ə θ
bath	b a θ ~ b ä θ
batter	b æ ɾ ɚ
battery	b æ ɾ ə ɹ i
battle	b æ ɾ ɫ̩
battle	b æ t ɫ̩
batty	b æ ɾ i
bauble	b ɒ b ə ɫ
be	b ɪ i̯
beach	b ɪ i̯ t͡ʃ
bead	b ɪ i̯ d
beadle	b ɪ i̯ d ə l
beadle	b ɪ i̯ d l̩
beagle	b̥ iː ɡ ə ɫ
beam	b ɪ i̯ m
bean	b ɪ i n
beared	b ɛː d
beared	b ɛ ɚ̯ d
beaten	b iː t n̩
beaten	b iː ʔ n̩
beater	b i ɾ ɚ
Beatles	b ɪ i̯ tʰ ə l z
Beatles	b ɪ i̯ tʰ l̩ z
Beatles	b ɪ i̯ ɾ ə l z
Beatles	b ɪ i̯ ɾ l̩ z
beau	b o ʊ̯
beau	b ɔ ʊ̯
beautiful	b j u ɾ ə f ə l
bedding	b ɛ ɾ ɪ ŋ
beech	b ɪ i̯ t͡ʃ
been	b ɪ n
been	b ɛ n
beer	b ɪ ɚ
beer	b ɪ ɹ̩
beer	b iː ɹ
beer	b iː ɾ
beetle	b ɪ i̯ tʰ ə l
beetle	b ɪ i̯ tʰ l̩
beetle	b ɪ i̯ ɾ ə l
beetle	b ɪ i̯ ɾ l̩
beetle	b ɪ i̯ ʔ ə l
beetle	b ɪ i̯ ʔ l̩
befang	b ə f æ ŋ
befitting	b ɪ f ɪ ɾ ɪ ŋ
beg	b ɛ ɡ
beg	b e ɡ
beg	b e̝ ɡ
beg	b e ɪ̯ ɡ
begonia	b ə ɡ o ʊ n j ə
beleave	b ə l ɪ i̯ v
Belgian	b ɛ l d͡ʒ n̩
Belgium	b ɛ l d͡ʒ ɱ̩
belief	b ɪ l ɪ i̯ f
believe	b ɪ l ɪ i̯ v
believe	b ə l ɪ i̯ v
belligerent	b ə l ɪ d͡ʒ ɚ ə n t
belligerent	b ə l ɪ d͡ʒ ɹ̩ n̩ t
belt	b ɛ l t
bench	b ɛ n t͡ʃ
bench	b ɪ̟ n t͡ʃ
benefactor	b ɛ n ə f æ k tʰ ɚ
benefactor	b ɛ n ə f æ k tʰ ɹ̩
benefactor	b ɪ̟ n ə f æ k tʰ ɚ
benefactor	b ɪ̟ n ə f æ k tʰ ɹ̩
beneficial	b ɛ n ɪ f ɪ ʃ ɫ̩
beneficial	b ɛ n ə f ɪ ʃ ɫ̩
berlin	b ɚ l ɪ n
beta	b e ɪ ɾ ə
