A	a
L	e̞ l e̞
LAIA	l a i̯ a
Labaien	l a β̞ a i̯ ẽ n
Laos	l a o s̺
Lardizabal	l a r ð̞ i s̺ a β̞ a l
Lardizabal	l a r ð̞ i s̻ a β̞ a l
Lasarte	l a s̺ a r t̪ e
Legarda	l e ɣ̞ a r ð̞ a
Legazpi	l e ɣ̞ a s̺ p i
Legazpi	l e ɣ̞ a s̻ p i
Lehen	l e h ẽ n
Lehen	l ẽ n
Lekubarri	l e k u β̞ a r i
Lekunberri	l e k ũ m b e r i
Leonora	l e o n o ɾ a
Leopoldo	l e o p o l̪ d̪ o
Lerate	l e ɾ a t̪ e
Letizia	l e t̪ i s̺ i a
Letizia	l e t̪ i s̻ i a
Letonia	l e t̪ o n i a
Leza	l e s̺ a
Leza	l e s̻ a
Lezaeta	l e s̺ a e t̪ a
Lezaeta	l e s̻ a e t̪ a
Lezana	l e s̺ a n a
Lezana	l e s̻ a n a
Lezeta	l e s̺ e t̪ a
Lezeta	l e s̻ e t̪ a
Lezo	l e s̺ o
Lezo	l e s̻ o
Libano	l i β̞ a n o
Libe	l i β̞ e
Lide	l i ð̞ e
Lidia	l i ð̞ i a
Lierni	l i e r n i
Lilian	l i l i ã n
Lino	l i n o
Lionel	l i o n e l
Lirain	l i ɾ ã ĩ̯ n
Lisabe	l i s̺ a β̞ e
Lituania	l i t̪ u a n i a
Lituania	l i t̪ w a n i a
Lizardi	l i s̺ a r ð̞ i
Lizardi	l i s̻ a r ð̞ i
Lizarra	l i s̺ a r a
Lizarra	l i s̻ a r a
Luhuso	l u h u s̺ o
Luhuso	l u s̺ o
Lurra	l u r a
Luxenburgo	l u k s̺ ẽ m b u r ɣ̞ o
M	e̞ m e̞
Madariaga	m a ð̞ a ɾ i a ɣ̞ a
Madril	m a ð̞ r i l
Maite	m a i̯ t̪ e
Makaronesia	m a k a ɾ o n e s̺ i a
Makea	m a k e a
Mali	m a l i
Malin	m a l ĩ n
Malta	m a l̪ t̪ a
Maroko	m a ɾ o k o
Mayte	m a i̯ t̪ e
Mendiola	m ẽ n̪ d̪ i o l a
Mendoza	m ẽ n̪ d̪ o s̺ a
Mendoza	m ẽ n̪ d̪ o s̻ a
Miarritze	m i a r i t͡s̻ e
Mikel	m i k e l
Miren	m i ɾ ẽ n
Moldavia	m o l̪ d̪ a β̞ i a
Moldavian	m o̞ l̪ d̪ a β̞ i ã n
Mongolia	m o ŋ ɡ o l i a
N	e̞ n e̞
Nafarroa	n a f a r o a
Norvegia	n o r β̞ e ɣ̞ i a
O	o̞
OHE	o̞ e̞
OHE	o̞ ɦ e̞
OHE	o̞ β̞ j e̞ k t̪ u e̞ ɣ̞ a l a ɾ i e̞ s̻ e̞ s̻ a ɣ̞ ũ n
OHE	o̞ β̞ j e̞ k t̪ u ɦ e̞ ɣ̞ a l a ɾ i e̞ s̻ e̞ s̻ a ɣ̞ ũ n
Olano	o l a n o
Olarte	o l a r t̪ e
Ondarroa	õ n̪ d̪ a r o a
Orendain	o ɾ ẽ n̪ d̪ ã ĩ̯ n
Orreaga	o r e a ɣ̞ a
Oñati	o ɲ a t̪ i
P	p e̞
Palestina	p a l e s̺ t̪ i n a
Pandora	p ã n̪ d̪ o ɾ a
Peirahorada	p e i̯ ɾ a h o ɾ a ð̞ a
Peirahorada	p e i̯ ɾ a o ɾ a ð̞ a
Petri	p e t̪ r i
Pirinioak	p i ɾ i n i o a k
Polonia	p o l o n i a
Polonian	p o̞ l o̞ n i ã n
Portugal	p o r t̪ u ɣ̞ a l
Q	k u
R	e̞ r e̞
S	e̞ s̺ e̞
Sabin	s̺ a β̞ ĩ n
Salaberria	s̺ a l a β̞ e r i a
San	s̺ ã n
Sarriegi	s̺ a r i e ɣ̞ i
Satan	s̺ a t̪ ã n
Serbia	s̺ e r β̞ i a
Singapur	s̺ i ŋ ɡ a p u r
Sofokles	s̺ o f o k l e s̺
Suedia	s̺ u e ð̞ i a
Suitza	s̺ u i̯ t͡s̻ a
T	t̪ e̞
Ternua	t̪ e r n u a
Transnistria	t̪ r ã n z̺ n i s̺ t̪ r i a
Tunisia	t̪ u n i s̺ i a
Tunisian	t̪ u n i s̺ i ã n
Turkia	t̪ u r k i a
Txile	t͡ʃ i l e
Txina	t͡ʃ i n a
U	u
Ubalde	u β̞ a l̪ d̪ e
Ugalde	u ɣ̞ a l̪ d̪ e
Ukraina	u k r a i̯ n a
Ukrainan	u k r a i̯ n ã n
Unai	u n a i̯
Urizaharra	u ɾ i s̺ a r a
Urizaharra	u ɾ i s̻ a h a r a
Urizaharra	u ɾ i s̻ a r a
V	u β̞ e̞
Valentzia	b a l ẽ n t͡s̻ i a
Vietnam	b i e t̪ n ã m
W	u β̞ e̞ β̞ i k o̞ i̯ t͡s̻
Wikiztegia	w i k i s̺ t̪ e ɣ̞ i a
Wikiztegia	w i k i s̻ t̪ e ɣ̞ i a
X	i ʃ a
Xabier	ʃ a β̞ i e r
Xelena	ʃ e l e n a
Xemein	ʃ e m ẽ ĩ̯ n
Ximena	ʃ i m e n a
Ximon	ʃ i m õ n
Ximun	ʃ i m ũ n
Xobadin	ʃ o β̞ a ð̞ ĩ n
Xuban	ʃ u β̞ ã n
Xuntako	ʃ ũ n̪ t̪ a k o
Y	i ɣ̞ r e̞ k o̞
Z	s̻ e̞ t̪ a
Zabala	s̺ a β̞ a l a
Zabala	s̻ a β̞ a l a
Zaldarriaga	s̺ a l̪ d̪ a r i a ɣ̞ a
Zaldarriaga	s̻ a l̪ d̪ a r i a ɣ̞ a
Zaldibar	s̺ a l̪ d̪ i β̞ a r
Zaldibar	s̻ a l̪ d̪ i β̞ a r
Zangoza	s̺ a ŋ ɡ o s̺ a
Zangoza	s̻ a ŋ ɡ o s̻ a
Zarautz	s̺ a ɾ a u̯ t͡s̻
Zarautz	s̻ a ɾ a u̯ t͡s̻
Zipre	s̺ i p r e
Zipre	s̻ i p r e
Zornotza	s̺ o r n o t͡s̻ a
Zornotza	s̻ o r n o t͡s̻ a
Zubiaga	s̺ u β̞ i a ɣ̞ a
Zubiaga	s̻ u β̞ i a ɣ̞ a
Zubiri	s̺ u β̞ i ɾ i
Zubiri	s̻ u β̞ i ɾ i
Zulueta	s̺ u l u e t̪ a
Zulueta	s̻ u l u e t̪ a
Zumarraga	s̺ u m a r a ɣ̞ a
Zumarraga	s̻ u m a r a ɣ̞ a
Zuraide	s̺ u ɾ a i̯ ð̞ e
Zuraide	s̻ u ɾ a i̯ ð̞ e
Zuriñe	s̺ u ɾ i ɲ e
Zuriñe	s̻ u ɾ i ɲ e
Zuñiga	s̺ u ɲ i ɣ̞ a
Zuñiga	s̻ u ɲ i ɣ̞ a
a	a
aba	a β̞ a
ababor	a β̞ a β̞ o r
abade	a β̞ a ð̞ e
abadegai	a β̞ a ð̞ e ɣ̞ a i̯
abadegintza	a β̞ a ð̞ e ɣ̞ ĩ n t͡s̻ a
abadeki	a β̞ a ð̞ e k i
abadesa	a β̞ a ð̞ e s̺ a
abadetar	a β̞ a ð̞ e t̪ a r
abadetasun	a β̞ a ð̞ e t̪ a s̺ ũ n
abadetu	a β̞ a ð̞ e t̪ u
abadetza	a β̞ a ð̞ e t͡s̻ a
abadia	a β̞ a ð̞ i a
abadot	a β̞ a ð̞ o t̪
abagune	a β̞ a ɣ̞ u n e
abail	a β̞ a i̯ l
abaila	a β̞ a i̯ l a
abaila	a β̞ a ʎ a
abaildu	a β̞ a i̯ l̪ d̪ u
abaildura	a β̞ a i̯ l̪ d̪ u ɾ a
abakando	a β̞ a k ã n̪ d̪ o
abako	a β̞ a k o
abal	a β̞ a l
abalatu	a β̞ a l a t̪ u
abaldun	a β̞ a l̪ d̪ ũ n
abalkide	a β̞ a l k i ð̞ e
abandonatu	a β̞ ã n̪ d̪ o n a t̪ u
abandonu	a β̞ ã n̪ d̪ o̞ n u
abangoardia	a β̞ ã ŋ ɡ o̞ a r ð̞ i a
abangoardismo	a β̞ a ŋ ɡ o a r ð̞ i z̺ m o
abangoardista	a β̞ a ŋ ɡ o a r ð̞ i s̺ t̪ a
abant	a β̞ ã n̪ t̪
abantada	a β̞ ã n̪ t̪ a ð̞ a
abantaila	a β̞ ã n̪ t̪ a i̯ l a
abantaila	a β̞ ã n̪ t̪ a ʎ a
abantailatsu	a β̞ ã n̪ t̪ a i̯ l a t͡s̺ u
abantailatsu	a β̞ ã n̪ t̪ a ʎ a t͡s̺ u
abantailatsu	a β̞ ã n̪ t̪ a ʎ a t͡s̻ u
abantailatu	a β̞ ã n̪ t̪ a i̯ l a t̪ u
abantailatu	a β̞ ã n̪ t̪ a ʎ a t̪ u
abantailatuki	a β̞ ã n̪ t̪ a i̯ l a t̪ u k i
abantailatuki	a β̞ ã n̪ t̪ a ʎ a t̪ u k i
abantailos	a β̞ ã n̪ t̪ a i̯ l o s̺
abantailos	a β̞ ã n̪ t̪ a ʎ o s̺
abantailoski	a β̞ ã n̪ t̪ a i̯ l o s̺ k i
abantailoski	a β̞ ã n̪ t̪ a ʎ o s̺ k i
abantari	a β̞ ã n̪ t̪ a ɾ i
abantean	a β̞ ã n̪ t̪ e ã n
abantzamendu	a β̞ ã n t͡s̻ a m ẽ n̪ d̪ u
abantzatu	a β̞ ã n t͡s̻ a t̪ u
abantzu	a β̞ ã n t͡s̻ u
abantzuño	a β̞ ã n t͡s̻ u ɲ o
abao	a β̞ a o̞
abar	a β̞ a r
abaraska	a β̞ a ɾ a s̺ k a
abaritz	a β̞ a ɾ i t͡s̻
abarizia	a β̞ a ɾ i s̺ i a
abarizia	a β̞ a ɾ i s̻ i a
abarizti	a β̞ a ɾ i s̺ t̪ i
abarizti	a β̞ a ɾ i s̻ t̪ i
abarka	a β̞ a r k a
abarkadun	a β̞ a r k a ð̞ ũ n
abarkagile	a β̞ a r k a ɣ̞ i l e
abarkagile	a β̞ a r k a ɣ̞ i ʎ e
abarkagin	a β̞ a r k a ɣ̞ ĩ n
abarkagintza	a β̞ a r k a ɣ̞ ĩ n t͡s̻ a
abarkari	a β̞ a r k a ɾ i
abarketa	a β̞ a r k e t̪ a
abarketari	a β̞ a r k e t̪ a ɾ i
abaro	a β̞ a ɾ o
abarotsu	a β̞ a ɾ o t͡s̺ u
abarotsu	a β̞ a ɾ o t͡s̻ u
abarrakitu	a β̞ a r a k i t̪ u
abarreria	a β̞ a r e ɾ i a
abarreztatu	a β̞ a r e s̺ t̪ a t̪ u
abarreztatu	a β̞ a r e s̻ t̪ a t̪ u
abarrots	a β̞ a r o t͡s̺
abarrots	a β̞ a r o t͡s̻
abartegi	a β̞ a r t̪ e ɣ̞ i
abartsu	a β̞ a r t͡s̺ u
abartsu	a β̞ a r t͡s̻ u
abartu	a β̞ a r t̪ u
abata	a β̞ a t̪ a
abatari	a β̞ a t̪ a ɾ i
abatz	a β̞ a t͡s̻
abdikatu	a β̞ ð̞ i k a t̪ u
abdikazio	a β̞ ð̞ i k a s̺ i o
abdikazio	a β̞ ð̞ i k a s̻ i o
abdomen	a β̞ ð̞ o m ẽ n
abdukzio	a β̞ ð̞ u k s̺ i o
abdukzio	a β̞ ð̞ u k s̻ i o
abegi	a β̞ e ɣ̞ i
abegikor	a β̞ e ɣ̞ i k o r
abegitsu	a β̞ e ɣ̞ i t͡s̺ u
abegitsu	a β̞ e ɣ̞ i t͡s̻ u
abelazkuntza	a β̞ e l a s̺ k ũ n t͡s̻ a
abelazkuntza	a β̞ e l a s̻ k ũ n t͡s̻ a
abelbide	a β̞ e l β̞ i ð̞ e
abelburu	a β̞ e l β̞ u ɾ u
abeldar	a β̞ e l̪ d̪ a r
abeldun	a β̞ e l̪ d̪ ũ n
abeletxe	a β̞ e l e t͡ʃ e
abelgorri	a β̞ e l ɣ̞ o r i
abelgorriki	a β̞ e l ɣ̞ o r i k i
abeltegi	a β̞ e l̪ t̪ e ɣ̞ i
abeltzain	a β̞ e l t͡s̻ ã ĩ̯ n
abeltzainak	a β̞ e l t͡s̻ a i̯ n a k
abeltzainak	a β̞ e l t͡s̻ a ɲ a k
abeltzaini	a β̞ e l t͡s̻ a i̯ n i
abeltzaini	a β̞ e l t͡s̻ a ɲ i
abeltzainik	a β̞ e l t͡s̻ a i̯ n i k
abeltzainik	a β̞ e l t͡s̻ a ɲ i k
abeltzaintza	a β̞ e l t͡s̻ ã ĩ̯ n t͡s̻ a
abemaria	a β̞ e m a ɾ i a
abemarietako	a β̞ e m a ɾ i e t̪ a k o
abendu	a β̞ ẽ n̪ d̪ u
abenka	a β̞ e ŋ k a
abentura	a β̞ ẽ n̪ t̪ u ɾ a
abenturazale	a β̞ ẽ n̪ t̪ u ɾ a s̺ a l e
abenturazale	a β̞ ẽ n̪ t̪ u ɾ a s̻ a l e
aberasbide	a β̞ e ɾ a z̺ β̞ i ð̞ e
aberasgarri	a β̞ e ɾ a z̺ ɣ̞ a r i
aberaskeria	a β̞ e ɾ a s̺ k e ɾ i a
aberasketa	a β̞ e ɾ a s̺ k e t̪ a
aberaski	a β̞ e ɾ a s̺ k i
aberaskume	a β̞ e ɾ a s̺ k u m e
aberastasun	a β̞ e ɾ a s̺ t̪ a s̺ ũ n
aberaste	a β̞ e ɾ a s̺ t̪ e
aberastu	a β̞ e ɾ a s̺ t̪ u
aberats	a β̞ e ɾ a t͡s̺
aberats	a β̞ e ɾ a t͡s̻
abere	a β̞ e ɾ e
aberekeria	a β̞ e ɾ e k e ɾ i a
abereki	a β̞ e ɾ e k i
aberekoi	a β̞ e ɾ e k o i̯
aberetasun	a β̞ e ɾ e t̪ a s̺ ũ n
aberetiar	a β̞ e ɾ e t̪ i a r
aberetu	a β̞ e ɾ e t̪ u
aberetzar	a β̞ e ɾ e t͡s̻ a r
aberezale	a β̞ e ɾ e s̺ a l e
aberezale	a β̞ e ɾ e s̻ a l e
aberezko	a β̞ e ɾ e s̺ k o
aberezko	a β̞ e ɾ e s̻ k o
aberrazio	a β̞ e̞ r a s̻ i o̞
aberri	a β̞ e r i
aberrigabe	a β̞ e r i ɣ̞ a β̞ e
aberriratu	a β̞ e r i ɾ a t̪ u
abertzale	a β̞ e r t͡s̻ a l e
abertzalego	a β̞ e r t͡s̻ a l e ɣ̞ o
abertzalekeria	a β̞ e r t͡s̻ a l e k e ɾ i a
abertzaletasun	a β̞ e r t͡s̻ a l e t̪ a s̺ ũ n
abertzaletu	a β̞ e̞ r t͡s̻ a l e̞ t̪ u
abes	a β̞ e s̺
abesbatza	a β̞ e̞ z̺ β̞ a t͡s̻ a
abeslari	a β̞ e z̺ l a ɾ i
abestalde	a β̞ e s̺ t̪ a l̪ d̪ e
abestaldi	a β̞ e s̺ t̪ a l̪ d̪ i
abeste	a β̞ e s̺ t̪ e
abesten	a β̞ e s̺ t̪ ẽ n
abesti	a β̞ e s̺ t̪ i
abestu	a β̞ e s̺ t̪ u
abestuko	a β̞ e s̺ t̪ u k o
abia	a β̞ i a
abiaburu	a β̞ i a β̞ u ɾ u
abiada	a β̞ i a ð̞ a
abiadan	a β̞ i a ð̞ ã n
abiadura	a β̞ i a ð̞ u ɾ a
abiagailu	a β̞ i a ɣ̞ a i̯ l u
abiagailu	a β̞ i a ɣ̞ a ʎ u
abiagune	a β̞ i a ɣ̞ u n e
abialdi	a β̞ i a l̪ d̪ i
abiamen	a β̞ i a m ẽ n
abian	a β̞ i ã n
abiapuntu	a β̞ i a p ũ n̪ t̪ u
abiarazi	a β̞ i a ɾ a s̺ i
abiarazi	a β̞ i a ɾ a s̻ i
abiarazle	a β̞ i a ɾ a z̺ l e
abiarazle	a β̞ i a ɾ a z̻ l e
abiasari	a β̞ i a s̺ a ɾ i
abiatu	a β̞ i a t̪ u
abiatzaile	a β̞ i a t͡s̻ a i̯ l e
abiatzaile	a β̞ i a t͡s̻ a ʎ e
abiazio	a β̞ i a s̻ i o̞
abil	a β̞ i l
abildu	a β̞ i l̪ d̪ u
abilezia	a β̞ i l e̞ s̻ i a
abilidade	a β̞ i l i ð̞ a ð̞ e
abilki	a β̞ i l k i
abiltasun	a β̞ i l̪ t̪ a s̺ ũ n
abio	a β̞ i o̞
abioneta	a β̞ i o̞ n e̞ t̪ a
abisal	a β̞ i s̺ a l
abisatu	a β̞ i s̺ a t̪ u
abisu	a β̞ i s̺ u
abitu	a β̞ i t̪ u
abixoi	a β̞ i ʃ o i̯
abizari	a β̞ i s̺ a ɾ i
abizari	a β̞ i s̻ a ɾ i
abizen	a β̞ i s̻ ẽ̞ n
abkhazera	a β̞ k a s̻ e ɾ a
abkhazera	a β̞ x a s̺ e ɾ a
