ᄀᆞᄅᆞ	k ʌ l ʌ
ᄌᆡ조	t s ʌ j t s o
ᄎᆞᄆᆡ	t sʰ ʌ m ʌ j
ᄎᆞᆷ	t s ʌ m
ᄎᆞᆷ새	t͡ɕ ʌ m s a j
ᄑᆞᆯ	pʰ ʌ l
ᄑᆞᆾ	pʰ ʌ t͡sʰ
ᄒᆞᄅᆞ사리	h ʌ l ʌ s a l i
ᄒᆞᄫᆞᅀᅡ	h ʌ β ʌ z a
ᄒᆞᆫᄢᅴ	h ʌ n p s k ɨ j
ᄒᆞᆰ	h ʌ̀ l k
ᄒᆞ낳	h ʌ̀ n à h
ᄒᆞ다	h ʌ̀ t á
ᄒᆞ다가	h ʌ t a k a
ᄒᆞ야디다	h ʌ́ j á t ì t á
ᄒᆡ	h ʌ́ j
ᄒᆡ골	h ʌ j k o l
ᄒᆡ다	h ʌ j t a
ᄠᅡᆯ기	p t a l k i
ᄠᅳᆮ	p t ɨ t
ᄠᅳᆮ다	p t ɨ t t a
ᄠᅳᆶ	p t ɨ́ l h
ᄡᅳᆯ게	p s ɨ l k ə j
ᄡᅵ	p s í
ᄡᆞᆯ	p s ʌ́ l
ᄢᅮᆯ	p s k ú l
ᄣᅢ	p s t á j
ᄭᅩ리	s k o l i
ᄭᅮᆯ	s k ú l
ᄭᅮᆷ	s k ú m
ᄭᅯᇰ	s k w ə ŋ
ᄭᆞ자ᇰ	s k ʌ t͡s a ŋ
ᄮᅡᄒᆡ	s n a h ʌ j
ᄯᅡᇂ	s t á h
ᄯᅥᆨ	s t ə́ k
ᄯᅩ	s t o
ᄯᅩᇰ	s t ò ŋ
ᄯᅴ	s t ɨ́ j
ᄯᆞᆯ	s t ʌ́ l
ᄲᅧ	s p j ə́
ᄲᅮᆫ	s p ǔ n
ᄲᅳᆯ	s p ɨ l
ᄲᆞᄅᆞ다	s p ʌ̀ l ʌ̀ t á
ᅀᅭᇂ	z j o h
ᅀᅲᆺ	z j u s
ᅀᅵ	z ǐ
ᅀᅵᆫ간	z i n k a n
ᅘᅧ다	h͈ j ə́ t á
ᇮ	ŋ ŋ
ㅥ	n n
ㅦ	n t
ㅧ	n s
ㅨ	n z
ㅩ	l k s
ㅪ	l t
ㅫ	l p s
ㅬ	l z
ㅭ	l
ㅮ	m p
ㅯ	m s
ㅰ	m z
ㅳ	p t
ㅴ	p s k
ㅵ	p s t
ㅷ	p tʰ
ㅸ	β
ㅺ	s k
ㅻ	s n
ㅼ	s t
ㅽ	s p
ㆀ	ɣ
ㆁ	ŋ
ㆂ	ŋ s
ㆃ	ŋ z
ㆅ	h͈
ㆆ	ʔ
ㆆ	◌͈
ㆇ	* j w a
ㆇ	* w i a
ㆈ	* j w a j
ㆉ	j o j
ㆌ	j u j
가ᄉᆞᆷ	k à s ʌ́ m
가ᄫᆞᆫᄃᆡ	k à β ʌ́ n t ʌ́ j
가ᇰ아지	k a ŋ a t s i
가개	k ǎ k á j
가다	k à t á
가마괴	k à m à k ó j
가븨얍다	k a p ɨ j j a p t a
가큰도ᇰ	k à kʰ ɨ́ n t ò ŋ
가히	k à h í
각시	k à k s í
갈두	k a l t u
갊다	k ǎ l m t á
갏	k á l h
감	k a m
갓가ᄫᅵ	k à s k à β í
갓갑다	k à s k ǎ β t á
개	k á j
개	k ǎ j
개야미	k a j j a m i
거리	k ə̀ l í
거믜	k ə̀ m ɨ́ j
거붑	k ə p u p
거우루	k ə̀ ɣ ú l ù
거유	k ə̀ j ú
것ᄫᅡᅀᅵ	k ə̀ s β à z í
겨ᅀᅳᆶ	k j ə̀ z ɨ́ l h
겨시다	k j ə s i t a
겨집	k j ə̌ t͡s ì p
겻다	k j ə̀ s k t á
곁	k j ə̀ tʰ
계우다	k j ə̀ j ɣ ú t á
고ᄋᆞ다	k o ʌ t a
고기	k ò k í
고디식다	k ò t í s ì k t á
고마	k ò m á
고마	k ǒ m á
고마ᄂᆞᄅᆞ	k ò m á n ʌ̀ l ʌ̀
고마ᄒᆞ다	k ŏ m á h ʌ̀ t á
고지	k o t s i
고키리	k o kʰ i l i
골	k ǒ l
곰ᄇᆡ	k o m p ʌ j
곶	k ò t͡s
곶	k ó t͡s
곻	k ó h
과ᇰ대	k w ǎ ŋ t á j
괴	k o j
괴다	k ǒ j t á
괴오다	k o j ɣ o t a
구겨ᇰ	k ù k j ə́ ŋ
구레	k u l ə j
구룸	k u l u m
구무	k ù m ù
구믈구믈	k u m ɨ l k u m ɨ l
국	k u k
국슈	k u k s j u
굴에	k u l ɣ ə j
굴허ᇰ	k ù l h ə́ ŋ
굵다	k u l k t a
굿	k ú s
귀	k ú j
귀믿터리	k w i m i t tʰ ə l i
그ᅀᅳ다	k ɨ̀ z ɨ̀ t á
그ᅌᅥ긔	k ɨ ŋ ə k ɨ j
그릏	k ɨ l ɨ h
그리다	k ɨ́ l í t á
근원	k ɨ̀ n w ə̀ n
글	k ɨ́ l
글ᄫᅡᆯ	k ɨ l β a l
금즉	k ɨ m t s ɨ k
긋다	k ɨ z t a
긋다	k ɨ̀ t͡sʰ t á
긑	k ɨ́ tʰ
긔ᄌᆞ	k ɨ j t͡s ʌ
긔디	k ɨ j t i
기드리다	k ì t ɨ́ l í t á
기름	k ì l ɨ́ m
기름믈	k i l ɨ m m ɨ l
기릐	k i l ɨ j
길	k ǐ l
길나다	k i l n a t a
긿	k í l h
깃다	k ì s k t á
깃다	k ì t͡sʰ t á
깃브다	k i s p ɨ t a
나ᄇᆡ	n a b ʌ j
나ᄋᆞᆯ	n a ɣ ʌ l
나ᅀᅵ	n a z i
나랗	n à l à h
나모	n à m ò
나좋	n à t͡s ò h
나타	n à h t á
낟다	n à t t á
낟다	n à tʰ t á
날	n á l
남진	n à m t͡s ì n
낮	n á t͡s
낳	n á h
내죠ᇰ	n a j t͡s j o ŋ
냏	n ǎ j h
너	n ə̀
넌즈시	n ə̀ n t͡s ɨ̀ s í
넙다	n ə p t a
넿	n ə̌ j h
녀다	n j ə t a
녀름	n j ə̀ l ɨ́ m
노올	n o ɣ o l
노타	n ò h t á
논	n ó n
놀애	n ò l ɣ á j
높다	n o pʰ t a
누	n ú
누ᇈ믈	n ú n z m ɨ́ l
누리	n ù l í
누의	n ù ɨ̀ j
눈	n ú n
눈	n ǔ n
니르ᅘᅧ다	n i l ɨ x j ə t a
니맣	n ì m á h
닐굽	n ì l k ú p
닐웨	n i l ɣ w ə j
닐위다	n i l ɣ u j t a
님	n ǐ m
님금	n i m k ɨ m
닙다	n ì p t á
닢	n í pʰ
다	t ǎ
다ᄉᆞᆺ	t à s ʌ́ s
다대골	t à t à j k ǒ l
다로ᇰ디리	t a l o ŋ t i l i
달ᄠᅳ다	t a l p t ɨ t a
달내	t a l n a j
닷쇄	t a s s w a j
더	t ə̀
더디다	t ə t i t a
뎔	t j ə́ l
도ᄌᆞᆨ	t ò t͡s ʌ̀ k
도ᇰᄉᆡᇰ	t o ŋ s ʌ j ŋ
도ᇰ모	t o ŋ m o
도로ᄒᆞ다	t o l o h ʌ t a
도산	t o s a n
독	t ò k
독	t ó k
돌숫	t o l s u s
돓	t ǒ l h
돗가비	t ó s k à p í
돗귀	t o s k u j
돝	t ò tʰ
되	t ǒ j
됴타	t j ǒ h t á
두루걷다	t u l u k ə t t a
두루치	t u l u t͡sʰ i
둟	t ǔ l h
뒿	t w ǐ h
드러치다	t ɨ̀ l ə́ t͡s í t á
드릏	t ɨ̀ l ɨ́ h
듣글	t ɨ t k ɨ l
듫	t ɨ̌ l h
듬바되	t ɨ̀ m p à t ó j
디히	t ì h í ~ t í h í
딮	t i pʰ
렴토ᇰ	l j ə m tʰ o ŋ
림ᄇᆡ	l i m p ʌ j
마ᄂᆞᆯ	m à n ʌ́ l
마ᅀᆞᆫ	m a z ʌ n
마고	m à k ó
마시다	m a s i t a
마치	m a t sʰ i
만ᄒᆞ다	m ǎ n h ʌ̀ t á
말	m á l
말	m ǎ l
말ᄊᆞᆷ	m ǎ l s͈ ʌ̀ m
말ᄒᆞ다	m ǎ l h ʌ̀ t á
말ᄫᅡᆷ	m a l β a m
말하	m à l h á
맛ᄀᆞᆱ다	m a s k ʌ l m t a
맣	m à h
머섬	m ə s ə m
머툰ᄂᆞᄅᆞ	m ə tʰ u n n ʌ l ʌ
멋다	m ə̀ t͡s t á
멎	m ə̀ t͡s
며주	m j ə t͡s u
모ᄀᆡ	m ó k ʌ́ j
모ᄃᆡ	m ǒ t ʌ́ j
목	m ò k
몬ᄌᆡ	m o n t͡s ʌ j
몰애	m ò l ɣ á j
몸	m ó m
뫼ᅀᅡ리	m ǒ j z à l í
묏괴	m ǒ j s k ǒ j
묗	m ǒ j h
무ᅀᅮ	m ù z ù
무뤂	m ù l ù pʰ
무뤼	m ú l ú j
뭍	m ù tʰ
뮈다	m u j t a
므스	m ɨ s ɨ
므슥	m ɨ s ɨ k
므슴	m ɨ s ɨ m
므슷	m ɨ s ɨ s
므즤다	m ɨ t͡s ɨ j t a
믈	m ɨ́ l
믈뎜	m ɨ l t j ə m
믌결	m ɨ l s k j ə l
믿다	m i t t a
밋다	m ì t͡s t á
밑	m ì tʰ
바ᄂᆞᆯ	p a n ʌ l
바ᄅᆞᆯ	p à l ʌ́ l
바ᇧ	p à s k
바ᇰ올	p a ŋ ɣ o l
바다ᇰ	p a t a ŋ
바닿	p à t á h
바독	p à t ó k
바독범	p à t ó k p ə̌ m
바디	p a t i
바오달	p à ɣ ò t á l
바톨	p a tʰ o l
발	p á l
발	p ǎ l
밤	p á m
밤	p ǎ m
밥고리	p a p k o l i
밭	p à tʰ
버슷	p ə s ʌ s
버히다	p ə̀ h í t á
벌	p ə̌ l
벌에	p ə̀ l ɣ ə́ j
범	p ə̌ m
벗다	p ə̀ s t á
벼기다	p j ə k i t a
별	p j ə̌ l
보다	p ò t á
보로	p o l o
보믜	p o m ɨ j
복셔ᇰ화	p o k s j ə ŋ h w a
봄	p ó m
부루	p u l u
부텨	p ù tʰ j ə̀
분별	p ù n p j ə́ l
붇	p u t
불무	p ù l m ù
불휘	p ù l h ú j
붚	p ú pʰ
뷔	p u j
브ᅀᅥᆸ	p ɨ̀ z ə̀ p
브릇그다	p ɨ̀ l ɨ̀ s k ɨ́ t á ~ p ɨ̀ l ɨ́ s k ɨ́ t á
븓잡다	p ɨ t t s a p t a
블	p ɨ́ l
븕다	p ɨ l k t a
비	p í
비ᅀᅳ다	p ì z ɨ̀ t á
비타	p ì h t á
빈혀	p i n h j ə
빋	p i t
빛	p í t͡sʰ
사ᄅᆞᆷ	s ǎ l ʌ̀ m
사ᄫᅵ	s à β í
사ᇰ화	s a ŋ h w a
사회	s à h ó j
산ᄒᆡᇰ	s à n h ʌ̀ j ŋ
살	s á l
삿기	s à s k í
새	s á j
새	s ǎ j
새로	s a j l o
샤님	s j ǎ n ǐ m
샤오ᇰ	s j ǎ ò ŋ
설	s ə̌ l
설믜	s ə l m ɨ j
섬	s ə́ m
셓	s ə̌ j h
셔ᄫᅳᆯ	s j ə̌ β ɨ̀ l h
셗	s j ə̀ k s
셗	s j ə́ k s
션ᄇᆡ	s j ə n p ʌ j
션ᄉᆡᇰ	s j ə n s ʌ j ŋ
셜흔	s j ə̀ l h ɨ́ n
셤	s j ə́ m
셤	s j ə̌ m
셰ᄃᆡ	s j ə j t ʌ j
셰다	s j ə j t a
소ᄅᆡ	s o l ʌ j
소곰	s ò k ò m
소얌	s o j a m
소옴	s ò ɣ ò m
손	s ò n
손	s ó n
솔	s ó l
솔	s ǒ l
솝	s o p
솥	s ò tʰ
솨줄	s w à t͡s ú l
쇄ᅀᆞ	s w a j z ʌ
쇠	s ó j
쇼	s j o
수ᇧ	s u s k
수울	s ù ù l
수을	s ù ɨ̀ l
술위	s u l ɣ u j
숳	s u h
쉰	s ǔ j n
슈룹	s j ù l ú p
슈신	s j ù s ì n
스스ᇰ	s ɨ s ɨ ŋ
스싀로	s ɨ s ɨ j l o
싀어버ᅀᅵ	s ɨ j ə p ə z i
시긧벼ᇰ	s ì k ɨ̀ j s p j ə̌ ŋ
시냏	s ǐ n ǎ j h
신	s í n
실	s ǐ l
심바ᇰ	s ì m p à ŋ
아ᄃᆞᆯ	à t ʌ́ l
아ᄅᆞᆷ답다	a l ʌ m t a β t a
아ᄎᆞᆫᄯᅡᆯ	a t sʰ ʌ n s t a l
아ᄎᆞᆷ	à t͡sʰ ʌ́ m
아ᄒᆡ	à h ʌ́ j
아ᅀᆞ	à z ʌ̀
아ᅀᆞᆷ	a z ʌ m
아ᇡ	a m h
아기	á k ì
아니	a n i
아으	a ɨ
아직	à t͡s í k
아질게	a t s i l k ə j
아홉	à h ó p
안도도다	a n t o t o t a
안직	à n t͡s í k
안직	á n t͡s ì k
안해	a n h a j
않	á n h
앒	à l pʰ
애	ǎ j
야ᇰ	j a ŋ
어ᅀᅵ	ə̀ z í
어듸	ə t ɨ j
어려ᄫᅮᆷ	ə l j ə β u m
어른	ə l ɨ n
어버ᅀᅵ	ə̀ p ə̀ z í
어비ᄆᆞᆮ	ə̀ p í m ʌ̀ t
언	ə n
언마	ə n m a
얼우다	ə l ɤ u t a
얼운	ə̌ l ɣ ú n
얼이다	ə̀ l ɣ í t á
업시	ə p s i
에ᇰ	ə j ŋ
에우다	ə̀ j ɣ ú t á
여ᄉᆔᆫ	j ə s j u j n
여ᅀᅳ	j ə̀ z ɨ̀
여ᅀᆞ	j ə̀ z ʌ̀
여다	y ə̌ l t á
여듧	j ə t ɨ l p
여름	j ə̀ l ɨ́ m
여희다	j ə̀ h ɨ́ j t á
엻	j ə̀ l h
엻	j ə́ l h
예	j ə̌ j
오다	o t a
오라비	ó l à p í
오래	o l a j
온	ó n
올ᄒᆡ	o l h ʌ j
올히	ó l h ì
옷	ò s
옷	ó s
외	ǒ j
요ᄉᆞᅀᅵ	j o s ʌ z i
요조ᅀᆞᆷ	j ó t͡s ò z ʌ́ m
우다	ǔ l t á
우르다	u l ɨ t a
우리	ù l í
우리	ú l í
우워ᇰ	u w ə ŋ
움즈기다	u m t s ɨ k i t a
웋	ù h
위	ǔ j
위ᄒᆞ다	ǔ j h ʌ̀ t á
음란	ɨ̀ m l á n
읏듬	ɨ s t ɨ m
이ᄅᆞ삶다	i l ʌ s a l m t a
이ᅀᅵᇰ개	í z ì ŋ k á j
이ᅌᅥ긔	ì ŋ ə̀ k ɨ́ j
이력ᄒᆞ다	i l j ə k h ʌ t a
이바디	i p a t i
이웆	ì ú t͡s
일	í l
일	ǐ l
일벗다	ì l p ə̀ z t á
일홈	i l h o m
잇다	ì s t á
잇브다	i s p ɨ t a
자내	t s a n a j
자최	t͡s à t͡sʰ ó j
잣	t͡s á s
잣	t͡s ǎ s
쟈ᇰᅀᅵᆫ	t s j a ŋ z i n
저우룸	t͡s ə u l u m
저프다	t͡s ə̀ pʰ ɨ̀ t á
적	t͡s ə̀ k
제	t͡s ə́ j
져	t s j ə
져차다	t͡s j ə t͡sʰ a t a
젼툐	t s j ə n tʰ j o
졎	t͡s j ə́ t͡s
조각	t͡s ò k à k
죠ᄒᆡ	t s j o h ʌ j
죽다	t͡s ù k t á
죽사리	t͡s ù k s à l í
쥬련	t͡s j u l j ə n
즈ᇫ	t͡s ɨ̌ z
즈믄	t s ɨ m ɨ n
즘게	t͡s ɨ̀ m k ə́ j
지극	t͡s í k ɨ́ k
지다	t s i t a
지타	t͡s i h t a
진딧	t͡s ì n t í s
집	t͡s ì p ˨
집웋	t s i p u h
처ᅀᅥᆷ	t͡sʰ ə́ z ə̀ m
쳔	t͡sʰ j ə̀ n
쳔	t͡sʰ j ə̌ n
츩	t sʰ ɨ l k
칩다	t sʰ i p t a
코ᇰ	kʰ ò ŋ
코ᇰᄑᆞᆺ	kʰ o ŋ pʰ ʌ s
쾅지	kʰ w a ŋ t s i
크다	kʰ ɨ́ t á
큰림금	kʰ ɨ n l i m k ɨ m
텬쳐ᇰ빛	tʰ j ə n t sʰ j ə ŋ p i t sʰ
토ᇰᄉᆡ	tʰ o ŋ s ʌ j
투먼가ᇰ	tʰ ù m ə́ n k à ŋ
파라ᄒᆞ다	pʰ a l a h ʌ t a
편지	pʰ j ə̌ n t͡s ǐ
푸	pʰ u
푸ᇰ륫갓	pʰ u ŋ l j u s k a s
프ᅀᅥᇰ귀	pʰ ɨ z ə ŋ k u j
프르다	pʰ ɨ l ɨ t a
플	pʰ ɨ l
피	pʰ í
하ᄂᆞᆶ	h à n ʌ́ l h
하다	h à t á
한어버ᅀᅵ	h a n ə p ə z i
할타	h à l h t á
화ᇰ뎨	h w a ŋ t j ə j
훗기	h u s k i
흐리눅다	h ɨ l i n u k t a
흘게	h ɨ l k ə j
힐후다	h i l h u t a
힘	h í m
