ܐܒ	o b
ܕܪܒܝܢ	d o r b i n e
ܕܪܒܝܢ	d o r b i n a t
ܗܘܐ	h a w o
ܗܘܟܐ	h a w x a
ܗܝܐ	h a j o
ܗܝܝܐ	h i j e
ܗܝܝܐ	h i j a
ܗܢܐ	h a n o
ܗܢܝ	h a n i
ܗܢܟ	h a n ə k
ܗܢܢܐ	h ə n n e
ܗܬ	h a t
ܗܬܐ	h a θ e
ܗܬܘ	h a t u
ܙܒܢ	ʒ b o n
ܙܢܔܝܪ	z ə n d͡ʒ i r
ܙܢܔܝܪ	z a n a d͡ʒ i r
ܙܢܢܟܐ	ʒ ə n n ə k e
ܙܢܢܟܐ	ʒ ə n n ə k a t
ܙܥܘܪܐ	z ʕ u r o
ܙܥܘܪܐ	z ʕ u r t o
ܙܥܘܪܐ	z ʕ u r e
ܚܐ	ħ a
ܚܒܘܫܐ	ħ a b u ʃ o
ܚܕܐ	ħ ð o
ܚܕܥܣܪ	ħ ð a ʕ s a r
ܚܘܪܐ	ħ e w o r o
ܚܘܪܐ	ħ a w r o
ܚܙܝܪܢ	ħ z i r ə n
ܚܡܪܐ	ħ m o r o
ܚܡܪܐ	ħ a m r o
ܚܡܫܐ	ħ a m ʃ o
ܚܡܫܝ	ħ a m ʃ i
ܚܡܫܥܣܪ	ħ a m ʃ a ʕ s a r
ܚܬܐ	ħ o θ o
ܛܒܒܟ	t ə b b a x
ܛܓܢܐ	t a ɣ n o
ܛܝܐ	tˤ a j o
ܝܘܡܐ	j a w m o
ܝܘܡܐ	j a w m e
ܝܡܐ	j ɑ m o
ܝܡܐ	j ɑ m e
ܝܪܚܐ	j a r ħ o
ܝܪܚܐ	j a r ħ e
ܝܫܘܥ	j ə ʃ u ʕ
ܟܓܬ	k a ɣ a t
ܟܓܬ	k a ɣ a t e
ܟܓܬ	k a ɣ a t a t
ܟܝܐ	k y o
ܟܝܐ	k y e
ܟܝܝܣܐ	k a y i s o
ܟܟܐ	k a k o
ܟܟܐ	k a k e
ܟܠܒܐ	k a l b o
ܟܠܠܐ	k a l l ɑ
ܟܠܠܐ	k a l l ɑ u a t
ܟܠܠܐ	k a l l ɑ u e
ܟܡܐ	k o m o
ܟܡܐ	k m o
ܟܫܫܟܐ	k a t͡ʃ t͡ʃ ə k e
ܟܫܫܟܐ	k a t͡ʃ t͡ʃ ə k a t
ܟܬܘܐ	k θ o w o
ܟܬܘܐ	k θ o w e
ܟܬܦܐ	k a t f o
ܟܬܦܐ	k a θ p o
ܟܬܦܐ	k a t f o θ e
ܟܬܦܐ	k a θ p o θ e
ܠܐܠܐ	l ɑ l o
ܠܐܠܐ	l ɑ l e
ܠܗܒܟ	l ə h b o k
ܠܗܒܟ	l ə h b o k e
ܠܚܡܐ	l a ħ m o
ܠܠܠܐ	l a l l e
ܠܠܠܐ	l a l l o θ e
ܡܐ	m o
ܡܐ	m e
ܡܓܠܝܘܢ	m ɡ a l y u n
ܡܓܠܝܢ	m ɡ a l y ə n
ܡܓܠܝܢ	m ɡ a l y o n
ܡܓܠܝܢ	m ɡ a l i n
ܡܕܐ	m e d e
ܡܕܐ	m e d o n e
ܡܝܐ	m ɑ y e
ܡܠܟܐ	m a l k o
ܡܡܡܐ	m a m m o
ܡܡܡܐ	m a m m o
ܡܣܟܝܢܐ	m ə s k i n o
ܡܣܟܝܢܐ	m ə s k i n e
ܡܫܚܐ	m ə ʃ ħ o
ܡܫܚܐ	m ə ʃ ħ e
ܡܬܐ	m a θ e
ـܢܐ	a n o
ـܢܝ	a n i
ܢܝܣܢ	n i s ə n
ܢܫܪܐ	n ə ʃ r o
ܢܫܪܐ	n ə ʃ r e
ܣܘܪܓܕܐ	s u r ɡ o ð o
ܣܘܪܓܕܐ	s u r ɡ o ð e
ܣܟܡܒܝܠ	s k a m b i l
ܣܥܐ	s a ʕ a
ܣܥܬ	s a ʕ a t
ܣܬܘܐ	s a θ w o
ܥܙܪܐ	ʕ ə z r o
ܥܝܣܩܬܐ	ʕ i s a q θ o
ܥܝܣܩܬܐ	ʕ i s a q y o θ e
ܥܣܟܪ	ʕ a s k a r
ܥܣܟܪ	ʕ a s k a r
ܥܣܟܪ	ʕ a s e k ə r
ܥܣܪܐ	ʕ a sˤ r o
ܥܣܪܝ	ʕ ə ʃ r i
ܦܘܚܐ	f u ħ o
ܦܘܚܐ	f u ħ e
ܨܢܝـܝܐ	sˤ a n i j e
ܨܢܝـܝܬ	sˤ a n i j a t
ܨܦܪܐ	sˤ a f r o
ܨܪܬܐ	sˤ ə r t o
ܩܘܪܐ	q a w r o
ܩܛܝܢܬܐ	q a tˤ i n o θ e
ܩܛܢܬܐ	q a tˤ ə n t o
ܩܝܛܐ	q a j tˤ o
ܩܡܝܐ	q a m o j o
ܩܡܣܬܐ	q m ə s t ɒ
ܩܪܩܘܪܐ	q a r q u r o
ܩܪܩܘܪܐ	q a r q u r e
ܪܒܝܥܝܐ	r b i ʕ o j o
ܪܒܥ	r a b ə ʕ
ܪܦܦܐ	r f o f o
ܪܦܦܐ	r f o f e
ܫܐܓ	t͡ʃ ɑ ɣ
ܫܐܓܬ	t͡ʃ ɑ ɣ a t
ܫܒܐ	ʃ a b e
ܫܒܬܐ	ʃ a b θ o
ܫܘܚܠܦܐ	ʃ u ħ l o f o
ܫܘܚܠܦܐ	ʃ u ħ l o f e
ܫܘܥܐ	ʃ a w ʕ o
ܫܘܥܝ	ʃ a w ʕ i
ܫܘܥܣܪ	ʃ w a ʕ s a r
ܫܝܟܐ	t͡ʃ i k e
ܫܝܪܟܐ	t͡ʃ i r o k e
ܫܝܪܟܐ	t͡ʃ i r o k a t
ܫܡܐ	ʃ m o
ܫܡܬܐ	ʃ a m θ o
ܫܢܓܐ	t͡ʃ a n ɡ e
ܫܢܓܐ	t͡ʃ a n ɡ a t
ܫܢܛܐ	ʃ a n tˤ a
ܫܢܛܐ	t͡ʃ a n tˤ a
ܫܢܨ	ʃ a n sˤ
ܫܢܨ	ʃ a n sˤ a t
ܫܥܐ	ʃ o ʕ e
ܫܥܬܐ	ʃ o ʕ θ o
ܫܩܡܩ	t͡ʃ ə q m a q
ܫܩܡܩ	t͡ʃ ə q m a q a t
ܫܫܫܐ	t͡ʃ a t͡ʃ t͡ʃ e
ܫܫܫܐ	t͡ʃ a t͡ʃ t͡ʃ a t
ܫܬܐ	ʃ a t o
ـܬܐ	a θ e
ܬܠܝܬܝܐ	t l i θ o j o
ܬܠܬܐ	t l o θ o
ܬܠܬܝ	t l e θ i
ܬܠܬܡܐ	t l ə θ m o
ܬܠܬܥܣܪ	t l o θ a ʕ s a r
ܬܡܙ	t a m ə z
ܬܡܢܝ	t m o n i
ܬܡܢܝܐ	t m a n j o
ܬܡܢܥܣܪ	t m o n a ʕ s a r
ܬܪܐ	t r e
ܬܪܝܢܐ	t r a j o n o
ܬܪܥܣܪ	t r a ʕ s a r
ܬܫܥܐ	t ə ʃ ʕ o
ܬܫܥܝ	t ə ʃ ʕ i
ܬܫܥܣܪ	t ʃ a ʕ s a r
ܬܫܪܝܬܐ	t ə ʃ r o j o θ e
