А̄дз	ɑː d͡z
роббот	r o bː o t
руошлынч	r u̯ o ʃ ɫ ɨ n t͡ʃ
саннҍ	s ɑ nʲː
сессь	sʲ ɛ sʲː
силлп	sʲ i ɫː p
сиѵнись	sʲ i w ɲ i sʲ
соһпь	s o hʲ pʲ
суоһпь	s u̯ o h pʲ
суххс	s u xː s
суэлл	s u̯ ɛ ɫː
суэлль	s u̯ ɛ ʎː
суэппесь	s u̯ ɛ pʲː ɛ sʲ
сэррв	s ɛ rː v
сямьй	sʲ ɑ mʲ j
таббэк	t ɑ bː ɛ k
талльв	t ɑ lʲː v
таххт	t ɑ xː t
толл	t o ɫː
тулльв	t u ʎː v
тыт	t ɨ t
тӓт	tʲ a t
уввй	u vː j
уххс	u xː s
уцць	u t͡sʲː
целльке	t͡sʲ ɛ ʎː kʲ ɛ
церрик	t͡sʲ ɛ rʲː k
цэдзиш	t͡s ɛ d͡zʲ i ʃ
чаһппат	t͡ʃ ɑ h pː ɑ t
чаһць	t͡ʃ a hʲ t͡sʲ
чаӈӈ	t͡ʃ ɑ ŋː
чилльмь	t͡ʃ i lʲː mʲ
чилльмьбиэлль	t͡ʃ i ʎː mʲ b i̯ ɛ ʎː
чильмбиэлль	t͡ʃ i ʎ m b i̯ ɛ ʎː
чоххч	t͡ʃ o xː t͡ʃ
чуть	t͡ʃ u tʲ
чуэррьв	t͡ʃ u̯ ɛ rʲː v
чуһппэ	t͡ʃ u h pː ɛ
шыг	ʃ ɨ ɡ
шэ̄мерь	ʃ ɛː mʲ e rʲ
ылл	s u̯ ɛ pʲː ɛ sʲ
ыхт	ɨ x t
ыһт	ɨ h t
эввь	ɛ vʲː
элльк	ɛ lʲː k
эунӹш	ɛ u̯ n ɪ ʃ
юммель	j u mʲː ɛ ʎ
юэллькьпиэлль	j u̯ ɛ ʎː kʲ p i̯ ɛ ʎː
ённ	j o nː
ёрбас	j o r b ɑ s
Һягл	hʲ ɑ ɡ ɫ
һеаваш	hʲ ɛ̯ ɑ v ɑ ʃ
Ӓнишк	a nʲ i ʃ k
Ӓһкельсиййт	a hʲ kʲ ɛ ʎ sʲ i jː t
ӓййрь	a jː rʲ
ӓһкельса̄мла	a hʲ kʲ ɛ ʎ s ɑː m ɫ ɑ
