Ааӷәа	aː ʁʷ a
б'аҟ'ыԥԯы	bˤ a qˤʼ ə pʰ ɬ ə
б'аӄ'а	bˤ a qˤ a
б'аӄ'ашь	bˤ a qˤ a ʃ
б'аӷ'а	bˤ a ʁˤ a
б'аԥсыԥсы	bˤ a pʰ s ə pʰ s ə
б'ы	bˤ ə
б'ыб'	bˤ ə bˤ
б'ыша	bˤ ə ʂ a
б'ӷ'а	bˤ ʁˤ a
б'ӷ'аџьа	bˤ ʁˤ a d ʒ a
б'ӷаџьа	bˤ ʁ a d ʒ a
баада	b aː d a
бааџьа	b aː d ʒ a
бабаи	b a b a j
багьына	b a ɡʲ ə n a
багьыха	b a ɡʲ ə χ a
багәы	b a ɡʷ ə
бадауи	b a d a w ə j
баираҟ	b a j r a qʼ
бакь	b a kʼʲ
бамыҷ	b a m ə t ʃʼ
бана	b a n a
банаҫәы	b a n a ɕʷ ə
банӡьы	b a n d ʑ ə
бар	b a r
барасқьа	b a r a s kʰʲ a
барчыч	b a r t ʃʰ ə t ʃʰ
бат	b a tʼ
батмарза	b a tʼ m a r z a
баха	b a χ a
бахсма	b a χ s m a
бахҽа	b a χ ʈ ʂʰ a
бахәа	b a χʷ a
бахәашь	b a χʷ a ʃ
баць	b a t ɕʰ
бача	b a t ʃʰ a
башхәы	b a ʂ χʷ ə
башькьа	b a ʃ kʼʲ a
башԯық	b a ʂ ɬ ə kʰ
баҙа	b a ʑ a
баҟыр	b a qʼ ə r
баҟысма	b a qʼ ə s m a
баҟысмаҿааӷа	b a qʼ ə s m a ʈ ʂʼ aː ʁ a
баҟәыр	b a qʼʷ ə r
баҭа	b a tʰ a
баҭачуана	b a tʰ a t ʃʰ ə w a n a
баҭашь	b a tʰ a ʃ
баҵьа	b a t ɕʼ a
баҵьабҙа	b a t ɕʼ a b ʑ a
баҵьагьыҭә	b a t ɕʼ a ɡʲ ə tʰʷ
баҵьакьа	b a t ɕʼ a kʼʲ a
баҵьала	b a t ɕʼ a l a
баҵьанцәа	b a t ɕʼ a n t ɕʰʷ a
баҵьас	b a t ɕʼ a s
баҵьатә	b a t ɕʼ a tʼʷ
баҵьау	b a t ɕʼ a w ə
баҵьаҟәа	b a t ɕʼ a qʼʷ a
баҵьаҫә	b a t ɕʼ a ɕʷ
баҵьаҭә	b a t ɕʼ a tʰʷ
баҵьаӷалахәа	b a t ɕʼ a ʁ a l a χʷ a
баҵьаӷах	b a t ɕʼ a ʁ a χ
баҵьаԯаҿаӷа	b a t ɕʰ a ɬ a ʈ ʂʼ a ʁ a
баӷыр	b a ʁ ə r
баӷҽа	b a ʁ ʈ ʂʰ a
баӷәа	b a ʁʷ a
беи	b e̞ j
беинау	b e̞ j n a w ə
бераҟ	b e̞ r a qʼ
бжь	b ʒ
бжьа	b ʒ a
бжьахьа	b ʒ a χʲ a
бжьаԯабжьа	b ʒ a ɬ a b ʒ a
бжьы	b ʒ ə
бза	b z a
бзаанта	b z aː n tʼ a
бзааԥа	b z aː pʰ a
бзабза	b z a b z a
бзакәа	b z a kʼʷ a
бзарыхәа	b z a r ə χʷ a
бзах	b z a χ
бзахьадаџь	b z a χʲ a d a d ʒ
бзаҽы	b z a ʈ ʂʰ ə
бзыбза	b z ə b z a
бзыдема	b z ə d ɛ m a
бзыдыма	b z ə d ə m a
бзыдымаҭаӄа	b z ə d ə m a tʰ a q a
бзыдымаҵьашә	b z ə d ə m a t ɕʼ a ʃʷ
бзыкәи	b z ə kʼʷ ə j
бзыла	b z ə l a
бзылфыӷа	b z ə l f ə ʁ a
бзымуа	b z ə m ə w a
бзынтҟәа	b z ə n tʼ qʼʷ a
бзыу'а	b z ə wˤ a
бзыфа	b z ə f a
бзых'а	b z ə χˤ a
бзыца	b z ə t sʰ a
бзыцә	b z ə t ɕʰʷ
бзыч	b z ə t ʃʰ
бзышә	b z ə ʃʷ
бзыџьаӷашәа	b z ə d ʒ a ʁ a ʃʷ a
бзыҟәаҭәҟа	b z ə qʼʷ a tʰʷ qʼ a
бзыҫәиа	b z ə ɕʷ ə j a
бзыӄафа	b z ə q a f a
бзыӡәоу	b z ə d ʑʷ o̞ w
бзыӷь	b z ə ʁʲ
бзыӷәыны	b z ə ʁʷ ə n ə
бзыԥҫы	b z ə p ɕ ə
биа	b j a
биаԯьа	b ə j a ɬʼ a
бла	b l a
блаагьа	b l aː ɡʲ a
блаагьаԥԯа	b l aː ɡʲ a pʰ ɬ a
блабза	b l a b z ə
блабиа	b l a b ə j a
благьы	b l a ɡʲ ə
благьыҭә	b l a ɡʲ ə tʰʷ
бладыҟ'ә	b l a d ə qˤʼʷ
блаза	b l a z a
блазооуҟа	b l a z a w a w ə qʼ a
блакь	b l a kʼʲ
бламааӷьа	b l a m aː ʁʲ a
бламса	b l a m s a
блас	b l a s
блатә	b l a tʼʷ
блатәас	b l a tʼʷ a s
блатәышәа	b l a tʼʷ ə ʃʷ a
блатәыџь	b l a tʼʷ ə d ʒ
блау	b l a w ə
блаушәа	b l a w ə ʃʷ a
блах	b l a χ
блахьамб'а	b l a χʲ a m bˤ a
блахә	b l a χʷ
блацәа	b l a t ɕʰʷ a
блачау	b l a t ʃʰ a w ə
блачаҭә	b l a t ʃʰ a tʰʷ
блашәа	b l a ʃʷ a
блаҟ'әы	b l a qˤʼʷ ə
блаҟәырдаҟа	b l a qʼʷ ə r d a qʼ a
блаҫәа	b l a ɕʷ a
блаҭха	b l a tʰ χ a
блаҭә	b a t ɕʼ a tʰʷ
блаҷ	b l a t ʃʼ
блаӷ'әа	b l a ʁˤʷ a
блаӷанцәа	b l a ʁ a n t ɕʰʷ a
блаӷатә	b l a ʁ a tʼʷ
блаӷах	b l a ʁ a χ
блаӷахәа	b l a ʁ a χʷ a
блаӷаҫә	b l a ʁ a ɕʷ
блаӷаԥԯашәа	b l a ʁ a pʰ ɬ a ʃʷ a
блаӷьа	b l a ʁʲ a
блаӷәацаҟа	b l a ʁʷ a t sʰ a qʼ a
блаӷәынӷьа	b l a ʁʷ ə n ʁʲ a
блаԥԯачаха	b l a pʰ ɬ a t ʃʰ a x a
блоуа	b l a w a
блы	b l ə
блыны	b l ə n ə
боуа	b o̞ w a
бохҽа	b ɔ χ ʈ ʂʰ a
брааза	b r aː z a
браазаџь	b r aː z a d ʒ
брыу	b r ə w ə
брыцә	b r ə t ɕʷʰ
буаакьашәа	b ə w aː kʼʲ a ʃʷ a
былгарбза	b ə l ɡ a r b z a
бында	b ə n d a
быны	b ə n ə
бырсмын	b ə r s m ə n
бысым	b ə s ə m
быҟ'ыда	b ə qˤʼ ə d a
быҟ'ә	b ə qˤʼʷ
быӡьаҟа	b ə d ʑ a qʼ a
быӷәы	b ə ʁʷ ə
быӷәысы	b ə ʁʷ ə s ə
бҙа	b ʑ a
бҙаам'а	b ʑ aː mˤ a
бҙаамыҟ'ә	b ʑ aː m ə qˤʼʷ
бҙаза	b ʑ a z a
бҙазашау	b ʑ a z a ʂ a w ə
бҙалу'а	b ʑ a l wˤ a
бҙаҟа	b ʑ a qʼ a
бҙаҭә	b ʑ a tʰʷ
бҙаҭәа	b ʑ a tʰʷ a
бҙаԥхамџьаакьа	b ʑ a pʰ χ a m d ʒ aː kʼʲ a
бҙоу	b ʑ o̞ w
бӷалыба	b ʁ a l ə b a
бӷаԥс	b ʁ a pʰ s
бӷы	b ʁ ə
бӷь	b ʁʲ
бӷьа	b ʁʲ a
бӷьабзыԯ	b ʁʲ a b z ə ɬ
бӷьакьа	b ʁʲ a kʼʲ a
бӷьалахәа	b ʁʲ a l a χʷ a
бӷьаҵьада	b ʁʲ a t ɕʼ a d a
бӷьаҷаҭә	b ʁʲ a t ʃʼ a tʰʷ
бӷьаԥԯа	b ʁʲ a pʰ ɬ a
бӷьы	b ʁʲ ə
в'а	vˤ a
в'асы	vˤ a s ə
в'аца	vˤ a t sʰ a
в'аҫкьы	vˤ a ɕ kʼʲ ə
в'аҵьыкь	vˤ a t ɕʼ ə kʼʲ
в'аӷәыны	vˤ a ʁʷ ə n ə
га	ɣ a
гаарга	ɡ aː r ɡ a
гадымаҵь	ɣ a d ə m a t ɕʼ
газына	ɡ a z ə n a
гезер	ɡ e̞ z e̞ r
гурџьыбза	ɡ w ə r d ʒ ə b z a
гыдыл	ɡ ə d ə l
гьаарыӷәа	ɡʲ aː r ə ʁʷ a
гьаафы	ɡʲ aː f ə
гьааӷа	ɡʲ aː ʁ a
гьазоз	ɡʲ a z o̞ z
гьамыҟә	ɡʲ a m ə qʼʷ
гьанҵьа	ɡʲ a n t ɕʼ a
гьанҵәа	ɡʲ a n t ɕʼʷ
гьаты	ɡʲ a tʼ ə
гьауаҭәы	ɡʲ a w a tʰʷ ə
гьахәа	ɡʲ a χʷ a
гьаша	ɡʲ a ʂ a
гьашәа	ɡʲ a ʃʷ a
гьашәама	ɡʲ a ʃʷ a m a
гьаҵь	ɡʲ a t ɕʼ
гьы	ɡʲ ə
гьыба	ɡʲ ə b a
гьыбжь	ɡʲ ə b ʒ
гьыбӷы	ɡʲ ə b ʁ ə
гьыбӷьа	ɡʲ ə b ʁʲ a
гьыгьа	ɡʲ ə ɡʲ a
гьыгьаҙа	ɡʲ ə ɡʲ a ʑ a
гьыгьаҫәа	ɡʲ ə ɡʲ a ɕʷ a
гьыгьаԥшьа	ɡʲ ə ɡʲ a pʰ ʃ a
гьыдыӷы	ɡʲ ə d ə ʁ ə
гьыл	ɡʲ ə l
гьыпҟьа	ɡʲ ə pʼ qʼʲ a
гьытәы	ɡʲ ə tʼʷ ə
гьыуқә	ɡʲ ə w ə kʰʷ
гьыфа	ɡʲ ə f a
гьыфаҟәаԯьа	ɡʲ ə f a qʼʷ a ɬʼ a
гьыфаҵьада	ɡʲ ə f a t ɕʼ a d a
гьыфаӄ'а	ɡʲ ə f a qˤ a
гьыхы	ɡʲ ə χ ə
гьыхьа	ɡʲ ə χʲ a
гьыхәадоу	ɡʲ ə χʷ a d o̞ w
гьыцәаб'а	ɡʲ ə t ɕʰʷ a bˤ a
гьышаҟа	ɡʲ ə ʂ a qʼ a
гьыҟа	ɡʲ ə qʼ a
гьыҟәа	ɡʲ ə qʼʷ a
гьыҵәаҵә	ɡʲ ə t ɕʼʷ a t ɕʼʷ
гьыҿа	ɡʲ ə ʈ ʂʼ a
гьыӡа	ɡʲ ə d z a
гәа	ɡʷ a
гәааҟа	ɡʷ aː qʼ a
гәааҟашәа	ɡʷ aː qʼ a ʃʷ a
гәыбӷьа	ɡʷ ə b ʁʲ a
гәыма	ɡʷ ə m a
гәымаахьа	ɡʷ ə m aː χʲ a
гәымабыӡ	ɡʷ ə m a b ə d z
гәымау'ҟ'әа	ɡʷ ə m a wˤ qˤʼʷ a
гәыцааф	ɡʷ ə t sʰ aː f
гәычааҟа	ɡʷ ə t ʃʰ aː qʼ a
гәычааҟаӷ	ɡʷ ə t ʃʰ aː qʼ a ʁ
гәышьа	ɡʷ ə ʃ a
гәыҷааиа	ɡʷ ə t ʃʼ aː j a
гәыӡь	ɡʷ ə d ʑ
да	d a
дааҟ	d aː qʼ
дааӷьа	d aː ʁʲ a
давриш	d ä v r i ʂ
дагьыӷы	d a ɡʲ ə ʁ ə
дагәааҫа	d a ɡʷ aː ɕ a
дагәы	d a ɡʷ ə
дакьа	d a kʼʲ a
даул	d a w u l
даушь	d a w ə ʃ
дахәа	d a χʷ a
дахәаԥча	d a χʷ a pʰ t ʃʰ a
дашьаахьа	d a ʃ aː χʲ a
дашәандыкьы	d a ʃʷ a n d ə kʼʲ ə
дашәаны	d a ʃʷ a n ə
дашәы	d a ʃʷ ə
даҟа	d a qʼ a
даҟәа	d a qʼʷ a
даҭә	d a tʰʷ
даӷьырымыӡьы	d a ʁʲ ə r ə m ə d ʑ ə
даӷәа	d a ʁʷ a
даӷәамса	d a ʁʷ a m s a
даԥх	d a pʰ χ
даԥшьоу	d a pʰ ʃ a w
даԯаҟаала	d a ɬ a qʼ aː l a
дема	d ɛ m a
демаахьа	d ɛ m aː χʲ a
демаҵь	d ɛ m a t ɕʼ
демаӷьа	d ɛ m a ʁʲ a
диа	d ə j a
диалы	d ə j a l ə
диацәа	d ə j a t ɕʰʷ a
диашь	d ə j a ʃ
дуа	d ə w a
дуаҟа	d ə w a qʼ a
дуаӷьа	d ə w a ʁʲ a
дулаԥ	d ə w l a pʰ
думафа	d ə w m a f a
дунеи	d ə w n a j
душаҟа	d ə w ʂ a qʼ a
душаҟашь	d ə w ʂ a qʼ a ʃ
дуқьан	d ə w kʰʲ a n
дыба	d ə b a
дыбзы	d ə b z ə
дыд	d ə d
дыдҟа	d ə d qʼ a
дынқьа	d ə n kʰʲ a
дыф	d ə f
дыхахоу	d ə χ a χ o̞ w
дыхоу	d ə x o̞ w
дыхы	d ə χ ə
дычыдоу	d ə t ʃʰ ə d o̞ w
дыҙәаакьа	d ə ʑʷ aː kʼʲ a
дықьа	d ə kʰʲ a
дыӷ'	d ə ʁˤ
дыӷ'ҟа	d ə ʁˤ qʼ a
дыӷынца	d ə ʁ ə n t sʰ a
дыӷь	d ə ʁʲ
дыӷәаны	d ə ʁʷ a n ə
дыӷәы	d ə ʁʷ ə
дыӷәыҟәоу	d ə ʁʷ ə qʼʷ o̞ w
дыԥшьы	d ə pʰ ʃ ə
дәа	dʷ a
дәанаакьа	dʷ a n aː kʼʲ a
дәау	dʷ a w ə
дәыдәа	dʷ ə dʷ a
дәыҫәах	dʷ ə ɕʷ a x
дӷа	d ʁ a
дӷаарабы	d ʁ a aː r a b ə
дӷан	d ʁ a n
дӷача	d ʁ a t ʃʰ a
дӷашьагьы	d ʁ a ʃ a ɡʲ ə
дӷаҙы	d ʁ a ʑ ə
дӷаҫәа	d ʁ a ɕʷ a
ебеԥхьашә	e̞ b e̞ pʰ χʲ a ʃʷ
евер	e̞ v e̞ r
еида	e̞ j d a
еиӷьа	e̞ j ʁʲ a
елеқь	e̞ l e̞ kʰʲ
еман	e̞ m a n
еныҙ	j a n ə ʑ
ерыша	e̞ r ə ʂ a
ехәыдбза	e̞ χʷ ə d b z a
ецәа	e̞ t ɕʰʷ a
ецәахәыреи	j a t ɕʰʷ a χʷ ə r e̞ j
еқуҭ	e̞ kʰ u tʰ
еҭым	j a tʰ ə m
ж	ʐ
жа	ʐ a
жаакьа	ʐ aː kʼʲ a
жаужаакьа	ʐ a w ə ʐ aː kʼʲ a
жаӄә	ʐ a qʷ
жьоуа	ʒ a w a
жьы	ʒ ə
жәа	ʒʷ a
жәаала	ʒʷ aː l a
жәааҟа	ʒʷ aː qʼ a
жәагәыма	ʒʷ a ɡʷ ə m a
жәамԯы	ʒʷ a m ɬ ə
жәанкьы	ʒʷ a n kʼʲ ə
жәаудәа	ʒʷ a
жәашәа	ʒʷ a ʃʷ a
жәы	ʒʷ ə
жәыбл	ʒʷ ə b l
жәыбӷьы	ʒʷ ə b ʁʲ ə
жәыза	ʒʷ ə z a
жәыпҭәы	ʒʷ ə pʼ tʰʷ ə
жәытҟәа	ʒʷ ə tʼ qʼʷ a
жәыф	ʒʷ ə f
жәыхы	ʒʷ ə χ ə
жәышьх	ʒʷ ə ʃ χ
жәышьы	ʒʷ ə ʃ ə
жәыҟа	ʒʷ ə qʼ a
жәыҟажәы	ʒʷ ə qʼ a ʒʷ ə
жәыҫа	ʒʷ ə ɕ a
жәыҷа	ʒʷ ə t ʃʼ a
жәыӄа	ʒʷ ə q a
жәыӷәа	ʒʷ ə ʁʷ a
жӷәа	ʐ ʁʷ a
за	z a
зауадуаакьа	z a w a d ə w aː kʼʲ a
зафҭиа	z a f tʰ ə j a
зеиа	z a j a
зеиҭын	z e̞ j tʰ ə n
зуруԯ	z ə w r ə w ɬ
ибадеҭ	j ə b a d e̞ tʰ
инаҭҟаӷ	j ə n a tʰ qʼ a ʁ
ингылызбза	j ə n ɡ ə l ə z b z a
инџы	j ə n ɖ ʐ ə
инџыӷәыны	j ə n ɖ ʐ ə ʁʷ ə n ə
инҭиқам	j ə n tʰ ə j kʰ a m
исқеле	j ə s kʰ e̞ l e
исҭасион	j ə s tʰ a s j ɔ n
исԥаҭан	j ə s pʰ a tʰ a n
ишҭаҳ	j ə ʂ tʰ a h
кады	kʼ a d ə
карал	kʼ a r a l
каҳуа	kʼ a h w a
кьааб'ы	kʼʲ aː bˤ ə
кьаада	kʼʲ aː d a
кьаб'ы	kʼʲ a bˤ ə
кьадәы	kʼʲ a dʷ ə
кьам'а	kʰʲ a mˤ a
кьанасу	kʼʲ a n a s ə w
кьарахәа	kʼʲ a r a χʷ a
кәашькь	kʼʷ a ʃ kʼʲ
кәыкәм'ав'	kʼʷ ə kʼʷ mˤ a vˤ
кәыпы	kʼʷ ə pʼ ə
лаажьа	l aː ʒ a
ламба	l a m b a
ландәа	l a n dʷ a
ландәаҭәыӡьа	l a n dʷ a tʰʷ ə d ʑ a
лаҟа	l a qʼ a
лаҟабыша	l a qʼ a b ə ʂ a
лаҟаҫха	l a qʼ a ɕ χ a
лаҟьы	l a qʼʲ ə
лаҟәыма	l a qʼʷ ə m a
лаҳбза	l a h b z a
леилақ	l e̞ j l a kʰ
леишәа	l e̞ j ʃʷ a
лу'а	l wˤ a
м'а	mˤ a
м'ашәа	mˤ a ʃʷ a
м'ашәы	mˤ a ʃʷ ə
м'аӡьы	mˤ a d ʑ ə
маадакьа	m aː d a kʼʲ a
маадан	m aː d a n
маахәҽа	m aː χʷ ʈ ʂʰ a
маашьа	m aː ʃ a
мааҵа	m aː t sʼ a
мааӷ'әа	m aːˤʷ a
маимун	m a j m ə w n
макыф	m a kʼ ə f
малеиқьа	m a l a j kʰʲ a
мардуан	m a r d w a n
матаҫа	m a tʼ a ɕ a
матаҫаӷәыны	m a tʼ a ɕ a ʁʷ ə n ə
махәҽа	m a χʷ ʈ ʂʰ a
мацаҟаала	m a t sʰ a qʼ aː l a
маџьарбза	m a d ʒ a r b z a
мақьҭаб	m a kʰʲ tʰ a b
маҳалы	m a h a l ə
маҵә	m a t ɕʼʷ
маҵәақәымӷьа	m a t ɕʼʷ a kʰʷ ə m ʁʲ a
маҵәаҟаала	m a t ɕʼʷ a qʼ aː l a
маҵәгьыӷы	m a t ɕʼʷ ɡʲ ə ʁ ə
маҵәшашын	m a t ɕʼʷ ʂ a ʂ ə n
маӡьеи	m a d ʑ a j
мереқьеб	m e r e kʰʲ e b
мецьа	m e t ɕʰ a
мецьаҟа	m e t ɕʰ a qʼ a
мецьаҟаԥшьа	m e t ɕʰ a qʼ a pʰ ʃ a
мимаар	m ə j m aː r
моухәҽа	m o̞ w χʷ ʈ ʂʰ a
мыжыӄ	m ə ʐ ə q
мыцаныб'а	m ə t sʰ a n ə bˤ a
мышамша	m ə ʂ a m ʂ a
мышьха	m ə ʃ χ a
мышьы	m ə ʃ ə
мышьыԥҫа	m ə ʃ ə pʰ ɕ a
мышәа	m ə ʃʷ a
мышәы	m ə ʃʷ ə
мышәыб'ашхәы	m ə ʃʷ ə bˤ a ʂ χʷ ə
мыҫа	m ə ɕ a
мыҫаԯа	m ə ɕ a ɬ a
мыҫәа	m ə ɕʷ a
мыҫәамых	m ə ɕʷ a m ə χ
мыҵьаҟаԥшьа	m ə t ɕʼ a qʼ a pʰ ʃ a
мыӡьы	m ə d ʑ ə
мыӡьыҫәа	m ə d ʑ ə ɕʷ a
мыӷьа	m ə ʁʲ a
мџьаҭхәацав'аца	m d ʒ a tʰ χʷ a t sʰ a vˤ a t sʰ a
мӡаша	m d z a ʂ a
мӡаҵьа	m d z a t ɕʼ a
на	n a
нааб'а	n aː bˤ a
наатыф	n aː tʰ ə f
нааша	n aː ʂ a
нагьыӡа	n a ɡʲ ə d z a
наноу	n a n o̞ w
нарыԥԯа	n a r ə pʰ ɬ a
насыԥ	n a s ə pʰ
наџьаԥхьа	n a d ʒ a pʰ χʲ a
наџьыԯа	n a d ʒ ə ɬ a
наҟаамыӷ	n a qʼ aː m ə ʁ
наӷәеибза	n a ʁʷ e̞ j b z a
ндәыҟа	n dʷ ə qʼ a
ниқаҳ	n i kʰ a h
ныб'а	n ə bˤ a
нқьааӷ	n kʰʲ aː ʁ
португаԯбза	pʼ o r tʼ u ɡ a ɬ b z a
пҵа	pʼ t sʼ a
пԯьы	pʼ ɬʼ ə
сааба	s aː b a
сабр	s a b r
санаҳаҭ	s a n a h a tʰ
саниа	s a n ə j a
сахаҭ	s a χ a tʰ
саӡ	s a d z
сечоу	s e t ʃʰ o̞ w
сыӷәа	s ə ʁʷ a
сыԯоу	s ə ɬ o̞ w
такә	tʼ a kʼʷ
тап'	tʼ a pˤʼ
тым'а	tʼ ə mˤ a
тыҙа	tʼ ə ʑ a
тыԥса	tʼ ə pʰ s a
тҟәа	tʼ qʷʼ a
тҟәаза	tʼ qʼʷ a z a
тҟәатәы	tʼ qʼʷ a tʼʷ ə
тҟәаць	tʼ qʼʷ a t ɕʰ
тҟәырыса	tʼ qʼʷ ə r ə s a
у'а	wˤ a
у'ааҭәа	wˤ aː tʰʷ a
у'абаӡьы	w aˤ b a d ʑ ə
у'абла	w aˤ b l a
у'анџа	w aˤ n ɖ ʐ a
у'ацакь	w aˤ t sʰ a kʼʲ
у'ацьхы	w aˤ t ɕʰ x ə
у'ашхалаҟәы	w aˤ ʂ χ a l a qʼʷ ə
у'аџа	w aˤ ɖ ʐ a
у'аҭәа	w aˤ tʰʷ a
у'ҟ'әав'а	wˤ ə qˤʼʷ a vˤ a
уа	w a
уаа	w aː
уаауа	w aː w a
уады	w o̞ d ə
уаз	w a z
уандера	w a n d e̞ r a
уанџьаӄ	w o̞ n d ʒ a q
уафада	w o̞ f a d a
уақыҭ	w o̞ kʰ ə tʰ
уаҭх	w a tʰ χ
уаҭәаакьа	w a tʷ aː kʲʼ a
уергьы	w e̞ r ɡʲ ə
уоқ	w o̞ kʰ
урум	u r u m
урымбза	w ə r ə m b z a
урысбза	w ə r ə s b z a
утәакәача	w ə tʼʷ a kʼʷ a t ʃʰ a
утәафааҟа	w ə tʼʷ a f aː qʼ a
ушақ	w ə ʂ a kʰ
уҫа	w ə ɕ a
ф	f
фаакьа	f aː kʼʲ a
фаамышь	f aː m ə ʃ
фаас	f aː s
фаахьа	f aː χʲ a
фаахьах	f aː χʲ a χ
