آش	ɑː ʃ
حوالين	ħ ə w ɑː l eː n
حواي	ħ ə wː ɑː j
حوض	ħ oː ðˤ
حيل	ħ eː l
خاس	χ ɑː s
خبيث	χ ə b iː θ
خربان	χ ə r b ɑː n
خرطي	χ r ɪ tˤ i
خروف	χ ə r uː f
خز	χ ə z z
خشم	χ ə ʃ ɪ m
خشوم	χ ʃ uː m
خط	χ ə tˤː
خطب	χ ɪ tˤ ə b
خل	χ ə l
خل	χ ə ɫ
خلاص	χ ɐ ɫ ɑ sˤ
خلص	χ ə ɫː ə sˤ
خلطة	χ ə ɫ tˤ ə
خمستعش	χ ə m ɪ s t ə ʕ ə ʃ
خنزير	χ ə n z iː r
خو	χ oː
خوش	χ oː ʃ
خير	x eː r
دارسين	d ɑː r s iː n
دانة	d aː n ə
داية	d ɑː j ə
دبة	d ə b b ə
دبة	d ʊ b b ə
دبش	d a b ʃ
دبل	d ə b ə l
دبل	d ɪ b ə l
دروازة	d ɪ r w ɑ z ə
درى	d ɪ r ə
دري	d ə r ə j j
دريشة	d ə r i ʃ ə
دريشة	d ɪ r i ʃ ə
دستور	d ɪ s t oː r
دستور	d ɪ s t uː r
دشداشة	d ɪ ʃ d aː ʃ ə
دقمة	d ɪ ɡ m ə
دقوس	d ə qː uː s
دقيقة	d ə q iː q ə
دقيقة	d ə ʁ iː ʁ ə
دقيقة	d ɪ ɡ iː ɡ ə
دكتور	d ɪ k t oː r
دكور	d ə k w ə r
دلاغ	d l ɑː q
دلاغ	d l ɑː ʁ
دلع	d ə l l ə ʕ
دوام	d ə w ɑː m
دولكة	d oː l k ə
دولكة	d oː l k ə t
ديد	d eː d
ديرة	d iː r ə
ديرة	d iː r ə t
ديچ	d iː t͡ʃ
دچ	d ə t͡ʃ
ذرة	ð ʊ r ə
ذهب	ð ə h ə b
ذيب	ð iː b
رادد	r ɑː d ə d
ربع	r ə b ɪ ʕ
ربع	r ʊ b ɪ ʕ
رجيم	r ɪ d͡ʒ iː m
رد	r ə dː
رد	r ɪ dː
رفيج	r f iː d͡ʒ
رقم	r ə q ə m
رقي	r ə ɡː i
رنق	r ə n ɡ
رنق	r ɪ n ɡ
روب	r oː b
روتي	r oː t i
روضة	r oː ðˤ ə
روضة	r oː ðˤ ə t
ريال	r j ɑː l
ريال	r ə jː ɑː l
ريج	r iː d͡ʒ
ريل	r iː l
ريل	r ə j ɪ l
ريوق	r j uː ɡ
زبيدي	z b eː d i
زربول	z a r b uː l
زف	z ə f
زف	z ə fː
زفير	z ə f iː r
زقارة	z ɪ ɡ ɑː r ə
زقارة	z ɪ ɡ ɑː r ə t
زقرت	z ɡ ɪ r t
زقوم	z ə qː uː m
زكاة	z ə k aː t
زهايمر	z ə h ɑ j m ɪ r
زهرة	z ə h r ə
زهيوي	z h eː w i
سالب	s ɑː l ɪ b
سالفة	s aː l f ə
سبة	s i bː ə
ستيك	s t eː k
سردال	s ɪ r d aː l
سرسري	s ə r s ə r i
سرير	s ɪ r iː r
سستر	s ɪ s t ə r
سكان	s ɪ k k ɑː n
سكان	s ʊ k k ɑː n
سلاحف	s ə l aː ħ ɪ f
سما	s ɪ m ə
سمنديقة	s ə m ə n d eː ɡ ə
سمنديقة	s ə m ə n d eː ɡ ə t
سمي	s ɪ m i
سمچ	s ɪ m ə t͡ʃ
سمچ	s ɪ m ɪ t͡ʃ
سنسون	s ə n s uː n
سنع	s ə n ʕ
سولف	s oː l ə f
سويچ	s w iː t͡ʃ
سيادة	s ɪ j j aː d ə
سيارة	s ə j j ɑː r ə
سيارة	s ə jː ɑː r ə
سيف	s eː f
سيكل	s eː k ə l
سچين	s ɪ t͡ʃː iː n
شات	ʃ ɑː t
شاصي	ʃ ɑː sˤ i
شال	ʃ ɑ l
شاورما	ʃ ɐ w ə r m ə
شاوي	ʃ a a w i i
شايب	ʃ ɑː j ɪ b
شبة	ʃ ə bː ə
شبزي	ʃ ə b z i
شربت	ʃ ə r b ə t
شركة	ʃ ɐ r ɪ k ə
شغل	ʃ ɪ ʁ l
شقردي	ʃ ɪ ɡ ə r d i
شكر	ʃ ə k ə r
شكر	ʃ ə k ɪ r
شكر	ʃ ɪ k ə r
شنص	ʃ ɪ n ə sˤ
شوربة	ʃ oː r b ə
شيشة	ʃ iː ʃ ə
شيلة	ʃ eː l ə
شين	ʃ eː n
صاج	sˤ ɑː d͡ʒ
صبورة	sˤ ə bː uː r ə
صبي	sˤ b a j
صبي	sˤ ɪ b i
صج	sˤ ə d͡ʒː
صج	sˤ ɪ d͡ʒː
صراحة	sˤ ə r ɑː ħ ə
صراحة	sˤ ə r ɑː ħ ə t
صغيرون	sˤ ʁ ə j r uː n
صغيرون	z ʁ ə j r uː n
صفرة	sˤ ʊ f r ə
صكر	sˤ ə kː ə r
صلاة	sˤ ə ɫ aː t
صمدي	sˤ ə m ə d i
صمنديقة	sˤ ə m ə n d eː ɡ ə
صمنديقة	sˤ ə m ə n d eː ɡ ə t
صمون	sˤ ə m m uː n
صوغة	sˤ oː ʁ ə
ضبط	ðˤ ə bː ə tˤ
ضرس	ðˤ ɪ r s
ضفدع	ðˤ ə f d a ʕ
ضفدع	ðˤ ʊ f d ə ʕ
ضنا	ðˤ ə n ə
ضيج	ðˤ ə j j i d͡ʒ
طابعة	tˤ aː b ʕ ə
طاح	tˤ aː ħ
طباخ	tˤ b aː χ
طباخ	tˤ ə bː aː χ
طبع	tˤ ə b ʕ
طبع	tˤ ə bː ə ʕ
طبع	tˤ ɪ b ə ʕ
طبعة	tˤ ə b ʕ ə
طبل	tˤ ə b ɪ l
طحين	tˤ ħ iː n
طر	tˤ ə r
طراد	tˤ ə r r ɑ d
طرارة	tˤ r ɑː r ə
طرثوث	tˤ ə r θ uː θ
طرش	tˤ ə rː ə ʃ
طريج	tˤ ɪ r iː d͡ʒ
طشت	tˤ ə ʃ t
طق	tˤ ə ɡ ɡ
طلعة	tˤ ə ɫ ʕ ə
طماط	tˤ ʊ m ɑː tˤ
طمباخية	tˤ ɪ m b ɑː χ ɪ j j ə
طنش	tˤ ə nː ə ʃ
طنطل	tˤ ə n tˤ ə lˤ
طوفة	tˤ oː f ə
طيب	tˤ ə jː ɪ b
ظل	ðˤ ə lˤ
ظل	ðˤ ɪ lˤ
عايلة	ʕ ɑː j l ə
عباة	ʕ ə b aː t
عبات	ʕ ə b aː t
عبارة	ʕ ə bː aː r ə
عبارة	ʕ ɪ b aː r ə
عباية	ʕ ə b ɑː j a
عبيط	ʕ ə b iː tˤ
عتوي	ʕ ə t w iː
عتوي	ʕ ɪ t w i
عتيج	ʕ ɪ t iː d͡ʒ
عربانة	ʕ ə r ə b ɑ n ə
عرج	ʕ ɪ r d͡ʒ
عرموط	ʕ ə r m uː tˤ
عسل	ʕ ə s ə l
عشا	ʕ ə ʃ ə
عصاية	ʕ ə sˤ ɑː j ə
عطار	ʕ ə tˤː ɑː r
عقرب	ʕ a ɡ r a b
عقل	ʕ a ɡ ɪ ɫ
عقل	ʕ ɪ ɡ ə ɫ
علاق	ʕ ə l l aː ɡ
علبنة	ʕ ə l ə b ʊ nː ə
علطول	ʕ ə l ə tˤ uː l
علق	ʕ ə l l ə q
علق	ʕ ə l l ə ɡ
علم	ʕ ə l ə m
علم	ʕ ɪ l m
علوقة	ʕ ə l l uː ɡ ə
علچ	ʕ ə l l ə t͡ʃ
علچ	ʕ ɪ l t͡ʃ
عمي	ʕ ə m m i
عمي	ʕ ə m ə j
عمياني	ʕ ɪ m j aː n i
عنابي	ʕ a n n aː b i
عوار	ʕ ə w ɑː r
عود	ʕ oː d
عود	ʕ uː d
عود	ʕ ə wː ə d
عيار	ʕ ə yː aː r
عيش	ʕ eː ʃ
عيش	ʕ iː ʃ
عيش	ʕ ə j j ə ʃ
عيل	ʕ ə jː ə l
عيم	ʕ ə j ə m
عيوز	ʕ ə j uː z
غبار	ʁ b aː r
غبقة	ɣ ə b ɡ ə
غدا	ʁ ə d ə
غشمرة	ʁ ə ʃ m ə r ə
غطا	ʁ ə tˤ ə
غطرسة	ʁ ə tˤ r ə s ə
غلى	ʁ ɪ l ə
غمض	ʁ ə mː ə ðˤ
غوري	q uː r i
غوري	ʁ uː r i
فار	f ɑ r
فاشنستا	f ɑ ʃ ɪ n ɪ s t ə
فاشنستا	f ə ʃ ɪ n ɪ s t ə
فحم	f ɐ ħ ə m
فرصة	f ʊ r sˤ ə
فرن	f ɪ r ɪ n
فريزر	f r eː z ə r
فضا	f ə ðˤ ə
فضا	f ɪ ðˤ ə
فطيرة	f ə tˤ iː r ə
فطيرة	f ə tˤ iː r ə t
فقارى	f ə q aː r ə
فقارى	f ɪ q aː r ə
فقارى	f ʊ q aː r ə
فقع	f ɘ ɡ ɪ ʕ
فلانة	f l ɑ n ɐ
فلوس	f l uː s
فنش	f a nː ə ʃ
فنيان	f ɪ n j ɑː n
فهرس	f ə h r ə s
في	f i
فير	f ə j ɪ r
فيشة	f iː ʃ ə
فيشة	f iː ʃ ə t
قاري	ɡ ɑ r i
قاضي	q aː ðˤ i
قام	ɡ ɑː m
قبقب	ɡ ʊ b ɡ ʊ b
قحص	ɡ ə ħː ə sˤ
قدو	ɡ ɪ d ʊ
قرا	ɡ ə r ə
قرا	ɡ ɪ r ə
قراج	ɡ ə r ɑː d͡ʒ
قراية	ɡ r ɑ j ə
قراية	ɡ ə r r ɑ j ə
قرد	q ɪ r d
قرطاس	ɡ ɪ r tˤ aː s
قروب	ɡ r uː b
قز	ɡ ɐ z
قص	ɡ ə sˤ
قط	ɡ ə tˤ
قط	ɡ ə tˤː
قطر	ɡ ɪ tˤ ə r
قطن	ɡ ɪ tˤ ɪ n
قطو	ɡ ə tˤ ʊ
قطوة	ɡ ə tˤ w ə
قطوة	ɡ ə tˤ w ə t
قلاص	ɡ lˤ ɑː sˤ
قلاف	ɡ ə ɫ ɫ aː f
قلب	ɡ ə ɫ b
قلب	ɡ ɪ ɫ ə b
قلم	q ə l ə m
قلم	ɡ ə l ə m
قماط	ɡ m aː tˤ
قمر	ɡ ə m ɑ r
قمر	ɡ ʊ m ə r
قند	q ə n d
قند	ʁ ə n d
قنفة	q ə n ə f ə
قنفة	ʁ ə n ə f ə
قهوة	ɡ h a w a
قهوة	ɡ ə h w ə
قوس	q oː s
قوطي	ɡ uː tˤ i
قولچي	ɡ oː ɫ t͡ʃ i
قيمر	ɡ eː m ə r
كار	k ɑː r
كاشير	k ɑː ʃ eː r
كاغد	k ɑː ʁ ə d
كافيه	k ɑː f eː
كافيه	k ə f eː
كاني	k aː n i
كب	k ə b bˤ
كبت	k ə b ə t
كبر	k ɪ b ɐ r
كبوت	k ə bː uː t
كبوس	k a b b uː s
كبير	k b iː r
كتكوت	k ə t k uː t
كحلي	k ɪ ħ l i
كربون	k ɪ r b uː n
كربون	k ʊ r b uː n
كرفتة	k ə r ə f ɪ t t ə
كرفتة	k ə r ə f ɪ t t ə t
ككاو	k ə kː ɑː w
كلاس	k l ɑː s
كلش	k ɪ l l ɪ ʃ
كلمة	k ɪ l m ə
كلى	k ə l ə
كلى	k ɪ l ə
كلينكس	k l eː n ə k s
كلينكس	k l ɪ n ɪ k s
كمام	k ə mː ɑː m
كنديشن	k ə n d eː ʃ ɪ n
كنسل	k ə n s ə l
كهربا	k ə h r ə b ə
كهربچي	k ə h r ə b t͡ʃ i
كهف	k ə h f
كوجة	k oː d͡ʒ ə
كورس	k o r s
كوكتيل	k oː k t eː l
كوكتيل	k ʊ k t eː l
كوى	k ɪ w ə
كيكة	k eː k ə
كيكة	k eː k ə t
لابچين	l ɑː b t͡ʃ iː n
لبن	l ɪ b ə n
لستة	l ɪ s t ə
لقاح	l ɡ aː ħ
لقاح	l ʊ q aː ħ
لنج	l ə n d͡ʒ
لهجة	l ə h d͡ʒ ə
لولو	l uː l ʊ
لولوة	l uː l w ə
لون	l oː n
لون	l ə wː ə n
ليت	l e t
ليت	l eː t
ليث	l e θ
ليزر	l eː z ə r
ليسن	l eː s ɪ n
ليش	l e ʃ
مأجور	m ə ʔ d͡ʒ uː r
مأساة	m ə ʕ s aː t
ماشة	m ɑː ʃ ə
ماشة	m ɑː ʃː ə
ماصخ	m ɑː sˤ ɪ χ
ماي	m ɑ j
مبلتع	m b ə l t ə ʕ
مبچر	m b ə t͡ʃː ɪ r
متأخر	m ɪ t ʔ ə χː ɪ r
متخلف	m ɪ t χ ə lː ɪ f
متر	m ɪ t ɪ r
متلوث	m ɪ t l ə wː ɪ θ
مجسم	m j ə sː ɪ m
مجسم	m ʊ j ə sː ə m
مجنون	m a j n uː n
محار	m a ħː aː r
محقق	m ʊ ħ ɐ q q ɪ q
محنة	m ɪ ħ n ə
مداحر	m d ɑː ħ ə r
مرة	m ə r r ə
مرة	m ə r ə
مرة	m ʊ r r ə
مرمطة	m ə r m ə tˤ ə
مزاج	m ə z ɑː d͡ʒ
مزاج	m ɪ z ɑː d͡ʒ
مزمن	m ʊ z m ɪ n
مسلسل	m s ə l s ə l
مسلسل	m ʊ s ə l s ə l
مسود	m ɪ s w ɐ d̚
مسيد	m ə s j ə d
مسيد	m ə s j ɪ d
مشى	m ɨ ʃ ə
مصخرة	m ə sˤ χ ə r ə
مطارة	m ə tˤː ɑː r ə
مطر	m ə tˤː ə r
مطر	m ʊ tˤ ə r
مع	m ə ʕ ə
معكرونية	m ə ʕ k ə r oː n j ə
مقارنة	m ʊ q ɑ r ə n ə
مقارنة	m ʊ q ɑ r ə n ə t
مقام	m ə q aː m
مقلة	m ɪ ɡ lˤ ə
مقولة	m ɐ q uː l ə
مكوك	m ə kː uː k
مكياج	m ɪ k j ɑː d͡ʒ
ملابس	m ə l a b ɪ s
ملاس	m ɪ lː ɑ s
ملف	m ə l ə f
ملفع	m ɪ l f ə ʕ
ملفوف	m ə l f uː f
ملقوف	m ə l ɡ uː f
مليق	m ə l iː q
مليق	m ə l iː ʁ
ملچة	m ɪ l t͡ʃ ə
منطقة	m ə n tˤ ə q ə
منطقة	m ə n tˤ ə ɡ ə
منظرة	m ə n ðˤ ə r ə
منظرة	m ə n ðˤ ə r ə t
منقار	m ɪ n q aː r
منو	m ɪ n u
مني	m ə n i
مني	m ɪ n n i
مني	m ɪ n n iː
منيو	m ɪ n j ʊ
مهتمل	m h ə t m ə l
مواعين	m w ɑː ʕ iː n
موت	m oː t
موت	m ə wː ə t
موعد	m ə w ʕ ɪ d
ميخالف	m ə j χ aː l ɪ f
ميز	m eː z
مينون	m ə j n uː n
ميوة	m eː w ə
ميوة	m eː w ə t ‿
نبات	n ə b aː t
نحن	n ɪ ħ ɪ n
نخي	n ə χ i
نط	n a tˤ
نط	n a tˤː
نفاق	n ɪ f aː q
نفق	n ə f ə q
نفنوف	n ə f n uː f
نفوق	n ʊ f uː q
نفيش	n ʊ fː eː ʃ
نقع	n ə ɡ ɡ ə ʕ
نكتة	n ɪ k t ə
نكهة	n ə k h ə
نكهة	n ə k h ə t
نمر	n ɪ m ɪ r
نوخذة	n oː χ ɪ ð ə
نوخذة	n oː χ ɪ ð ə t
نوط	n oː tˤ
نيجيريا	n iː d͡ʒ iː r j a
نيس	n ə jː ɪ s
نيشن	n eː ʃ ə n
هامور	h ɑː m uː r
هدوم	h d uː m
هرن	h ɪ r ɪ n
هستر	h ə s t ə r
هناك	h n ɑː k
هني	h n iː
هوشة	h oː ʃ ə
وارث	w ɑː r ɪ θ
وايد	w aː j ɪ d
واير	w ɑː j ɪ r
ودر	w ə dː ə r
ودى	w ə d d ə
ورقة	w r ɪ ɡ ə
ورى	w ɐ r ə
وقت	w a k t
ولهان	w ə l h aː n
وناسة	w ə n ɑː s ə
ويا	w ɪ j ə
ويا	w ɪ jː ə
ويه	w eː
ويه	w eː h
ويه	w ə ɪ̯ h
يا	j aː
ياثوم	j ɑː θ uː m
ياخور	j ɑː χ uː r
يار	j ɑ r
ياز	j ɑ z
ياهل	j ɑː h ɪ l
يدة	j ə d d ə
يم	j ə m
يمناوي	y ɪ m n ɑː w i
يني	j ɪ n n i
يوع	j uː ʕ
يوعان	y uː ʕ aː n
يوم	j oː m
پايپ	b ɑː j b
پايپ	p ɑː j p
پيپ	b eː b
پيپ	p eː p
چان	t͡ʃ ɑː n
چاي	t͡ʃ ɑː j
چبريت	t͡ʃ ɪ b r iː t
چراغي	t͡ʃ ə r r aː ʁ i
چف	t͡ʃ ə f
چلب	t͡ʃ ə l b
چم	t͡ʃ ə m
چنه	t͡ʃ ɪ nː ə
چولة	t͡ʃ uː l ə
چي	t͡ʃ i
چيس	t͡ʃ iː s
چيك	t͡ʃ eː k
چيك	t͡ʃ iː k
چيك	t͡ʃ ə jː ə k
کمبل	k ɐ m b ə l
