ƶ	ʐ
ҵә	t͡ɕʼʷ
Ҵә	t͡ɕʼʷ
ҷ	t͜ʃʼ
Ҷ	t͜ʃʼ
ҽ	t͜ʂʰ
Ҽ	t͜ʂʰ
ҿ	t͜ʂʼ
Ҿ	t͜ʂʼ
шь	ʃ
Шь	ʃ
ашьа	a ʃ a
шә	ʃʷ
Шә	ʃʷ
Ҩ	ɥ
ҩ	ɥ
ҩажәа	ɥ a ʒʷ a
ҩба	ɥ p a
џ	d͜ʐ
аџадра	a ɖ ʐ a d r a
џь	d͡ʒ
Џь	d͡ʒ
аџьыка	a d͡ʒ ə kʼ a
ь	ʲ
ә	ʷ
ӄ	kʰ
Ӄ	kʰ
Ԡ	lʰ
ԡ	lʰ
Ԣ	nʰ
ԣ	nʰ
ԫ	d͜ʒ
Ԫ	d͜ʒ
ԭ	d͜ʑ
Ԭ	d͜ʑ
ⱬ	d͡ʑʷ
Ꚁ	dʷ
ꚁ	dʷ
Ꚃ	d͜ʑʷ
ꚃ	d͜ʑʷ
ꚅ	ʒʷ
Ꚅ	ʒʷ
Ꚇ	t͜ʂʰ
ꚇ	t͜ʂʰ
Ꚉ	d͜z
ꚉ	d͜z
Ꚋ	tʰ
ꚋ	tʰ
Ꚍ	tʷʰ
ꚍ	tʷʰ
Ꚏ	t͜ɕʷʰ
ꚏ	t͜ɕʷʰ
ꚑ	t͜sʼ
Ꚑ	t͜sʼ
ꚓ	t͜ʃʼ
Ꚓ	t͜ʃʼ
Ꚕ	ħʷ
ꚕ	ħʷ
Ꚗ	ʃʷ
ꚗ	ʃʷ
ꟻ	ʃʷ
