AFI	a f i
Alfredo	a l f ɾ e d o
Alférez	a l f e ɾ e θ
Alfónsez	a l f o n s e θ
Algeciras	a l x e θ i ɾ a s
Algol	a l ɡ o l
Alguer	a l ɡ e ɾ
Alhambra	a l a m b ɾ a
Aliaga	a l j a ɡ a
Alicante	a l i k a n t e
Alicia	a l i θ j a
Alina	a l i n a
Alipio	a l i p j o
Alirio	a l i ɾ j o
Aljovín	a l x o b i n
Allende	a ʝ e n d e
Alma	a l m a
Almadén	a l m a d e n
Almagro	a l m a ɡ ɾ o
Almaguer	a l m a ɡ e ɾ
Almanza	a l m a n θ a
Almaraz	a l m a ɾ a θ
Almario	a l m a ɾ j o
Almatý	a l m a t i
Almazán	a l m a θ a n
Almeda	a l m e d a
Almeida	a l m e i d a
Almendares	a l m e n d a ɾ e s
Almendra	a l m e n d ɾ a
Almendralejo	a l m e n d ɾ a l e x o
Almendárez	a l m e n d a ɾ e θ
Almería	a l m e ɾ i a
Almeyda	a l m e i d a
Almodóvar	a l m o d o b a ɾ
Almu	a l m u
Almudena	a l m u d e n a
Almánzar	a l m a n θ a ɾ
Alodia	a l o d j a
Alondra	a l o n d ɾ a
Alonso	a l o n s o
Alpes	a l p e s
Alpízar	a l p i θ a ɾ
Alquízar	a l k i θ a ɾ
Alsacia	a l s a θ j a
Alsasua	a l s a s w a
Altamira	a l t a m i ɾ a
Altamirano	a l t a m i ɾ a n o
Altea	a l t e a
Alvarado	a l b a ɾ a d o
Alvardo	a l b a ɾ d o
Alvarenga	a l b a ɾ e n ɡ a
Alviar	a l b j a ɾ
Alzaga	a l θ a ɡ a
Alzamora	a l θ a m o ɾ a
Alzate	a l θ a t e
Alá	a l a
Alán	a l a n
Amadeo	a m a d e o
Amado	a m a d o
Amador	a m a d o ɾ
Amagá	a m a ɡ a
Amalfitano	a m a l f i t a n o
Amalia	a m a l j a
Amancio	a m a n θ j o
Amanda	a m a n d a
Amapola	a m a p o l a
Amarilla	a m a ɾ i ʝ a
Amarillo	a m a ɾ i ʝ o
Amaro	a m a ɾ o
Amatista	a m a t i s t a
Amaya	a m a ʝ a
Amazonas	a m a θ o n a s
Amazonía	a m a θ o n i a
Amberes	a m b e ɾ e s
Ambo	a m b o
Ambrosini	a m b ɾ o s i n i
Ameghino	a m e ɡ i n o
Amelia	a m e l j a
Amescua	a m e s k w a
Amezcua	a m e θ k w a
Amigo	a m i ɡ o
Ammán	a m a n
Amor	a m o ɾ
Amorebieta	a m o ɾ e b j e t a
Amparo	a m p a ɾ o
Amsterdam	a m s t e ɾ d a m
Amán	a m a n
América	a m e ɾ i k a
Américas	a m e ɾ i k a s
Américo	a m e ɾ i k o
Amésquita	a m e s k i t a
Amézquita	a m e θ k i t a
Amílcar	a m i l k a ɾ
Amón	a m o n
Amós	a m o s
Ana	a n a
Anabel	a n a b e l
Anacleto	a n a k l e t o
Anahí	a n a i
Analía	a n a l i a
Anamorós	a n a m o ɾ o s
Anampa	a n a m p a
Ananké	a n a n k e
Anapa	a n a p a
Anastasia	a n a s t a s j a
Anastasio	a n a s t a s j o
Anatolia	a n a t o l j a
Anaya	a n a ʝ a
Ancheta	a n t͡ʃ e t a
Anchondo	a n t͡ʃ o n d o
Anda	a n d a
Andalucía	a n d a l u θ i a
Andaya	a n d a ʝ a
Anderson	a n d e ɾ s o n
Anderson	e ə n d ɚ s ə n
Andes	a n d e s
Andorra	a n d o r a
Andoáin	a n d o a i n
Andrade	a n d ɾ a d e
Andrea	a n d ɾ e a
André	a n d ɾ e
Andrés	a n d ɾ e s
Andrómaca	a n d ɾ o m a k a
Andrómeda	a n d ɾ o m e d a
Anfitrión	a n f i t ɾ j o n
Angat	a n ɡ a t
Angola	a n ɡ o l a
Angora	a n ɡ o ɾ a
Anguiano	a n ɡ j a n o
Anguila	a n ɡ i l a
Angulo	a n ɡ u l o
Angélica	a n x e l i k a
Angélina	a n x e l i n a
Angón	a n ɡ o n
Aniceto	a n i θ e t o
Anita	a n i t a
Ankara	a n k a ɾ a
Anorí	a n o ɾ i
Ansaldo	a n s a l d o
Anselmo	a n s e l m o
Ansoáin	a n s o a i n
Antananarivo	a n t a n a n a ɾ i b o
Antauro	a n t a u ɾ o
Antequera	a n t e k e ɾ a
Antero	a n t e ɾ o
Antigua	a n t i ɡ w a
Antilla	a n t i ʝ a
Antioquia	a n t j o k j a
Antioquía	a n t j o k i a
Antofagasta	a n t o f a ɡ a s t a
Antonela	a n t o n e l a
Antonia	a n t o n j a
Antonieta	a n t o n j e t a
Antonio	a n t o n j o
Antonito	a n t o n i t o
Antártida	a n t a ɾ t i d a
Antón	a n t o n
Antúnez	a n t u n e θ
Anubis	a n u b i s
Anunciación	a n u n θ j a θ j o n
Anzaldo	a n θ a l d o
Anzoátegui	a n θ o a t e ɡ i
Anádir	a n a d i ɾ
Aníbal	a n i b a l
Apalaches	a p a l a t͡ʃ e s
Apaneca	a p a n e k a
Aparicio	a p a ɾ i θ j o
Apastepeque	a p a s t e p e k e
Apaza	a p a θ a
Apeninos	a p e n i n o s
Apia	a p j a
Apocalipsis	a p o k a l i b s i s
Apolinar	a p o l i n a ɾ
Apolinario	a p o l i n a ɾ j o
Apolo	a p o l o
Apolonia	a p o l o n j a
Apolonio	a p o l o n j o
Aponte	a p o n t e
Apopa	a p o p a
Apure	a p u ɾ e
Apurímac	a p u ɾ i m a k
Aqueronte	a k e ɾ o n t e
Aquerón	a k e ɾ o n
Aquiles	a k i l e s
Aquilino	a k i l i n o
Aquino	a k i n o
Aquise	a k i s e
Aquisgrán	a k i s ɡ ɾ a n
Aquitania	a k i t a n j a
Arabia	a ɾ a b j a
Araceli	a ɾ a θ e l i
Aracely	a ɾ a θ e l i
Aracena	a ɾ a θ e n a
Aragonés	a ɾ a ɡ o n e s
Aragua	a ɾ a ɡ w a
Aragón	a ɾ a ɡ o n
Araiza	a ɾ a i θ a
Arakaki	a ɾ a k a k i
Arambala	a ɾ a m b a l a
Aramburo	a ɾ a m b u ɾ o
Arana	a ɾ a n a
Arancibia	a ɾ a n θ i b j a
Arandia	a ɾ a n d j a
Arango	a ɾ a n ɡ o
Aranjuez	a ɾ a n x w e θ
Arantxa	a ɾ a n t͡ʃ a
Aratoca	a ɾ a t o k a
Arauca	a ɾ a u k a
Araucanía	a ɾ a u k a n i a
Arauco	a ɾ a u k o
Araujo	a ɾ a u x o
Arauz	a ɾ a u θ
Araújo	a ɾ a u x o
Arbaiza	a ɾ b a i θ a
Arbeláez	a ɾ b e l a e θ
Arboleda	a ɾ b o l e d a
Arcabuco	a ɾ k a b u k o
Arcadia	a ɾ k a d j a
Arcatao	a ɾ k a t a o
Arcaya	a ɾ k a ʝ a
Arce	a ɾ θ e
Arceaga	a ɾ θ e a ɡ a
Arceo	a ɾ θ e o
Archibeque	a ɾ t͡ʃ i b e k e
Archuleta	a ɾ t͡ʃ u l e t a
Arcilla	a ɾ θ i ʝ a
Ardenas	a ɾ d e n a s
Arecibo	a ɾ e θ i b o
Arellano	a ɾ e ʝ a n o
Arenas	a ɾ e n a s
Arencibia	a ɾ e n θ i b j a
Arequipa	a ɾ e k i p a
Ares	a ɾ e s
Argel	a ɾ x e l
Argelia	a ɾ x e l j a
Argentina	a ɾ x e n t i n a
Argentinazo	a ɾ x e n t i n a θ o
Argento	a ɾ x e n t o
Argenzuela	a ɾ x e n θ w e l a
Argo	a ɾ ɡ o
Argos	a ɾ ɡ o s
Argote	a ɾ ɡ o t e
Argueta	a ɾ ɡ e t a
Argüelles	a ɾ ɡ w e ʝ e s
Arias	a ɾ j a s
Arica	a ɾ i k a
Ariel	a ɾ j e l
Aries	a ɾ j e s
Arisméndez	a ɾ i s m e n d e θ
Aristizábal	a ɾ i s t i θ a b a l
Aristófanes	a ɾ i s t o f a n e s
Aristóteles	a ɾ i s t o t e l e s
Arizaga	a ɾ i θ a ɡ a
Arizona	a ɾ i θ o n a
Arjona	a ɾ x o n a
Arkansas	a ɾ k a n s a s
Armagedón	a ɾ m a x e d o n
Armando	a ɾ m a n d o
Armañac	a ɾ m a ɲ a k
Armendáriz	a ɾ m e n d a ɾ i θ
Armenia	a ɾ m e n j a
Arnaiz	a ɾ n a i θ
Arnoldo	a ɾ n o l d o
Arnulfo	a ɾ n u l f o
Arriaga	a r j a ɡ a
Arriaza	a r j a θ a
Arrieta	a r j e t a
Arrio	a r j o
Arriola	a r j o l a
Arroyo	a r o ʝ o
Arteaga	a ɾ t e a ɡ a
Artemio	a ɾ t e m j o
Artemisa	a ɾ t e m i s a
Artiaga	a ɾ t j a ɡ a
Artigas	a ɾ t i ɡ a s
Artola	a ɾ t o l a
Arturo	a ɾ t u ɾ o
Aruba	a ɾ u b a
Arvayo	a ɾ b a ʝ o
Arzadun	a ɾ θ a d u n
Arzaga	a ɾ θ a ɡ a
Arzate	a ɾ θ a t e
Arzolar	a ɾ θ o l a ɾ
Arzuaga	a ɾ θ w a ɡ a
Arámbulo	a ɾ a m b u l o
Arámburo	a ɾ a m b u ɾ o
Arámburu	a ɾ a m b u ɾ u
Aránzazu	a ɾ a n θ a θ u
Aréchiga	a ɾ e t͡ʃ i ɡ a
Arévalo	a ɾ e b a l o
Ascención	a s θ e n θ j o n
Ascensión	a s θ e n s j o n
Asclepio	a s k l e p j o
Asdrúbal	a s d ɾ u b a l
Asebedo	a s e b e d o
Aser	a s e ɾ
Asia	a s j a
Asiago	a s j a ɡ o
Asjabad	a s x a b a d
Asmara	a s m a ɾ a
Aspilcueta	a s p i l k w e t a
Astaná	a s t a n a
Astorga	a s t o ɾ ɡ a
Astrea	a s t ɾ e a
Astudillo	a s t u d i ʝ o
Asturias	a s t u ɾ j a s
Asunción	a s u n θ j o n
Asís	a s i s
Atacama	a t a k a m a
Atalaya	a t a l a ʝ a
Atenas	a t e n a s
Atencio	a t e n θ j o
Atenea	a t e n e a
Athanasia	a t a n a s j a
Atienza	a t j e n θ a
Atiquizaya	a t i k i θ a ʝ a
Atlanta	a t l a n t a
Atlas	a t l a s
Atlántico	a t l a n t i k o
Atlántida	a t l a n t i d a
Atlético	a t l e t i k o
Audelia	a u d e l j a
Augusto	a u ɡ u s t o
Aurelia	a u ɾ e l j a
Aureliano	a u ɾ e l j a n o
Aurelio	a u ɾ e l j o
Aurora	a u ɾ o ɾ a
Austin	a w s t i n
Austin	o s t i n
Australasia	a u s t ɾ a l a s j a
Australia	a u s t ɾ a l j a
Austria	a u s t ɾ j a
Auvernia	a u b e ɾ n j a
Avelar	a b e l a ɾ
Avelina	a b e l i n a
Avelino	a b e l i n o
Avellaneda	a b e ʝ a n e d a
Avellano	a b e ʝ a n o
Avempace	a b e m p a θ e
Avendaño	a b e n d a ɲ o
Avilés	a b i l e s
Aviñón	a b i ɲ o n
Ayacucho	a ʝ a k u t͡ʃ o
Ayala	a ʝ a l a
Ayerbe	a ʝ e ɾ b e
Ayerve	a ʝ e ɾ b e
Ayllón	a i ʝ o n
Aylwin	e l w i n
Aysén	a i s e n
Ayuso	a ʝ u s o
Ayutuxtepeque	a ʝ u t u ɡ s t e p e k e
Azacualpa	a θ a k w a l p a
Azaña	a θ a ɲ a
Azcapotzalco	a θ k a p o t θ a l k o
Azcoitia	a θ k o i t j a
Azerbaiyán	a θ e ɾ b a i ʝ a n
Aznar	a θ n a ɾ
Azores	a θ o ɾ e s
Azpeitia	a θ p e i t j a
Azpíllaga	a θ p i ʝ a ɡ a
Azrael	a θ r a e l
Azuara	a θ w a ɾ a
Azuay	a θ w a i
Azurmendi	a θ u ɾ m e n d i
Aída	a i d a
Aýna	a i n a
BRICS	b ɾ i ɡ s
Babel	b a b e l
Babia	b a b j a
Bacallao	b a k a ʝ a o
Bachicha	b a t͡ʃ i t͡ʃ a
Bachiller	b a t͡ʃ i ʝ e ɾ
Bacilio	b a θ i l j o
Baco	b a k o
Bacoor	b a k o o ɾ
Bacólod	b a k o l o d
Badajoz	b a d a x o θ
Badalona	b a d a l o n a
Baeza	b a e θ a
Bagadó	b a ɡ a d o
Bagdad	b a ɡ d a d
Bahamas	b a a m a s
Bahréin	b a ɾ e i n
Baires	b a i ɾ e s
Baker	b a k e ɾ
Bakú	b a k u
Balaguer	b a l a ɡ e ɾ
Balboa	b a l b o a
Balbuena	b a l b w e n a
Baldenegro	b a l d e n e ɡ ɾ o
Balderama	b a l d e ɾ a m a
Balderas	b a l d e ɾ a s
Balderrama	b a l d e r a m a
Baldomero	b a l d o m e ɾ o
Baldor	b a l d o ɾ
Baldovinos	b a l d o b i n o s
Balduino	b a l d w i n o
Bali	b a l i
Ballester	b a ʝ e s t e ɾ
Ballivián	b a ʝ i b j a n
Balmaceda	b a l m a θ e d a
Balmaseda	b a l m a s e d a
Balmes	b a l m e s
Balta	b a l t a
Baltazar	b a l t a θ a ɾ
Baltodano	b a l t o d a n o
Balíuag	b a l i w a ɡ
Banderas	b a n d e ɾ a s
Bangkok	b a n k o k
Bangladesh	b a n ɡ l a d e ʃ
Bangladés	b a n ɡ l a d e s
Bangui	b a n ɡ i
Baquílides	b a k i l i d e s
Baracoa	b a ɾ a k o a
Baraguá	b a ɾ a ɡ w a
Barahona	b a ɾ a o n a
Barajas	b a ɾ a x a s
Baranoa	b a ɾ a n o a
Baraya	b a ɾ a ʝ a
Barbados	b a ɾ b a d o s
Barbarán	b a ɾ b a ɾ a n
Barbosa	b a ɾ b o s a
Barcelona	b a ɾ θ e l o n a
Barcino	b a ɾ θ i n o
Barco	b a ɾ k o
Bari	b a ɾ i
Barinas	b a ɾ i n a s
Barquilla	b a ɾ k i ʝ a
Barrabás	b a r a b a s
Barrameda	b a r a m e d a
Barranca	b a r a n k a
Barraza	b a r a θ a
Barreda	b a r e d a
Barreiro	b a r e i ɾ o
Barrera	b a r e ɾ a
Barrientos	b a r j e n t o s
Barrionuevo	b a r j o n w e b o
Barrios	b a r j o s
Barroso	b a r o s o
Barrundia	b a r u n d j a
Bartolo	b a ɾ t o l o
Bartolomé	b a ɾ t o l o m e
Bartolón	b a ɾ t o l o n
Baruc	b a ɾ u k
Barásoain	b a ɾ a s o a i n
Barça	b a ɾ s a
Baréin	b a ɾ e i n
Basa	b a s a
Basadre	b a s a d ɾ e
Basaldúa	b a s a l d u a
Basallote	b a s a ʝ o t e
Basco	b a s k o
Basilea	b a s i l e a
Basilio	b a s i l j o
Bastardo	b a s t a ɾ d o
Bataglia	b a t a ɡ l j a
Batangas	b a t a n ɡ a s
Bataán	b a t a a n
Batista	b a t i s t a
Batlle	b a ʝ e
Batman	b a d m a n
Batres	b a t ɾ e s
Baudilio	b a u d i l j o
Bauta	b a u t a
Bautista	b a u t i s t a
Baviera	b a b j e ɾ a
Bayamo	b a ʝ a m o
Bayona	b a ʝ o n a
Bayón	b a ʝ o n
Baz	b a θ
Bazalar	b a θ a l a ɾ
Bazaldúa	b a θ a l d u a
Bazán	b a θ a n
Bañolas	b a ɲ o l a s
Beasáin	b e a s a i n
Beato	b e a t o
Beatriz	b e a t ɾ i θ
Becerra	b e θ e r a
Bedoy	b e d o i
Bedoya	b e d o ʝ a
Begoña	b e ɡ o ɲ a
Beijing	b e i ʝ i n
Beirut	b e i ɾ u t
Belarmino	b e l a ɾ m i n o
Belarra	b e l a r a
Belarús	b e l a ɾ u s
Belasco	b e l a s k o
Belau	b e l a u
Belcebú	b e l θ e b u
Belfast	b e l f a s t
Belgrado	b e l ɡ ɾ a d o
Belice	b e l i θ e
Belisario	b e l i s a ɾ j o
Bellavista	b e ʝ a b i s t a
Belmonte	b e l m o n t e
Belmopán	b e l m o p a n
Beltrán	b e l t ɾ a n
Belén	b e l e n
Benalmádena	b e n a l m a d e n a
Benarés	b e n a ɾ e s
Benasque	b e n a s k e
Benavides	b e n a b i d e s
Benedicto	b e n e d i ɡ t o
Benevento	b e n e b e n t o
Bengala	b e n ɡ a l a
Bengasi	b e n ɡ a s i
Bengoechea	b e n ɡ o e t͡ʃ e a
Benguet	b e n ɡ e t
Beni	b e n i
Benicio	b e n i θ j o
Benigno	b e n i ɡ n o
Benito	b e n i t o
Benjamín	b e n x a m i n
Benín	b e n i n
Benítez	b e n i t e θ
Beocia	b e o θ j a
Berbeo	b e ɾ b e o
Berbería	b e ɾ b e ɾ i a
Berito	b e ɾ i t o
Berlín	b e ɾ l i n
Bermejo	b e ɾ m e x o
Bermudas	b e ɾ m u d a s
Bermudo	b e ɾ m u d o
Bermúdez	b e ɾ m u d e θ
Berna	b e ɾ n a
Bernabé	b e ɾ n a b e
Bernabéu	b e ɾ n a b e u
Bernarda	b e ɾ n a ɾ d a
Bernedo	b e ɾ n e d o
Bernárdez	b e ɾ n a ɾ d e θ
Berrocal	b e r o k a l
Berroya	b e r o ʝ a
Bersabé	b e ɾ s a b e
Berta	b e ɾ t a
Bertrán	b e ɾ t ɾ a n
Berástegui	b e ɾ a s t e ɡ i
Besada	b e s a d a
Besarabia	b e s a ɾ a b j a
Besós	b e s o s
Betancourt	b e t a n k u ɾ d
Beteta	b e t e t a
Bethancourt	b e t a n k u ɾ
Beto	b e t o
Betsabé	b e t s a b e
Betsy	b e t s i
Bianca	b j a n k a
Bianchi	b j a n k i
Bibiana	b i b j a n a
Biblia	b i b l j a
Biblos	b i b l o s
Bielorrusia	b j e l o r u s j a
Bilbao	b i l b a o
Binondo	b i n o n d o
Birmania	b i ɾ m a n j a
Birrueta	b i r w e t a
Bisayas	b i s a ʝ a s
Biskek	b i s k e k
Bissau	b i s a u
Bitinia	b i t i n j a
Bizancio	b i θ a n θ j o
Blanca	b l a n k a
Blancanieves	b l a n k a n j e b e s
Blanchard	b l a n t͡ʃ a ɾ
Blanchard	b l a n t͡ʃ a ɾ d
Blanco	b l a n k o
Blas	b l a s
Blázquez	b l a θ k e θ
Boaco	b o a k o
Boavita	b o a b i t a
Bob	b o b
Bobadilla	b o b a d i ʝ a
Bocaue	b o k a w e
Boccadoro	b o k a d o ɾ o
Boecio	b o e θ j o
Bogotá	b o ɡ o t a
Bohemia	b o e m j a
Bohol	b o o l
Bojayá	b o x a ʝ a
Bolaños	b o l a ɲ o s
Bolduque	b o l d u k e
Bolivia	b o l i b j a
Bolonia	b o l o n j a
Bolsón	b o l s o n
Boluarte	b o l w a ɾ t e
Bolívar	b o l i b a ɾ
Bombay	b o m b a i
Bonachera	b o n a t͡ʃ e ɾ a
Bongará	b o n ɡ a ɾ a
Bonifacio	b o n i f a θ j o
Bonifaz	b o n i f a θ
Bonilla	b o n i ʝ a
Booz	b o o θ
Boquete	b o k e t e
Borbón	b o ɾ b o n
Borges	b o ɾ x e s
Borgoña	b o ɾ ɡ o ɲ a
Boric	b o ɾ i k
Boric	b o ɾ i t͡ʃ
Borinquen	b o ɾ i n k e n
Borja	b o ɾ x a
Borneo	b o ɾ n e o
Borongan	b o ɾ o n ɡ a n
Borrillo	b o r i ʝ o
Bosconia	b o s k o n j a
Bosnia	b o s n j a
Bosque	b o s k e
Boston	b o s t o n
Botello	b o t e ʝ o
Botero	b o t e ɾ o
Botsuana	b o t s w a n a
Botswana	b o t s w a n a
Boyacá	b o ʝ a k a
Brabante	b ɾ a b a n t e
Bracamonte	b ɾ a k a m o n t e
Braganza	b ɾ a ɡ a n θ a
Brandeburgo	b ɾ a n d e b u ɾ ɡ o
Brasil	b ɾ a s i l
Brasilia	b ɾ a s i l j a
Bratislava	b ɾ a t i s l a b a
Braulio	b ɾ a u l j o
Brayan	b ɾ a ʝ a n
Brazzaville	b ɾ a θ a b i l
Brema	b ɾ e m a
Brenda	b ɾ e n d a
Brenes	b ɾ e n e s
Breslavia	b ɾ e s l a b j a
Bretaña	b ɾ e t a ɲ a
Brexit	b ɾ e ɡ s i t
Briceño	b ɾ i θ e ɲ o
Bridgetown	b ɾ i t͡ʃ t a u n
Briones	b ɾ j o n e s
Brizuela	b ɾ i θ w e l a
Broussard	b ɾ u s a ɾ d
Brujas	b ɾ u x a s
Brunilda	b ɾ u n i l d a
Bruno	b ɾ u n o
Brunéi	b ɾ u n e i
Bruselas	b ɾ u s e l a s
Brígido	b ɾ i x i d o
Bucalemu	b u k a l e m u
Bucaramanga	b u k a ɾ a m a n ɡ a
Bucarest	b u k a ɾ e s t
Bucéfalo	b u θ e f a l o
Buda	b u d a
Budapest	b u d a p e s t
Buelna	b w e l n a
Buenaventura	b w e n a b e n t u ɾ a
Buendía	b w e n d i a
Buenrostro	b w e n r o s t ɾ o
Buffyverso	b a f i b e ɾ s o
Bujará	b u x a ɾ a
Bukele	b u k e l e
Bulacán	b u l a k a n
Bulgaria	b u l ɡ a ɾ j a
Bulnes	b u l n e s
Burdeos	b u ɾ d e o s
Burgos	b u ɾ ɡ o s
Burgundia	b u ɾ ɡ u n d j a
Buril	b u ɾ i l
Burundi	b u ɾ u n d i
Bustamante	b u s t a m a n t e
Bustamente	b u s t a m e n t e
Bután	b u t a n
Buyumbura	b u ʝ u m b u ɾ a
Buñuel	b u ɲ w e l
Báez	b a e θ
Bárbara	b a ɾ b a ɾ a
Bárcenas	b a ɾ θ e n a s
Báñez	b a ɲ e θ
Bélgica	b e l x i k a
Bélice	b e l i θ e
Bérgamo	b e ɾ ɡ a m o
CD	θ e d e
CGRI	θ e x e ɾ e i
CONICET	k o n i θ e t
