ա	ɑ
աբերդին	ɑ pʰ ɛ ɾ tʰ i n
աբիջան	ɑ pʰ i t͡ʃʰ ɑ n
աբիսողոմ	ɑ pʰ i s ɔ ʁ ɔ m
աբխազ	ɑ pʰ χ ɑ z
աբխազական	ɑ pʰ χ ɑ z ɑ ɡ ɑ n
աբխազերեն	ɑ pʰ χ ɑ z ɛ ɾ ɛ n
աբխազիա	ɑ pʰ χ ɑ z j ɑ
աբո	ɑ pʰ ɔ
աբոլիցիոնիզմ	ɑ pʰ ɔ l i t͡sʰ i ɔ n i z m
աբոնեմենտ	ɑ pʰ ɔ n ɛ m ɛ n d
աբոնեմենտային	ɑ pʰ ɔ n ɛ m ɛ n d ɑ j i n
աբոնենտ	ɑ pʰ ɔ n ɛ n d
աբովյան	ɑ pʰ ɔ v j ɑ n
աբուջա	ɑ pʰ u t͡ʃʰ ɑ
աբուռ	ɑ pʰ u ɾ
աբսոլյուտ	ɑ pʰ s ɔ l ʏ d
աբսոլյուտիզմ	ɑ pʰ s ɔ l ʏ d i z m
աբսորբել	ɑ pʰ s ɔ ɾ pʰ ɛ l
աբսուրդ	ɑ pʰ s u ɾ tʰ
աբստրակտ	ɑ pʰ s t ɾ ɑ ɡ d
աբստրակցիա	ɑ pʰ s t ɾ ɑ kʰ t͡sʰ j ɑ
աբստրահել	ɑ pʰ s t ɾ ɑ h ɛ l
աբստրահում	ɑ pʰ s t ɾ ɑ h u m
աբստրահվել	ɑ pʰ s t ɾ ɑ h v ɛ l
աբրա	ɑ pʰ ɾ ɑ
աբրահամ	ɑ pʰ ɾ ɑ h ɑ m
աբրահամյան	ɑ pʰ ɾ ɑ h ɑ m j ɑ n
աբրամ	ɑ pʰ ɾ ɑ m
աբրեշում	ɑ pʰ ɾ ɛ ʃ u m
աբրեշումե	ɑ pʰ ɾ ɛ ʃ u m ɛ
աբրուցցո	ɑ pʰ ɾ u t͡sʰː ɔ
աբքայք	ɑ pʰ kʰ ɑ j kʰ
ագա	ɑ kʰ ɑ
ագաթ	ɑ kʰ ɑ tʰ
ագահ	ɑ kʰ ɑ h
ագահաբար	ɑ kʰ ɑ h ɑ pʰ ɑ ɾ
ագահանալ	ɑ kʰ ɑ h ɑ n ɑ l
ագահել	ɑ kʰ ɑ h ɛ l
ագահորեն	ɑ kʰ ɑ h ɔ ɾ ɛ n
ագահություն	ɑ kʰ ɑ h u tʰ ʏ n
ագամեմնոն	ɑ kʰ ɑ m ɛ m n ɔ n
ագանյա	ɑ kʰ ɑ n j ɑ
ագատ	ɑ kʰ ɑ d
ագարակ	ɑ kʰ ɑ ɾ ɑ ɡ
ագարականալ	ɑ kʰ ɑ ɾ ɑ ɡ ɑ n ɑ l
ագարակացնել	ɑ kʰ ɑ ɾ ɑ ɡ ɑ t͡sʰ ə n ɛ l
ագարտալա	ɑ kʰ ɑ ɾ d ɑ l ɑ
ագեվազ	ɑ kʰ ɛ v ɑ z
ագի	ɑ kʰ i
ագինսկոյե	ɑ kʰ i n s k ɔ j ɛ
ագն	ɑ kʰ ə n ə
ագնոստիկ	ɑ kʰ n ɔ s t i ɡ
ագնոստիցիզմ	ɑ kʰ n ɔ s t i t͡sʰ i z m
ագոն	ɑ kʰ ɔ n
ագույց	ɑ kʰ u j t͡sʰ
ագուռ	ɑ kʰ u ɾ
ագուցահանել	ɑ kʰ u t͡sʰ ɑ h ɑ n ɛ l
ագուցանել	ɑ kʰ u t͡sʰ ɑ n ɛ l
ագուցավորել	ɑ kʰ u t͡sʰ ɑ v ɔ ɾ ɛ l
ագուցել	ɑ kʰ u t͡sʰ ɛ l
ագուցվել	ɑ kʰ u t͡sʰ v ɛ l
ագռավ	ɑ kʰ ɾ ɑ v
ագռավանալ	ɑ kʰ ɾ ɑ v ɑ n ɑ l
ագրեգատավորել	ɑ kʰ ɾ ɛ kʰ ɑ d ɑ v ɔ ɾ ɛ l
ագրեսիա	ɑ kʰ ɾ ɛ s j ɑ
ագրիպպաս	ɑ kʰ ɾ i bː ɑ s
ադամ	ɑ tʰ ɑ m
ադամաթուզ	ɑ tʰ ɑ m ɑ tʰ u z
ադամանդ	ɑ tʰ ɑ m ɑ n tʰ
ադամանդագործ	ɑ tʰ ɑ m ɑ n tʰ ɑ kʰ ɔ ɾ d͡z
ադամանդագործական	ɑ tʰ ɑ m ɑ n tʰ ɑ kʰ ɔ ɾ d͡z ɑ ɡ ɑ n
ադամանդագործություն	ɑ tʰ ɑ m ɑ n tʰ ɑ kʰ ɔ ɾ d͡z u tʰ ʏ n
ադամանդել	ɑ tʰ ɑ m ɑ n tʰ ɛ l
ադամանդվել	ɑ tʰ ɑ m ɑ n tʰ v ɛ l
ադանա	ɑ tʰ ɑ n ɑ
ադլեր	ɑ tʰ l ɛ ɾ
ադոնց	ɑ tʰ ɔ n t͡sʰ
ադրբեջան	ɑ tʰ ə ɾ pʰ ɛ t͡ʃʰ ɑ n
ադրբեջանական	ɑ tʰ ə ɾ pʰ ɛ t͡ʃʰ ɑ n ɑ ɡ ɑ n
ադրբեջաներեն	ɑ tʰ ə ɾ pʰ ɛ t͡ʃʰ ɑ n ɛ ɾ ɛ n
ադրբեջանցի	ɑ tʰ ə ɾ pʰ ɛ t͡ʃʰ ɑ n t͡sʰ i
ադրիանապոլիս	ɑ tʰ ɾ i j ɑ n ɑ b ɔ l i s
ադրիանոս	ɑ tʰ ɾ i j ɑ n ɔ s
ազաբանալ	ɑ z ɑ pʰ ɑ n ɑ l
ազաբացնել	ɑ z ɑ pʰ ɑ t͡sʰ ə n ɛ l
ազազանալ	ɑ z ɑ z ɑ n ɑ l
ազազել	ɑ z ɑ z ɛ l
ազատ	ɑ z ɑ d
ազատագնել	ɑ z ɑ d ɑ kʰ ə n ɛ l
ազատագնվել	ɑ z ɑ d ɑ kʰ ə n v ɛ l
ազատագրել	ɑ z ɑ d ɑ kʰ ɾ ɛ l
ազատագրում	ɑ z ɑ d ɑ kʰ ɾ u m
ազատագրվել	ɑ z ɑ d ɑ kʰ ə ɾ v ɛ l
ազատազրկել	ɑ z ɑ d ɑ z ə ɾ ɡ ɛ l
ազատականացնել	ɑ z ɑ d ɑ ɡ ɑ n ɑ t͡sʰ ə n ɛ l
ազատանի	ɑ z ɑ d ɑ n i
ազատել	ɑ z ɑ d ɛ l
ազատություն	ɑ z ɑ d u tʰ ʏ n
ազատքեղ	ɑ z ɑ t kʰ ɛ ʁ
ազբ	ɑ s pʰ
ազբ	ɑ z ə pʰ ə
ազբեստ	ɑ s pʰ ɛ s t
ազգ	ɑ s kʰ
ազգագրական	ɑ s kʰ ɑ kʰ ə ɾ ɑ ɡ ɑ n
ազգական	ɑ s kʰ ɑ ɡ ɑ n
ազգային	ɑ s kʰ ɑ j i n
ազգայնականություն	ɑ s kʰ ɑ j n ɑ ɡ ɑ n u tʰ ʏ n
ազգայնացում	ɑ s kʰ ɑ j n ɑ t͡sʰ u m
ազգանուն	ɑ s kʰ ɑ n u n
ազգասեր	ɑ s kʰ ɑ s ɛ ɾ
ազգեր	ɑ s kʰ ɛ ɾ
ազգերի	ɑ s kʰ ɛ ɾ i
ազգություն	ɑ s kʰ u tʰ ʏ n
ազգուտակ	ɑ s kʰ u d ɑ ɡ
ազդ	ɑ s tʰ
ազդակ	ɑ s tʰ ɑ ɡ
ազդանշան	ɑ s tʰ ɑ n ə ʃ ɑ n
ազդարար	ɑ s tʰ ɑ ɾ ɑ ɾ
ազդարարել	ɑ s tʰ ɑ ɾ ɑ ɾ ɛ l
ազդել	ɑ s tʰ ɛ l
ազդեցիկ	ɑ s tʰ ɛ t͡sʰ i ɡ
ազդեցություն	ɑ s tʰ ɛ t͡sʰ u tʰ ʏ n
ազդող	ɑ s tʰ ɔ ʁ
ազդու	ɑ s tʰ u
ազդվել	ɑ s tʰ v ɛ l
ազդր	ɑ s tʰ ə ɾ
ազդրոսկր	ɑ s tʰ ɾ ɔ s k ə ɾ
ազերի	ɑ z ɛ ɾ i
ազիկ	ɑ z i ɡ
ազնավոր	ɑ z n ɑ v ɔ ɾ
ազնավուր	ɑ z n ɑ v u ɾ
ազնիվ	ɑ z n i v
ազնվական	ɑ z n ə v ɑ ɡ ɑ n
ազնվամորի	ɑ z n ə v ɑ m ɔ ɾ i
ազոխ	ɑ z ɔ χ
ազոտ	ɑ z ɔ d
ազորներ	ɑ z ɔ ɾ n ɛ ɾ
աթաբեկ	ɑ tʰ ɑ pʰ ɛ ɡ
աթեիզմ	ɑ tʰ ɛ j i z m
աթեիստ	ɑ tʰ ɛ i s t
աթենք	ɑ tʰ ɛ ŋ kʰ
աթլաս	ɑ tʰ l ɑ s
աթլետիկա	ɑ tʰ l ɛ d i ɡ ɑ
աթոռ	ɑ tʰ ɔ ɾ
աթոռակ	ɑ tʰ ɔ ɾ ɑ ɡ
աթս	ɑ tʰ ə s ə
աժ	ɑ ʒ ə
աժան	ɑ ʒ ɑ n
աժդահա	ɑ ʒ tʰ ɑ h ɑ
աժդահակ	ɑ ʒ tʰ ɑ h ɑ ɡ
ալ	ɑ l
ալադին	ɑ l ɑ tʰ i n
ալազան	ɑ l ɑ z ɑ n
ալաժահրի	ɑ l ɑ ʒ ɑ h ɾ i
ալամ	ɑ l ɑ m
ալան	ɑ l ɑ n
ալանի	ɑ l ɑ n i
ալանք	ɑ l ɑ ŋ kʰ
ալավերդի	ɑ l ɑ v ɛ ɾ tʰ i
ալարել	ɑ l ɑ ɾ ɛ l
ալբաներեն	ɑ l pʰ ɑ n ɛ ɾ ɛ n
ալբանիա	ɑ l pʰ ɑ n j ɑ
ալբատրոս	ɑ l pʰ ɑ d ɾ ɔ s
ալբերտ	ɑ l pʰ ɛ ɾ d
ալբուխարա	ɑ l pʰ u χ ɑ ɾ ɑ
ալգորիթմ	ɑ l kʰ ɔ ɾ i tʰ m
ալեբաստր	ɑ l ɛ pʰ ɑ s t ə ɾ
ալեզարդ	ɑ l ɛ z ɑ ɾ tʰ
ալեկոծ	ɑ l ɛ ɡ ɔ d͡z
ալեկոծել	ɑ l ɛ ɡ ɔ d͡z ɛ l
ալեհավաք	ɑ l ɛ h ɑ v ɑ kʰ
ալեհերձ	ɑ l ɛ h ɛ ɾ t͡sʰ
ալեմաներեն	ɑ l ɛ m ɑ n ɛ ɾ ɛ n
ալերգիա	ɑ l ɛ ɾ kʰ j ɑ
ալեւոր	ɑ l ɛ v ɔ ɾ
ալեքսանդր	ɑ l ɛ kʰ s ɑ n tʰ ə ɾ
ալեքսանդրիա	ɑ l ɛ kʰ s ɑ n tʰ ɾ j ɑ
ալժիր	ɑ l ʒ i ɾ
ալի	ɑ l i
ալիբի	ɑ l i pʰ i
ալիգատոր	ɑ l i kʰ ɑ d ɔ ɾ
ալիեւ	ɑ l i j ɛ v
ալինա	ɑ l i n ɑ
ալիստեր	ɑ l i s t ɛ ɾ
ալիք	ɑ l i kʰ
ալլահ	ɑ lː ɑ h
ալկայոս	ɑ l ɡ ɑ j ɔ s
ալկիբիադես	ɑ l ɡ i pʰ j ɑ tʰ ɛ s
ալկիոն	ɑ l ɡ i ɔ n
ալկման	ɑ l ɡ m ɑ n
ալկմենե	ɑ l ɡ m ɛ n ɛ
ալկոգել	ɑ l ɡ ɔ kʰ ɛ l
ալկոհոլ	ɑ l ɡ ɔ h ɔ l
ալկոհոլային	ɑ l ɡ ɔ h ɔ l ɑ j i n
ալկոհոլիզմ	ɑ l ɡ ɔ h ɔ l i z m
ալկոհոլիկ	ɑ l ɡ ɔ h ɔ l i ɡ
ալմաթի	ɑ l m ɑ tʰ i
ալմանախ	ɑ l m ɑ n ɑ χ
ալմաս	ɑ l m ɑ s
ալմաստ	ɑ l m ɑ s t
ալյանս	ɑ l j ɑ n s
ալյասկա	ɑ l j ɑ s k ɑ
ալյումին	ɑ l ʏ m i n
ալյումինում	ɑ l ʏ m i n u m
ալյուր	ɑ l ʏ ɾ
ալոե	ɑ l ɔ ɛ
ալոճ	ɑ l ɔ d͡ʒ
ալոճենի	ɑ l ɔ d͡ʒ ɛ n i
ալոջ	ɑ l ɔ t͡ʃʰ
ալուցք	ɑ l u t͡sʰ kʰ
ալպագա	ɑ l b ɑ kʰ ɑ
ալպակ	ɑ l b ɑ ɡ
ալպակա	ɑ l b ɑ ɡ ɑ
ալպեր	ɑ l b ɛ ɾ
ալպինիզմ	ɑ l b i n i z m
ալպինիստ	ɑ l b i n i s t
ալջունիդ	ɑ l t͡ʃʰ u n i tʰ
ալտ	ɑ l d
ալտերնատիվ	ɑ l d ɛ ɾ n ɑ d i v
ալք	ɑ l kʰ
ալքիմիա	ɑ l kʰ i m j ɑ
ալքիմիկոս	ɑ l kʰ i m i ɡ ɔ s
ախալցխա	ɑ χ ɑ l t͡sʰ ə χ ɑ
ախալքալաք	ɑ χ ɑ l kʰ ɑ l ɑ kʰ
ախալքալաքի	ɑ χ ɑ l kʰ ɑ l ɑ kʰ i
ախոյան	ɑ χ ɔ j ɑ n
ախոռ	ɑ χ ɔ ɾ
ախորժ	ɑ χ ɔ ɾ ʒ
ախորժակ	ɑ χ ɔ ɾ ʒ ɑ ɡ
ախուրյան	ɑ χ u ɾ j ɑ n
ախպար	ɑ χ p ɑ ɾ
ախպեր	ɑ χ p ɛ ɾ
ախտ	ɑ χ t
ախտաբան	ɑ χ t ɑ pʰ ɑ n
ախտարար	ɑ χ t ɑ ɾ ɑ ɾ
ախտորոշել	ɑ χ t ɔ ɾ ɔ ʃ ɛ l
ախտորոշում	ɑ χ t ɔ ɾ ɔ ʃ u m
ած	ɑ d͡z
ածական	ɑ d͡z ɑ ɡ ɑ n
ածականային	ɑ d͡z ɑ ɡ ɑ n ɑ j i n
ածանց	ɑ d͡z ɑ n t͡sʰ
ածանցել	ɑ d͡z ɑ n t͡sʰ ɛ l
ածանցյալ	ɑ d͡z ɑ n t͡sʰ j ɑ l
ածել	ɑ d͡z ɛ l
ածելի	ɑ d͡z ɛ l i
ածեր	ɑ d͡z ɛ ɾ
ածիլել	ɑ d͡z i l ɛ l
ածիկ	ɑ d͡z i ɡ
ածխաթթու	ɑ d͡z χ ɑ tʰ ə tʰ u
ածխածին	ɑ d͡z χ ɑ d͡z i n
ածու	ɑ d͡z u
ածուխ	ɑ d͡z u χ
ածք	ɑ t͡sʰ kʰ
ակ	ɑ ɡ
ակադեմիա	ɑ ɡ ɑ tʰ ɛ m j ɑ
ակահ	ɑ ɡ ɑ h
ական	ɑ ɡ ɑ n
ականակիտ	ɑ ɡ ɑ n ɑ ɡ i d
ականավոր	ɑ ɡ ɑ n ɑ v ɔ ɾ
ականատես	ɑ ɡ ɑ n ɑ d ɛ s
ականի	ɑ ɡ ɑ n i
ականջ	ɑ ɡ ɑ n t͡ʃʰ
ականջակալ	ɑ ɡ ɑ n t͡ʃʰ ɑ ɡ ɑ l
ականջատ	ɑ ɡ ɑ n t͡ʃʰ ɑ d
ականջօղ	ɑ ɡ ɑ n t͡ʃʰ ɔ ʁ
ակիշ	ɑ ɡ i ʃ
ակն	ɑ ɡ ə n
ակնաբանություն	ɑ ɡ n ɑ pʰ ɑ n u tʰ ʏ n
ակնաբուժություն	ɑ ɡ n ɑ pʰ u ʒ u tʰ ʏ n
ակնախնձոր	ɑ ɡ n ɑ χ ə n t͡sʰ ɔ ɾ
ակնածալի	ɑ ɡ n ɑ d͡z ɑ l i
ակնածալից	ɑ ɡ n ɑ d͡z ɑ l i t͡sʰ
ակնածական	ɑ ɡ n ɑ d͡z ɑ ɡ ɑ n
ակնածանք	ɑ ɡ n ɑ d͡z ɑ ŋ kʰ
ակնածել	ɑ ɡ n ɑ d͡z ɛ l
ակնածելի	ɑ ɡ n ɑ d͡z ɛ l i
ակնածիածան	ɑ ɡ n ɑ d͡z i j ɑ d͡z ɑ n
ակնածոտ	ɑ ɡ n ɑ d͡z ɔ d
ակնածու	ɑ ɡ n ɑ d͡z u
ակնածություն	ɑ ɡ n ɑ d͡z u tʰ ʏ n
ակնակապիճ	ɑ ɡ n ɑ ɡ ɑ b i d͡ʒ
ակնաղբյուր	ɑ ɡ n ɑ χ p ʏ ɾ
ակնամոմ	ɑ ɡ n ɑ m ɔ m
ակնային	ɑ ɡ n ɑ j i n
ակնարկ	ɑ ɡ n ɑ ɾ ɡ
ակնեղեն	ɑ ɡ n ɛ ʁ ɛ n
ակներեւ	ɑ ɡ n ɛ ɾ ɛ v
ակներեւաբար	ɑ ɡ n ɛ ɾ ɛ v ɑ pʰ ɑ ɾ
ակներեւապես	ɑ ɡ n ɛ ɾ ɛ v ɑ b ɛ s
ակներեւորեն	ɑ ɡ n ɛ ɾ ɛ v ɔ ɾ ɛ n
ակնթարթ	ɑ ɡ ə n tʰ ɑ ɾ tʰ
ակնկալել	ɑ ɡ ə ŋ ɡ ɑ l ɛ l
ակնկալիք	ɑ ɡ ə ŋ ɡ ɑ l i kʰ
ակնհայտ	ɑ ɡ ə n h ɑ j d
ակնհայտնի	ɑ ɡ ə n h ɑ j d n i
ակնոց	ɑ ɡ n ɔ t͡sʰ
ակոս	ɑ ɡ ɔ s
ակորդեոն	ɑ ɡ ɔ ɾ tʰ ɛ ɔ n
ակութ	ɑ ɡ u tʰ
ակումբ	ɑ ɡ u m pʰ
ակունք	ɑ ɡ u ŋ kʰ
ակուշկա	ɑ k u ʃ k ɑ
ակռա	ɑ ɡ ɾ ɑ
ակտինիում	ɑ ɡ d i n i j u m
ակտիվ	ɑ ɡ d i v
ակտիվորեն	ɑ ɡ d i v ɔ ɾ ɛ n
ակրոբատ	ɑ ɡ ɾ ɔ pʰ ɑ d
ակրոպոլիս	ɑ ɡ ɾ ɔ b ɔ l i s
ահ	ɑ h
ահաբեկ	ɑ h ɑ pʰ ɛ ɡ
ահաբեկել	ɑ h ɑ pʰ ɛ ɡ ɛ l
ահաբեկիչ	ɑ h ɑ pʰ ɛ ɡ i t͡ʃʰ
ահաբեկություն	ɑ h ɑ pʰ ɛ ɡ u tʰ ʏ n
ահաբեկում	ɑ h ɑ pʰ ɛ ɡ u m
ահաբեկչական	ɑ h ɑ pʰ ɛ kʰ t͡ʃʰ ɑ ɡ ɑ n
ահաբեկչություն	ɑ h ɑ pʰ ɛ kʰ t͡ʃʰ u tʰ ʏ n
ահաբեկվածություն	ɑ h ɑ pʰ ɛ ɡ v ɑ d͡z u tʰ ʏ n
ահաբեկվել	ɑ h ɑ pʰ ɛ ɡ v ɛ l
ահագին	ɑ h ɑ kʰ i n
ահագնանալ	ɑ h ɑ kʰ n ɑ n ɑ l
ահազանգ	ɑ h ɑ z ɑ ŋ kʰ
ահազանգել	ɑ h ɑ z ɑ ŋ kʰ ɛ l
ահազանգում	ɑ h ɑ z ɑ ŋ kʰ u m
ահազարհուր	ɑ h ɑ z ɑ ɾ h u ɾ
ահազդ	ɑ h ɑ s tʰ
ահազդեցիկ	ɑ h ɑ s tʰ ɛ t͡sʰ i ɡ
ահազդիկ	ɑ h ɑ s tʰ i ɡ
ահազդու	ɑ h ɑ s tʰ u
ահահար	ɑ h ɑ h ɑ ɾ
ահարոն	ɑ h ɑ ɾ ɔ n
ահեղ	ɑ h ɛ ʁ
ահրիման	ɑ h ɾ i m ɑ n
աղ	ɑ ʁ
աղա	ɑ ʁ ɑ
աղագավ	ɑ ʁ ɑ kʰ ɑ v
աղաթոն	ɑ ʁ ɑ tʰ ɔ n
աղալ	ɑ ʁ ɑ l
աղախին	ɑ ʁ ɑ χ i n
աղաղակ	ɑ ʁ ɑ ʁ ɑ ɡ
աղաղակել	ɑ ʁ ɑ ʁ ɑ ɡ ɛ l
աղաման	ɑ ʁ ɑ m ɑ n
աղամող	ɑ ʁ ɑ m ɔ ʁ
աղայան	ɑ ʁ ɑ j ɑ n
աղանդ	ɑ ʁ ɑ n tʰ
աղանդավոր	ɑ ʁ ɑ n tʰ ɑ v ɔ ɾ
աղանդավորական	ɑ ʁ ɑ n tʰ ɑ v ɔ ɾ ɑ ɡ ɑ n
աղանդավորություն	ɑ ʁ ɑ n tʰ ɑ v ɔ ɾ u tʰ ʏ n
աղանդեր	ɑ ʁ ɑ n tʰ ɛ ɾ
աղանձ	ɑ ʁ ɑ n t͡sʰ
աղանձել	ɑ ʁ ɑ n t͡sʰ ɛ l
աղաչանք	ɑ ʁ ɑ t͡ʃʰ ɑ ŋ kʰ
աղաչել	ɑ ʁ ɑ t͡ʃʰ ɛ l
աղասի	ɑ ʁ ɑ s i
աղավաղ	ɑ ʁ ɑ v ɑ ʁ
աղավաղել	ɑ ʁ ɑ v ɑ ʁ ɛ l
աղավնի	ɑ ʁ ɑ v n i
աղատ	ɑ ʁ ɑ d
աղատել	ɑ ʁ ɑ d ɛ l
աղարտել	ɑ ʁ ɑ ɾ d ɛ l
աղաց	ɑ ʁ ɑ t͡sʰ
աղաֆոն	ɑ ʁ ɑ f ɔ n
աղբ	ɑ χ p
աղբաման	ɑ χ pʰ ɑ m ɑ n
աղբանոց	ɑ χ p ɑ n ɔ t͡sʰ
աղբարկղ	ɑ χ p ɑ ɾ ɡ ə ʁ
աղբերակ	ɑ χ p ɛ ɾ ɑ ɡ
աղբյուս	ɑ χ p ʏ s
աղբյուր	ɑ χ p ʏ ɾ
աղբյուրակ	ɑ χ p ʏ ɾ ɑ ɡ
աղբուտ	ɑ χ p u d
աղդամ	ɑ χ tʰ ɑ m
աղեբեկ	ɑ ʁ ɛ pʰ ɛ ɡ
աղեկ	ɑ ʁ ɛ ɡ
աղեղ	ɑ ʁ ɛ ʁ
աղետ	ɑ ʁ ɛ d
աղերս	ɑ ʁ ɛ ɾ s
աղերսանք	ɑ ʁ ɛ ɾ s ɑ ŋ kʰ
աղերսել	ɑ ʁ ɛ ɾ s ɛ l
աղի	ɑ ʁ i
աղիճ	ɑ ʁ i d͡ʒ
աղիողորմ	ɑ ʁ i ɔ ʁ ɔ ɾ m
աղիք	ɑ ʁ i kʰ
աղլուխ	ɑ ʁ l u χ
աղխ	ɑ χː
աղկաղկ	ɑ χ k ɑ χ k
աղճատ	ɑ ʁ d͡ʒ ɑ d
աղճատել	ɑ ʁ d͡ʒ ɑ d ɛ l
աղմկել	ɑ ʁ m ə ɡ ɛ l
աղմուկ	ɑ ʁ m u ɡ
աղյուս	ɑ ʁ ʏ s
աղյուսակ	ɑ ʁ ʏ s ɑ ɡ
աղյուսե	ɑ ʁ ʏ s ɛ
աղյուսյակ	ɑ ʁ ʏ s j ɑ ɡ
աղոթակեր	ɑ ʁ ɔ tʰ ɑ ɡ ɛ ɾ
աղոթել	ɑ ʁ ɔ tʰ ɛ l
աղոթկեր	ɑ ʁ ɔ tʰ k ɛ ɾ
աղոթք	ɑ ʁ ɔ tʰ kʰ
աղոտ	ɑ ʁ ɔ d
աղորի	ɑ ʁ ɔ ɾ i
աղորիք	ɑ ʁ ɔ ɾ i kʰ
աղու	ɑ ʁ u
աղուն	ɑ ʁ u n
աղունիկ	ɑ ʁ u n i ɡ
աղջամուղջ	ɑ χ t͡ʃʰ ɑ m u χ t͡ʃʰ
աղջիկ	ɑ χ t͡ʃʰ i ɡ
աղջություն	ɑ χ t͡ʃʰ u tʰ ʏ n
աղվամազ	ɑ ʁ v ɑ m ɑ z
աղվան	ɑ ʁ v ɑ n
աղվանք	ɑ ʁ v ɑ ŋ kʰ
աղվաշ	ɑ ʁ v ɑ ʃ
աղվես	ɑ ʁ v ɛ s
աղվեսենի	ɑ ʁ v ɛ s ɛ n i
աղվոր	ɑ ʁ v ɔ ɾ
աղտ	ɑ ʁ d
աղտամուղտ	ɑ ʁ d ɑ m u ʁ d
աղտեղի	ɑ ʁ d ɛ ʁ i
աղտոտ	ɑ χ t ɔ d
աղտոտել	ɑ χ t ɔ d ɛ l
աղցան	ɑ χ t͡sʰ ɑ n
աղքատ	ɑ χ kʰ ɑ d
աղքատները	ɑ χ kʰ ɑ d n ɛ ɾ ə
աղքատություն	ɑ χ kʰ ɑ d u tʰ ʏ n
աճ	ɑ d͡ʒ
աճապարել	ɑ d͡ʒ ɑ b ɑ ɾ ɛ l
աճառյան	ɑ d͡ʒ ɑ ɾ j ɑ n
աճացնել	ɑ d͡ʒ ɑ t͡sʰ ə n ɛ l
աճել	ɑ d͡ʒ ɛ l
աճեմ	ɑ d͡ʒ ɛ m
աճեմյան	ɑ d͡ʒ ɛ m j ɑ n
աճեցնել	ɑ d͡ʒ ɛ t͡sʰ ə n ɛ l
աճյուն	ɑ d͡ʒ ʏ n
աճուկ	ɑ d͡ʒ u ɡ
աճուրդ	ɑ d͡ʒ u ɾ tʰ
աճպարարություն	ɑ d͡ʒ b ɑ ɾ ɑ ɾ u tʰ ʏ n
ամ	ɑ m
ամազոն	ɑ m ɑ z ɔ n
ամայանալ	ɑ m ɑ j ɑ n ɑ l
ամայի	ɑ m ɑ j i
աման	ɑ m ɑ n
ամանակ	ɑ m ɑ n ɑ ɡ
ամանոս	ɑ m ɑ n ɔ s
ամանոր	ɑ m ɑ n ɔ ɾ
ամանորյա	ɑ m ɑ n ɔ ɾ j ɑ
ամաչել	ɑ m ɑ t͡ʃʰ ɛ l
ամաչկոտ	ɑ m ɑ t͡ʃʰ k ɔ d
ամառային	ɑ m ɑ ɾ ɑ j i n
ամառանոց	ɑ m ɑ ɾ ɑ n ɔ t͡sʰ
