A	a
aberezko	a b e ɾ e s̻ k o
aberezko	a b e ɾ e s̻ k o
aberezko	a b e ɾ e s̺ k o
aberrazio	a b e r a s̻ i o
aberrazio	a b e r a s̻ i o
aberrazio	a b e r a s̺ i o
aberri	a b e r i
aberrigabe	a b e r i ɡ a b e
aberriratu	a b e r i ɾ a t u
abertzale	a b e r t͡s̻ a l e
abertzalego	a b e r t͡s̻ a l e ɡ o
abertzalekeria	a b e r t͡s̻ a l e k e ɾ i a
abertzaletasun	a b e r t͡s̻ a l e t a s̺ u n
abertzaletu	a b e r t͡s̻ a l e t u
abes	a b e s̺
abesbatza	a b e s̺ b a t͡s̻ a
abeslari	a b e s̺ l a ɾ i
abestalde	a b e s̺ t a l d e
abestaldi	a b e s̺ t a l d i
abeste	a b e s̺ t e
abesten	a b e s̺ t e n
abesti	a b e s̺ t i
abestu	a b e s̺ t u
abestuko	a b e s̺ t u k o
abia	a b i a
abiaburu	a b i a b u ɾ u
abiada	a b i a d a
abiadan	a b i a d a n
abiadura	a b i a d u ɾ a
abiagailu	a b i a ɡ a i̯ l u
abiagailu	a b i a ɡ a ʎ u
abiagune	a b i a ɡ u n e
abialdi	a b i a l d i
abiamen	a b i a m e n
abian	a b i a n
abiapuntu	a b i a p u n t u
abiarazi	a b i a ɾ a s̻ i
abiarazi	a b i a ɾ a s̻ i
abiarazi	a b i a ɾ a s̺ i
abiarazle	a b i a ɾ a s̻ l e
abiarazle	a b i a ɾ a s̻ l e
abiarazle	a b i a ɾ a s̺ l e
abiasari	a b i a s̺ a ɾ i
abiatu	a b i a t u
abiatzaile	a b i a t͡s̻ a i̯ l e
abiatzaile	a b i a t͡s̻ a ʎ e
abiazio	a b i a s̻ i o
abiazio	a b i a s̻ i o
abiazio	a b i a s̺ i o
abil	a b i l
abildu	a b i l d u
abilezia	a b i l e s̻ i a
abilezia	a b i l e s̻ i a
abilezia	a b i l e s̺ i a
abilidade	a b i l i d a d e
abilki	a b i l k i
abiltasun	a b i l t a s̺ u n
abio	a b i o
abioneta	a b i o n e t a
abisal	a b i s̺ a l
abisatu	a b i s̺ a t u
abisu	a b i s̺ u
abitu	a b i t u
abixoi	a b i ʃ o i̯
abizari	a b i s̻ a ɾ i
abizari	a b i s̻ a ɾ i
abizari	a b i s̺ a ɾ i
abizen	a b i s̻ e n
abizen	a b i s̻ e n
abizen	a b i s̺ e n
abkhazera	a b k a s̻ e ɾ a
abkhazera	a b x a s̻ e ɾ a
abkhazera	a b x a s̻ e ɾ a
abkhazera	a b x a s̺ e ɾ a
Abkhazia	a b k a s̻ i a
Abkhazia	a b x a s̻ i a
Abkhazia	a b x a s̻ i a
Abkhazia	a b x a s̺ i a
abkhaziar	a b k a s̻ i a r
abkhaziar	a b x a s̻ i a r
abkhaziar	a b x a s̻ i a r
abkhaziar	a b x a s̺ i a r
abkhaziera	a b k a s̻ i e ɾ a
abkhaziera	a b x a s̻ i e ɾ a
abkhaziera	a b x a s̻ i e ɾ a
abkhaziera	a b x a s̺ i e ɾ a
ablatibo	a b l a t i b o
ablazio	a b l a s̻ i o
ablazio	a b l a s̻ i o
ablazio	a b l a s̺ i o
aboatu	a b o a t u
Aboitiz	a b o i̯ t i s̻
Aboitiz	a b o i̯ t i s̻
Aboitiz	a b o i̯ t i s̺
abokatu	a b o k a t u
abokatuk	a b o k a t u k
abokaturik	a b o k a t u ɾ i k
abokatutza	a b o k a t u t͡s̻ a
aboli	a b o l i
abolitu	a b o l i t u
abolizio	a b o l i s̻ i o
abolizio	a b o l i s̻ i o
abolizio	a b o l i s̺ i o
abolizionismo	a b o l i s̻ i o n i s̺ m o
abolizionismo	a b o l i s̻ i o n i s̺ m o
abolizionismo	a b o l i s̺ i o n i s̺ m o
abolizionista	a b o l i s̻ i o n i s̺ t a
abolizionista	a b o l i s̻ i o n i s̺ t a
abolizionista	a b o l i s̺ i o n i s̺ t a
abonamendu	a b o n a m e n d u
abonatu	a b o n a t u
abondo	a b o n d o
abonitu	a b o n i t u
abonu	a b o n u
abordatu	a b o r d a t u
abordatze	a b o r d a t͡s̻ e
aborigen	a b o ɾ i ɡ e n
aborin	a b o ɾ i n
aborritu	a b o r i t u
abortatu	a b o r t a t u
abortatze	a b o r t a t͡s̻ e
abortu	a b o r t u
abortza	a b o r t͡s̻ a
abrasio	a b r a s̺ i o
abrigo	a b r i ɡ o
abrigu	a b r i ɡ u
abrikot	a b r i k o t
abrikotondo	a b r i k o t o n d o
abruska	a b r u s̺ k a
absente	a b s̺ e n t e
absentismo	a b s̺ e n t i s̺ m o
absentzia	a b s̺ e n t͡s̻ i a
abside	a b s̺ i d e
absolbitu	a b s̺ o l b i t u
absolutibo	a b s̺ o l u t i b o
absolutismo	a b s̺ o l u t i s̺ m o
absolutista	a b s̺ o l u t i s̺ t a
absolutu	a b s̺ o l u t u
absolutuki	a b s̺ o l u t u k i
absolututasun	a b s̺ o l u t u t a s̺ u n
absoluzio	a b s̺ o l u s̻ i o
absoluzio	a b s̺ o l u s̻ i o
absoluzio	a b s̺ o l u s̺ i o
absorbatu	a b s̺ o r b a t u
absortzio	a b s̺ o r t͡s̻ i o
abstenitu	a b s̺ t e n i t u
abstentzio	a b s̺ t e n t͡s̻ i o
abstinentzia	a b s̺ t i n e n t͡s̻ i a
abstinentzia	a b s̺ t i ɲ e n t͡s̻ i a
abstraitu	a b s̺ t r a i̯ t u
abstraktu	a b s̺ t r a k t u
abstrakzio	a b s̺ t r a k s̻ i o
abstrakzio	a b s̺ t r a k s̻ i o
abstrakzio	a b s̺ t r a k s̺ i o
absurdo	a b s̺ u r d o
abu	a b u
Abundi	a b u n d i
Abundio	a b u n d i o
aburna	a b u r n a
aburu	a b u ɾ u
aburukide	a b u ɾ u k i d e
aburumenka	a b u ɾ u m e n k a
aburuz	a b u ɾ u s̻
aburuz	a b u ɾ u s̻
aburuz	a b u ɾ u s̺
abusatu	a b u s̺ a t u
abusu	a b u s̺ u
abuztu	a b u s̻ t u
abuztu	a b u s̻ t u
abuztu	a b u s̺ t u
abzesu	a b s̻ e s̺ u
abzesu	a b s̻ e s̺ u
abzesu	a b s̺ e s̺ u
abzisa	a b s̻ i s̺ a
abzisa	a b s̻ i s̺ a
abzisa	a b s̺ i s̺ a
accesit	a k s̻ e s̺ i t
accesit	a k s̻ e s̺ i t
accesit	a k s̺ e s̺ i t
adabaki	a d a b a k i
adabakitu	a d a b a k i t u
adabatu	a d a b a t u
adabegi	a d a b e ɡ i
adabegitsu	a d a b e ɡ i t͡s̺ u
adabegitsu	a d a b e ɡ i t͡s̺ u
adabegitsu	a d a b e ɡ i t͡s̻ u
adabeso	a d a b e s̺ o
adaburu	a d a b u ɾ u
adaburutu	a d a b u ɾ u t u
adagio	a d a ɡ i o
adaje	a d a ʒ e
adaje	a d a x e
adakera	a d a k e ɾ a
adaki	a d a k i
adakitu	a d a k i t u
adaptatu	a d a p t a t u
adar	a d a r
adarbakar	a d a r b a k a r
adarbakoitz	a d a r b a k o i̯ t͡s̻
adardun	a d a r d u n
adargabe	a d a r ɡ a b e
adarjotzaile	a d a r ɟ o t͡s̻ a i̯ l e
adarjotzaile	a d a r x o t͡s̻ a ʎ e
adarjotzaile	a d a r x o t͡s̻ a ʎ e
adarjotzaile	a d a r d͡ʒ o t͡s̻ a ʎ e
adarjotzaile	a d a r j o t͡s̻ a ʎ e
adarjotze	a d a r ɟ o t͡s̻ e
adarjotze	a d a r x o t͡s̻ e
adarjotze	a d a r x o t͡s̻ e
adarjotze	a d a r d͡ʒ o t͡s̻ e
adarjotze	a d a r j o t͡s̻ e
adarka	a d a r k a
adarkada	a d a r k a d a
adarkadura	a d a r k a d u ɾ a
adarkari	a d a r k a ɾ i
adarkatu	a d a r k a t u
adarki	a d a r k i
adarmotz	a d a r m o t͡s̻
adaro	a d a ɾ o
adarreko	a d a r e k o
adarrondo	a d a r o n d o
adarrondotsu	a d a r o n d o t͡s̺ u
adarrondotsu	a d a r o n d o t͡s̺ u
adarrondotsu	a d a r o n d o t͡s̻ u
adartsu	a d a r t͡s̺ u
adartsu	a d a r t͡s̺ u
adartsu	a d a r t͡s̻ u
adartu	a d a r t u
adarzabal	a d a r s̻ a b a l
adarzabal	a d a r s̻ a b a l
adarzabal	a d a r s̺ a b a l
adasdun	a d a s̺ d u n
adastu	a d a s̺ t u
adats	a d a t͡s̺
adats	a d a t͡s̺
adats	a d a t͡s̻
adausi	a d a u̯ s̺ i
adausika	a d a u̯ s̺ i k a
adaxka	a d a ʃ k a
adberbial	a d b e r b i a l
adberbio	a d b e r b i o
adegi	a d e ɡ i
adei	a d e i̯
adeitasun	a d e i̯ t a s̺ u n
adeitasunez	a d e i̯ t a s̺ u n e s̻
adeitasunez	a d e i̯ t a s̺ u n e s̻
adeitasunez	a d e i̯ t a s̺ u n e s̺
adeitasunezko	a d e i̯ t a s̺ u n e s̻ k o
adeitasunezko	a d e i̯ t a s̺ u n e s̻ k o
adeitasunezko	a d e i̯ t a s̺ u n e s̺ k o
adeitsu	a d e i̯ t͡s̺ u
adeitsu	a d e i̯ t͡s̺ u
adeitsu	a d e i̯ t͡s̻ u
adeitsuki	a d e i̯ t͡s̺ u k i
adeitsuki	a d e i̯ t͡s̺ u k i
adeitsuki	a d e i̯ t͡s̻ u k i
adelatu	a d e l a t u
adelazale	a d e l a s̻ a l e
adelazale	a d e l a s̻ a l e
adelazale	a d e l a s̺ a l e
adelu	a d e l u
adenina	a d e n i n a
adi	a d i
adia	a d i a
adiabatiko	a d i a b a t i k o
adiagile	a d i a ɡ i l e
adiagile	a d i a ɡ i ʎ e
adiaka	a d i a k a
adiakari	a d i a k a ɾ i
adiakatu	a d i a k a t u
adian	a d i a n
adibide	a d i b i d e
adibidetegi	a d i b i d e t e ɡ i
adibidez	a d i b i d e s̻
adibidez	a d i b i d e s̻
adibidez	a d i b i d e s̺
adiera	a d i e ɾ a
adierabakar	a d i e ɾ a b a k a r
adierazezin	a d i e ɾ a s̻ e s̻ i n
adierazezin	a d i e ɾ a s̻ e s̻ i n
adierazezin	a d i e ɾ a s̺ e s̺ i n
adierazgarri	a d i e ɾ a s̻ ɡ a r i
adierazgarri	a d i e ɾ a s̻ ɡ a r i
adierazgarri	a d i e ɾ a s̺ ɡ a r i
adierazgarritasun	a d i e ɾ a s̻ ɡ a r i t a s̺ u n
adierazgarritasun	a d i e ɾ a s̻ ɡ a r i t a s̺ u n
adierazgarritasun	a d i e ɾ a s̺ ɡ a r i t a s̺ u n
adierazi	a d i e ɾ a s̻ i
adierazi	a d i e ɾ a s̻ i
adierazi	a d i e ɾ a s̺ i
adierazkaitz	a d i e ɾ a s̻ k a i̯ t͡s̻
adierazkaitz	a d i e ɾ a s̻ k a i̯ t͡s̻
adierazkaitz	a d i e ɾ a s̺ k a i̯ t͡s̻
adierazkizun	a d i e ɾ a s̻ k i s̻ u n
adierazkizun	a d i e ɾ a s̻ k i s̻ u n
adierazkizun	a d i e ɾ a s̺ k i s̺ u n
adierazkor	a d i e ɾ a s̻ k o r
adierazkor	a d i e ɾ a s̻ k o r
adierazkor	a d i e ɾ a s̺ k o r
adierazkortasun	a d i e ɾ a s̻ k o r t a s̺ u n
adierazkortasun	a d i e ɾ a s̻ k o r t a s̺ u n
adierazkortasun	a d i e ɾ a s̺ k o r t a s̺ u n
adierazle	a d i e ɾ a s̻ l e
adierazle	a d i e ɾ a s̻ l e
adierazle	a d i e ɾ a s̺ l e
adierazmolde	a d i e ɾ a s̻ m o l d e
adierazmolde	a d i e ɾ a s̻ m o l d e
adierazmolde	a d i e ɾ a s̺ m o l d e
adierazpen	a d i e ɾ a s̻ p e n
adierazpen	a d i e ɾ a s̻ p e n
adierazpen	a d i e ɾ a s̺ p e n
adierazpide	a d i e ɾ a s̻ p i d e
adierazpide	a d i e ɾ a s̻ p i d e
adierazpide	a d i e ɾ a s̺ p i d e
adierazte	a d i e ɾ a s̻ t e
adierazte	a d i e ɾ a s̻ t e
adierazte	a d i e ɾ a s̺ t e
adierraz	a d i e r a s̻
adierraz	a d i e r a s̻
adierraz	a d i e r a s̺
adierraztasun	a d i e r a s̻ t a s̺ u n
adierraztasun	a d i e r a s̻ t a s̺ u n
adierraztasun	a d i e r a s̺ t a s̺ u n
adiezin	a d i e s̻ i n
adiezin	a d i e s̻ i n
adiezin	a d i e s̺ i n
adigabe	a d i ɡ a b e
adigabetu	a d i ɡ a b e t u
adigai	a d i ɡ a i̯
adigaitz	a d i ɡ a i̯ t͡s̻
adigaiztasun	a d i ɡ a i̯ s̻ t a s̺ u n
adigaiztasun	a d i ɡ a i̯ s̻ t a s̺ u n
adigaiztasun	a d i ɡ a i̯ s̺ t a s̺ u n
adigalkor	a d i ɡ a l k o r
adigarri	a d i ɡ a r i
adigarritasun	a d i ɡ a r i t a s̺ u n
adigogor	a d i ɡ o ɡ o r
adiguri	a d i ɡ u ɾ i
adiguritsu	a d i ɡ u ɾ i t͡s̺ u
adiguritsu	a d i ɡ u ɾ i t͡s̺ u
adiguritsu	a d i ɡ u ɾ i t͡s̻ u
adikatu	a d i k a t u
adikor	a d i k o r
adikune	a d i k u n e
adimen	a d i m e n
adimendu	a d i m e n d u
adimendun	a d i m e n d u n
adimengabe	a d i m e n ɡ a b e
adimentsu	a d i m e n t͡s̺ u
adimentsu	a d i m e n t͡s̺ u
adimentsu	a d i m e n t͡s̻ u
adin	a d i n
adiskide	a d i s̺ k i d e
adiskidetasun	a d i s̺ k i d e t a s̺ u n
aditu	a d i t u
aditz	a d i t͡s̻
aditzondo	a d i t͡s̻ o n d o
adizki	a d i s̻ k i
adizki	a d i s̻ k i
adizki	a d i s̺ k i
adizkitegi	a d i s̻ k i t e ɡ i
adizkitegi	a d i s̻ k i t e ɡ i
adizkitegi	a d i s̺ k i t e ɡ i
administratzaile	a d m i n i s̺ t r a t͡s̻ a i̯ l e
administratzaile	a d m i n i s̺ t r a t͡s̻ a ʎ e
Adolba	a d o l b a
adore	a d o ɾ e
ados	a d o s̺
adoste	a d o s̺ t e
adosten	a d o s̺ t e n
adostu	a d o s̺ t u
adostuko	a d o s̺ t u k o
adreilu	a d r e i̯ l u
adreilu	a d r e ʎ u
adur	a d u r
aerobik	a e ɾ o b i k
aerobiko	a e ɾ o b i k o
aerobio	a e ɾ o b i o
aerodinamika	a e ɾ o d i n a m i k a
aerodinamiko	a e ɾ o d i n a m i k o
aerodromo	a e ɾ o d r o m o
aeroespazial	a e ɾ o e s̺ p a s̻ i a l
aeroklub	a e ɾ o k l u b
aerolabaingailu	a e ɾ o l a b a i̯ n ɡ a i̯ l u
aerolabaingailu	a e ɾ o l a b a i̯ n ɡ a ʎ u
aerolito	a e ɾ o l i t o
aerometro	a e ɾ o m e t r o
aeromodelismo	a e ɾ o m o d e l i s̺ m o
aeronauta	a e ɾ o n a u̯ t a
aeronautika	a e ɾ o n a u̯ t i k a
aeronautiko	a e ɾ o n a u̯ t i k o
aeroplano	a e ɾ o p l a n o
aerosol	a e ɾ o s̺ o l
aerosorgailu	a e ɾ o s̺ o r ɡ a ʎ u
aerosorgailu	a e ɾ o s̺ o r ɡ a i̯ l u
aerostatika	a e ɾ o s̺ t a t i k a
aerostato	a e ɾ o s̺ t a t o
afaitatu	a f a i̯ t a t u
afalaitzin	a f a l a i̯ t͡s̻ i n
afalaurre	a f a l a u̯ r e
afaldu	a f a l d u
afari	a f a ɾ i
afariketa	a f a ɾ i k e t a
Afganistan	a f ɡ a n i s̺ t a n
afganistandar	a f ɡ a n i s̺ t a n d a r
Afganistanek	a f ɡ a n i s̺ t a n e k
agata	a ɡ a t a
agate	a ɡ a t e
ageriko	a ɡ e ɾ i k o
agerkunde	a ɡ e r k u n d e
agertoki	a ɡ e r t o k i
agertu	a ɡ e r t u
agi	a ɡ i
agian	a ɡ i a n
aginpide	a ɡ i m p i d e
Agirre	a ɡ i r e
agitu	a ɡ i t u
Agoitz	a ɡ o i̯ t͡s̻
agor	a ɡ o r
agorril	a ɡ o r i l
agortu	a ɡ o r t u
agresibo	a ɡ r e s̺ i b o
agur	a ɡ u r
agure	a ɡ u ɾ e
agurgarri	a ɡ u r ɡ a r i
agurgarritasun	a ɡ u r ɡ a r i t a s̺ u n
ahabe	ã h ã b e
ahabia	a h a b i a
ahabia	a b i a
ahai	a h̃ a i
ahal	a h a l
ahal	a l
ahaldun	a h a l d u n
ahaldun	a l d u n
ahalguztidun	a h a l ɡ u s̻ t i d u n
ahalguztidun	a l ɡ u s̻ t i d u n
ahalguztidun	a l ɡ u s̻ t i d u n
ahalguztidun	a l ɡ u s̺ t i d u n
ahalguztiduntasun	a h a l ɡ u s̻ t i d u n t a s̺ u n
ahalguztiduntasun	a l ɡ u s̻ t i d u n t a s̺ u n
ahalguztiduntasun	a l ɡ u s̻ t i d u n t a s̺ u n
ahalguztiduntasun	a l ɡ u s̺ t i d u n t a s̺ u n
ahalke	a h a l k e
ahalke	a l k e
ahardi	a h a r d i
ahardi	a r d i
ahari	a h a ɾ i
ahari	a ɾ i
aharra	a h a r a
aharra	a r a
ahate	a h a t e
ahate	a t e
ahate	a h̃ a t e
ahatebeltz	a h a t e b e l t͡s̻
ahatebeltz	a t e b e l t͡s̻
ahateki	a h a t e k i
ahateki	a t e k i
ahatekume	a h a t e k u m e
ahatekume	a t e k u m e
ahatettipi	a h a t e c i p i
ahatettipi	a t e c i p i
ahatetxo	a t e t͡ʃ o
ahatetxo	a h a t e t͡ʃ o
ahatz	a h a t͡s̻
ahatz	a t͡s̻
ahazte	a h a s̻ t e
ahazte	a s̻ t e
ahazte	a s̻ t e
ahazte	a s̺ t e
ahazten	a h a s̻ t e n
ahazten	a s̻ t e n
ahazten	a s̻ t e n
ahazten	a s̺ t e n
ahaztu	a h a s̻ t u
ahaztu	a s̻ t u
ahaztu	a s̻ t u
ahaztu	a s̺ t u
ahaztuko	a h a s̻ t u k o
ahaztuko	a s̻ t u k o
ahaztuko	a s̻ t u k o
ahaztuko	a s̺ t u k o
ahizpa	a h i s̻ p a
ahizpa	a i̯ s̻ p a
ahizpa	a i̯ s̻ p a
ahizpa	a i̯ s̺ p a
aho	a h o
aho	a o
ahobero	a h o b e ɾ o
ahobero	a o b e ɾ o
ahora	a h o ɾ a
ahora	a o ɾ a
ahoskera	a h o s̺ k e ɾ a
ahoskera	a o s̺ k e ɾ a
ahots	a h o t͡s̺
ahots	a o t͡s̺
ahots	a o t͡s̺
ahots	a o t͡s̻
ahul	a h u l
ahul	a u̯ l
ahuldu	a h u l d u
ahuldu	a u̯ l d u
ahuntz	a h u n t͡s̻
ahuntz	a u̯ n t͡s̻
aihen	a i̯ h e n
aihen	a i̯ e n
aiherkunde	a i̯ h e r k u n d e
aiherkunde	a i̯ e r k u n d e
ailegatu	a i̯ l e ɡ a t u
ailegatu	a ʎ e ɡ a t u
Aimar	a i̯ m a r
Ainara	a i̯ n a ɾ a
ainarba	a i̯ n a r b a
ainarba	a ɲ a r b a
aingeru	a i̯ n ɡ e ɾ u
Aingeru	a i̯ n ɡ e ɾ u
aingira	a i̯ n ɡ i ɾ a
aingura	a i̯ n ɡ u ɾ a
ainguragile	a i̯ n ɡ u ɾ a ɡ i l e
ainguragile	a i̯ n ɡ u ɾ a ɡ i ʎ e
ainguraleku	a i̯ n ɡ u ɾ a l e k u
ainguratoki	a i̯ n ɡ u ɾ a t o k i
Ainhoa	a i̯ n o a
Aintzane	a i̯ n t͡s̻ a n e
aintzatespen	a i̯ n t͡s̻ a t e s̺ p e n
aintzira	a i̯ n t͡s̻ i ɾ a
aiots	a i̯ o t͡s̺
aiots	a i̯ o t͡s̺
aiots	a i̯ o t͡s̻
aire	a i̯ ɾ e
aireportu	a i̯ ɾ e p o r t u
aireratu	a i̯ ɾ e ɾ a t u
aise	a i̯ s̺ e
aita	a i̯ t a
aitaginarreba	a i̯ t a ɡ i n a r e b a
aitaginarreba	a i̯ t a ɡ i ɲ a r e b a
aitaginarrebakide	a i̯ t a ɡ i n a r e b a k i d e
aitaginarrebakide	a i̯ t a ɡ i ɲ a r e b a k i d e
aitaorde	a i̯ t a o r d e
aitasantutza	a i̯ t a s̺ a n t u t͡s̻ a
aitatasun	a i̯ t a t a s̺ u n
aitatxi	a i̯ t a t͡ʃ i
aitona	a i̯ t o n a
Aitor	a i̯ t o r
Aitziber	a i̯ t͡s̻ i b e r
Aitzol	a i̯ t͡s̻ o l
aitzur	a i̯ t͡s̻ u r
aizkolari	a i̯ s̻ k o l a ɾ i
aizkolari	a i̯ s̻ k o l a ɾ i
aizkolari	a i̯ s̺ k o l a ɾ i
aizkora	a i̯ s̻ k o ɾ a
aizkora	a i̯ s̻ k o ɾ a
aizkora	a i̯ s̺ k o ɾ a
aizto	a i̯ s̻ t o
aizto	a i̯ s̻ t o
aizto	a i̯ s̺ t o
aizu	a i̯ s̻ u
aizu	a i̯ s̻ u
aizu	a i̯ s̺ u
akabatu	a k a b a t u
akademiko	a k a d e m i k o
akain	a k a i̯ n
akelarre	a k e l a r e
aker	a k e r
Aketx	a k e t͡ʃ
Aketza	a k e t͡s̻ a
Akitania	a k i t a n i a
akordeoi	a k o r d e o i̯
akrobata	a k r o b a t a
aktiba	a k t i b a
aktibatu	a k t i b a t u
aktibatuko	a k t i b a t u k o
aktibatze	a k t i b a t͡s̻ e
aktibatzen	a k t i b a t͡s̻ e n
aktibo	a k t i b o
aktore	a k t o ɾ e
akura	a k u ɾ a
akuratu	a k u ɾ a t u
al	a l
ala	a l a
alaba	a l a b a
alafede	a l a f e d e
alai	a l a i̯
Alain	a l a i̯ n
albaitari	a l b a i̯ t a ɾ i
Albania	a l b a n i a
albaniar	a l b a n i a r
albaniera	a l b a n i e ɾ a
