㟤	l ɔ k̚ ²
大頭蒂	t u a ³ ⁵ ⁻ ³ ³ tʰ a u ² ² t i ⁵ ⁵
大頭鱅	t u a ³ ⁵ ⁻ ³ ³ tʰ a u ² ² s i a ŋ ² ²
天	tʰ i e ŋ ³ ⁵
天	tʰ i ³ ⁵
太陽	tʰ a i ² ¹ ⁻ ⁵ ⁵ i ɔ ² ²
央	i a ŋ ³ ⁵
央	ɔ ³ ⁵
失	s i e k̚ ⁵
夾	k i a p̚ ⁵
契嬭	kʰ ɔ i ² ¹ ⁻ ⁵ ⁵ n ɛ ³ ¹
契家婆	kʰ ɔ i ² ¹ ⁻ ⁵ ⁵ k ɛ ³ ⁵ ⁻ ³ ³ p ɔ ² ²
奢	s i ɛ ³ ⁵
女	n i ³ ¹
好	h a u ² ¹
好	h a u ³ ¹
好	h ɔ ³ ¹
妖	i a u ³ ⁵
妙	m i a u ³ ³
妥	tʰ ɔ ³ ¹
姊	t͡s i ³ ¹
委	u i ³ ¹
姣	h i a u ² ²
婆舅	p ɔ ² ² k u ³ ³
婚	h u ŋ ³ ⁵
婦	h u ³ ³
婦	p u ³ ³
媒人公	b u ɛ ² ² n a ŋ ² ² k ɔ ŋ ³ ⁵
媒人婆	b u ɛ ² ² n a ŋ ² ² pʰ ɔ ² ²
子	t͡s u ³ ¹
孕	z i ŋ ⁵ ⁵
字	t͡s u ³ ⁵
字	t͡s u ⁵ ⁵
存	t͡sʰ u ŋ ² ²
孧	n i a u ⁵ ⁵
孫	s u ŋ ³ ⁵
孫郎	s u ŋ ³ ⁵ ⁻ ³ ³ l ɔ ² ²
孫龍	s u ŋ ³ ⁵ ⁻ ³ ³ l i a ŋ ² ²
學	h i ɔ k̚ ⁵
學	ɔ ³ ³
守	s i u ³ ¹
守寡	s i u ³ ¹ k u a ³ ¹
安	a ŋ ³ ⁵
安頓	a ŋ ³ ⁵ ⁻ ³ ³ t u ŋ ² ¹
完	ŋ u a ŋ ² ²
宗	t͡s ɔ ŋ ³ ⁵
官	k u a ³ ⁵
官	k u a ŋ ³ ⁵
定	t i a ³ ⁵
定	t i ŋ ³ ³
定頭錢	t i a ³ ⁵ ⁻ ³ ³ tʰ a u ² ² t͡s i ² ²
客官	kʰ ɛ ⁵ ⁵ k u a ³ ⁵
客話	kʰ ɛ ⁵ ⁵ u ɛ ³ ⁵
客鳥	kʰ ɛ ⁵ ⁵ t͡s i a u ³ ¹
宣	s i e ŋ ³ ⁵
害	h a i ⁵ ⁵
宵	s i a u ³ ⁵
家	k a ³ ⁵
家	k i a ³ ⁵
家	k ɛ ³ ⁵
家己	k a ³ ⁵ ⁻ ³ ³ k i ³ ⁵
家己人	k a ³ ⁵ ⁻ ³ ³ k i ³ ⁵ n a ŋ ² ²
家私	k ɛ ³ ⁵ ⁻ ³ ³ s a i ³ ⁵
容	z i ɔ ŋ ² ²
密	b a k̚ ²
密	m i e k̚ ²
寒	h a ŋ ² ²
寒	k u a ² ²
察	t͡sʰ a k̚ ⁵
實	s i e k̚ ²
實	t͡s a k̚ ²
審	s i m ³ ¹
寫	s i a ³ ¹
寺	t͡s u ³ ³
封	h ɔ ŋ ³ ⁵
射	s i a ³ ⁵
射	s i ɛ ⁵ ⁵
專	t͡s i e ŋ ³ ⁵
尊	t͡s u ŋ ³ ⁵
對	t u i ² ¹
小	s i a u ³ ¹
少	s i a u ³ ¹
少	s i a u ⁵ ⁵
少	t͡s i ɔ ³ ¹
尖	t͡s i a m ³ ⁵
尚	s i a ŋ ³ ³
尚	s i ɔ ³ ⁵
就	t͡s i u ³ ³
尺	t͡sʰ i k̚ ⁵
尺	t͡sʰ i ɔ ⁵ ⁵
尻川	k a ³ ⁵ ⁻ ³ ³ t͡sʰ u i ³ ⁵
尻川空	k a ³ ⁵ ⁻ ³ ³ t͡sʰ u i ³ ⁵ ⁻ ³ ³ kʰ a ŋ ³ ⁵
尻川門	k a ³ ⁵ ⁻ ³ ³ t͡sʰ u i ³ ⁵ ⁻ ³ ³ m u i ² ²
尾	b u ɛ ³ ¹
尾	m i ³ ¹
局	kʰ ɔ k̚ ²
居	k i ³ ⁵
屋	ɔ k̚ ⁵
層	t i a ŋ ² ²
層	t͡sʰ e ŋ ² ²
山	s a ŋ ³ ⁵
山	s u a ³ ⁵
山獸	s u a ³ ⁵ ⁻ ³ ³ s i u ² ¹
山邁	s u a ³ ⁵ ⁻ ³ ³ m a i ² ¹
岫	s i u ³ ⁵
岸	h u a ³ ⁵
岸	ŋ a ŋ ⁵ ⁵
峰	h ɔ ŋ ² ²
島	t a u ³ ¹
川	t͡sʰ i e ŋ ³ ⁵
川	t͡sʰ u i ³ ⁵
州	t͡s i u ³ ⁵
工	k a ŋ ³ ⁵
工	k ɔ ŋ ³ ⁵
左	t͡s ɔ ³ ¹
巧	kʰ a ³ ¹
巧	kʰ i a u ³ ¹
己	k i ³ ¹
巴	p a ³ ⁵
巾	k i e ŋ ³ ⁵
市	t͡sʰ i ³ ³
布	p u ² ¹
布	p ɛ u ² ¹
帆	pʰ a ŋ ² ²
希	h i ³ ⁵
常	s i a ŋ ² ²
幅	h ɔ k̚ ⁵
幅	p a k̚ ⁵
幣	p i ² ¹
幫	p a ŋ ³ ⁵
平	p ɛ ² ²
平	pʰ i ŋ ² ²
年	h i ² ²
年	n i e ŋ ² ²
年冬	h i ² ² t a ŋ ³ ⁵
年冬症	h i ² ² t a ŋ ³ ⁵ ⁻ ³ ³ t͡s i ŋ ² ¹
年尾	h i ² ² b u ɛ ³ ¹
年頭	h i ² ² tʰ a u ² ²
幼	i u ² ¹
幽	h i u ³ ⁵
序	s i ³ ³
底	t i ³ ¹
底	t ɔ i ³ ¹
店	t i a m ² ¹
府	h u ³ ¹
庫	kʰ u ² ¹
庫	kʰ ɛ u ² ¹
庭	t i a ² ²
庭	tʰ i ŋ ² ²
康	kʰ a ŋ ³ ⁵
康	kʰ ɔ ³ ⁵
廢	b i ² ¹
廣	k u a ŋ ³ ¹
建	k i e ŋ ² ¹
廿	z i p̚ ²
弄	n a m ² ¹
弓	k i a ŋ ³ ⁵
弓	k ɔ ŋ ³ ⁵
引	i e ŋ ³ ¹
弱	n i ɔ k̚ ²
張	t i ɔ ³ ⁵
張	t͡s i a ŋ ³ ⁵
強	k i ɔ ² ²
強	kʰ i a ŋ ² ²
形	h i ŋ ² ²
影	i ŋ ³ ¹
影	ɔ ³ ¹
彳	t͡sʰ i k̚ ⁵
役	b i k̚ ⁵
彼	p i ³ ¹
往	u a ŋ ³ ¹
征	t͡s i ŋ ³ ⁵
徂	t͡sʰ u ³ ⁵
待	t a i ³ ³
徇	s u ŋ ³ ³
很	h e ŋ ³ ¹
徉	z i a ŋ ² ²
徊	h u a i ² ²
律	l u k̚ ²
後	a u ³ ³
後奶	a u ³ ³ n ɛ ³ ¹
後婆	a u ³ ³ pʰ ɔ ² ²
後後年	a u ⁵ ⁵ a u ³ ³ h i ² ²
後後日	a u ⁵ ⁵ a u ³ ³ z i e k̚ ²
後日	a u ³ ³ z i e k̚ ²
後爸	a u ³ ³ p ɛ ³ ³
後生哥	h a u ³ ⁵ ⁻ ³ ³ s ɛ ³ ⁵ ⁻ ³ ³ k ɔ ⁵ ⁵
徐	t͡sʰ i ² ²
徑	k i ŋ ⁵ ⁵
徒	tʰ u ² ²
得	t e k̚ ⁵
得	t i e k̚ ⁵
徘	pʰ a i ² ²
徙	s u a ³ ¹
徙厝	s u a ³ ¹ t͡sʰ u ² ¹
徛	kʰ i a ³ ³
徜	t͡sʰ i a ŋ ² ²
徠	l a i ² ²
御	z i ³ ³
徨	h u a ŋ ² ²
循	s u ŋ ² ²
徭	z i a u ² ²
微	b i ² ²
徯	h i ³ ⁵
徵	t͡s i ³ ¹
徵	t͡s i ŋ ³ ⁵
德	t e k̚ ⁵
徹	t͡sʰ i e k̚ ⁵
徼	i a u ³ ⁵
徽	h u i ³ ⁵
心	s i m ³ ⁵
必	p i e k̚ ⁵
忍	z i e ŋ ³ ¹
志	t͡s i ² ¹
忘	b a ŋ ² ²
忠	t͡s ɔ ŋ ³ ⁵
快	kʰ u a i ² ¹
快	kʰ u ɛ ² ¹
念	n i a m ³ ⁵
念	n i a m ⁵ ⁵
性	s i ŋ ² ¹
性	s ɛ ² ¹
怨	i e ŋ ² ¹
怪	k u a i ² ¹
恭	k ɔ ŋ ³ ⁵
息	s i e k̚ ⁵
息	s i k̚ ⁵
悔	h u i ² ¹
患	h u a ŋ ⁵ ⁵
悲	p u i ³ ⁵
情	t͡s i a ² ²
情	t͡sʰ i ŋ ² ²
惠	h u i ³ ³
惡	u ² ¹
惡	ɔ k̚ ⁵
惡	ɔ ⁵ ⁵
惡抵	ɔ ⁵ ⁵ t ɔ i ³ ¹
想	s i a ŋ ³ ¹
想	s i ɔ ³ ³
愁	t͡sʰ ɛ u ² ²
意	i ² ¹
愛	a i ² ¹
感	k a m ³ ¹
慕	m u ⁵ ⁵
慘	t͡sʰ a m ³ ¹
憤	b e ŋ ² ¹
憲	h i e ŋ ² ¹
懷	h u a i ² ²
懸	h i e ŋ ³ ⁵
懸	k u a i ² ²
戀	l i e ŋ ⁵ ⁵
戇狗	ŋ ɔ ŋ ³ ⁵ k a u ³ ¹
戈	kʰ ɔ ³ ⁵
成	t͡s i a ² ²
成	t͡sʰ i ŋ ² ²
成就	t͡sʰ i ŋ ² ² t͡s i u ³ ³
我	b a ³ ¹
我	ŋ ɔ ³ ¹
我人	b a ³ ¹ n a ŋ ² ²
戒	k a i ² ¹
或	h u e k̚ ²
戰	t͡s i e ŋ ² ¹
戲	h i ² ¹
戶	h u ³ ³
戶	h ɛ u ³ ³
戽	h u ⁵ ⁵
戽	h ɛ u ⁵ ⁵
戾	l u i ⁵ ⁵
房	p a ŋ ² ²
所	s ɔ ³ ¹
所是	s ɔ ³ ¹ s i ³ ³
扁	p i e ŋ ³ ¹
扃	k e ŋ ³ ⁵
扇	s i ² ¹
扈	h u ⁵ ⁵
扉	b i ² ²
手	s i u ³ ¹
手	t͡sʰ i u ³ ¹
手囝	t͡sʰ i u ³ ¹ ⁻ ⁵ ⁵ k i a ³ ¹
手指	t͡sʰ i u ³ ¹ ⁻ ⁵ ⁵ t͡s i ³ ¹
才	t͡sʰ a i ² ²
扎	t͡s a p̚ ⁵
扒	p a k̚ ⁵
扒	p ɛ ² ²
扒癢	p ɛ ² ² t͡s i ɔ ³ ³
打	t a ⁵ ⁵
扔	l i e ŋ ⁵ ⁵
托跤腿	tʰ ɔ ⁵ ⁵ kʰ a ³ ⁵ ⁻ ³ ³ tʰ u i ³ ¹
托𡳞脬	tʰ ɔ ⁵ ⁵ l e m ² ² pʰ a ³ ⁵
扶	h u ² ²
扶𡳞脬	pʰ ɛ u ² ² l e m ² ² pʰ a ³ ⁵
找	t͡s a u ³ ¹
技	k i ⁵ ⁵
把	p a ³ ¹
把	p ɛ ³ ¹
投	t a u ² ²
投	t ɛ u ² ²
抱	p a u ³ ³
抱	pʰ ɔ ³ ³
押	a ⁵ ⁵
拍手銃	pʰ a ⁵ ⁵ t͡sʰ i u ³ ¹ t͡sʰ u a ŋ ² ¹
拍架	pʰ a ⁵ ⁵ k ɛ ² ¹
拍波	pʰ a ⁵ ⁵ p ɔ ⁵ ⁵
拍籤	pʰ a ⁵ ⁵ t͡sʰ i a m ³ ⁵
拍針	pʰ a ⁵ ⁵ t͡s i a m ³ ⁵
拔索	p ɔ i ³ ³ s ɔ ⁵ ⁵
招	t͡s i a u ³ ⁵
拳	kʰ i e ŋ ² ²
持	t͡sʰ i ² ²
指	t͡s a i ³ ¹
指	t͡s i ³ ¹
挐	z u ² ²
振	t͡s i e ŋ ³ ¹
掌	t͡s i a ŋ ³ ¹
接	t͡s i a p̚ ⁵
控	kʰ ɔ ŋ ² ¹
提	tʰ i ² ²
插手	t͡sʰ a ⁵ ⁵ t͡sʰ i u ³ ¹
揚	i a ŋ ² ²
換	h u a ŋ ⁵ ⁵
換	u a ³ ⁵
揮	h u i ³ ⁵
搬厝	p u a ³ ⁵ ⁻ ³ ³ t͡sʰ u ² ¹
搶	t͡sʰ i a ŋ ³ ¹
撥墓	p u k̚ ⁵ m ɛ u ³ ⁵
撨	t͡sʰ i a u ² ²
撲	pʰ ɔ k̚ ⁵
擒	kʰ i m ² ²
擦	t͡sʰ a k̚ ⁵
擦	t͡sʰ u a ⁵ ⁵
擴	kʰ u a ŋ ² ¹
支	t͡s i ³ ⁵
收	s i u ³ ⁵
改	k a i ³ ¹
改	k ɔ i ³ ¹
放	b a ŋ ² ¹
放	p a ŋ ² ¹
政	t͡s i ŋ ² ¹
故	k u ² ¹
敏	m i e ŋ ³ ¹
救	k i u ² ¹
敗家鬼	p a i ³ ³ k ɛ ³ ⁵ ⁻ ³ ³ k u i ³ ¹
敢	k a m ³ ¹
敢	k a ³ ¹
散	s a ŋ ² ¹
散	s u a ² ¹
散工	s u a ³ ¹ ⁻ ⁵ ⁵ k a ŋ ³ ⁵
散紙	s u a ² ¹ ⁻ ⁵ ⁵ t͡s u a ³ ¹
敦	t u ŋ ³ ⁵
敬	k i ŋ ² ¹
整	t͡s i ŋ ³ ¹
數盤	s i a u ² ¹ ⁻ ⁵ ⁵ p u a ² ²
數簿	s i a u ² ¹ ⁻ ⁵ ⁵ pʰ ɛ u ³ ³
文	b e ŋ ² ²
料	l i a u ³ ⁵
斜	s i ɛ ² ²
斥電	t͡sʰ i ⁵ ⁵ t i e ŋ ³ ³
斬	t͡s a m ³ ¹
新	s i e ŋ ³ ⁵
新婦	s e m ³ ⁵ ⁻ ³ ³ p u ³ ³
方	b a ŋ ³ ⁵
施	s i ³ ⁵
族	t͡s ɔ k̚ ²
旗	k i ² ²
日	z i e k̚ ²
日	z i k̚ ⁵
日子	z i e k̚ ² t͡s i ³ ¹
日日	z i e k̚ ² z i e k̚ ²
日旰	z i e k̚ ² k u a ² ¹
日晝	z i e k̚ ² t a u ² ¹
日晝前	z i e k̚ ² t a u ² ¹ ⁻ ⁵ ⁵ t͡s a i ² ²
日晝囝	z i e k̚ ² t a u ² ¹ ⁻ ⁵ ⁵ k i a ³ ¹
日晝後	z i e k̚ ² t a u ² ¹ ⁻ ⁵ ⁵ a u ³ ³
日晝旰	z i e k̚ ² t a u ² ¹ ⁻ ⁵ ⁵ k u a ² ¹
日晝糜	z i e k̚ ² t a u ² ¹ ⁻ ⁵ ⁵ m u ɛ ² ²
日蔸籽	z i e k̚ ² t a u ² ² t͡s i ³ ¹
