㑚	n a ʔ ⁴
中堂	t œ ŋ ⁵ ³ ³ ⁻ ¹ ¹ t ɒ ŋ ¹ ³
中央	t œ ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ y ɒ ŋ ⁵ ³ ³
中央	t ɒ ŋ ⁵ ³ ³
中央	t ɒ ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ̍ ⁵ ³ ³
中央	t ɒ ⁵ ³ ³ ⁻ ¹ ¹ ŋ̍ ⁵ ³ ³
中將	t œ ŋ ⁵ ³ ³ ⁻ ¹ ³ t͡s y ɒ ŋ ⁴ ²
中巴	t œ ŋ ⁵ ³ ³ ⁻ ¹ ¹ p a ⁵ ³ ³
中式	t œ ŋ ⁵ ³ ³ ⁻ ¹ ³ ɬ i ʔ ² ¹
中心	t œ ŋ ⁵ ³ ³ ⁻ ¹ ¹ n i ŋ ⁵ ³ ³
中文	t œ ŋ ⁵ ³ ³ ⁻ ¹ ¹ m ɔ ŋ ¹ ³
中東	t œ ŋ ⁵ ³ ³ ⁻ ¹ ¹ t ɒ ŋ ⁵ ³ ³
中毒	t œ ŋ ⁴ ² ⁻ ⁵ ⁵ t ɒ ʔ ⁴
中班	t œ ŋ ⁵ ³ ³ ⁻ ¹ ¹ p a ŋ ⁵ ³ ³
中華	t œ ŋ ⁵ ³ ³ ⁻ ¹ ¹ h u a ¹ ³
中華	t œ ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ u a ¹ ³
中華人民共和國	t œ ŋ ⁵ ³ ³ ⁻ ¹ ¹ h u a ¹ ³ t͡s i ŋ ¹ ³ ⁻ ¹ ¹ m i ŋ ¹ ³ k œ ŋ ¹ ¹ h ɒ ¹ ³ k ɒ ʔ ² ¹
中華人民共和國	t œ ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ u a ¹ ³ t͡s i ŋ ¹ ³ ⁻ ¹ ¹ m i ŋ ¹ ³ k œ ŋ ¹ ¹ ŋ ɒ ¹ ³ k ɒ ʔ ² ¹
中華民國	t œ ŋ ⁵ ³ ³ ⁻ ¹ ¹ h u a ¹ ³ m i ŋ ¹ ³ ⁻ ⁴ ² k ɒ ʔ ² ¹
中華民國	t œ ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ u a ¹ ³ m i ŋ ¹ ³ ⁻ ⁴ ² ŋ ɒ ʔ ² ¹
中華民族	t œ ŋ ⁵ ³ ³ ⁻ ¹ ¹ h u a ¹ ³ m i ŋ ¹ ³ ⁻ ¹ ¹ t͡s ɒ ʔ ⁴
中華民族	t œ ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ u a ¹ ³ m i ŋ ¹ ³ ⁻ ¹ ¹ n ɒ ʔ ⁴
中間	t œ ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ a ŋ ⁵ ³ ³
丱	k u a ŋ ⁴ ²
丹	t a ŋ ⁵ ³ ³
主	t͡s y ⁴ ⁵ ³
主	t͡s ɔ u ⁴ ⁵ ³
主席	t͡s y ⁴ ⁵ ³ ⁻ ¹ ¹ ɬ i ʔ ⁴
主張	t͡s y ⁴ ⁵ ³ ⁻ ¹ ¹ t y ɒ ŋ ⁵ ³ ³
主意	t͡s ɔ u ⁴ ⁵ ³ ⁻ ¹ ¹ i ⁴ ²
主播	t͡s y ⁴ ⁵ ³ ⁻ ¹ ¹ p ɒ ⁵ ³ ³
主機	t͡s y ⁴ ⁵ ³ ⁻ ¹ ¹ k i ⁵ ³ ³
主權國家	t͡s y ⁴ ⁵ ³ ⁻ ¹ ³ k œ ŋ ¹ ³ k ɒ ʔ ² ¹ ⁻ ⁴ ⁵ k a ⁵ ³ ³
主流	t͡s y ⁴ ⁵ ³ ⁻ ¹ ³ l i u ¹ ³
主禱文	t͡s y ⁴ ⁵ ³ ⁻ ¹ ¹ t ɒ ⁴ ⁵ ³ ⁻ ¹ ³ m ɔ ŋ ¹ ³
主義	t͡s y ⁴ ⁵ ³ ⁻ ¹ ³ i ¹ ¹
主要	t͡s y ⁴ ⁵ ³ ⁻ ¹ ¹ i e u ⁴ ²
主角	t͡s y ⁴ ⁵ ³ ⁻ ¹ ³ k a ʔ ² ¹
主題	t͡s y ⁴ ⁵ ³ ⁻ ¹ ³ t e ¹ ³
乃	n a i ⁴ ⁵ ³
乃	n ɛ ⁴ ⁵ ³
久	k i u ⁴ ⁵ ³
久	k u ⁴ ⁵ ³
乇	n ɒ ¹ ¹
之	t͡s i ⁵ ³ ³
之後	l i ʔ ² ¹ ⁻ ⁴ ² h i e u ¹ ¹
乏	a ʔ ⁴
乒	pʰ i ŋ ⁵ ³ ³
乖	k u e i ⁵ ³ ³
乘	ɬ i ŋ ¹ ³
乘	ɬ i ŋ ¹ ¹
乘法	ɬ i ŋ ¹ ³ ⁻ ⁴ ² h a ʔ ² ¹
乙	i ʔ ² ¹
九	k a u ⁴ ⁵ ³
九	k i u ⁴ ⁵ ³
九十	k a u ⁴ ⁵ ³ ⁻ ¹ ¹ l ɛ ʔ ⁴
九十一	k a u ⁴ ⁵ ³ ⁻ ¹ ¹ l ɛ ʔ ⁴ ⁻ ⁴ ² i ʔ ² ¹
九十七	k a u ⁴ ⁵ ³ ⁻ ¹ ¹ l ɛ ʔ ⁴ ⁻ ⁴ ² t͡sʰ i ʔ ² ¹
九十三	k a u ⁴ ⁵ ³ ⁻ ¹ ¹ l ɛ ʔ ⁴ ⁻ ² ¹ ɬ ɒ ⁵ ³ ³
九十九	k a u ⁴ ⁵ ³ ⁻ ¹ ¹ l ɛ ʔ ⁴ ⁻ ² ¹ k a u ⁴ ⁵ ³
九十二	k a u ⁴ ⁵ ³ ⁻ ¹ ¹ l ɛ ʔ ⁴ ⁻ ⁴ ² t i ¹ ¹
九十五	k a u ⁴ ⁵ ³ ⁻ ¹ ¹ l ɛ ʔ ⁴ ⁻ ⁴ ² ŋ ɔ u ¹ ¹
九十八	k a u ⁴ ⁵ ³ ⁻ ¹ ¹ l ɛ ʔ ⁴ ⁻ ⁴ ² p e ¹ ¹
九十六	k a u ⁴ ⁵ ³ ⁻ ¹ ¹ l ɛ ʔ ⁴ ⁻ ² ¹ l a ʔ ⁴
九十四	k a u ⁴ ⁵ ³ ⁻ ¹ ¹ l ɛ ʔ ⁴ ɬ i ⁴ ²
九娘媽	k a u ⁴ ⁵ ³ ⁻ ¹ ³ n i e u ¹ ³ ⁻ ¹ ¹ m a ⁴ ⁵ ³
九百六	k a u ⁴ ⁵ ³ ⁻ ¹ ¹ a ¹ ¹ ⁻ ⁵ ⁵ l a ʔ ⁴
九重陽	k a u ⁴ ⁵ ³ ⁻ ¹ ³ l u ŋ ¹ ³ ⁻ ¹ ¹ n i e u ¹ ³
九龍	k i u ⁴ ⁵ ³ ⁻ ¹ ³ l œ ŋ ¹ ³
乞雨	kʰ ɔ ʔ ² ¹ ⁻ ⁴ ² h ɔ u ¹ ¹
乞食	kʰ ɔ ʔ ² ¹ ⁻ ⁴ ⁵ ɬ i a ¹ ³
乞食	kʰ ɔ ʔ ² ¹ ⁻ ⁴ ⁵ ɬ i æ ʔ ⁴
乞食指	kʰ ɔ ʔ ² ¹ ⁻ ⁴ ⁵ l i a ¹ ³ ⁻ ¹ ¹ l a i ⁴ ⁵ ³
乩	k i ⁵ ³ ³
乾	k a ŋ ⁵ ³ ³
乾	k u a ⁵ ³ ³
乾	k œ ŋ ¹ ³
乾	t ɒ ⁵ ³ ³
乾坤	k œ ŋ ¹ ³ ⁻ ¹ ¹ kʰ ɔ ŋ ⁵ ³ ³
乾燥	k a ŋ ⁵ ³ ³ ⁻ ¹ ³ ɬ ɒ ⁴ ²
乾糧	k a ŋ ⁵ ³ ³ ⁻ ¹ ¹ l y ɒ ŋ ¹ ³
乾脆	k a ŋ ⁵ ³ ³ ⁻ ¹ ³ t͡sʰ u i ⁴ ²
乾貨	k a ŋ ⁵ ³ ³ ⁻ ¹ ³ h o ⁴ ²
亂碼	l u a ŋ ¹ ¹ m a ⁴ ⁵ ³
了	l i e u ⁴ ⁵ ³
了了	l i e u ⁴ ⁵ ³ ⁻ ⁵ ⁵ l i e u ⁴ ⁵ ³
了事	l i e u ⁴ ⁵ ³ ⁻ ¹ ³ l o ¹ ¹
了結	l i e u ⁴ ⁵ ³ ⁻ ¹ ³ k ɛ ʔ ² ¹
了解	l i e u ⁴ ⁵ ³ ⁻ ¹ ¹ k a i ⁴ ⁵ ³
事	t a i ¹ ¹
事	ɬ o ¹ ¹
事實	ɬ o ¹ ¹ ɬ i ʔ ⁴
事業	ɬ o ¹ ¹ k i ɛ ʔ ⁴
事蹟	ɬ o ¹ ¹ ⁻ ⁴ ² l i ʔ ² ¹
事體	ɬ o ¹ ¹ l e ⁴ ⁵ ³
二	i ¹ ¹
二	t i ¹ ¹
二	t͡s i ¹ ¹
二九三十暝	t i ¹ ¹ k a u ⁴ ⁵ ³ ɬ ɒ ⁵ ³ ³ ⁻ ¹ ¹ l ɛ ʔ ⁴ ⁻ ² ¹ m a ¹ ³
二九暝	t i ¹ ¹ k a u ⁴ ⁵ ³ ⁻ ⁵ ⁵ m a ¹ ³
二十	t i ¹ ¹ l ɛ ʔ ⁴
二十一	t i ¹ ¹ l ɛ ʔ ⁴ ⁻ ⁴ ² i ʔ ² ¹
二十七	t i ¹ ¹ l ɛ ʔ ⁴ ⁻ ⁴ ² t͡sʰ i ʔ ² ¹
二十三	t i ¹ ¹ l ɛ ʔ ⁴ ⁻ ² ¹ ɬ ɒ ⁵ ³ ³
二十九	t i ¹ ¹ l ɛ ʔ ⁴ ⁻ ² ¹ k a u ⁴ ⁵ ³
二十二	t i ¹ ¹ l ɛ ʔ ⁴ ⁻ ⁴ ² t i ¹ ¹
二十五	t i ¹ ¹ l ɛ ʔ ⁴ ⁻ ⁴ ² ŋ ɔ u ¹ ¹
二十八	t i ¹ ¹ l ɛ ʔ ⁴ ⁻ ⁴ ² p e ¹ ¹
二十六	t i ¹ ¹ l ɛ ʔ ⁴ ⁻ ² ¹ l a ʔ ⁴
二十四	t i ¹ ¹ l ɛ ʔ ⁴ ɬ i ⁴ ²
二步七	t͡s i ¹ ¹ ɔ u ¹ ¹ ⁻ ⁴ ² t͡sʰ i ʔ ² ¹
二步七八	t͡s i ¹ ¹ ɔ u ¹ ¹ t͡sʰ i ʔ ² ¹ ⁻ ⁴ ² p e ¹ ¹
二百五	t͡s i ¹ ¹ a ¹ ¹ ⁻ ⁴ ² ŋ ɔ u ¹ ¹
二維碼	t͡s i ¹ ¹ p i ¹ ³ m a ⁴ ⁵ ³
云	ɔ ŋ ¹ ³
互	h ɔ u ¹ ¹
互助	h ɔ u ¹ ¹ ⁻ ⁴ ² t͡s ø ¹ ¹
五	k ɔ u ⁴ ⁵ ³
五	ŋ ɔ u ¹ ¹
五代	k ɔ u ⁴ ⁵ ³ ⁻ ¹ ³ t a i ¹ ¹
五代十國	k ɔ u ⁴ ⁵ ³ ⁻ ¹ ³ t a i ¹ ¹ ɬ i ʔ ⁴ ⁻ ⁴ ² k ɒ ʔ ² ¹
五保	k ɔ u ⁴ ⁵ ³ ⁻ ¹ ¹ p ɒ ⁴ ⁵ ³
五保戶	k ɔ u ⁴ ⁵ ³ ⁻ ¹ ¹ p ɒ ⁴ ⁵ ³ ⁻ ¹ ³ h ɔ u ¹ ¹
五十	ŋ ɔ u ¹ ¹ l ɛ ʔ ⁴
五十一	ŋ ɔ u ¹ ¹ l ɛ ʔ ⁴ ⁻ ⁴ ² i ʔ ² ¹
五十七	ŋ ɔ u ¹ ¹ l ɛ ʔ ⁴ ⁻ ⁴ ² t͡sʰ i ʔ ² ¹
五十三	ŋ ɔ u ¹ ¹ l ɛ ʔ ⁴ ⁻ ² ¹ ɬ ɒ ⁵ ³ ³
五十九	ŋ ɔ u ¹ ¹ l ɛ ʔ ⁴ ⁻ ² ¹ k a u ⁴ ⁵ ³
五十二	ŋ ɔ u ¹ ¹ l ɛ ʔ ⁴ ⁻ ⁴ ² t i ¹ ¹
五十五	ŋ ɔ u ¹ ¹ l ɛ ʔ ⁴ ⁻ ⁴ ² ŋ ɔ u ¹ ¹
五十八	ŋ ɔ u ¹ ¹ l ɛ ʔ ⁴ ⁻ ⁴ ² p e ¹ ¹
五十六	ŋ ɔ u ¹ ¹ l ɛ ʔ ⁴ ⁻ ² ¹ l a ʔ ⁴
五十四	ŋ ɔ u ¹ ¹ l ɛ ʔ ⁴ ɬ i ⁴ ²
五四三	k ɔ u ⁴ ⁵ ³ ⁻ ¹ ¹ l o ⁴ ² ⁻ ⁵ ⁵ l a ŋ ⁵ ³ ³
五日節	ŋ ɔ u ¹ ¹ l i ʔ ⁴ t͡s e ¹ ¹
五穀	k ɔ u ⁴ ⁵ ³ ⁻ ¹ ³ k ɒ ʔ ² ¹
五車	k ɔ u ⁴ ⁵ ³ ⁻ ¹ ¹ k y ⁵ ³ ³
井	t͡s a ⁴ ⁵ ³
井	t͡s i ŋ ⁴ ⁵ ³
井水	t͡s a ⁴ ⁵ ³ ⁻ ¹ ¹ l u i ⁴ ⁵ ³
井盤	t͡s a ⁴ ⁵ ³ ⁻ ¹ ³ u a ¹ ³
亙	k y ŋ ⁴ ²
些	ɬ i a ⁵ ³ ³
亞	a ⁴ ²
亞伯拉罕	a ⁴ ² ⁻ ¹ ¹ p ɛ ʔ ² ¹ ⁻ ⁴ ⁵ l a ʔ ⁴ ⁻ ² ¹ h a ŋ ⁴ ⁵ ³
亞伯蘭	a ⁴ ² ⁻ ¹ ¹ p ɛ ʔ ² ¹ ⁻ ⁴ ⁵ l a ŋ ¹ ³
亞洲	a ⁴ ² ⁻ ⁵ ⁵ l i u ⁵ ³ ³
亞當	a ⁴ ² ⁻ ⁵ ⁵ l ɒ ŋ ⁵ ³ ³
亞鉛	a ⁴ ² œ ŋ ¹ ³
亞鉛板	a ⁴ ² œ ŋ ¹ ³ ⁻ ¹ ¹ m a ŋ ⁴ ⁵ ³
亡	m ɒ ŋ ¹ ³
交	k a u ⁵ ³ ³
交	k i e u ⁵ ³ ³
交交	k a u ⁵ ³ ³ ⁻ ¹ ¹ k a u ⁵ ³ ³
交代	k a u ⁵ ³ ³ ⁻ ¹ ³ l a i ¹ ¹
交冬	k a u ⁵ ³ ³ ⁻ ¹ ¹ l a ŋ ⁵ ³ ³
交夏	k a u ⁵ ³ ³ ⁻ ¹ ³ a ¹ ¹
交寅	k a u ⁵ ³ ³ ⁻ ¹ ¹ i ŋ ¹ ³
交寅	k a u ⁵ ³ ³ ⁻ ¹ ¹ ŋ i ŋ ¹ ³
交易	k a u ⁵ ³ ³ ⁻ ¹ ¹ i ʔ ⁴
交春	k a u ⁵ ³ ³ ⁻ ¹ ¹ l ɔ ŋ ⁵ ³ ³
交朋友	k a u ⁵ ³ ³ ⁻ ¹ ¹ ɛ ŋ ¹ ³ ⁻ ¹ ¹ ŋ i u ⁴ ⁵ ³
交椅	k a u ⁵ ³ ³ ⁻ ¹ ¹ i ⁴ ⁵ ³
交流	k a u ⁵ ³ ³ ⁻ ¹ ¹ l i u ¹ ³
交秋	k a u ⁵ ³ ³ ⁻ ¹ ¹ l i u ⁵ ³ ³
交稅	k a u ⁵ ³ ³ ⁻ ¹ ³ ɬ u e i ⁴ ²
交警	k a u ⁵ ³ ³ ⁻ ¹ ³ k i ŋ ⁴ ²
交通	k a u ⁵ ³ ³ ⁻ ¹ ¹ tʰ ɒ ŋ ⁵ ³ ³
交際	k a u ⁵ ³ ³ ⁻ ¹ ³ t͡s e ⁴ ²
亥	h a i ¹ ¹
享受	h y ɒ ŋ ⁴ ⁵ ³ ⁻ ¹ ³ ɬ i u ¹ ¹
京	k i a ⁵ ³ ³
京	k i ŋ ⁵ ³ ³
京劇	k i ŋ ⁵ ³ ³ ⁻ ¹ ¹ k i ʔ ⁴
亭	t i a ¹ ³
亭	t ɛ ŋ ¹ ³
亮	l y ɒ ŋ ¹ ¹
人	n a ŋ ¹ ³
人	t͡s i ŋ ¹ ³
人客	n a ŋ ¹ ³ ⁻ ¹ ¹ kʰ e ⁴ ⁵ ³
人客	n a ŋ ¹ ³ ⁻ ⁴ ² ŋ a ¹ ¹
人影	n a ŋ ¹ ³ ⁻ ¹ ¹ ŋ̍ ⁴ ⁵ ³
