'tamo'	t̪ a m o
ababillándonos	a β̞ a β̞ i ʝ ã n̪ d̪ o n o s
ababillándonos	a β̞ a β̞ i ʝ ã n̪ d̪ o n o s
ababillándoos	a β̞ a β̞ i ʝ ã n̪ d̪ o o s
ababillándoos	a β̞ a β̞ i ʝ ã n̪ d̪ o o s
ababillándose	a β̞ a β̞ i ʝ ã n̪ d̪ o s e
ababillándose	a β̞ a β̞ i ʝ ã n̪ d̪ o s e
ababillándote	a β̞ a β̞ i ʝ ã n̪ d̪ o t̪ e
ababillándote	a β̞ a β̞ i ʝ ã n̪ d̪ o t̪ e
ababillaos	a β̞ a β̞ i ʝ a o s
ababillaos	a β̞ a β̞ i ʝ a o s
ababillar	a β̞ a β̞ i ʝ a ɾ
ababillar	a β̞ a β̞ i ʝ a ɾ
ababillara	a β̞ a β̞ i ʝ a ɾ a
ababillara	a β̞ a β̞ i ʝ a ɾ a
ababillará	a β̞ a β̞ i ʝ a ɾ a
ababillará	a β̞ a β̞ i ʝ a ɾ a
ababillarais	a β̞ a β̞ i ʝ a ɾ a i̯ s
ababillarais	a β̞ a β̞ i ʝ a ɾ a i̯ s
ababilláramos	a β̞ a β̞ i ʝ a ɾ a m o s
ababilláramos	a β̞ a β̞ i ʝ a ɾ a m o s
ababillaran	a β̞ a β̞ i ʝ a ɾ ã n
ababillaran	a β̞ a β̞ i ʝ a ɾ ã n
ababillarán	a β̞ a β̞ i ʝ a ɾ ã n
ababillarán	a β̞ a β̞ i ʝ a ɾ ã n
ababillaras	a β̞ a β̞ i ʝ a ɾ a s
ababillaras	a β̞ a β̞ i ʝ a ɾ a s
ababillarás	a β̞ a β̞ i ʝ a ɾ a s
ababillarás	a β̞ a β̞ i ʝ a ɾ a s
ababillare	a β̞ a β̞ i ʝ a ɾ e
ababillare	a β̞ a β̞ i ʝ a ɾ e
ababillaré	a β̞ a β̞ i ʝ a ɾ e
ababillaré	a β̞ a β̞ i ʝ a ɾ e
ababillareis	a β̞ a β̞ i ʝ a ɾ e i̯ s
ababillareis	a β̞ a β̞ i ʝ a ɾ e i̯ s
ababillaréis	a β̞ a β̞ i ʝ a ɾ e i̯ s
ababillaréis	a β̞ a β̞ i ʝ a ɾ e i̯ s
ababillaremos	a β̞ a β̞ i ʝ a ɾ e m o s
ababillaremos	a β̞ a β̞ i ʝ a ɾ e m o s
ababilláremos	a β̞ a β̞ i ʝ a ɾ e m o s
ababilláremos	a β̞ a β̞ i ʝ a ɾ e m o s
ababillaren	a β̞ a β̞ i ʝ a ɾ ẽ n
ababillaren	a β̞ a β̞ i ʝ a ɾ ẽ n
ababillares	a β̞ a β̞ i ʝ a ɾ e s
ababillares	a β̞ a β̞ i ʝ a ɾ e s
ababillaría	a β̞ a β̞ i ʝ a ɾ i a
ababillaría	a β̞ a β̞ i ʝ a ɾ i a
ababillaríais	a β̞ a β̞ i ʝ a ɾ i a i̯ s
ababillaríais	a β̞ a β̞ i ʝ a ɾ i a i̯ s
ababillaríamos	a β̞ a β̞ i ʝ a ɾ i a m o s
ababillaríamos	a β̞ a β̞ i ʝ a ɾ i a m o s
ababillarían	a β̞ a β̞ i ʝ a ɾ i ã n
ababillarían	a β̞ a β̞ i ʝ a ɾ i ã n
ababillarías	a β̞ a β̞ i ʝ a ɾ i a s
ababillarías	a β̞ a β̞ i ʝ a ɾ i a s
ababillarme	a β̞ a β̞ i ʝ a ɾ m e
ababillarme	a β̞ a β̞ i ʝ a ɾ m e
ababillarnos	a β̞ a β̞ i ʝ a ɾ n o s
ababillarnos	a β̞ a β̞ i ʝ a ɾ n o s
ababillaron	a β̞ a β̞ i ʝ a ɾ õ n
ababillaron	a β̞ a β̞ i ʝ a ɾ õ n
ababillaros	a β̞ a β̞ i ʝ a ɾ o s
ababillaros	a β̞ a β̞ i ʝ a ɾ o s
ababillarse	a β̞ a β̞ i ʝ a ɾ s e
ababillarse	a β̞ a β̞ i ʝ a ɾ s e
ababillarte	a β̞ a β̞ i ʝ a ɾ t̪ e
ababillarte	a β̞ a β̞ i ʝ a ɾ t̪ e
ababillas	a β̞ a β̞ i ʝ a s
ababillas	a β̞ a β̞ i ʝ a s
ababillás	a β̞ a β̞ i ʝ a s
ababillás	a β̞ a β̞ i ʝ a s
ababillase	a β̞ a β̞ i ʝ a s e
ababillase	a β̞ a β̞ i ʝ a s e
ababillaseis	a β̞ a β̞ i ʝ a s e i̯ s
ababillaseis	a β̞ a β̞ i ʝ a s e i̯ s
ababillásemos	a β̞ a β̞ i ʝ a s e m o s
ababillásemos	a β̞ a β̞ i ʝ a s e m o s
ababillasen	a β̞ a β̞ i ʝ a s ẽ n
ababillasen	a β̞ a β̞ i ʝ a s ẽ n
ababillases	a β̞ a β̞ i ʝ a s e s
ababillases	a β̞ a β̞ i ʝ a s e s
ababillaste	a β̞ a β̞ i ʝ a s t̪ e
ababillaste	a β̞ a β̞ i ʝ a s t̪ e
ababillasteis	a β̞ a β̞ i ʝ a s t̪ e i̯ s
ababillasteis	a β̞ a β̞ i ʝ a s t̪ e i̯ s
ababillate	a β̞ a β̞ i ʝ a t̪ e
ababillate	a β̞ a β̞ i ʝ a t̪ e
ababíllate	a β̞ a β̞ i ʝ a t̪ e
ababíllate	a β̞ a β̞ i ʝ a t̪ e
ababille	a β̞ a β̞ i ʝ e
ababille	a β̞ a β̞ i ʝ e
ababillé	a β̞ a β̞ i ʝ e
ababillé	a β̞ a β̞ i ʝ e
ababilléis	a β̞ a β̞ i ʝ e i̯ s
ababilléis	a β̞ a β̞ i ʝ e i̯ s
ababillémonos	a β̞ a β̞ i ʝ e m o n o s
ababillémonos	a β̞ a β̞ i ʝ e m o n o s
ababillemos	a β̞ a β̞ i ʝ e m o s
ababillemos	a β̞ a β̞ i ʝ e m o s
ababillen	a β̞ a β̞ i ʝ ẽ n
ababillen	a β̞ a β̞ i ʝ ẽ n
ababíllense	a β̞ a β̞ i ʝ ẽ n s e
ababíllense	a β̞ a β̞ i ʝ ẽ n s e
ababilles	a β̞ a β̞ i ʝ e s
ababilles	a β̞ a β̞ i ʝ e s
ababillés	a β̞ a β̞ i ʝ e s
ababillés	a β̞ a β̞ i ʝ e s
ababíllese	a β̞ a β̞ i ʝ e s e
ababíllese	a β̞ a β̞ i ʝ e s e
ababillo	a β̞ a β̞ i ʝ o
ababillo	a β̞ a β̞ i ʝ o
ababilló	a β̞ a β̞ i ʝ o
ababilló	a β̞ a β̞ i ʝ o
ababol	a β̞ a β̞ o l
ababoles	a β̞ a β̞ o l e s
ababuy	a β̞ a β̞ u i̯
abacá	a β̞ a k a
abacalera	a β̞ a k a l e ɾ a
abacalero	a β̞ a k a l e ɾ o
abacana	a β̞ a k a n a
abacaná	a β̞ a k a n a
abacanaba	a β̞ a k a n a β̞ a
abacanabais	a β̞ a k a n a β̞ a i̯ s
abacanábamos	a β̞ a k a n a β̞ a m o s
abacanaban	a β̞ a k a n a β̞ ã n
abacanabas	a β̞ a k a n a β̞ a s
abacanad	a β̞ a k a n a ð̞
abacanada	a β̞ a k a n a ð̞ a
abacanadas	a β̞ a k a n a ð̞ a s
abacanadla	a β̞ a k a n a ð̞ l a
abacanadlas	a β̞ a k a n a ð̞ l a s
abacanadle	a β̞ a k a n a ð̞ l e
abacanadles	a β̞ a k a n a ð̞ l e s
abacanadlo	a β̞ a k a n a ð̞ l o
abacanadlos	a β̞ a k a n a ð̞ l o s
abacanadme	a β̞ a k a n a ð̞ m e
abacanadnos	a β̞ a k a n a ð̞ n o s
abacanado	a β̞ a k a n a ð̞ o
abacanados	a β̞ a k a n a ð̞ o s
abacanáis	a β̞ a k a n a i̯ s
abacanala	a β̞ a k a n a l a
abacánala	a β̞ a k a n a l a
abacanalas	a β̞ a k a n a l a s
abacánalas	a β̞ a k a n a l a s
abacanale	a β̞ a k a n a l e
abacánale	a β̞ a k a n a l e
abacanales	a β̞ a k a n a l e s
abacánales	a β̞ a k a n a l e s
abacanalo	a β̞ a k a n a l o
abacánalo	a β̞ a k a n a l o
abacanalos	a β̞ a k a n a l o s
abacánalos	a β̞ a k a n a l o s
abacaname	a β̞ a k a n a m e
abacáname	a β̞ a k a n a m e
abacanamos	a β̞ a k a n a m o s
abacanan	a β̞ a k a n ã n
abacanando	a β̞ a k a n ã n̪ d̪ o
abacanándola	a β̞ a k a n ã n̪ d̪ o l a
abacanándolas	a β̞ a k a n ã n̪ d̪ o l a s
abacanándole	a β̞ a k a n ã n̪ d̪ o l e
abacanándoles	a β̞ a k a n ã n̪ d̪ o l e s
abacanándolo	a β̞ a k a n ã n̪ d̪ o l o
abacanándolos	a β̞ a k a n ã n̪ d̪ o l o s
abacanándome	a β̞ a k a n ã n̪ d̪ o m e
abacanándonos	a β̞ a k a n ã n̪ d̪ o n o s
abacanándoos	a β̞ a k a n ã n̪ d̪ o o s
abacanándose	a β̞ a k a n ã n̪ d̪ o s e
abacanándote	a β̞ a k a n ã n̪ d̪ o t̪ e
abacananos	a β̞ a k a n a n o s
abacánanos	a β̞ a k a n a n o s
abacanaos	a β̞ a k a n a o s
abacanar	a β̞ a k a n a ɾ
abacanara	a β̞ a k a n a ɾ a
abacanará	a β̞ a k a n a ɾ a
abacanarais	a β̞ a k a n a ɾ a i̯ s
abacanáramos	a β̞ a k a n a ɾ a m o s
abacanaran	a β̞ a k a n a ɾ ã n
abacanarán	a β̞ a k a n a ɾ ã n
abacanaras	a β̞ a k a n a ɾ a s
abacanarás	a β̞ a k a n a ɾ a s
abacanare	a β̞ a k a n a ɾ e
abacanaré	a β̞ a k a n a ɾ e
abacanareis	a β̞ a k a n a ɾ e i̯ s
abacanaréis	a β̞ a k a n a ɾ e i̯ s
abacanaremos	a β̞ a k a n a ɾ e m o s
abacanáremos	a β̞ a k a n a ɾ e m o s
abacanaren	a β̞ a k a n a ɾ ẽ n
abacanares	a β̞ a k a n a ɾ e s
abacanaría	a β̞ a k a n a ɾ i a
abacanaríais	a β̞ a k a n a ɾ i a i̯ s
abacanaríamos	a β̞ a k a n a ɾ i a m o s
abacanarían	a β̞ a k a n a ɾ i ã n
abacanarías	a β̞ a k a n a ɾ i a s
abacanarla	a β̞ a k a n a ɾ l a
abacanarlas	a β̞ a k a n a ɾ l a s
abacanarle	a β̞ a k a n a ɾ l e
abacanarles	a β̞ a k a n a ɾ l e s
abacanarlo	a β̞ a k a n a ɾ l o
abacanarlos	a β̞ a k a n a ɾ l o s
abacanarme	a β̞ a k a n a ɾ m e
abacanarnos	a β̞ a k a n a ɾ n o s
abacanaron	a β̞ a k a n a ɾ õ n
abacanaros	a β̞ a k a n a ɾ o s
abacanarse	a β̞ a k a n a ɾ s e
abacanarte	a β̞ a k a n a ɾ t̪ e
abacanas	a β̞ a k a n a s
abacanás	a β̞ a k a n a s
abacanase	a β̞ a k a n a s e
abacanaseis	a β̞ a k a n a s e i̯ s
abacanásemos	a β̞ a k a n a s e m o s
abacanasen	a β̞ a k a n a s ẽ n
abacanases	a β̞ a k a n a s e s
abacanaste	a β̞ a k a n a s t̪ e
abacanasteis	a β̞ a k a n a s t̪ e i̯ s
abacanate	a β̞ a k a n a t̪ e
abacánate	a β̞ a k a n a t̪ e
abacane	a β̞ a k a n e
abacané	a β̞ a k a n e
abacanéis	a β̞ a k a n e i̯ s
abacánela	a β̞ a k a n e l a
abacánelas	a β̞ a k a n e l a s
abacánele	a β̞ a k a n e l e
abacáneles	a β̞ a k a n e l e s
abacánelo	a β̞ a k a n e l o
abacánelos	a β̞ a k a n e l o s
abacáneme	a β̞ a k a n e m e
abacanémonos	a β̞ a k a n e m o n o s
abacanémoos	a β̞ a k a n e m o o s
abacanemos	a β̞ a k a n e m o s
abacanémosla	a β̞ a k a n e m o s l a
abacanémoslas	a β̞ a k a n e m o s l a s
abacanémosle	a β̞ a k a n e m o s l e
abacanémosles	a β̞ a k a n e m o s l e s
abacanémoslo	a β̞ a k a n e m o s l o
abacanémoslos	a β̞ a k a n e m o s l o s
abacanémoste	a β̞ a k a n e m o s t̪ e
abacanen	a β̞ a k a n ẽ n
abacánenla	a β̞ a k a n ẽ n l a
abacánenlas	a β̞ a k a n ẽ n l a s
abacánenle	a β̞ a k a n ẽ n l e
abacánenles	a β̞ a k a n ẽ n l e s
abacánenlo	a β̞ a k a n ẽ n l o
abacánenlos	a β̞ a k a n ẽ n l o s
abacánenme	a β̞ a k a n ẽ m m e
abacánennos	a β̞ a k a n ẽ n n o s
abacánenos	a β̞ a k a n e n o s
abacánense	a β̞ a k a n ẽ n s e
abacanes	a β̞ a k a n e s
abacanés	a β̞ a k a n e s
abacánese	a β̞ a k a n e s e
abacano	a β̞ a k a n o
abacanó	a β̞ a k a n o
abacera	a β̞ a s e ɾ a
abacería	a β̞ a s e ɾ i a
abacero	a β̞ a s e ɾ o
abacho	a β̞ a t͡ʃ o
abaciado	a β̞ a s j a ð̞ o
abacial	a β̞ a s j a l
abaciales	a β̞ a s j a l e s
abaciato	a β̞ a s j a t̪ o
abacista	a β̞ a s i s t̪ a
ábaco	a β̞ a k o
abacora	a β̞ a k o ɾ a
abacorá	a β̞ a k o ɾ a
abacoraba	a β̞ a k o ɾ a β̞ a
abacorabais	a β̞ a k o ɾ a β̞ a i̯ s
abacorábamos	a β̞ a k o ɾ a β̞ a m o s
abacoraban	a β̞ a k o ɾ a β̞ ã n
abacorabas	a β̞ a k o ɾ a β̞ a s
abacorad	a β̞ a k o ɾ a ð̞
abacorada	a β̞ a k o ɾ a ð̞ a
abacoradas	a β̞ a k o ɾ a ð̞ a s
abacoradla	a β̞ a k o ɾ a ð̞ l a
abacoradlas	a β̞ a k o ɾ a ð̞ l a s
abacoradle	a β̞ a k o ɾ a ð̞ l e
abacoradles	a β̞ a k o ɾ a ð̞ l e s
abacoradlo	a β̞ a k o ɾ a ð̞ l o
abacoradlos	a β̞ a k o ɾ a ð̞ l o s
abacoradme	a β̞ a k o ɾ a ð̞ m e
abacoradnos	a β̞ a k o ɾ a ð̞ n o s
abacorado	a β̞ a k o ɾ a ð̞ o
abacorados	a β̞ a k o ɾ a ð̞ o s
abacoráis	a β̞ a k o ɾ a i̯ s
abacorala	a β̞ a k o ɾ a l a
abacórala	a β̞ a k o ɾ a l a
abacoralas	a β̞ a k o ɾ a l a s
abacóralas	a β̞ a k o ɾ a l a s
abacorale	a β̞ a k o ɾ a l e
abacórale	a β̞ a k o ɾ a l e
abacorales	a β̞ a k o ɾ a l e s
abacórales	a β̞ a k o ɾ a l e s
abacoralo	a β̞ a k o ɾ a l o
abacóralo	a β̞ a k o ɾ a l o
abacoralos	a β̞ a k o ɾ a l o s
abacóralos	a β̞ a k o ɾ a l o s
abacorame	a β̞ a k o ɾ a m e
abacórame	a β̞ a k o ɾ a m e
abacoramos	a β̞ a k o ɾ a m o s
abacoran	a β̞ a k o ɾ ã n
abacorando	a β̞ a k o ɾ ã n̪ d̪ o
abacorándola	a β̞ a k o ɾ ã n̪ d̪ o l a
abacorándolas	a β̞ a k o ɾ ã n̪ d̪ o l a s
abacorándole	a β̞ a k o ɾ ã n̪ d̪ o l e
abacorándoles	a β̞ a k o ɾ ã n̪ d̪ o l e s
abacorándolo	a β̞ a k o ɾ ã n̪ d̪ o l o
abacorándolos	a β̞ a k o ɾ ã n̪ d̪ o l o s
abacorándome	a β̞ a k o ɾ ã n̪ d̪ o m e
abacorándonos	a β̞ a k o ɾ ã n̪ d̪ o n o s
abacorándoos	a β̞ a k o ɾ ã n̪ d̪ o o s
abacorándose	a β̞ a k o ɾ ã n̪ d̪ o s e
abacorándote	a β̞ a k o ɾ ã n̪ d̪ o t̪ e
abacoranos	a β̞ a k o ɾ a n o s
abacóranos	a β̞ a k o ɾ a n o s
abacoraos	a β̞ a k o ɾ a o s
abacorar	a β̞ a k o ɾ a ɾ
abacorara	a β̞ a k o ɾ a ɾ a
abacorará	a β̞ a k o ɾ a ɾ a
abacorarais	a β̞ a k o ɾ a ɾ a i̯ s
abacoráramos	a β̞ a k o ɾ a ɾ a m o s
abacoraran	a β̞ a k o ɾ a ɾ ã n
abacorarán	a β̞ a k o ɾ a ɾ ã n
abacoraras	a β̞ a k o ɾ a ɾ a s
abacorarás	a β̞ a k o ɾ a ɾ a s
abacorare	a β̞ a k o ɾ a ɾ e
abacoraré	a β̞ a k o ɾ a ɾ e
abacorareis	a β̞ a k o ɾ a ɾ e i̯ s
abacoraréis	a β̞ a k o ɾ a ɾ e i̯ s
abacoraremos	a β̞ a k o ɾ a ɾ e m o s
abacoráremos	a β̞ a k o ɾ a ɾ e m o s
abacoraren	a β̞ a k o ɾ a ɾ ẽ n
abacorares	a β̞ a k o ɾ a ɾ e s
abacoraría	a β̞ a k o ɾ a ɾ i a
abacoraríais	a β̞ a k o ɾ a ɾ i a i̯ s
abacoraríamos	a β̞ a k o ɾ a ɾ i a m o s
abacorarían	a β̞ a k o ɾ a ɾ i ã n
abacorarías	a β̞ a k o ɾ a ɾ i a s
abacorarla	a β̞ a k o ɾ a ɾ l a
abacorarlas	a β̞ a k o ɾ a ɾ l a s
abacorarle	a β̞ a k o ɾ a ɾ l e
abacorarles	a β̞ a k o ɾ a ɾ l e s
abacorarlo	a β̞ a k o ɾ a ɾ l o
abacorarlos	a β̞ a k o ɾ a ɾ l o s
abacorarme	a β̞ a k o ɾ a ɾ m e
abacorarnos	a β̞ a k o ɾ a ɾ n o s
abacoraron	a β̞ a k o ɾ a ɾ õ n
abacoraros	a β̞ a k o ɾ a ɾ o s
abacorarse	a β̞ a k o ɾ a ɾ s e
abacorarte	a β̞ a k o ɾ a ɾ t̪ e
abacoras	a β̞ a k o ɾ a s
abacorás	a β̞ a k o ɾ a s
abacorase	a β̞ a k o ɾ a s e
abacoraseis	a β̞ a k o ɾ a s e i̯ s
abacorásemos	a β̞ a k o ɾ a s e m o s
abacorasen	a β̞ a k o ɾ a s ẽ n
abacorases	a β̞ a k o ɾ a s e s
abacoraste	a β̞ a k o ɾ a s t̪ e
abacorasteis	a β̞ a k o ɾ a s t̪ e i̯ s
abacorate	a β̞ a k o ɾ a t̪ e
abacórate	a β̞ a k o ɾ a t̪ e
abacore	a β̞ a k o ɾ e
abacoré	a β̞ a k o ɾ e
abacoréis	a β̞ a k o ɾ e i̯ s
abacórela	a β̞ a k o ɾ e l a
abacórelas	a β̞ a k o ɾ e l a s
abacóreles	a β̞ a k o ɾ e l e s
abacórelo	a β̞ a k o ɾ e l o
abacórelos	a β̞ a k o ɾ e l o s
abacóreme	a β̞ a k o ɾ e m e
abacorémonos	a β̞ a k o ɾ e m o n o s
abacorémoos	a β̞ a k o ɾ e m o o s
abacoremos	a β̞ a k o ɾ e m o s
abacorémosla	a β̞ a k o ɾ e m o s l a
abacorémoslas	a β̞ a k o ɾ e m o s l a s
abacorémosle	a β̞ a k o ɾ e m o s l e
abacorémosles	a β̞ a k o ɾ e m o s l e s
abacorémoslo	a β̞ a k o ɾ e m o s l o
abacorémoslos	a β̞ a k o ɾ e m o s l o s
abacorémoste	a β̞ a k o ɾ e m o s t̪ e
abacoren	a β̞ a k o ɾ ẽ n
abacórenla	a β̞ a k o ɾ ẽ n l a
abacórenlas	a β̞ a k o ɾ ẽ n l a s
abacórenle	a β̞ a k o ɾ ẽ n l e
abacórenles	a β̞ a k o ɾ ẽ n l e s
abacórenlo	a β̞ a k o ɾ ẽ n l o
abacórenlos	a β̞ a k o ɾ ẽ n l o s
abacórenme	a β̞ a k o ɾ ẽ m m e
abacórennos	a β̞ a k o ɾ ẽ n n o s
abacórenos	a β̞ a k o ɾ e n o s
abacórense	a β̞ a k o ɾ ẽ n s e
abacores	a β̞ a k o ɾ e s
abacorés	a β̞ a k o ɾ e s
abacórese	a β̞ a k o ɾ e s e
abacoro	a β̞ a k o ɾ o
abacoró	a β̞ a k o ɾ o
abactinal	a β̞ a ɣ̞ t̪ i n a l
abactinales	a β̞ a ɣ̞ t̪ i n a l e s
abáculo	a β̞ a k u l o
abad	a β̞ a ð̞
Abad	a β̞ a ð̞
abada	a β̞ a ð̞ a
Abadán	a β̞ a ð̞ ã n
abadas	a β̞ a ð̞ a s
abadejo	a β̞ a ð̞ e x o
abadengo	a β̞ a ð̞ ẽ ŋ ɡ o
abaderna	a β̞ a ð̞ e ɾ n a
abaderná	a β̞ a ð̞ e ɾ n a
abadernaba	a β̞ a ð̞ e ɾ n a β̞ a
abadernabais	a β̞ a ð̞ e ɾ n a β̞ a i̯ s
abadernábamos	a β̞ a ð̞ e ɾ n a β̞ a m o s
abadernaban	a β̞ a ð̞ e ɾ n a β̞ ã n
abadernabas	a β̞ a ð̞ e ɾ n a β̞ a s
abadernad	a β̞ a ð̞ e ɾ n a ð̞
abadernada	a β̞ a ð̞ e ɾ n a ð̞ a
abadernadas	a β̞ a ð̞ e ɾ n a ð̞ a s
abadernadla	a β̞ a ð̞ e ɾ n a ð̞ l a
abadernadlas	a β̞ a ð̞ e ɾ n a ð̞ l a s
abadernadle	a β̞ a ð̞ e ɾ n a ð̞ l e
abadernadles	a β̞ a ð̞ e ɾ n a ð̞ l e s
abadernadlo	a β̞ a ð̞ e ɾ n a ð̞ l o
abadernadlos	a β̞ a ð̞ e ɾ n a ð̞ l o s
abadernadme	a β̞ a ð̞ e ɾ n a ð̞ m e
abadernadnos	a β̞ a ð̞ e ɾ n a ð̞ n o s
abadernado	a β̞ a ð̞ e ɾ n a ð̞ o
abadernados	a β̞ a ð̞ e ɾ n a ð̞ o s
abadernáis	a β̞ a ð̞ e ɾ n a i̯ s
abadernala	a β̞ a ð̞ e ɾ n a l a
abadérnala	a β̞ a ð̞ e ɾ n a l a
abadernalas	a β̞ a ð̞ e ɾ n a l a s
abadérnalas	a β̞ a ð̞ e ɾ n a l a s
abadernale	a β̞ a ð̞ e ɾ n a l e
abadérnale	a β̞ a ð̞ e ɾ n a l e
abadernales	a β̞ a ð̞ e ɾ n a l e s
abadérnales	a β̞ a ð̞ e ɾ n a l e s
abadernalo	a β̞ a ð̞ e ɾ n a l o
abadérnalo	a β̞ a ð̞ e ɾ n a l o
abadernalos	a β̞ a ð̞ e ɾ n a l o s
abadérnalos	a β̞ a ð̞ e ɾ n a l o s
abadername	a β̞ a ð̞ e ɾ n a m e
abadérname	a β̞ a ð̞ e ɾ n a m e
abadernamos	a β̞ a ð̞ e ɾ n a m o s
abadernan	a β̞ a ð̞ e ɾ n ã n
abadernando	a β̞ a ð̞ e ɾ n ã n̪ d̪ o
abadernándola	a β̞ a ð̞ e ɾ n ã n̪ d̪ o l a
abadernándolas	a β̞ a ð̞ e ɾ n ã n̪ d̪ o l a s
abadernándole	a β̞ a ð̞ e ɾ n ã n̪ d̪ o l e
abadernándoles	a β̞ a ð̞ e ɾ n ã n̪ d̪ o l e s
abadernándolo	a β̞ a ð̞ e ɾ n ã n̪ d̪ o l o
abadernándolos	a β̞ a ð̞ e ɾ n ã n̪ d̪ o l o s
abadernándome	a β̞ a ð̞ e ɾ n ã n̪ d̪ o m e
abadernándonos	a β̞ a ð̞ e ɾ n ã n̪ d̪ o n o s
abadernándoos	a β̞ a ð̞ e ɾ n ã n̪ d̪ o o s
abadernándose	a β̞ a ð̞ e ɾ n ã n̪ d̪ o s e
abadernándote	a β̞ a ð̞ e ɾ n ã n̪ d̪ o t̪ e
abadernanos	a β̞ a ð̞ e ɾ n a n o s
abadérnanos	a β̞ a ð̞ e ɾ n a n o s
abadernaos	a β̞ a ð̞ e ɾ n a o s
abadernar	a β̞ a ð̞ e ɾ n a ɾ
abadernara	a β̞ a ð̞ e ɾ n a ɾ a
abadernará	a β̞ a ð̞ e ɾ n a ɾ a
abadernarais	a β̞ a ð̞ e ɾ n a ɾ a i̯ s
abadernáramos	a β̞ a ð̞ e ɾ n a ɾ a m o s
abadernaran	a β̞ a ð̞ e ɾ n a ɾ ã n
abadernarán	a β̞ a ð̞ e ɾ n a ɾ ã n
abadernaras	a β̞ a ð̞ e ɾ n a ɾ a s
abadernarás	a β̞ a ð̞ e ɾ n a ɾ a s
abadernare	a β̞ a ð̞ e ɾ n a ɾ e
abadernaré	a β̞ a ð̞ e ɾ n a ɾ e
abadernareis	a β̞ a ð̞ e ɾ n a ɾ e i̯ s
abadernaréis	a β̞ a ð̞ e ɾ n a ɾ e i̯ s
abadernaremos	a β̞ a ð̞ e ɾ n a ɾ e m o s
abadernáremos	a β̞ a ð̞ e ɾ n a ɾ e m o s
abadernaren	a β̞ a ð̞ e ɾ n a ɾ ẽ n
abadernares	a β̞ a ð̞ e ɾ n a ɾ e s
abadernaría	a β̞ a ð̞ e ɾ n a ɾ i a
abadernaríais	a β̞ a ð̞ e ɾ n a ɾ i a i̯ s
abadernaríamos	a β̞ a ð̞ e ɾ n a ɾ i a m o s
abadernarían	a β̞ a ð̞ e ɾ n a ɾ i ã n
abadernarías	a β̞ a ð̞ e ɾ n a ɾ i a s
abadernarla	a β̞ a ð̞ e ɾ n a ɾ l a
abadernarlas	a β̞ a ð̞ e ɾ n a ɾ l a s
abadernarle	a β̞ a ð̞ e ɾ n a ɾ l e
abadernarles	a β̞ a ð̞ e ɾ n a ɾ l e s
abadernarlo	a β̞ a ð̞ e ɾ n a ɾ l o
abadernarlos	a β̞ a ð̞ e ɾ n a ɾ l o s
abadernarme	a β̞ a ð̞ e ɾ n a ɾ m e
abadernarnos	a β̞ a ð̞ e ɾ n a ɾ n o s
abadernaron	a β̞ a ð̞ e ɾ n a ɾ õ n
