'day	d a j
Adlawan	ʔ a d l a w a n
Adolfo	ʔ a d o l f o
Adolfo	ʔ a d o l p o
Adonis	ʔ a d o n i s
Adornado	ʔ a d o ɾ n a d o
Adrias	ʔ a d ɾ i a s
Advincula	ʔ a d b i ŋ k u l a
Advincula	ʔ a d v i ŋ k u l a
Agapay	ʔ a ɡ a p a j
Agatha	ʔ a ɡ a t a
Agaton	ʔ a ɡ a t o n
Agbayani	ʔ a ɡ b a j a n i
Agbon	ʔ a ɡ b o n
Agbuya	ʔ a ɡ b u j a
Agcaoili	ʔ a ɡ k a w i l i
Agdangan	ʔ a ɡ d a ŋ a n
Aglipay	ʔ a ɡ l i p a j
Agnes	ʔ a ɡ n e s
Agojo	ʔ a ɡ o h o ʔ
Agoncillo	ʔ a ɡ o n s i l j o
Agosto	ʔ a ɡ o s t o
Agpangan	ʔ a ɡ p a ŋ a n
Agregado	ʔ a ɡ ɾ e ɡ a d o
Agta	ʔ a ɡ t a
Aguado	ʔ a ɡ w a d o
Aguas	ʔ a ɡ w a s
Aguda	ʔ a ɡ u d a
Aguho	ʔ a ɡ u h o ʔ
Aguila	ʔ a ɡ i l a
Aguilar	ʔ a ɡ i l a ɾ
Aguilera	ʔ a ɡ i l e ɾ a
Aguinaldo	ʔ a ɡ i n a l d o
Aguirre	ʔ a ɡ i ɾ e
Agujo	ʔ a ɡ u h o ʔ
Agusan	ʔ a ɡ u s a n
Agustin	ʔ a ɡ u s t i n
Agustina	ʔ a ɡ u s t i n a
Agustino	ʔ a ɡ u s t i n o
Agustinyanismo	ʔ a ɡ u s t i n j a n i s m o
Agusto	ʔ a ɡ u s t o
Agutaynen	ʔ a ɡ u t a j n e n
Agutaynen	ʔ a ɡ u t a j n ə n
Agutaynën	ʔ a ɡ u t a j n ə n
Ahiya	ʔ a h i a
Akapulko	ʔ a k a p u l k o
Akbar	ʔ a k b a ɾ
Akiko	ʔ a k i k o
Aklan	ʔ a k l a n
Akwaryo	ʔ a k w a ɾ j o
Al	ʔ a l
Ala	ʔ a l a
Ala	ʔ ə l a
Alab	ʔ a l a b
Alabama	ʔ a l a b a m a
Alabang	ʔ a l a b a ŋ
Alabat	ʔ a l a b a t
Alakdan	ʔ a l a k d a n
Alakran	ʔ a l a k ɾ a n
Alamada	ʔ a l a m a d a
Alaminos	ʔ a l a m i n o s
Alan	ʔ a l a n
Alangilan	ʔ a l a ŋ i l a n
Alarcon	ʔ a l a ɾ k o n
Alaska	ʔ a l a s k a
Alba	ʔ a l b a
Albanes	ʔ a l b a n e s
Albanesa	ʔ a l b a n e s a
Albano	ʔ a l b a n o
Albanya	ʔ a l b a n j a
Albay	ʔ a l b a j
Alberto	ʔ a l b e ɾ t o
Alburquerque	ʔ a l b u ɾ k e ɾ k e
Alcaide	ʔ a l k a j d e
Alcala	ʔ a l k a l a
Alcantara	ʔ a l k a n t a ɾ a
Alcoy	ʔ a l k o j
Aldana	ʔ a l d a n a
Aldover	ʔ a l d o b e ɾ
Aldover	ʔ a l d o v e ɾ
Aldovino	ʔ a l d o b i n o
Aldovino	ʔ a l d o v i n o
Alegado	ʔ a l e ɡ a d o
Alegre	ʔ a l e ɡ ɾ e
Alegria	ʔ a l e ɡ ɾ i a
Alehandrina	ʔ a l e h a n d ɾ i n a
Alehandrino	ʔ a l e h a n d ɾ i n o
Alejandrino	ʔ a l e h a n d ɾ i n o
Alejandro	ʔ a l e h a n d ɾ o
Aleman	ʔ a l e m a n
Alemana	ʔ a l e m a n a
Alemanika	ʔ a l e m a n i k a
Alemaniko	ʔ a l e m a n i k o
Alemanya	ʔ a l e m a n j a
Aleng	ʔ a l e ŋ
Aleosan	ʔ a l i o s a n
Alexa	ʔ a l e k s a
Alfaro	ʔ a l f a ɾ o
Alfaro	ʔ a l p a ɾ o
Alfeche	ʔ a l f e t͡ʃ e
Alfeche	ʔ a l p e t s e
Alfeche	ʔ a l p e t͡ʃ e
Alfonso	ʔ a l f o n s o
Alfonso	ʔ a l p o n s o
Alfredo	ʔ a l f ɾ e d o
Alfredo	ʔ a l p ɾ e d o
Alherya	ʔ a l h e ɾ j a
Alheryana	ʔ a l h e ɾ j a n a
Alheryano	ʔ a l h e ɾ j a n o
Aliaga	ʔ a l j a ɡ a
Alicante	ʔ a l i k a n t e
Alice	ʔ a l i s
Alicia	ʔ a l i s j a
Aliga	ʔ a l i ɡ a
Alikantino	ʔ a l i k a n t i n o
Alimango	ʔ a l i m a ŋ o
Aling	ʔ a l i ŋ
Alingaro	ʔ a l i ŋ a ɾ o
Alipustain	ʔ a l i p u s t a ʔ i n
Alitagtag	ʔ a l i t a ɡ t a ɡ
Aliwalas	ʔ a l i w a l a s
Alkoran	ʔ a l k o ɾ a n
Allacapan	ʔ a l a k a p a n
Allacapan	ʔ a l l a k a p a n
Allan	ʔ a l a n
Allasitan	ʔ a l a s i t a n
Allasitan	ʔ a l l a s i t a n
Allison	ʔ a l i s o n
Alma	ʔ a l m a
Almaden	ʔ a l m a d e n
Almagro	ʔ a l m a ɡ ɾ o
Almarez	ʔ a l m a ɾ e s
Almario	ʔ a l m a ɾ j o
Almazan	ʔ a l m a s a n
Almazan	ʔ a l m a z a n
Almeda	ʔ a l m e d a
Almendrala	ʔ a l m e n d ɾ a l a
Almendras	ʔ a l m e n d ɾ a s
Almeria	ʔ a l m e ɾ i a
Aloguinsan	ʔ a l o ɡ i n s a n
Alolod	ʔ a l o l o d
Alonte	ʔ a l o n t e
Alonto	ʔ a l o n t o
Alpes	ʔ a l p e s
Alpino	ʔ a l p i n o
Alpunsino	ʔ a l p u n s i n o
Altavas	ʔ a l t a b a s
Altavas	ʔ a l t a v a s
Althea	ʔ a l t e a
Altura	ʔ a l t u ɾ a
Alumbrado	ʔ a l u m b ɾ a d o
Alvarado	ʔ a l b a ɾ a d o
Alvarado	ʔ a l v a ɾ a d o
Alvarez	ʔ a l b a ɾ e s
Alvarez	ʔ a l v a ɾ e s
Alvaro	ʔ a l b a ɾ o
Alvaro	ʔ a l v a ɾ o
Alviar	ʔ a l b i a ɾ
Alviar	ʔ a l v i a ɾ
Alvin	ʔ a l b i n
Alvin	ʔ a l v i n
Alzaga	ʔ a l s a ɡ a
Ama	ʔ a m a
Amadeo	ʔ a m a d e o
Amanda	ʔ a m a n d a
Amanisaya	ʔ a m a n i s a j a ʔ
Amansinaya	ʔ a m a n s i n a j a
Amansinaya	ʔ a m a n s i n a j a ʔ
Amante	ʔ a m a n t e
Amasoniko	ʔ a m a s o n i k o
Amber	ʔ a m b e ɾ
Ambo	ʔ a m b o ʔ
Ambrosia	ʔ a m b ɾ o s j a
Ambrosio	ʔ a m b ɾ o s j o
Amelia	ʔ a m i l j a
Amerika	ʔ a m e ɾ i k a
Amerikana	ʔ a m e ɾ i k a n a
Amerikanisado	ʔ a m e ɾ i k a n i s a d o
Amerikanisasyon	ʔ a m e ɾ i k a n i s a s j o n
Amerikanismo	ʔ a m e ɾ i k a n i s m o
Amerikanista	ʔ a m e ɾ i k a n i s t a
Amerikano	ʔ a m e ɾ i k a n o
Amigable	ʔ a m i ɡ a b l e
Amihan	ʔ a m i h a n
Amisola	ʔ a m i s o l a
Amon	ʔ a m o n
Amoranto	ʔ a m o ɾ a n t o
Amores	ʔ a m o ɾ e s
Amos	ʔ a m o s
Amoy	ʔ a m o j
Amparo	ʔ a m p a ɾ o
Ampasit	ʔ a m p a s i t
Ampatuan	ʔ a m p a t u ʔ a n
Amulung	ʔ a m u l u ŋ
Amurao	ʔ a m u ɾ a w
Anabaptismo	ʔ a n a b a p t i s m o
Anabaptista	ʔ a n a b a p t i s t a
Anak	ʔ a n a k
Anastacia	ʔ a n a s t a s j a
Anastasia	ʔ a n a s t a s j a
Ancheta	ʔ a n t s e t a
Ancheta	ʔ a n t͡ʃ e t a
Anda	ʔ a n d a
Andal	ʔ a n d a l
Andalus	ʔ a n d a l u s
Andalusana	ʔ a n d a l u s a n a
Andalusia	ʔ a n d a l u s i a
Andalusiya	ʔ a n d a l u s i a
Andalusya	ʔ a n d a l u s j a
Andaya	ʔ a n d a j a
Andeng	ʔ a n d e ŋ
Andes	ʔ a n d e s
Andina	ʔ a n d i n a
Andino	ʔ a n d i n o
Andora	ʔ a n d o ɾ a
Andorana	ʔ a n d o ɾ a n a
Andorano	ʔ a n d o ɾ a n o
Andrada	ʔ a n d ɾ a d a
Andrade	ʔ a n d ɾ a d e
Andrea	ʔ a n d ɾ e a
Andres	ʔ a n d ɾ e s
Ang	ʔ a ŋ
Angat	ʔ a ŋ ɡ a t
Angel	ʔ a ŋ h e l
Angel	ʔ e j n d j e l
Angel	ʔ e j n d͡ʒ e l
Angela	ʔ a n d j e l a
Angela	ʔ a n d͡ʒ e l a
Angela	ʔ a ŋ h e l a
Angeles	ʔ a ŋ h e l e s
Angelica	ʔ a n d j e l i k a
Angelica	ʔ a n d͡ʒ e l i k a
Angelina	ʔ a n d j e l i n a
Angelina	ʔ a n d͡ʒ e l i n a
Angelina	ʔ a ŋ h e l i n a
Angelino	ʔ a ŋ h e l i n o
Angelo	ʔ a n d j e l o
Angelo	ʔ a n d͡ʒ e l o
Angelo	ʔ a ŋ h e l o
Angglikanismo	ʔ a ŋ ɡ l i k a n i s m o
Angglikano	ʔ a ŋ ɡ l i k a n o
Anggloamerikano	ʔ a ŋ ɡ l o ʔ a m e ɾ i k a n o
Angglomana	ʔ a ŋ ɡ l o m a n a
Angglomano	ʔ a ŋ ɡ l o m a n o
Anggola	ʔ a ŋ ɡ o l a
Anggolana	ʔ a ŋ ɡ o l a n a
Anggolano	ʔ a ŋ ɡ o l a n o
Anglikanismo	ʔ a ŋ ɡ l i k a n i s m o
Anglikano	ʔ a ŋ ɡ l i k a n o
Angloamerikano	ʔ a ŋ ɡ l o ʔ a m e ɾ i k a n o
Anglomana	ʔ a ŋ ɡ l o m a n a
Anglomano	ʔ a ŋ ɡ l o m a n o
Anglosahon	ʔ a ŋ ɡ l o s a h o n
Angola	ʔ a ŋ ɡ o l a
Angolana	ʔ a ŋ ɡ o l a n a
Angolano	ʔ a ŋ ɡ o l a n o
Angono	ʔ a ŋ o n o
Angono	ʔ a ŋ ɡ o n o
Anilao	ʔ a n i l a w
Ann	ʔ a n
Anor	ʔ a n o ɾ
Anseatiko	ʔ a n s e a t i k o
Anson	ʔ a n s o n
Antarktika	ʔ a n t a ɾ k t i k a
Antarktiko	ʔ a n t a ɾ k t i k o
Antartika	ʔ a n t a ɾ t i k a
Antartiko	ʔ a n t a ɾ t i k o
Antecamara	ʔ a n t e k a m a ɾ a
Antequera	ʔ a n t e k e ɾ a
Antikristo	ʔ a n t i k ɾ i s t o
Antilyana	ʔ a n t i l j a n a
Antilyano	ʔ a n t i l j a n o
Antilyas	ʔ a n t i l j a s
Antipas	ʔ a n t i p a s
Antipolo	ʔ a n t i p o l o
Antiporda	ʔ a n t i p o ɾ d a
Antique	ʔ a n t i k e
Anunciacion	ʔ a n u n s i a s j o n
Anunsasyon	ʔ a n u n s a s j o n
Anunsiyasyon	ʔ a n u n s i a s j o n
Anunsyasyon	ʔ a n u n s j a s j o n
Anyayahan	ʔ a n j a j a h a n
Anyonuwebo	ʔ a n j o n u e b o
Anyonwebo	ʔ a n j o n w e b o
Anyunwebo	ʔ a n j u n w e b o
Apacible	ʔ a p a s i b l e
Aparri	ʔ a p a ɾ i
Apatse	ʔ a p a t s e
Apatse	ʔ a p a t͡ʃ e
Apayao	ʔ a p a j a w
Apgana	ʔ a p ɡ a n a
Apganistan	ʔ a p ɡ a n i s t a n
Apgano	ʔ a p ɡ a n o
Apilado	ʔ a p i l a d o
Aplasca	ʔ a p l a s k a
Apokripos	ʔ a p o k ɾ i p o s
Apolinar	ʔ a p o l i n a ɾ
Apolinario	ʔ a p o l i n a ɾ j o
Apolo	ʔ a p o l o
Apolonio	ʔ a p o l o n j o
Apostol	ʔ a p o s t o l
Aprika	ʔ a p ɾ i k a
Aprikana	ʔ a p ɾ i k a n a
Aprikanismo	ʔ a p ɾ i k a n i s m o
Aprikanista	ʔ a p ɾ i k a n i s t a
Aprikano	ʔ a p ɾ i k a n o
April	ʔ e j p ɾ i l
Aproasyatiko	ʔ a p ɾ o ʔ a s j a t i k o
Apulon	ʔ a p u l o n
Aquiles	ʔ a k i l e s
Aquino	ʔ a k i n o
Arabe	ʔ a ɾ a b e
Arabia	ʔ a ɾ a b j a
Arabo	ʔ a ɾ a b o
Arabya	ʔ a ɾ a b j a
Aragon	ʔ a ɾ a ɡ o n
Aragones	ʔ a ɾ a ɡ o n e s
Arakaki	ʔ a ɾ a k a k i
Arakan	ʔ a ɾ a k a n
Aramaika	ʔ a ɾ a m a i k a
Aramaika	ʔ a ɾ a m a j k a
Aramaiko	ʔ a ɾ a m a i k o
Aramaiko	ʔ a ɾ a m a j k o
Aramayika	ʔ a ɾ a m a j i k a
Aramayiko	ʔ a ɾ a m a j i k o
Aramayka	ʔ a ɾ a m a j k a
Aramayko	ʔ a ɾ a m a j k o
Arambulo	ʔ a ɾ a m b u l o
Aramea	ʔ a ɾ a m e a
Arameo	ʔ a ɾ a m e o
Arameya	ʔ a ɾ a m e a
Arameyo	ʔ a ɾ a m e o
Aramita	ʔ a ɾ a m i t a
Aranda	ʔ a ɾ a n d a
Arandia	ʔ a ɾ a n d i a
Araneta	ʔ a ɾ a n e t a
Arao	ʔ a ɾ a w
Arañas	ʔ a ɾ a n j a s
Arbolante	ʔ a ɾ b o l a n t e
Arbotante	ʔ a ɾ b o t a n t e
Arcalas	ʔ a ɾ k a l a s
Arce	ʔ a ɾ s e
Arcega	ʔ a ɾ s e ɡ a
Arcenas	ʔ a ɾ s e n a s
Arceo	ʔ a ɾ s e o
Arciaga	ʔ a ɾ s i a ɡ a
Arcilla	ʔ a ɾ s i l j a
Arcillas	ʔ a ɾ s i l j a s
Arcinas	ʔ a ɾ s i n a s
Ardiente	ʔ a ɾ d i e n t e
Areglado	ʔ a ɾ e ɡ l a d o
Arellano	ʔ a ɾ e l j a n o
Arenas	ʔ a ɾ e n a s
Arevalo	ʔ a ɾ e b a l o
Arevalo	ʔ a ɾ e v a l o
Argao	ʔ a ɾ ɡ a w
Argente	ʔ a ɾ h e n t e
Arguelles	ʔ a ɾ ɡ e l j e s
Arguelles	ʔ a ɾ ɡ u e l j e s
Arhelya	ʔ a ɾ h e l j a
Arhentina	ʔ a ɾ h e n t i n a
Arias	ʔ a ɾ j a s
Aries	ʔ a ɾ j e s
Ariola	ʔ a ɾ j o l a
Aristoteles	ʔ a ɾ i s t o t e l e s
Arlene	ʔ a ɾ l i n
Armamento	ʔ a ɾ m a m e n t o
Armando	ʔ a ɾ m a n d o
Armenya	ʔ a ɾ m e n j a
Armenyo	ʔ a ɾ m e n j o
Arnaiz	ʔ a ɾ n a ʔ i s
Arnel	ʔ a ɾ n e l
Arquiza	ʔ a ɾ k i s a
Arquiza	ʔ a ɾ k i z a
Arrieta	ʔ a ɾ j e t a
Arriola	ʔ a ɾ j o l a
Arrogante	ʔ a ɾ o ɡ a n t e
Arrojado	ʔ a ɾ o h a d o
Arroyo	ʔ a ɾ o j o
Arsenia	ʔ a ɾ s e n j a
Arsenio	ʔ a ɾ s e n j o
Arteche	ʔ a ɾ t e t s e
Arteche	ʔ a ɾ t e t͡ʃ e
Artemio	ʔ a ɾ t e m j o
Artiaga	ʔ a ɾ t i a ɡ a
Arturo	ʔ a ɾ t u ɾ o
Aryes	ʔ a ɾ j e s
Arzadon	ʔ a ɾ s a d o n
Arzadon	ʔ a ɾ z a d o n
Aserbayan	ʔ a s e ɾ b a j a n
Ashley	ʔ a s l i
Ashley	ʔ a ʃ l i
Asilo	ʔ a s i l o
Asin	ʔ a s i n
Asiong	ʔ a s j o ŋ
Asipulo	ʔ a s i p u l o
Asistio	ʔ a s i s t i o
Astilyehos	ʔ a s t i l j e h o s
Asturias	ʔ a s t u ɾ j a s
Asuncion	ʔ a s u n s i o n
Asunsiyon	ʔ a s u n s i o n
Asunsyon	ʔ a s u n s j o n
Asya	ʔ a s j a
Asyano	ʔ a s j a n o
Asyatiko	ʔ a s j a t i k o
Ate	ʔ a t e
Atenas	ʔ a t e n a s
Atendido	ʔ a t e n d i d o
Athanasia	ʔ a t a n a s j a
Athena	ʔ a t i n a
Atienza	ʔ a t j e n s a
Atienza	ʔ a t j e n z a
Atlantiko	ʔ a t l a n t i k o
Atok	ʔ a t o k
Atsi	ʔ a t s i
Atsi	ʔ a t͡ʃ i
Audrey	ʔ o d ɾ i
Auring	ʔ a w ɾ i ŋ
Aurora	ʔ a w ɾ o ɾ a
Aurora	ʔ o ɾ o ɾ a
Aurorahin	ʔ a w ɾ o ɾ a h i n
Aurorahin	ʔ o ɾ o ɾ a h i n
Australya	ʔ a w s t ɾ a l j a
Autumn	ʔ o t u m
Auyong	ʔ a w j o ŋ
Avanceña	ʔ a b a n s e n j a
Avanceña	ʔ a v a n s e n j a
Avendaño	ʔ a b e n d a n j o
Avendaño	ʔ a v e n d a n j o
Awstralya	ʔ a w s t ɾ a l j a
Awstriya	ʔ a w s t ɾ i a
Awyoung	ʔ a w j a ŋ
Ayako	ʔ a j a k o
Ayala	ʔ a j a l a
Ayson	ʔ a j s o n
Ayta	ʔ a j t a
Ayumi	ʔ a j u m i
Azaña	ʔ a s a n j a
Azaña	ʔ a z a n j a
Azucena	ʔ a s u s e n a
Azucena	ʔ a z u s e n a
Año	ʔ a n j o
Añonuevo	ʔ a n j o n w e b o
Añonuevo	ʔ a n j o n w e v o
B	b
B	b a
B	b e
B	b i
BAWADI	b a w a d i
BAYAN	b a j a n
BI	b i ʔ a j
BINHI	b i n h i ʔ
BLISTT	b l i s t
BSP	b i ʔ e s p i
Baao	b a ʔ a w
Babao	b a b a w
Babasa	b a b a s a
Babilonya	b a b i l o n j a
Babuyan	b a b u j a n
Bacacay	b a k a k a j
Bacarra	b a k a ɾ a
Baclaran	b a k l a ɾ a n
Baclayon	b a k l a j o n
Baclig	b a k l i ɡ
Bacolod	b a k o l o d
Bacolor	b a k o l o ɾ
Bacoor	b a k o ʔ o ɾ
Bacsa	b a k s a
Bactol	b a k t o l
Baculi	b a k u l i
Badayos	b a d a j o s
Badian	b a d j a n
Badoc	b a d o k
Bae	b a ʔ e
Bagac	b a ɡ a k
Bagamanoc	b a ɡ a m a n o k
Bagamaspad	b a ɡ a m a s p a d
Baganga	b a ɡ a ŋ ɡ a
Bagaoisan	b a ɡ a w i s a n
Baggao	b a ɡ a w
Baggao	b a ɡ ɡ a w
Bagongahasa	b a ɡ o ŋ ɡ a h a s a ʔ
Bagonghasa	b a ɡ o ŋ h a s a ʔ
Bagsit	b a ɡ s i t
Bagtas	b a ɡ t a s
Baguio	b a ɡ j o
Bagumbayan	b a ɡ u m b a j a n
Bagumbong	b a ɡ u m b o ŋ
Bahaghari	b a h a ɡ h a ɾ i ʔ
Bahamas	b a h a m a s
Bahamiyana	b a h a m i a n a
Bahamiyano	b a h a m i a n o
Bahasa	b a h a s a
Bai	b a ʔ i
Bai	b a ʔ i ʔ
Bailen	b a j l e n
Bajado	b a h a d o
Baka	b a k a
Bakakeng	b a k a k e ŋ
Bakakeng	b a k a k ə ŋ
Bakun	b a k u n
Balagtas	b a l a ɡ t a s
Balaguer	b a l a ɡ e ɾ
Balahadia	b a l a h a d j a
Balais	b a l a ʔ i s
Balajadia	b a l a h a d j a
Balamban	b a l a m b a n
Balanga	b a l a ŋ a ʔ
Balanga	b a l a ŋ ɡ a ʔ
Balangiga	b a l a ŋ ɡ i ɡ a
Balangkayan	b a l a ŋ k a j a n
Balasabas	b a l a s a b a s
Balatan	b a l a t a n
Balatbat	b a l a t b a t
Balatik	b a l a t i k
Balayan	b a l a j a n
Baldomero	b a l d o m e ɾ o
Baldonado	b a l d o n a d o
Baler	b a l e ɾ
Balesin	b a l e s i n
Balete	b a l e t e
Balibago	b a l i b a ɡ o
Balilihan	b a l i l i h a n
Balilo	b a l i l o
Balingit	b a l i ŋ i t
Balisacan	b a l i s a k a n
Balita	b a l i t a ʔ
Balitaan	b a l i t a ʔ a n
Balite	b a l i t e
Baliwag	b a l i w a ɡ
Ballesteros	b a l e s t e ɾ o s
Ballesteros	b a l j e s t e ɾ o s
Balmaceda	b a l m a s e d a
Balmes	b a l m e s
Baltazar	b a l t a s a ɾ
Baltazar	b a l t a z a ɾ
Baluga	b a l u ɡ a ʔ
Baluyot	b a l u j o t
Bamban	b a m b a n
Banaag	b a n a ʔ a ɡ
Banal	b a n a l
Banalo	b a n a l o
Banaue	b a n a w e
Banawa	b a n a w a
Banawe	b a n a w e
Banawon	b a n a w o n
Banayad	b a n a j a d
Banaybanay	b a n a j b a n a j
Bang	b a ŋ
Banga	b a ŋ a
Bangit	b a ŋ i t
Bangkal	b a ŋ k a l
Bangkok	b a ŋ k o k
Bangued	b a ŋ ɡ e d
Banhaon	b a n h a ʔ o n
Baniaga	b a n j a ɡ a
Banilad	b a n i l a d
Banisilan	b a n i s i l a n
Banocnoc	b a n o k n o k
Bansalan	b a n s a l a n
Bansud	b a n s u d
Banta	b a n t a
Bantayan	b a n t a j a n
Bantugan	b a n t u ɡ a n
Banzon	b a n s o n
Banzon	b a n z o n
Banzuela	b a n s u e l a
Banzuela	b a n z u e l a
Baquiran	b a k i ɾ a n
Barangka	b a ɾ a ŋ k a ʔ
Baraquiel	b a ɾ a k j e l
Baras	b a ɾ a s
Barayuga	b a ɾ a j u ɡ a
Barbara	b a ɾ b a ɾ a
Barbaza	b a ɾ b a s a
Barbaza	b a ɾ b a z a
Barbosa	b a ɾ b o s a
Barcelona	b a ɾ s e l o n a
Barcenas	b a ɾ s e n a s
Barein	b a ɾ e j n
Bareini	b a ɾ e j n i
Barili	b a ɾ i l i
Barlig	b a ɾ l i ɡ
Barquilla	b a ɾ k i l j a
Barradas	b a ɾ a d a s
Barrameda	b a ɾ a m e d a
Barrera	b a ɾ e ɾ a
Barrientos	b a ɾ j e n t o s
Barrios	b a ɾ j o s
Bartolome	b a ɾ t o l o m e
Basa	b a s a
Basallote	b a s a l j o t e
Basbas	b a s b a s
Basco	b a s k o
Bascoguin	b a s k o ɡ i n
Base	b a s e
Basilan	b a s i l a n
Basilio	b a s i l j o
Basilisa	b a s i l i s a
Bassig	b a s i ɡ
Basud	b a s u d
Bataan	b a t a ʔ a n
Batac	b a t a k
Batallones	b a t a l j o n e s
Batan	b a t a n
Batanes	b a t a n e s
Batangas	b a t a ŋ ɡ a s
Batangenyo	b a t a ŋ ɡ e n j o
Batangueña	b a t a ŋ ɡ e n j a
Batangueño	b a t a ŋ ɡ e n j o
Bataraza	b a t a ɾ a s a
Bataraza	b a t a ɾ a z a
Batasan	b a t a s a n
Bathala	b a t h a l a ʔ
Bathan	b a t h a n
Batikano	b a t i k a n o
Batino	b a t i n o
Bato	b a t o
Batongbakal	b a t o ŋ b a k a l
Batuan	b a t w a n
Batumbakal	b a t u m b a k a l
Bauan	b a w a n
Bauang	b a w a ŋ
Bauko	b a ʔ u k o
Baungon	b a ʔ u ŋ o n
Bautista	b a w t i s t a
Bauzon	b a w s o n
Baviera	b a b j e ɾ a
Baviera	b a v j e ɾ a
Bawalan	b a w a l a n
Bay	b a j
Bay	b a ʔ i
Bay	b a ʔ i ʔ
Bay	b e j
Bayagra	b a j a ɡ ɾ a
Bayanan	b a j a n a n
Bayani	b a j a n i
Baybayin	b a j b a j i n
Baylosis	b a j l o s i s
Bayombong	b a j o m b o ŋ
Bayot	b a j o t
Bayudan	b a j u d a n
Bayugan	b a j u ɡ a n
Bañaga	b a n j a ɡ a
Beckel	b e k e l
Beckel	b ə k k ə l
Bejasa	b e h a s a
Belandres	b e l a n d ɾ e s
Belarmino	b e l a ɾ m i n o
Belarus	b e l a ɾ u s
Belhika	b e l h i k a
Belhiko	b e l h i k o
Belison	b e l i s o n
Belmonte	b e l m o n t e
Beltran	b e l t ɾ a n
Benedicto	b e n e d i k t o
Beneswela	b e n e s w e l a
Benguet	b e ŋ ɡ e t
Bengzon	b e ŋ s o n
Bengzon	b e ŋ z o n
Benigno	b e n i ɡ n o
Benin	b e n i n
Benipayo	b e n i p a j o
Benito	b e n i t o
Benli	b e n l i
Bentinganan	b e n t i ŋ a n a n
Benus	b e n u s
Bergonia	b e ɾ ɡ o n j a
Berinayan	b e ɾ i n a j a n
Bermudez	b e ɾ m u d e s
Bernabe	b e ɾ n a b e
Bernadette	b e ɾ n a d e t
Bernal	b e ɾ n a l
Bernardez	b e ɾ n a ɾ d e s
Bernardo	b e ɾ n a ɾ d o
Berroya	b e ɾ o j a
Berry	b e ɾ i
Bersamina	b e ɾ s a m i n a
Berting	b e ɾ t i ŋ
Beryl	b e ɾ i l
Besao	b e s a w
Besao	b ə s a w
Bessie	b e s i
Betong	b e t o ŋ
Betsy	b e t s i
Betty	b e t t i
Bibliya	b i b l i a
Bidduang	b i d w a ŋ
Bienvenido	b i e n b e n i d o
Bienvenido	b i e n v e n i d o
Bigcas	b i ɡ k a s
Bignay	b i ɡ n a j
Bihasa	b i h a s a
Bikol	b i k o l
Bikolana	b i k o l a n a
Bikolano	b i k o l a n o
Bilar	b i l a ɾ
Biliran	b i l i ɾ a n
Binangonan	b i n a ŋ o n a n
Binibini	b i n i b i n i
Binondo	b i n o n d o
Binubusan	b i n u b u s a n
