ab	ɑˀ b̥
bīețõz	b iˑ e̯ cˑ ə z̥
bīlda	b iː l d ɑ
bīskop	b iː s k o pˑ
bleifēdõr	b l e i̯ fˑ eˑ d ə r
blēḑ	b l eːˀ ɟ̥
bokā	b o kˑ ɑˑ
bokāmōŗa	b o kˑ ɑˑ m ɒː rʲ ɑ
bomīkšõ	b o m iˑ k ʃ ə
borātõ	b o r ɑˑ tˑ ə
borāvīk	b o r ɑˑ v iˑ kˑ
borāvīk	b o r ɑˑ v iː kˑ
borkõn	b o rˑ kˑ ə n
boŗ	b oˀ rʲ
Bosnij	b o sˑ n i j
bōik	b ɒː i̯ kˑ
bōļa	b ɒː ʎ ɑ
bōn	b ɒː n
bōr	b ɒː r
breḑḑõ	b r eˀ ɟː ə
brēḑig	b r eː ɟ i ɡ̥
Brissõl	b r i sːː ə l
brī	b r iː
brīõz	b r iː ɯ z̥
broutšõ	b r o̯ uˑ t͡ʃ ə
brõuvõ	b r ɯ̯ uˑ v ə
brūni	b r uː n i
brūokst	b r uˑ o̯ k s t
bukštīerõ	b u kˑ ʃ t iˑ e̯ r ə
Bulgārij	b u l ɡ ɑˑ r i j
buļ	b uˀ ʎ
bumbīer	b u m b iˑ e̯ r
buŗŗõ	b uˀ rʲː ə
buzārtõ	b u z ɑˑ r tˑ ə
būmbal	b uː m b ɑ l
būoḑ	b uˑ o̯ ɟ̥
būolgõz	b uˑ o̯ l ɡ ə z̥
būom	b uˑ o̯ m
dabā	d ɑ b ɑˑ
dadžā	d ɑ d ʒ ɑˑ
daggõl	d ɑˀ ɡː ə l
damā	d ɑ m ɑˑ
danktõ	d ɑˀ ŋ k t ə
danktõ	d ɑ ŋˑ k t ə
daņtš	d ɑ ɲˑ t͡ʃ
daņtšõ	d ɑ ɲˑ t͡ʃ ə
datīv	d ɑ tˑ iˑ v
datōr	d ɑ tˑ oˑ r
dattõd	d ɑ tːː ə d̥
dālba	d ɑː l b ɑ
dek	d e kː
derk	d e rˑ kˑ
detsembõr	d e tˑ s e m b ə r
dēļ	d eː ʎ
Dēņmō	d eː ɲ m ɒː
dillõd	d i lːː ə d̥
drukkõ	d r u kːː ə
drūošõ	d r uˑˀ o̯ ʃˑ ə
dullõnz	d u lːː ə n z̥
duņtš	d u ɲˑ t͡ʃ
Dūoņig	d uˑ o̯ ɲ i ɡ̥
dūrbal	d uː r b ɑ l
eḑḑi	eˀ ɟː i
eḑḑinim	eˀ ɟː i n iˀ m
eggiļ	eˀ ɡː i ʎ
egļi	eˀ ɡ ʎ i
Eirōp	e i̯ r oˑ pˑ
eitõ	e̯ iˑ tː ə
elatīv	e l ɑ tˑ iˑ v
elektrīb	e l e k t r iˑ b̥
eļ	e ʎː
eļkõ	e ʎˑ kˑ ə
eļļõ	e ʎːː ə
eļm	e ʎˑ m
Englišmō	e ŋˑ ɡ l i ʃˑ m ɒː
engõl	e ŋˑ ɡ ə l
Engõlmō	e ŋˑ ɡ ə l m ɒː
entsiklopēdij	e nˑ t s i k l o pˑ eˑ d i j
epțõ	e pˑ c ə
erk	e rˑ kˑ
erktõ	e rˑ k t ə
ertļõ	e rˑ t ʎ ə
ețkā	e c k ɑˑ
evangēlium	e v ɑ ŋ ɡ eˑ l i̯ uˑ m
ežmi	eˀ ĭ̯ ʒ m i
ežmõks	eˀ ĭ̯ ʒ m ə k s
ežōrõn	eˀ ĭ̯ ʒ ɒːˀ r ə n
ežžõmpǟva	eˀ ĭ̯ ʒː ə m p æː v ɑ
ēbrikš	eː b r i k ʃ
ēdrikšõ	eː d r i k ʃ ə
ēdrõm	eː d r ə m
ēḑõ	eːˀ ɟ ə
ēḑtõ	eːˀ c t ə
ēļ	eː ʎ
ēņõz	eːˀ ɲ ə z̥
ērgiļd	eː r ɡ i ʎ d̥
ērgiļnikā	eː r ɡ i ʎ n i kˑ ɑˑ
ēriņ	eː r i ɲ
Ēstimō	eː s t i m ɒː
ētam	eː tˑ ɑ m
ēviļ	eː v i ʎ
ēviļtõ	eː v i ʎ tˑ ə
fakt	f ɑ kˑ t
februar	f e b r u ɑ r
februār	f e b r u ɑˑ r
fonētik	f o n eˑ tˑ i kˑ
Frantsij	f r ɑ nˑ t s i j
gadāg	ɡ ɑ d ɑˑ ɡ̥
gaffõl	ɡ ɑ fːː ə l
gārban	ɡ ɑː r b ɑ n
genitīv	ɡ e n i tˑ iˑ v
gidīkšõ	ɡ i d iˑ k ʃ ə
gilgõ	ɡ i lˑ ɡ ə
giltõ	ɡ i lˑ tˑ ə
Gipk	ɡ i pˑ k
gläbbõ	ɡ l æˀ bː ə
glōz	ɡ l ɒː z̥
goŗīkšõ	ɡ o rʲ iˑ k ʃ ə
grant	ɡ r ɑ nˑ tˑ
grād	ɡ r ɑː d̥
Grēkõmō	ɡ r eː kˑ ə m ɒː
Grīekmō	ɡ r iˑ e̯ kˑ m ɒː
guŗkõz	ɡ u rʲˑ kˑ ə z̥
gūlma	ɡ uː l m ɑ
gūngaserk	ɡ uː ŋ ɡ ɑ s e rˑ kˑ
gūogõz	ɡ uˑ o̯ ɡ ə z̥
Holand	h o l ɑ n d̥
Horvātij	h o r v ɑˑ tˑ i j
ibbi	iˀ bː i
ibūks	i b uˑ k s
idā	i d ɑˑ
idāntõ	i d ɑˑ n tˑ ə
iddõ	iˀ dː ə
ig	iˀ ɡ̥
igā	i ɡ ɑˑ
igāb	i ɡ ɑˑ b̥
igāniz	i ɡ ɑˑ n i z̥
iggi	iˀ ɡː i
iggõz	iˀ ɡː ə z̥
igmõd	iˀ ɡ m ə d̥
ikš	i kˑ ʃ
ikšiggiņ	i kˑ ʃ iˀ ɡː i ɲ
ikšlug	i kˑ ʃ l uˀ ɡ̥
ikštäuž	i kˑ ʃ t æ̯ uˑ ʒʲ
ikštuoistõn	i kˑ ʃ t ŭ̯ o̯ iˑ sˑ t ə n
ilā	i l ɑˑ
ildīņ	i l d iˑ ɲ
ildõ	iˀ l d ə
illatīv	i lːː ɑ tˑ iˑ v
illõ	iˀ lː ə
ilp	i lˑ pˑ
ilzõ	iˀ l z ə
iļ	iˀ ʎ
iļdžēmḑa	iˀ ʎ d ʒ eː m ɟ ɑ
iļļiskūol	iˀ ʎː i s k uˑ o̯ l
iļļõ	iˀ ʎː ə
im	iˀ m
imāb	i m ɑˑ b̥
imlõ	iˀ m l ə
immõ	iˀ mː ə
immõr	i mːː ə r
immõrtõ	i mːː ə r tˑ ə
imtõ	iˀ m tˑ ə
imū	i m uˑ
ind	i nˑ d̥
inesīv	i n e sˑ iˑ v
informātsij	i nˑ f o r m ɑˑ t s i j
innõ	iˀ nː ə
instrumentāl	i nˑ s t r u m e n tˑ ɑˑ l
irdi	i rˑ d i
Irē	i r eˑ
irg	i rˑ ɡ̥
irgõ	i rˑ ɡ ə
irīkšõ	i r iˑ k ʃ ə
irm	i rˑ m
irmõz	i rˑ m ə z̥
irmtõ	i rˑ m tˑ ə
iŗāmōŗa	i rʲ ɑˑ m ɒː rʲ ɑ
Island	i sˑ l ɑ n d̥
istōrij	i s t oˑ r i j
istõ	i sˑ t ə
Itālij	i tˑ ɑˑ l i j
Itāļmō	i tˑ ɑˑ ʎ m ɒː
itkõ	i tˑ k ə
iz	iˀ z̥
izā	i z ɑˑ
izāmō	i z ɑˑ m ɒː
izānd	i z ɑˑ n d̥
izāsõzār	i z ɑˑ s ɯ z ɑˑ r
izāveļ	i z ɑˑ v eˀ ʎ
Izrael	iˀ z r ɑ e l
Izraēl	i z r ɑ eˑ l
izt	iˀ s t
īdiņțõ	iːˀ d i ɲ cˑ ə
īdlimi	iːˀ d l i m i
īdõks	iːˀ d ə k s
īdõkskimdõ	iːˀ d ə k s k i mˑ d ə
īdõkskimdõz	iːˀ d ə k s k i mˑ d ə z̥
īdõksmõz	iːˀ d ə k s m ə z̥
īdõkssadā	iːˀ d ə k s s ɑ d ɑˑ
īdõkssadāz	iːˀ d ə k s s ɑ d ɑˑ z̥
īdõkstuoistõn	iːˀ d ə k s t ŭ̯ o̯ iˑ sˑ t ə n
īdõkstuoistõnz	iːˀ d ə k s t ŭ̯ o̯ iˑ sˑ t ə n z̥
īdskubs	iːˀ t s k uˀ p s
īdtõluggõ	iːˀ tː ə l uˀ ɡː ə
īdtuoistõnz	iːˀ t t ŭ̯ o̯ iˑ sˑ t ə n z̥
īe	iˑ e̯
īedõ	iˑ e̯ d ə
īedõ	iˑˀ e̯ d ə
īedõ	iˑ e̯ d ə
īeīr	iˑ e̯ iː r
īekõ	iˑ e̯ kˑ ə
īeltõ	iˑ e̯ l tˑ ə
īevad	iˑ e̯ v ɑ d̥
īlbõks	iː l b ə k s
īlgaz	iː l ɡ ɑ z̥
īlma	iː l m ɑ
īm	iːˀ m
īnda	iː n d ɑ
īņõkst	iː ɲ ə k s t
īņõz	iː ɲ ə z̥
īņõzkilliji	iː ɲ ə s k iˀ lː i j i
īr	iː r
Īra	iː r ɑ
īrgandõks	iː r ɡ ɑ n d ə k s
Īrõmō	iː r ə m ɒː
Īsland	iː s l ɑ n d̥
īt	iːˀ tˑ
īti	iːˀ tˑ i
īž	iːˀ ʒ̥
īžkilliji	iːˀ ʃ k iˀ lː i j i
ja	j ɑ
jadā	j ɑ d ɑˑ
jag	j ɑˀ ɡ̥
jaggõ	j ɑˀ ɡː ə
jakt	j ɑ kˑ t
jaktõ	j ɑ kˑ t ə
jaļkš	j ɑ ʎˑ k ʃ
jamdi	j ɑˀ m d i
jamdõ	j ɑˀ m d ə
jamstõ	j ɑ mˑ s t ə
janvār	j ɑ n v ɑˑ r
jarā	j ɑ r ɑˑ
jatk	j ɑ tˑ k
jatkõ	j ɑ tˑ k ə
jālga	j ɑː l ɡ ɑ
Jālgab	j ɑː l ɡ ɑ b̥
jālgab	j ɑː l ɡ ɑ b̥
jālgiņ	j ɑː l ɡ i ɲ
jämp	j æ mˑ pˑ
jedāl	j e d ɑˑ l
jeddõ	j eˀ dː ə
jeddõpēḑõn	j eˀ dː ə p eːˀ ɟ ə n
jedmõl	j eˀ d m ə l
jeds	j eˀ t s
jedsõ	j eˀ t s ə
jedspēḑõn	j eˀ t s p eːˀ ɟ ə n
jedstõ	j eˀ t s t ə
jegā	j e ɡ ɑˑ
jegāikš	j e ɡ ɑˑ i kˑ ʃ
jei	j e̯ iˑ
jeiji	j e̯ iˑ j i
Jeimer	j e̯ iˑ m eˀ r
jeksõ	j e kˑ s ə
jel	j eˀ l
jelāb	j e l ɑˑ b̥
jelāj	j e l ɑˑ i̯
jelāmi	j e l ɑˑ m i
jelānikā	j e l ɑˑ n i kˑ ɑˑ
jellõ	j eˀ lː ə
jelsõ	j eˀ l s ə
jemā	j e m ɑˑ
jemākēļ	j e m ɑˑ k eː ʎ
jemānd	j e m ɑˑ n d̥
jemāsõzār	j e m ɑˑ s ɯ z ɑˑ r
jemāveļ	j e m ɑˑ v eˀ ʎ
jemīņ	j e m iˑ ɲ
jeng	j e ŋˑ ɡ̥
jengõ	j e ŋˑ ɡ ə
jengõz	j eˀ ŋ ɡ ə z̥
jennõ	j eˀ nː ə
jettõ	j e tːː ə
jērnaz	j eː r n ɑ z̥
jo	j o
joud	j o̯ uˑ d̥
joudõ	j o̯ uˑ d ə
joudzi	j o̯ uˑ d z i
joug	j o̯ˀ u ɡ̥
jougūzõ	j o̯ uˑ ɡ uː z ə
jouļiki	j o̯ˀ u ʎ i kˑ i
joutõm	j o̯ uˑ tː ə m
joutõmläpš	j o̯ uˑ tː ə m l æ pˑ ʃ
jovātõ	j o v ɑˑ tˑ ə
jovd	j oˀ v d̥
jōdõ	j ɒːˀ d ə
jōḑ	j ɒː ɟ̥
jōlõks	j ɒː l ə k s
Jōņpǟva	j ɒː ɲ p æː v ɑ
jōra	j ɒː r ɑ
jōsõ	j ɒː sˑ ə
jōtaz	j oː tˑ ɑ z̥
jõbā	j ɯ b ɑˑ
jõugõ	j ɯ̯ uˑ ɡ ə
jõugõmōŗa	j ɯ̯ uˑ ɡ ə m ɒː rʲ ɑ
jõvā	j ɯ v ɑˑ
jõvām	j ɯ v ɑˑ m
jõvīst	j ɯ v iˑ s t
jõvvõ	j ɯˀ u̯ vː ə
julgi	j u lˑ ɡ i
julgõ	j u lˑ ɡ ə
jumāl	j u m ɑˑ l
Jumāl	j u m ɑˑ l
juo	j ŭ̯ o
jurg	j u rˑ ɡ̥
jutlõ	j u tˑ l ə
jutlõks	j u tˑ l ə k s
Jūdõmō	j uː d ə m ɒː
jūlij	j uː l i j
jūnij	j uː n i j
jūod	j uˑˀ o̯ d̥
jūodiji	j uˑˀ o̯ d i j i
jūodõ	j uˑ o̯ d ə
jūodõ	j uˑˀ o̯ d ə
jūoimi	j uˑ o̯ i̯ m i
jūoimki	j uˑ o̯ i̯ m kˑ i
jūoji	j uˑ o̯ j i
jūokš	j uˑ o̯ k ʃ
jūokšõ	j uˑ o̯ k ʃ ə
jūom	j uˑ o̯ m
jūomi	j uˑ o̯ m i
jūomnāiga	j uˑ o̯ m n ɑː i̯ ɡ ɑ
jūotõ	j uˑ o̯ tˑ ə
jūrõ	j uːˀ r ə
jūŗ	j uː rʲ
jūsõ	j uː sˑ ə
ka	k ɑ
kabāl	k ɑ b ɑˑ l
kabāt	k ɑ b ɑˑ tˑ
kabātš	k ɑ b ɑˑ t͡ʃ
kad	k ɑˀ d̥
kaddõ	k ɑˀ dː ə
kaffe	k ɑ fːː e
kaffekuodā	k ɑ fːː e k ŭ̯ o d ɑˑ
kaffetas	k ɑ fːː e t ɑ sː
kaggõl	k ɑˀ ɡː ə l
kaggõrz	k ɑˀ ɡː ə r z̥
kaibõ	k ɑ̯ iˑ b ə
kaimkuodā	k ɑ̯ iˑ m k ŭ̯ o d ɑˑ
kaimõ	k ɑ̯ iˑ m ə
kaits	k ɑ̯ iˑ t s
kaitsõ	k ɑ̯ iˑ t s ə
kaj	k ɑˀ i̯
kajāgõz	k ɑ j ɑˑ ɡ ə z̥
kajtõ	k ɑˀ i̯ t ə
kak	k ɑ kː
kakš	k ɑ kˑ ʃ
kakškimdõ	k ɑ kˑ ʃ k i mˑ d ə
kakšsadā	k ɑ kˑ ʃ s ɑ d ɑˑ
kakštuoistõn	k ɑ kˑ ʃ t ŭ̯ o̯ iˑ sˑ t ə n
kalā	k ɑ l ɑˑ
kalādrok	k ɑ l ɑˑ d r o kː
kalāmīez	k ɑ l ɑˑ m iˑ e̯ z̥
kaļ	k ɑ ʎː
kaļāj	k ɑ ʎ ɑˑ i̯
kamār	k ɑ m ɑˑ r
kanā	k ɑ n ɑˑ
Kanād	k ɑ n ɑˑ d̥
kand	k ɑ nˑ d̥
kandõ	k ɑ nˑ d ə
kangpūd	k ɑ ŋˑ k p uː d̥
kangti	k ɑ ŋˑ k t i
kangtõ	k ɑ ŋˑ k t ə
kaņki	k ɑˀ ɲ kˑ i
kaņț	k ɑ ɲˑ cˑ
kapīņțõ	k ɑ pˑ iˑ ɲ cˑ ə
kaptēn	k ɑ p t eˑ n
kard	k ɑ rˑ d̥
kardi	k ɑˀ r d i
kardi	k ɑ rˑ d i
kardi	k ɑ rˑ d i
kargõ	k ɑ rˑ ɡ ə
karīņțõ	k ɑ r iˑ ɲ cˑ ə
karri	k ɑ rːː i
kartõ	k ɑ rˑ tˑ ə
karū	k ɑ r uˑ
kas	k ɑ sː
kast	k ɑ sˑ t
kastõ	k ɑ sˑ t ə
kastūg	k ɑ s t uˑ ɡ̥
kaš	k ɑ ʃː
katkismus	k ɑ tˑ k i s m u sˑ
katkõ	k ɑ tˑ k ə
katōļusk	k ɑ tˑ oˑ ʎ u sˑ k
kattõ	k ɑ tːː ə
katūks	k ɑ tˑ uˑ k s
kațki	k ɑ cˑ k i
kațļā	k ɑ c ʎ ɑˑ
kaz	k ɑˀ z̥
kazātõ	k ɑ z ɑˑ tˑ ə
kazzõ	k ɑˀ zː ə
kažži	k ɑˀ ĭ̯ ʒː i
kāika	k ɑː i̯ kˑ ɑ
kāima	k ɑː i̯ m ɑ
kāinal	k ɑː i̯ n ɑ l
kālma	k ɑː l m ɑ
kālmadtarā	k ɑː l m ɑ t t ɑ r ɑˑ
Kāndab	k ɑː n d ɑ b̥
kāndam	k ɑː n d ɑ m
kāndatõ	k ɑː n d ɑ tˑ ə
kāndla	k ɑː n d l ɑ
kāndõks	k ɑː n d ə k s
kāngar	k ɑː ŋ ɡ ɑ r
kāngaz	k ɑː ŋ ɡ ɑ z̥
kārda	k ɑː r d ɑ
kārgastõ	k ɑː r ɡ ɑ s t ə
kārnaz	k ɑː r n ɑ z̥
käbā	k æ b ɑˑ
käbrāz	k æ b r ɑˑ z̥
kädlabā	k æˀ d l ɑ b ɑˑ
kädūks	k æ d uˑ k s
kädvaŗž	k æˀ d v ɑ rʲˑ ʒ̥
käg	k æˀ ɡ̥
käl	k æˀ l
käp	k æ pː
käpā	k æ pˑ ɑˑ
kärmi	k æ rˑ m i
kärp	k æ rˑ pˑ
käsk	k æ sˑ k
käskõ	k æ sˑ k ə
kǟdõ	k æːˀ d ə
kǟnga	k æː ŋ ɡ ɑ
kǟrani	k æː r ɑ n i
kǟrpa	k æː r pˑ ɑ
kǟtõ	k æːˀ tˑ ə
keijõ	k e̯ iˑ j ə
kejā	k e j ɑˑ
kem	k e mː
kemmõ	k e mːː ə
kengmõd	k e ŋˑ ɡ m ə d̥
kengõ	k e ŋˑ ɡ ə
kengšepā	k e ŋˑ ɡ ʃ e pˑ ɑˑ
kerīkšõ	k e r iˑ k ʃ ə
kerk	k e rˑ kˑ
keržõ	k eˀ r ʒ ə
kež	k eˀ ĭ̯ ʒ̥
kēja	k eː j ɑ
kēk	k eː kˑ
kēļ	k eː ʎ
kēņig	k eː ɲ i ɡ̥
kēra	k eː r ɑ
kērabi	k eː r ɑ b i
kēratēḑ	k eː r ɑ t eːˀ ɟ̥
kēratiji	k eː r ɑ tˑ i j i
kēratõ	k eː r ɑ tˑ ə
kēratõks	k eː r ɑ tˑ ə k s
kēravīț	k eː r ɑ v iː cˑ
kēv	k eː v
kibār	k i b ɑˑ r
kibḑi	k iˀ b ɟ i
kidūd	k i d uˑ d̥
kieddõr	k ĭ̯ eˀ dː ə rː
kieddõrtõ	k ĭ̯ eˀ dː ə rˑ tˑ ə
kierā	k ĭ̯ e r ɑˑ
kierdi	k ĭ̯ e rˑ d i
kierdõ	k ĭ̯ e rˑ d ə
kieuž	k ĭ̯ e̯ uˑ ʒʲ
kiev	k ĭ̯ eˀ u̯ vː
kievād	k ĭ̯ e v ɑˑ d̥
kievādkū	k ĭ̯ e v ɑˑ t k uː
kievām	k ĭ̯ e v ɑˑ m
kievtõ	k ĭ̯ eˀ v tˑ ə
kik	k i kː
kikīm	k i kˑ iˑ m
kiksēņ	k i kː s eː ɲ
kil	k iˀ l
kil	k iˀ l
kil	k i lː
kilā	k i l ɑˑ
kild	k i lˑ d̥
kildzi	k iˀ l d z i
kilglū	k i lˑ ɡ l uː
kilgõ	k iˀ l ɡ ə
kilgõ	k i lˑ ɡ ə
kilgsõ	k i lˑ k s ə
kilgstõ	k i lˑ k s t ə
killõ	k i lːː ə
killõ	k iˀ lː ə
kilmõ	k i lˑ m ə
kiļ	k i ʎː
kiļb	k i ʎˑ b̥
kiļg	k i ʎˑ ɡ̥
kim	k i mː
kimdõ	k i mˑ d ə
kimdõz	k i mˑ d ə z̥
kimmõz	k i mːː ə z̥
kimp	k i mˑ pˑ
kinā	k i n ɑˑ
kindõ	k i nˑ d ə
kino	k i n o
kinō	k i n oˑ
kiņņõ	k i ɲːː ə
kir	k iˀ r
kirb	k i rˑ b̥
kiršõmōŗa	k i rˑ ʃ ə m ɒː rʲ ɑ
kiršt	k i rˑ ʃ t
kirt	k i rˑ tˑ
kis	k i sː
kistāntõ	k i s t ɑˑ n tˑ ə
kistõ	k i sˑ t ə
kitkõ	k i tˑ k ə
kitsāstiz	k i t s ɑˑ s t i z̥
kitsāz	k i t s ɑˑ z̥
kittõ	k i tːː ə
kittõb	k i tːː ə b̥
kiužõ	k i̯ uˑ ʒʲ ə
kiv	k iˀ u̯ vː
kizlõ	k iˀ z l ə
kizzõ	k iˀ zː ə
kī	k iː
kīebi	k iˑ e̯ b i
kīedõ	k iˑ e̯ d ə
kīela	k iˑ e̯ l ɑ
kīeldõ	k iˑ e̯ l d ə
kīerlõ	k iˑ e̯ r l ə
kīerõ	k iˑ e̯ r ə
kīetõ	k iˑ e̯ tˑ ə
kīl	k iːˀ l
kīlma	k iː l m ɑ
kīlmakū	k iː l m ɑ k uː
kīlõ	k iːˀ l ə
kīļ	k iː ʎ
kīļaz	k iː ʎ ɑ z̥
kīndabǟ	k iː n d ɑ b æː
kīndaz	k iː n d ɑ z̥
kīndõks	k iː n d ə k s
kīndõr	k iː n d ə r
kīndõrbū	k iː n d ə r b uː
Kīnõmō	k iː n ə m ɒː
kīntš	k iː n t͡ʃ
kīņ	k iː ɲ
kīņḑõl	k iː ɲ ɟ ə l
kīņḑõljālga	k iː ɲ ɟ ə l j ɑː l ɡ ɑ
kīņḑõlpǟva	k iː ɲ ɟ ə l p æː v ɑ
kīņḑõļkū	k iː ɲ ɟ ə ʎ k uː
kīņtš	k iː ɲ t͡ʃ
kīraz	k iː r ɑ z̥
kīskõ	k iː s k ə
kīš	k iː ʃˑ
kītõ	k iː tˑ ə
kītõbsõnā	k iː tˑ ə p s ɯ n ɑˑ
kītõks	k iː tˑ ə k s
kītõm	k iː tˑ ə m
kīv	k iː v
kīvit	k iː v i tˑ
kleit	k l e̯ˀ i tˑ
klēibõ	k l eː i̯ b ə
klūk	k l uː kˑ
klūostõr	k l uˑ o̯ s t ə r
