'ch	χ
Efyrnwy	ɛ v ə r n ʊ ɨ̯
Egeaidd	ɛ ɡ eː a i̯ ð
Eidalaidd	e i̯ d a l a i̯ ð
Eidales	e i̯ d a l ɛ s
Eidaliad	e i̯ d a l j a d
Eidalwr	e i̯ d a l ʊ r
Eifftaidd	e i̯ f t a i̯ ð
Eiffteg	e i̯ f t ɛ ɡ
Eifftes	e i̯ f t ɛ s
Eifftiad	e i̯ f t j a d
Eifftiwr	e i̯ f t j ʊ r
Eirwen	e i̯ r w ɛ n
Eirwyn	e i̯ r w ɨ̞ n
Eiry	e i̯ r ɨ̞
Elain	ɛ l a i̯ n
Eldrydd	ɛ l d r ə ð
Elenydd	ɛ l ɛ n ɨ̞ ð
Eleri	ɛ l ɛ r ɪ
Elgan	ɛ l ɡ a n
Emrys	ɛ m r ɨ̞ s
Emyr	ɛ m ɨ̞ r
Enid	ɛ n ɪ d
Eris	ɛ r ɪ s
Eryri	ɛ r ə r ɪ
Eseciel	ɛ s ɛ k j ɛ l
Eseia	ɛ s e i̯ a
Esra	ɛ s r a
Esther	ɛ s θ ɛ r
Estonaidd	ɛ s d ɔ n a ɨ̯ ð
Estoniaidd	ɛ s d ɔ n j a ɨ̯ ð
Eurwen	e ɨ̯ r w ɛ n
Eurwyn	e ɨ̯ r w ɨ̞ n
Euryn	e ɨ̯ r ɨ̞ n
Ewrop	ɛ u̯ r ɔ p
Ewropa	ɛ u̯ r ɔ p a
Ewropaidd	ɛ u̯ r ɔ p a i̯ ð
Ewropead	ɛ u̯ r ɔ p eː a d
Ewropeaidd	ɛ u̯ r ɔ p eː a i̯ ð
Ewropeaidd	ɛ u̯ r ɔ p eː ɛ ð
Facebook	f eː s b ʊ k
Fadagasgar	v a d a ɡ a s ɡ a r
Fair	v a i̯ r
Fawrth	v a u̯ r θ
Fecsico	v ɛ k s ɪ k ɔ
Fedi	v ɛ d i
Fegan	v ɛ ɡ a n
Fehefin	v ɛ h ɛ v ɪ n
Felarws	v ɛ l a r ʊ s
Felffast	v ɛ l f a s d
Feneswela	v ɛ n ɛ s w eː l a
Ffiji	f iː d͡ʒ ɪ
Ffion	f ɪ ɔ n
Ffrainc	f r a i̯ ŋ k
Ffrances	f r a ŋ k ɛ s
Ffrancwr	f r a ŋ k ʊ r
Ffrancwyr	f r a ŋ k w ɨ̞ r
Ffransis	f r a n s ɪ s
Ffrengig	f r ɛ ŋ ɪ ɡ
Fhwtan	v ʊ t aː n
Fienna	v ɪ ɛ n a
Fietnam	v j ɛ t n a m
Fietnamaidd	v j ɛ t n a m a i̯ ð
Fietnameg	v j ɛ t n a m ɛ ɡ
Fietnamiad	v j ɛ t n a m j a d
Foldofa	v ɔ l d ɔ v a
Folifia	v ɔ l ɪ v j a
Foroco	v ɔ r ɔ k ɔ
Fwlgaria	v ʊ l ɡ a r j a
Gael	ɡ aː ɨ̯ l
Gaeredin	ɡ a ɨ̯ r ɛ d ɨ̞ n
Gaerfyrddin	ɡ e ɨ̯ r f ə r ð ɪ n
Gaint	ɡ a i̯ n t
Galarnad	ɡ a l a r n a d
Gambodia	ɡ a m b ɔ d j a
Gambodiad	ɡ a m b ɔ d j a d
Gambodiaid	ɡ a m b ɔ d j a i̯ d
Gambodiaid	ɡ a m b ɔ d j ɛ d
Gambodiaidd	ɡ a m b ɔ d j a i̯ ð
Gambodiaidd	ɡ a m b ɔ d j ɛ ð
Gamerŵn	ɡ a m ɛ r uː n
Ganada	ɡ a n a d a
Ganadaidd	ɡ a n a d a i̯ ð
Ganadaidd	ɡ a n a d ɛ ð
Ganadiad	ɡ a n a d j a d
Ganadiaid	ɡ a n a d j a i̯ d
Ganadiaid	ɡ a n a d j ɛ d
Garawys	ɡ a r a u ɨ̯ s
Garmon	ɡ a r m ɔ n
Gatholig	ɡ a θ ɔ l ɪ ɡ
Genesis	ɡ ɛ n ɛ s ɪ s
Ghana	ɡ a n a
Ghana	ɡ aː n a
Gini	ɡ ɪ n ɪ
Giwba	ɡ ɪ u̯ b a
Glynebwy	ɡ l ɨ̞ n ɛ b u ɨ̯
Gog	ɡ ɔ ɡ
Gogs	ɡ ɔ ɡ s
Goleuedigaeth	ə r ɔ l e ɨ̯ ɛ d ɪ ɡ a ɨ̯ θ
Golombia	ɡ ɔ l ɔ m b j a
Gorea	ɡ ɔ r eː a
Gorffennaf	ɡ ɔ r f ɛ n a
Gorffennaf	ɡ ɔ r f ɛ n a v
Grawys	ɡ r a u ɨ̯ s
Grenada	ɡ r ɛ n a d a
Grist	ɡ r iː s t
Groatia	ɡ r ɔ a t j a
Groatia	ɡ r ɔ a ʃ a
Groeg	ɡ r oː ɨ̯ ɡ
Gruffudd	ɡ r ɨ̞ f ɨ̞ ð
Guto	ɡ ɨ̞ t ɔ
Gwener	ɡ w ɛ n ɛ r
Gwenhwyfar	ɡ w ɛ n h ʊ ɨ̯ v a r
Gwenllian	ɡ w ɛ n ɬ iː a n
Gweplyfr	ɡ w ɛ p l ɨ̞ v r
Gwersyllt	ɡ w ɛ r s ɨ̞ ɬ d
Gwilym	ɡ w ɪ l ɨ̞ m
Gwladfa	ɡ w l a d v a
Gwy	ɡ uː ɨ̯
Gwyddel	ɡ w ɨ̞ ð ɛ l
Gwyddeleg	ɡ w ɨ̞ ð ɛ l ɛ ɡ
Gwyddeles	ɡ w ɨ̞ ð ɛ l ɛ s
Gwyddeles	ɡ ʊ ɨ̯ ð ɛ l ɛ s
Gwyddelig	ɡ w ɨ̞ ð ɛ l ɪ ɡ
Gwyddelod	ɡ w ɨ̞ ð ɛ l ɔ d
Gwyddfa	ɡ w ɨ ð v a
Gwyddyl	ɡ w ɨ̞ ð ɨ̞ l
Gwydion	ɡ w ɨ̞ d j ɔ n
Gwyndyd	ɡ ʊ ɨ̯ n d ɨ̞ d
Gwynedd	ɡ w ɨ̯ n ɛ ð
Gwyneira	ɡ w ɨ̞ n e i̯ r a
Gwyneth	ɡ w ɨ̞ n ɛ θ
Gymro	ɡ ə m r ɔ
Gymru	ɡ ə m r ɨ̞
Gymry	ɡ ə m r ɨ̞
Gâl	ɡ aː l
Gŵyr	ɡ uː ɨ̯ r
H	a i̯ t ʃ
H	aː ɨ̯ t ʃ
H	h aː ɨ̯ t ʃ
H	h ə
Habacuc	h a b a k ɨ̞ k
Haberaeron	h a b ɛ r e ɨ̯ r ɔ n
Haberdâr	h a b ɛ r d aː r
Haeddel	h e ɨ̯ ð ɛ l
Hafren	h a v r ɛ n
Haggai	h a ɡ a i̯
Haiti	h a i̯ t i
Halbania	h a l b a n j a
Hamerica	h a m ɛ r ɪ k a
Hangharad	h a ŋ h a r a d
Harglwydd	h a r ɡ l ʊ ɨ̯ ð
Harri	h a r ɪ
Haserbaijan	h a s ɛ r b a i̯ d͡ʒ a n
Hawstralia	h a u̯ s d r a l j a
Henffordd	h ɛ n f ɔ r ð
Henfyd	h ɛ n v ɨ̞ d
Henfyd	h ɛ n v ɪ d
Hertsegofina	h ɛ r t s ɛ ɡ ɔ v ɪ n a
Hiddewiaeth	h ɪ ð e u̯ j a ɨ θ
Hiddewiaeth	h ɪ ð e u̯ j ɛ θ
Holocost	h ɔ l ɔ k ɔ s d
Homan	h ɔ m a n
Hondwras	h ɔ n d uː r a s
Hondwras	h ɔ n d ʊ r a s
Hosea	h ɔ s eː a
Huw	h ɨ̞ u̯
Huw	h ɪ u̯
Hwcraïneg	h u k r a iː n ɛ ɡ
Hwlffordd	h ʊ l f ɔ r ð
Hwngareg	h ʊ ŋ ɡ a r ɛ ɡ
Hwngari	h ʊ ŋ ɡ a r i
Hydref	h ə d r a
Hydref	h ə d r ɛ
Hydref	h ə d r ɛ v
Hywel	h ə u̯ ɛ l
I	iː
Ianto	j a n t ɔ
Iau	j a ɨ̯
Iddew	ɪ ð ɛ u̯
Iddewes	ɪ ð ɛ u̯ ɛ s
Iddewesau	ɪ ð ɛ u̯ ɛ s a
Iddewesau	ɪ ð ɛ u̯ ɛ s a ɨ̯
Iddewesau	ɪ ð ɛ u̯ ɛ s ɛ
Iddewiaeth	ɪ ð e u̯ j a ɨ̯ θ
Iddewiaeth	ɪ ð e u̯ j ɛ θ
Iddewig	ɪ ð ɛ u̯ ɪ ɡ
Iddewon	ɪ ð ɛ u̯ ɔ n
Iesu	j ɛ s ɨ̞
Ieuan	j e ɨ̯ a n
Ifan	ɪ v a n
India	ɪ n d j a
Io	iː ɔ
Ioan	j ɔ a n
Iolo	j ɔ l ɔ
Ionawr	j ɔ n a u̯ r
Iorwerth	j ɔ r w ɛ r θ
Irac	ɪ r a k
Iran	ɪ r a n
Iseldiraidd	ɪ s ɛ l d ɪ r a i̯ ð
Iseldiraidd	ɪ s ɛ l d ɪ r ɛ ð
Iseldiroedd	ə r ɪ s ɛ l d ɪ r ɔ ɨ̯ ð
Iseldiroedd	ɪ s ɛ l d ɪ r ɔ ɨ̯ ð
Iseldirol	ɪ s ɛ l d ɪ r ɔ l
Iseldirwr	i s ɛ l d i r ʊ r
Iseldirwraig	ɪ s ɛ l d ɪ r w r a i̯ ɡ
Islam	ɪ s l a m
Islâm	ɪ s l aː m
Israel	ɪ s r a ɨ̯ l
Israelaidd	ɪ s r e ɨ̯ l a i̯ ð
Israeliad	ɪ s r e ɨ̯ l j a d
Iwan	ɪ u̯ a n
Iwerddon	ɪ u̯ ɛ r ð ɔ n
Iwerddoneg	ɪ u̯ ɛ r ð ɔ n ɛ ɡ
Iwerydd	ɪ u̯ ɛ r ɨ̞ ð
Iâl	j aː l
Iôn	j oː n
Iôr	j oː r
J	d ʒ eː
Jac	d͡ʒ a k
Jamaica	d͡ʒ a m a i̯ k a
Japanead	d͡ʒ a p a n eː a d
Japaneaidd	d͡ʒ a p a n eː a i̯ ð
Jeremeia	d͡ʒ ɛ r ɛ m e i̯ a
Jeriwsalem	d͡ʒ ɛ r ɪ u̯ s a l ɛ m
Jerwsalem	d͡ʒ ɛ r ʊ s a l ɛ m
Jibwti	d͡ʒ ɪ b ʊ t ɪ
Job	d͡ʒ oː b
Jona	d͡ʒ ɔ n a
Jwdas	d͡ʒ ʊ d a s
Kantiad	k a n t j a d
Kantiaeth	k a n t j a ɨ̯ θ
Kantiaeth	k a n t j ɛ θ
Labovaidd	l a b ɔ v a i̯ ð
Ladin	l a d ɪ n
Laos	l a ɔ s
Lapiad	l a p j a d
Latfia	l a t v j a
Lerpwl	l ɛ r p ʊ l
