Амыщ	aː m ə ɕ
ахъчэмыкӏу	aː χ t͡ʃ a m ə kʷʼ
ахъчэнэпцӏ	aː χ t͡ʃ a n a p t͡sʼ
ахъчэнэпцӏшӏ	aː χ t͡ʃ a n a p t͡sʼ ʃʼ
ахъщалъ	aː χ ɕ aː ɬ
ахъщапс	aː χ ʃ aː p s
ахъщашъхь	aː χ ʃ aː ʂ ħ
ахъщэ	aː χ ʃ a
ахъщэбэг	aː χ ʃ a b a ɣ
ахъщэбэдзэр	aː χ ʃ a b a d͡z a r
ахъщэдэфый	aː χ ʃ a d a f ə j
ахъщэжъгъэй	aː χ ʃ a ʐ ʁ a j
ахъщэзэблэхъущ	aː χ ʃ a z a b l a χʷ ə n
ахъщэмыкӏу	aː χ ʃ a m ə kʷʼ
ахъщэнэпцӏ	aː χ ɕ a n a p t͡sʼ
ахъщэнэпцӏшӏ	aː χ ʃ a n a p t͡sʼ ʃʼ
ахын	aː x ə n
ахэр	aː x a r
ачъэ	aː t ʂ a
ачъэгъашъу	aː t ʂ a ʁ aː ʂʷ
ачъэжъ	aː χ t͡ʃ a ʐ
ашхырэ	aː ʃ x ə r a
ашъо	aː ʂʷ a
ашъоку	aː ʂʷ a kʷ
ашъоцуакъ	aː ʂʷ a t͡sʷ aː ɡʷ
ашъоцуакъ	aː ʂʷ a t͡ʃʷ aː ɡʷ
ашъыу	aː ʃʷʼ ə w
ашэ	ʔ aː ʃ a
ашӏэгъудж	aː ʃʼ a ʁʷ ə d͡ʒ
ащ	aː ɕ
ащгъум	aː ɕ ʁʷ ə m
ащтэу	aː ʃ t ə w
аӏууц	aː ʔʷ ə w ə t͡s
багьэ	b aː ɡʲ a
баджэ	b aː d͡ʒ ə
бадзэ	b aː d͡z a
бадзэпсэ	b aː d͡z a p s a
бадэ	b aː d a
бадэ	b aː d a m
бае	b aː j a
баигъ	b aː j ə ʁ
бакъмэр	b aː q m a r
бамыкӏ	b aː m ə k
баргъ	b aː r ʁ
басмэ	b aː s m a
батыр	b aː t ə r
батыргъэгъ	b aː t ə r ʁ a ʁ
батыргъэн	b aː t ə r ʁ a n
батырыгъ	b aː t ə r ə ʁ
бахъсымэ	b aː χ s ə m a
башлыкъ	b aː ʃ l ə q
башӏэ	b aː ʃʼ a
бащэ	b aː ɕ a
баӏо	b aː ʔʷ a
бганэ	b ɣ aː n a
бгъагъэ	b ʁ aː ʁ a
бгъакъэ	b ʁ aː q a
бгъалъэ	b ʁ aː ɬ a
бгъашхъо	b ʁ aː ʃ χʷ a
бгъашъухъо	b ʁ aː ʃʷ χʷ a
бгъо	b ʁʷ a
бгъодж	b ʁʷ a d͡ʒ
бгъодэкӏын	b ʁʷ a d a t͡ʃʼ ə n
бгъодэт	b ʁʷ a d a d
бгъодэхьан	b ʁʷ a d a a ħ aː n
бгъотагъэ	b ʁʷ a t aː ʁ a
бгъотэн	b ʁʷ a t a n
бгъотэрым	b ʁʷ t a r ə m
бгъу	b ʁʷ ə
бгъуагъэ	b ʁʷ aː ʁ a
бгъуанэ	b ʁʷ aː n a
бгъузагъ	b ʁʷ ə z aː ʁ
бгъузэ	b ʁʷ ə z a
бгъундж	b ʁʷ ə n d͡ʒ
бгъунджырыкӏу	b ʁʷ ə n d͡ʒ ə r ə kʷʼ
бгъурышӏ	b ʁʷ ə r ə ʃʼ
бгъусы	b ʁʷ ə s ə
бгъушы	b ʁʷ ə ʃ ə
бгъэ	b ʁ a
бгъэбзы	b ʁ a b z ə
бгъэгу	b ʁ a ɡʷ
бгъэгъакӏ	b ʁ a ʁ aː t͡ʃ
бгъэджыб	b ʁ a d͡ʒ ə r
бгъэжъ	b ʁ a ʐ
бгъэкӏапх	b ʁ a t͡ʃʼ aː p x
бгъэкӏыхь	b ʁ a kʲʼ ə ħ
бгъэкӏыхь	b ʁ a t͡ʃʼ ə ħ
бгъэкӏэс	b ʁ a t͡ʃ a s
бгъэкӏэхь	b ʁ a kʲʼ a ħ
бгъэкӏэхь	b ʁ a t͡ʃʼ a ħ
бгъэлыб	b ʁ a l ə b
бгъэн	b ʁ a n
бгъэны	b ʁ a n ə
бгъэпс	b ʁ a p s
бгъэузы	b ʁ a w ə z ə
бгъэхалъхь	b ʁ a x aː ɬ ħ
бгъэхэлъ	b ʁ a x a ɬ
бгъэхэӏу	b ʁ a x a ʔʷ
бгъэхэӏушъхь	b ʁ a x a ʔʷ ə ʂ ħ
бгъэӏас	b ʁ a ʔ aː s
бгы	b ɣ ə
бгыбзэ	b ɣ ə b z a
бгыгъуан	b ɣ ə ʁʷ aː n
бгыкъу	b ɣ ə qʷ
бгыкъупхъ	b ɣ ə qʷ ə p χ
бгылъэ	b ɣ ə ɬ a
бгынагъэ	b ɣ ə n aː ʁ a
бгынэжьыгъэ	b ɣ ə n a ʑ ə ʁ a
бгынэн	b ɣ ə n a n
бгыпэ	b ɣ ə p a
бгырыпх	b ɣ ə r ə p x
бгырыпхышъхь	b ɣ ə r ə p x ə ʂ ħ
бгырыс	b ɣ ə r ə s
бгычап	b ɣ ə t͡ʃ aː p
бгычӏэ	b ɣ ə t ʂ a
бгышъхь	b ɣ ə ʂ ħ a
бгэн	j a b ɣ ə n
бгэрый	b ɣ ə r ə j
белэ	b a j l a
бжалэ	b ʒ aː l a
бжамэ	b ʒ aː m a
бжъаб	b ʐ aː b
бжъабгъу	b ʐ aː b ʁʷ ə
бжъако	b ʐ aː kʷ a
бжъакъо	b ʐ aː qʷ a
бжъакъэ	b ʐ aː q a
бжъалъ	b ʐ aː ɬ
бжъанэ	b ʐ aː n a
бжъапэ	b ʐ aː p a
бжъау	b ʐ aː w
бжъащэ	b ʐ aː ɕ a
бжъэ	b ʐ a
бжъэдыгъу	b ʐ a d ə ʁʷ
бжъэкумыл	b ʐ a kʷ ə m ə l
бжъэкъожъый	b ʐ a qʷ a ʐ ə j
бжъэмый	b ʐ a m ə j
бжъэмыяпщ	b ʐ a m ə j aː p ɕ
бжъэу	b ʐ a w
бжъэшъу	b ʐ a ʂʷ
бжыб	b ʒ ə b
бжыдзэ	b ʒ ə d͡z a
бжым	b ʒ ə m
бжымы	b ʒ ə m ə
бжыхьакӏэ	b ʒ ə ħ aː t͡ʃ a
бжыхьапэ	b ʒ ə ħ aː p a
бжыхьас	b ʒ ə ħ aː s
бжыхьэ	b ʒ ə ħ a
бжыхьэбадзэ	b ʒ ə ħ a b aː d͡z a
бжьахъо	b ʑ aː χʷ a
бжьашӏо	b ʑ aː ʃʷʼ a
бжьащэ	b ʑ aː ɕ a
бжьаӏо	b ʑ aː ʔʷ a
бжьы	b ʒ ə
бжьыго	b ʑ aː ɡʷ a
бжьыгъэ	b ʑ ə ʁ a
бжьыко	b ʑ aː kʷ a
бжьыны	b ʑ ə n ə
бжьыныкӏ	b ʑ ə n ə kʲʼ
бжьыныуц	b ʑ ə n ə w t s
бжьыныф	b ʑ ə n ə f
бжьыныфщыгъу	b ʑ ə n ə f ɕ ə ʁʷ
бжьыныфыкӏ	b ʑ ə n ə f ə kʲʼ
бжьыныфыц	b ʑ ə n ə f ə t s
бжьышӏо	b ʑ ə ʃʷʼ a
бжьэ	b ʑ a
бжьэбын	b ʑ a b ə n
бжьэгъалӏэ	b ʑ a ʁ aː ɬʼ a
бжьэмат	b ʑ a m aː t
бжьэматэ	b ʑ a m aː t a
бжьэпащ	b ʑ a p aː ɕ
бжьэпчӏ	b ʑ a p t͡ʃ
бжьэхъон	b ʑ a χʷ a n
бжьэцы	b ʑ a t͡s ə
бжьэшх	b ʑ a ʃ x
бзагьэ	b z aː ɡʲ a
бзаджэ	b z aː d͡ʒ a
бзако	b z aː kʷ a
бзакӏо	b z aː kʷʼ a
бзалъ	b z aː ɬ
бзашӏу	b z aː ʃʷʼ
бзудэгу	b z ə w d a ɡʷ
бзукӏэзэгох	b z ə w t͡ʃ a z a ɡʷ a x
бзушхъу	b z ə w ʃ χʷ
бзы	b z ə
бзыгъ	b z ə ʁ
бзыиплъ	b z ə j ə p ɬ
бзый	b z ə j
бзылъфыгъэ	b z ə l f ə ʁ a
бзылъфыгъэ	b z ə ɬ f ə ʁ a
бзын	b z ə n
бзыпхъэ	b z ə p χ a
бзытэн	b z ə t a n
бзыу	b z ə w
бзыужъый	b z ə w ʐ ə j
бзыукъолэн	b z ə w qʷ a l a n
бзыукъуай	b z ə w qʷ aː j
бзыукӏалъэ	b z ə w t͡ʃʼ aː ɬ a
бзыукӏьалъэ	b z ə w kʲʼ aː ɬ a
бзыукӏэплъ	b z ə w kʲ a p ɬ
бзыулъахъ	b z ə w ɬ aː χ
бзыуубыт	b z ə w w ə b ə t
бзыухьакуаку	b z ə w ħ aː kʷ aː kʷ
бзыуцыф	b z ə w t͡s ə f
бзыушыр	b z ə w ʃ ə r
бзыфы	b z ə f ə
бзыхьан	b z ə ħ aː n
бзыхьаф	b z ə ħ aː f
бзыхьафынчъ	b z ə ħ aː f ə n t ʂ
бзэ	b z a
бзэбзэн	b z a b z a n
бзэгохь	b z a ɡʷ a ħ
бзэгу	b z a ɡʷ
бзэгужъый	b z a ɡʷ ʐ ə j
бзэгуп	b z a ɡʷ ə p
бзэгурацу	b z a ɡʷ ə r aː t͡sʷ
бзэгурацу	b z a ɡʷ ə r aː t͡ʃʷ
бзэгухь	b z a ɡʷ ə ħ
бзэгухьын	b z a ɡʷ ə ħ ə n
бзэджай	b z a d͡ʒ aː j
бзэджашӏэ	b z a d͡ʒ aː ʃʼ a
бзэджэн	b z a d͡ʒ a n
бзэджэнрылъф	b z a d͡ʒ a n r ə ɬ f
бзэджэрылъф	b z a d͡ʒ a r ə ɬ f
бзэен	b z a j a n
бзэил	b z a j ə l
бзэкъулъ	b z a qʷ ə ɬ
бзэмай	b z a m aː j
бзэмкъэшӏэныгъ	b z a m q a ʃʼ a n ə ʁ
бзэмыӏу	b z a m ə ʔʷ
бзэмэ	b z aː m a
бзэныб	b z a n ə b
бзэпс	b z a p s
бзэрэбзэн	b z a r a b z a n
бзэу	b z a w
бзэутэ	b z a w t a
бзэхабзэ	b z a x aː b z
бзэхын	b z a x ə n
бзэшэн	b z a ʃ a n
бзэшӏэныгъ	b z a ʃʼ a n ə ʁ
бзэшӏэныгъэлӏ	b z a ʃʼ a n ə ʁ a ɬʼ
блабжъ	b l aː b ʐ
благъо	b l aː ʁʷ a
благъэ	b l aː ʁ a
блантхъэ	b l aː n t χ a
блапцӏэ	b l aː p t͡sʼ a
блахэ	b l aː x a
блашхъо	b l aː ʃ χʷ a
блашъо	b l aː ʂʷ a
блашъхьэ	b l aː ʂ ħ a
блегъэзыкӏын	b l a j ʁ a z ə kʲ ə n
блегъэкӏын	b l a j ʁ a kʲʼ ə n
бледзын	b l a j d͡z ə n
блефын	b l a j f ə n
блехын	b l a j x ə n
блещын	b l a j ɕ ə n
блихын	b l a j x ə n
блы	b l ə
блы	b ɮ ə
блыгу	b l ə ɡʷ
блыгучӏ	b l ə ɡʷ t͡ʃ
блыгучӏад	b l ə ɡʷ t͡ʃʼ aː d
блын	b l ə n
блыны	b l ə n ə
блыныкӏ	b l ə n ə t͡ʃ
блыпкъ	b l ə p q
блыпкъыжъый	b l ə p q ə ʐ ə j
блыпкъышъхь	b l ə p q ə ʂ ħ
блыпкъыщ	b l ə p q ə ɕ
блыпэ	b l ə p a
блырыбл	b l ə r ə b l
блэ	b l a
блэбгъу	b l a b ʁʷ ə
блэбгъуп	b l a b ʁʷ ə p
блэбгъуплъ	b l a b ʁʷ ə p ɬ
блэбыбыкӏын	b l a b ə b ə t͡ʃʼ ə n
блэбыбын	b l a b ə b ə n
блэгъагъ	b l a ʁ aː ʁ
блэгъожъ	b l a ʁʷ a ʐ
блэгъэжъ	b l a ʁ a ʐ
блэгъэзыкӏын	b ɮ a ʁ a z ə t͡ʃʼ ə n
блэгъэкӏын	b l a ʁ a t͡ʃ ə n
блэгьан	b l a d͡ʒ aː n
блэгьан	b l a ɡʲ aː n
блэдзын	b l a d͡z ə n
блэкӏыгъэу	b ɮ a t͡ʃʼ ə ʁ a w
блэкӏын	b l a t͡ʃʼ ə n
блэкӏьын	b l a kʲʼ ə n
блэлъэтын	b l a ɬ a t ə n
блэмыу	b l a m ə w
блэн	b l a n
блэнагъ	b l a n aː ʁ
блэнашкӏэ	b l a n aː ʃ kʼ a
блэнэукъ	b l a n a w q
блэнэуц	b l a n a w t͡s
блэпкӏын	b l a p t͡ʃʼ ə n
блэпкӏьын	b l a p t kʲʼ ə n
блэплъын	b l a p ɬ ə n
блэпцэжъый	b l a p t͡ʃ a ʐ ə j
блэрыпс	b l a r ə p s
блэун	b l a w ə n
блэуц	b l a w t͡s
блэфын	b ɮ a f ə n
блэхъушъутын	b l a χʷ ə ʂʷ t ə n
блэхын	b l a j x ə n
блэхьадж	b l a ħ aː d͡ʒ
блэшъутын	b l a ə ʂʷ t ə n
блэщын	b l a j ɕ ə n
брацэ	b r aː t͡s a
быбхалъ	b ə b x aː ɬ
быбыжьын	b ə b ə ʑ ə n
быбылъ	b ə b ə ɬ
быбын	b ə b ə n
быбыпӏ	b ə b ə pʼ
быбэ	b ə b a
быбэтэн	b ə b a t a n
быгъу	b ə ʁʷ
быдзашъу	b ə d͡z aː ʂʷ
быдзталхьэ	b ə d͡z t aː l ħ a
быдзы	b ə d͡z ə
быдзылъ	b ə d͡z ə ɬ
быдзып	b ə d͡z ə p
быдзытелъхьэ	b ə d͡z ə t a j ɬ ħ
быдзыщ	b ə d͡z ə ɕ
быжъутэн	b ə ʐʷ ə t a n
быкӏу	b ə kʷʼ ə
былътырыку	b ə ɬ t ə r ə kʷ
былъытырыкӏу	b ə ɬ ə t ə r ə kʷʼ
былым	b ə l ə m
былымахъу	b ə l ə m aː χʷ
былымбэлыдж	b ə l ə m b a l ə d͡ʒ
былымтыгъу	b ə l ə m t ə ʁʷ
былымылы	b ə l ə m ə l ə
былымылӏэ	b ə l ə m ə ɬʼ a
былымыпс	b ə l ə m ə p s
былыхъу	b ə l ə χʷ
бын	b ə n
бынд	b ə n d
быны	b ə n ə
бынынчъэ	b ə n ə n t͡ʃ a
быныуын	b ə n ə w ə n
быраб	b ə r aː b
бырамыты	b ə r aː m ə t ə
быратӏ	b ə r aː tʼ
бырацэ	b ə r aː t͡s a
быргусыргу	b ə r ɡʷ ə s ə r ɡʷ
быргытӏырг	b ə r ɣ ə tʼ ə r ɣ
быркусын	b ə r kʷ ʁ s ə n
бырсыр	b ə r s ə r
бырсырыл	b ə r s ə r ə l
бырсырын	b ə r s ə r ə n
бырыпх	p ə r ə p x
бырыугъэчэрэгъу	b ə r ə w ʁ a t͡ʃ a r a ʁʷ
бырыукъ	b ə r ə w q
быслымэн	b ə s l ə m a n
бысылмэн	b ə s ə l m a n
бысым	b ə s ə m
бытхъэ	b ə t χ a
быты	b ə t ə
бытӏы	b ə tʼ ə
быун	b ə w ə n
быяужьын	b ə j aː w ʑ ə n
быяун	b ə j aː w ʑ ə b
быяупӏ	b ə j aː w pʼ
бэ	b a
бэбахь	b a b aː ħ
бэгу	b a ɡʷ
бэгъашӏэ	b a ʁ aː ʃʼ a
бэгъон	b a ʁʷ a n
бэгъэгус	b a ʁ a ɡʷ ə s
бэгыгъэ	b a ɣ ə ʁ a
бэгын	b a ɣ ə n
бэгьэхъ	b a ɡʲ a χ
бэджанд	b a d͡ʒ aː n d
бэджы	b a d͡ʒ ə
бэджыджэн	b a d͡ʒ ə d͡ʒ a n
бэджыхъ	b a d͡ʒ ə χ
бэджэбы	b a d͡ʒ a b ə
бэджэжъые	b a d͡ʒ a ʐ ə j a
бэджэндыку	b a d͡ʒ a n d a kʷ
бэджэндэутын	b a ʒ a n d a w t ə n
бэджэшъ	b aː d͡ʒ a ɕ
бэджэщыр	b a d͡ʒ a ɕ ə r
бэдзэгъалӏэ	b a d͡z a ʁ aː ɬʼ a
бэдзэжьын	b a d͡z a ʑ ə n
бэдзэнэшъу	b a d͡z a n a ʂʷ
бэдзэогъумаз	b a d͡z a w a ʁʷ ə m aː z
бэдзэр	b a d͡z a r
бэдзэры	b a d͡z a r ə
бэдзэрыкӏу	b a d͡z a r ə kʷʼ
бэдзэубыт	b a d͡z a w b ə t
бэдзэукӏ	b a d͡z a w ə kʲ
бэдзэукӏ	b a d͡z a w ə t͡ʃ
бэежъ	b a j a ʐ
бэжъу	b a ʐʷ
бэйкол	b aː kʷ a l
бэйкъогъуз	b aː j qʷ a ʁʷ ə z
бэкълауэ	b a q l aː w a
бэкъогъу	b a qʷ a ʁ w
бэкъон	b a qʷ a n
бэкъу	b a qʷ
бэкъудадз	b a qʷ d aː d͡z
бэкӏай	b a kʲ aː j
бэлахь	b a l aː ħ
бэлъф	b a ɬ f
бэлыдж	b a l ə d͡ʒ
бэлыджакӏэ	b a l ə d͡ʒ aː kʼ a
бэлыджэпс	b a l ə d͡ʒ a p s
бэлэрыгъ	b a l a r ə ʁ
бэнакӏо	b a n aː kʷʼ a
бэнанэ	b a n aː n a
бэнжъый	b a n ʐ ə j
бэнтехъу	b a n t a j χʷ
бэны	b a n ə
бэнытӏ	b a n ə tʼ
бэнэн	b a n a n
бэнэныгъ	b a n a n ə ʁ
бэон	b a w a n
бэрауты	b a r aː w t ə
бэрбэр	b a r b a r
бэрджахь	b a r d͡ʒ aː ħ
бэрэ	b a r a
бэрэкъащ	b a r a q aː ɕ
бэрэскэжъый	b a r a s k a ʐ ə j
бэрэскэф	b a r a s k a f
бэрэчэт	b a r a k a t
бэрэӏумаф	b a r a ʔʷ ə m aː f
бэскъэн	b a s q a n
бэслъыный	b a s ɬ ə n ə j
бэткэлӏ	b a t k a ɬʼ
бэты	b a t ə
бэхьал	b a ħ aː l
бэшхы	b a ʃ x ə
бэшэрэб	b a ʃ a r a b
бэшӏагъ	b a ʃʼ aː ʁ
бэщ	b a ɕ
бэщкъорэгъ	b a ɕ qʷ a r a ʁ
бэщышӏ	b a ɕ ə ʃʼ
бэщыӏ	b a ɕ ə ʔ
бэӏул	b a ʔʷ ə l
гогон	ɡʷ a ɡʷ a n
гогонжъый	ɡʷ a ɡʷ a n ʐ ə j
гокӏын	ɡʷ a t͡ʃʼ ə n
гомыхь	ɡʷ a m ə ħ
гонэхь	ɡʷ a n a ħ
гоон	ɡʷ a w a n
гопкӏэн	ɡʷ a p t͡ʃʼ a n
гопэгъу	ɡʷ a p a ʁʷ
гопэн	ɡʷ a p a n
гоутын	ɡʷ a w t ə n
гоуцон	ɡʷ a w t͡sʷ a n
гохьан	ɡʷ a ħ aː n
гохьы	ɡʷ a ħ ə
гощын	ɡʷ a ɕ ə n
гоӏу	ɡʷ a ħ ə
гоӏулӏэн	ɡʷ ə ʔʷ ə ɬʼ a n
гоӏэн	ɡʷ a ʔ a n
гу	ɡʷ ə
гуадз	ɡʷ aː d͡z
гуао	ɡʷ aː w a
гуапэ	ɡʷ aː p a
гуащэ	ɡʷ aː ɕ a
губгъо	ɡʷ ə b ʁʷ a
губгъэ	ɡʷ ə b ʁ a
губгъэн	ɡʷ ə b ʁ a n
губж	ɡʷ ə b ʒ
губжыгъошӏу	ɡʷ ə b ʒ ə ʁʷ a ʃʷʼ
губжын	ɡʷ ə b ʒ ə n
губжыпх	ɡʷ ə b ʒ ə p x
губзыгъ	ɡʷ ə b z ə ʁ
гугъон	ɡʷ ə ʁʷ a n
гугъу	ɡʷ ə ʁʷ
гугъун	ɡʷ ə ʁ ə n
гугъын	ɡʷ ə ʁ ə n
гугъэ	ɡʷ ə ʁ a
гугъэн	ɡʷ ə ʁ a n
гудэ	ɡʷ ə d a
гуегъун	ɡʷ ə j a ʁʷ ə n
гуеӏун	ɡʷ j a ʔʷ ə n
гужъ	ɡʷ ə ʐ
гужъуакӏэ	ɡʷ ə ʒʷ aː t͡ʃ a
гужъыен	ɡʷ ə ʐ ə j a n
гузэгу	ɡʷ ə z a ɡʷ
гузэжъогъу	ɡʷ ə z a ʒʷ a ʁʷ
гузэжъон	ɡʷ ə z a ʒʷ a n
гузэжъопх	ɡʷ z a ʒʷ a p x
гуигъэун	ɡʷ ə j ʁ a w ə n
гуих	ɡʷ ə j ə x
гукъау	ɡʷ ə q aː w
гукъэгъэкӏын	ɡʷ ə q a ʁ a t͡ʃʼ ə n
гукъэгъэкӏьын	ɡʷ ə q a ʁ a kʲʼ ə n
гукъэкӏыжьын	ɡʷ ə q a t͡ʃʼ ə ʑ ə n
гукъэкӏын	ɡʷ ə q a t͡ʃʼ ə n
гукъэкӏьыжьын	ɡʷ ə q a kʲʼ ə ʑ ə n
гукъэкӏьын	ɡʷ ə q a kʲʼ ə n
гукӏае	ɡʷ ə t͡ʃʼ aː j a
гукӏэгъу	ɡʷ ə t͡ʃʼ a ʁʷ
гукӏэн	ɡʷ ə t͡ʃ a n
гулъытэ	ɡʷ ə ɬ ə t a
гулъытэн	ɡʷ ə ɬ ə t a n
гумыӏан	ɡʷ ə m ə ʔ aː n
гумыӏу	ɡʷ ə m ə ʔʷ
гумэкӏыгъу	ɡʷ ə m a t͡ʃ ə ʁʷ
гумэкӏын	ɡʷ ə m a t͡ʃ ə n
гун	ɡʷ ə n
гунахь	ɡʷ ə n aː ħ
гуп	ɡʷ ə p
гупсэн	ɡʷ ə p s a n
гупсэф	ɡʷ ə p s a f
гупсэфыпӏ	ɡʷ ə p s a f ə pʼ
гупцӏанэ	ɡʷ ə p t͡sʼ aː n a
гупч	ɡʷ ə p t͡ʃ
гупшысэ	ɡʷ ə p ʃ ə s a
гупшысэн	ɡʷ ə p ʃ ə s a n
