آر	ɑ ɾ
افغانستان	a̠ ʊ̯ ɣ ɑ́ n ɪ s̪ t̪ ɑ́ n
افغانستان	ä b ɣ ɑ́ n ɪ s̪ t̪ ɑ́ n
افغانستان	ä v ɣ ɑ́ n ɪ s̪ t̪ ɑ́ n
البانيا	ä l b ɑ́ n j ɑ
البند	i l b ä́ n̪ d̪
المانيا	ä l m ɑ́ n j ɑ
المانی	ä l m ɑ n á̟ ɪ̯
الوبالو	ä l u b ɑ́ l u
الوتل	ä l w ə t̪ ə́ l
الوتکه	ä l w ä t̪ ə́ k ä
امريکايی	ä m r i k á̝ ɪ̯
امريکايی	ä m r i k ɑ j á̝ ɪ̯
املوک	ä m l ú k
امېل	ä m é l
انار	ä n ɑ́ ɾ
اند	ä n̪ d̪
انځورګر	ä n d͡z o ɾ ɡ ä́ ɾ
انګلستان	ɪ ŋ ɡ l ɪ s̪ t̪ ɑ́ n
انګور	ä ŋ ɡ ú ɾ
انګوړی	ä ŋ ɡ o ɻ á̝ ɪ̯
انګوړی	ä ŋ ɡ o ɽ á̝ ɪ̯
اهاړ	ä h ɑ́ ɻ
اهوړ	ä h ú ɻ
اهوړ	ä h ú ɽ
او	a̝ ʊ̯
اوبازي	a̝ ʊ̯ b ɑ́ z i
اوباسم	u b ɑ s ə́ m
اوبدل	o b d̪ ə́ l
اوبه	ó b ə
اور	o ɾ
اورلوبه	o ɾ l ó b ä
اورم	a̝ ʊ̯ r ə́ m
اورول	a̝ ʊ̯ r ä w ə́ l
اوريګامي	o r i ɡ ɑ́ m i
اورګاډی	o ɾ ɡ ɑ́ ɖ a̝ ɪ̯
اورېدل	a̝ ʊ̯ r e d̪ ə́ l
اورېدونکی	a̝ ʊ̯ r e d ú ŋ k a̝ ɪ̯
اوسم	o s ə́ m
اوسېدل	o s e d̪ ə́ l
اوسېدونکی	o s e d̪ ú ŋ k a̝ ɪ̯
اوسېدونکې	o s e d̪ ú ŋ k e
اولس	u l ə́ s
اومامي	u m ɑ́ m i
اوولس	u w ə l ä́ s
اووه	u w ə́
اويا	a̝ ʊ̯ j ɑ́
اويم	o j ə́ m
اوړم	a̝ ʊ̯ ɻ ə́ m
اوړی	ó ɻ a̝ ɪ̯
اوړېدل	a̝ ʊ̯ ɻ e d̪ ə́ l
ايستل	i s̪ t̪ ə́ l
ايسلنډ	a̟ ɪ̯ s l ə́ ɳ ɖ
ايغلو	í ɣ l u
اينو	i n ó
اپريدی	a p ɾ i d̪ á̝ ɪ̯
اپيم	ä p í m
اپين	ä p í n
اچول	ä t͡ʃ ä w ə́ l
اړخ	ä ɻ̊ x
اړول	ä ɻ ä w ə́ l
اړين	ə ɻ í n
اګل	ä ɡ ä́ l
اېسټونيا	e ʂ ʈ ó n j ɑ
اېموجي	e m ó d͡ʒ i
اېکوادور	e k w ɑ d̪ ó ɾ
بربنډ	b ə ɾ b ə́ ɳ ɖ
برج	b ɾ ä d͡ʒ
برېت	b ɾ e t̪
بنده	b ä n̪ d̪ ä́
بندي	b ə n̪ d̪ í
تانوکی	t̪ ɑ n ú k a̝ ɪ̯
تل	t̪ ä l
تلل	t̪ l̪ ə l
تنور	t̪ ə n ú ɾ
ته	t̪ ä
ته	t̪ ə
توت	t̪ u t̪
توتي	t̪ u t̪ í
تود	t̪ o d̪
توده	t̪ a̝ ʊ̯ d̪ ä́
تور	t̪ o ɾ
تړل	t̪ ə ɻ ə́ l
تڼۍ	t̪ ä ɳ ə́ ɪ̯
جګړه	d͡ʒ ə ɡ ə́ ɻ ä
ختل	x ä t̪ ə́ l
ختيځ	x ä t̪ í d͡z
ختيځ	x ä t̪ í z̤
خواشينی	xʷ ɑ ʃ í n a̝ ɪ̯
خواږه	xʷ ɑ ɡ ə́
خواږه	xʷ ɑ ʐ ə́
خوړل	xʷ a̝ ɽ ə́ l
خوړنځی	xʷ ə ɻ ə n d͡z á̝ ɪ̯
د	d̪
د	d̪ ɑ l
د	d̪ ə
درزي	d̪ ä ɾ z í
راتلل	r ɑ t̪ l̪ ə́ l
سوماليا	s o m ɑ́ l j ɑ
سپی	s p a̟ ɪ̯
غښتل	ɣ ə x t̪ ə́ l
غښتل	ɣ ə ç t̪ ə́ l
غښتل	ɣ ə ʂ t̪ ə́ l
ـتون	t̪ u n
لرل	l ä r ə́ l
ليدل	l i d̪ ə́ l
لېور	l e w ä́ ɾ
منی	m ə́ n a̝ ɪ
هر	h a r
هر	ʔ a r
هرات	h a r ɑː t̪
هغې	h ä́ ɣ e
هيله	h í l ä
وروځه	w r u d z a
وروځه	w r u z a
وګړی	w ə ɡ ə ɻ á̝ ɪ̯
وڼی	w ə ɳ a i̯
ټماټر	ʈ ä m ɑ ʈ ə́ ɾ
پټکی	p a ʈ k e ɪ
پېژندل	p e ʒ a n d̪ ə l
ځمکه	d͡z m ə́ k ä
ځمکپوهنه	d͡z m ə k p o h ə́ n ä
څوکه	t s u k a
چيتر	t͡ʃ e t̪ ə́ ɾ
چېرته	t͡ʃ é ɾ t̪ ä
چېري	t͡ʃ é ɾ i
ډبره	ɖ a b a r a
ډير	ɖ eː r
ږيره	ɡ i r a
ږيره	ʐ i r a
ږيره	ʒ i r a
ښ	x
ښ	χ
ښه	x ə
ښه	χ ə
کندهار	k ä n̪ d̪ ä h ɑ́ ɾ
کندهار	k ä n̪ d̪ ɑ́ ɾ
ګران	ɡ r ɑ n
ګرمي	ɡ ä ɾ m í
ګورل	ɡ o r ə́ l
