־אַטש	a t͡ʃ
אַ חזיר בלײַבט אַ חזיר	a χ a z ə r b ɫ a ɪ̯ p t a χ a z ə r
אַ יישר	a j a ʃ ɜ r
אַ כּלל	a k ɫ a ɫ
אַ לונג און לעבער אויף דער נאָז	a ɫ ʊ ŋ ɡ ʊ n l ɛ b ə r a f d ɛ r n ɔ z
אַ לונג און לעבער אויף דער נאָז	a ɫ ʊ ŋ ɡ ʊ n l ɛ b ə r ɔ ɪ̯ f d ɛ r n ɔ z
אַ לונג און לעבער אויף דער נאָז	a ʎ ɪ ŋ ɡ ɪ n l e ɪ̯ b ə r ɔ f d ɛ r n uː z
אַ לעבן אויף דײַן קאָפּ	a l e ɪ̯ b m̩ ɔ f d aː n n uː z
אַ לעבן אויף דײַן קאָפּ	a l ɛ b m̩ a f d a ɪ̯ n n ɔ z
אַ לעבן אויף דײַן קאָפּ	a l ɛ b m̩ ɔ ɪ̯ f d a ɪ̯ n n ɔ z
אַ לעבן אויף דײַן קאָפּ	a l ɛ ɪ̯ b m̩ ɔ f d a n n u z
אַ מאָל	a m u ɫ
אַ מאָל	a m uː ɫ
אַ מאָל	a m ɔ ɫ
אַ משל קאַבאַק	a m u ʃ ɫ̩ k a b a k
אַ משל קאַבאַק	a m uː ʃ ɫ̩ k a b a k
אַ משל קאַבאַק	a m ɔ ʃ ɫ̩ k a b a k
אַ סך מאָל	a s a χ m u ɫ
אַ סך מאָל	a s a χ m uː ɫ
אַ סך מאָל	a s a χ m ɔ ɫ
אַ פּאָר	a p u r
אַ פּאָר	a p uː r
אַ פּאָר	a p ɔ r
אַ פּנים	a p u n ə m
אַ פּנים	a p uː n ə m
אַ פּנים	a p ɔ n ə m
אַ פֿולע	a f ʊ ɫ ɜ
אַ פֿריילעכן געבורטסטאָג	a f r a ɪ̯ l ə χ n̩ ɡ ə b ɪ r t͡s t ʊ ɡ
אַ פֿריילעכן געבורטסטאָג	a f r e ɪ̯ l a χ n̩ ɡ ə b ʊ r t͡s t ɔ ɡ
אַ פֿריילעכן געבורטסטאָג	a f r ɛ ɪ̯ l ə χ n̩ ɡ ə b i r t͡s t u ɡ
אַ פֿריילעכן געבורטסטאָג	a f r ɛ ɪ̯ l ə χ n̩ ɡ ə b ʊ r t͡s t ɔ ɡ
אַ פֿריילעכן חנוכה	a f r ɛ ɪ̯ l ə χ n̩ χ a n ɪ k ə
אַ פֿריילעכן יום־טובֿ	a f r ɛ ɪ̯ l ə χ n̩ j ɔ n t ə v
אַ פֿריילעכן פּסח	a f r ɛ ɪ̯ l ə χ n̩ p ɛ ɪ̯ s ə χ
אַ צונג אויף רעדער	a t͡s ɨ ŋ ɡ ɔ f r ɛ d ə r
אַ צונג אויף רעדער	a t͡s ɪ ŋ ɡ ɔ f r ɛ d ə r
אַ צונג אויף רעדער	a t͡s ʊ ŋ ɡ a f r ɛ d ə r
אַ צונג אויף רעדער	a t͡s ʊ ŋ ɡ ɔ ɪ̯ f r ɛ d ə r
אַ צונג און ביינער	a t͡s ɨ ŋ ɡ ɨ n b ɛ ɪ̯ n ə r
אַ צונג און ביינער	a t͡s ɪ ŋ ɡ ɪ n b a ɪ̯ n ə r
אַ צונג און ביינער	a t͡s ʊ ŋ ɡ ʊ n b e ɪ̯ n ə r
אַ צונג און ביינער	a t͡s ʊ ŋ ɡ ʊ n b ɛ ɪ̯ n ə r
אַ צײַט	a t͡s a t
אַ צײַט	a t͡s a ɪ̯ t
אַ צײַט	a t͡s aː t
אַ קיצור	a k ɨ t͡s ə r
אַ קיצור	a k ɪ t͡s ə r
אַ קלאָג איז מיר	a k ɫ u ɡ ɨ z m i r
אַ קלאָג איז מיר	a k ɫ ɔ ɡ ɪ z m ɪ r
אַ קלאָג איז מיר	a k ɫ ʊ ɡ ɪ z m iː r
אַ רוח אין דײַן טאַטן אַרײַן	a r i ə χ ɨ n d a n t ɔ t n̩ a r a n
אַ רוח אין דײַן טאַטן אַרײַן	a r iː ə χ ɪ n d aː n t a t n̩ a r aː n
אַ רוח אין דײַן טאַטן אַרײַן	a r ɪ ə χ ɪ n d a ɪ̯ n t a t n̩ a r a ɪ̯ n
אַ רוח אין דײַן טאַטנס טאַטן אַרײַן	a r i ə χ ɨ n d a n t ɔ t n̩ s t ɔ t n̩ a r a n
אַ רוח אין דײַן טאַטנס טאַטן אַרײַן	a r iː ə χ ɪ n d aː n t a t n̩ s t a t n̩ a r aː n
אַ רוח אין דײַן טאַטנס טאַטן אַרײַן	a r ɪ ə χ ɪ n d a ɪ̯ n t a t n̩ s t a t n̩ a r a ɪ̯ n
אַ שטורך טאָן	a ʃ t ʊ r χ t ɔ n
אַ שיינעם דאַנק	a ʃ ɛ ɪ̯ n ə m d a ŋ k
אַאָרטאַ	a ɔ r t a
אַבֿדה	a v ɛ ɪ̯ d ɜ
אַבֿדהות	a v ɛ ɪ̯ d ɜ s
אַבֿלות	a v ɛ ɪ̯ ɫ ɜ s
אַבֿנימ־טובֿות	a v ɔ n ɜ m t ɔ ɪ̯ v ɜ s
אַבֿרהם	a v ʀ ɔ h ə m
אַבאַזשור	a b a ʒ ʊ ʀ
אַבאָנעמענט	a b ɔ n ɛ m ɛ n t
אַבוטילאָן	a b ʊ t ɪ ɫ ɔ n
אַבי	a b i
אַבלמאָסק	a b ɫ̩ m ɔ s k
אַבסאָלווענט	a b s ɔ ɫ v ɛ n t
אַבסאָלוט	a b s ɔ ɫ ʊ t
אַבסאָרבירונג	a b s ɔ r b ɪ r ʊ n ɡ
אַבסאָרבירן	a b s ɔ r b ɪ r n̩
אַבסורד	a b s ʊ r d
אַבסטראַהירן	a b s t r a h ɪ r n̩
אַבסטראַקציע	a b s t r a k t͡s j ɜ
אַגאַווע	a ɡ a v ə
אַגאַט	a ɡ a t
אַגאַפּאַנטוס	a ɡ a p a n t u s
אַגאַריק	a ɡ a r ɪ k
אַגאָניע	a ɡ ɔ n j ə
אַגבֿ	a ɡ ɜ v
אַגבֿדיק	a ɡ ɛ v d ɪ k
אַגיטאַציע	a ɡ ɪ t a t͡s j ɜ
אַגיטירן	a ɡ ɪ t ɪ r n̩
אַגענט	a ɡ ɛ n t
אַגענטור	a ɡ ɜ n t ʊ r
אַגראַפֿקע	a ɡ r a f k ɜ
אַגרימאָניע	a ɡ r i m ɔ n j ə
אַגריקולטור	a ɡ r ɪ k ʊ ɫ t ʊ r
אַגריקולטורעל	a ɡ r ɪ k ʊ ɫ t ʊ r ɛ ɫ
אַגרעס	a ɡ r ə s
אַגרעסיוו	a ɡ r ɜ s ɪ v
אַגרעסיע	a ɡ r ɛ s j ɜ
אַדאָניס	a d ɔ n ɪ s
אַדאָפּטירונג	a d ɔ p t ɪ r ʊ n ɡ
אַדאָפּטירן	a d ɔ p t ɪ r n̩
אַדוואָקאַט	a d v ɔ k a t
אַדוואָקאַטנשאַפֿט	a d v ɔ k a t n̩ ʃ a f t
אַדווערב	a d v ɛ r b
אַדורך	a d ʊ ʀ χ
אַדיעקטיוו	a d j ɛ k t ɪ v
אַדיקט	a d ɪ k t
אַדיקציע	a d ɪ k t͡s j ɜ
אַדל	a d ɫ̩
אַדלדיק	a d ɫ̩ d ɪ k
אַדליגע	a d ʎ i ɡ ɜ
אַדלמאַן	a d ɫ̩ m a n
אַדלפֿרוי	a d ɫ̩ f r ɔ ɪ̯
אַדמיניסטראַטיוו	a d m ɪ n ɪ s t r a t ɪ v
אַדמיניסטראַציע	a d m ɪ n ɪ s t ʀ a t͡s j ə
אַדמיניסטרירן	a d m ɪ n ɪ s t r ɪ r n̩
אַדמיראַל	a d m ɪ r a l
אַדעקוואַט	a d ɜ k v a t
אַדרבא	a d ə r a b ə
אַדרעס	a d r ɛ s
אַדרעסאַט	a d r ɜ s a t
אַדרעסן	a d ʀ ɛ s n̩
אַדרעסן־בוך	a d r ɛ s n̩ b u χ
אַהאַ	a h a
אַהבֿה	a a v ɜ
אַהיים	a h ɛ ɪ̯ m
אַהיימגיין	a h ɛ ɪ̯ m ɡ ɛ ɪ̯ n
אַהיימגעגאַנגען	a h ɛ ɪ̯ m ɡ ə ɡ a ŋ ɡ ə n
אַהיימלויפֿן	a h ɛ ɪ̯ m ɫ ɔ ɪ̯ f n̩
אַהין	a h ɪ n
אַהערגעקומען	a h ɛ ʁ ɡ ə k ʊ m ə n
אַהערקומען	a h ɛ ʁ k ʊ m ə n
אַוועק	a v ɛ k
אַז	a z
אַזאַ	a z a
אַזאַן	a z a n
אַזוי	a z e ɪ̯
אַזוי	a z ɔ u̯
אַזוי	a z ɔ ɪ̯
אַזוי	ɔ z ɔ ɪ̯
אַזיאַטיש	a z j a t ɪ ʃ
אַזעלכע	a z ɛ ɫ χ ə
אַחוץ	a χ ʊ t͡s
אַטלאַס	a t l a s
אַטמאָספֿער	a t m ɔ s f ɛ ʁ
אַיעדן	a j ɛ d n̩
אַיעדער	a j ɛ d ə ʁ
אַכט	a χ t
אַכט	ɔ χ t
אַכטונג	a χ t ʊ ŋ ɡ
אַכציקער	a χ t͡s ɪ k ə r
אַלאַמברירן	a ɫ a m b r i r n̩
אַלט	a ɫ t
אַלטע	a ɫ t ə
אַליין	a ɫ ɛ ɪ̯ n
אַלע	a ɫ ə
אַלעע	a ʎ ɛ ɛ
אַלף־בית	a l ɜ f b ɛ ɪ̯ s
אַלפּן	a ɫ p m̩
אַלפּן	a ɫ p n̩
אַלץ	a l t͡s
אַמאַרעטאָ	a m a r ɛ t ɔ
אַמבאַסאַדע	a m b a s a d ə
אַמבאָס	a m b ɔ s
אַמט	a m t
אַמנעזיע	a m n ɛ z j ə
אַמעריקאַניש	a m ɛ ʁ ɪ k a n ɪ ʃ
אַמעריקאַנישן	a m ɛ ʁ ɪ k a n ɪ ʃ n̩
אַמעריקאַנישע	a m ɛ ʁ ɪ k a n ɪ ʃ ə
אַמעריקע	a m eː ʁ ɪ k e
אַמעריקע	a m ɛ ʁ ɪ k ə
אַמפּער	a m p ə r
אַמפּער	a m p ɛ r
אַמפֿאָראַ	a m f ɔ r a
אַן	a n
אַנאַנאַס	a n a n a s
אַנאַקאַרד	a n a k a r d
אַנדאָרע	a n d ɔ ʁ ə
אַנדעזיט	a n d ɜ z ɪ t
אַנדער	a n d ə ʁ
אַנדערש	a n d ə ʁ ʃ
אַנומלט	a n ʊ m ɫ̩ t
אַנונג	a n ʊ ŋ ɡ
אַנטאַרקטיקע	a n t a ʁ k t ɪ k ə
אַנטיסעמיט	a n t ɪ s ɜ m ɪ t
אַנטיסעמיטיזם	a n t ɪ s ɜ m ɪ t ɪ z m̩
אַנטיסעמיטיזם	a n t ɪ s ɜ m ɪ t ɪ z ɜ m
אַנטפּלעקונג	a n t p ɫ ɛ k ʊ ŋ ɡ
אַנטפּלעקן	a n t p ɫ ɛ k ŋ̩
אַנטראָפּאָלאָגיסט	a n t r ɔ p ɔ l ɔ ɡ ɪ s t
אַנטראָפּאָלאָגיע	a n t r ɔ p ɔ l ɔ ɡ j ə
אַנטראָפּאָלאָגיש	a n t r ɔ p ɔ l ɔ ɡ ɪ ʃ
אַנטראָפּאָמאָרפֿיזם	a n t r ɔ p ɔ m ɔ r f i z m
אַנטשולדיק	a n t ʃ ʊ ɫ d ɪ k
אַנטשולדיקט	a n t ʃ ʊ ɫ d ɪ k t
אַנטשולדיקן	a n t ʃ ʊ ɫ d ɪ k n̩
אַני־מאמין	a n ɪ m a ɪ̯ m ə n
אַניז	a n ɪ z
אַנישט	a n ɪ ʃ t
אַסאָציִיִרן	a s ɔ t͡s ɪ ɪ ʁ n̩
אַסטראַכאַן	a s t ʁ a χ a n
אַסיגנאַציע	a s ɪ ɡ n a t͡s j ə
אַפּאָלאָ	a p ɔ l ɔ
אַפּל	a p ɫ̩
אַפּריל	a p ʁ ɪ ʎ
אַפּריקאָס	a p r ɪ k ɔ s
אַפֿגאַניסטאַן	a f ɡ a n ɪ s t a n
אַפֿילו	a f ɪ ɫ ə
אַפֿיקומן	a f i k ɔ ɪ̯ m ə n
אַפֿיקומן	a f i k ɛ j m ə n
אַפֿע	a f ə
אַפֿענדל	a f n̩ d ɫ̩
אַפֿענדל	a f ə n d ɫ̩
אַפֿענע	a f ə n ə
אַפֿענעס־פּײַ	a f ə n ə s p a ɪ̯
אַפֿראָדיטע	a f r ɔ d ɪ t ə
אַקאַדעמיע	a k a d ɛ m ɪ j ə
אַקאַציע	a k a t͡s j ə
אַקוואַריום	a k v a r j ʊ m
אַקוסטישע גיטאַר	a k ʊ s t ɪ ʃ ə ɡ ɪ t a r
אַקסל	a k s ɫ̩
אַקסלען	a k s ɫ̩ ə n
אַקעגן	a k ɛ ɡ n̩
אַקצידענט	a k t͡s ɪ d ɛ n t
אַקציע	a k t͡s j ə
אַקצענט	a k t͡s ɛ n t
אַראָפּ	a ʁ ɔ p
אַראָפּגענומען	a ʁ ɔ p ɡ ə n ʊ m ə n
אַראָפּנעמען	a ʁ ɔ p n ɛ m ə n
אַראָפּפֿאַלן	a ʁ ɔ p f a ɫ n̩
אַרבעטסלאָז	a ʁ b ɛ t s l ɔ z
אַרבעס	a ʁ b ə s
אַרגענטינע	a ʁ ɡ ɛ n t ɪ n ə
אַרוגולע	a r ʊ ɡ ʊ ɫ ə
אַרויס	a ʁ ɔ ɪ̯ s
אַרויסגאַנג	a ʁ ɔ ɪ̯ s ɡ a ŋ ɡ
אַרויסגיין	a ʁ o ʊ̯ s ɡ a ɪ̯ n
אַרויסגיין	a ʁ ɔ ɪ̯ s ɡ ɛ ɪ̯ n
אַרויסגעבן	a ʁ ɔ ɪ̯ s ɡ ɛ b n̩
אַרויף	a ʁ a f
אַרויף	a ʁ ɔ f
אַרויף	a ʁ ɔ ɪ̯ f
אַרום	a ʁ ɔ m
אַרום	a ʁ ʊ m
אַרומגיין	a ʁ ʊ m ɡ ɛ ɪ̯ n
אַרומנעמיק	a r ʊ m n ɛ m ɪ k
אַרומנעמען	a ʁ ɪ m n e ɪ̯ m ə n
אַרומנעמען	a ʁ ɪ m n eː m ə n
אַרומנעמען	a ʁ ʊ m n ɛ m ə n
אַרומנעמען	ɔ ʁ ɨ m n i m ɜ n
אַרומנעמען	ɔ ʁ ɨ m n ɛ ɪ̯ m ə n
אַרט	a ʁ t
אַריבערפֿאָרן	a ʁ i b ə ʁ f ɔ ʁ n̩
אַריטמעטיק	a r ɪ t m ɛ t ɪ k
אַריטמעטיש	a r ɪ t m ɛ t ɪ ʃ
אַריסטאָקראַטיע	a r ɪ s t ɔ k r a t j ə
אַרכעאָלאָגיע	a r χ ɛ ɔ l ɔ ɡ j ə
אַרמיי	a ʁ m a ɪ̯
אַרמיי	a ʁ m e ɪ̯
אַרמיי	a ʁ m ɛ ɪ̯
אַרץ	a r t͡s
אַרײַנגאַנג	a ʁ a ɪ̯ n ɡ a ŋ ɡ
אַרײַנגיין	a ʁ a ɪ̯ ŋ ɡ ɛ ɪ̯ n
אַרײַנזעצן	a ʁ a ɪ̯ n z ɛ t͡s n̩
אַשכּנזי	a ʃ k ə n a z i
אָ	ɔ
אָבֿ	ɔ v
אָבֿל	ɔ v ɫ̩
אָבֿלטע	ɔ v ɫ̩ t ɜ
אָבֿלים	a v ɛ ɪ̯ ɫ ə m
אָבאָיעס	ɔ b ɔ j ə s
אָבאָראָנע	ɔ b ɔ ʀ ɔ n ɜ
אָבטשעסטווע	ɔ b t͡ʃ ɛ s t v ɜ
אָביעקט	ɔ b j ɛ k t
אָביעקטיוו	ɔ b j ɛ k t ɪ v
אָבלאַווע	ɔ b ɫ a v ɜ
אָבליגאַטאָריש	ɔ b ʎ ɪ ɡ a t ɔ r ɪ ʃ
אָבליגאַציע	ɔ b ʎ ɪ ɡ a t͡s j ɜ
אָבסטעטריק	ɔ b s t ɛ t r ɪ k
אָבסטעטריקער	ɔ b s t ɛ t r ɪ k ɜ r
אָבסטרויִרן	ɔ b s t r ʊ ɪ r n̩
אָבסטרוקציע	ɔ b s t r ʊ k t͡s j ɜ
אָבסערוואַטאָר	ɔ b s ɛ r v a t ɔ r
אָבסערוואַטאָריע	ɔ b s ɛ r v a t ɔ r j ɜ
אָבסערוואַציע	ɔ b s ɛ r v a t͡s j ɜ
אָבסערווירן	ɔ b s ɛ r v ɪ r n̩
אָבעזיאַנע	ɔ b ɜ z j a n ɜ
אָבער	ɔ b ə ʀ
אָבערגלויבן	ɔ b ə ʁ ɡ ɫ ɔ ɪ̯ b n̩
אָבצאַס	ɔ b t͡s a s
אָבצע	ɔ p t͡s ə
אָבראָק	ɔ b ʀ ɔ k
אָגער	ɔ ɡ ɜ r
אָדלער	ɔ d ɫ ə ʀ
אָדם	u d ə m
אָדם	uː d ɜ m
אָדם	ɔ d ɜ m
אָדעקאָלאָן	ɔ d ɜ k ɔ ɫ ɔ n
אָדער	ɔ d ə ʀ
אָדר	ɔ d ə ʀ
אָהאָ	ɔ h ɔ
אָוואַ	ɔ v a
אָוונט	ɔ v n̩ t
אָוונטברויט	ɔ v n̩ t b r ɔ ɪ̯ t
אָזערע מאַדזשאָרע	ɔ z ə r ə m a d͡ʒ ɔ r ə
אָזשעניצע	ɔ ʒ ə n ɪ t s ə
אָזשענע	ɔ ʒ ə n ə
אָליוו	ɔ ʎ ɪ v
אָלרײַטניק	ɔ ɫ ʁ a ɪ̯ t n ɪ k
אָמן	ɔ m ɛ ɪ̯ n
אָמן	ʊ m a ɪ̯ n
אָן	aː n
אָן	oː n
אָן	u n
אָן	uː n
אָן	ɔ n
אָנדערטהאַלבן	ɔ n d ə ʁ t h a ɫ b n̩
אָנהייב	ɔ n h ɛ ɪ̯ b
אָנהייבן	ɔ n h ɛ ɪ̯ b n̩
אָנטאָן	ɔ n t ɔ n
אָנטייל	ɔ n t ɛ ɪ̯ ɫ
אָנלאָדער	ɔ n ɫ ɔ d ə ʁ
אָנלײַן	ɔ n ɫ a ɪ̯ n
אָנפֿירן	ɔ n f ɪ ʁ n̩
אָנפֿירער	ɔ n f ɪ ʁ ə ʁ
אָנקומען	ɔ ŋ k ʊ m ə n
אָנרופֿן	ɔ n ʁ ʊ f n̩
אָנרירן	ɔ n ʁ ɪ ʁ n̩
אָנשטעלן פֿאַרן שׂונא	ɔ n ʃ t ɛ l n̩ f a r n̩ s ɔ ɪ̯ n ɜ
אָנשיכּורן	ɔ n ʃ ɪ k ə ʁ ə n
אָסאָבע	ɔ s ɔ b ə
אָפּ	ɔ p
אָפּבערשטן	ɔ p b ɛ r ʃ t n̩
אָפּבײַסן	ɔ p b a ɪ̯ s n̩
אָפּגעביסן	ɔ p ɡ ə b ɪ s n̩
אָפּוואַלגערן	ɔ p v a l ɡ ɛ r n̩
אָפּזאָגן	ɔ p z ɔ ɡ ŋ̩
אָפּלאָזן	ɔ p ɫ ɔ z n̩
אָפּלייג	ɔ p l ɛ ɪ̯ ɡ
אָפּלייגן	ɔ p ɫ ɛ ɪ̯ ɡ ŋ̩
אָפּלייגעכץ	ɔ p ɫ ɛ ɪ̯ ɡ ə χ t͡s
אָפּלייקענונג	u p ɫ a ɪ̯ k ə n i ŋ k
אָפּלייקענונג	u p ɫ ɛ ɪ̯ k ə n ɨ ŋ ɡ
אָפּלייקענונג	ɔ p ɫ ɛ ɪ̯ k ə n ʊ ŋ ɡ
אָפּציע	ɔ p t͡s j ɜ
אָפּרופֿן	ɔ p r ʊ f n̩
אָפּשטאַם	ɔ p ʃ t a m
אָפּשטאַמלינג	ɔ p ʃ t a m l ɪ n ɡ
אָפּשיקער	ɔ p ʃ ɪ k ə ʁ
אָפּשיקערס	ɔ p ʃ ɪ k ə ʁ s
אָפּשרעקן	ɔ p ʃ ʁ ɛ k n̩
אָפֿיס	ɔ f ɪ s
אָפֿיסן	ɔ f ɪ s n̩
אָפֿיציעל	ɔ f ɪ t͡s j ɛ ɫ
אָפֿן	ɔ f n̩
אָפֿענעם	ɔ f ə n ə m
אָקיי	ɔ k ɛ ɪ̯
אָראַנזש	ɔ ʁ a n ʒ
אָרון	ɔ ʁ ə n
אָרון־קודש	ɔ ʁ ə n k ɔ ɪ̯ d ə ʃ
אָרט	ɔ ʁ t
אָריגאַן	ɔ r ɪ ɡ a n
אָרעם	ɔ ʁ ə m
אָרעמקייט	ɔ ʁ ə m k a ɪ̯ t
אבֿיון	ɛ v j ɜ n
אבֿן־בוחן	ɛ v n̩ b ɔ ɪ̯ χ n̩
אבֿן־טובֿ	ɛ v n̩ t ɔ v
אבֿן־נגף	ɛ v n̩ n ɛ ɡ ɜ f
אדוני	a d ɔ ɪ̯ n a ɪ̯
אדמה	a d u m ɜ
אדמה	a d ɔ m ɜ
אד״גל	ʊ n d ɔ s ɡ ɫ a ɪ̯ χ n̩
אהרן	a r n̩
אוּוואַדזשען	ʊ v a d͡ʒ ɛ n
אוּווערטור	ʊ v ɛ ʀ t ʊ ʀ
אוּיעזד	u j ɛ z d
אוגערקע	ʊ ɡ ɛ ʁ k ə
אוזער	ʊ z ɛ ʀ
אוטווערדזשען	ʊ t v ɛ ʀ d͡ʒ ɛ n
אוטשאַסטאָק	ʊ t͡ʃ a s t ɔ k
אוטשאָק	ʊ t͡ʃ ɔ k
אוטשעניע	ʊ t͡ʃ ɛ n j ɜ
אויב	ɔ ɪ̯ b
אויבן	ɔ ɪ̯ b n̩
אויבס	ɔ ɪ̯ b s
אויבסט	ɔ ɪ̯ b s t
אויג	e ɪ̯ ɡ
אויג	ɔ ɪ̯ ɡ
אויגן	ɔ ɪ̯ ɡ n̩
אויוון	ɔ ɪ̯ v n̩
אויוונס	ɔ ɪ̯ v n̩ s
אויטאָבוס	ɔ ɪ̯ t ɔ b ʊ s
אויטאָמאַט	ɔ ɪ̯ t ɔ m a t
אויטאָמאַטיש	ɔ ɪ̯ t ɔ m a t ɪ ʃ
אויטאָנאָם	ɔ ɪ̯ t ɔ n ɔ m
אויטאָנאָמיע	ɔ ɪ̯ t ɔ n ɔ m j ɜ
אויטאָנאָמיש	ɔ ɪ̯ t ɔ n ɔ m ɪ ʃ
אויך	e ɪ̯ χ
אויך	ɔ ɪ̯ χ
אויס־	ɔ ɪ̯ s
אויסבלייזן	ɔ ɪ̯ s b ɫ ɛ ɪ̯ z n̩
אויסברייטערן	ɔ ɪ̯ s b r ɛ ɪ̯ t ɜ r n̩
אויסגעלאָשן	ɔ ɪ̯ s ɡ ə ɫ ɔ ʃ n̩
אויסגעשריבן	ɔ ɪ̯ s ɡ ə ʃ ʀ ɪ̯ b n̩
אויסזען	ɔ ɪ s z ɛ n
אויסטראַליע	ɔ ɪ̯ s t ʀ a ʎ j ə
אויסלאַכן	ɔ ɪ̯ s ɫ a χ n̩
אויסלאַנד	ɔ ɪ̯ s ɫ a n d
אויסלענדיש	ɔ ɪ̯ s ɫ ɛ n d ɪ ʃ
אויסלענדער	ɔ ɪ̯ s ɫ ɛ n d ə ʀ
אויסלענדערשע	ɔ ɪ̯ s ɫ ɛ n d ə ʀ ʃ ə
אויסלעשן	ɔ ɪ̯ s ɫ ɛ ʃ n̩
אויסמאַכן	ɔ ɪ̯ s m a χ n̩
אויסמיידן	o ɪ̯ s m e ɪ̯ d n̩
אויסמעקן	ɔ ɪ̯ s m ɛ k n̩
אויסניצן	ɔ ɪ̯ s n ɪ t͡s n̩
אויספֿאַלן	ɔ ɪ̯ s f a ɫ n̩
אויסשטאַרבן	ɔ ɪ̯ s ʃ t a ʁ b n̩
אויסשטעלונג	ɔ j s ʃ t ɛ l ʊ ŋ ɡ
אויסשטשערבען	ɔ ɪ̯ s ʃ t͡ʃ ɛ r b n̩
אויסשטשערבען	ɔ ɪ̯ s ʃ t͡ʃ ɛ r b ə n
אויסשפּאַנען	ɔ ɪ̯ s ʃ p a n ə n
אויסשפּיר	ɔ j s ʃ p i ʀ
אויסשרײַבן	ɔ ɪ̯ s ʃ ʁ a ɪ̯ b n̩
אויער	e ɪ ə ʁ
אויער	ɔ ɪ ə ʁ
אויערן	ɔ ɪ̯ ə ʁ n̩
אויף	a f
אויף	ɔ f
אויף	ɔ ɪ̯ f
אויפּס	ɔ ɪ̯ p s
אויפּסט	ɔ ɪ̯ p s t
אויפֿ־	a f
אויפֿ־	ɔ f
אויפֿ־	ɔ ɪ̯ f
אויפֿגאַבע	a f ɡ a b ə
אויפֿגאַבע	ɔ f ɡ a b ə
אויפֿגאַבע	ɔ ɪ̯ f ɡ a b ə
אויפֿגאַנג	ɔ j f ɡ a ŋ ɡ
אויפֿגעהערט	ɔ ɪ̯ f ɡ ə h ɛ ʁ t
אויפֿהערן	ɔ ɪ̯ f h ɛ ʁ n̩
אויפֿוועקן	a f v ɛ k n̩
אויפֿוועקן	ɔ f v ɛ k n̩
אויפֿוועקן	ɔ ɪ̯ f v ɛ k ŋ̩
אויפֿטו	ɔ j f t ʊ
אויפֿן	a f n̩
אויפֿן	ɔ f n̩
אויפֿן	ɔ j f n̩
אויפֿצומאָרגנס	a f t͡s ʊ m ɔ ʁ ɡ n̩ s
אויפֿצומאָרגנס	ɔ ɪ̯ f t͡s ʊ m ɔ ʁ ɡ n̩ s
אויפֿריכטן	ɔ ɪ̯ f ʁ ɪ χ t n̩
אויפֿרײַס	ɔ j f ʀ a j s
אויפֿרײַס	ɔ ə̯ f ʀ a ɛ̯ s
אויפֿרײַס	ʊ f ʀ a ɛ̯ s
אויפֿשטאַנד	u f ʃ t a n d
אויפֿשטיין	ɔ f ʃ t a ɪ̯ n
אויפֿשטיין	ɔ ɪ̯ f ʃ t e ɪ̯ n
אויפֿשטיין	ɔ ɪ̯ f ʃ t ɛ ɪ̯ n
אויפֿשטיין	ʊ f ʃ t ɛ ɪ̯ n
אויפֿשנײַדן	ɔ ɪ̯ f ʃ n a ɪ̯ d n̩
