'day	d̪ a ɪ̯
abelyano	ʔ ɐ b ɛ l j aː n̪ o
abenida	ʔ ɐ b ɛ n̪ iː d̪ ɐ
Abenojar	ʔ ɐ b ɛ n̪ o h a ɾ
abente	ʔ ɐ b ɛ n̪ t̪ ɛ
abentura	ʔ ɐ b ɛ n̪ t̪ uː ɾ ɐ
abenturero	ʔ ɐ b ɛ n̪ t̪ ʊ ɾ ɛː ɾ o
aber	ʔ ɐ b ɛ ɾ
aberasyon	ʔ ɐ b ɛ ɾ ɐ ʃ o n̪
aberasyon	ʔ ɐ b ɛ ɾ ɐ s j o n̪
aberasyon	ʔ ɐ b ɛ ɾ ɐ s j o n̪
abereyds	ʔ aː b ɛ ɾ e ɪ̯ d̪ s
abereyds	ʔ aː b ɛ ɾ e ɪ̯ d͡ʒ
abereyj	ʔ aː b ɛ ɾ e ɪ̯ d͡ʒ
abereyj	ʔ aː b ɛ ɾ e ɪ̯ d̪ s
abereyj	ʔ aː b ɛ ɾ e ɪ̯ d̪ s
aberya	ʔ ɐ b ɛ ɾ j a
Abesamis	ʔ ɐ b ɛ s aː m ɪ s
abese	ʔ ɐ b ɛ s ɛ
abese	ʔ aː b ɛː s ɛ
abesedaryo	ʔ ɐ b ɛ s ɛ d̪ a ɾ j o
abestrus	ʔ ɐ b ɛ s t̪ ɾ ʊ s
abeto	ʔ ɐ b ɛː t̪ o
abeynte	ʔ ɐ b e ɪ̯ n̪ t̪ ɛ
Abigail	ʔ aː b ɪ ɣ e ɪ̯ l
abilaw	ʔ ɐ b ɪ l a ʊ̯
abilidad	ʔ ɐ b ɪ l ɪ d̪ a d̪̚
abilo	ʔ ɐ b iː l o
abintestato	ʔ ɐ b ɪ n̪ t̪ ɛ s t̪ aː t̪ o
Abing	ʔ aː b ɪ ŋ
abiohenesis	ʔ ɐ b j o h ɛː n̪ ɛ s ɪ s
abiohenesis	ʔ ɐ b j o h ɛ n̪ ɛː s ɪ s
Abisinya	ʔ ɐ b ɪ s iː ɲ ɐ
Abisinya	ʔ ɐ b ɪ s i n̪ j ɐ
Abisinya	ʔ ɐ b ɪ s i n̪ j ɐ
Abisinyo	ʔ ɐ b ɪ s iː ɲ o
Abisinyo	ʔ ɐ b ɪ s i n̪ j o
Abisinyo	ʔ ɐ b ɪ s i n̪ j o
abismal	ʔ ɐ b ɪ s m a l
abismo	ʔ ɐ b i s m o
abiso	ʔ ɐ b iː s o
abisuhan	ʔ ɐ b ɪ s uː h ɐ n̪
abito	ʔ aː b ɪ t̪ o
abito	ʔ ɐ b iː t̪ o
abitsuwela	ʔ ɐ b ɪ t͡ʃ w ɛː l ɐ
abitsuwela	ʔ ɐ b ɪ t̪ s w ɛː l ɐ
abitsuwela	ʔ ɐ b ɪ t̪ s w ɛː l ɐ
abitsuwelas	ʔ ɐ b ɪ t͡ʃ w ɛː l ɐ s
abitsuwelas	ʔ ɐ b ɪ t̪ s w ɛː l ɐ s
abitsuwelas	ʔ ɐ b ɪ t̪ s w ɛː l ɐ s
abiw	ʔ aː b ɪ ʊ̯
abiyerta	ʔ ɐ b j ɛ ɾ t̪ ɐ
abiyo	ʔ ɐ b iː j o
abiyohenesis	ʔ ɐ b j o h ɛː n̪ ɛ s ɪ s
abiyohenesis	ʔ ɐ b j o h ɛ n̪ ɛː s ɪ s
abiyolohiya	ʔ ɐ b j o l o h iː j ɐ
abla	ʔ aː b l ɐ
abla	ʔ ɐ b l a
ablatibo	ʔ ɐ b l ɐ t̪ iː b o
able	ʔ ɐ b l ɛ
ablepsiya	ʔ ɐ b l ɛ p ʃ ɐ
ablepsiya	ʔ ɐ b l ɛ p s j ɐ
ablepsiya	ʔ ɐ b l ɛ p s j ɐ
ablepsya	ʔ ɐ b l ɛ p ʃ ɐ
ablepsya	ʔ ɐ b l ɛ p s j ɐ
ablepsya	ʔ ɐ b l ɛ p s j ɐ
abli	ʔ ɐ b l ɪ
Ablog	ʔ ɐ b l o ɡ̚
ablusyon	ʔ ɐ b l ʊ ʃ o n̪
ablusyon	ʔ ɐ b l ʊ s j o n̪
ablusyon	ʔ ɐ b l ʊ s j o n̪
abnegada	ʔ ɐ b n̪ ɛ ɣ aː d̪ ɐ
abnegado	ʔ ɐ b n̪ ɛ ɣ aː d̪ o
abnegasyon	ʔ ɐ b n̪ ɛ ɣ ɐ ʃ o n̪
abnegasyon	ʔ ɐ b n̪ ɛ ɣ ɐ s j o n̪
abnegasyon	ʔ ɐ b n̪ ɛ ɣ ɐ s j o n̪
abno	ʔ ɐ b n̪ o ʔ
abnormal	ʔ ɐ b n̪ o ɾ m a l
abnormal	ʔ ɐ b n̪ o ɾ m ɐ l
abnormalidad	ʔ ɐ b n̪ o ɾ m ɐ l ɪ d̪ a d̪̚
abnoy	ʔ ɐ b n̪ o ɪ̯
abo	ʔ ɐ b o
abog	ʔ ɐ b o ɡ̚
abogada	ʔ ɐ b o ɣ aː d̪ ɐ
abogadilyo	ʔ ɐ b o ɣ ɐ d̪ i l j o
abogado	ʔ ɐ b o ɣ aː d̪ o
abogago	ʔ ɐ b o ɣ aː ɣ o
abogasia	ʔ ɐ b o ɣ ɐ s iː j ɐ
abogasiya	ʔ ɐ b o ɣ ɐ s iː j ɐ
abogasya	ʔ ɐ b o ɣ ɐ ʃ a
abogasya	ʔ ɐ b o ɣ ɐ s j a
abogasya	ʔ ɐ b o ɣ ɐ s j a
abogasya	ʔ ɐ b o ɣ aː ʃ ɐ
abogasya	ʔ ɐ b o ɣ a s j ɐ
abogasya	ʔ ɐ b o ɣ a s j ɐ
abok	ʔ ɐ b o k̚
abokado	ʔ ɐ b o x aː d̪ o
aboli	ʔ ɐ b o l ɪ
abolisyon	ʔ ɐ b o l ɪ ʃ o n̪
abolisyon	ʔ ɐ b o l ɪ s j o n̪
abolisyon	ʔ ɐ b o l ɪ s j o n̪
abolisyonismo	ʔ ɐ b o l ɪ ʃ o n̪ i s m o
abolisyonismo	ʔ ɐ b o l ɪ s j o n̪ i s m o
abolisyonismo	ʔ ɐ b o l ɪ s j o n̪ i s m o
abolisyonista	ʔ ɐ b o l ɪ ʃ o n̪ i s t̪ ɐ
abolisyonista	ʔ ɐ b o l ɪ s j o n̪ i s t̪ ɐ
abolisyonista	ʔ ɐ b o l ɪ s j o n̪ i s t̪ ɐ
abolisyunista	ʔ ɐ b o l ɪ ʃ ʊ n̪ i s t̪ ɐ
abolisyunista	ʔ ɐ b o l ɪ s j ʊ n̪ i s t̪ ɐ
abolisyunista	ʔ ɐ b o l ɪ s j ʊ n̪ i s t̪ ɐ
abonada	ʔ ɐ b o n̪ aː d̪ ɐ
abonado	ʔ ɐ b o n̪ aː d̪ o
abono	ʔ ɐ b oː n̪ o
aborsiyon	ʔ ɐ b o ɾ ʃ o n̪
aborsiyon	ʔ ɐ b o ɾ s j o n̪
aborsiyon	ʔ ɐ b o ɾ s j o n̪
aborsiyon	ʔ ɐ b o ɾ ʃ o n̪
aborsiyon	ʔ ɐ b o ɾ s j o n̪
aborsiyon	ʔ ɐ b o ɾ s j o n̪
aborsiyonista	ʔ ɐ b o ɾ ʃ o n̪ i s t̪ ɐ
aborsiyonista	ʔ ɐ b o ɾ s j o n̪ i s t̪ ɐ
aborsiyonista	ʔ ɐ b o ɾ s j o n̪ i s t̪ ɐ
aborsiyunista	ʔ ɐ b o ɾ ʃ ʊ n̪ i s t̪ ɐ
aborsiyunista	ʔ ɐ b o ɾ s j ʊ n̪ i s t̪ ɐ
aborsiyunista	ʔ ɐ b o ɾ s j ʊ n̪ i s t̪ ɐ
aborsyon	ʔ ɐ b o ɾ ʃ o n̪
aborsyon	ʔ ɐ b o ɾ s j o n̪
aborsyon	ʔ ɐ b o ɾ s j o n̪
aborsyon	ʔ ɐ b o ɾ ʃ o n̪
aborsyon	ʔ ɐ b o ɾ s j o n̪
aborsyon	ʔ ɐ b o ɾ s j o n̪
aborsyonista	ʔ ɐ b o ɾ ʃ o n̪ i s t̪ ɐ
aborsyonista	ʔ ɐ b o ɾ s j o n̪ i s t̪ ɐ
aborsyonista	ʔ ɐ b o ɾ s j o n̪ i s t̪ ɐ
aborsyunista	ʔ ɐ b o ɾ ʃ ʊ n̪ i s t̪ ɐ
aborsyunista	ʔ ɐ b o ɾ s j ʊ n̪ i s t̪ ɐ
aborsyunista	ʔ ɐ b o ɾ s j ʊ n̪ i s t̪ ɐ
abortista	ʔ ɐ b o ɾ t̪ i s t̪ ɐ
aborto	ʔ ɐ b o ɾ t̪ o
abot	ʔ ɐ b o t̪̚
abot	ʔ aː b o t̪̚
aboy	ʔ ɐ b o ɪ̯
abra	ʔ aː b ɾ ɐ
Abra	ʔ aː b ɾ ɐ
Abraham	ʔ ɐ b ɾ ɐ h a m
abrakadabra	ʔ aː b ɾ ɐ x ɐ d̪ aː b ɾ ɐ
abrasador	ʔ ɐ b ɾ ɐ s ɐ d̪ o ɾ
abrasete	ʔ ɐ b ɾ ɐ s ɛː t̪ ɛ
abrasiyete	ʔ ɐ b ɾ ɐ ʃ ɛː t̪ ɛ
abrasiyete	ʔ ɐ b ɾ ɐ s j ɛː t̪ ɛ
abrasiyete	ʔ ɐ b ɾ ɐ s j ɛː t̪ ɛ
abraso	ʔ ɐ b ɾ aː s o
abrasyete	ʔ ɐ b ɾ ɐ ʃ ɛː t̪ ɛ
abrasyete	ʔ ɐ b ɾ ɐ s j ɛː t̪ ɛ
abrasyete	ʔ ɐ b ɾ ɐ s j ɛː t̪ ɛ
Abrazado	ʔ ɐ b ɾ ɐ z aː d̪ o
Abrazado	ʔ ɐ b ɾ ɐ s aː d̪ o
Abrazado	ʔ ɐ b ɾ ɐ s aː d̪ o
abre	ʔ ɐ b ɾ ɛ
abrebasyon	ʔ ɐ b ɾ ɛ b ɐ ʃ o n̪
abrebasyon	ʔ ɐ b ɾ ɛ b ɐ s j o n̪
abrebasyon	ʔ ɐ b ɾ ɛ b ɐ s j o n̪
abrebiyado	ʔ ɐ b ɾ ɛ b j aː d̪ o
abrebiyasyon	ʔ ɐ b ɾ ɛ b j ɐ ʃ o n̪
abrebiyasyon	ʔ ɐ b ɾ ɛ b j ɐ s j o n̪
abrebiyasyon	ʔ ɐ b ɾ ɛ b j ɐ s j o n̪
abrebiyatura	ʔ ɐ b ɾ ɛ b j ɐ t̪ uː ɾ ɐ
abrebyado	ʔ ɐ b ɾ ɛ b j aː d̪ o
abrebyasyon	ʔ ɐ b ɾ ɛ b j ɐ ʃ o n̪
abrebyasyon	ʔ ɐ b ɾ ɛ b j ɐ s j o n̪
abrebyasyon	ʔ ɐ b ɾ ɛ b j ɐ s j o n̪
abrebyatura	ʔ ɐ b ɾ ɛ b j ɐ t̪ uː ɾ ɐ
abrelata	ʔ ɐ b ɾ ɛ l aː t̪ ɐ
Abrenica	ʔ ɐ b ɾ ɛː n̪ ɪ x a
Abrera	ʔ ɐ b ɾ ɛː ɾ ɐ
abretapa	ʔ ɐ b ɾ ɛ t̪ aː p ɐ
abri	ʔ ɐ b ɾ ɪ
abridor	ʔ ɐ b ɾ ɪ d̪ o ɾ
abrigado	ʔ ɐ b ɾ ɪ ɣ aː d̪ o
abrigana	ʔ ɐ b ɾ ɪ ɣ aː n̪ ɐ
abrigo	ʔ ɐ b ɾ iː ɣ o
Abril	ʔ ɐ b ɾ ɪ l
abrisete	ʔ ɐ b ɾ ɪ s ɛː t̪ ɛ
abritapa	ʔ ɐ b ɾ ɪ t̪ aː p ɐ
abrodista	ʔ ɐ b ɾ o d̪ i s t̪ ɐ
abroga	ʔ ɐ b ɾ o ɣ a
abrogado	ʔ ɐ b ɾ o ɣ aː d̪ o
abrogahin	ʔ ɐ b ɾ o ɣ ɐ h ɪ n̪
abrogasyon	ʔ ɐ b ɾ o ɣ ɐ ʃ o n̪
abrogasyon	ʔ ɐ b ɾ o ɣ ɐ s j o n̪
abrogasyon	ʔ ɐ b ɾ o ɣ ɐ s j o n̪
abrotano	ʔ ɐ b ɾ oː t̪ ɐ n̪ o
absen	ʔ a b s ɛ n̪
absenera	ʔ ɐ b s ɛ n̪ ɛː ɾ ɐ
absenero	ʔ ɐ b s ɛ n̪ ɛː ɾ o
absent	ʔ a b s ɛ n̪ t̪
absentera	ʔ ɐ b s ɛ n̪ t̪ ɛː ɾ ɐ
absentero	ʔ ɐ b s ɛ n̪ t̪ ɛː ɾ o
absentismo	ʔ ɐ b s ɛ n̪ t̪ i s m o
abseso	ʔ ɐ b s ɛː s o
absik	ʔ ɐ b s ɪ k̚
absintiyo	ʔ ɐ b s i n̪ t͡ʃ o
absintiyo	ʔ ɐ b s i n̪ t̪ j o
absintiyo	ʔ ɐ b s i n̪ t̪ j o
absintyo	ʔ ɐ b s i n̪ t͡ʃ o
absintyo	ʔ ɐ b s i n̪ t̪ j o
absintyo	ʔ ɐ b s i n̪ t̪ j o
absisa	ʔ ɐ b s iː s ɐ
absisyon	ʔ ɐ b s ɪ ʃ o n̪
absisyon	ʔ ɐ b s ɪ s j o n̪
absisyon	ʔ ɐ b s ɪ s j o n̪
absolbe	ʔ ɐ b s o l b ɛ
absolusyon	ʔ ɐ b s o l ʊ ʃ o n̪
absolusyon	ʔ ɐ b s o l ʊ s j o n̪
absolusyon	ʔ ɐ b s o l ʊ s j o n̪
absolutismo	ʔ ɐ b s o l ʊ t̪ i s m o
absolutista	ʔ ɐ b s o l ʊ t̪ i s t̪ ɐ
absoluto	ʔ ɐ b s o l uː t̪ o
absorbente	ʔ ɐ b s o ɾ b ɛ n̪ t̪ ɛ
absorpsiyon	ʔ ɐ b s o ɹ p ʃ o n̪
absorpsiyon	ʔ ɐ b s o ɹ p s j o n̪
absorpsiyon	ʔ ɐ b s o ɹ p s j o n̪
absorpsyon	ʔ ɐ b s o ɹ p ʃ o n̪
absorpsyon	ʔ ɐ b s o ɹ p s j o n̪
absorpsyon	ʔ ɐ b s o ɹ p s j o n̪
absorsiyon	ʔ ɐ b s o ɾ ʃ o n̪
absorsiyon	ʔ ɐ b s o ɾ s j o n̪
absorsiyon	ʔ ɐ b s o ɾ s j o n̪
absorsyon	ʔ ɐ b s o ɾ ʃ o n̪
absorsyon	ʔ ɐ b s o ɾ s j o n̪
absorsyon	ʔ ɐ b s o ɾ s j o n̪
abstensiyon	ʔ ɐ b s t̪ ɛ n̪ ʃ o n̪
abstensiyon	ʔ ɐ b s t̪ ɛ n̪ s j o n̪
abstensiyon	ʔ ɐ b s t̪ ɛ n̪ s j o n̪
abstensyon	ʔ ɐ b s t̪ ɛ n̪ ʃ o n̪
abstensyon	ʔ ɐ b s t̪ ɛ n̪ s j o n̪
abstensyon	ʔ ɐ b s t̪ ɛ n̪ s j o n̪
abstinensiya	ʔ ɐ b s t̪ ɪ n̪ ɛ n̪ ʃ ɐ
abstinensiya	ʔ ɐ b s t̪ ɪ n̪ ɛ n̪ s j ɐ
abstinensiya	ʔ ɐ b s t̪ ɪ n̪ ɛ n̪ s j ɐ
abstinensya	ʔ ɐ b s t̪ ɪ n̪ ɛ n̪ ʃ ɐ
abstinensya	ʔ ɐ b s t̪ ɪ n̪ ɛ n̪ s j ɐ
abstinensya	ʔ ɐ b s t̪ ɪ n̪ ɛ n̪ s j ɐ
abstrak	ʔ a b s t̪ ɾ ɐ k̚
abstraksiyon	ʔ ɐ b s t̪ ɾ ɐ k ʃ o n̪
abstraksiyon	ʔ ɐ b s t̪ ɾ ɐ k s j o n̪
abstraksiyon	ʔ ɐ b s t̪ ɾ ɐ k s j o n̪
abstraksyon	ʔ ɐ b s t̪ ɾ ɐ k ʃ o n̪
abstraksyon	ʔ ɐ b s t̪ ɾ ɐ k s j o n̪
abstraksyon	ʔ ɐ b s t̪ ɾ ɐ k s j o n̪
abstrakto	ʔ ɐ b s t̪ ɾ a k t̪ o
absulbi	ʔ ɐ b s ʊ l b ɪ
absulusyon	ʔ ɐ b s ʊ l ʊ ʃ o n̪
absulusyon	ʔ ɐ b s ʊ l ʊ s j o n̪
absulusyon	ʔ ɐ b s ʊ l ʊ s j o n̪
absulutismo	ʔ ɐ b s ʊ l ʊ t̪ i s m o
absulutista	ʔ ɐ b s ʊ l ʊ t̪ i s t̪ ɐ
absuluto	ʔ ɐ b s ʊ l uː t̪ o
absurdismo	ʔ ɐ b s ʊ ɾ d̪ i s m o
absurdista	ʔ ɐ b s ʊ ɾ d̪ i s t̪ ɐ
absurdo	ʔ ɐ b s u ɾ d̪ o
absuweltado	ʔ ɐ b s w ɛ l t̪ aː d̪ o
absuwelto	ʔ ɐ b s w ɛ l t̪ o
absweltado	ʔ ɐ b s w ɛ l t̪ aː d̪ o
abswelto	ʔ ɐ b s w ɛ l t̪ o
Abu	ʔ aː b ʊ
abuab	ʔ ɐ b ʊ ʔ a b̚
abubor	ʔ ɐ b uː b o ɾ
abubot	ʔ ɐ b uː b o t̪̚
Abucay	ʔ ɐ b uː x a ɪ̯
Abueg	ʔ ɐ b w ɛ ɡ̚
Abuel	ʔ ɐ b w ɛ l
abugada	ʔ ɐ b ʊ ɣ aː d̪ ɐ
abugadilyo	ʔ ɐ b ʊ ɣ ɐ d̪ i l j o
abugado	ʔ ɐ b ʊ ɣ aː d̪ o
abugasiya	ʔ ɐ b ʊ ɣ ɐ s iː j ɐ
abugasya	ʔ ɐ b ʊ ɣ ɐ ʃ a
abugasya	ʔ ɐ b ʊ ɣ ɐ s j a
abugasya	ʔ ɐ b ʊ ɣ ɐ s j a
abugasya	ʔ ɐ b ʊ ɣ aː ʃ ɐ
abugasya	ʔ ɐ b ʊ ɣ a s j ɐ
abugasya	ʔ ɐ b ʊ ɣ a s j ɐ
abuhan	ʔ aː b uː h ɐ n̪
abuhan	ʔ ɐ b ʊ h a n̪
abuhin	ʔ ɐ b ʊ h ɪ n̪
abuhin	ʔ aː b uː h ɪ n̪
abuhin	ʔ ɐ b ʊ h ɪ n̪
abukado	ʔ ɐ b ʊ x aː d̪ o
abukanin	ʔ ɐ b ʊ x aː n̪ ɪ n̪
abukay	ʔ ɐ b uː x a ɪ̯
abukay	ʔ ɐ b ʊ x a ɪ̯
abulado	ʔ ɐ b ʊ l aː d̪ o
Abulencia	ʔ ɐ b ʊ l ɛ n̪ ʃ ɐ
Abulencia	ʔ ɐ b ʊ l ɛ n̪ s j ɐ
Abulencia	ʔ ɐ b ʊ l ɛ n̪ s j ɐ
abuli	ʔ ɐ b ʊ l ɪ
abulon	ʔ ɐ b ʊ l o n̪
abuloy	ʔ ɐ b uː l o ɪ̯
Abulug	ʔ ɐ b ʊ l ʊ ɡ̚
abuluyan	ʔ aː b ʊ l ʊ j a n̪
abuluyan	ʔ ɐ b ʊ l uː j ɐ n̪
abunada	ʔ ɐ b ʊ n̪ aː d̪ ɐ
abunado	ʔ ɐ b ʊ n̪ aː d̪ o
abundansiya	ʔ ɐ b ʊ n̪ d̪ a n̪ ʃ ɐ
abundansiya	ʔ ɐ b ʊ n̪ d̪ a n̪ s j ɐ
abundansiya	ʔ ɐ b ʊ n̪ d̪ a n̪ s j ɐ
abundansya	ʔ ɐ b ʊ n̪ d̪ a n̪ ʃ ɐ
abundansya	ʔ ɐ b ʊ n̪ d̪ a n̪ s j ɐ
abundansya	ʔ ɐ b ʊ n̪ d̪ a n̪ s j ɐ
abundante	ʔ ɐ b ʊ n̪ d̪ a n̪ t̪ ɛ
abunkolokal	ʔ ɐ b ʊ ŋ k o l oː x ɐ l
abunkulokal	ʔ ɐ b ʊ ŋ k ʊ l oː x ɐ l
abuod	ʔ ɐ b uː ʔ o d̪̚
abuor	ʔ ɐ b uː ʔ o ɾ
aburan	ʔ ɐ b ʊ ɾ a n̪
aburido	ʔ ɐ b ʊ ɾ iː d̪ o
aburido	ʔ ɐ b ʊ ɾ ɪ d̪ o
abursiyon	ʔ ɐ b u ɾ ʃ o n̪
abursiyon	ʔ ɐ b u ɾ s j o n̪
