aba	a b a
admiralsczi	a d m i r a l s t͡ʃ i
admirôł	a d m i r ɞ w
adoracjô	a d ɔ r a t͡s j ɞ
adorator	a d ɔ r a t ɔ r
adoratórka	a d ɔ r a t o r k a
adorowac	a d ɔ r ɔ v a t͡s
adresa	a d r ɛ s a
adresach	a d r ɛ s a x
adresama	a d r ɛ s a m a
adrese	a d r ɛ s ɛ
adreso	a d r ɛ s ɔ
adresã	a d r ɛ s ã
adresë	a d r ɛ s ɜ
adresóm	a d r ɛ s o m
adresów	a d r ɛ s o f
adresą	a d r ɛ s ɔ̃
adwent	a d v ɛ n t
adwentista	a d v ɛ n t i s t a
adwentistka	a d v ɛ n t i s t k a
adwentowi	a d v ɛ n t ɔ v i
adwòkactwò	a d w ɛ k a t͡s t f w ɛ
adwòkat	a d w ɛ k a t
adwòkatka	a d w ɛ k a t k a
afecht	a f ɛ x t
afekt	a f ɛ k t
afera	a f ɛ r a
aferalny	a f ɛ r a l n i
aferowi	a f ɛ r ɔ v i
aferzista	a f ɛ r̝ i s t a
Afganistan	a v ɡ a ɲ i s t a n
Afrika	a f r i k a
afòrizm	a f w ɛ r i z m
agat	a ɡ a t
agawa	a ɡ a v a
agencjô	a ɡ ɛ n t͡s j ɞ
agenda	a ɡ ɛ n d a
agent	a ɡ ɛ n t
agentura	a ɡ ɛ n t u r a
agronomiô	a ɡ r ɔ n ɔ m j ɞ
agùst	a ɡ w u s t
akacjowi	a k a t͡s j ɔ v i
akacjô	a k a t͡s j ɞ
akceptacjô	a k t͡s ɛ p t a t͡s j ɞ
akcyza	a k t͡s i z a
akcëza	a k t͡s ɜ z a
aksamańt	a k s a m a ɲ t
aksamit	a k s a m i t
akselband	a k s ɛ l b a n t
aktór	a k t o r
akwarium	a k f a r j u m
akwarëjô	a k f a r ɜ j ɞ
akwatinta	a k f a t i n t a
akwedukt	a k f ɛ d u k t
akòrdión	a k ɔ r d j o n
akùrôtnosc	a k w u r ɞ t n ɔ s t͡s
akùrôtny	a k w u r ɞ t n i
akùstika	a k w u s t i k a
akùszer	a k w u ʃ ɛ r
akùszerka	a k w u ʃ ɛ r k a
akùzatiw	a k w u z a t i f
alarm	a l a r m
alarmòwac	a l a r m w ɛ v a t͡s
alarmòwi	a l a r m w ɛ v i
Albaniô	a l b a ɲ ɞ
ale	a l ɛ
aleja	a l ɛ j a
alfabét	a l f a b e t
aligatór	a l i ɡ a t o r
alkalojid	a l k a l ɔ j i t
alpaka	a l p a k a
alsczeta	a l s t͡ʃ ɛ t a
alżdëk	a l ʒ d ɜ k
amatór	a m a t o r
ambasada	a m b a s a d a
ametist	a m ɛ t i s t
amfilada	a m f i l a d a
amfiteater	a m f i t ɛ a t ɛ r
amfòra	a m f w ɛ r a
amperogòdzëna	a m p ɛ r ɔ ɡ w ɛ d͡z ɜ n a
amón	a m w o n
analiza	a n a l i z a
ananas	a n a n a s
anatomiczny	a n a t ɔ m i t͡ʃ n i
anatomiô	a n a t ɔ m j ɞ
ancuch	a n t͡s u x
Andrës	a n d r ɜ s
ani	a ɲ i
anielsczi	a ɲ ɛ l s t͡ʃ i
aniół	a ɲ o w
antologiô	a n t ɔ l ɔ ɡ j ɞ
antracen	a n t r a t͡s ɛ n
antracyt	a n t r a t͡s i t
antrikòt	a n t r i k w ɛ t
antropologiô	a n t r ɔ p ɔ l ɔ ɡ j ɞ
antropòlogiczny	a n t r ɔ p w ɛ l ɔ ɡ i t͡ʃ n i
anys	a n i s
aparat	a p a r a t
apart	a p a r t
apartnik	a p a r t ɲ i k
apartnosc	a p a r t n ɔ s t͡s
apartny	a p a r t n i
apelacjô	a p ɛ l a t͡s j ɞ
apfelzyna	a p f ɛ l z i n a
apfelzynowi	a p f ɛ l z i n ɔ v i
aplauz	a p l a u s
aprikóza	a p r i k w o z a
aprël	a p r ɜ l
aprëlowi	a p r ɜ l ɔ v i
aptéce	a p t e t͡s ɛ
aptéczi	a p t e t͡ʃ i
aptéczka	a p t e t͡ʃ k a
aptéka	a p t e k a
aptékach	a p t e k a x
aptékama	a p t e k a m a
aptékã	a p t e k ã
aptékò	a p t e k w ɛ
aptékóm	a p t e k w o m
aptéków	a p t e k w o f
aptéką	a p t e k ɔ̃
apòstół	a p w ɛ s t o w
apòsztół	a p w ɛ ʃ t o w
arbata	a r b a t a
archeologijô	a r x ɛ ɔ l ɔ ɡ i j ɞ
archiwùm	a r x i w u m
arfa	a r f a
argùment	a r ɡ w u m ɛ n t
argùmentacjô	a r ɡ w u m ɛ n t a t͡s j ɞ
arkùn	a r k w u n
armiô	a r m j ɞ
arszelnik	a r ʃ ɛ l ɲ i k
artikel	a r t i k ɛ l
artëczok	a r t ɜ t͡ʃ ɔ k
asortiment	a s ɔ r t i m ɛ n t
astra	a s t r a
astronóm	a s t r ɔ n o m
atak	a t a k
Atenë	a t ɛ n ɜ
atest	a t ɛ s t
atestowac	a t ɛ s t ɔ v a t͡s
ateńczik	a t ɛ ɲ t͡ʃ i k
ateńsczi	a t ɛ ɲ s t͡ʃ i
atmòsfera	a t m w ɛ s f ɛ r a
atmòsfericzny	a t m w ɛ s f ɛ r i t͡ʃ n i
atom	a t ɔ m
atomòwi	a t ɔ m w ɛ v i
atrakcjô	a t r a k t͡s j ɞ
atłas	a t w a s
Australiô	a u s t r a l j ɞ
Austriô	a u s t r j ɞ
autobiografia	a u t ɔ b j ɔ ɡ r a f j a
autobùs	a u t ɔ b w u s
autojironiô	a u t ɔ j i r ɔ ɲ ɞ
autokar	a u t ɔ k a r
autopòrtret	a u t ɔ p w ɛ r t r ɛ t
awizo	a v i z ɔ
azbest	a z b ɛ s t
Azerbejdżan	a z ɛ r b ɛ j d͡ʒ a n
Azjô	a z j ɞ
aùsknecht	a w s k n ɛ x t
aùto	a w t ɔ
aùtoł	a w t ɔ w
aùtór	a w t o r
ańcuch	a ɲ t͡s u x
ażebë	a ʒ ɛ b ɜ
ażur	a ʒ u r
baba	b a b a
babach	b a b a x
babama	b a b a m a
babi	b a b i
babie	b a b j ɛ
babiec	b a b j ɛ t͡s
babã	b a b ã
babë	b a b ɜ
babò	b a b w ɛ
babóm	b a b w o m
babów	b a b w o f
babą	b a b ɔ̃
badac	b a d a t͡s
baf	b a f
bagaż	b a ɡ a ʃ
bagażnik	b a ɡ a ʒ ɲ i k
bagażowi	b a ɡ a ʒ ɔ v i
bagażowé	b a ɡ a ʒ ɔ v e
bager	b a ɡ ɛ r
bagniôrz	b a ɡ ɲ ɞ r̝
bagno	b a ɡ n ɔ
bajac	b a j a t͡s
bajsykel	b a j s i k ɛ l
bajsykla	b a j s i k l a
bakalôrz	b a k a l ɞ r̝
bakùz	b a k w u s
bala	b a l a
baliô	b a l j ɞ
balka	b a l k a
balzam	b a l z a m
balôrz	b a l ɞ r̝
ban	b a n
bania	b a ɲ a
banof	b a n ɔ f
banowi	b a n ɔ v i
baran	b a r a n
barani	b a r a ɲ i
barc	b a r t͡s
barch	b a r x
barchón	b a r x w o n
bardawica	b a r d a v i t͡s a
bargòwac	b a r ɡ w ɛ v a t͡s
bargòwnik	b a r ɡ w ɛ v ɲ i k
bariera	b a r j ɛ r a
barkasa	b a r k a s a
barman	b a r m a n
barna	b a r n a
baro	b a r ɔ
barzo	b a r z ɔ
barzylkò	b a r̝ i l k w ɛ
barzëchno	b a r̝ ɜ x n ɔ
barzëczkò	b a r̝ ɜ t͡ʃ k w ɛ
barónk	b a r o ŋ k
barłóg	b a r w o k
barżi	b a r ʒ i
baszta	b a ʃ t a
batug	b a t u k
Bawariô	b a v a r j ɞ
bawic	b a v i t͡s
bawidło	b a v i d w ɔ
bawôłna	b a v ɞ w n a
Bazel	b a z ɛ l
bazuna	b a z u n a
bazylika	b a z i l i k a
bazyliszk	b a z i l i ʃ k
bazyliszkòwi	b a z i l i ʃ k w ɛ v i
bazôr	b a z ɞ r
bańka	b a ɲ k a
bańkã	b a ɲ k ã
bańką	b a ɲ k ɔ̃
bażant	b a ʒ a n t
becher	b ɛ x ɛ r
bechier	b ɛ x j ɛ r
beczka	b ɛ t͡ʃ k a
beczkã	b ɛ t͡ʃ k ã
bednarsczi	b ɛ d n a r s t͡ʃ i
bednôrka	b ɛ d n ɞ r k a
bednôrz	b ɛ d n ɞ r̝
bejersz	b ɛ j ɛ r ʃ
bejrisz	b ɛ j r i ʃ
bejrsz	b ɛ j r ʃ
Belgiô	b ɛ l ɡ j ɞ
Berlëno	b ɛ r l ɜ n ɔ
berło	b ɛ r w ɔ
bes	b ɛ s
bestri	b ɛ s t r i
bez	b ɛ s
bezbardny	b ɛ z b a r d n i
bezbłãdno	b ɛ z b w ã d n ɔ
bezbłãdny	b ɛ z b w ã d n i
bezpiecznie	b ɛ s p j ɛ t͡ʃ ɲ ɛ
bezpieczny	b ɛ s p j ɛ t͡ʃ n i
bezprawnie	b ɛ s p r a v ɲ ɛ
bezprawny	b ɛ s p r a v n i
bezòsobòwi	b ɛ z w ɛ s ɔ b w ɛ v i
białczi	b j a w t͡ʃ i
białka	b j a w k a
bic	b i t͡s
biegac	b j ɛ ɡ a t͡s
biegôcz	b j ɛ ɡ ɞ t͡ʃ
bielec	b j ɛ l ɛ t͡s
biesadowac	b j ɛ s a d ɔ v a t͡s
bigòs	b i ɡ w ɛ s
bik	b i k
biksa	b i k s a
bina	b i n a
biodro	b j ɔ d r ɔ
birna	b i r n a
bisząg	b i ʃ ɔ̃ k
bitwa	b i t f a
biwrówka	b i v r o f k a
biég	b j e k
biés	b j e s
biôłi	b j ɞ w i
biôłorusczi	b j ɞ w ɔ r u s t͡ʃ i
Biôłoruskô	b j ɞ w ɔ r u s k ɞ
blacha	b l a x a
bladi	b l a d i
blask	b l a s k
blaszka	b l a ʃ k a
blatk	b l a t k
blańket	b l a ɲ k ɛ t
blekòt	b l ɛ k w ɛ t
blewiązka	b l ɛ v j ɔ̃ s k a
blisczi	b l i s t͡ʃ i
bliwk	b l i f k
bliza	b l i z a
bluszcz	b l u ʃ t͡ʃ
blãk	b l ã k
blón	b l o n
blóna	b l o n a
blós	b l o s
bok	b ɔ k
brac	b r a t͡s
bracyn	b r a t͡s i n
brak	b r a k
brat	b r a t
bratfana	b r a t f a n a
bretling	b r ɛ t l i ŋ k
brifka	b r i f k a
briftasza	b r i f t a ʃ a
britijsczi	b r i t i j s t͡ʃ i
broda	b r ɔ d a
bronic	b r ɔ ɲ i t͡s
bronks	b r ɔ ŋ k s
bruny	b r u n i
brutka	b r u t k a
brutman	b r u t m a n
brzezan	b r̝ ɛ z a n
brzoza	b r̝ ɔ z a
brzég	b r̝ e k
brzëch	b r̝ ɜ x
brzëczka	b r̝ ɜ t͡ʃ k a
brzëdczi	b r̝ ɜ t t͡ʃ i
brzëtew	b r̝ ɜ t ɛ f
brzóst	b r̝ o s t
brzózka	b r̝ o s k a
brzôd	b r̝ ɞ t
brétling	b r e t l i ŋ k
brëdny	b r ɜ d n i
brëja	b r ɜ j a
brële	b r ɜ l ɛ
brëmzowac	b r ɜ m z ɔ v a t͡s
brëwiô	b r ɜ v j ɞ
bróna	b r o n a
brót	b r o t
brózda	b r o z d a
bãben	b ã b ɛ n
bãbenk	b ã b ɛ ŋ k
bédowanié	b e d ɔ v a ɲ e
bérielt	b e r j ɛ l t
bë	b ɜ
bëc	b ɜ t͡s
bëcé	b ɜ t͡s e
bëdło	b ɜ d w ɔ
bëlno	b ɜ l n ɔ
bëlny	b ɜ l n i
bëniel	b ɜ ɲ ɛ l
bënowi	b ɜ n ɔ v i
bënë	b ɜ n ɜ
bënômni	b ɜ n ɞ m ɲ i
bëstri	b ɜ s t r i
bëwac	b ɜ v a t͡s
bò	b w ɛ
bòber	b w ɛ b ɛ r
bòcón	b w ɛ t͡s o n
bòdôrz	b w ɛ d ɞ r̝
bògactwò	b w ɛ ɡ a t͡s t f w ɛ
bògati	b w ɛ ɡ a t i
bòhater	b w ɛ x a t ɛ r
bòjec	b w ɛ j ɛ t͡s
bòk	b w ɛ k
bòlec	b w ɛ l ɛ t͡s
bòr	b w ɛ r
bóg	b w o k
bóga	b w o ɡ a
ból	b w o l
bóma	b w o m a
bómk	b w o m k
bónczi	b w o n t͡ʃ i
bónerka	b w o n ɛ r k a
bórg	b w o r k
bórmaszinka	b w o r m a ʃ i ŋ k a
bósc	b w o s t͡s
bót	b w o t
bôb	b ɞ p
bôczënk	b ɞ t͡ʃ ɜ ŋ k
bôj	b ɞ j
bôjka	b ɞ j k a
bôrzda	b ɞ r̝ d a
bôt	b ɞ t
Bôłt	b ɞ w t
bùdowa	b w u d ɔ v a
bùdowac	b w u d ɔ v a t͡s
bùdzëc	b w u d͡z ɜ t͡s
bùfel	b w u f ɛ l
bùjón	b w u j o n
bùksczi	b w u k s t͡ʃ i
bùksë	b w u k s ɜ
bùkwita	b w u k f i t a
bùla	b w u l a
Bùlgarskô	b w u l ɡ a r s k ɞ
bùlta	b w u l t a
bùlwa	b w u l v a
bùrgraf	b w u r ɡ r a f
bùrméster	b w u r m e s t ɛ r
bùsa	b w u s a
bùska	b w u s k a
bùsthalter	b w u s t x a l t ɛ r
bùszny	b w u ʃ n i
bùten	b w u t ɛ n
bąk	b ɔ̃ k
błotnik	b w ɔ t ɲ i k
błoto	b w ɔ t ɔ
błãdnik	b w ã d ɲ i k
błãdny	b w ã d n i
błãdzëc	b w ã d͡z ɜ t͡s
błëcha	b w ɜ x a
błóna	b w o n a
błąd	b w ɔ̃ t
błąkac	b w ɔ̃ k a t͡s
camer	t͡s a m ɛ r
całi	t͡s a w i
cało	t͡s a w ɔ
całosc	t͡s a w ɔ s t͡s
całowac	t͡s a w ɔ v a t͡s
cecewiô	t͡s ɛ t͡s ɛ v j ɞ
cegła	t͡s ɛ ɡ w a
cekawi	t͡s ɛ k a v i
celnik	t͡s ɛ l ɲ i k
celt	t͡s ɛ l t
cemnica	t͡s ɛ m ɲ i t͡s a
cemżô	t͡s ɛ m ʒ ɞ
cena	t͡s ɛ n a
cenczi	t͡s ɛ n t͡ʃ i
centrëfùga	t͡s ɛ n t r ɜ f w u ɡ a
cep	t͡s ɛ p
cepë	t͡s ɛ p ɜ
cepłi	t͡s ɛ p w i
cesla	t͡s ɛ s l a
ceszba	t͡s ɛ ʒ b a
ceszëc	t͡s ɛ ʃ ɜ t͡s
chabina	x a b i n a
charakter	x a r a k t ɛ r
charłãżnik	x a r w ã ʒ ɲ i k
chałpa	x a w p a
chałë	x a w ɜ
chcec	x t͡s ɛ t͡s
chemiô	x ɛ m j ɞ
chilëc	x i l ɜ t͡s
Chinë	x i n ɜ
chiże	x i ʒ ɛ
chléb	x l e p
chmiél	x m j e l
chmùra	x m w u r a
chrapac	x r a p a t͡s
chrzebt	x ʂ ɛ p t
chrzescëjaństwò	x ʂ ɛ s t͡s ɜ j a ɲ s t f w ɛ
chrzescëjón	x ʂ ɛ s t͡s ɜ j o n
chrzón	x ʂ o n
chróst	x r o s t
chsztôłt	x ʃ t ɞ w t
chto	x t ɔ
chtos	x t ɔ s
chtëren	x t ɜ r ɛ n
chtëri	x t ɜ r i
chwila	x f i l a
chãc	x ã t͡s
chëba	x ɜ b a
chëbic	x ɜ b i t͡s
chëcz	x ɜ t͡ʃ
chëcza	x ɜ t͡ʃ a
chòcbë	x w ɛ d͡z b ɜ
chòdnik	x w ɛ d ɲ i k
chòdzenié	x w ɛ d͡z ɛ ɲ e
chòdzëc	x w ɛ d͡z ɜ t͡s
chòranka	x w ɛ r a ŋ k a
chòri	x w ɛ r i
chòroba	x w ɛ r ɔ b a
chòrwacczi	x w ɛ r v a t͡s t͡ʃ i
Chòrwackô	x w ɛ r v a t͡s k ɞ
chòwac	x w ɛ v a t͡s
chód	x w o t
chójka	x w o j k a
chùtczi	x w u t t͡ʃ i
chùtkò	x w u t k w ɛ
chùtkòsc	x w u t k w ɛ s t͡s
chùtuszkò	x w u t u ʃ k w ɛ
chłodny	x w ɔ d n i
chłop	x w ɔ p
chłopiszcze	x w ɔ p i ʃ t͡ʃ ɛ
chłód	x w o t
chłąd	x w ɔ̃ t
cknąc	t͡s k n ɔ̃ t͡s
cma	t͡s m a
co	t͡s ɔ
cokòlwiek	t͡s ɔ k w ɛ l v j ɛ k
cona	t͡s ɔ n a
copac	t͡s ɔ p a t͡s
corôz	t͡s ɔ r ɞ s
cos	t͡s ɔ s
cosz	t͡s ɔ ʃ
cotka	t͡s ɔ t k a
cuch	t͡s u x
cud	t͡s u t
cuszô	t͡s u ʃ ɞ
cwiardi	t͡s f j a r d i
cwiter	t͡s f i t ɛ r
cwéter	t͡s f e t ɛ r
cwëk	t͡s f ɜ k
cyc	t͡s i t͡s
cyg	t͡s i k
cygareta	t͡s i ɡ a r ɛ t a
cygnąc	t͡s i ɡ n ɔ̃ t͡s
cygło	t͡s i ɡ w ɔ
cymańt	t͡s i m a ɲ t
cynk	t͡s i ŋ k
cyrk	t͡s i r k
cyrkus	t͡s i r k u s
cytróna	t͡s i t r o n a
czardżowac	t͡ʃ a r d͡ʒ ɔ v a t͡s
czas	t͡ʃ a s
czasnik	t͡ʃ a s ɲ i k
czasowi	t͡ʃ a s ɔ v i
czaszka	t͡ʃ a ʃ k a
czasã	t͡ʃ a s ã
czech	t͡ʃ ɛ x
czeda	t͡ʃ ɛ d a
czedë	t͡ʃ ɛ d ɜ
czedës	t͡ʃ ɛ d ɜ s
czej	t͡ʃ ɛ j
czekac	t͡ʃ ɛ k a t͡s
czela	t͡ʃ ɛ l a
czelo	t͡ʃ ɛ l ɔ
czelësc	t͡ʃ ɛ l ɜ s t͡s
czelôdz	t͡ʃ ɛ l ɞ t͡s
czerwc	t͡ʃ ɛ r f t͡s
czerwiony	t͡ʃ ɛ r v j ɔ n i
czerwińc	t͡ʃ ɛ r v i ɲ t͡s
czerwòny	t͡ʃ ɛ r w ɛ n i
czerz	t͡ʃ ɛ r̝
czesc	t͡ʃ ɛ s t͡s
czesczi	t͡ʃ ɛ s t͡ʃ i
Czeskô	t͡ʃ ɛ s k ɞ
czij	t͡ʃ i j
czipa	t͡ʃ i p a
czis	t͡ʃ i s
cziskùla	t͡ʃ i s k w u l a
czislëna	t͡ʃ i s l ɜ n a
czista	t͡ʃ i s t a
czitel	t͡ʃ i t ɛ l
czoło	t͡ʃ ɔ w ɔ
czum	t͡ʃ u m
czułingtobaczi	t͡ʃ u w i ŋ k t ɔ b a t͡ʃ i
czwiôrti	t͡ʃ f j ɞ r t i
czwiôrtk	t͡ʃ f j ɞ r t k
czwôrtk	t͡ʃ f ɞ r t k
czãsc	t͡ʃ ã s t͡s
czãsczi	t͡ʃ ã s t͡ʃ i
czãsti	t͡ʃ ã s t i
czãsto	t͡ʃ ã s t ɔ
czéwa	t͡ʃ e v a
czë	t͡ʃ ɜ
czëc	t͡ʃ ɜ t͡s
czënic	t͡ʃ ɜ ɲ i t͡s
czëp	t͡ʃ ɜ p
czësti	t͡ʃ ɜ s t i
czëtac	t͡ʃ ɜ t a t͡s
czëtnica	t͡ʃ ɜ t ɲ i t͡s a
czôdz	t͡ʃ ɞ t͡s
Czôrnogóra	t͡ʃ ɞ r n ɔ ɡ w o r a
czôrny	t͡ʃ ɞ r n i
czôłg	t͡ʃ ɞ w k
cząsteczka	t͡ʃ ɔ̃ s t ɛ t͡ʃ k a
cząstka	t͡ʃ ɔ̃ s t k a
człowiek	t͡ʃ w ɔ v j ɛ k
cãdżi	t͡s ã d͡ʒ i
cãżczi	t͡s ã ʃ t͡ʃ i
cãżôr	t͡s ã ʒ ɞ r
céch	t͡s e x
céchòwac	t͡s e x w ɛ v a t͡s
céchùnk	t͡s e x w u ŋ k
cél	t͡s e l
césôrka	t͡s e s ɞ r k a
césôrz	t͡s e s ɞ r̝
céń	t͡s e ɲ
cëbùla	t͡s ɜ b w u l a
cëc	t͡s ɜ t͡s
cëcac	t͡s ɜ t͡s a t͡s
cëczer	t͡s ɜ t͡ʃ ɛ r
cëcón	t͡s ɜ t͡s o n
cëskac	t͡s ɜ s k a t͡s
côl	t͡s ɞ l
cąc	t͡s ɔ̃ t͡s
dac	d a t͡s
dak	d a k
dakôrz	d a k ɞ r̝
daleczi	d a l ɛ t͡ʃ i
dalek	d a l ɛ k
Dalmackô	d a l m a t͡s k ɞ
dama	d a m a
damast	d a m a s t
damka	d a m k a
dana	d a n a
Danóf	d a n o f
darënk	d a r ɜ ŋ k
datiw	d a t i f
dawac	d a v a t͡s
dbac	d b a t͡s
december	d ɛ t͡s ɛ m b ɛ r
decembrowi	d ɛ t͡s ɛ m b r ɔ v i
deja	d ɛ j a
dejta	d ɛ j t a
dejtowac	d ɛ j t ɔ v a t͡s
delfin	d ɛ l f i n
delikatesa	d ɛ l i k a t ɛ s a
demónstracjô	d ɛ m w o n s t r a t͡s j ɞ
departament	d ɛ p a r t a m ɛ n t
deriwat	d ɛ r i v a t
dermatologiô	d ɛ r m a t ɔ l ɔ ɡ j ɞ
deszcz	d ɛ ʃ t͡ʃ
dewòcjonalia	d ɛ w ɛ t͡s j ɔ n a l j a
dichtich	d i x t i x
dil	d i l
diliżans	d i l i ʒ a n s
dim	d i m
Dipi	d i p i
diplomacjô	d i p l ɔ m a t͡s j ɞ
ditrich	d i t r i x
diôbéł	d j ɞ b e w
dlô	d l ɞ
dlôtegò	d l ɞ t ɛ ɡ w ɛ
do	d ɔ
doba	d ɔ b a
dobri	d ɔ b r i
dobrze	d ɔ b r̝ ɛ
doch	d ɔ x
dochòwac	d ɔ x w ɛ v a t͡s
dochód	d ɔ x w o t
dodac	d ɔ d a t͡s
doktór	d ɔ k t o r
dokùment	d ɔ k w u m ɛ n t
dolar	d ɔ l a r
dolch	d ɔ l x
dolka	d ɔ l k a
dolmaczëc	d ɔ l m a t͡ʃ ɜ t͡s
dolnosorbsczi	d ɔ l n ɔ s ɔ r p s t͡ʃ i
dolëna	d ɔ l ɜ n a
domã	d ɔ m ã
domë	d ɔ m ɜ
domóm	d ɔ m w o m
dopiérze	d ɔ p j e r̝ ɛ
dosadzac	d ɔ s a d͡z a t͡s
dostac	d ɔ s t a t͡s
dostatk	d ɔ s t a t k
dotik	d ɔ t i k
dotëkac	d ɔ t ɜ k a t͡s
dotąd	d ɔ t ɔ̃ t
dowiedzec	d ɔ v j ɛ d͡z ɛ t͡s
dowód	d ɔ w o t
dowódca	d ɔ w o t t͡s a
doznac	d ɔ z n a t͡s
drapac	d r a p a t͡s
draszmaszina	d r a ʃ m a ʃ i n a
draszowac	d r a ʃ ɔ v a t͡s
drawòwac	d r a w ɛ v a t͡s
drewno	d r ɛ v n ɔ
drobic	d r ɔ b i t͡s
drobny	d r ɔ b n i
drodżi	d r ɔ d͡ʒ i
droga	d r ɔ ɡ a
drogã	d r ɔ ɡ ã
dromader	d r ɔ m a d ɛ r
drosel	d r ɔ s ɛ l
drożka	d r ɔ ʃ k a
drzewò	d r̝ ɛ w ɛ
drëch	d r ɜ x
drëdżi	d r ɜ d͡ʒ i
drëk	d r ɜ k
drëlich	d r ɜ l i x
drózd	d r o s t
drôbka	d r ɞ p k a
drąg	d r ɔ̃ k
duna	d u n a
durszlach	d u r ʃ l a x
duwa	d u v a
Duńskô	d u ɲ s k ɞ
dużi	d u ʒ i
dużo	d u ʒ ɔ
dwa	d v a
dwaj	d v a j
dwie	d v j ɛ
dwigac	d v i ɡ a t͡s
dwiérze	d v j e r̝ ɛ
dwùaktówka	d w u a k t o f k a
dwùkòłowi	d w u k w ɛ w ɔ v i
dydlowac	d i d l ɔ v a t͡s
dyper	d i p ɛ r
dze	d͡z ɛ
dzeckò	d͡z ɛ t͡s k w ɛ
dzecny	d͡z ɛ t͡s n i
dzecołapka	d͡z ɛ t͡s ɔ w a p k a
dzecã	d͡z ɛ t͡s ã
dzejac	d͡z ɛ j a t͡s
dzejôrz	d͡z ɛ j ɞ r̝
dzekòlwiek	d͡z ɛ k w ɛ l v j ɛ k
dzekón	d͡z ɛ k w o n
dzelëc	d͡z ɛ l ɜ t͡s
dzes	d͡z ɛ s
dzesãc	d͡z ɛ s ã t͡s
dzesąti	d͡z ɛ s ɔ̃ t i
dzewanna	d͡z ɛ v a n n a
dzewiãc	d͡z ɛ v j ã t͡s
dzewiãtnôsti	d͡z ɛ v j ã t n ɞ s t i
dzeło	d͡z ɛ w ɔ
dzub	d͡z u p
dzura	d͡z u r a
dzys	d͡z i s
dzysészi	d͡z i s e ʃ i
dzysô	d͡z i s ɞ
dzyw	d͡z i f
dzywny	d͡z i v n i
dzél	d͡z e l
dzélëczk	d͡z e l ɜ t͡ʃ k
dzélëk	d͡z e l ɜ k
dzéwczã	d͡z e f t͡ʃ ã
dzéwka	d͡z e f k a
dzéń	d͡z e ɲ
dzëb	d͡z ɜ p
dzëba	d͡z ɜ b a
dzëbôk	d͡z ɜ b ɞ k
dzëdzón	d͡z ɜ d͡z o n
dzëk	d͡z ɜ k
dzëwi	d͡z ɜ v i
dzëwic	d͡z ɜ v i t͡s
dzób	d͡z o p
dzôc	d͡z ɞ t͡s
déf	d e f
dél	d e l
dérowac	d e r ɔ v a t͡s
dëbelt	d ɜ b ɛ l t
dëcht	d ɜ x t
dër	d ɜ r
dërch	d ɜ r x
dërdest	d ɜ r d ɛ s t
dërdza	d ɜ r d͡z a
