aa	ɑː
Biaschtl	b̥ i ɐ ʃ d̥ l̩
biaschtln	b̥ i ɐ ʃ d̥ l̩ n
Biaschtn	b̥ i ɐ̯ ʃ d̥ n̩
biaschtn	b̥ i ɐ ʃ d̥ n̩
Bichsn	b̥ i ɡ̥ s n̩
bindn	b̥ i n d n̩
Birn	b̥ i ɐ n
Bistoin	b̥ i s t o i̯ n
bittschee	b̥ i d̥ ʃ eː
Bixn	b̥ i ɡ̥ s n̩
Blaaz	p l ɒː t s
blad	b̥ l ɑː d̥
Bladl	b̥ l aː d̥ l̩
blahn	b̥ l aː n
blau	b̥ l a ʊ̯
Bleame	b̥ l e̞ ɐ m ɛ
Bleaml	b̥ l e̞ ɐ m l̩
Bleampl	b̥ l e̞ ɐ m b̥ː l̩
blearn	b̥ l e ɐ̯ n
bleckn	b̥ l e kː ŋ̩
bleckn	b̥ l e kː ɐ
bled	b̥ l eː d̥
bled	b̥ l e̞ː d̥
Bledsinn	b̥ l eː d̥ s i n
Bledsinn	b̥ l e̞ː d̥ s i n
bleibn	b̥ l ɑ ɛ̯ m̩
bleibn	b̥ l æː m̩
Bleschl	b̥ l ɛ ʃ l̩
bliatn	b̥ l i ɐ̯ d̥ː n̩
Blitzgneißer	b̥ l i d̥ s ɡ̥ n ɑ ɛ̯ sː ɐ
Blitzgneißer	b̥ l i d̥ s ɡ̥ n æː sː ɐ
Blooz	p l ɔː t s
Blooz	p l oː t s
Bluat	b̥ l u ɐ d̥
Blutzer	b̥ l u d̥ s ɐ
blåsn	b̥ l ɔː s n̩
Blåz	b̥ l ɔː d̥ s
Blåz	b̥ l ɒː d̥ s
Blåz	b̥ l ɔː d̥ s
Blåz	b̥ l oː d̥ s
Boa	b̥ ɔ ɐ̯
Boarisch	b̥ o ɐ̯ r ɪ ʃ
Bock	b̥ o k
Boi	b̥ ɔ ɪ̯
boid	b̥ ɔ e d̥
Boin	b̥ ɔ̝ ɪ̯ n
Boschbot	b̥ o ʃ b̥ o d̥
brad	b̥ r ɑː d̥
brandln	b̥ r ɑ n d̥ l̩ n
brauchn	b̥ r ɑ ɔ̯ x ŋ
brauchn	b̥ r ɒː x ŋ
braun	b̥ r a ʊ̯ n
brenna	b̥ r e n ɐ
Briaf	b̥ r i ɐ f
bringa	b̥ r i ŋ ɐ
Brixn	b̥ ʀ ɪ k s n̩
broad	b̥ r ɔ ɐ̯ d̥
Brouda	b̥ r o u̯ d̥ ɐ
Bruada	b̥ r u ɐ̯ d̥ ɐ
Bruck	b̥ r u k
Bruckn	b̥ r u kː ŋ̩
Bruckn	b̥ r u k x ŋ̩
brunzln	b̥ r u n t͡s l̩ n
brunzn	b̥ r u n d̥ː s n̩
Brånd	b̥ r ɔ n d̥
Brånd	b̥ r ɒ̃ː n d̥
bschäftign	b̥ ʃ e̞ f d̥ i ɡ̥ ŋ̩
Bsteck	b̥ ʃ d̥ e ɡ̥
Bsteck	b̥ ʃ d̥ e̞ ɡ̥
Bsuach	b̥ s u ɐ̯ x
bsuachn	b̥ s u ɐ̯ x ŋ
bsuacht	b̥ s u ɐ̯ x d̥
Bsuf	b̥ s uː f
bsuffa	p s u fː ɐ
bsunder	b̥ s u n d̥ ɐ
bsunders	b̥ s u n d̥ ɐ s
Bua	b̥ u ɐ̯
Buach	b̥ u ɐ̯ x
Buam	b̥ u ɐ̯ m
Buama	b̥ u ɐ̯ m ɐ
Buchsn	b̥ u ɡ̥ s n̩
Buidl	b̥ u i̯ d̥ l̩
Buidl	b̥ u i̯ tː l̩
Burgamoasta	b u ɐ̯ ɡ̊ ɐ m o ɐ̯ sː d̥ ɐ
Burgamoasta	b u ɐ̯ ɡ̊ ɐ m o ɐ̯ sː d̥ ɐ
Burgermaster	b̥ u ɐ̯ ɡ̥ ɐ m ɑː s d̥ ɐ
Bursch	b̥ u ɐ̯ ʃ
Burtståg	b̥ u ɐ̯ d̥ s d̥ ɔ ɡ̥
Burzltåg	b̥ u ɐ̯ d̥ s l̩ d̥ ɔ ɡ̥
Buserer	b̥ u s ɐ r ɐ
Butta	b̥ u tː ɐ
Butta	b u t a
Buxn	b̥ u ɡ̥ s n̩
Bweis	b̥ v ɑ ɛ̯ s
Bweis	b̥ v æː s
båcha	b̥ ɒː x ɐ
båchn	b̥ ɔ x ŋ̩
Båd	b̥ ɔː d̥
Båhn	b̥ ɔː n
Båhn	b̥ ɒ̃ː n
båmstig	b̥ ɔ m s d̥ ɪ ɡ̥
båmstig	b̥ ɒ̃ m s d̥ ɪ ɡ̥
Bånd	b̥ ɔ n d̥
Bånd	b̥ ɒ̃ː n d̥
Bånk	b̥ ɔ ŋ k
Bånk	b̥ ɒ̃ː ŋ k
Bånkert	b̥ ɔ ŋ ɡ̥ ɐ d̥
Bånkert	b̥ ɒ̃ ŋ ɡ̥ ɐ d̥
Bårt	b̥ ɔ ɐ̯ d̥
böckln	b̥ e̞ ɡ̥ː l̩ n
böcklt	b̥ ɛ ɡ̥ l d̥
Büd	b̥ yː d̥
büllich	b̥ y l i ç
Büllichsduafer	b̥ y l i ç s d̥ u ɐ f ɐ
büsln	b̥ yː s l̩ n
d'Ehre	d̥ e ɐ̯ r ɛ
daad	d̥ aː d̥
daaß	d̥ aː s
Dackn	d̥ ɑ ɡ̥ː ɴ̩
dad	d̥ aː d̥
daham	d̥ ɑ h ɑː m
dahoam	d̥ ɑ h ɔ ɐ̯ m
Dam	d̥ ɑː m
Damenradl	d̥ ɑː m ɐ n r ɑː d̥ l̩
damisch	d̥ ɑˑ m i ʃ
daß	d̥ aː s
Daubn	d̥ a u̯ m
dauna	d̥ ɑ ɔ̯ n ɐ
dauna	d̥ ɒ̃ː n ɐ
daune	d̥ ɑ ɔ̯ n ɛ
daune	d̥ ɒ̃ː n ɛ
dauni	d̥ ɑ ɔ̯ n i
dauni	d̥ ɒ̃ː n i
dawei	d̥ ɐ v ɑ ɛ̯
dawäu	d̥ ɐ v ɶː
deafn	d̥ e̞ ɐ̯ f n̩
Deansdåg	d̥ ɛ ɐ̯ n s d̥ ɔ ɡ̥
dearisch	d̥ ɛ r i ʃ
dei	d̥ ɑ ɛ̯
dei	d̥ æː
Deife	d̥ a ɛ̯ f ɛ
Deife	d̥ æː f œ
deiner	d̥ ɑ ɛ̯ n ɐ
deiner	d̥ æː n ɐ
deitn	d̥ ɑ ɛ̯ d̥ː n̩
deitn	d̥ æː d̥ː n̩
deitsch	d̥ a i̯ t͡ʃ
Deitschland	d̥ a i̯ t͡ʃ l ɒ n d̥
Della	d̥ ɛ l ɐ
denkn	d̥ e ŋ ɡ̥ː ŋ
denkn	d̥ e̞ ŋ kˣː n̩
denkt	d̥ e ŋ ɡ̥ː d̥
deppert	d̥ ɛ b̥ː ɐ d̥
derfa	d̥ e ɐ̯ fː ɐ
derfn	d̥ e ɐ̯ fː ɱ̩
derglengan	d̥ ɐ ɡ̥ l e̞ ŋ ɐ n
derisch	d̥ ɛ r i ʃ
derstessn	d̥ ɐ ʃ d̥ ɛ sː n̩
derwischn	d̥ ɐ v i ʃ n̩
derwoatn	d̥ ɐ v ɔ ɐ̯ d̥ n̩
derzöhn	d ɐ d̥ s œː n
des	d eː s
Deschek	d̥ e̞ ʃ e̞ k
dia	d̥ i ɐ̯
Dia	d̥ iː ɐ̯
diafn	d̥ i ɐ̯ f n̩
Dichter	d i ç t a
Diensdåg	d̥ i n s d̥ ɔ ɡ̥
Dillo	d̥ ɪ l o
Disch	d̥ iː ʃ
Disch	d̥ i ʃː
do	d̥ oː
do	d̥ ɔː
doa	d̥ o ɐ̯
Dodl	d̥ oː d l̩
dodln	d̥ oː d l̩ n
Dokta	d̥ o k t ɐ
dort	d̥ o ɐ̯ t
dort	d̥ o r t
dort	d̥ u ɐ̯ t
dortn	d̥ ɔ ɐ d̥ː n̩
dou	d̥ ɔ u̯
drahn	d̥ r aː n
Dram	d̥ r aː m
dramhappert	d̥ r ɑː m h ɑ b̥ː ɐ t
dramma	d̥ r a m ɐ
draußt	d̥ r ɒː s t
dreckert	d̥ r e̞ ɡ̥ː ɐ d̥
Dreg	d̥ r eː ɡ̊
Dreg	d̥ r ɛː ɡ̊
drei	d̥ r ɑ ɛ̯
drei	d̥ r æː
Dreier	d̥ r ɑ ɛ̯ ɐ
Dreier	d̥ r æː ɐ
Dreiradl	d̥ r ɑ ɛ̯ r ɑː d̥ l̩
Dreiradl	d̥ r æː r ɑː d̥ l̩
dringa	d̥ r i ŋ ɐ
drobn	d̥ r oː m
druckn	d̥ r u ɡ̥ː ŋ̩
Duaf	d̥ u ɐ f
duart	d̥ u ɐ̯ t
duatn	d̥ ʊ ɐ d̥ː n̩
dumper	d̥ u m b̥ː ɐ
Dunnersdåg	d̥ u n ɐ s d̥ ɔ ɡ̥
Durscht	d̥ u ɐ̯ ʃ d̥
durtn	d̥ ʊ ɐ d̥ː n̩
då	d̥ ɔː
Dåch	d̥ ɔ χ
Dåg	d̥ ɔː ɡ̊
Dåg	t ɔ k
Dåmpf	d̥ ɔ m b̥ f
Dåmpf	d̥ ɒ̃ m b̥ f
Dåmpfnudl	d̥ ɔ m b̥ f n u d l̩
Dånk	d̥ ɔ ŋ k
Dånk	d̥ ɒ̃ ŋ k
dånkn	d̥ ɔ ŋ ɡ̥ ɴ̩
dånkn	d̥ ɒ̃ ŋ ɡ̥ ɴ̩
dånkschee	d̥ ɔ ŋ ɡ̥ ʃ eː
dånkschee	d̥ ɒ̃ ŋ ɡ̥ ʃ eː
Dånkschee	d̥ ɔ ŋ ɡ̥ ʃ eː
Dånkschee	d̥ ɒ̃ ŋ ɡ̥ ʃ eː
dåss	d ɔ s
eahm	e ɐ̯ m
eahna	e ɐ̯ n ɐ
Eck	e̞ ɡ̥ː
Eckn	e̞ ɡ̥ː ŋ
eich	a i̯ ç
Eidruck	ɑ ɛ̯ d̥ r u ɡ̥ː
Eidruck	æː d̥ r u ɡ̥ː
Eier	a ɛ̯ ɐ
Eier	æː ɐ
Eierschas	ɑ ɛ̯ ɐ ʃ ɑː s
Eierschas	æː ɐ ʃ ɑː s
Eierschwammerl	ɑ ɛ̯ ɐ ʃ v ɑ m ɐ l
Eierspeis	ɑ ɛ̯ ɐ ʃ b̥ ɑ ɛ̯ s
Eierspeis	æː ɐ ʃ b̥ æː s
eifoarn	ɑ ɛ̯ f ɔ ɐ n
eifoarn	æː f ɔ ɐ n
eifühn	ɑ ɛ̯ f yː n
eifühn	æː f yː n
eifün	ɑ ɛ̯ f yː n
eifün	æː f yː n
eina	a i̯ n ɐ
eina	a ɛ̯ n ɐ
eina	a ɛ̯ n ɐ
eina	æː n ɐ
einahn	a ɪ̯ n ɑː n
einahn	a ɛ̯ n ɑː n
einahn	æː n ɑː n
eine	a ɛ̯ n ɛ
eine	æː n ɛ
einedrahn	ɑ ɛ n ɛ d̥ r ɑː n
einedrahn	æː n ɛ d̥ r ɑː n
Einedrahrer	ɑ ɛ n ɛ d̥ r ɑː r ɐ
Einedrahrer	æː n ɛ d̥ r ɑː r ɐ
einfoarn	ɑ ɛ̯ f ɔ ɐ n
einfoarn	æː f ɔ ɐ n
eini	a i̯ n i
eini	a ɛ̯ n i
eireißn	a ɪ̯ r a ɪ̯ s n̩
eireißn	a ɛ̯ r a ɛ̯ s n̩
eireißn	æː r æː s n̩
eischlåfn	ɑ ɛ̯ ʃ l ɔ f ɱ̩
eischlåfn	æː ʃ l ɔ f ɱ̩
eisoizn	ɑ ɛ̯ s ɔ e̯ d̥ s n̩
eisoizn	æː s ɔ e̯ d̥ s n̩
ejf	ɛ e f
Ellabogn	e̞ l ɐ b̥ o̞ː ŋ
enk	e ŋ k
enterisch	e̞ n d̥ː ɐ r i ʃ
entrisch	e̞ n d̥ː r i ʃ
entsoizn	e n d̥ s ɔ e̯ d̥ s n̩
Epfe	e̞ b̥ː f œ
er	e ɐ̯
Erd	e̞ ɐ̯ d̥
Erdepfe	e̞ ɐ d̥ e̞ b̥ː f œ
Erdn	e̞ ɐ̯ d̥ n̩
Erdåpfe	e̞ ɐ d̥ ɔ b̥ː f œ
erfün	ɛ ɐ̯ f yː n
Erzherzog	eː ɐ̯ t͡s h eː ɐ̯ t͡s ɔ k
Esl	eː s l̩
Esl	iː s l̩
Esl	i ɐ̯ s l̩
eß	e s
essn	e sː n̩
essn	ɛ sː n̩
Estareich	e s d̥ ɐ r a i̯ ç
fad	f ɑː d̥
Famülie	f ɑ m y l j ɛ
Feier	f ɑ ɛ̯ ɐ
Feier	f ɶː ɐ
Feier	f æː ɐ
Feier	f ɑ ɛ̯ ɐ
Feier	f æː ɐ
Feitl	f a ɪ̯ t l̩
Feitl	f a ɪ̯ d̥ l̩
Feitl	f a ɛ̯ t l̩
Feitl	f a ɛ̯ d̥ l̩
Feitl	f æː t l̩
Feitl	f æː d̥ l̩
Ferschn	f e̞ ɐ̯ ʃ n̩
Fetzn	f e̞ˑ d̥ s n̩
Fetznschedl	f e t͡s n̩ ʃ eː d l̩
fia	f i ɐ̯
fiachtn	f i ɐ x d̥ n̩
fiara	f iː ɐ̯ r ɐ
fiare	f iː ɐ̯ r ɛ
fiari	f iː ɐ̯ r i
fiarn	f i ɐ̯ n
fimf	f i m f
Fimfer	f i ɱ f ɐ
findn	f i n d n̩
Finfer	f i ɱ f ɐ
Fisch	f iː ʃ
Fisch	f i ʃː
Fisch	f i ʃ
fischln	f i ʃ l̩ n
flauchn	f l ɑ ɔ x ŋ̩
flauchn	f l ɒː x ŋ̩
Fleischpflanzerl	f l a ɪ̯ ʃ b̥ f l a n t͡s ɐ l
Fleischpflanzl	f l a ɪ̯ ʃ b̥ f l a n t͡s l̩
fliagn	f l i ɐ̯ ŋ
Fliagn	f l i ɐ̯ ŋ
Fligl	f l iː ɡ̊ l̩
Fligl	f l i ɐ̯ ɡ̊ l̩
flåch	f l ɔ χ
Flåschn	f l ɔ ʃ n̩
Foam	f o ɐ̯ m
Foam	f o ɐ̯ m
Foam	f o ɐ̯ m
Foarb	f o ɐ̯ b̥
Foarb	f ɒː b̥
foarn	f ɔ ɐ̯ n
Foarradl	f ɔ ɐ̯ r ɑː d̥ l̩
Foi	f ɔ e
foign	f ɔ e ɡ̥ ŋ̩
foin	f ɔ e n
fois	f ɔ e s
foitn	f ɔ e d̥ː n̩
Fotz	f o t͡s
Fotzn	f o t͡s n̩
fotzn	f o t͡s n̩
Fouß	f o u̯ s
Freid	f r ɑ ɛ̯ d̥
Freid	f r æː d̥
Freida	f r a ɪ̯ d̥ ɐ
Freidåg	f r ɑ ɛ̯ d̥ ɔ ɡ̥
fressn	f r e sː n̩
fressn	f r ɛ sː n̩
friah	f r i ɐ̯
Frosch	f r oː ʃ
Frosch	f r uː ʃ
Frosch	f r u ɐ̯ ʃ
Frosch	f r o ʃ
Fruah	f r u ɐ̯
fruah	f r u ɐ̯
Fruahjoahr	f r u ɐ̯ j ɔ ɐ̯
Fruahjåar	f r u ɐ̯ j ɔ ɐ̯
Fruahjåhr	f r u ɐ̯ j ɔ a̯
Fråg	f r ɔː ɡ̥
frågn	f r ɔː ŋ
frånk	f r ɒ̃ ŋ k
frånk	f ʁ ɒ̃ ŋ k
Fuaß	f u ɐ̯ s
Fuim	f u e m
Fut	f u t
fäuln	f ɶː n
fånga	f ɒ ŋ ɐ
fånga	f ɔ ŋ ɐ
fångan	f ɔ ŋ ɐ n
fångan	f ɒ̃ ŋ ɐ n
fön	f œː n
fühn	f yː n
Fühn	f yː n
Füm	f yː m
fün	f yː n
Fün	f yː n
gach	ɡ̥ ɑː χ
Gachn	ɡ̥ ɑː x ŋ
Gacki	ɡ̥ ɑ ɡ̥ː i
Gatsch	ɡ̥ ɑ d̥ ʃ
gatschn	ɡ̥ ɑ d̥ ʃ n̩
Gatschn	ɡ̥ ɑ d̥ ʃ n̩
gatscht	ɡ̥ ɑ d̥ ʃ d̥
gebn	ɡ̥ eː m
Gedånke	ɡ̥ e̞ d̥ ɔ ŋ ɡ̥ː ɛ
Gedånke	ɡ̥ e̞ d̥ ɒ̃ː ŋ ɡ̥ː ɛ
geh	ɡ̊ eː
geh	ɡ̊ ɛ
geh	ɡ̊ ɛː
gejb	ɡ̊ ɛ i̯ b̥
Gejd	ɡ̥ e̞ʲ d̥
gemma	ɡ̥ ɛ m ɐ
Germ	ɡ̥ e̞ ɐ̯ m
Germknedl	ɡ̥ e̞ ɐ̯ m k n e̞ d l̩
Geschroa	k ʃ r o ɐ̯
gflogn	ɡ̥ f l oː ŋ
gfoin	ɡ̥ f ɔ e n
Gfrast	ɡ̥ f r ɑ s t
gfrein	ɡ̥ f r ɑ ɛ̯ n
gfrein	ɡ̥ f r æː n
Gfries	ɡ̥ f r iː s
Gfrieß	ɡ̥ f r iː s
gfäult	ɡ̥ f ɶː d̥
Gfüh	ɡ̥ f yː
ghabt	ɡ̊ h ɒ b̥ t
ghearn	kʰ e̞ ɐ̯ n
ghoidn	kʰ ɔ e̯ d n̩
giftln	ɡ̥ i f d̥ l̩ n
glabn	ɡ̊ l aː m
Glander	ɡ̥ l ɑ n d̥ ɐ
Glaserl	ɡ̥ l aː s ɐ l
Glaserl	ɡ̥ l a s ɐ l
glaubn	ɡ̥ l ɑ ɔ̯ m
glaubn	ɡ̥ l ɒ̃ː m
glei	ɡ̥ l ɑ ɛ̯
glei	ɡ̥ l æː
gleich	ɡ̥ l ɑ ɛ̯ ç
gleich	ɡ̥ l æː ç
Glick	ɡ̥ l i ɡ̥
Glockn	ɡ̥ l o̞ k ŋ
Glumpert	ɡ̥ l u m b̥ː ɐ t
Glurn	ɡ̥ l uː ɐ n
Glurn	ɡ̥ l u ɐ n
glånga	ɡ̊ l ɒ ŋ ɐ
glånga	ɡ̊ l ɔ ŋ ɐ
Gmias	ɡ̥ m i ɐ̯ s
Gmoa	ɡ̊ m o ɐ̯
Gnack	ɡ̥ n ɑ k
Gneißer	ɡ̥ n ɑ ɛ̯ sː ɐ
Gneißer	ɡ̥ n æː sː ɐ
gneißn	ɡ̥ n ɑ ɛ̯ s n̩
gneißn	ɡ̥ n æː s n̩
gnua	ɡ̥ n u ɐ
goaschtig	ɡ̥ ɔ ɐ̯ ʃ d̥ i k
Goaß	ɡ̊ o ɐ̯ s
Goatn	ɡ̥ ɔ ɐ d̥ː n̩
Goid	ɡ̥ o e d̥
Goschn	ɡ̥ o̞ ʃ n̩
grantig	ɡ̥ r ɑ n t ɪ k
grantln	ɡ̥ r ɑ n d̥ː l̩ n
grau	ɡ̊ r a ʊ̯
grea	ɡ̊ r e ɐ̯
Greibl	ɡ̥ r ɑ ɛ̯ β ɛ
Greibl	ɡ̥ r æː β ɛ
greißlich	ɡ̥ r ɑ ɛ̯ s l i ç
greißlich	ɡ̥ r æː s l i ç
Grenz	ɡ̥ r e̞ n d̥ s
Gretzn	ɡ̥ r e d̥͡s n̩
Grewecherl	ɡ̥ r e̞ v e̞ ç ɐ l
Grewegerl	ɡ̥ r e̞ v e̞ ɡ̥ ɐ l
Griaß	ɡ̥ r i ɐ s
griaßlert	ɡ̥ r i ɐ s l ɐ d̥
griaßn	ɡ̥ r i ɐ̯ s n̩
grindig	ɡ̥ r i n d i ɡ̥
Griss	ɡ̥ r i s
groß	ɡ̊ r ɔ u̯ s
groß	ɡ̊ r o u̯ s
groß	ɡ̊ r oː s
groß	ɡ̊ r ɔ ɐ̯ s
Grätzn	ɡ̥ r e̞ː t͡s n̩
Grås	ɡ̊ r ɔː s
Grås	ɡ̊ r ɒː s
Grås	ɡ̊ r ɔː s
Grås	ɡ̊ r oː s
Grü	ɡ̥ r yː
grün	ɡ̥ r yː n
Grün	ɡ̥ r yː n
Gschaftlhuber	ɡ̥ ʃ ɑ f t l̩ h u̯ ɐ b̥ ɐ
Gschaftlhuber	ɡ̥ ʃ ɑ f t l̩ h u̯ ɐ v ɐ
Gschaftlhuber	ɡ̥ ʃ ɑ f t l̩ h u̯ ɐ β ɐ
gschamig	ɡ̥ ʃ ɑː m i ɡ̥
gschamt	ɡ̥ ʃ ɑː m d̥
gschegn	ɡ̥ ʃ e̞ ŋ
gschehn	k ʃ e̞ː n
gschehn	k ʃ e̞ː ŋ
gscheid	ɡ ʃ a ɪ̯ t
Gscheidwaschl	ɡ̥ ʃ a ɪ̯ d̥ v a ʃ l̩
Gscheidwaschl	ɡ̥ ʃ a ɛ̯ d̥ v a ʃ l̩
Gscheidwaschl	ɡ̥ ʃ æː d̥ v a ʃ l̩
Gscheitscheißer	ɡ̥ ʃ a ɪ̯ d̥ ʃ a ɪ̯ s ɐ
Gscheitscheißer	ɡ̥ ʃ a ɛ̯ d̥ ʃ a ɛ̯ s ɐ
Gscheitscheißer	ɡ̥ ʃ æː d̥ ʃ a ɛ̯ s ɐ
Gschicht	k ʃ i x d̥
gschissn	ɡ̥ ʃ ɪ s n̩
Gschmåckn	ɡ̥ ʃ m ɔ ɡ̥ː ŋ
Gschnas	ɡ̥ ʃ n ɑː s
gschnidn	ɡ̥ ʃ n iː d̥ː n̩
Gschråpp	ɡ̥ ʃ r ɔ p
gschupft	ɡ̥ ʃ u b̥ f d̥
gschwind	ɡ̥ ʃ v i n d̥
Gschäft	ɡ̥ ʃ e̞ f d̥
Gsetz	ɡ̥ s e̞ː d̥ s
Gsicht	k͡s i ç d̥
Gsichter	k͡s i ç d̥ ɐ
Gsichtern	k͡s i ç d̥ ɐ n
gspickt	ɡ̥ ʃ b̥ ɪ ɡ̥ d̥
Gspiebanes	ɡ̥ ʃ b̥ iː b̥ ɐ n ɛ s
gspiebm	ɡ̥ ʃ b̥ iː m
Gsteaml	ɡ̥ ʃ d̥ e̞ ɐ m l̩
gstinkert	ɡ s c h d i n ɡ à d
Gstoit	ɡ̥ ʃ d̥ ɔ e t
Gstättn	ɡ̥ ʃ d̥ e̞ d̥ː n̩
Gstö	ɡ̥ ʃ d̥ œː
gsund	ɡ̥ s u n d̥
guad	ɡ̥ u ɐ̯ d̥
Gugerschecken	ɡ̥ u ɡ̥ ɐ ʃ e ɡ̥ː ŋ̩
gunnan	ɡ̥ u n ɐ n
Gurkn	ɡ̥ u ɐ̯ ɡ̥ː ɴ̣
gusch	ɡ̥ uˑ ʃ
gusch	ɡ̥ uː ʃ
Guster	ɡ̥ u s d̥ ɐ
Gusto	ɡ̥ u s d̥ o
Gwahr	ɡ̊ ʋ aː
Gwahr	ɡ̊ ʋ aː r
Gweb	ɡ̥ v e̞ː b̥
gwen	ɡ̊ β eː n
Gwicht	ɡ̥ v i ç d̥
Gwirks	ɡ̥ v ɪ ɐ̯ k s
Gwoit	ɡ̥ v ɔ e d̥
gwåmpert	ɡ̥ v ɔ m b̥ː ɐ d̥
gwåmpert	ɡ̥ v ɒ̃ m b̥ː ɐ d̥
Gwånd	ɡ̥ v ɔ n d̥
Gwånd	ɡ̥ v ɒ̃ n d̥
Gäid	ɡ̥ e̞ʲ d̥
Gåatn	ɡ̥ ɔ ɐ̯ d̥ː n̩
Gåbl	ɡ̊ ɔː ʋ l̩
Gåbl	ɡ̊ ɔː ʋ e
Gåbl	ɡ̊ oː b̥ l̩
Gång	ɡ̥ ɔ ŋ
Gång	ɡ̥ ɒ̃ː ŋ
Gåns	ɡ̥ ɔ n s
Gåns	ɡ̥ ɒ̃ n s
gånz	ɡ̥ ɔ n d̥ s
gånz	ɡ̥ ɒ̃ n d̥ s
Gårtn	ɡ̥ ɔ ɐ̯ d̥ː n̩
