अ	ʌ
गाई	ɡ ä i̯
गाउँ	ɡ ä̃ ũ̯
गाउनु	ɡ ä u̯ n u
गाऊ	ɡ ä u̯
गाजर्	ɡ ä d z ʌ r
गाडा	ɡ ä ɽ ä
गाढा	ɡ ä ɽ ä
गाली	ɡ ä l i
गाविस	ɡ ä b i s ʌ
गाविसहरू	ɡ ä b i s ʌ ɦ ʌ ɾ u
गाह्रो	ɡ ä ɾ o
गीत	ɡ i t̪
गीलो	ɡ i l o
गु	ɡ u
गुगल	ɡ u ɡ̞ ʌ l
गुजराती	ɡ u d z r ä t̪ i
गुणसूत्र	ɡ u ɽ̃ ʌ s u t̪ r ʌ
गुनासो	ɡ u n ä s o
गुफा	ɡ u ɸ ä
गुरु	ɡ u ɾ u
गुलाफी	ɡ u l ä ɸ i
गुलाबी	ɡ u l ä b i
गुलाम	ɡ u l ä m
गुलियो	ɡ u l i j o
गुहु	ɡ u
गुहु	ɡ uː
गुहु	ɡ ṳː
गू	ɡ u
गूगल	ɡ u ɡ̞ ʌ l
गैँडा	ɡ ʌ̃ ĩ̯ ɽ ä
गैंडा	ɡ ʌ̃ ĩ̯ ɽ ä
गोटी	ɡ o ʈ i
गोडा	ɡ o ɽ ä
गोदावरी	ɡ o d̪ ä w ʌ ɾ i
गोर्खा	ɡ o r kʰ ä
गोलो	ɡ o l o
गौँत	ɡ ʌ̃ ũ̯ t̪
ग्यार	ɡ j ä r ʌ
ग्रह	ɡ r ʌ̤ː
ग्रीष्म	ɡ r i s m ʌ
घ	ɡʱ ʌ̤
घंटा	ɡʱ ʌ̤ ɳ ʈ ä
घडी	ɡʱ ʌ̤ ɽ i
घण्टा	ɡʱ ʌ̤ ɳ ʈ ä
घन्टा	ɡʱ ʌ̤ ɳ ʈ ä
घर	ɡʱ ʌ̤ r
घर	ɡʱ ʌ̤ ɾ ʌ
घाँस	ɡʱ ä̤̃ s
घाइते	ɡʱ ä̤ i̯ t̪ e
घाउ	ɡʱ ä̤ u̯
घाम	ɡʱ ä̤ m
घिच्नु	ɡʱ i̤ t͡s n u
घुर्नु	ɡʱ ṳ r n u
घूस	ɡʱ ṳ s
घोट्नु	ɡʱ o̤ ʈ ɳ u
घोडा	ɡʱ o̤ ɽ ä
घोप्नु	ɡʱ o̤ p n u
घोराही	ɡʱ o̤ ɾ ä i̯
घोरिनु	ɡʱ o̤ ɾ i n u
ङ	ŋ ʌ
च	t͡s ʌ
चउन्न	t͡s ʌ u̯ nː ʌ
चक	t͡s ʌ k
चकटी	t͡s ʌ k ʌ ʈ i
चक्का	t͡s ʌ k̚ k ä
चक्कु	t͡s ʌ k̚ k u
चढ्नु	t͡s ʌ ɽ ɳ u
चन्द्र	t͡s ʌ n̪ d̪ r ʌ
चन्द्रमा	t͡s ʌ n̪ d̪ r ʌ m ä
चपोरा	t͡s ʌ p o ɾ ä
चरप्प	t͡s ʌ ɾ ʌ p̚ p ʌ
चरा	t͡s ʌ ɾ ä
चराउनु	t͡s ʌ ɾ ä u̯ n u
चर्	t͡s ʌ r
चर्नु	t͡s ʌ r n u
चलचित्र	t͡s ʌ l̻ t͡s i t̪ r ʌ
चलन	t͡s ʌ l ʌ n
चल्नु	t͡s ʌ l n u
चवालीस	t͡s ʌ w ä l i s
चश्मा	t͡s ʌ s m ä
चस्मा	t͡s ʌ s m ä
चाईं	t͡s ä ĩ̯
चाख	t͡s ä k̞ʰ
चाख्नु	t͡s ä k̞ʰ n u
चाट	t͡s ä ʈ
चार	t͡s ä r
चारवटा	t͡s ä r ‿ w ʌ ʈ ä
चालीस	t͡s ä l i s
चाहनु	t͡s ä̤ː n u
चाहिँ	t͡s ä ĩ̯
चाहिएमा	t͡s ä i̯ e m ä
चाहिनु	t͡s ä i̯ n u
चिउरा	t͡s i u̯ ɾ ä
चिक	t͡s i k ʌ
चिक्	t͡s i k
चिक्नु	t͡s i k n u
चिज	t͡s i d z
चिठि	t͡s i ʈʰ i
चिठी	t͡s i ʈʰ i
चिठी	t͡s i ʈ̚ ʈʰ i
चिडी	t͡s i ɽ i
चिताउनु	t͡s i t̪ ä u̯ n u
चित्त	t͡s i t̪̚ t̪ ʌ
चित्र	t͡s i t̪ r ʌ
चिनी	t͡s i n i
चिन्नु	t͡s i nː u
चिया	t͡s i j ä
चिसो	t͡s i s o
चीज	t͡s i d z
चीन	t͡s i n
चीनियाँ	t͡s i n i j ä̃
चुरोट	t͡s u ɾ o ʈ
चुस्नु	t͡s u s n u
चैत	t͡s ʌ i̯ t̪
चैत्र	t͡s ʌ i̯ t̪ r ʌ
चोक	t͡s o k
चोर	t͡s o r
चोर	t͡s o ɾ ʌ
चोर्नु	t͡s o r n u
चौँतीस	t͡s ʌ̃ ũ̯ t̪ i s
चौंतीस	t͡s ʌ̃ ũ̯ t̪ i s
चौका	t͡s ʌ u̯ k ä
चौतारी	t͡s ʌ u̯ t̪ ä ɾ i
चौध	t͡s ʌ u̯ d̪ ʌ
चौबीस	t͡s ʌ u̯ b i s
चौरत्तर	t͡s ʌ u̯ ɾ ʌ t̪̚ t̪ ʌ r
चौरानब्बे	t͡s ʌ u̯ ɾ ä n ʌ b̚ b e
चौरासी	t͡s ʌ u̯ ɾ ä s i
चौवन्न	t͡s ʌ u̯ w ʌ nː ʌ
चौसठ्ठी	t͡s ʌ u̯ s ʌ ʈʰ ʈʰ i
चौहत्तर	t͡s ʌ u̯ ʌ t̪̚ t̪ ʌ r
छ	t͡sʰ ʌ
छक्का	t͡sʰ ʌ k̚ k ä
छक्क्याउनु	t͡sʰ ʌ k̚ k j ä u̯ n u
छडी	t͡sʰ ʌ ɽ i
छत्तीस	t͡sʰ ʌ t̪̚ t̪ i s
छन्	t͡sʰ ʌ n
छपन्न	t͡sʰ ʌ p ʌ nː ʌ
छप्पन्न	t͡sʰ ʌ p̚ p ʌ nː ʌ
छब्बीस	t͡sʰ ʌ b̚ b i s
छयत्तर	t͡sʰ ʌ e t̪̚ t̪ ʌ r
छयसट्ठी	t͡sʰ ʌ e s ʌ ʈ̚ ʈʰ i
छयानब्बे	t͡sʰ ʌ j ä n ʌ b̚ b e
छयालीस	t͡sʰ ʌ j ä l i s
छयासी	t͡sʰ ʌ j ä s i
छल्नु	t͡sʰ ʌ l n u
छहत्तर	t͡sʰ ʌ̤ː t̪̚ t̪ ʌ r
छाउपडी	t͡sʰ ä u̯ p ʌ ɽ i
छाना	t͡sʰ ä n ä
छानो	t͡sʰ ä n o
छान्नु	t͡sʰ ä nː u
छाहारि	t͡sʰ ä̤ː r i
छिटो	t͡sʰ i ʈ o
छिट्टो	t͡sʰ i ʈ̚ ʈ o
छिन	t͡sʰ i n
छिन	t͡sʰ i n ʌ
छिनो	t͡sʰ i n o
छिमेकी	t͡sʰ i m e k i
छुँ	t͡sʰ ũ
छुट्टाउनु	t͡sʰ u ʈ̚ ʈ ä u̯ n u
छुट्ट्याउनु	t͡sʰ u ʈ̚ ʈ j ä u̯ n u
छुट्नु	t͡sʰ u ʈ ɳ u
छुनु	t͡sʰ u n u
छुर्पी	t͡sʰ u r p i
छेत्रिनी	t͡sʰ e t̪ r i n i
छेत्री	t͡sʰ e t̪ r i
छैंसठ्ठी	t͡sʰ ʌ̃ ĩ̯ s ʌ ʈʰ ʈʰ i
छैन	t͡s ʌ i̯ n ʌ
छैनौ	t͡sʰ ʌ i̯ n ʌ u̯
छोग्याल	t͡sʰ o ɡ̞ j ä l
छोटो	t͡sʰ o ʈ o
छोप्नु	t͡sʰ o p n u
छोरा	t͡sʰ o ɾ ä
छोरी	t͡sʰ o ɾ i
छोरो	t͡sʰ o ɾ o
छोल	t͡sʰ o l ʌ
छोल्	t͡sʰ o l
छोल्नु	t͡sʰ o l n u
छौ	t͡sʰ ʌ u̯
ज	d͡z ʌ
जग्गा	d͡z ʌ ɡ̞ ɡ ä
जङ्गल	d͡z ʌ ŋ ɡ ʌ l
जनकपुर	d͡z ʌ n ʌ k̚ p u r
जनसंख्या	d͡z ʌ n ʌ s ʌ ŋ kʰ j ä
जनसङ्ख्या	d͡z ʌ n ʌ s ʌ ŋ kʰ j ä
जना	d͡z ʌ n ä
जनावर	d͡z ʌ n ä w ʌ r
जन्मदिन	d͡z ʌ n m ʌ d̪ i n
जमिन	d͡z ʌ m i n
जमिनदार	d͡z ʌ m i n̪ d̪ ä r
जमिन्दार	d͡z ʌ m i n̪ d̪ ä r
जमीन	d͡z ʌ m i n
जमीनदार	d͡z ʌ m i n̪ d̪ ä r
जम्नु	d͡z ʌ m n u
जम्मा	d͡z ʌ mː ä
जरा	d͡z ʌ ɾ ä
जरूर	d͡z ʌ ɾ u r
जरूरी	d͡z ʌ ɾ u r i
जरो	d͡z ʌ ɾ o
जर्मनी	d͡z ʌ r m ʌ n i
जल	d͡z ʌ l
जल्नु	d͡z ʌ l n u
जसको	d͡z ʌ s k o
जसमा	d͡z ʌ s m ä
जसलाई	d͡z ʌ s l ä i̯
जसले	d͡z ʌ l l e
जसले	d͡z ʌ s l e
जहाँ	d͡z ä̃ː
जहाँ	d͡z ä̆ ɦ ä̤̃
जहाज	d͡z ä̤ː d z
जा	d͡z ä
जाँः	d͡z ä̤̃ː
जाँच्नु	d͡z ä̃ t͡s n u
जाँठो	d͡z ä̃ ʈʰ o
जाऊ	d͡z ä u̯
जाडो	d͡z ä ɽ o
जाति	d͡z ä t̪ i
जानु	d͡z ä n u
जान्नु	d͡z ä nː u
जामुनी	d͡z ä m u n i
जिउनु	d͡z i u̯ n u
जिब्रो	d͡z i b r o
जिल्ला	d͡z i l l ä
जिल्लाका	d͡z i l l ä k ä
जिल्लाको	d͡z i l l ä k o
जिल्लाहरू	d͡z i l l ä ‿ ɦ ʌ ɾ u
जी	d͡z i
जीउ	d͡z i u̯
जीवनी	d͡z i b ʌ n i
जुँगा	d͡z u ŋ ɡ ä
