Adam	á d̪ à m
alakpadada	à l à k͡p à d̪ à d̪ à
alakpatɔ	à l à k͡p à t̪ ɔ́
alẽnɔ	à l ẽ́ n̪ ɔ̀
alẽnɔ	à l ẽ́ n̺ ɔ̀
amatsi	à m à t͡ʃ ì
amegbetɔ	à m è ɡ͡b è t̪ ɔ́
amenuveve	à m è n̪ ú v͈ è v͈ è
amenuveve	à m è n̺ ú v͈ è v͈ è
anyidi	à ɲ í d̪ ì
anyimlɔxɔ	à ɲ í m l ɔ́ x ɔ̀
anyimlɔxɔ	à ɲ í m l̃ ɔ́ x ɔ̀
anyitsi	à ɲ í t͡ʃ ì
anyĩtsi	à ɲ ĩ́ t͡ʃ ì
asi	à ʃ ì
asi	à ʃ í
asieke	à ʃ í é k è
asiekelia	à ʃ í é k è l ì á
asitsala	à ʃ ì t͡s à l á
ati	à t̪ í
atike	à t̪ í k è
atikewɔla	à t̪ í k è w ɔ̀ l á
atikewɔƒe	à t̪ í k è w ɔ̀ ɸ é
atikutsetse	à t̪ í k ú t͡s é t͡s é
atsiaƒu	à t͡ʃ í á ɸ ú
atukpa	à t̪ ù k͡p á
atɔ	à t̪ ɔ̀
atɔtɔ	à t̪ ɔ́ t̪ ɔ́
atɔ̃	à t̪ ɔ̃́
avu	à v͈ ǔ
avulela	à v͈ ù l é l á
avulenu	à v͈ ù l é n̪ ù
avulenu	à v͈ ù l é n̺ ù
avunɔ	à v͈ ǔ n̪ ɔ̀
avunɔ	à v͈ ǔ n̺ ɔ̀
awu	à w ù
aŋutrɔ	à ŋ ù t̪ ɾ ɔ̀
aŋutrɔ	à ŋ ù t̪ ɾ̃ ɔ̀
aŋutrɔdada	à ŋ ù t̪ ɾ ɔ́ d̪ à d̪ à
aŋutrɔdada	à ŋ ù t̪ ɾ̃ ɔ́ d̪ à d̪ à
aŋutrɔdala	à ŋ ù t̪ ɾ ɔ́ d̪ à l á
aŋutrɔdala	à ŋ ù t̪ ɾ̃ ɔ́ d̪ à l á
blaade	b l á à d̪ é
blaade	b l̃ á à d̪ é
blaadre	b l á á d̪ ɾ è
blaadre	b l̃ á á d̪ ɾ̃ è
blaasieke	b l á à ʃ í è k é
blaasieke	b l̃ á à ʃ í è k é
blaatɔ̃	b l á à t̪ ɔ̃́
blaatɔ̃	b l̃ á à t̪ ɔ̃́
blaene	b l á è n̪ é
blaene	b l á è n̺ é
blaene	b l̃ á è n̪ é
blaene	b l̃ á è n̺ é
blaenyi	b l á è ɲ í
blaenyi	b l̃ á è ɲ í
blaetɔ̃	b l á è t̪ ɔ̃̀
blaetɔ̃	b l̃ á è t̪ ɔ̃̀
blaeve	b l á è v͈ è
blaeve	b l̃ á è v͈ è
blaevelia	b l á è v͈ è l ì á
blaevelia	b l̃ á è v͈ è l ì á
blibo	b l í b ò
blibo	b l̃ í b ò
dadi	d̪ à d̪ ì
didi	d̪ ì d̪ ì
dzamatre	d͡z à m á t̪ ɾ é
dzamatre	d͡z à m á t̪ ɾ̃ é
dzesi	d͡z è ʃ ì
dzesinu	d͡z è ʃ ì n̪ ú
dzesinu	d͡z è ʃ ì n̺ ú
dzidzime	d͡ʒ ì d͡ʒ ì m è
dzime	d͡ʒ ì m è
dzitsitsi	d͡ʒ ǐ t͡ʃ í t͡ʃ í
dzitsitsiwo	d͡ʒ ǐ t͡ʃ í t͡ʃ í w ó
dzĩ	d͡ʒ ĩ̀
enelia	è n̪ è l ì á
enelia	è n̺ è l ì á
eve	è v͈ è
evelia	è v͈ è l ì á
ewolia	è w ó l ì á
fexexeɖeta	f͈ è x é x é ɖ è t̪ à
fia	f͈ i à
fia	f͈ i á
fianyɔnu	f͈ i à ɲ ɔ́ n̪ ù
fianyɔnu	f͈ i à ɲ ɔ́ n̺ ù
fiaŋutsu	f͈ i à ŋ ú t͡s ù
fli	f͈ l ì
fli	f͈ l̃ ì
fo	f͈ ò
fufu	f͈ ù f͈ ù
fukpekpe	f͈ ù k͡p é k͡p é
fukpekpewo	f͈ ù k͡p é k͡p é w ó
fɔbubu	f͈ ɔ́ b ú b ú
gbãtɔ	ɡ͡b ã́ t̪ ɔ̀
koklo	k ò k l ó
koklo	k ò k l̃ ó
koklolã	k ò k l ó l ã̀
koklolã	k ò k l̃ ó l ã̀
koklonɔ	k ò k l ó n̪ ɔ̀
koklonɔ	k ò k l ó n̺ ɔ̀
koklonɔ	k ò k l̃ ó n̪ ɔ̀
koklonɔ	k ò k l̃ ó n̺ ɔ̀
koklotsu	k ò k l ó t͡s ú
koklotsu	k ò k l̃ ó t͡s ú
koklovi	k ò k l ó v͈ í
koklovi	k ò k l̃ ó v͈ í
koklozi	k ò k l ô ʒ í
koklozi	k ò k l̃ ô ʒ í
kpodzi	k͡p ó d͡ʒ í
kuviatɔ	k ù v͈ í á t̪ ɔ́
kuviawɔwɔ	k ù v͈ í á w ɔ̀ w ɔ̀
mamayɔvi	m à m á j ɔ́ v͈ í
miawo	m ì à w ó
míawo	m í á w ó
no	n̪ ò
no	n̪ ǒ
no	n̺ ò
no	n̺ ǒ
notsi	n̪ ó t͡ʃ ì
notsi	n̺ ó t͡ʃ ì
nunono	n̪ ú n̪ ò n̪ ò
nunono	n̺ ú n̺ ò n̺ ò
nutata	n̪ ú t̪ á t̪ á
nutata	n̺ ú t̪ á t̪ á
nuŋlɔla	n̪ ú ŋ l ɔ̀ l á
nuŋlɔla	n̪ ú ŋ l̃ ɔ̀ l á
nuŋlɔla	n̺ ú ŋ l ɔ̀ l á
nuŋlɔla	n̺ ú ŋ l̃ ɔ̀ l á
nuɖaɖa	n̪ ù ɖ à ɖ à
nuɖaɖa	n̺ ù ɖ à ɖ à
nyagblɔɖila	ɲ à ɡ͡b l ɔ̀ ɖ í l á
nyagblɔɖila	ɲ à ɡ͡b l̃ ɔ̀ ɖ í l á
nyinɔ	ɲ ì n̪ ɔ̀
nyinɔ	ɲ ì n̺ ɔ̀
nyɔnu	ɲ ɔ́ n̪ ù
nyɔnu	ɲ ɔ́ n̺ ù
nyɔnuvi	ɲ ɔ́ n̪ ù v͈ í
nyɔnuvi	ɲ ɔ́ n̺ ù v͈ í
nɔgã	n̪ ɔ̀ ɡ ã́
nɔgã	n̺ ɔ̀ ɡ ã́
nɔvi	n̪ ɔ̀ v͈ í
nɔvi	n̺ ɔ̀ v͈ í
nɔvinyɔnu	n̪ ɔ̀ v͈ í ɲ ɔ́ n̪ ù
nɔvinyɔnu	n̺ ɔ̀ v͈ í ɲ ɔ́ n̺ ù
nɔviŋutsu	n̪ ɔ̀ v͈ í ŋ ú t͡s ù
nɔviŋutsu	n̺ ɔ̀ v͈ í ŋ ú t͡s ù
nɔɖi	n̪ ɔ̀ ɖ ì
nɔɖi	n̺ ɔ̀ ɖ ì
sidzedze	ʃ í d͡z è d͡z è
tasi	t̪ á ʃ ì
tedzi	t̪ é d͡ʒ í
tɔgbuiyɔvi	t̪ ɔ́ ɡ͡b u í j ɔ́ v͈ í
tɔgbuiyɔvinyɔnu	t̪ ɔ́ ɡ͡b u í j ɔ́ v͈ í ɲ ɔ́ n̪ ù
tɔgbuiyɔvinyɔnu	t̪ ɔ́ ɡ͡b u í j ɔ́ v͈ í ɲ ɔ́ n̺ ù
tɔgã	t̪ ɔ́ ɡ ã́
tɔsisi	t̪ ɔ̀ ʃ í ʃ í
tɔɖe	t̪ ɔ́ ɖ è
vidzidzi	v͈ í d͡ʒ ì d͡ʒ ì
viviti	v͈ ì v͈ ì t̪ í
vovototo	v͈ ò v͈ ò t̪ ó t̪ ò
vɔsamlekpui	v͈ ɔ̀ s á m l é k͡p u í
vɔsamlekpui	v͈ ɔ̀ s á m l̃ é k͡p u í
wein	w e í n̪
wein	w e í n̺
wò	w ò
wɔ	w ɔ̀
wɔfa	w ɔ̀ f͈ à
ŋaneŋane	ŋ á n̪ è ŋ á n̪ è
ŋaneŋane	ŋ á n̺ è ŋ á n̺ è
ŋutinya	ŋ ú t̪ í ɲ à
Ɣ	ɣ
ɣ	ɣ
ʋɔnudrɔ̃la	β ɔ̀ n̪ ù d̪ ɾ ɔ̃́ l á
ʋɔnudrɔ̃la	β ɔ̀ n̪ ù d̪ ɾ̃ ɔ̃́ l á
ʋɔnudrɔ̃la	β ɔ̀ n̺ ù d̪ ɾ ɔ̃́ l á
ʋɔnudrɔ̃la	β ɔ̀ n̺ ù d̪ ɾ̃ ɔ̃́ l á
