ᬅᬃᬘᬵ	a r t͡ʃ ə
ᬪᬶᬱᬫ	b i s a m ə
ᬪᬹᬢ	b u t ə
ᬪᬹᬱᬡ	b u s a n ə
ᬫᬢ	m a t ə
ᬫᬢ᭄ᬢ	m a t ə
ᬫᬣ	m a t ə
ᬫᬥ᭄ᬬ	m a d j a
ᬫᬦᬯ	m a n a w ə
ᬫᬭ	m a r ə
ᬫᬵᬃᬕ	m a r ɡ ə
ᬫᬵᬦᬯ	m a n a w ə
ᬫᬵᬬ	m a j ə
ᬫᬵᬬᬵ	m a j ə
ᬫᬵᬭ	m a r ə
ᬫᬶᬢ᭄ᬭ	m i t r ə
ᬫᬸᬗ᭄ᬕᬄ	m ʊ ŋ ɡ ʌ h
ᬫᬾᬦᬓ᭄	m e n a k
ᬫᭀᬖ	m o ɡ ə
ᬫᭀᬖᬵ	m o ɡ ə
ᬬᬸᬤ᭄ᬥ	y u d ə
ᬬᬸᬥ	y u d ə
ᬬᬸᬬᬸ	j u j u
ᬭᬓ᭄ᬱ	r a k s ə
ᬭᬕ	r a ɡ ə
ᬭᬚ	r a d͡ʒ ə
ᬭᬡ	r a n ə
ᬭᬢ	r a t ə
ᬭᬢ᭄ᬦ	r a t n ə
ᬭᬣ	r a t ə
ᬭᬯᬸᬄ	r a ʊ h
ᬭᬳᬶᬦ	r a h i n ə
ᬭᬵᬕ	r a ɡ ə
ᬭᬵᬚ	r a d͡ʒ ə
ᬭᬵᬣ	r a s ə
ᬭᬵᬫ	r a m ə
ᬭᬵᬲ	r a s ə
ᬭᬶᬧ᭄ᬢ	r i p t ə
ᬭᬸᬗᬸ	r u ŋ u
ᬮᬗ᭄ᬖᬦ	l a ŋ ɡ a n a
ᬮᬦᬂ	l aː n aː ŋ
ᬮᬬᬸ	l a j u
ᬮᬬᬹ	l a j u
ᬮᬭ	l a r ə
ᬮᬯᬦ᭄	l a w a n
ᬮᬶᬫ	l i m ə
ᬮᬸᬭᬄ	l u r a h
ᬮᭀᬢ᭄	l o t
ᬯᬓᬸᬮ᭄	w a k u l
ᬯᬗ᭄ᬰ	w a ŋ s ə
ᬯᬘ	w a t͡ʃ ə
ᬯᬢᬂ	w a t a ŋ
ᬯᬦ᭄ᬤ	w a n d ə
ᬯᬬᬄ	w a j a h
ᬯᬭ	w a r ə
ᬯᬭᬶᬄ	w a r i h
ᬯᬮᬸ	w a l u
ᬯᬮᬹ	w a l u
ᬯᬯᬶᬤᬗᬦ᭄	w ə w i d a ŋ a n
ᬯᬰ	w a s ə
ᬯᬵᬢᬂ	w a t a ŋ
ᬯᬵᬭ	w a r ə
ᬯᬵᬲ	w a s ə
ᬯᬶᬢ᭄	w i t
ᬯᬶᬤᬂ	w i d a ŋ
ᬯᬷᬚ	w i d͡ʒ ə
ᬯᬸᬓᬸ	ʋ u k u
ᬯᬸᬯᬸᬲ᭄	w u w u s
ᬯᬸᬯᬸᬲ᭄	ʋ u ʋ u s
ᬯᬾᬦ᭄ᬢᭂᬦ᭄	w ɛ n t ə n
ᬯᭀᬄ	w o h
ᬯ᭄ᬯᬭ	w a r ə
ᬰᬓ	s a k ə
ᬰᬢ	s a t ə
ᬰᬦ᭄ᬢᬶ	s a n t i
ᬰᬭ	s a r ə
ᬰᬭᬢ᭄	s a r a t
ᬰᬵᬓᬵ	s a k ə
ᬰᬵᬧ	s a p ə
ᬰᬵᬲ᭄ᬢ᭄ᬭ	s a s t r ə
ᬰᬶᬓᬶ	s i k i
ᬰᬶᬮ	s i l ə
ᬰᬶᬮᬵ	s i l ə
ᬰᬸᬘᬶ	s u t͡ʃ i
ᬰᬸᬤ᭄ᬥ	s u d ə
ᬰᬸᬤ᭄ᬥᬶ	s u d i
ᬰᬸᬪ	s u b ə
ᬰᬹᬤ᭄ᬭ	s u d r ə
ᬰᬹᬭ	s u r ə
ᬰᬹᬮ	s u l ə
ᬰᭀᬘ	s o t͡ʃ ə
ᬰ᭄ᬯ	s w a
ᬰ᭄ᬯ	s w ə
ᬰ᭄ᬯᬭ	s w a r ə
ᬲᬓ	s a k ə
ᬲᬗ᭄ᬕ	s a ŋ ɡ ə
ᬲᬗ᭄ᬕᬄ	s a ŋ ɡ a h
ᬲᬗ᭄ᬖ	s a ŋ ɡ ə
ᬲᬢ	s a t ə
ᬲᬧ	s a p ə
ᬲᬫᬭ	s a m a r ə
ᬲᬫᬵᬥᬶ	s ə m a d i
ᬲᬭ	s a r ə
ᬲᬭᬢ᭄	s a r a t
ᬲᬭᬶ	s a r i
ᬲᬭᬸᬂ	s a r ʊ ŋ
ᬲᬵᬕᬭ	s ə ɡ a r ə
ᬲᬵᬦᬓ᭄	s a n a k
ᬲᬵᬫᬬ	s ə m a j ə
ᬲᬵᬭ	s a r ə
ᬲᬵᬭᬶ	s a r i
ᬲᬵᬲ᭄ᬢ᭄ᬭ	s a s t r ə
ᬲᬶᬓᬶ	s i k i
ᬲᬶᬤ	s i d ə
ᬲᬶᬤ᭄ᬥ	s i d ə
ᬲᬶᬮ	s i l ə
ᬲᬸᬢ	s u t ə
ᬲᬸᬢᬵ	s u t ə
ᬲᬸᬩ	s u b ə
ᬲᬸᬭ	s u r ə
ᬲᬸᬭᬵ	s u r ə
ᬲᬸᬮ	s u l ə
ᬲᬹᬢ	s u t ə
ᬲᬾᬢ᭄ᬭ	s e t r a
ᬲᬾᬧᬓ᭄	s e p ʌ k̚
ᬲᭀᬕᬢ	s o ɡ a t ə
ᬲᭀᬘ	s o t͡ʃ ə
ᬲᭂᬓᬳ	s ə k a h ə
ᬲᭂᬕ	s ə ɡ ə
ᬲᭂᬦ᭄ᬢᬦ	s ə n t a n ə
ᬲᭂᬧᬓ	s ə p ʌ k̚
ᬲ᭄ᬫᬭ	s m a r ə
ᬲ᭄ᬫᬭ	s ə m a r ə
ᬲ᭄ᬯ	s w a
ᬲ᭄ᬯ	s w ə
ᬲ᭄ᬯᬭ	s w a r ə
ᬲ᭄ᬯᬵᬕᬢ	s o ɡ a t ə
ᬳᬗ᭄ᬕ	a ŋ ɡ ə
ᬳᬗ᭄ᬲ	a ŋ s ə
ᬳᬚᬶ	a d͡ʒ i
ᬳᬤᬦ᭄	a d a n
ᬳᬤᬶ	a d i
ᬳᬧᬶ	a p i
ᬳᬬᬸ	a j u
ᬳᬭᬶ	a r i
ᬳᬮᬲ᭄	a l a s
ᬳᬯᬦ᭄	a w a n
ᬳᬲ᭄ᬢ	a s t ə
ᬳᬶᬘ	i t͡ʃ ə
ᬳᬸᬓᬶᬃ	u k i r
ᬳᬸᬓᬸ	u k u
ᬳᬸᬫ	u m a
ᬳᬸᬯᬸᬲ᭄	u w u s
ᬳᬸᬯᬸᬲ᭄	u ʋ u s
ᬳᭀᬃᬢ	o r t a
ᬳᭀᬃᬢᬶ	o r t i
ᬳ᭄ᬬᬂ​	h j aː ŋ
