กก	k o k̚
ปาฮาฆิ	p a h a ɡ ɪ ʔ
ปาเฮะ	p a h e ʔ ~ p a h ɪ ʔ
ปาโตยจ	p a t o i̯ ʔ
ปี	p i
ปีงัก	p i ŋ ʌ k̚
ปีซัก	p i s ʌ k̚
ปีตู	p i t u
ปีนัง	p i n ʌ ŋ
ปีปี	p i p i
ปีระ	p i r ʌ ʔ
ปีเกาะ	p i k ɔ ʔ
ปีเซา	p i s ʌ w
ปูกัยจ	p u k ʌ i̯ ʔ
ปูซัยจ	p u s ʌ i̯ ʔ
ปูตุยฮ	p u t u i̯ h
ปูลัก	p u l ʌ k̚
ปูเตะฮ	p u t e h ~ p u t ɪ h
ปูเลา	p u l ʌ w
ปูโฮด	p u h o t̚ ~ p u h ʊ t̚
พลอก	pʰ l ɔ k̚
พากฺิ	pʰ a ɡ ɪ ʔ
พาซา	pʰ a s a
พาดัก	pʰ a d ʌ k̚
พาเพะ	pʰ a pʰ e ʔ ~ pʰ a pʰ ɪ ʔ
พุพุ	pʰ u ʔ pʰ u ʔ
ฟีม	f i m
มรับ	m r ʌ p̚
มรากะ	m r a k ʌ ʔ
มราตะ	m r a t ʌ ʔ
มรีงัย	m r i ŋ ʌ j
มะ	m ʌ ʔ
มัยฮ	m ʌ i̯ h
มากัด	m a k ʌ t̚
มาจัก	m a c ʌ k̚
มาซะ	m a s ʌ ʔ
มาซับ	m a s ʌ p̚
มาตะฮ	m a t ʌ h
มาตา	m a t a
มาทู	m a tʰ u
มานี	m a n i
มาลับ	m a l ʌ p̚
มาเซด	m a s e t̚ ~ m a s ɪ t̚
มาเรอมา	m a r ə m a
มาแระฮ	m a r ɛ h
มาโกะ	m a k o ʔ ~ m a k ʊ ʔ
มาโซะ	m a s o ʔ ~ m a s ʊ ʔ
มีญะ	m i ɲ ʌ ʔ
มีตา	m i t a
มียา	m i j a
มีระฮ	m i r ʌ h
มือนาแงฮ	m ɨ n a ŋ ɛ h ~ m ə n a ŋ ɛ h
มูคา	m u kʰ a
มูดา	m u d a
มูมู	m u m u
มูโลยจ	m u l o i̯ ʔ ~ m u l ʊ i̯ ʔ
ยับ	j ʌ p̚
ยางัน	j a ŋ ʌ n
ยาตก	j a t o k ~ j a t ʊ k
ยาลา	j a l a
ยาโกฺะ	j a ɡ o ʔ
ยฺราวัยจ	ɟ r a w ʌ i̯ ʔ ~ d͡ʒ r a w ʌ i̯ ʔ
ยฺัวะ	ɟ u ə̯ ʔ
ยฺางัน	ɟ a ŋ ʌ n ~ d͡ʒ a ŋ ʌ n
ยฺาดี	ɟ a d i
ยฺารบ	ɟ a r o p̚ ~ ɟ a r ʊ p̚ ~ d͡ʒ a r o p̚ ~ d͡ʒ a r ʊ p̚
ยฺารี	ɟ a r i ~ d͡ʒ a r i
ยฺาลัด	ɟ a l ʌ t̚
ยฺาฮัยจ	ɟ a h ʌ i̯ ʔ ~ d͡ʒ a h ʌ i̯ ʔ
ยฺูกฺา	ɟ u ɡ a
รอยจ	r ɔ i̯ ʔ
รากฺา	r a ɡ a
ราซา	r a s a
ราดารา	r a d a r a
ราตุยฮ	r a t ʊ i̯ h
รามัย	r a m ʌ j
ราโมยจ	r a m o i̯ ʔ
รีฮัน	r i h ʌ n
รีโบยจ	r i b o i̯ ʔ ~ r i b ʊ i̯ ʔ
รูมด	r u m o t̚ ~ r u m ʊ t̚
รูมะฮ	r u m ʌ h
รูเงก	r u ŋ e k̚ ~ r u ŋ ɪ k̚
รูโซะ	r u s o ʔ ~ r u s ʊ ʔ
รูโปยจ	r u p o i̯ ʔ ~ r u p ʊ i̯ ʔ
ละอูละ	l ʌ ʔ ʔ u l ʌ ʔ
ลัมโพง	l ʌ m pʰ o ŋ
ลัยจ	l ʌ i̯ ʔ
ลัวะ	l u ə̯ ʔ
ลากี	l a k i
ลากฺี	l a ɡ i
ลากฺู	l a ɡ u
ลาดา	l a d a
ลาตอ	l a t ɔ
ลาปัด	l a p ʌ t̚
ลามูลา	l a m u l a
ลายัล	l a j ʌ ɭ
ลาวัด	l a w ʌ t̚
ลาเงา	l a ŋ ʌ w
ลาเปอ	l a p ɤ
ลาเยอ	l a j ɤ
ลาแงะ	l a ŋ ɛ ʔ
ลาโวยจ	l a w o i̯ ʔ
ลาโวะ	l a w o ʔ ~ l a w ʊ ʔ
ลิด	l i t̚ ~ l ɪ t̚
ลีดะฮ	l i d ʌ h
ลีปัด	l i p ʌ t̚
ลีมา	l i m a
ลีฮัยจ	l i h ʌ i̯ ʔ
ลีเมา	l i m ʌ w
ลีเลด	l i l e t̚ ~ l i l ɪ t̚
ลูนัยฮ	l u n ʌ i̯ h
ลูปา	l u p a
ลูมัยจ	l u m ʌ i̯ ʔ
ลูเปอ	l u p ɤ
ลูเมาะฮ	l u m ɔ h
ลูโตยจ	l u t o i̯ ʔ ~ l u t ʊ i̯ ʔ
วะตู	w ʌ ʔ t u
วัยจ	w ʌ i̯ ʔ
วายัก	w a j ʌ k̚
วี	w i
อาซะ	ʔ a s ʌ ʔ
อาซะฮ	a s ʌ h
อาซู	ʔ a s u
อาดา	ʔ a d a
อาตัยจ	ʔ a t ʌ i̯ ʔ
อาตัยฮ	ʔ a t ʌ i̯ h
อาปัล	a p ʌ ɭ
อาปี	ʔ a p i
อารอก	ʔ a r ɔ k̚
อาระ	ʔ a r ʌ ʔ
อารี	ʔ a r i
อาเกอ	ʔ a k ɤ
อาเกะ	ʔ a k e ʔ ~ ʔ a k ɪ ʔ
อาเปอ	a p ɤ
อาเมด	ʔ a m e t̚ ~ ʔ a m ɪ t̚
อาเย	ʔ a j e
อาเยน	a j e n ~ a j ɪ n
อาแงน	ʔ a ŋ ɛ n
อีกัด	ʔ i k ʌ t̚
อีกัยจ	ʔ i k ʌ i̯ ʔ
อีงัยจ	ʔ i ŋ ʌ i̯ ʔ
อีซี	ʔ i s i
อีตัด	ʔ i t ʌ t̚
อีติ	ʔ i t ɪ ʔ
อีริ	ʔ i r ɪ ʔ
อีเกอ	ʔ i k ɤ
อูจะ	ʔ u c ʌ ʔ
อูซิ	ʔ u s ɪ ʔ
อูตก	ʔ u t o k̚
อูปัด	ʔ u p ʌ t̚
อูมอล	ʔ u m ɔ l
อูมะ	ʔ u m ʌ ʔ
อูรัก	ʔ u r ʌ k̚
อูรัยจ	ʔ u r ʌ i̯ ʔ
อูเลอ	ʔ u l ɤ
อูแยะ	ʔ u j ɛ ʔ
อูโดะฮ	u d o h ~ u d ʊ h
ฮยู	h j u
ฮลอด	h l ɔ t̚
ฮลัก	h l ʌ k̚
ฮวยจ	h u ə̯ i̯ ʔ
ฮอย	h ɔ j
ฮางัยจ	h a ŋ ʌ i̯ ʔ
ฮาญอยจ	h a ɲ ɔ i̯ ʔ
ฮาดะ	h a d ʌ ʔ
ฮาตี	h a t i
ฮาตู	h a t u
ฮาบิฮ	h a b ɪ h
ฮาบู	h a b u
ฮายับ	h a j ʌ p̚
ฮารัก	h a r ʌ k̚
ฮาลุยฮ	h a l u i̯ h
ฮาลู	h a l u
ฮีดก	h i d o k̚ ~ h i d ʊ k̚
ฮีตับ	h i t ʌ p̚
ฮีโดะ	h i d o ʔ ~ h i d ʊ ʔ
ฮูตัด	h u t ʌ t̚
ฮูยฺัด	h u ɟ ʌ t̚
ฮูรัก	h u r ʌ k̚
ฮูลู	h u l u
เกรอเบา	k r ə b ʌ w
เกอญิ	k ə ɲ ɪ ʔ
เกอดัย	k ə d ʌ j
เกอตับ	k ə t ʌ p̚
เกอมัก	k ə m ʌ k̚
เกอมูดี	k ə m u d i
เกอเมียน	k ə m i ə̯ n
เกา	k ʌ w
เกฺอตาวะ	ɡ ə t a w ʌ ʔ
เกฺอนัก	ɡ ə n ʌ k̚
เกฺอนีรา	ɡ ə n i r a
เคก	kʰ e k̚
เคอนัม	kʰ ə n ʌ m
เจรอปู	c r ə p u ~ t͡ɕ r ə p u
เจรอเมน	c r ə m e n ~ c r ə m ɪ n ~ t͡ɕ r ə m e n ~ t͡ɕ r ə m ɪ n
เจอบุ	c ə b u ʔ ~ t͡ɕ ə b u ʔ
เจอมางี	c ə m a ŋ i ~ t͡ɕ ə m a ŋ i
เจอลุ	c ə l u ʔ ~ t͡ɕ ə l u ʔ
เชอนีง	cʰ ə n ɪ ŋ ~ t͡ɕʰ ə n ɪ ŋ
เซอกัยจ	s ə k ʌ i̯ ʔ
เซองะ	s ə ŋ ʌ ʔ
เซอปูโละฮ	s ə p u l o h ~ s ə p u l ʊ h
เซอมะฮ	s ə m ʌ h
เซอมียา	s ə m i j a
เซอมีลัด	s ə m i l ʌ t̚
เซอเบอลัยฮ	s ə b ə l ʌ i̯ h
เซอโนะ	s ə n o ʔ
เซาะ	s ɔ ʔ
เดอนัก	d ə n ʌ k̚
เดอปา	d ə p a
เดอเงอ	d ə ŋ ɤ
เดะ	d e ʔ ~ d ɪ ʔ
เดียด	d i ə̯ t̚
เตด	t e t̚ ~ t ɪ t̚
เตอกฺีรี	t ə ɡ i r i
เตองะฮ	t ə ŋ ʌ h
เตอบัก	t ə b ʌ k̚
เตอบู	t ə b u
เตอเบะ	t ə b e ʔ ~ t ə b ɪ ʔ
เตอเลอ	t ə l ɤ
เตอโละ	t ə l o ʔ ~ t ə l ʊ ʔ
เบอกาจะ	b ə k a c ʌ ʔ
เบอกฺาญะ	b ə ɡ a ɲ ʌ ʔ
เบอซี	b ə s i
เบอตาฮัด	b ə t a h ʌ t̚
เบอติฮ	b ə t ɪ h
เบอนัว	b ə n u ə̯
เบอนาตัก	b ə n a t ʌ k̚
เบอปากัย	b ə p a k ʌ j
เบอลี	b ə l i
เบอเกฺาะ	b ə ɡ ɔ ʔ
เบอเซอ	b ə s ɤ
เบอเละฮ	b ə l e h ~ b ə l ɪ h
เบอแนะฮ	b ə n e h ~ b ə n ɪ h
เบอแยะ	b ə j ɛ ʔ
เบาะฮ	b ɔ h
เปอกฺัก	p ə ɡ ʌ k̚
เปอจะฮ	p ə c ʌ h
เปอญู	p ə ɲ u
เปอตี	p ə t i
เปอนานา	p ə n a n a
เปอโดะ	p ə d o ʔ ~ p ə d ʊ ʔ
เฟด	f e t̚
เมอเลา	m ə l ʌ w
เมียว	m i ə̯ w
เยฺรา	ɟ r ʌ w ~ d͡ʒ r ʌ w
เรอนัก	r ə n ʌ k̚
เลองัน	l ə ŋ ʌ n
เลอซก	l ə s o k̚ ~ l ə s ʊ k̚
เลอปัยจ	l ə p ʌ i̯ ʔ
เลอมู	l ə m u
แกฺรก	ɡ r ɛ k̚
แคะ	kʰ ɛ ʔ
แจ	c ɛ ~ t͡ɕ ɛ
แดด	d ɛ t̚
แบะ	b ɛ ʔ
แฟบ	f ɛ p̚
แระกฺีแระ	r ɛ ʔ ɡ i r ɛ ʔ
แอบเปิน	ʔ ɛ p̚ p ɤ n
แฮ	h ɛ
โกก	k o k̚
โกปี	k o p i
โกย	k o j
โจะบัด	c o ʔ b ʌ t̚ ~ t͡ɕ o ʔ b ʌ t̚
โบะ	b o ʔ ~ b ʊ ʔ
โปรยจ	p r o i̯ ʔ ~ p r ʊ i̯ ʔ
โมะ	m o ʔ ~ m ʊ ʔ
โยะฮ	j o h
โอะ	ʔ o ʔ ~ ʔ ʊ ʔ
