a	aː
kipola	k i p o l a
kiʻi	k i ʔ i
koa	k o a
koaea	k o a e̯ a
koleka	k o l e k a
kolokea	k o l o k e a
kolomona	k o l o m o n a
kolosa	k o l o k a
koma	k o m a
komohana	k o m o h a n a
kopaea	k o p a e̯ a
korineto	k o l i n e k o
kuene	k u e n e
kuilei	k u i l e j
kukana	k u k a n a
kuleana	k u l e a n a
kulia	k u l i a
kumu	k u m u
kuna	k u n a
kupuna	k u p u n a
kuʻualoha	k u ʔ u a l o h a
kuʻuipo	k u ʔ u i p o
kuʻulei	k u ʔ u l e j
kuʻuleialoha	k u ʔ u l e j a l o h a
kāne	k aː n e
kānāwai	k aː n aː v a j
kāwelu	k aː v e l u
kāwika	k aː v i k a
kēhau	k eː h a w
kēhaulani	k eː h a w l a n i
kīwila	k iː v i l a
kōleka	k oː l e k a
kū	k uː
kūaliʻi	k uː a l i ʔ i
kūkaepele	k uː k a e̯ p e l e
kūʻē	k uː ʔ eː
lahapa	l a h a p a
lakalo	l a k a l o
lanakila	l a n a k i l a
lani	l a n i
lau	l a w
laʻakea	l a ʔ a k e a
lea	l e a
lehua	l e h u a
lei	l e j
leialoha	l e j a l o h a
leilani	l e j l a n i
leimomi	l e j m o m i
leinani	l e j n a n i
leināʻala	l e j n aː ʔ a l a
lele	l e l e
leo	l e o
lepeka	l e p e k a
lewi	l e v i
like	l i k e
likeke	l i k e k e
lilia	l i l i a
liliana	l i l i a n a
lilinoe	l i l i n o e
lio	l i o
liona	l i o n a
loa	l o a
loika	l o̯ i k a
loka	l o k a
lokalia	l o k a l i a
loke	l o k e
lokelani	l o k e l a n i
lono	l o n o
lopaka	l o p a k a
luana	l u a n a
lui	l u i
luika	l u i k a
luka	l u k a
lukia	l u k i a
lulia	l u l i a
luʻukia	l u ʔ u k i a
lā	l aː
lāhela	l aː h e l a
lāhui	l aː h u i
lūkia	l uː k i a
lūkini	l uː k i n i
mahalo	m a h a l o
mahana	m a h a n a
mahelona	m a h e l o n a
mahina	m a h i n a
mahiʻai	m a h i ʔ a j
mahū	m a h uː
maikaʻi	m a j k a ʔ i
maile	m a j l e
maka	m a k a
makaio	m a k a j o
makaleka	m a k a l e k a
makalika	m a k a l i k a
makamae	m a k a m a e̯
makana	m a k a n a
makani	m a k a n i
makanui	m a k a n u i
makia	m a k i a
makoa	m a k o a
mala	m a l a
malaea	m a l a e̯ a
malaki	m a l a k i
maleka	m a l e k a
maleko	m a l e k o
malia	m a l i a
manawa	m a n a v a
manaʻolana	m a n a ʔ o l a n a
manu	m a n u
manuela	m a n u e l a
mauli	m a w l i
mauna	m a w n a
maʻi	m a ʔ i
mei	m e j
mele	m e l e
meleana	m e l e a n a
melia	m e l i a
mika	m i k a
mikala	m i k a l a
mikaʻela	m i k a ʔ e l a
mileka	m i l e k a
miliama	m i l i a m a
mililani	m i l i l a n i
mina	m i n a
moa	m o a
moana	m o a n a
moani	m o a n i
moena	m o e n a
moke	m o k e
mokihana	m o k i h a n a
mokuʻāina	m o k u ʔ aː j n a
momi	m o m i
momilani	m o m i l a n i
mona	m o n a
moʻo	m o ʔ o
moʻopuna	m o ʔ o p u n a
mua	m u a
muʻumuʻu	m u ʔ u m u ʔ u
māhealani	m aː h e a l a n i
mākaukau	m aː k a w k a w
māla	m aː l a
mālie	m aː l i e
māpuana	m aː p u a n a
māui	m aː w i
nahuma	n a h u m a
naiʻa	n a j ʔ a
nakoa	n a k o a
nalo	n a l o
nalu	n a l u
nanahana	n a n a h a n a
nanea	n a n e a
nani	n a n i
naomi	n a o̯ m i
nehemia	n e h e m i a
newaka	n e v a k a
niʻihau	n i ʔ i h a w
noa	n o a
noelani	n o e l a n i
nohealani	n o h e a l a n i
nuʻuanu	n u ʔ u a n u
nāinoa	n aː j n o a
nālani	n aː l a n i
nāmaka	n aː m a k a
nāna	n aː n a
nānā	n aː n aː
nāpua	n aː p u a
nāwai	n aː v a j
oki	o k i
one	o n e
ono	o n o
oʻahu	o ʔ a h u
paina	p a j n a
palakiko	p a l a k i k o
palani	p a l a n i
palapala	p a l a p a l a
pali	p a l i
pana	p a n a
pane	p a n e
pauahi	p a w a h i
paulo	p a w l o
paʻakai	p a ʔ a k a i̯
peke	p e k e
pekelo	p e k e l o
pelapela	p e l a p e l a
pele	p e l e
pelekila	p e l e k i l a
peneki	p e n e k i
peni	p e n i
peniʻamina	p e n i ʔ a m i n a
pika	p i k a
pila	p i l a
pilipi	p i l i p i
pilipo	p i l i p o
pinehaka	p i n e h a k a
piʻi	p i ʔ i
piʻikea	p i ʔ i k e a
piʻilani	p i ʔ i l a n i
poliʻahu	p o l i ʔ a h u
pua	p u a
pualani	p u a l a n i
puanani	p u a n a n i
puaʻa	p u w ɐ ʔ ə
puka	p u k a
puke	p u k e
pāpālina	p aː p aː l i n a
pāʻina	p aː ʔ i n a
pōmaikaʻi	p oː m a j k a ʔ i
roselani	l o k e l a n i
roselani	r o s e l a n i
tesalonike	k e k a l o n i k e
uilama	u i l a m a
uka	u k a
uku	u k u
ula	u l a
ululani	u l u l a n i
uʻilani	u ʔ i l a n i
wahine	v a h i n e
wai	v a j
wailani	v a j l a n i
waina	v a j n a
waiwai	v a j v a j
wale	v a l e
walu	v a l u
wela	w e l a
wikolia	v i k o l i a
wilama	v i l a m a
wiliama	v i l i a m a
zekaria	k e k a l i a
zepania	k e p a n i a
ʻ	ʔ
ʻahi	ʔ a h i
ʻaho	ʔ a h o
ʻai	ʔ a j
ʻaikake	ʔ a j k a k e
ʻakamu	ʔ a k a m u
ʻakaʻakai	ʔ a k a ʔ a k a i̯
ʻakela	ʔ a k e l a
ʻakeneki	ʔ a k e n e k i
ʻakoni	ʔ a k o n i
ʻalapaki	ʔ a l a p a k i
ʻalika	ʔ a l i k a
ʻalohilani	ʔ a l o h i l a n i
ʻamosa	ʔ a m o k a
ʻana	ʔ a n a
ʻanakalia	ʔ a n a k a l i a
ʻanalū	ʔ a n a l uː
ʻane	ʔ a n e
ʻanekelea	ʔ a n e k e l e a
ʻanoʻi	ʔ a n o ʔ i
ʻapela	ʔ a p e l a
ʻapelahama	ʔ a p e l a h a m a
ʻapikaʻila	ʔ a p i k a ʔ i l a
ʻapōpō	ʔ a p oː p oː
ʻauinalā	ʔ a w i n a l aː
ʻaukai	ʔ a w k a j
ʻaukake	ʔ a w k a k e
ʻaulani	ʔ a w l a n i
ʻaʻā	ʔ a ʔ aː
ʻehu	ʔ e h u
ʻekekela	ʔ e k e k e l a
ʻekela	ʔ e k e l a
ʻeleakala	ʔ e l e a k a l a
ʻelena	ʔ e l e n a
ʻelia	ʔ e l i a
ʻelikapeka	ʔ e l i k a p e k a
ʻema	ʔ e m a
ʻemalia	ʔ e m a l i a
ʻemelia	ʔ e m e l i a
ʻemelē	ʔ e m e l eː
ʻenoka	ʔ e n o k a
ʻepeso	ʔ e p e k o
ʻewa	ʔ e v a
ʻezekiʻela	ʔ e k e k i ʔ e l a
ʻikaʻaka	ʔ i k a ʔ a k a
ʻisaia	ʔ i k a j a
ʻiwalani	ʔ i v a l a n i
ʻobadia	ʔ o p a k i a
ʻohana	ʔ o h a n a
ʻoihana	ʔ o̯ i h a n a
ʻokina	ʔ o k i n a
ʻuku	ʔ u k u
ʻukulele	ʔ u k u l e l e
ʻulu	ʔ u l u
ʻā	ʔ aː
ʻāwīwī	ʔ aː ʋ iː ʋ iː
ʻāʻālona	ʔ aː ʔ aː l o n a
ʻī	ʔ iː
ʻōlelo	ʔ oː l e l o
ʻōmaʻomaʻo	ʔ oː m a ʔ o m a ʔ o
