Abae	aː b e
Andrīa	a n d r iː a
Andēs	a n d e s
Andīs	a n d i s
Angela	a n̠ʲ d͡ʒ e l a
Angilberte	a n̠ʲ d͡ʒ i l b ɛ r t e
Angilbertum	a n̠ʲ d͡ʒ i l b ɛ r t u m
Angilbertī	a n̠ʲ d͡ʒ i l b ɛ r t i
Angilbertō	a n̠ʲ d͡ʒ i l b ɛ r t o
Anglicāna	a ŋ ɡ l i k aː n a
Anglicānam	a ŋ ɡ l i k aː n a m
Anglicānās	a ŋ ɡ l i k aː n a s
Anglicānī	a ŋ ɡ l i k aː n i
Angolia	a ŋ ɡ ɔː l i a
Annaeī	a n n ɛː i
Antarctica	a n t a r k t i k a
Antemna	a n t ɛ m n a
Antichrīstī	a n t i k r i s t i
Anticythērīs	a n t i t͡ʃ i t ɛː r i s
Anticythērōrum	a n t i t͡ʃ i t e r ɔː r u m
Antiochēa	a n t͡s i o k ɛː a
Antiochēna	a n t͡s i o k ɛː n a
Antipatre	a n t iː p a t r e
Antipatrum	a n t iː p a t r u m
Antipatrī	a n t iː p a t r i
Antipatrō	a n t iː p a t r o
Antipaxus	a n t i p a k s u s
Antistium	a n t i s t i u m
Antistiī	a n t i s t i i
Antistiō	a n t i s t i o
Antistī	a n t i s t i
Antōnī	a n t ɔː n i
Anūbem	a n uː b e m
Anūbidis	a n uː b i d i s
Anūbim	a n uː b i m
Anūbin	a n uː b i n
Anūbī	a n uː b i
Apamēna	a p a m ɛː n a
Apamēnus	a p a m ɛː n u s
Apellae	a p ɛ l l e
Apellam	a p ɛ l l a m
Apollinis	a p ɔ l l i n i s
Apollōnis	a p o l l ɔː n i s
Apollōnium	a p o l l ɔː n i u m
Apollōniātae	a p o l l o n i aː t e
Apollōniātārum	a p o l l o n i a t aː r u m
Apollōniātās	a p o l l o n i aː t a s
Apollōniātīs	a p o l l o n i aː t i s
Appiānus	a p p i aː n u s
Appiō	a p p i o
Aprīlēs	a p r iː l e s
Apīcium	a p iː t͡ʃ i u m
Apīciī	a p iː t͡ʃ i i
Apīciō	a p iː t͡ʃ i o
Apīcī	a p iː t͡ʃ i
Aquilēia	a kʷ i l ɛː j a
Aquārium	a kʷ aː r i u m
Aquāriī	a kʷ aː r i i
Aquāriīs	a kʷ aː r i i s
Aquāriō	a kʷ aː r i o
Aquāriōrum	a kʷ a r i ɔː r u m
Aquāriōs	a kʷ aː r i o s
Aragonia	a r a ɡ ɔː n i a
Arcada	a r k a d a
Arcadas	a r k a d a s
Arcade	a r k a d e
Arcadem	a r k a d e m
Arcadibus	a r k aː d i b u s
Arcadis	a r k a d i s
Arcadium	a r k aː d i u m
Arcados	a r k a d o s
Arcadum	a r k a d u m
Arcadēs	a r k a d e s
Arcadī	a r k a d i
Archimēde	a r k i m ɛː d e
Archimēdem	a r k i m ɛː d e m
Archimēdis	a r k i m ɛː d i s
Archimēdēn	a r k i m ɛː d e n
Archimēdī	a r k i m ɛː d i
Arcānsia	a r k a n s i a
Are	aː r e
Arecomicī	a r e k ɔː m i t͡ʃ i
Arem	aː r e m
Arethūsae	a r e t uː s̬ e
Arethūsam	a r e t uː s̬ a m
Argolidem	a r ɡ ɔː l i d e m
Argos	a r ɡ o s
Argum	a r ɡ u m
Argus	a r ɡ u s
Argī	a r d͡ʒ i
Argōs	a r ɡ o s
Argūs	a r ɡ u s
Aris	aː r i s
Aristippe	a r i s t i p p e
Aristippum	a r i s t i p p u m
Aristippī	a r i s t i p p i
Aristippīs	a r i s t i p p i s
Aristippō	a r i s t i p p o
Aristippōrum	a r i s t i p p ɔː r u m
Aristippōs	a r i s t i p p o s
Aristiānis	a r i s t i aː n i s
Aristobūlum	a r i s t o b uː l u m
Aristophanīus	a r i s t o f a n iː u s
Aristotele	a r i s t ɔː t e l e
Arius	aː r i u s
Arizōna	a r i d d͡z ɔː n a
Armenta	a r m ɛ n t a
Armorica	a r m ɔː r i k a
Armoricus	a r m ɔː r i k u s
Arogae	aː r o d͡ʒ e
Arogān	aː r o ɡ a n
Arrius	a r r i u s
Arsenāriae	a r s e n aː r i e
Arsenāriam	a r s e n aː r i a m
Arsinoae	a r s iː n o e
Arsinoēn	a r s iː n o e n
Arsinoēs	a r s iː n o e s
Artabanum	a r t aː b a n u m
Arthure	a r t u r e
Arthurum	a r t u r u m
Arthurī	a r t u r i
Arthurīs	a r t u r i s
Arthurō	a r t u r o
Arthurōrum	a r t u r ɔː r u m
Arthurōs	a r t u r o s
Arēmoricae	a r e m ɔː r i t͡ʃ e
Arēmoricam	a r e m ɔː r i k a m
Arēmoricum	a r e m ɔː r i k u m
Arēmoricus	a r e m ɔː r i k u s
Arēmoricī	a r e m ɔː r i t͡ʃ i
Arī	aː r i
Arīus	a r iː u s
Arōn	aː r o n
Arūba	a r uː b a
Arūbae	a r uː b e
Asclēpiādē	a s k l e p i aː d e
Asprēnāte	a s p r e n aː t e
Asprēnātem	a s p r e n aː t e m
Asprēnātis	a s p r e n aː t i s
Asprēnātī	a s p r e n aː t i
Assus	a s s u s
Astacus	a s t a k u s
Asturcō	a s t u r k o
Athamānus	a t a m aː n u s
Athēnae	a t ɛː n e
Atratīne	a t r a t iː n e
Atratīnum	a t r a t iː n u m
Atratīnī	a t r a t iː n i
Atratīnō	a t r a t iː n o
Atrebatibus	a t r e b aː t i b u s
Atrebās	aː t r e b a s
Atrīdae	a t r iː d e
Atrīdās	a t r iː d a s
Attalēa	a t t a l ɛː a
Atticae	a t t i t͡ʃ e
Atticam	a t t i k a m
Attice	a t t i t͡ʃ e
Atticisme	a t t i t͡ʃ i z m e
Atticismoe	a t t i t͡ʃ i z m e
Atticismon	a t t i t͡ʃ i z m o n
Atticismum	a t t i t͡ʃ i z m u m
Atticismus	a t t i t͡ʃ i z m u s
Atticismī	a t t i t͡ʃ i z m i
Atticismīs	a t t i t͡ʃ i z m i s
Atticismō	a t t i t͡ʃ i z m o
Atticismōrum	a t t i t͡ʃ i z m ɔː r u m
Atticum	a t t i k u m
Atticārum	a t t i k aː r u m
Atticās	a t t i k a s
Atticī	a t t i t͡ʃ i
Atticīs	a t t i t͡ʃ i s
Atticō	a t t i k o
Atticōrum	a t t i k ɔː r u m
Atticōs	a t t i k o s
Augurīne	a u̯ ɡ u r iː n e
Augurīnum	a u̯ ɡ u r iː n u m
Augurīnī	a u̯ ɡ u r iː n i
Augurīnō	a u̯ ɡ u r iː n o
Augustus	a u̯ ɡ u s t u s
Augustīna	a u̯ ɡ u s t iː n a
Augustīnā	a u̯ ɡ u s t iː n a
Aulī	aː u̯ l i
Aurēliāne	a u̯ r e l i aː n e
Aurēliānum	a u̯ r e l i aː n u m
Aurēliānī	a u̯ r e l i aː n i
Aurēliānō	a u̯ r e l i aː n o
Auziae	a u̯ d d͡z i e
Auziam	a u̯ d d͡z i a m
Avarēs	aː v a r e s
Averroēs	a v ɛ r r o e s
Avīte	a v iː t e
Avītum	a v iː t u m
Avītī	a v iː t i
Avītō	a v iː t o
Axius	a k s i u s
Axonae	a k s o n e
Axonam	a k s o n a m
Babullium	b a b u l l i u m
Babulliī	b a b u l l i i
Babulliō	b a b u l l i o
Babullī	b a b u l l i
Babylōne	b a b i l ɔː n e
Babylōnie	b a b i l ɔː n i e
Baebium	b ɛː b i u m
Baebiī	b ɛː b i i
Baebī	b ɛː b i
Bagdadum	b a ɡ d a d u m
Bagdatum	b a ɡ d a t u m
Bagdetia	b a ɡ d ɛ t t͡s i a
Baghdadum	b a ɡ d a d u m
Balbī	b a l b i
Balbō	b a l b o
Balduīne	b a l d u iː n e
Balduīnum	b a l d u iː n u m
Balduīnī	b a l d u iː n i
Balduīnō	b a l d u iː n o
Balista	b a l i s t a
Ballista	b a l l i s t a
Baltimōra	b a l t i m ɔː r a
Balventius	b a l v ɛ n t͡s i u s
Bantium	b a n t͡s i u m
Bantiī	b a n t͡s i i
Bantiō	b a n t͡s i o
Bantī	b a n t i
Barbātae	b a r b aː t e
Barbātam	b a r b aː t a m
Barbātium	b a r b a t t͡s i u m
Barbātiī	b a r b a t t͡s i i
Barbātiō	b a r b a t t͡s i o
Barbātī	b a r b aː t i
Barca	b a r k a
Barcam	b a r k a m
Barcās	b a r k a s
Barzimerem	b a r d͡z iː m e r e m
Barzimerēn	b a r d͡z iː m e r e n
Barōlum	b a r ɔː l u m
Basile	b aː s̬ i l e
Basilidē	b a s̬ iː l i d e
Basilium	b a s̬ iː l i u m
Basiliī	b a s̬ iː l i i
Basilum	b aː s̬ i l u m
Basilī	b aː s̬ i l i
Basilō	b aː s̬ i l o
Bastarnārum	b a s t a r n aː r u m
Bathūēlis	b a t u ɛː l i s
Batōne	b a t ɔː n e
Batōnem	b a t ɔː n e m
Batōnis	b a t ɔː n i s
Batōnī	b a t ɔː n i
Bauzānum	b a u̯ d d͡z aː n u m
Bavarica	b a v aː r i k a
Bavaricae	b a v aː r i t͡ʃ e
Bavaricam	b a v aː r i k a m
Bavarice	b a v aː r i t͡ʃ e
Bavaricum	b a v aː r i k u m
Bavaricus	b a v aː r i k u s
Bavaricārum	b a v a r i k aː r u m
Bavaricās	b a v aː r i k a s
Bavaricī	b a v aː r i t͡ʃ i
Bavaricīs	b a v aː r i t͡ʃ i s
Bavaricō	b a v aː r i k o
Bavaricōrum	b a v a r i k ɔː r u m
Bavaricōs	b a v aː r i k o s
Bebrycēs	b ɛː b r i t͡ʃ e s
Beda	b ɛː d a
Belgiō	b ɛ l̠ʲ d͡ʒ i o
Belliēne	b e l l i ɛː n e
Belliēnum	b e l l i ɛː n u m
Belliēnī	b e l l i ɛː n i
Belliēnō	b e l l i ɛː n o
Bellovacīs	b e l l ɔː v a t͡ʃ i s
Bellovacōrum	b e l l o v a k ɔː r u m
Bellovacōs	b e l l ɔː v a k o s
Belorussia	b e l o r u s s i a
Bengālica	b e ŋ ɡ aː l i k a
Bengālicae	b e ŋ ɡ aː l i t͡ʃ e
Bengālicam	b e ŋ ɡ aː l i k a m
Bengālice	b e ŋ ɡ aː l i t͡ʃ e
Bengālicum	b e ŋ ɡ aː l i k u m
Bengālicārum	b e ŋ ɡ a l i k aː r u m
Bengālicās	b e ŋ ɡ aː l i k a s
Bengālicī	b e ŋ ɡ aː l i t͡ʃ i
Bengālicīs	b e ŋ ɡ aː l i t͡ʃ i s
Bengālicō	b e ŋ ɡ aː l i k o
Bengālicōrum	b e ŋ ɡ a l i k ɔː r u m
Bengālicōs	b e ŋ ɡ aː l i k o s
Beninum	b ɛː n i n u m
Benjamin	b ɛ n j a m i n
Benjamītae	b e n j a m iː t e
Benjamītārum	b e n j a m i t aː r u m
Benjamītās	b e n j a m iː t a s
Benjamītīs	b e n j a m iː t i s
Bercizōma	b e r t͡ʃ i d d͡z ɔː m a
Berenīcēs	b e r e n iː t͡ʃ e s
Bernardō	b e r n a r d o
Bessapara	b e s s aː p a r a
Betūtium	b e t u t t͡s i u m
Betūtiī	b e t u t t͡s i i
Betūtiō	b e t u t t͡s i o
Betūtī	b e t uː t i
Bibliōrum	b i b l i ɔː r u m
Bidae	b iː d e
Bidam	b iː d a m
Bigerionibus	b i d͡ʒ e r i ɔː n i b u s
Bigerionum	b i d͡ʒ e r iː o n u m
Biturigibus	b i t u r iː d͡ʒ i b u s
Biturigum	b i t uː r i ɡ u m
Blannoviīs	b l a n n ɔː v i i s
Blannoviōrum	b l a n n o v i ɔː r u m
Blannoviōs	b l a n n ɔː v i o s
Blossium	b l ɔ s s i u m
Blossiī	b l ɔ s s i i
Blossiō	b l ɔ s s i o
Blossī	b l ɔ s s i
Boadica	b o aː d i k a
Boadicēa	b o a d i t͡ʃ ɛː a
Bocchō	b ɔ k k o
Boeōtiae	b e ɔ t t͡s i e
Boeōtiam	b e ɔ t t͡s i a m
Boiīs	b ɔː j i s
Boiōrum	b o j ɔː r u m
Boiōs	b ɔː j o s
Boleslaum	b o l ɛ z l a u m
Boleslaī	b o l ɛ z l a i
Boleslaō	b o l ɛ z l a o
Bonifātium	b o n i f a t t͡s i u m
Bonifātius	b o n i f a t t͡s i u s
Bonifātiī	b o n i f a t t͡s i i
Bonifātiō	b o n i f a t t͡s i o
Bonifātī	b o n i f aː t i
Boreae	b ɔː r e e
Boreā	b ɔː r e a
Boreān	b ɔː r e a n
Bosnia	b ɔ z n i a
Botsuāna	b o t s u aː n a
Boudiccae	b u d i t t͡ʃ e
Boudiccam	b u d i k k a m
Boudicēa	b u d i t͡ʃ ɛː a
Bouducēa	b u d u t͡ʃ ɛː a
Boēthium	b o ɛː t i u m
Boēthiī	b o ɛː t i i
Boēthiō	b o ɛː t i o
Boēthī	b o ɛː t i
Brannovicibus	b r a n n o v iː t͡ʃ i b u s
Brannovicum	b r a n n ɔː v i k u m
Brasiliam	b r a s̬ iː l i a m
Brasīliae	b r a s̬ iː l i e
Brinnium	b r i n n i u m
Brinniī	b r i n n i i
Brinniō	b r i n n i o
Brinnī	b r i n n i
Britanna	b r i t a n n a
Britannae	b r i t a n n e
Britannam	b r i t a n n a m
Britanne	b r i t a n n e
Britanniae	b r i t a n n i e
Britanniam	b r i t a n n i a m
Britannica	b r i t a n n i k a
Britannicae	b r i t a n n i t͡ʃ e
Britannicam	b r i t a n n i k a m
Britannice	b r i t a n n i t͡ʃ e
Britannicum	b r i t a n n i k u m
Britannicā	b r i t a n n i k a
Britannicārum	b r i t a n n i k aː r u m
Britannicās	b r i t a n n i k a s
Britannicī	b r i t a n n i t͡ʃ i
Britannicīs	b r i t a n n i t͡ʃ i s
Britannicō	b r i t a n n i k o
Britannicōrum	b r i t a n n i k ɔː r u m
Britannicōs	b r i t a n n i k o s
Britannides	b r i t a n n i d e s
Britannis	b r i t a n n i s
Britanniārum	b r i t a n n i aː r u m
Britanniās	b r i t a n n i a s
Britanniīs	b r i t a n n i i s
Britannum	b r i t a n n u m
Britannā	b r i t a n n a
Britannārum	b r i t a n n aː r u m
Britannās	b r i t a n n a s
Britannīs	b r i t a n n i s
Britannō	b r i t a n n o
Britannōrum	b r i t a n n ɔː r u m
Britannōs	b r i t a n n o s
Brittannia	b r i t t a n n i a
Brittanniae	b r i t t a n n i e
Brittanniam	b r i t t a n n i a m
Brittanniārum	b r i t t a n n i aː r u m
Brittanniās	b r i t t a n n i a s
Brittanniīs	b r i t t a n n i i s
Brittānia	b r i t t aː n i a
Brittāniae	b r i t t aː n i e
Brittāniam	b r i t t aː n i a m
Brittāniārum	b r i t t a n i aː r u m
Brittāniās	b r i t t aː n i a s
Brittāniīs	b r i t t aː n i i s
Brittōne	b r i t t ɔː n e
Brittōnem	b r i t t ɔː n e m
Brittōnibus	b r i t t ɔː n i b u s
Brittōnis	b r i t t ɔː n i s
Brittōnum	b r i t t ɔː n u m
Brittōnēs	b r i t t ɔː n e s
Brittōnī	b r i t t ɔː n i
Britānia	b r i t aː n i a
Britāniae	b r i t aː n i e
Britāniam	b r i t aː n i a m
Britāniārum	b r i t a n i aː r u m
Britāniās	b r i t aː n i a s
Britāniīs	b r i t aː n i i s
Britō	b r iː t o
Britōne	b r i t ɔː n e
Britōnem	b r i t ɔː n e m
Britōnibus	b r i t ɔː n i b u s
Britōnis	b r i t ɔː n i s
Britōnum	b r i t ɔː n u m
Britōnēs	b r i t ɔː n e s
Britōnī	b r i t ɔː n i
Brundusium	b r u n d uː s̬ i u m
Bruttiō	b r u t t i o
Bruttī	b r u t t i
Bryazonta	b r i a d d͡z ɔ n t a
Bryttō	b r i t t o
Brōsellae	b r o s̬ ɛ l l e
Brōsellam	b r o s̬ ɛ l l a m
Brūnsvīcum	b r u n z v iː k u m
Brūnōnis	b r u n ɔː n i s
Brūto	b r uː t o
Bugella	b u d͡ʒ ɛ l l a
Bulotō	b uː l o t o
Burette	b u r ɛ t t e
Burgundie	b u r ɡ u n d i e
Burgundium	b u r ɡ u n d i u m
Burgundius	b u r ɡ u n d i u s
Burgundiī	b u r ɡ u n d i i
Burgundiīs	b u r ɡ u n d i i s
Burgundiōne	b u r ɡ u n d i ɔː n e
Burgundiōnem	b u r ɡ u n d i ɔː n e m
Burgundiōnibus	b u r ɡ u n d i ɔː n i b u s
Burgundiōnis	b u r ɡ u n d i ɔː n i s
Burgundiōnum	b u r ɡ u n d i ɔː n u m
Burgundiōnēs	b u r ɡ u n d i ɔː n e s
Burgundiōnī	b u r ɡ u n d i ɔː n i
Burgundiōrum	b u r ɡ u n d i ɔː r u m
Burgundiōs	b u r ɡ u n d i o s
Burriēne	b u r r i ɛː n e
Burriēnum	b u r r i ɛː n u m
Burriēnī	b u r r i ɛː n i
Burriēnō	b u r r i ɛː n o
Burundia	b u r u n d i a
Bēlī	b ɛː l i
Bēlō	b ɛː l o
Bērȳtos	b e r iː t o s
Bēssī	b ɛ s s i
Bēthlehem	b ɛ t l e e m
Bēthlehēmī	b e t l e ɛː m i
Bēthlehēmō	b e t l e ɛː m o
Bēthlem	b ɛ t l e m
Bēvum	b ɛː v u m
Bœōtiae	b e ɔ t t͡s i e
Bœōtiam	b e ɔ t t͡s i a m
Būca	b uː k a
Bȳzantiī	b i d d͡z a n t͡s i i
Bȳzantiō	b i d d͡z a n t͡s i o
Bȳzantī	b i d d͡z a n t i
C	k
C	ɡ
Cadurcīs	k a d u r t͡ʃ i s
Cadurcōrum	k a d u r k ɔː r u m
Cadurcōs	k a d u r k o s
Caecīna	t͡ʃ e t͡ʃ iː n a
Caesarea	t͡ʃ e s̬ aː r e a
Caesareae	t͡ʃ e s̬ a r ɛː e
Caesareae	t͡ʃ e s̬ aː r e e
Caesaream	t͡ʃ e s̬ a r ɛː a m
Caesaream	t͡ʃ e s̬ aː r e a m
Caesaree	t͡ʃ e s̬ aː r e e
Caesareum	t͡ʃ e s̬ aː r e u m
Caesareārum	t͡ʃ e s̬ a r e aː r u m
Caesareās	t͡ʃ e s̬ aː r e a s
Caesareī	t͡ʃ e s̬ aː r e i
Caesareīs	t͡ʃ e s̬ aː r e i s
Caesareō	t͡ʃ e s̬ aː r e o
Caesareōrum	t͡ʃ e s̬ a r e ɔː r u m
Caesareōs	t͡ʃ e s̬ aː r e o s
Caesariāna	t͡ʃ e s̬ a r i aː n a
Caesariānae	t͡ʃ e s̬ a r i aː n e
Caesariānam	t͡ʃ e s̬ a r i aː n a m
Caesariāne	t͡ʃ e s̬ a r i aː n e
Caesariānum	t͡ʃ e s̬ a r i aː n u m
Caesariānārum	t͡ʃ e s̬ a r i a n aː r u m
Caesariānās	t͡ʃ e s̬ a r i aː n a s
Caesariānī	t͡ʃ e s̬ a r i aː n i
Caesariānīs	t͡ʃ e s̬ a r i aː n i s
Caesariānō	t͡ʃ e s̬ a r i aː n o
Caesariānōrum	t͡ʃ e s̬ a r i a n ɔː r u m
Caesariānōs	t͡ʃ e s̬ a r i aː n o s
Caesarēa	t͡ʃ e s̬ a r ɛː a
Caesarīna	t͡ʃ e s̬ a r iː n a
Caesarīnae	t͡ʃ e s̬ a r iː n e
Caesarīnam	t͡ʃ e s̬ a r iː n a m
Caesarīne	t͡ʃ e s̬ a r iː n e
Caesarīnum	t͡ʃ e s̬ a r iː n u m
Caesarīnārum	t͡ʃ e s̬ a r i n aː r u m
Caesarīnās	t͡ʃ e s̬ a r iː n a s
Caesarīnī	t͡ʃ e s̬ a r iː n i
Caesarīnīs	t͡ʃ e s̬ a r iː n i s
Caesarīnō	t͡ʃ e s̬ a r iː n o
Caesarīnōrum	t͡ʃ e s̬ a r i n ɔː r u m
