ሀሎ	h a l o
ምን፡ምን	m ɨ n m ɨ n
ምኖች	m ɨ n o t͡ʃː
ሞተ	m o t ə
ሠላሳ	s ə l a s a
ሥልሳ	s ɨ l s a
ሥር	s ɨ r
ሥሳ	s ɨ sː a
ሥድሳ	s ɨ d s a
ሦስተኛ	s o s t ə ɲː a
ሦስት	s o s t
ረቡ	ɾ ə b u
ረቡዕ	ɾ ə b u ʔ
ሩሲያ	r u s i j a
ሩቅ	ɾ u kʼ
ሩዝ	ɾ u z
ሩጫ	ɾ u t͡ʃʼː a
ራስ	ɾ a s
ራብ	ɾ a b
ሬሳ	ɾ e s a
ሮም	ɾ o m
ሮብ	ɾ o b
ሰላም	s ə l a m
ሰማንያ	s ə m a n j a
ሰባ	s ə b a
ሰባት	s ə b a tː
ሰኞ	s ə ɲː o
ሰው	s ə w
ሰውዬ	s ə w ɨ jː e
ሰዓት	s ə ʔ a t
ሱቅ	s u kʼ
ሲኒማ	s i n i m a
ሳመ	s a m ə
ሳሙና	s a m u n a
ሳምንት	s a mː ɨ n t
ሳቀ	s a kʼ ə
ሳቡና	s a b u n a
ሳት	s a t
ሴት	s e t
ሴትዮ	s e t ɨ jː o
ስልክ	s ɨ l k
ስሜ	s ɨ m e
ስም	s ɨ m
ስምንት	s ɨ mː ɨ n t
ስር	s ɨ r
ስንዴ	s ɨ n d e
ስድስት	s ɨ dː ɨ s t
ስጋ	s ɨ ɡ a
ስፍር	s ɨ f ɾ
ሸለመ	ʃ ə lː ə m ə
ሹምብራ	ʃ u m b ɨ ɾ a
ሺ	ʃ i
ሺህ	ʃ i h
ሻይ	ʃ a j
ሽመላ	ʃ ɨ m ə l a
ሽምብራ	ʃ ɨ m b ɨ ɾ a
ሽንብራ	ʃ ɨ n b ɨ ɾ a
ሽንት	ʃ ɨ n t
ሽጉጡን	ʃ ɨ ɡː u tʼ u n
ሽጉጥ	ʃ ɨ ɡː u tʼ
ሾክ	ʃ o k
ቀበቶ	kʼ ə b ə t t o
ቀብድ	kʼ ə b d
ቀዝቃዛ	kʼ ə z kʼ ə zː a
ቁርስ	kʼ u r s
ቂንጥር	kʼ i n tʼ ɨ r
ቃል	kʼ a l
ቋንቋ	kʼ w a n kʼ w a
ቋንቋ	kʼ ʊ a n kʼ ʊ a
ቍርስ	kʼʷ ɨ r s
በሬ	b ə ɾ e
በቅሎ	b ə kʼ l o
በዳ	b ə d a
በገና	b ə ɡ ə n a
በጣጢስ	b ə tʼ a tʼ i s
ቡም	b u m
ቢራቢሮ	b i r r a b i rː o
ቢዛ	b i z a
ቢጫ	b i t͡ʃʼ a
ባል	b a l
ቤተሰብ	b i t ə s ə b ɨ
ቤቴ	b e t e
ቤት	b e t
ብርቱካን	b ɨ r t u k a n
ብቻ	b ɨ t͡ʃː a
ብዕር	b ɨ ʔ ɨ ɾ
ብዙ	b ɨ z u
ብጫ	b ɨ t͡ʃʼ a
ቪዛ	v i z a
ተማሪ	t ə m a r i
ተረከዝ	t ə ɾ ə k ə z
ተንታኝ	t ə n t a ɲ
ተከፈተ	t ə k ə f f ə t ə
ትል	tʰ ɨ l
ትምባሆ	t ɨ m b a h o
ቻይ	t͡ʃ a j
ነበረ	n ə b b ə ɾ ə
ነው	n ə w
ነገ	n ə ɡ ə
ነጭ	n ə t͡ʃʼ
ነፍጠኛ	n ə f tʼ ə ɲː a
ኑዛዜ	n u zː a z e
ንጉሥ	n ɨ ɡ u s
ንጉሦች	n ɨ ɡ u s o t͡ʃː
ንግሥት	n ɨ ɡ ɨ s t
ንግሥቶች	n ɨ ɡ ɨ s t o t͡ʃː
ኖረ	n o ɾ ə
አልቦ	ʔ a l b o
አልተገነባችም	ʔ a l t ə ɡ ə n ə bː a t͡ʃː ɨ mː
አመት	ʔ a m ə t
አምሳ	ʔ a m s a
አምሳግር	ʔ a m s a ɡ ɨ ɾ
አምሳ፡እግር	ʔ a m s a ʔ ɨ ɡ ɨ ɾ
አምስተኛ	ʔ a m s t ə ɲː a
አምስት	ʔ a mː ɨ s t
አምበሳ	ʔ a m b ə sː a
አሥራራት	ʔ a s ɾ a ɾ a tː
አረሰ	ʔ a rː ə s ə
አራተኛ	ʔ a ɾ a tː ə ɲː a
አራት	ʔ a ɾ a tː
አርመንኛ	ʔ a ɾ m ə n ɨ ɲː a
አርሜንኛ	ʔ a ɾ m e n ɨ ɲː a
አርባ	ʔ a ɾ b a
አስተማሪ	a s t ə m a ɾ i
አሸለመ	ʔ a ʃ ʃ ə lː ə m ə
አበባ	a β ə β a
አባት	ʔ a bː a t
አንበሳ	ʔ a n b ə sː a
አንተ	ʔ a n t ə
አንቱ	ʔ a n t u
አንቺ	ʔ a n t͡ʃ i
አንደኛ	ʔ a n d ə ɲː a
አንዲት	ʔ a n d i t
አንድ	ʔ a n d
አውሮፓ	a w r o p a
አዘመተ	ʔ a z z ə mː ə t ə
አይደለም	ʔ a j d ə lː ə mː
አዲስ	ʔ a dː i s
አጥር	a tʼ e r
አጻፈ	ʔ a t͡s t͡sʼ a f ə
አፍ	ə f
አፍንጫ	ʔ a f ɨ n t͡ʃʼ a
ኡነት	ʔ u n ə t
ኢትዮጵያ	i t i j o pʼ j a
ኢትዮጵያ	i tʰ i o pʼ i a
እምስ	ʔ ɨ m s
እሪስቅ	ʔ ɨ ɾ i s kʼ
እራስ	ʔ ɨ ɾ a s
እራብ	ʔ ɨ ɾ a b
እርሱ	ʔ ɨ ɾ s u
እርሳቸው	ʔ ɨ ɾ s a t͡ʃː ə w
እርስዎ	ʔ ɨ ɾ s ɨ w o
እርሷ	ʔ ɨ ɾ sʷ a
እርዳታ	ɨ r d a t a
እሮብ	ʔ ɨ ɾ o b
እሱ	ʔ ɨ sː u
እሳት	ʔ ɨ s a t
እሳቸው	ʔ ɨ sː a t͡ʃː ə w
እሴት	ʔ ɨ s e t
እስትንፋስ	ʔ ɨ s t ɨ n f a s
እስዎ	ʔ ɨ sː ɨ w o
እሷ	ʔ ɨ sːʷ a
እሾክ	ʔ ɨ ʃ o k
እት	ʔ ɨ t
እቺ	ʔ ɨ t͡ʃː i
እች	ʔ ɨ t͡ʃː
እኅት	ʔ ɨ h ɨ t
እነማን	ʔ ɨ nː ə m a n
እነርሱ	ʔ ɨ nː ə ɾ s u
እነሱ	ʔ ɨ nː ə sː u
እነዚህ	ʔ ɨ nː ə zː i h
እነዚያ	ʔ ɨ nː ə zː i j a
እናት	ʔ ɨ nː a t
እናንተ	ʔ ɨ nː a n t ə
እናንት	ʔ ɨ nː a n t ɨ
እኔ	ʔ ɨ n e
እንጀራ	ʔ ɨ n d ʒ ə r a
እኛ	ʔ ɨ ɲː a
እዛብ	ʔ ɨ z a b
እጅ	ʔ ɨ d͡ʒː
እግረኛ	ʔ ɨ ɡ r ə ɲː a
እግር	ʔ ɨ ɡ ɨ ɾ
እግርጌ	ʔ ɨ ɡ ɨ r ɡ e
እጡብ	ʔ ɨ tʼ u b
ከለከለ	k ə l ə k ə l ə
ከሰላ	k ə s ə l a
ከሰረት	k ə s ə ɾ ə t
ከሰሰ	k ə s ə s ə
ከስከሴ	k ə s k ə sː e
ከፈተ	k ə f f ə t ə
ክረምት	k r ə m t
ክረምት	k ɨ r ə m t
ክርስትና	k r ɨ s t ɨ nː a
ክርክራ	k ɨ ɾ k ɨ rː a
ክብ	k ɨ b
ክብር	k ɨ b ɨ ɾ
ክብር	k ɨ b ɾ
ክንፍ	k ɨ n f
ኮሶ	k o s o
ኮሶኛ	k o s o ɲː a
ኮከብ	k o k ə b
ኳሰ	kʷ a s ə
ኳስ	kʷ a s
ወምበር	w ə m b ə ɾ
ወኔ	w ə nː e
ወንበር	w ə n b ə ɾ
ወንዝ	w ə n z
ወንድም	w ə n d ɨ mː
ወንድምዬ	w ə n d ɨ m m ɨ jː e
ወይፈን	w ə j f ə n
ወፍ	w ə f
ዉሻ	w u ʃː a
ዋና	w a n a
ዋና	w a nː a
ውሻ	w ɨ ʃː a
ውሻዎች	w ɨ ʃː a w o t͡ʃː
ውሾች	w ɨ ʃː o t͡ʃː
ዐሥራ	ʔ a s ɾ a
ዐሥራምስት	ʔ a s ɾ a mː ɨ s t
ዐሥራንድ	ʔ a s ɾ a n d
ዐሥር	ʔ a sː ɨ ɾ
ዐባይ	ʔ a bː a j
ዓመት	ʔ a m ə t
ዕጣን	ɨ tʼ a n
ዘመተ	z ə mː ə t ə
ዘር	z ə r
ዘነዘና	z ə n ə z ə n a
ዘጠና	z ə tʼ ə n a
ዘጠኝ	z ə tʼ ə ɲː
ዛብ	z a b
ዛፍ	z a f
ዜሮ	z e ɾ o
ዝምብ	z ɨ m b
ዝናብ	z ɨ n a b
ዝንብ	z ɨ n b
ዝግጁ	z ɨ ɡ d͡ʒ u
የርሱ	j ə ɾ s u
የርሷ	j ə ɾ sʷ a
የሱ	j ə sː u
የሷ	j ə sːʷ a
የቱ	j ə t u
የቲቱ	j ə t i t u
የት	j ə t
የትኛው	j ə t ɨ ɲː a w
የቷ	j ə tʷ a
የነርሱ	j ə nː ə ɾ s u
የነሱ	j ə nː ə sː u
የናንተ	j ə nː a n t ə
የኔ	j ə n e
የኛ	j ə ɲː a
ያ	j a
ያቺ	j a t͡ʃː i
ያች	j a t͡ʃː
ያንተ	j a n t ə
ያንቺ	j a n t͡ʃ i
ይህ	j ɨ h
ይህቺ	j ɨ h ɨ t͡ʃː i
ይህች	j ɨ h ɨ t͡ʃː
ይቺ	j ɨ t͡ʃː i
ይች	j ɨ t͡ʃː
ደመና	d ə mː ə n a
ደም	d ə m
ደብዳቤ	d ə b d a bː e
ደንዳና	d ə n d a nː a
ደግ	d ə ɡː
ዲዳ	d i d a
ድመት	d ɨ mː ə t
ድንች	d ɨ nː ɨ t͡ʃː
ድንጋይ	d ɨ n ɡ a j
ድዳ	d ɨ d a
ዶሮ	d o ɾ o
ጀብዱ	d͡ʒ ə b d u
ጃርት	d͡ʒ a r t
ጅራት	d͡ʒ ɨ r a t
ጅብዱ	d͡ʒ ə b d u
ገረድ	ɡ ə ɾ ə d
ጉልበት	ɡ u l b ə t
ጉማሬ	ɡ u m a rː e
ጉበት	ɡ u bː ə t
ጌታ	ɡ e t a
ግራ	ɡ ɨ ɾ a
ግራ	ɡ ɾ a
ግርጌ	ɡ ɨ r ɡ e
ጓደኛ	ɡʷ a dː ə ɲː a
ጠረጴዛ	tʼ ə ɾ ə pʼː e z a
ጠጣ	tʼ ə tʼː a
ጡብ	tʼ u b
ጡት	tʼ u t
ጣት	tʼ a t
ጥርስ	tʼ ɨ ɾ s
ጥበብ	tʼ ɨ b ə b
ጨረቃ	t͡ʃʼ ə ɾ ə kʼ a
ጨው	t͡ʃʼ ə w
ጭስ	t͡ʃʼ ɨ s
ጭንቅላት	t͡ʃʼ ɨ n kʼ ɨ lː a t
ጳውሎስ	pʼ a w l o s
ጻፈ	t͡sʼ a f ə
ፀሐይ	t͡sʼ ə h a j
ፈረስ	f ə ɾ ə s
ፈርጥ	f ə ɾ tʼ
ፊልም	f i l m
ፊት	f i t
ፊደል	f i d ə l
ፖለቲካ	p o l ə t i k a
ፖሊስ	p o l i s
ፖስታ	p o s t a
