Anne	ɑ n ə
bearke	b ɪ ə̯ r k ə
bears	b ɪ ə̯ s
bedekke	b ə d ɛ k ə
bedjerre	b ə d j ɛ r ə
bedjerre	b ə d j ɛː r ə
bedrage	b ə d r aː ɣ ə
beest	b eː s t
beesten	b eː s t ə n
beestje	b eː s j ə
beestke	b eː s k ə
befalle	b ə f ɔ l ə
befarre	b ə f a r ə
befelje	b ə f ɛ l j ə
befrieze	b ə f r i ə̯ z ə
begjinne	b ə ɡ j ɪ n ə
begraafplak	b ə ɡ r aː f p l a k
begraafplakje	b ə ɡ r aː f p l a k j ə
begraafplakken	b ə ɡ r aː f p l a k ə n
begrave	b ə ɡ r aː v ə
begripe	b ə ɡ r i p ə
begroeting	b ə ɡ r u ə̯ t ɪ ŋ
begroetsje	b ə ɡ r u ə̯ t s j ə
beheine	b ə h a i̯ n ə
beheine	b ə h ɛ i̯ n ə
behâlde	b ə h ɔː d ə
bekende	b ə k ɛ n d ə
bekenden	b ə k ɛ n d ə n
bekrûpe	b ə k r u p ə
bel	b ɛ l
belibje	b ə l ɪ b j ə
belide	b ə l i d ə
bellen	b ɛ l ə n
beltsje	b ɛ l t s j ə
belust	b ə l ø s t
beppe	b ɛ p ə
beppesizzer	b ɛ p ə s ɪ z ə r
beppesizzerke	b ɛ p ə s ɪ z ə r k ə
beppesizzers	b ɛ p ə s ɪ z ə s
berch	b ɛ r x
berchgeit	b ɛ r ɣ ɡ a i̯ t
berchgeit	b ɛ r ɣ ɡ ɛ i̯ t
berchgeiten	b ɛ r ɣ ɡ a i̯ t ə n
berchgeiten	b ɛ r ɣ ɡ ɛ i̯ t ə n
berchgeitsje	b ɛ r ɣ ɡ a i̯ t s j ə
berchgeitsje	b ɛ r ɣ ɡ ɛ i̯ t s j ə
berjocht	b ə r j o x t
berjochtsje	b ə r j o x t s j ə
bern	b ɛ n
bern	b ɛː n
bernsbern	b ɛː n z b ɛː n
bernsberntsje	b ɛː n z b ɛ n t s j ə
berntsje	b ɛ n t s j ə
berte	b ɛ t ə
berteplak	b ɛ t ə p l a k
berteplakje	b ɛ t ə p l a k j ə
berteplakken	b ɛ t ə p l a k ə n
bestean	b ə s t ɪ ə̯ n
bestimme	b ə s t ɪ m ə
bestimming	b ə s t ɪ m ɪ ŋ
bestimmingen	b ə s t ɪ m ɪ ŋ ə n
bestimmings	b ə s t ɪ m ɪ ŋ s
bestjoer	b ə s t j u ə̯ r
bestân	b ə s t ɔː n
beswier	b ə s v i ə̯ r
beswieren	b ə s v i ə̯ r ə n
beswierskrift	b ə s v i ə̯ r s k r ɪ f t
beswierskriften	b ə s v i ə̯ r s k r ɪ f t ə n
betelje	b ə t ɛ l j ə
betsjutte	b ə t s j ø t ə
betsjutting	b ə t s j ø t ɪ ŋ
betterskip	b ɛ t ə r s k ɪ p
beuker	b øː k ə r
bidde	b ɪ d ə
biede	b i ə̯ d ə
bien	b i ə̯ n
biennen	b j ɪ n ə n
bientsje	b j ɪ n t s j ə
bier	b i ə̯ r
bieren	b i ə̯ r ə n
bierke	b i ə̯ r k ə
biezem	b i ə̯ z ə m
biezemke	b i ə̯ z ə m k ə
biezems	b i ə̯ z ə m s
bij	b ɛ i̯
bijen	b ɛ i̯ ə n
bijke	b ɛ i̯ k ə
bile	b i l ə
bine	b i n ə
binnen	b ɪ n ə n
binnenstedsje	b ɪ n ə n s t ɛ t s j ə
binnenstêd	b ɪ n ə n s t ɛː t
binnenstêden	b ɪ n ə n s t ɛː d ə n
bioskoop	b i ɔ s k oː p
bioskoopke	b i ɔ s k oː p k ə
bioskopen	b i ɔ s k oː p ə n
biskop	b ɪ s k ɔ p
bismut	b ɪ s m ø t
bist	b ɪ s t
bisten	b ɪ s t ə n
bistje	b ɪ s j ə
bistke	b ɪ s k ə
bite	b i t ə
bjist	b j ɪ s t
bjuster	b j ø s t ə r
blau	b l ɔ u̯
blaze	b l a z ə
blei	b l a i̯
blei	b l ɛ i̯
bleien	b l a i̯ ə n
bleien	b l ɛ i̯ ə n
bleike	b l a i̯ k ə
bleike	b l ɛ i̯ k ə
blike	b l i k ə
blinke	b l ɪ ŋ k ə
bliuwe	b l j oː w ə
bloed	b l u ə̯ t
bloedearmoed	b l u ə̯ t j ɛ r m u ə̯ t
bloedgroep	b l u ə̯ d ɡ r u p
bloedgroepen	b l u ə̯ d ɡ r u p ə n
blom	b l o m
boarre	b w a r ə
boarren	b w a r ə n
boartsje	b w a t s j ə
boaskje	b oː ə ʃ k j ə
boat	b o ə̯ t
boek	b u k
boekje	b u k j ə
bot	b o t
brea	b r ɪ ə̯
breidzje	b r a i̯ d z j ə
breidzje	b r ɛ i̯ d z j ə
bretaal	b r ə t aː l
breugeman	b r öː ɡ ə m ɔ n
bringe	b r ɪ ŋ ə
brouwe	b r ɔ u̯ ə
brêge	b r ɛː ɣ ə
brûke	b r u k ə
buis	b œ y̯ s
burd	b ø t
by	b i
by	b ɛ i̯
byld	b i l t
bywurd	b i v ø d
bywurd	b ɛ i̯ v ø d
bêd	b ɛː t
bôle	b ɔː l ə
bûter	b u t ə r
dakpanne	d ɑ k p ɑ n
dat	d ɔ t
deadzje	d ɪ ə̯ d z j e
dei	d a i̯
dei	d ɛ i̯
del	d ɛ l
died	d i ə̯ t
dier	d i ə̯ r
din	d ɪ n
dines	d i n ə s
ding	d ɪ ŋ
dize	d iː z ə
djip	d j ɪ p
do	d oː
do	d ə
doar	d o ə̯ r
doare	d o ə̯ r ə
doarp	d u̯ a r p
dochter	d ɔ x t ə r
doe	d u
doetiid	d u t iː t
dolle	d o l ə
draak	d r aː k
drage	d r a ɣ ə
dream	d r ɪ ə̯ m
dreame	d r ɪ ə̯ m e
drinke	d r ɪ ŋ k ə
drinkwetter	d r ɪ ŋ k v ɛ t ə r
drippe	d r ɪ p ə
driuwe	d r j o u̯ ə
driuwe	d r j oː w ə
dwaan	d v aː n
dwyl	d v i l
dy	d i
dy	d ɘ
dy	d ɛ i̯
dyk	d i k
dyn	d i n
dysels	d i s ɛ l s
dysels	d ɛ i̯ s ɛ l s
dôf	d ɔː f
dû	d u
dû	d ə
dûnsje	d uː n s j ə
ea	ɪ ə̯
each	ɪ ə̯ x
eal	ɪ ə̯ l
eameler	ɪ ə m ə l ə r
eare	ɪ ə̯ r ə
earm	j ɛ r m
earm	ɪ ə̯ r m
earmoed	j ɛ r m u ə̯ t
earmtakke	j ɛ r m t a k ə
earremoed	j ɛ r ə m u ə̯ t
earring	ɪ ə̯ r ɪ ŋ
easkje	ɪ ə̯ s k j e
east	i ə s t
eat	ɪ ə̯ t
eilân	a i̯ l ɔː n
eilân	ɛ i̯ l ɔː n
ein	a i̯ n
ein	ɛ i̯ n
en	ɛ n
en	ɪ n
enerzjy	eː n ə r z j i
ergerje	ɛ r ɣ ə r j ə
esk	ɛ s k
faam	f aː m
fabryk	f a b r i k
falle	f ɔ l ə
falle	f ɔː l ə
famke	f a m k ə
fan	f ɔ n
fange	f a ŋ ə
fansels	f a n s ɛ l s
farwol	f a r v o l
feart	f ɪ ə̯ t
fee	f eː
ferjitte	f ə j ɪ t ə
ferkeapje	f ə r k ɪ ə̯ p j ə
ferlieze	f ə l i ə̯ z ə
ferlytsje	f ə l i t s j ə
feroarje	f ə r o ə̯ r j ə
fersoargje	f ə s w a r ɣ j ə
fertelle	f ə t ɛ l ə
fertsjusterje	f ə t s j ø s t ə r j ə
fetsje	f ɛ t s j ə
fiele	f i ə̯ l ə
fiere	f i ə̯ r ə
fierljeppe	f i ə̯ r l j ɛ p ə
fiif	f iː f
fine	f i n ə
finger	f ɪ ŋ ə r
fisk	f ɪ s k
fjochtsje	f j o x t s j ə
fjoer	f j u ə̯ r
fjouwer	f j ɔ u̯ ə r
fleane	f l ɪ ə̯ n ə
fleis	f l a i̯ s
fleis	f l ɛ i̯ s
fleugel	f l øː ɣ ə l
flokke	f l o k ə
flues	f l y ə̯ s
flústerje	f l y s t ə r j ə
foar	f o ə̯ r
foar	f w a r
foarbyld	f w a r b i l t
foargrûn	f w a ɡ r u n
foarholle	f w a r h o l ə
foarjier	f w a j i ə̯ r
foarjier	f w a r i ə̯ r
foarjiersmoanne	f w a j i ə̯ s m w a n ə
foarjiersmoanne	f w a r i ə̯ s m w a n ə
foarke	f w a r k ə
foet	f u ə̯ t
fokje	f ɔ k j ə
folgje	f o l ɣ j ə
folk	f o l k
folwoeksen	f o l v u k s ə n
fraach	f r aː x
freegje	f r eː ɣ j ə
freon	f r ø ə̯ n
frieze	f r i ə̯ z ə
frij	f r ɛ i̯
frjemd	f r j ɛ m t
froask	f r w a s k
frou	f r ɔ u̯
fruchtber	f r ø ɣ d b ə r
fruit	f r ɔ̈ i̯ t
fuortsmite	f w o t s m i t ə
fyn	f i n
fyts	f i t s
fâldzje	f ɔː d z j ə
fêst	f ɛː s t
fûgel	f u ɣ ə l
fûgel	f uː ɣ ə l
fûl	f u l
galm	ɡ a l m
galm	ɡ ɔ l m
gas	ɡ ɔ s
gean	ɡ ɪ ə̯ n
gear	ɡ ɪ ə̯ r
gefal	ɡ ə f ɔ l
geit	ɡ a i̯ t
geit	ɡ ɛ i̯ t
gemeente	ɣ ə m eː n t ə
genôch	ɡ ə n ɔː x
gers	ɡ ɛː s
geslacht	ɡ ə s l a x t
gewisse	ɡ ə v ɪ s ə
gewricht	ɡ ə v r ɪ x t
gjin	ɡ j ɪ n
gleon	ɡ l ø ə̯ n
glide	ɡ l i d ə
glide	ɡ l iː d ə
glorieus	ɡ l o r i øː s
glês	ɡ l ɛː s
goate	ɡ oː ə t ə
goed	ɡ u ə t
goeie	ɡ uː j ə
goud	ɡ ɔ u̯ t
grave	ɡ r aː v ə
grien	ɡ r i ə̯ n
griente	ɡ r i ə̯ n t ə
grime	ɡ r i m ə
gripe	ɡ r i p ə
groetsje	ɡ r u ə̯ t s j ə
groppe	ɡ r o p ə
grêf	ɡ r ɛː f
grûn	ɡ r u n
guon	ɡ w o n
gûle	ɡ u l ə
gûle	ɡ uː l ə
haad	h aː t
haadsaak	h aː d s aː k
haadwurd	h aː d v ø t
haatsje	h aː t s j ə
hagedis	h aː ɣ ə d ɪ s
hallo	h a l oː
handich	h ɔ n d ə x
har	h a r
harkje	h a r k j ə
harres	h a r ə s
harsels	h a s ɛ l s
hart	h a t
hartoch	h a r t ɔ x
hartochje	h a r t ɔ x j ə
hartoggen	h a r t ɔ ɣ ə n
hartoginne	h a r t ɔ ɣ ɪ n ə
hartoginnen	h a r t ɔ ɣ ɪ n ə n
hartogintsje	h a r t ɔ ɣ ɪ n t s j ə
havenhaad	h aː v ə n h aː t
hawar	h a v a r
hawwe	h a v ə
hea	h ɪ ə̯
heal	h ɪ ə̯ l
hear	h ɪ ə̯ r
hearre	j ɛ r ə
hearre	j ɛː r ə
hefbeam	h ɛ f b ɪ ə̯ m
heffe	h ɛ f ə
heine	h a i̯ n ə
heine	h ɛ i̯ n ə
heit	h a i̯ t
heit	h ɛ i̯ t
hel	h ɛ l
helje	h ɛ l j ə
help	h ɛ l p
helpe	h ɛ l p ə
hert	h ɛ t
hielal	h i ə̯ l ɔ l
him	h ɪ m
him	ə m
himel	h i m ə l
himsels	h ɪ m s ɛ l s
hinne	h ɪ n ə
hja	j a
hjerring	j ɛ r ɪ ŋ
hjerst	j ɛ s t
hjerstmoanne	j ɛ s t m w a n ə
hjir	j ɪ r
hjitte	j ɪ t ə
hjoed	j u ə̯ t
hoanne	w a n ə
hoe	h u
hoe't	h u t
hoi	h o i̯
holle	h o l ə
hoop	h oː p
hoopje	h oː p j ə
hope	h oː p ə
hout	h ɔ u̯ t
houwe	h ɔ u̯ ə
hy	h i
hy	h ɛ i̯
hynder	h i n d ə r
hâlde	h ɔː d ə
hâlde	h ɔː r ə
hân	h ɔː n
hôf	h ɔː f
húsdier	h y z d i ə̯ r
hûn	h u n
hûn	h uː n
hûndert	h u n d ə t
hûs	h uː s
hûs	h yː s
iel	i ə̯ l
ien	i ə̯ n
iental	i ə̯ n t ɔ l
ierdbei	j ɪ d b a i̯
ierdbei	j ɪ r b a i̯
ierde	i ə̯ d ə
ies	i ə̯ s
iik	iː k
iis	iː s
iisberch	iː z b ɛ r x
ik	k
ik	ɪ k
ime	i m ə
in	ə n
is	ɪ s
it	ə t
it	ɪ t
ite	i t ə
iuw	iː w
izer	iː z ə r
ja	j a
ja	j aː
jaan	j aː n
jawis	j a v ɪ s
jern	j ə n
jern	j ɛ n
jier	i ə̯ r
jier	j i ə̯ r
jierboek	i ə̯ r b u k
jierboek	j i ə̯ r b u k
jierren	j ɪ r ə n
jiertelling	j i ə̯ r t ɛ l ɪ ŋ
jild	j ɪ l t
jim	j ɪ m
jimmer	j ɪ m ə r
jimmes	j ɪ m ə s
jimsels	j ɪ m s ɛ l s
jiske	j ɪ s k ə
jitte	j ɪ t ə
jittik	j ɪ t ə k
jo	j oː
jo	j ə
josels	j oː s ɛ l s
jowes	j oː w ə s
juny	j y n i
jutter	j ø t ə r
jûn	j u n
jûn	j uː n
karton	k ə t o n
kat	k ɔ t
keal	k ɪ ə̯ l
keapje	k ɪ ə̯ p j ə
kein	k a i̯ n
kein	k ɛ i̯ n
kenne	k ɛ n ə
kieze	k i ə̯ z ə
kin	k ɪ n
kinne	k ɛ n ə
kinne	k ɪ n ə
klaai	k l aː j
klinke	k l ɪ ŋ k ə
kloft	k l o f t
knibbel	k n ɪ b ə l
knokkel	k n ɔ k ə l
knyflok	k n i f l ɔ k
knyn	k n i n
ko	k oː
koal	k o ə̯ l
koarts	k o ə̯ t s
koel	k u ə̯ l
koer	k u ə̯ r
komeet	k ə m eː t
komma	k o m a
komme	k o m ə
kowefleis	k oː f l a i̯ s
krante	k r ɔ n t ə
krekt	k r ɛ k t
kriich	k r iː x
krije	k r ɛ i̯ ə
kringe	k r ɪ ŋ ə
kruk	k r ø k
krêft	k r ɛː f t
kâld	k ɔː t
laitsje	l a i̯ t s j ə
leaf	l ɪ ə̯ f
learaar	l ɪ ə̯ r aː r
leare	l ɪ ə̯ r ə
learling	l ɪ ə̯ l ɪ ŋ
leauwe	l j oː w ə
leavehearsbistke	l ɪ ə̯ v ə h ɪ ə̯ s b ɪ s k ə
leavje	l ɪ ə̯ v j ə
leffert	l ɛ f ə t
libje	l ɪ b j ə
liet	l i ə t
liif	l iː f
liifspreuk	l iː f s p r øː k
liturgy	l i t ø r ɡ i
liuw	l j o u̯
liuw	l j y u̯
ljeppe	l j ɛ p ə
ljip	l j ɪ p
ljisk	l j ɪ s k
ljocht	l j ɔ x t
lobje	l o b j ə
lok	l o k
lokwinsk	l o k v eː n s k
loopgraaf	l oː p x r aː f
losmeitsje	l o s m a i̯ t s j ə
losmeitsje	l o s m ɛ i̯ t s j ə
lykje	l i k j ə
lân	l ɔː n
lêze	l ɛː z ə
lûd	l uː t
maart	m aː t
man	m ɔ n
manneboet	m ɔ n ə b u ə t
materiaal	m a t ə r i aː l
mear	m ɪ ə̯ r
meartal	m ɪ ə̯ r t ɔ l
meast	m ɪ ə s t
mefrou	m ə f r ɔ u̯
mei	m a i̯
mei	m ɛ i̯
meie	m a i̯ ə
meie	m ɛ i̯ ə
meitsje	m a i̯ t s j ə
meitsje	m ɛ i̯ t s j ə
melde	m ɛ l d ə
mem	m ɛ m
merje	m ɛ r j ə
metaal	m ə t aː l
mich	m ɪ x
middei	m ɪ d i
middei	m ɪ d j ə
middei	m ɪ d z j ə
middei	m ɪ d ɛ i̯
miene	m i ə̯ n ə
mienskip	m i ə̯ n s k ɪ p
miente	m i ə̯ n t ə
miggesiftsje	m ɪ ɣ ə s ɪ f t s j ə
mines	m i n ə s
minister	m i n ɪ s t ə r
minister	m ə n ɪ s t ə r
minske	m ɪ n s k ə
miskien	m ə s k i ə̯ n
miskien	m ɪ s k i ə̯ n
moai	m oː j
moandei	m a n d i
moandei	m a n d j ə
moanne	m w a n ə
moarn	m o ə̯ n
moatte	m w a t ə
moed	m u t
moskee	m ɔ s k eː
museum	m y s eː ə m
muzyk	m y z i k
my	m i
my	m ɛ i̯
myn	m i n
myn	m ɛ ɪ̯ n
mysels	m i s ɛ l s
mysels	m ɛ i̯ s ɛ l s
mûle	m u l ə
mûs	m u s
mûs	m uː s
naasje	n aː s j ə
nacht	n a x t
nea	n ɪ ə̯
neaken	n ɪ ə̯ k ə n
neame	n ɪ ə̯ m ə
nee	n eː
needgefal	n eː d ɡ ə f ɔ l
needgefallen	n eː d ɡ ə f ɔ l ə n
needgefaltsje	n eː d ɡ ə f ɔ l t s j ə
nei	n a i̯
nei	n ɛ i̯
net	n ɛ t
niid	n iː t
niisneamd	n iː z n ɪ ə̯ m t
nij	n ɛ i̯
nimme	n ɪ m ə
njirre	n j ɪ r ə
njoggen	n j ɔ ɣ ə n
njonken	n j o ŋ k ə n
noard	n o ə̯ t
noard	n w a t
noch	n ɔ x
notiid	n oː t iː t
nôt	n ɔː t
nút	n y t
oaljefant	o ə̯ l j ə f ɔ n t
oant	o n t
oant	o ə̯ n t
oardiel	o ə d i ə l
oarloch	o ə̯ l ɔ x
oarsaak	o ə r s aː k
oefenje	u f ə n j ə
oelewapper	u l ə v a p ə r
oer	u ə̯ r
oere	u ə̯ r ə
oersette	u ə̯ s ɛ t ə
oerwurk	u ə̯ r v ø r k
of	ɔ f
okee	o k eː
omearmje	o m j ɛ r m j ə
omearmje	o m ɪ ə̯ r m j ə
op	o p
oprjocht	o p r j o x t
opromje	o p r o m j ə
paakje	p aː k j ə
pachter	p a x t ə r
pake	p aː k ə
pakesizzer	p aː k ə s ɪ z r
pakke	p a k ə
papier	p ə p i ə̯ r
partnerskip	p aː t n ə r s k ɪ p
petear	p ə t ɪ ə̯ r
pistoal	p i s t o ə̯ l
pjuk	p j ø k
plak	p l a k
plantsje	p l ɔ n t s j ə
pleats	p l ɪ ə̯ t s
plestik	p l ɛ s t ə k
plestik	p l ɛ s t ɪ k
ploffe	p l o f ə
plysje	p l i s j ə
poatte	p u̯ a t ə
pop	p o p
poppe	p o p ə
prate	p r aː t ə
presidint	p r eː s i d ɪ n t
priuwe	p r j oː w ə
probleem	p r oː b l eː m
prom	p r o m
provinsje	p r oː f ɪ n s j ə
provinsje	p r ə f ɪ n s j ə
provinsjehûs	p r oː v ɪ n s j ə h uː s
provinsjehûs	p r ə v ɪ n s j ə h uː s
pyst	p i s t
reager	r ɪ ə̯ ɣ ə r
reaksje	r eː a k s j ə
reek	r eː k
registrearje	r eː ɣ i s t r j ɛ r j ə
rein	r a i̯ n
rein	r ɛ i̯ n
reinigingsoffer	r ɛ i̯ n ə ɣ ɪ ŋ s ɔ f ə r
religy	r ə l i ɣ i
ride	r i d ə
ride	r iː d ə
riede	r i ə̯ d ə
ringje	r ɪ ŋ j ə
rinne	r ɪ n ə
risiko	r i z i k oː
ritme	r ɪ t m ə
rivier	r i v i ə r
rivier	r ə v i ə r
rjocht	r j o x t
robbe	r o b ə
romje	r o m j ə
roppe	r o p ə
rubber	r ø b ə r
ryk	r i k
rêch	r ɛː x
rûch	r u x
rûp	r u p
sakje	s a k j ə
salamander	s ɔ l ə m ɔ n d ə r
see	s eː
seehûn	s eː h u n
segen	s eː ɡ ə n
sein	s a i̯ n
sein	s ɛ i̯ n
seine	s a i̯ n ə
seine	s ɛ i̯ n ə
seis	s a i̯ s
seis	s ɛ i̯ s
sels	s ɛ l s
sette	s ɛ t ə
side	s i d ə
siede	s i ə̯ d ə
siel	s i ə l
siftsje	s ɪ f t s j ə
sike	s i k ə
sike	s iː k ə
sille	s ɪ l ə
sin	s ɪ n
sines	s i n ə s
sinke	s ɪ ŋ k ə
sitte	s ɪ t ə
sizze	s ɪ z ə
sjen	s j ɛ n
sjitte	s j ɪ t ə
sjonge	s j o ŋ ə
skea	s k ɪ ə
skelet	s k ə l ɛ t
skelle	s k ɛ l ə
skets	s k ɛ t s
skiep	s k i ə̯ p
skip	s k ɪ p
skite	s k i t ə
skoal	s k o ə̯ l
skoalle	s k w a l ə
skoaltsje	s k o ə̯ l t s j ə
skoaltsje	s k w a l t s j ə
skoech	s k u x
skoech	s k uː x
skoft	s k o f t
skonk	s k o ŋ k
skrieme	s k r i ə̯ m ə
skrift	s k r ɪ f t
skrik	s k r ɪ k
skriuwe	s k r j oː w ə
skyldpod	s k i l t p o t
skyt	s k i t
slach	s l a x
slang	s l a ŋ
sleat	s l ɪ ə̯ t
sliepe	s l i ə p ə
slim	s l ɪ m
slute	s l y t ə
smite	s m i t ə
sneden	s n eː d ə n
sneed	s n eː t
sneedsje	s n eː t s j ə
snein	s n a i̯ n
snein	s n ɛ i̯ n
sneon	s n ø ə̯ n
snie	s n i ə̯
snobber	s n o b ə r
snobberij	s n o b ə r ɛ i̯
snobje	s n o b j ə
soan	s o ə n
soarch	s w a r x
soargje	s w a r ɣ j ə
spelt	s p ɛ l t
spinneweb	s p ɪ n ə v ɛ p
spinreach	s p ɪ n r ɪ ə̯ x
spjalte	s p j ɔ l t ə
spjaltskimmel	s p j ɔ l t s k ɪ m ə l
spjelt	s p j ɛ l t
spjir	s p j ɪ r
spoarwei	s p o ə̯ v a i̯
spoarwei	s p o ə̯ v ɛ i̯
sport	s p ɔ r t
sprekke	s p r ɛ k ə
springe	s p r ɪ ŋ ə
spuie	s p œ y̯ ə
spûk	s p u k
spûk	s p uː k
stean	s t ɪ ə̯ n
steat	s t ɪ ə̯ t
stien	s t i ə̯ n
stim	s t ɪ m
stimme	s t ɪ m ə
stins	s t ɪ n s
stirns	s t ɪ n s
stjerre	s t j ɛ r ə
stjerre	s t j ɛː r ə
stjûne	s t j uː n ə
streakje	s t r ɪ ə̯ k j ə
stream	s t r ɪ ə̯ m
streame	s t r ɪ ə̯ m ə
striid	s t r iː t
striidtoaniel	s t r iː t o n i ə̯ l
striidtoaniel	s t r iː t ə n i ə̯ l
stêd	s t ɛː t
stûkje	s t u k j ə
suvel	s yː v ə l
swak	s v a k
swel	s v ɛ l
swier	s v i ə̯ r
swije	s v ɛ i̯ ə
swije	s w ɛ i̯ ə
swimme	s v ɪ m ə
swurd	s v ø t
sy	s i
sy	s ə
sy	s ɛ i̯
sydsulver	s i t s ʏ l f ə r
sykhelje	s i k h ɛ l j ə
sykje	s i k j ə
sykte	s i k t ə
syktekym	s i k t ə k i m
syn	s i n
sân	s ɔː n
sêd	s ɛː t
sêdzje	s ɛ d z j ə
súntsjes	s y n t s j ə s
sûchdier	s uː ɣ d i ə̯ r
sûkelade	s uː k ə l aː d ə
sûkerbôle	s u k ə r b ɔː l ə
sûnde	s u n d ə
sûnt	s u n t
ta	t a
takke	t a k ə
tal	t ɔ l
tanke	t a ŋ k ə
tankewol	t a ŋ k ə v o l
teamwurk	t iː m v ø r k
tean	t ɪ ə̯ n
tee	t eː
teef	t eː f
tegearre	t ə ɡ j ɛ r ə
teister	t a i̯ s t ə r
teister	t ɛ i̯ s t ə r
tekken	t ɛ k ə n
telefyzje	t eː l ə f i z j ə
telle	t ɛ l ə
telling	t ɛ l ɪ ŋ
temûk	t ə m u k
terp	t ɛ r p
tige	t iː ɣ ə
tiisdei	t iː z d i
tinke	t ɪ ŋ k ə
tins	t ɪ n s
toane	t o ə̯ n ə
toaniel	t o n i ə̯ l
toaniel	t ə n i ə̯ l
toarst	t o ə̯ s t
toevje	t uː v j ə
tonger	t o ŋ ə r
tou	t ɔ u̯
treaste	t r ɪ ə̯ s t ə
trije	t r ɛ i̯ ə
