अ	ɐ
अक्तु	ɐ k t̪ u
अक्तुभिस्	ɐ k t u bʱ i s
अक्तुभिस्	ɐ k t̪ u bʱ i s̪
अक्तोस्	ɐ k t ɐ w s
अक्तोस्	ɐ k t̪ oː s̪
अक्रूर	ɐ k ɾ uː ɾ ɐ
अक्लान्त	ɐ k l ɑː n t ɐ
अक्लान्त	ɐ k l̪ ɑː n̪ t̪ ɐ
अक्लिष्ट	ɐ k l i ʂ ʈ ɐ
अक्लिष्ट	ɐ k l̪ i ʂ ʈ ɐ
अक्ष	ɐ k ʂ ɐ
अक्ष	ɐ́ k ʂ ɐ
अक्षत	ɐ k ʂ ɐ t̪ ɐ
अक्षत	ɐ́ k ʂ ɐ t ɐ
अक्षता	ɐ k ʂ ɐ t̪ ɑː
अक्षता	ɐ́ k ʂ ɐ t ɑː
अक्षन्	ɐ k ʂ ɐ n
अक्षन्	ɐ k ʂ ɐ n̪
अक्षम	ɐ k ʂ ɐ m ɐ
अक्षमा	ɐ k ʂ ɐ m ɑː
अक्षम्य	ɐ k ʂ ɐ m j ɐ
अक्षय	ɐ k ʂ ɐ j ɐ
अक्षयता	ɐ k ʂ ɐ j ɐ t ɑː
अक्षयता	ɐ k ʂ ɐ j ɐ t̪ ɑː
अक्षयत्व	ɐ k ʂ ɐ j ɐ t ʋ ɐ
अक्षयत्व	ɐ k ʂ ɐ j ɐ t̪ ʋ ɐ
अक्षया	ɐ k ʂ ɐ j ɑː
अक्षय्य	ɐ k ʂ eː j ɐ
अक्षय्य	ɐ k ʂ ɐ j j ɐ́
अक्षर	ɐ k ʂ ɐ ɾ ɐ
अक्षर	ɐ k ʂ ɐ́ ɾ ɐ
अक्षरसमाम्नाय	ɐ k ʂ ɐ ɾ ɐ s̪ ɐ m ɑː m n̪ ɑː j ɐ
अक्षरा	ɐ k ʂ ɐ ɾ ɑː
अक्षहृदय	ɐ k ʂ ɐ ɦ r̩ d ɐ j ɐ
अक्षहृदय	ɐ k ʂ ɐ ɦ r̩ d̪ ɐ j ɐ
अक्षान्ति	ɐ k ʂ ɑː n t i
अक्षान्ति	ɐ k ʂ ɑː n̪ t̪ i
अक्षार	ɐ k ʂ ɑː ɾ ɐ
अक्षि	ɐ k ʂ i
अक्षि	ɐ́ k ʂ i
अक्षित	ɐ k ʂ i t̪ ɐ
अक्षित	ɐ́ k ʂ i t ɐ
अक्षितोति	ɐ k ʂ i t̪ oː t̪ i
अक्षितोति	ɐ́ k ʂ i t ɐ w t i
अक्षिपुट	ɐ k ʂ i p u ʈ ɐ
अक्षुण्ण	ɐ k ʂ u ɳ ɳ ɐ
अक्षुण्णता	ɐ k ʂ u ɳ ɳ ɐ t ɑː
अक्षुण्णता	ɐ k ʂ u ɳ ɳ ɐ t̪ ɑː
अक्षोभ	ɐ k ʂ oː bʱ ɐ
अक्षोभ	ɐ k ʂ ɐ w bʱ ɐ
अक्षोभ्य	ɐ k ʂ oː bʱ j ɐ
अक्षोभ्य	ɐ k ʂ ɐ w bʱ j ɐ
अक्षौहिणी	ɐ k ʂ ɑ w ɦ i ɳ iː
अक्षौहिणी	ɐ k ʂ ɑː w ɦ i ɳ iː
अक्ष्	ɐ k ʂ
अक्ष्णया	ɐ k ʂ ɳ ɐ j ɑː
अखण्ड	ɐ kʰ ɐ ɳ ɖ ɐ
अखिल	ɐ kʰ i l ɐ
अखिल	ɐ kʰ i l̪ ɐ
अखिलेन	ɐ kʰ i l ɐ j n ɐ
अखिलेन	ɐ kʰ i l̪ eː n̪ ɐ
अग	ɐ ɡ ɐ
अगच्छत	ɐ ɡ ɐ t t͡ɕʰ ɐ t ɐ
अगच्छत	ɐ ɡ ɐ t̪ t͡ɕʰ ɐ t̪ ɐ
अगच्छतम्	ɐ ɡ ɐ t t͡ɕʰ ɐ t ɐ m
अगच्छतम्	ɐ ɡ ɐ t̪ t͡ɕʰ ɐ t̪ ɐ m
अगच्छताम्	ɐ ɡ ɐ t t͡ɕʰ ɐ t ɑː m
अगच्छताम्	ɐ ɡ ɐ t̪ t͡ɕʰ ɐ t̪ ɑː m
अगच्छत्	ɐ ɡ ɐ t̪ t͡ɕʰ ɐ t̪
अगच्छत्	ɐ́ ɡ ɐ t t͡ɕʰ ɐ t
अगच्छन्	ɐ ɡ ɐ t t͡ɕʰ ɐ n
अगच्छन्	ɐ ɡ ɐ t̪ t͡ɕʰ ɐ n̪
अगच्छम्	ɐ ɡ ɐ t t͡ɕʰ ɐ m
अगच्छम्	ɐ ɡ ɐ t̪ t͡ɕʰ ɐ m
अगच्छस्	ɐ ɡ ɐ t t͡ɕʰ ɐ s
अगच्छस्	ɐ ɡ ɐ t̪ t͡ɕʰ ɐ s̪
अगच्छाम	ɐ ɡ ɐ t t͡ɕʰ ɑː m ɐ
अगच्छाम	ɐ ɡ ɐ t̪ t͡ɕʰ ɑː m ɐ
अगच्छाव	ɐ ɡ ɐ t t͡ɕʰ ɑː ʋ ɐ
अगच्छाव	ɐ ɡ ɐ t̪ t͡ɕʰ ɑː ʋ ɐ
अगच्छे	ɐ ɡ ɐ t t͡ɕʰ ɐ j
अगच्छे	ɐ ɡ ɐ t̪ t͡ɕʰ eː
अगद	ɐ ɡ ɐ d ɐ
अगद	ɐ ɡ ɐ d̪ ɐ
अगन्	ɐ ɡ ɐ n̪
अगन्	ɐ́ ɡ ɐ n
अगमत्	ɐ ɡ ɐ m ɐ t̪
अगमत्	ɐ́ ɡ ɐ m ɐ t
अगम्य	ɐ ɡ ɐ m j ɐ
अगम्यत	ɐ ɡ ɐ m j ɐ t ɐ
अगम्यत	ɐ ɡ ɐ m j ɐ t̪ ɐ
अगम्यागमन	ɐ ɡ ɐ m j ɑː ɡ ɐ m ɐ n ɐ
अगम्यागमन	ɐ ɡ ɐ m j ɑː ɡ ɐ m ɐ n̪ ɐ
अगम्ये	ɐ ɡ ɐ m j eː
अगम्ये	ɐ ɡ ɐ m j ɐ j
अगरु	ɐ ɡ ɐ ɾ u
अगस्ति	ɐ ɡ ɐ s t i
अगस्ति	ɐ ɡ ɐ s̪ t̪ i
अगस्त्य	ɐ ɡ ɐ s t j ɐ
अगस्त्य	ɐ ɡ ɐ s̪ t̪ j ɐ
अगाध	ɐ ɡ ɑː dʱ ɐ
अगाध	ɐ ɡ ɑː d̪ʱ ɐ
अगार	ɐ ɡ ɑː ɾ ɐ
अगिर	ɐ ɡ i ɾ ɐ
अगुण	ɐ ɡ u ɳ ɐ
अगुरु	ɐ ɡ u ɾ u
अगोह्य	ɐ ɡ oː ɦ j ɐ
अगोह्य	ɐ ɡ ɐ w ɦ j ɐ
अग्नि	ɐ ɡ n í
अग्नि	ɐ ɡ n̪ i
अग्निः	ɐ ɡ n í h
अग्निः	ɐ ɡ n̪ i h
अग्निचित्	ɐ ɡ n i t͡ɕ i t
अग्निचित्	ɐ ɡ n̪ i t͡ɕ i t̪
अग्निपर्वत	ɐ ɡ n i p ɐ ɾ ʋ ɐ t ɐ
अग्निपर्वत	ɐ ɡ n̪ i p ɐ ɾ ʋ ɐ t̪ ɐ
अग्निम्	ɐ ɡ n í m
अग्निम्	ɐ ɡ n̪ i m
अग्निष्टोम	ɐ ɡ n i ʂ ʈ ɐ w m ɐ
अग्निष्टोम	ɐ ɡ n̪ i ʂ ʈ oː m ɐ
अग्निहोत्र	ɐ ɡ n i ɦ ɐ w t ɾ ɐ
अग्निहोत्र	ɐ ɡ n̪ i ɦ oː t̪ ɾ ɐ
अग्ने	ɐ ɡ n̪ eː
अग्ने	ɐ́ ɡ n ɐ j
अग्न्याधान	ɐ ɡ n j ɑː dʱ ɑː n ɐ
अग्न्याधान	ɐ ɡ n̪ j ɑː d̪ʱ ɑː n̪ ɐ
अग्न्याधेय	ɐ ɡ n j ɑː dʱ ɐ j j ɐ
अग्न्याधेय	ɐ ɡ n̪ j ɑː d̪ʱ eː j ɐ
अग्र	ɐ ɡ ɾ ɐ
अग्रज	ɐ ɡ ɾ ɐ d͡ʑ ɐ
अग्रज	ɐ ɡ ɾ ɐ d͡ʑ ɐ́
अग्रहस्त	ɐ ɡ ɾ ɐ ɦ ɐ s t ɐ
अग्रहस्त	ɐ ɡ ɾ ɐ ɦ ɐ s̪ t̪ ɐ
अग्रहायण	ɐ ɡ ɾ ɐ ɦ ɑː j ɐ ɳ ɐ
अग्रिम	ɐ ɡ ɾ i m ɐ
अग्रिम	ɐ ɡ ɾ i m ɐ́
अग्रू	ɐ ɡ ɾ uː
अग्रू	ɐ ɡ ɾ úː
अघ	ɐ ɡʱ ɐ
अघ	ɐ ɡʱ ɐ́
अघोर	ɐ ɡʱ oː ɾ ɐ
अघोर	ɐ ɡʱ ɐ w ɾ ɐ
अघ्न्या	ɐ ɡʱ n̪ j ɑː
अघ्न्या	ɐ ɡʱ n̪ j ɑ́ː
अघ्न्या	ɐ́ ɡʱ n̪ j ɑː
अङ्क	ɐ ŋ k ɐ
अङ्क	ɐ ŋ k ɐ́
अङ्कनी	ɐ ŋ k ɐ n iː
अङ्कनी	ɐ ŋ k ɐ n̪ iː
अङ्कयति	ɐ ŋ k ɐ j ɐ t i
अङ्कयति	ɐ ŋ k ɐ j ɐ t̪ i
अङ्कस्	ɐ ŋ k ɐ s̪
अङ्कस्	ɐ́ ŋ k ɐ s
अङ्कित	ɐ ŋ k i t ɐ
अङ्कित	ɐ ŋ k i t̪ ɐ
अङ्कुश	ɐ ŋ k u ɕ ɐ
अङ्खयति	ɐ ŋ kʰ ɐ j ɐ t i
अङ्खयति	ɐ ŋ kʰ ɐ j ɐ t̪ i
अङ्ग	ɐ ŋ ɡ ɐ
अङ्ग	ɐ́ ŋ ɡ ɐ
अङ्गद	ɐ ŋ ɡ ɐ d ɐ
अङ्गद	ɐ ŋ ɡ ɐ d̪ ɐ
अङ्गन	ɐ ŋ ɡ ɐ n ɐ
अङ्गन	ɐ ŋ ɡ ɐ n̪ ɐ
अङ्गना	ɐ ŋ ɡ ɐ n ɑː
अङ्गना	ɐ ŋ ɡ ɐ n̪ ɑː
अङ्गमर्दन	ɐ ŋ ɡ ɐ m ɐ ɾ d̪ ɐ n̪ ɐ
अङ्गसङ्ग	ɐ ŋ ɡ ɐ s̪ ɐ ŋ ɡ ɐ
अङ्गसङ्ग	ɐ́ ŋ ɡ ɐ s ɐ ŋ ɡ ɐ
अङ्गार	ɐ ŋ ɡ ɑː ɾ ɐ
अङ्गार	ɐ́ ŋ ɡ ɑː ɾ ɐ
अङ्गारक	ɐ ŋ ɡ ɑː ɾ ɐ k ɐ
अङ्गिरस्	ɐ ŋ ɡ i ɾ ɐ s̪
अङ्गिरस्	ɐ́ ŋ ɡ i ɾ ɐ s
अङ्गुरि	ɐ ŋ ɡ u ɾ i
अङ्गुल	ɐ ŋ ɡ u l ɐ
अङ्गुल	ɐ ŋ ɡ u l̪ ɐ
अङ्गुलि	ɐ ŋ ɡ u l̪ i
अङ्गुलि	ɐ ŋ ɡ ú l i
अङ्गुली	ɐ ŋ ɡ u l iː
अङ्गुली	ɐ ŋ ɡ u l̪ iː
अङ्गुलीय	ɐ ŋ ɡ u l íː j ɐ
अङ्गुलीय	ɐ ŋ ɡ u l̪ iː j ɐ
अङ्गुष्ठ	ɐ ŋ ɡ u ʂ ʈʰ ɐ
अङ्गुष्ठ	ɐ ŋ ɡ ú ʂ ʈʰ ɐ
अङ्ग्	ɐ ŋ ɡ
अङ्ग्य	ɐ ŋ ɡ j ɐ
अङ्घ्रि	ɐ ŋ ɡʱ ɾ i
अचर	ɐ t͡ɕ ɐ ɾ ɐ
अचल	ɐ t͡ɕ ɐ l ɐ
अचल	ɐ t͡ɕ ɐ l̪ ɐ
अचित्ति	ɐ t͡ɕ i t t i
अचित्ति	ɐ t͡ɕ i t̪ t̪ i
अचिर	ɐ t͡ɕ i ɾ ɐ
अचिर	ɐ t͡ɕ í ɾ ɐ
अचिरः	ɐ t͡ɕ i ɾ ɐ h
अचिरः	ɐ t͡ɕ í ɾ ɐ h
अचिरम्	ɐ t͡ɕ i ɾ ɐ m
अचिरम्	ɐ t͡ɕ í ɾ ɐ m
अचिराः	ɐ t͡ɕ i ɾ ɑː h
अचिराः	ɐ t͡ɕ í ɾ ɑː h
अचिरौ	ɐ t͡ɕ i ɾ ɑ w
अचिरौ	ɐ t͡ɕ í ɾ ɑː w
अच्छ	ɐ t t͡ɕʰ ɐ
अच्छ	ɐ t̪ t͡ɕʰ ɐ
अच्छभल्ल	ɐ t t͡ɕʰ ɐ bʱ ɐ l l ɐ
अच्छभल्ल	ɐ t̪ t͡ɕʰ ɐ bʱ ɐ l̪ l̪ ɐ
अच्युत	ɐ t͡ɕ j u t ɐ
अच्युत	ɐ t͡ɕ j u t̪ ɐ
अज	ɐ d͡ʑ ɐ
अज	ɐ d͡ʑ ɐ́
अजगन्ध	ɐ d͡ʑ ɐ ɡ ɐ n̪ d̪ʱ ɐ
अजगर	ɐ d͡ʑ ɐ ɡ ɐ ɾ ɐ
अजगर	ɐ d͡ʑ ɐ ɡ ɐ ɾ ɐ́
अजति	ɐ d͡ʑ ɐ t̪ i
अजति	ɐ́ d͡ʑ ɐ t i
अजन्त	ɐ d͡ʑ ɐ n̪ t̪ ɐ
अजन्त	ɐ́ d͡ʑ ɐ n t ɐ
अजमोद	ɐ d͡ʑ ɐ m oː d̪ ɐ
अजमोद	ɐ d͡ʑ ɐ m ɐ w d ɐ
अजर	ɐ d͡ʑ ɐ ɾ ɐ
अजर्बैजान	ɐ d͡ʑ ɐ ɾ b ɑ j d͡ʑ ɑː n̪ ɐ
अजा	ɐ d͡ʑ ɑː
अजाजि	ɐ d͡ʑ ɑː d͡ʑ i
अजाति	ɐ d͡ʑ ɑː t i
अजाति	ɐ d͡ʑ ɑː t̪ i
अजिगांसत्	ɐ d͡ʑ i ɡ ɑ̃ː s ɐ t
अजिगांसत्	ɐ d͡ʑ i ɡ ɑ̃ː s̪ ɐ t̪
अजिर	ɐ d͡ʑ i ɾ ɐ
अजिरायति	ɐ d͡ʑ i ɾ ɑː j ɐ t i
अजिरायति	ɐ d͡ʑ i ɾ ɑː j ɐ t̪ i
अजीर्ण	ɐ d͡ʑ iː ɾ ɳ ɐ
अज्	ɐ d͡ʑ
अज्ञ	ɐ d͡ʑ ɲ ɐ
अज्ञान	ɐ d͡ʑ ɲ ɑː n ɐ
अज्ञान	ɐ d͡ʑ ɲ ɑː n̪ ɐ
अज्ञानी	ɐ d͡ʑ ɲ ɑː n iː
अज्ञानी	ɐ d͡ʑ ɲ ɑː n̪ iː
अज्ञासीत्	ɐ d͡ʑ ɲ ɑː s̪ iː t̪
अज्ञासीत्	ɐ́ d͡ʑ ɲ ɑː s iː t
अज्र	ɐ d͡ʑ ɾ ɐ
अज्र	ɐ́ d͡ʑ ɾ ɐ
अज्र्य	ɐ d͡ʑ ɾ j ɐ
अज्र्य	ɐ d͡ʑ ɾ j ɐ́
अज्वर	ɐ d͡ʑ ʋ ɐ ɾ ɐ
अञ्चति	ɐ ɲ t͡ɕ ɐ t i
अञ्चति	ɐ ɲ t͡ɕ ɐ t̪ i
अञ्चति	ɐ́ ɲ t͡ɕ ɐ t i
अञ्चिष्यति	ɐ ɲ t͡ɕ i ʂ j ɐ t i
अञ्चिष्यति	ɐ ɲ t͡ɕ i ʂ j ɐ t̪ i
अञ्च्	ɐ ɲ t͡ɕ
अञ्जनरस	ɐ ɲ d͡ʑ ɐ n ɐ ɾ ɐ s ɐ
अञ्जनरस	ɐ ɲ d͡ʑ ɐ n̪ ɐ ɾ ɐ s̪ ɐ
अञ्जना	ɐ ɲ d͡ʑ ɐ n ɑː
अञ्जना	ɐ ɲ d͡ʑ ɐ n̪ ɑː
अञ्जस्	ɐ ɲ d͡ʑ ɐ s̪
अञ्जस्	ɐ́ ɲ d͡ʑ ɐ s
अञ्ज्	ɐ ɲ d͡ʑ
अटन	ɐ ʈ ɐ n̪ ɐ
अटवि	ɐ ʈ ɐ ʋ i
अट्	ɐ ʈ
अट्ट	ɐ ʈ ʈ ɐ
अट्टहास	ɐ ʈ ʈ ɐ ɦ ɑː s ɐ
अट्टहास	ɐ ʈ ʈ ɐ ɦ ɑː s̪ ɐ
अट्टालिका	ɐ ʈ ʈ ɑː l i k ɑː
अट्टालिका	ɐ ʈ ʈ ɑː l̪ i k ɑː
अठ्	ɐ ʈʰ
अणु	ɐ ɳ u
अण्ठ्	ɐ ɳ ʈʰ
अण्ड	ɐ ɳ ɖ ɐ
अण्डीर	ɐ ɳ ɖ iː ɾ ɐ
अतति	ɐ t̪ ɐ t̪ i
अतति	ɐ́ t ɐ t i
अतल	ɐ t ɐ l ɐ
अतल	ɐ t̪ ɐ l̪ ɐ
अताप्सीत्	ɐ t ɑː p s iː t
अताप्सीत्	ɐ t̪ ɑː p s̪ iː t̪
अति	ɐ t̪ i
अति	ɐ́ t i
अतिकामुक	ɐ t i k ɑː m u k ɐ
अतिकामुक	ɐ t̪ i k ɑː m u k ɐ
अतिकाय	ɐ t i k ɑː j ɐ
अतिकाय	ɐ t̪ i k ɑː j ɐ
अतिथि	ɐ t̪ i t̪ʰ i
अतिथि	ɐ́ t i tʰ i
अतिथिदेव	ɐ t i tʰ i d ɐ j ʋ ɐ
अतिथिदेव	ɐ t̪ i t̪ʰ i d̪ eː ʋ ɐ
अतिथिदेवः	ɐ t i tʰ i d ɐ j ʋ ɐ h
अतिथिदेवः	ɐ t̪ i t̪ʰ i d̪ eː ʋ ɐ h
अतिथिदेवो	ɐ t i tʰ i d ɐ j ʋ ɐ w
अतिथिदेवो	ɐ t̪ i t̪ʰ i d̪ eː ʋ oː
अतिथिपति	ɐ t̪ i t̪ʰ i p ɐ t̪ i
अतिथिपति	ɐ́ t i tʰ i p ɐ t i
अतिथिपतिः	ɐ t̪ i t̪ʰ i p ɐ t̪ i h
अतिथिपतिः	ɐ́ t i tʰ i p ɐ t i h
अतिपात	ɐ t i p ɑː t ɐ
अतिपात	ɐ t̪ i p ɑː t̪ ɐ
अतिभूमि	ɐ t i bʱ uː m i
अतिभूमि	ɐ t̪ i bʱ uː m i
अतिमारुत	ɐ t i m ɑː ɾ u t ɐ
अतिमारुत	ɐ t̪ i m ɑː ɾ u t̪ ɐ
अतिरेक	ɐ t i ɾ ɐ j k ɐ
अतिरेक	ɐ t̪ i ɾ eː k ɐ
अतिश्वन्	ɐ t i ɕ ʋ ɐ n
अतिश्वन्	ɐ t̪ i ɕ ʋ ɐ n̪
अतीत	ɐ t iː t ɐ
अतीत	ɐ t̪ iː t̪ ɐ
अतीव	ɐ t iː ʋ ɐ
अतीव	ɐ t̪ iː ʋ ɐ
अतुल्य	ɐ t u l j ɐ
अतुल्य	ɐ t̪ u l̪ j ɐ
अत्	ɐ t
अत्	ɐ t̪
अत्क	ɐ t̪ k ɐ
अत्क	ɐ́ t k ɐ
अत्तव्य	ɐ t t ɐ́ ʋ j ɐ
अत्तव्य	ɐ t̪ t̪ ɐ ʋ j ɐ
अत्ति	ɐ t̪ t̪ i
अत्ति	ɐ́ t t i
अत्तृ	ɐ t t ŕ̩
अत्तृ	ɐ t̪ t̪ r̩
अत्यद्भुत	ɐ t j ɐ d bʱ u t ɐ
अत्यद्भुत	ɐ t̪ j ɐ d̪ bʱ u t̪ ɐ
अत्यर्थम्	ɐ t j ɐ ɾ tʰ ɐ m
अत्यर्थम्	ɐ t̪ j ɐ ɾ t̪ʰ ɐ m
अत्याहित	ɐ t j ɑː ɦ i t ɐ
अत्याहित	ɐ t̪ j ɑː ɦ i t̪ ɐ
अत्र	ɐ t̪ ɾ ɐ
अत्र	ɐ́ t ɾ ɐ
अत्रि	ɐ t̪ ɾ i
अत्रि	ɐ́ t ɾ i
अथ	ɐ t̪ʰ ɐ
अथ	ɐ́ tʰ ɐ
अथर्वन्	ɐ t̪ʰ ɐ ɾ ʋ ɐ n̪
अथर्वन्	ɐ́ tʰ ɐ ɾ ʋ ɐ n
अथर्ववेद	ɐ tʰ ɐ ɾ ʋ ɐ ʋ ɐ j d ɐ
अथर्ववेद	ɐ t̪ʰ ɐ ɾ ʋ ɐ ʋ eː d̪ ɐ
अदन	ɐ d ɐ́ n ɐ
अदन	ɐ d̪ ɐ n̪ ɐ
अदनीय	ɐ d ɐ́ n iː j ɐ
अदनीय	ɐ d̪ ɐ n̪ iː j ɐ
अदर	ɐ d ɐ ɾ ɐ
अदर	ɐ d̪ ɐ ɾ ɐ
अदस्	ɐ d ɐ́ s
अदस्	ɐ d̪ ɐ s̪
अदाक्षिण्य	ɐ d ɑː k ʂ i ɳ j ɐ
अदाक्षिण्य	ɐ d̪ ɑː k ʂ i ɳ j ɐ
अदिति	ɐ d i t i
अदिति	ɐ d̪ i t̪ i
अदृष्ट	ɐ d r̩ ʂ ʈ ɐ
अदृष्ट	ɐ d̪ r̩ ʂ ʈ ɐ
अद्	ɐ d
अद्	ɐ d̪
अद्ग	ɐ d̪ ɡ ɐ
अद्ग	ɐ́ d ɡ ɐ
अद्धा	ɐ d dʱ ɑː
अद्धा	ɐ d̪ d̪ʱ ɑː
अद्भुत	ɐ d bʱ u t ɐ
अद्भुत	ɐ d̪ bʱ u t̪ ɐ
अद्य	ɐ d j ɐ́
अद्य	ɐ d̪ j ɐ
अद्यापि	ɐ d j ɑː p i
अद्यापि	ɐ d̪ j ɑː p i
अद्यैव	ɐ d j ɑ́ː j ʋ ɐ
अद्यैव	ɐ d̪ j ɑ j ʋ ɐ
अद्राक्षीत्	ɐ d ɾ ɑː k ʂ iː t
अद्राक्षीत्	ɐ d̪ ɾ ɑː k ʂ iː t̪
अद्रि	ɐ d̪ ɾ i
अद्रि	ɐ́ d ɾ i
अद्वैत	ɐ d̪ ʋ ɑ j t̪ ɐ
अद्वैत	ɐ́ d ʋ ɑː j t ɐ
अधम	ɐ dʱ ɐ m ɐ́
अधम	ɐ d̪ʱ ɐ m ɐ
अधर	ɐ d̪ʱ ɐ ɾ ɐ
