ꠀ	a
ꠄꠇꠂꠡ	e x ɔ i ʃ
ꠄꠇꠟꠣ	e x l a
ꠄꠞꠥꠡꠣꠟꠦꠝ	e ɾ u z a l e m
ꠄꠞꠥꠡꠣꠟꠦꠝ	e ɾ u ʃ a l e m
ꠅ	ɔ
ꠅꠄ	ɔ́ e̯
ꠅꠟꠂꠖ	ɔ́ l ɔ i d̪
ꠇ	x ɔ
ꠇꠂ	x ɔ i
ꠇꠌꠥꠀ	x ɔ s u a
ꠇꠟꠣ	x ɔ l a
ꠇꠣꠁꠟ	x a i l
ꠇꠣꠃꠀꠟꠥꠟꠤ	x a u a l u l i
ꠇꠣꠇꠂ	x a x ɔ i
ꠇꠣꠑꠟ	x a ʈ ɔ́ l
ꠇꠣꠔꠤ	x a t̪ i
ꠇꠣꠟꠤ	x a l i
ꠇꠤꠀꠘꠧ	k i a n ɔ
ꠇꠤꠃꠛꠣ	k i ʊ b a
ꠇꠤꠔꠣ	k i t̪ a
ꠇꠥꠀꠁ	k u a i
ꠇꠥꠁꠀꠞ	k u í a ɾ
ꠇꠥꠐꠥꠝ	k u ʈ u m
ꠇꠥꠔ꠆ꠔꠣ	k u t̪ː a
ꠇꠥꠘꠈꠣꠘꠧ	k u n x á n ɔ
ꠇꠥꠘꠣꠘꠧ	k u n a n ɔ
ꠈ	x ɔ́
ꠈꠛꠤꠍ	x ɔ b i s
ꠈꠟꠣ	x ɔ́ l a
ꠈꠣꠘꠧ	x á n ɔ
ꠈꠣꠝꠌꠠꠣ	x á m s ɔ ɽ a
ꠈꠣꠟꠤ	x á l i
ꠈꠦꠎꠥꠞ	x é z u ɾ
ꠈꠦꠠ	x é ɽ
ꠉ	ɡ ɔ
ꠉꠎꠟ	ɡ ɔ z ɔ l
ꠉꠙ	ɡ ɔ ɸ
ꠉꠣꠅ	ɡ a ʊ
ꠉꠣꠋ	ɡ a ŋ
ꠉꠣꠋ	ɡ a ŋ ɡ
ꠉꠣꠘ	ɡ a n
ꠉꠣꠜꠤꠘ	ɡ a b í n
ꠉꠣꠠꠤꠀ	ɡ a ɽ i a
ꠉꠥꠟ꠆ꠟꠤ	ɡ u lː i
ꠉꠥꠠꠣ	ɡ u ɽ a
ꠊ	ɡ ɔ́
ꠊꠞ	ɡ ɔ́ ɾ
ꠊꠠꠤ	ɡ ɔ́ ɽ i
ꠊꠣꠘꠥꠀ	ɡ á n u a
ꠊꠥꠠꠣ	ɡ ú ɽ a
ꠌ	s ɔ
ꠌꠂꠔ	s ɔ i t̪
ꠌꠃꠇꠣꠝ	s o u k a m
ꠌꠃꠈ	s ɔ ʊ k
ꠌꠇꠞ	s ɔ x ɔ ɾ
ꠌꠣ	s a
ꠌꠣꠁꠞ	s a i ɾ
ꠌꠣꠃꠟ	s a u l
ꠌꠣꠐꠤꠀꠘꠤ	s a ʈ i a n i
ꠌꠣꠘꠌꠠꠣ	s a n t͡ʃ ɔ ɽ a
ꠌꠣꠛꠤ	s a b i
ꠌꠤꠞꠂꠘ	s i ɾ ɔ i n
ꠌꠥꠔꠞꠣ	s u t̪ ɾ a
ꠌꠥꠞꠤ	s u r i
ꠍ	s ɔ́
ꠍꠄ	s ɔ e̯
ꠍꠣꠔ꠆ꠔꠤ	s á t̪ː i
ꠍꠣꠟꠘ	s á l ɔ n
ꠍꠣꠟꠝ	s á l ɔ m
ꠍꠤꠟꠐ	s í l ɔ ʈ
ꠍꠤꠟꠐꠤ	s í l ɔ ʈ i
ꠍꠥꠞꠤ	s ú ɾ i
ꠍꠦꠙ	s é ɸ
ꠎ	z ɔ
ꠎꠂꠑ	z ɔ i ʈ
ꠎꠣꠟ	z a l
ꠎꠦꠛ	z e b
ꠏ	z ɔ́
ꠏꠣꠟ	z á l
ꠐ	ʈ ɔ
ꠐꠟꠣ	ʈ ɔ l a
ꠐꠦꠋꠉꠣ	ʈ ɛ ŋ ɡ a
ꠑ	ʈ ɔ́
ꠑꠤꠇ	ʈ í k
ꠑꠥꠐ	ʈ ú ʈ
ꠑꠥꠘꠇꠣ	ʈ ú n x a
ꠒ	ɖ ɔ
ꠒꠣꠇ꠆ꠔꠞ	ɖ a x t̪ ɔ ɾ
ꠒꠣꠛ	ɖ a b
ꠒꠣꠟ	ɖ a l
ꠓ	ɖ ɔ́
ꠓꠣꠇꠣ	ɖ á x a
ꠓꠣꠟ	ɖ á l
ꠓꠥꠙꠤ	ɖ ú ɸ i
ꠓꠥꠟ	ɖ ú l
ꠔ	t̪ ɔ
ꠔꠣꠇꠣ	t̪ a x a
ꠔꠣꠟ	t̪ a l
ꠔꠤꠘ	t̪ i n
ꠔꠤꠟ	t̪ i l
ꠕ	t ɔ́
ꠕꠣꠟ	t̪ á l
ꠕꠥꠔꠣ	t̪ ú t̪ a
ꠖ	d̪ ɔ
ꠖꠡ	d̪ ɔ ʃ
ꠖꠣꠘ	d̪ a n
ꠖꠥꠁ	d̪ u i
ꠖꠦꠈꠞꠣ	d̪ e x ɾ a
ꠗ	d̪ ɔ́
ꠗꠁꠘ꠆ꠘꠛꠣꠖ	d̪ ɔ́ n n ɔ b a d̪
ꠗꠞꠣ	d̪ ɔ́ ɾ a
ꠗꠟꠣ	d̪ ɔ́ l a
ꠗꠣꠘ	d̪ á n
ꠗꠣꠞꠣ	d̪ á ɾ a
ꠗꠥꠞꠥꠝꠌꠣꠘ꠆ꠖꠤ	d̪ ú ɾ u m s a n d̪ i
ꠘ	n ɔ
ꠘꠃꠈ	n ɔ u k
ꠘꠄ	n ɔ e̯
ꠘꠣ	n a
ꠘꠣꠁꠇꠟ	n a i k ɔ l
ꠘꠣꠁꠝꠥꠠꠣꠟ	n a i m u ɽ a l
ꠘꠣꠁꠞꠟ	n a i ɾ ɔ l
ꠘꠣꠅ	n a ʊ
ꠘꠣꠇ	n a x
ꠘꠣꠉꠞꠤ	n a ɡ ɾ i
ꠘꠣꠝ	n a m
ꠘꠣꠞꠤꠅꠟ	n a ɾ i ɔ l
ꠘꠤꠝꠣꠔꠞꠣ	n i m a t̪ ɾ a
ꠘꠤꠞꠣꠁ	n i ɾ a i
ꠙ	ɸ ɔ
ꠙꠅꠞ	ɸ ɔ ɔ́ ɾ
ꠙꠔꠣ	ɸ ɔ t̪ a
ꠙꠘ꠆ꠒꠤꠔꠤ	ɸ ɔ n ɖ i t̪ i
ꠙꠣꠇ	ɸ a x
ꠙꠣꠈꠣ	ɸ a x á
ꠙꠣꠌ	ɸ a s
ꠙꠣꠔ꠆ꠕꠞ	ɸ a t̪ː ɔ ɾ́
ꠙꠣꠘ	ɸ a n
ꠙꠣꠘꠤ	ɸ a n i
ꠙꠣꠟꠋ	ɸ a l ɔ ŋ
ꠙꠤꠑ	ɸ i ʈ
ꠙꠤꠙꠠꠣ	ɸ i ɸ ɽ a
ꠙꠥꠀ	ɸ u a
ꠙꠥꠎꠣꠁꠟ	ɸ u z a i l
ꠙꠥꠔ	ɸ u t̪
ꠙꠥꠔ꠆ꠞꠣ	ɸ u t̪ ɾ a
ꠙꠥꠔꠣ	ɸ u t̪ a
ꠙꠥꠟ	ɸ u l
ꠙꠥꠠꠤ	ɸ u ɽ i
ꠙꠥꠡ	ɸ u ʃ
ꠙꠦꠇ	ɸ e x
ꠙꠦꠌꠣ	ɸ e s a
ꠚ	f ɔ́
ꠚꠟ	f ɔ́ l
ꠚꠣꠟ	f á l
ꠚꠣꠟ꠆ꠇꠥꠘ	f á l k u n
ꠚꠥꠟ	f ú l
ꠚꠦꠌꠣ	ɸ e s a
ꠛ	b ɔ
ꠛꠂꠡꠣꠉ	b ɔ i ʃ a ɡ
ꠛꠇꠞꠤ	b ɔ x ɾ i
ꠛꠞꠔꠘ	b ɔ ɾ t̪ ɔ n
ꠛꠣꠁꠔ	b a i t̪
ꠛꠣꠊ	b a ɡ
ꠛꠣꠔ	b a t̪
ꠛꠣꠔ꠆ꠔꠤ	b a t̪ː i
ꠛꠣꠔ꠆ꠔꠤꠀꠞꠣ	b a t̪ː i á ɾ a
ꠛꠣꠔꠔꠤ	b a t̪ t̪ i
ꠛꠣꠔꠤꠀꠞꠣ	b a t̪ i a ɾ a
ꠛꠣꠖ	b a d̪
ꠛꠣꠞꠤꠇ	b a ɾ i k
ꠛꠤꠀꠘ	b i á n
ꠛꠤꠀꠟ	b i a l
ꠛꠤꠌꠣꠟ	b i s a l
ꠛꠤꠍꠇꠥꠐ	b i sʼ k u ʈ
ꠛꠤꠍꠘꠣ	b i s n a
ꠛꠤꠟꠣꠁ	b i l a i
ꠛꠤꠠꠣ	b i ɽ a
ꠛꠤꠡ	b i ʃ
ꠛꠥꠎꠣ	b u z a
ꠛꠥꠞꠣ	b u ɾ a
ꠛꠦꠋꠉꠟꠤ	b ɛ ŋ ɡ ɔ l i
ꠛꠦꠐꠣ	b e ʈ a
ꠛꠦꠐꠤ	b e ʈ i
ꠜ	b ɔ́
ꠜꠂꠘ	b ɔ́ i n
ꠜꠂꠘꠣꠞꠤ	b ɔ́ i n a ɾ i
ꠜꠣꠔ	b á t̪
ꠜꠣꠖꠧ	b á d̪ o
ꠜꠣꠟꠣ	b á l a
ꠜꠣꠟꠣꠙꠣꠅꠀ	b á l a ɸ a o a
ꠝ	m ɔ
ꠝꠞꠣ	m ɔ ɾ a
ꠝꠣꠇꠣꠟꠚꠟ	m a x a l f ɔ́ l
ꠝꠣꠊ	m a ɡ
ꠝꠣꠔꠣ	m a t̪ a
ꠝꠣꠗꠣꠘ	m a d̪ á n
ꠝꠤꠍꠣ	m i s á
ꠝꠤꠑꠣ	m i ʈ á
ꠝꠥꠁ	m u i
ꠝꠥꠈ	m u k
ꠝꠥꠞꠔꠣ	m u ɾ t̪ a
ꠝꠥꠠ	m u ɽ
ꠝꠦꠇꠥꠞ	m e k u ɾ
ꠞ	ɾ ɔ
ꠞꠂꠖ	ɾ ɔ i d̪
ꠞꠃꠘ	ɾ ɔ ú n
ꠞꠇ꠆ꠔ	ɾ ɔ x t̪ ɔ
ꠞꠋ	ɾ ɔ ŋ
ꠞꠍꠤ	ɾ ɔ s i
ꠞꠣꠁꠔ	ɾ a i t̪
ꠞꠣꠎꠣꠁ	ɾ a z a i
ꠞꠤꠡꠇꠣ	ɾ i ʃ k a
ꠟ	l ɔ
ꠟꠃ	l ɔ ú
ꠟꠦꠈꠞꠣ	l e x ɾ a
ꠟꠦꠝ	l e m
ꠠ	ɽ ɔ ~ ɾ ɔ
ꠡ	ʃ ɔ
ꠡꠞꠛꠔ	ʃ ɔ ɾ b ɔ t̪
ꠡꠥꠁꠘ꠆ꠘ	ʃ u i nː ɔ
ꠡꠥꠘ꠆ꠖꠞ	ʃ u n d̪ ɔ ɾ
ꠢ	ɦ ɔ
ꠢꠃꠞ	ɦ ɔ ú ɾ
ꠢꠇꠟ	ɦ ɔ x ɔ l
ꠢꠎꠣꠉ	ɦ ɔ z a ɡ
ꠢꠞꠥ	ɦ ɔ ɾ u
ꠢꠞꠥꠔꠣ	ɦ ɔ ɾ u t̪ a
ꠢꠠꠤ	ɦ ɔ ɽ i
ꠢꠣꠃ	ɦ a ʊ
ꠢꠣꠅꠘ	ɦ a o n
ꠢꠣꠉ	ɦ a ɡ
ꠢꠣꠌꠣ	ɦ a s a
ꠢꠣꠔ	ɦ a t̪
ꠢꠣꠔꠇꠞꠣ	ɦ a t̪ x ɔ ɾ a
ꠢꠣꠙ	ɦ á ɸ
ꠢꠤꠀꠟ	ɦ i a l
ꠢꠤꠞꠛꠣꠞ	ɦ i ɾ b a ɾ
ꠢꠤꠟ	ɦ i l
ꠢꠥꠈꠂꠘ	ɦ u k ɔ́ i n
ꠢꠥꠐꠇꠤ	ɦ u ʈ k i
ꠢꠥꠔꠣ	ɦ u t̪ a
ꠢꠥꠘꠣ	ɦ u n a
ꠢꠥꠞꠂꠘ	ɦ u ɾ ɔ i n
ꠢꠥꠞꠥ	ɦ u ɾ u
ꠢꠥꠞꠥꠔꠣ	ɦ u ɾ u t̪ a
