Abel	ǎː b e l
Damask	d ǎ m a s k
Danac	d ǎː n a t͡s
Danica	d ǎ n i t͡s a
Danska	d âː n s k aː
Delhi	d ê l x i
Dragan	d r ǎː ɡ a n
Dragomir	d r aː ɡ o m iː r
Drava	d r ǎː ʋ a
Dubrovnik	d ǔ b r oː ʋ n iː k
Dunav	d ǔ n a ʋ
Dž	d͡ʒ
Džibuti	d͡ʒ i b û t i
Egipat	ě ɡ i p a t
Egipćanin	ě ɡ i p t͡ɕ a n i n
Ekaterinburg	e k ǎ t e r i n b u r ɡ
Ekvador	ě k ʋ aː d o r
Ekvadorac	e k ʋ a d ǒː r a t͡s
Ekvadorka	e k ʋ ǎ d oː r k a
Elzas	ě l z a s
Engleska	ě n ɡ l eː s k aː
Engleskinja	ě n ɡ l e s k i ɲ a
Englez	ě n ɡ l eː z
Epir	ě p iː r
Erevan	ě r e ʋ aː n
Eritreja	e r i t r ěː j a
Ermenija	ě r m eː n i j a
Estonac	e s t ǒː n a t͡s
Estonija	ě s t oː n i j a
Etiopija	e t i ǒ p i j a
Etiopljanin	e t i ǒː p ʎ a n i n
Europa	e u r ǒː p a
Evropa	e ʋ r ǒː p a
Fenicija	f e n ǐː t͡s i j a
Feničanin	f e n ǐː t͡ʃ a n i n
Filipini	f i l i p ǐː n i
Finac	f ǐː n a t͡s
Finska	f îː n s k aː
Florida	f l ǒ r i d a
Francuska	f r ǎ n t͡s uː s k aː
Francuskinja	f r ǎ n t͡s u s k i ɲ a
Francuz	f r ǎ n t͡s uː z
Gabon	ɡ ǎ b oː n
Galicija	ɡ ǎ l iː t͡s i j a
Gambija	ɡ ǎ m b i j a
Gana	ɡ â n a
Ganac	ɡ ǎː n a t͡s
Ganeš	ɡ a n ê ʃ
German	ɡ ě r m aː n
Gibraltar	ɡ ǐ b r a l t aː r
Gilgameš	ɡ ǐ l ɡ a m e ʃ
Golgota	ɡ ǒ l ɡ o t a
Gospod	ɡ ô s p o d
Gospodnji	ɡ ǒ s p o d ɲ iː
Got	ɡ ô t
Grenland	ɡ r ě n l a n d
Grk	ɡ r̂ k
Grkinja	ɡ r̂ k i ɲ a
Gruzija	ɡ r ûː z i j a
Gvatemala	ɡ ʋ a t e m ǎː l a
Hag	x âː ɡ
Handanović	x a n d ǎː n o ʋ i t͡ɕ
Hercegovac	x ě r t͡s e ɡ o ʋ a t͡s
Hercegovina	x ě r t͡s e ɡ o ʋ i n a
Himalaja	x i m a l ǎː j a
Hirošima	x i r o ʃ ǐː m a
Holandija	x o l ǎ n d i j a
Holanđanin	x o l ǎː n d͡ʑ a n i n
Holanđanka	x o l ǎː n d͡ʑ aː n k a
Honduras	x ô n d u r aː s
Hristos	x r î s t o s
Hrvatica	x r̩ ʋ ǎ t i t͡s a
Hvar	x ʋ âː r
Hvaranin	x ʋ ǎː r a n i n
Ibar	i b a r
Ibrahimović	i b r a x ǐː m o ʋ i t ɕ
Ilir	ǐ l iː r
Ilirija	ǐ l iː r i j a
Ilirik	i l ǐ r i k
Indija	ǐ n d i j a
Indijac	i n d ǐː j a t͡s
Indijanac	i n d i j ǎː n a t͡s
Indijanka	i n d ǐ j aː n k a
Indonezija	i n d ǒ n eː z i j a
Indonežanin	i n d o n ěː ʒ a n i n
Internet	î n t e r n e t
Irac	ǐː r a t͡s
Irak	ǐ r aː k
Iran	ǐ r aː n
Iranac	i r ǎː n a t͡s
Iračanin	i r ǎː t͡ʃ a n i n
Iračanka	i r ǎː t͡ʃ aː n k a
Irska	îː r s k aː
Island	ǐ s l a n d
Islanđanin	i s l ǎː n d͡ʑ a n i n
Istanbul	ǐ s t a n b u l
Istra	î s t r a
Istranin	î s t r a n i n
Isus	ǐ s u s
Italija	ǐ t aː l i j a
Italijan	i t a l ǐ j aː n
Italijanka	i t a l ǐ j aː n k a
Ivan	ǐ v a n
Ivana	ǐ ʋ a n a
Izrael	ǐ z r a e l
Izraelac	i z r a ěː l a t͡s
Ištvan	î ʃ t ʋ aː n
Jadran	j â d r aː n
Jahve	j â x ʋ e
Jamajka	j a m ǎ j k a
Jana	j â n a
Jana	j ǎː n a
Japan	j ǎ p aː n
Japanac	j a p ǎː n a t͡s
Japanka	j ǎ p aː n k a
Jasna	j â s n a
Jekaterinburg	j e k ǎ t e r i n b u r ɡ
Jemen	j ê m e n
Jemenac	j e m ěː n a t͡s
Jermenija	j ě r m eː n i j a
Jevrejin	j ě ʋ r e j i n
Jordan	j ǒ r d a n
Jordanac	j o r d ǎː n a t͡s
Josip	j ǒ s i p
Jovan	j ǒ ʋ a n
Judeja	j u d ě j a
Juga	j ǔː ɡ a
Jugoslaven	j u ɡ o s l ǎ ʋ eː n
Jugoslavija	j u ɡ o s l âː ʋ i j a
Jugoslavija	j u ɡ ǒ s l aː ʋ i j a
Jugosloven	j u ɡ o s l ǒ ʋ eː n
Jupiter	j ǔ p i t e r
Juraj	j û r a j
Justin	j û s t i n
Kaba	k ǎː b a
Kadeš	k ǎ d e ʃ
Kain	k ǎ i n
Kairo	k ǎ i r o
Kalifornija	k a l i f ǒ r n i j a
Kambodža	k a m b ǒ d͡ʒ a
Kamerun	k â m e r uː n
Kamerunac	k a m e r ǔː n a t͡s
Kampidolj	k a m p ǐ d o ʎ
Kampućija	k a m p ǔ t͡ɕ i j a
Kanada	k a n ǎː d a
Kanada	k ǎ n a d a
Kanađanin	k a n ǎː d͡ʑ a n i n
Kanađanka	k a n ǎː d͡ʑ aː n k a
Kaniža	k ǎ n i ʒ a
Karlovac	k âː r l o ʋ a t͡s
Karpati	k a r p ǎː t i
Kasijan	k ǎ s i j a n
Katalonac	k a t a l ǒː n a t͡s
Katalonija	k a t ǎ l oː n i j a
Katar	k â t a r
Kavkaz	k ǎ ʋ k a z
Kazahstan	k â z a x s t aː n
Kelt	k ê l t
Keltkinja	k ê l t k i ɲ a
Kenija	k êː n i j a
Kenijac	k e n ǐː j a t͡s
Kijev	k î j e ʋ
Kina	k ǐː n a
Kinez	k ǐ n eː z
Kipar	k î p a r
Kirgistan	k î r ɡ i s t aː n
Klaić	k l ǎː i t͡ɕ
Klajić	k l ǎː i t͡ɕ
Kljaić	k ʎ ǎː i t͡ɕ
Kljajić	k ʎ ǎː i t͡ɕ
Kljajo	k ʎ ǎː j o
Klobučar	k l o b ǔ t͡ʃ aː r
Klobučar	k l ǒ b u t͡ʃ aː r
Kolumbija	k o l ǔ m b i j a
Kolumbijac	k o l u m b ǐː j a t͡s
Kominterna	k o m i n t ě r n a
Kongo	k ô n ɡ o
Kopenhagen	k o p e n x ǎː ɡ e n
Kopt	k ô p t
Koreja	k o r ěː j a
Korejac	k o r ěː j a t͡s
Korzika	k ǒ r z i k a
Kosovo	k ô s o ʋ o
Kostarika	k o s t ǎ r i k a
Kostrena	k o s t r ě n a
Kostrenjanin	k o s t r ěː ɲ a n i n
Kotarac	k o t ǎː r a t͡s
Kotor	k ô t o r
Kotoranin	k ô t o r a n i n
Kotoriba	k o t ǒ r i b a
Kovačevac	k o ʋ ǎː t͡ʃ e ʋ a t͡s
Kovačićevac	k ô ʋ a t͡ʃ i t͡ɕ e ʋ a t͡s
Kovačići	k ô ʋ a t͡ʃ i t͡ɕ i
Kozarac	k o z ǎː r a t͡s
Kozarac	k ǒ z a r a t͡s
Kozarevac	k o z ǎː r e ʋ a t͡s
Kozarevčanin	k o z ǎː r e ʋ t͡ʃ a n i n
Kozarčanin	k o z ǎː r t͡ʃ a n i n
Kozinščak	k o z ǐ n ʃ t͡ʃ aː k
Košute	k ǒ ʃ u t e
Koščanin	k ǒ ʃ t͡ʃ a n i n
Krakov	k r â k o ʋ
Krakovljanin	k r â k o ʋ ʎ a n i n
Kraljevica	k r ǎ ʎ e ʋ i t͡s a
Kraljevičanin	k r ǎː ʎ e ʋ i t͡ʃ a n i n
Kranj	k r âː ɲ
Kranjac	k r ǎː ɲ a t͡s
Krapanj	k r â p a ɲ
Krapina	k r â p i n a
Krapinac	k r a p ǐː n a t͡s
Krasica	k r â s i t͡s a
Krasičanin	k r â s i t͡ʃ a n i n
Krasnopoljac	k r a s n o p ǒː ʎ a t͡s
Krašić	k r â ʃ i t͡ɕ
Krašićanac	k r a ʃ i t͡ɕ ǎː n a t͡s
Kreolac	k r e ǒː l a t͡s
Kreta	k r ěː t a
Krećanin	k r ěː t͡ɕ a n i n
Kreševljanin	k r ê ʃ e ʋ ʎ aː n i n
Kreševo	k r ê ʃ e ʋ o
Krf	k r̂ f
Krim	k r îː m
Krimljanin	k r ǐː m ʎ a n i n
Krist	k r î s t
Krivodol	k r i ʋ ǒ d o l
Krivodočanin	k r i ʋ o d ǒː t͡ʃ a n i n
Kričke	k r î t͡ʃ k e
Krištanovec	k r i ʃ t ǎː n o ʋ e t͡s
Križevci	k r ǐː ʒ eː ʋ t͡s i
Križevčanin	k r ǐː ʒ e ʋ t͡ʃ a n i n
Križopoljac	k r i ʒ o p ǒː ʎ a t͡s
Križopolje	k r i ʒ ǒ p o ʎ e
Križovec	k r ǐː ʒ o ʋ e t͡s
Krk	k r̂ k
Krnje	k řː ɲ e
Kroacija	k r ǒ aː t͡s i j a
Krčanin	k r̂ t͡ʃ a n i n
Kserks	k s ê r k s
Kuba	k ǔː b a
Kubanac	k u b ǎː n a t͡s
Kurdistan	k û r d i s t a n
Kuvajt	k û ʋ aː j t
Kvebek	k ʋ e b ê k
Kvibek	k ʋ i b ê k
Lakonija	l ǎ k oː n i j a
Laos	l â o s
Latin	l ǎ t iː n
Latinka	l ǎ t iː n k a
Lazar	l â z aː r
Lenjingrad	l ě ɲ i n ɡ r aː d
Lesoto	l e s ô t o
Letonac	l e t ǒː n a t͡s
Letonija	l ě t oː n i j a
Levant	l ě ʋ a n t
Liberija	l ǐ b eː r i j a
Libija	l îː b i j a
Libijac	l i b ǐː j a t͡s
Lihtenštajn	l î x t e n ʃ t a j n
Lima	l î m a
Lj	ʎ
Ljubljana	ʎ u b ʎ ǎ n a
Lombardija	l o m b ǎ r d i j a
London	l ǒ n d oː n
Londonac	l o n d ǒː n a t͡s
Londonka	l ǒ n d oː n k a
Lucifer	l ǔ t͡s i f e r
Luksemburg	l û k s e m b u r ɡ
Luksemburžanin	l u k s e m b ǔː r ʒ a n i n
Madagaskar	m a d a ɡ ǎ s k aː r
Madeira	m a d ě i r a
Madras	m ǎ d r a s
Madrid	m ǎ d r iː d
Madžar	m ǎ d͡ʒ aː r
Madžarska	m â d͡ʒ a r s k aː
Majkrosoft	m ǎ j k r o s o f t
Makedonac	m a k e d ǒː n a t͡s
Makedonija	m a k ě d oː n i j a
Makedonka	m a k ě d oː n k a
Makedonče	m a k e d ǒː n t͡ʃ e
Malavi	m a l âː ʋ i
Malezija	m ǎ l eː z i j a
Mali	m âː l i
Malijac	m a l ǐː j a t͡s
Malta	m âː l t a
Maltežanin	m a l t ěː ʒ a n i n
Manila	m â n i l a
Marina	m a r ǐː n a
Marko	m âː r k o
Marokanac	m a r o k ǎː n a t͡s
Maroko	m a r ǒ k o
Mars	m â r s
Matasović	m a t ǎː s o ʋ i t͡ɕ
Matasović	m ǎ t a s o ʋ i t͡ɕ
Mauricijus	m a u r îː t͡s i j u s
Mađar	m ǎ d͡ʑ aː r
Mađarska	m â d͡ʑ a r s k aː
Mediteran	m e d i t ě r aː n
Meka	m ê k a
Meksikanac	m e k s i k ǎː n a t͡s
Meksiko	m ě k s i k o
Merkur	m ě r k uː r
Mesec	m ê s eː t͡s
Mesija	m ěː s i j a
Mezopotamija	m e z o p o t âː m i j a
Međugorje	m ê d͡ʑ u ɡ oː r j e
Microsoft	m ǎ j k r o s o f t
Milano	m i l âː n o
Miloš	m î l o ʃ
Miloš	m ǐ l o ʃ
Milošević	m i l ǒː ʃ e ʋ i t͡ɕ
Minhen	m ǐ n x e n
Mirko	m ǐː r k o
Miroslav	m î r o s l a ʋ
Misir	m ǐ s iː r
Mjesec	m j ê s eː t͡s
Mohikanac	m o x i k ǎː n a t͡s
Mojsije	m ǒː j s i j e
Moldavija	m ǒ l d aː ʋ i j a
Monako	m ǒ n a k o
Mongol	m ǒ n ɡ oː l
Mongolija	m ǒ n ɡ oː l i j a
Mongolka	m ǒ n ɡ oː l k a
Morfej	m ǒ r f e j
Moskva	m ô s k ʋ a
Mostra	m ǒ s t r a
Mozambik	m o z ǎ m b i k
Napulj	n ǎː p u ʎ
Nemac	n ěː m a t͡s
Nemačka	n ě m a t͡ʃ k aː
Nemica	n ě m i t͡s a
Nepal	n ě p aː l
Nepalac	n e p ǎː l a t͡s
Neptun	n ě p t uː n
Neretva	n ě r eː t ʋ a
Netanjahu	n e t a n j ǎ x u
Netanjahu	n e t a ɲ ǎ x u
Niger	n î ɡ e r
Nigerija	n ǐ ɡ eː r i j a
Nigerijac	n i ɡ e r ǐː j a t͡s
Nijemac	n i j ěː m a t͡s
Nika	n ǐː k a
Nikaragva	n i k a r ǎ ɡ ʋ a
Nikaragvanac	n i k a r a ɡ ʋ ǎː n a t͡s
Nikola	n ǐ k o l a
Nikta	n î k t a
Nikšić	n î k ʃ i t͡ɕ
Nil	n î l
Nizozemac	n i z o z ěː m a t͡s
Nizozemka	n i z ǒ z eː m k a
Niš	n î ʃ
Njemačka	ɲ ě m a t͡ʃ k aː
Njemica	ɲ ě m i t͡s a
Njujorčanin	ɲ ǔ j o r t͡ʃ a n i n
Norman	n ǒ r m aː n
Normandija	n o r m ǎ n d i j a
Norveška	n ǒ r ʋ e ʃ k aː
Norvežanin	n o r ʋ ěː ʒ a n i n
Norvežanka	n o r ʋ ěː ʒ aː n k a
Novosađanin	n o ʋ o s ǎː d ʑ a n i n
Novosađanin	n o ʋ ǒ s a d ʑ a n i n
Novosađanka	n o ʋ o s ǎː d ʑ a n k a
Novosađanka	n o ʋ ǒ s a d ʑ a n k a
Novosibirsk	n o ʋ o s ǐ b i r s k
Novozelanđanin	n o ʋ o z e l ǎː n d͡ʑ a n i n
Novozelanđanka	n o ʋ o z e l ǎː n d͡ʑ aː n k a
Odiseja	o d i s ěː j a
Odžak	ǒ d͡ʒ a k
Odžačanin	ǒ d͡ʒ a t͡ʃ a n i n
Olib	ǒ l i b
Olibljanin	ǒ l i b ʎ a n i n
Olimpija	o l ǐ m p i j a
Omiš	ǒ m iː ʃ
Omišanin	o m ǐː ʃ a n i n
Omsk	ô m s k
Osijek	ô s i j eː k
Oslo	ô s l o
Očenaš	o t͡ʃ ě n aː ʃ
Pacifik	p a t͡s ǐ f i k
Pad	p âː d
Pakistan	p â k i s t aː n
Pakistanac	p a k i s t ǎː n a t͡s
Paleolog	p a l e ǒ l o ɡ
Palestina	p a l e s t ǐː n a
Palestinac	p a l e s t ǐː n a t͡s
Panama	p ǎ n a m a
Panamac	p a n ǎː m a t͡s
Pandora	p a n d ǒː r a
Pandžabljanin	p a n d͡ʒ ǎː b ʎ a n iː n
Panonija	p ǎ n oː n i j a
Paragvaj	p â r a ɡ ʋ aː j
Paragvajac	p a r a ɡ ʋ ǎː j a t͡s
Pariz	p ǎ r iː z
Parižanin	p a r ǐː ʒ a n i n
Parnas	p ǎ r n a s
Patagonija	p a t ǎ ɡ oː n i j a
Pazin	p â z iː n
Pazinština	p a z ǐː n ʃ t i n a
Pegaz	p ê ɡ aː z
Peking	p ě k i n ɡ
Pepeljuga	p e p ě ʎ u ɡ a
Perast	p ě r a s t
Peraštanin	p ě r a ʃ t a n i n
Peraštanka	p ě r a ʃ k i ɲ a
Persefona	p e r s e f o n a
Peru	p e r u
Peruanac	p e r u ǎː n a t͡s
Perun	p ê r u n
Perzija	p ě r z i j a
Petar	p ě t a r
Petrograd	p ě t r o ɡ r aː d
Pjanić	p j âː n i t ɕ
Platon	p l ǎ t oː n
Pljevlja	p ʎ êː ʋ ʎ a
Pluton	p l ǔ t oː n
Po	p ôː
Podgorica	p ǒ d ɡ o r i t͡s a
Poljak	p ǒ ʎ aː k
Poljakinja	p o ʎ ǎ k i ɲ a
Poljska	p ô ʎ s k aː
Pomorje	p ǒ m oː r j e
Portugal	p ô r t u ɡ a l
Portugalac	p o r t u ɡ ǎː l a t͡s
Prag	p r â ɡ
Pražanin	p r â ʒ a n i n
Pristeg	p r ǐ s t e ɡ
Prizren	p r î z r e n
Priština	p r ǐ ʃ t i n a
Prometej	p r o m ě t e j
Prus	p r û s
Pruskinja	p r û s k i ɲ a
Pula	p ǔː l a
Rajna	r âː j n a
Ramazan	r a m ǎ z aː n
Rijeka	r i j ěː k a
Rim	r îː m
Rimljanin	r ǐː m ʎ a n i n
Rod	r ô d
Rodezija	r ǒ d eː z i j a
Rom	r ôː m
Romkinja	r ô m k i ɲ a
Ruanda	r ǔ aː n d a
Ruanđanin	r u ǎː n d͡ʑ a n i n
Ruben	r ǔ b e n
Rubeši	r ǔ b e ʃ i
Rubikon	r ǔ b i k o n
Ruda	r ǔː d a
Rude	r ǔː d e
Rumelija	r ǔ m eː l i j a
Rumunija	r ǔ m uː n i j a
Rumunjska	r ǔ m uː ɲ s k aː
Rus	r û s
Rusija	r ǔ s i j a
Rusin	r ǔ s iː n
Ruskinja	r û s k i ɲ a
Ruten	r ǔ t eː n
Rutenija	r ǔ t eː n i j a
Sabah	s a b a x
Sahara	s ǎ x a r a
Saigon	s a i ɡ o n
Saksonac	s a k s ǒː n a t͡s
Saksonija	s ǎ k s oː n i j a
Salona	s a l ôː n a
Salonitanac	s a l o n i t ǎː n a t͡s
Salvador	s ǎ l ʋ aː d o r
Samarija	s ǎ m aː r i j a
Samaritanac	s a m a r i t ǎː n a t͡s
Sanja	s â ɲ a
Sarajevo	s ǎ r a j e ʋ o
Sarajka	s ǎ r aː j k a
Sarajlija	s a r ǎ j l i j a
Sardinac	s a r d ǐː n a t͡s
Sardinija	s ǎ r d iː n i j a
Satana	s a t ǎ n a
Saturn	s ǎ t u r n
Saudijac	s a u d ǐː j a t͡s
Sava	s âː ʋ a
Sava	s ǎː ʋ a
Selena	s ě l eː n a
Semit	s ě m iː t
Senegal	s ê n e ɡ aː l
Sevastopolj	s e ʋ a s t ǒ p o ʎ
Severnjača	s e ʋ ěː r ɲ a t͡ʃ a
Sibir	s ǐ b iː r
Sicilija	s ǐ t͡s iː l i j a
Sigmund	s ǐ ɡ m u n d
Sijam	s ǐ j aː m
Sijamac	s i j ǎː m a t͡s
Singapur	s ǐ n ɡ a p uː r
Sirija	s îː r i j a
Sirijac	s i r ǐː j a t͡s
Sjevernjača	s j e ʋ ěː r ɲ a t͡ʃ a
Skandinavac	s k a n d i n ǎː ʋ a t͡s
Skandinavija	s k a n d ǐ n aː ʋ i j a
Skoplje	s k ô p ʎ e
Slaven	s l ǎ ʋ eː n
Slavenka	s l ǎ ʋ eː n k a
Slavonac	s l a ʋ ǒː n a t͡s
Slavonija	s l ǎ ʋ oː n i j a
Slobodan	s l o b ǒ d a n
Slovak	s l ǒ ʋ aː k
Slovakinja	s l o ʋ ǎ k i ɲ a
Slovačka	s l ǒ ʋ aː t͡ʃ k aː
Sloven	s l ǒ ʋ eː n
Slovenac	s l o ʋ ěː n a t͡s
Slovenija	s l ǒ ʋ eː n i j a
Slovenka	s l ǒ ʋ eː n k a
Sofija	s ǒ f i j a
Solun	s ǒ l uː n
Somalija	s ǒ m aː l i j a
Sotona	s o t ǒ n a
Sparta	s p âː r t a
Spartanac	s p a r t ǎː n a t͡s
Split	s p l î t
Splićanin	s p l î t͡ɕ a n i n
Srbijanac	s r̩ b i j ǎː n a t͡s
Srbijanka	s r̩ b ǐ j aː n k a
Srbosjek	s r̩ b o s j e k
Srebrenica	s r ê b r e n i t͡s a
Sredozemlje	s r ê d o z eː m ʎ e
Srđan	s r̩ d ʑ a n
Stevan	s t ê ʋ aː n
Sudan	s ǔ d aː n
Sudanac	s u d ǎː n a t͡s
Suez	s ǔ e z
Sumatra	s ǔ m a t r a
Sumer	s ǔ m eː r
Sumeranin	s u m ěː r a n i n
Sunce	s ûː n t͡s e
Tadžikistan	t a d͡ʒ i k ǐ s t aː n
Tajland	t â j l a n d
Tajvan	t â j ʋ aː n
Talijan	t a l ǐ j aː n
Talijanka	t a l ǐ j aː n k a
Talmud	t ǎ l m u d
Tanzanija	t ǎ n z aː n i j a
Tasmanija	t ǎ s m aː n i j a
Tatarin	t â t a r i n
Teheran	t ê x e r aː n
Teksas	t ê k s a s
Teksašanin	t e k s ǎː ʃ a n i n
Teksašanka	t e k s ǎː ʃ aː n k a
Ten	t ê n
Tened	t ě n e d
Termopile	t e r m ǒ p i l e
Tibet	t ǐ b e t
Tibetanac	t i b e t ǎː n a t͡s
Tihomir	t î x o m iː r
Tirana	t i r ǎ n a
Tiranac	t i r ǎː n a t͡s
Titograd	t î t o ɡ r aː d
Tivat	t î ʋ a t
Tokio	t ô k i o
Tomislav	t ǒ m i s l a ʋ
Toskana	t o s k ǎ n a
Trakija	t r âː k i j a
