ଃ	h
ଥୁକିବା	t̪ʰ u k i b a
ଦ	d̪ ɔ
ଦଣ୍ଡାଜ୍ଞା	d̪ ɔ ɳ ɖ a d͡ʒ n̪ a
ଦଶ	d̪ ɔ s ɔ
ଦାଢ଼ି	d̪ a ɽʱ i
ଦାନ୍ତ	d̪ a n̪ t̪ ɔ
ଦିନ	d̪ i n̪ ɔ
ଦିଲ୍ଲୀ	d̪ i l l i
ଦୀର୍ଘ	d̪ i ɾ ɡʱ ɔ
ଦୁଇ	d̪ u i
ଦୁଧ	d̪ u d̪ʱ ɔ
ଦୁନିଆ	d̪ u n̪ i a
ଦୂର	d̪ u ɾ ɔ
ଦେଖିବା	d̪ e kʰ i b a
ଦେବ	d̪ e b ɔ
ଦେବା	d̪ e b a
ଦେଶ	d̪ e s ɔ
ଦୌହତ୍ରୀ	d̪ ɔ u̯ h ɔ t̪ ɾ i
ଦୌହିତ୍ର	d̪ ɔ u̯ h i t̪ ɾ ɔ
ଦ୍ଵୀପ	d̪ ʋ i p ɔ
ଧ	d̪ʱ ɔ
ଧନ୍ୟବାଦ୍	d̪ʱ ɔ n̪ j ɔ b a d̪
ଧବଳ	d̪ʱ ɔ b ɔ ɭ ɔ
ଧରିବା	d̪ʱ ɔ ɾ i b a
ଧର୍ମ	d̪ʱ ɔ ɾ m ɔ
ଧଳା	d̪ʱ ɔ ɭ a
ଧୂଆଁ	d̪ʱ u ã
ଧୂଲା	d̪ʱ u l a
ନ	n̪ ɔ
ନଅ	n̪ ɔ ɔ
ନଖ	n̪ ɔ kʰ ɔ
ନଗଦ	n̪ ɔ ɡ ɔ d̪ ɔ
ନଗର	n̪ ɔ ɡ ɔ ɾ ɔ
ନଦୀ	n̪ ɔ d̪ i
ନମସ୍ତେ	n̪ ɔ m ɔ s t̪ e
ନର	n̪ ɔ ɾ ɔ
ନହରା	n̪ ɔ h ɔ ɾ a
ନାତି	n̪ a t̪ i
ନାତୁଣୀ	n̪ a t̪ u ɳ i
ନାମ	n̪ a m ɔ
ନାରଣ	n̪ a ɾ ɔ ɳ ɔ
ନାରାୟଣ	n̪ a ɾ a j ɔ ɳ ɔ
ନାରୀ	n̪ a ɾ i
ନିଦ୍ରାଯିବା	n̪ i d̪ ɾ a d͡ʒ i b a
ନୁନି	n̪ u n̪ i
ନୁନ୍ନି	n̪ u n̪ n̪ i
ନୂତନ	n̪ u t̪ ɔ n̪ ɔ
ପ	p ɔ
ପକ୍ଷୀ	p ɔ k s i
ପଙ୍ଗପାଳ	p ɔ ŋ ɡ ɔ p a ɭ ɔ
ପଠାଣ	p ɔ ʈʰ a ɳ ɔ
ପଡିବା	p ɔ ɖ i b a
ପଢିବା	p ɔ ɖʱ i b a
ପତ୍ର	p ɔ t̪ ɾ ɔ
ପଥର	p ɔ t̪ʰ ɔ ɾ ɔ
ପଥିକ	p ɔ t̪ʰ i k ɔ
ପଦ	p ɔ d̪ ɔ
ପନ୍ଦର	p ɔ n̪ d̪ ɔ ɾ ɔ
ପର	p ɔ ɾ ɔ
ପହଁରା	p ɔ h ɔ̃ ɾ a
ପାଞ୍ଚ	p a n̪ t͡ʃ ɔ
ପାଣି	p a ɳ i
ପାନ	p a n̪ ɔ
ପିଇବା	p i i b a
ପିଠା	p i ʈʰ a
ପିଠି	p i ʈʰ i
ପିମ୍ପୁଡି	p i m p u ɖ i
ପିଲା	p i l a
ପୁଅ	p u ɔ
ପୁଛ	p u t͡ʃʰ ɔ
ପୁଣ୍ଡ୍ର	p u ɳ ɖ ɾ ɔ
ପୁରସ୍କାର	p u ɾ ɔ s k a ɾ ɔ
ପୁରୁଣା	p u ɾ u ɳ a
ପୁରୁଷୋତ୍ତମପୁର	p u ɾ u s o t̪ t̪ ɔ m ɔ p u ɾ ɔ
ପୂଜନ	p u d͡ʒ ɔ n̪ ɔ
ପୂଜା	p u d͡ʒ a
ପୂର୍ବୀୟ	p u ɾ b i j ɔ
ପୃଥିବୀ	p ɾ u t̪ʰ i b i
ପେଚା	p e t͡ʃ a
ପେଟ	p e ʈ ɔ
ପୋଲ	p o l ɔ
ପୌତ୍ର	p ɔ u̯ t̪ ɾ ɔ
ପୌତ୍ରୀ	p ɔ u̯ t̪ ɾ i
ପ୍ରଣତି	p ɾ ɔ ɳ ɔ t̪ i
ପ୍ରଣୟ	p ɾ ɔ ɳ ɔ j ɔ
ପ୍ରପୁତ୍ର	p ɾ ɔ p u t̪ ɾ ɔ
ପ୍ରଶ୍ନ	p ɾ ɔ s n̪ ɔ
ପ୍ରସିଦ୍ଧି	p ɾ ɔ s i d̪ d̪ʱ i
ପ୍ରାଚୀନ	p ɾ a t͡ʃ i n̪ ɔ
ପ୍ରାଣ	p ɾ a ɳ ɔ
ପ୍ରାଣଦଣ୍ଡାଜ୍ଞା	p ɾ a ɳ ɔ d̪ ɔ ɳ ɖ a d͡ʒ n̪ a
ଫ	pʰ ɔ
ଫଳ	pʰ ɔ ɭ ɔ
ଫ଼	f ɔ
ଫାଟିବା	pʰ a ʈ i b a
ଫୁଲ	pʰ u l ɔ
ବ	b ɔ
ବଜାର	b ɔ d͡ʒ a ɾ ɔ
ବଡ	b ɔ ɖ ɔ
ବଡ଼	b ɔ ɽ ɔ
ବଣ	b ɔ ɳ ɔ
ବତକ	b ɔ t̪ ɔ k ɔ
ବଧିର	b ɔ d̪ʱ i ɾ ɔ
ବଧୂ	b ɔ d̪ʱ u
ବରଫ	b ɔ ɾ ɔ pʰ ɔ
ବର୍ଗ	b ɔ ɾ ɡ ɔ
ବର୍ଷ	b ɔ ɾ s ɔ
ବର୍ଷା	b ɔ ɾ s a
ବଲ୍ଲରି	b ɔ l l ɔ ɾ i
ବସନ୍ତ	b ɔ s ɔ n̪ t̪ ɔ
ବସିବା	b ɔ s i b a
ବହି	b ɔ h i
ବହୁ	b ɔ h u
ବା	b a
ବାଘ	b a ɡʱ ɔ
ବାତ	b a t̪ ɔ
ବାଦାମ	b a d̪ a m ɔ
ବାନ୍ଧିବା	b a n̪ d̪ʱ i b a
ବାପା	b a p a
ବାମ	b a m ɔ
ବାର	b a ɾ ɔ
ବାରୁ	b a ɾ u
ବାଲି	b a l i
ବାଲୁକା	b a l u k a
ବିଚାର	b i t͡ʃ a ɾ ɔ
ବିଜୁଳି	b i d͡ʒ u ɭ i
ବିଜ୍ଞାନ	b i d͡ʒ n̪ a n̪ ɔ
ବିଜ୍ଞାନୀ	b i d͡ʒ n̪ a n̪ i
ବିଦ୍ୟାଳୟ	b i d̪ j a ɭ ɔ j ɔ
ବିଭ୍ରାଟ	b i bʱ ɾ a ʈ ɔ
ବିଲେଇ	b i l e i
ବିଷ୍ଣୁ	b i s ɳ u
ବୁଧବାର	b u d̪ʱ ɔ b a ɾ ɔ
ବୃଷ୍ଟି	b ɾ u s ʈ i
ବେଙ୍ଗାଳୁରୁ	b e ŋ ɡ a ɭ u ɾ u
ବେମାରିଆ	b e m a ɾ i a
ବେଲ	b e l ɔ
ବ୍ରାହ୍ମଣ	b ɾ a h m ɔ ɳ ɔ
ବ୍ରାହ୍ମଣୀ	b ɾ a h m ɔ ɳ i
ଭ	bʱ ɔ
ଭଉଣୀ	bʱ ɔ u ɳ i
ଭାଇ	bʱ a i
ଭାଙ୍ଗିବା	bʱ a ŋ ɡ i b a
ଭାର	bʱ a ɾ ɔ
ଭାରତ	bʱ a ɾ ɔ t̪ ɔ
ଭାରି	bʱ a ɾ i
ଭାଲୁ	bʱ a l u
ଭାଷା	bʱ a s a
ଭିତରର	bʱ i t̪ ɔ ɾ ɔ ɾ ɔ
ଭିତର୍	bʱ i t̪ ɔ ɾ
ଭୁବନେଶ୍ୱର	bʱ u b ɔ n̪ e s w ɔ ɾ ɔ
ଭୂମିକମ୍ପ	bʱ u m i k ɔ m p ɔ
ଭୋକ	bʱ o k ɔ
ଭୋକିଲା	bʱ o k i l a
ମ	m ɔ
ମଇଳା	m ɔ i ɭ a
ମକ୍ରୀ	m ɔ k ɾ i
ମଗର	m ɔ ɡ ɔ ɾ ɔ
ମଙ୍ଗଳବାର	m ɔ ŋ ɡ ɔ ɭ ɔ b a ɾ ɔ
ମଝି	m ɔ d͡ʒʱ i
ମଣିଷ	m ɔ ɳ i s ɔ
ମଣ୍ଡ	m ɔ ɳ ɖ ɔ
ମଣ୍ଡପ	m ɔ ɳ ɖ ɔ p ɔ
ମଣ୍ଡା	m ɔ ɳ ɖ a
ମତ୍ସ୍ଯ	m ɔ t̪ s d͡ʒ ɔ
ମଧୁର	m ɔ d̪ʱ u ɾ ɔ
ମଧ୍ୟ	m ɔ d̪ʱ j ɔ
ମନୁଷ୍ୟ	m ɔ n̪ u s j ɔ
ମନ୍ଦିର	m ɔ n̪ d̪ i ɾ ɔ
ମରଣ	m ɔ ɾ ɔ ɳ ɔ
ମରିବା	m ɔ ɾ i b a
ମରେଇବା	m ɔ ɾ e i b a
ମହିଳା	m ɔ h i ɭ a
ମହୁ	m ɔ h u
ମହୁମାଛି	m ɔ h u m a t͡ʃʰ i
ମା	m a
ମାଁମାଁ	m ã m ã
ମାଂସ	m ã s ɔ
ମାଉସ	m a u s ɔ
ମାଛ	m a t͡ʃʰ ɔ
ମାଛି	m a t͡ʃʰ i
ମାଟି	m a ʈ i
ମାଣ୍ଡୁଅ	m a ɳ ɖ u ɔ
ମାତା	m a t̪ a
ମାତୃଭୂମି	m a t̪ ɾ u bʱ u m i
ମାରି	m a ɾ i
ମାରିବା	m a ɾ i b a
ମାସ	m a s ɔ
ମିଠା	m i ʈʰ a
ମିତ	m i t̪ ɔ
ମୀନ	m i n̪ ɔ
ମୁଁ	m ũ
ମୁକ୍ତି	m u k t̪ i
ମୁଖ	m u kʰ ɔ
ମୁଛ	m u t͡ʃʰ ɔ
ମୁଥ	m u t̪ʰ ɔ
ମୂକ	m u k ɔ
ମୂତ	m u t̪ ɔ
ମୂତ୍ର	m u t̪ ɾ ɔ
ମୃତ୍ୟୁ	m ɾ u t̪ j u
ମେଘ	m e ɡʱ ɔ
ମୋଟା	m o ʈ a
ମୟୂର	m ɔ j u ɾ ɔ
ଯ	d͡ʒ ɔ
ଯକୃତ	d͡ʒ ɔ k ɾ u t̪ ɔ
ଯନ୍ତ୍ର	d͡ʒ ɔ n̪ t̪ ɾ ɔ
ଯୁଗ	d͡ʒ u ɡ ɔ
ଯୁଦ୍ଧ	d͡ʒ u d̪ d̪ʱ ɔ
ଯୁବା	d͡ʒ u b a
ର	ɾ ɔ
ରକ୍ତ	ɾ ɔ k t̪ ɔ
ରଙ୍ଗ	ɾ ɔ ŋ ɡ ɔ
ରଞ୍ଜ୍	ɾ ɔ n̪ d͡ʒ
ରବିବାର	ɾ ɔ b i b a ɾ ɔ
ରସ	ɾ ɔ s ɔ
ରାଖସ୍	ɾ a kʰ ɔ s
ରାଜପତ୍ନୀ	ɾ a d͡ʒ ɔ p ɔ t̪ n̪ i
ରାଜମହିଷୀ	ɾ a d͡ʒ ɔ m ɔ h i s i
ରାଜା	ɾ a d͡ʒ a
ରାଜ୍ଞୀ	ɾ a d͡ʒ n̪ i
ରାଣୀ	ɾ a ɳ i
ରାତି	ɾ a t̪ i
ରାନ୍ଧିବା	ɾ a n̪ d̪ʱ i b a
ରାମ	ɾ a m ɔ
ରାମାୟଣ	ɾ a m a j ɔ ɳ ɔ
ରାସ୍ତା	ɾ a s t̪ a
ରୁଷିଆ	ɾ u s i a
ଲ	l ɔ
ଲଙ୍ଗର	l ɔ ŋ ɡ ɔ ɾ ɔ
ଲଙ୍ଗଳା	l ɔ ŋ ɡ ɔ ɭ a
ଲବଙ୍ଗ	l ɔ b ɔ ŋ ɡ ɔ
ଲହଡ଼ି	l ɔ h ɔ ɽ i
ଲାଲ	l a l ɔ
ଲିଙ୍ଗ	l i ŋ ɡ ɔ
ଲିପି	l i p i
ଲୁଚିବା	l u t͡ʃ i b a
ଲୁଣ	l u ɳ ɔ
ଳ	ɭ ɔ
ଵ	ʋ ɔ
ଵିଷ୍ଣୁ	ʋ i s ɳ u
ଶ	s ɔ
ଶନିବାର	s ɔ n̪ i b a ɾ ɔ
ଶବ୍ଦ	s ɔ b d̪ ɔ
ଶବ୍ଦାର୍ଥ	s ɔ b d̪ a ɾ t̪ʰ ɔ
ଶସ୍ତ୍ର	s ɔ s t̪ ɾ ɔ
ଶହ	s ɔ h ɔ
ଶାଖା	s a kʰ a
ଶାଗୁଣା	s a ɡ u ɳ a
ଶାରୀ	s a ɾ i
ଶାର୍ଟ	s a ɾ ʈ ɔ
ଶିକାର	s i k a ɾ ɔ
ଶିକାରୀ	s i k a ɾ i
ଶିକ୍ଷକ	s i k s ɔ k ɔ
ଶିକ୍ଷା	s i k s a
ଶିଙ୍ଗ	s i ŋ ɡ ɔ
ଶିବ	s i b ɔ
ଶିର	s i ɾ ɔ
ଶିଶୁ	s i s u
ଶୀତ	s i t̪ ɔ
ଶୀତଳ	s i t̪ ɔ ɭ ɔ
ଶୁକ୍ରବାର	s u k ɾ ɔ b a ɾ ɔ
ଶୁଣିବା	s u ɳ i b a
ଶୁଷ୍କ	s u s k ɔ
ଶୂନ୍ୟ	s u n̪ j ɔ
ଶୋଳ	s o ɭ ɔ
ଶୋଷ	s o s ɔ
ଶ୍ରୀ	s ɾ i
ଷ	s ɔ
ଷ଼	ɻ ɔ
ସ	s ɔ
ସଂଖ୍ୟା	s ɔ̃ kʰ j a
ସଂସ୍କୃତ	s ɔ̃ s k ɾ u t̪ ɔ
ସଖା	s ɔ kʰ a
ସତର	s ɔ t̪ ɔ ɾ ɔ
ସପ୍ତାହ	s ɔ p t̪ a h ɔ
ସବୁଜ	s ɔ b u d͡ʒ ɔ
ସମୁଦ୍ର	s ɔ m u d̪ ɾ ɔ
ସହାୟତା	s ɔ h a j ɔ t̪ a
ସାଗର	s a ɡ ɔ ɾ ɔ
ସାତ	s a t̪ ɔ
ସାପ	s a p ɔ
ସାହିତ୍ୟ	s a h i t̪ j ɔ
ସିଂହ	s ĩ h ɔ
ସୁନା	s u n̪ a
ସୂଚୀ	s u t͡ʃ i
ସୂର୍ଯ୍ୟ	s u ɾ d͡ʒ j ɔ
ସେ	s e
ସେଓ	s e o
ସେନା	s e n̪ a
ସୋମବାର	s o m ɔ b a ɾ ɔ
ସ୍ତନ	s t̪ ɔ n̪ ɔ
ସ୍ତ୍ରୀ	s t̪ ɾ i
ସ୍ତ୍ରୈଣ	s t̪ ɾ ɔ i̯ ɳ ɔ
ସ୍ୱପ୍ନ	s w ɔ p n̪ ɔ
ସ୍ୱର୍ଗ	s w ɔ ɾ ɡ ɔ
ସ୍ୱାମୀ	s w a m i
ହ	h ɔ
ହଁ	h ɔ̃ː
ହଂଗ୍	h ɔ̃ ɡ
ହଜାର	h ɔ d͡ʒ a ɾ ɔ
ହସିବା	h ɔ s i b a
ହାଡ	h a ɖ ɔ
ହାତ	h a t̪ ɔ
ହାତୀ	h a t̪ i
ହିଙ୍ଗୁ	h i ŋ ɡ u
ହିନ୍ଦୀ	h i n̪ d̪ i
ହିରୁଆଁ	h i ɾ u ã
ହୃତ୍ପିଣ୍ଡ	h ɾ u t̪ p i ɳ ɖ ɔ
ହେଙ୍ଗୁ	h e ŋ ɡ u
ହେବା	h e b a
