Aaju	a a j u
allivaa	a l l i v a a
allivoq	a l l i v u q
allu	a l l u
aluu	a l u u
amaroq	a m a r u q
ameq	a m i q
amerikarmiu	a m i r i k a r m i u
amerikarmiut	a m i r i k a r m i u t
amerlasuut	a m i r l a s u u t
amharisut	a m h a r i s u t
amikoq	a m i k u q
ammassak	a m m a s s a k
ammassassuaq	a m m a s s a s s uʷ ɑ q
anaana	a n aː n a
anaanat	a n aː n a t
anarnaq	a n ɑ n n ɑ q
andengradsligningi	a n t i ŋ r a t s l i ɡ n i ŋ i
anersaaq	a n i r s a a q
anersaarpoq	a n i r s a a r p u q
anersaaruluppoq	a n i r s a a r u l u p p u q
angajoq	a ŋ a j u q
angajoqqaaq	a ŋ a j u q q a a q
angajoqqaarsiaq	a ŋ a j u q q a a r s i a q
angak	a ŋ a k
angakkoq	a ŋ a k k ɔ q
angakkoqarneq	a ŋ a k k ɔ q ɑ n n ɜ q
angallanneq	a ŋ a l l a n n i q
angaluppoq	a ŋ a l u p p u q
angerlarpoq	a ŋ ɜ ɬ ɬ ɑ p p ɔ q
angisooq	a ŋ i s u u q
angivoq	a ŋ i v ɔ q
angoorpoq	a ŋ ɔː p p ɔ q
angut	a ŋ u t
anguteqatiminoortartoq	a ŋ u t i q a t i m i n u u r t a r t u q
anguteqatiminoortoq	a ŋ u t i q a t i m i n u u r t u q
anguvoq	a ŋ u v u q
ani	ɛ n i
anigorpaa	a n i ɡ u r p a a
aningaasaq	a n i ŋ a a s a q
aningaasat	a n i ŋ a a s a t
aningaasivik	a n i ŋ a a s i v i k
anisooq	a n i s u u q
anivoq	a n i v u q
anneq	a n n i q
annernarpoq	a n n i r n a r p u q
annerpaaq	a n n i r p a a q
annerpoq	a n n i r p u q
annertusisaq	a n n ɜ t t u s i s ɑ q
annertusivoq	a n n i r t u s i v u q
anngilik	a ŋ ŋ i l i k
anniarfik	a n n i a r f i k
anniarpoq	a n n i a r p u q
annilaangavoq	a n n i l a a ŋ a v u q
annilaarpoq	a n n i l a a r p u q
annoraaq	a n n ɔ ʁ ɑː q
anorersuaq	a n u r i r s u a q
anori	a n u r i
anorliorpoq	a n u r l i u r p u q
aperivoq	a p i r i v u q
appa	a p p a
appaliarsuk	a p p a l iʲ ɑ s s u k
apparluk	a p p ɑ ɬ ɬ u k
appartarneq	a p p a r t a r n i q
appelsiina	a p p ɜ l s iː n a
apusineq	a p u s i n i q
aput	a p u t
aqagu	a q a ɣ u
aqaguani	a q a ɡ u a n i
aqerloq	a q i r l u q
aqerluusaq	a q i r l u u s a q
aqisseq	ɑ q i s s ɜ q
aqqaluk	a q q a l u k
aqqanillit	a q q a n i ɬ ɬ i t
aqqusineq	a q q u s i n i q
aqqut	a q q u t
aquppaa	a q u p p a a
aqutsisoq	a q u t s i s u q
araberisut	a r a p i r i s u t
arfeq	a r f i q
arfernat	ɑ f f ɜ n n a t
arfersaneq	a r f i r s a n i q
arfersanillit	ɑ f f ɜ s s a n i ɬ ɬ i t
arfineq	ɑ f f i n ɜ q
arfinillit	ɑ f f i n i ɬ ɬ i t
arfivik	ɑ f f i v i k
arlallit	a r l a l l i t
arlaq	a r l a q
arnaasaq	a r n a a s a q
arnaq	a r n a q
arnaqatiminoortartoq	a r n a q a t i m i n u u r t a r t u q
arnaqatiminoortoq	a r n a q a t i m i n u u r t u q
arsakoorfik	a r s a k u u r f i k
arsaq	a r s a q
arsat	a r s a t
artornaqaaq	a r t u r n a q a a q
asanninneq	a s a n n i n n i q
aseruutaasoq	a s i r u u t a a s u q
assaat	a s s aː t
assagiaq	a s s a ɣ iʲ ɑ q
assagiarsuk	a s s a ɣ iʲ ɑ s s u k
assak	a s s a k
assaqqoq	a s s a q q ɔ q
asseqanngilaq	a s s i q a ŋ ŋ i l a q
asseqanngitsoq	a s s i q a ŋ ŋ i t s u q
assersuut	a s s i r s u u t
assigiissitaq	a s s i ɡ i i s s i t a q
ataaseq	a t aː s ɜ q
ataata	a t a a t a
ataataq	a t a a t a q
atasoq	a t a s u q
ateq	a t i q
ateqarpoq	a t i q a r p u q
ati	ɛ t͡s i
atisalersorpaa	a t i s a l i r s u r p a a
atisaq	a t i s a q
ativaa	a t i v a a
atorneqartoq	a t u r n i q a r t u q
atorpaa	a t u r p a a
atorpoq	a t u r p u q
atorsinnaanngitsoq	a t u r s i n n a a ŋ ŋ i t s u q
atorsinnaavoq	a t u r s i n n a a v u q
atsa	a t t͡s a
atsak	a t t͡s a k
atserpaa	a t s i r p a a
atsiaq	a t s i a q
attartorpoq	a t t a r t u r p u q
atuaaneq	a t u a a n i q
atuagaq	a t u a ɡ a q
atuakkiaq	a t u a k k i a q
atuaqat	a t u a q a t
atuarfik	a t u a r f i k
atuarpaa	a t u a r p a a
atuarpoq	a t u a r p u q
australiamiu	a u s t r a l i a m i u
australiamiut	a u s t r a l i a m i u t
avaanngunarpoq	a v a a ŋ ŋ u n a r p u q
avannaq	a v a n n ɑ q
avannarleq	a v a n n a r l i q
avannarparpoq	a v a n n a r p a r p u q
avinngaq	a v i ŋ ŋ ɑ q
baj	b a j
baskerisut	p a s k i r i s u t
belgiamiu	p i l ɡ i a m i u
betonngi	p i t u ŋ ŋ i
biilerpoq	p i i l i r p u q
biilertoq	p i i l i r t u q
biskorpi	p i s k u r p i
blobfiski	p l u p f i s k i
computeri	c u m p u t i r i
dommeri	t u m m i r i
efterskole	i f t i r s k u l i
enhjørningi	eː n j œ ɐ̯ n e ŋ ŋ i
eqalugaasaq	ɜ q a l u ɣ aː s ɑ q
eqalugaq	ɜ q a l u ɣ ɑ q
eqalussuannguvoq	i q a l u s s u a ŋ ŋ u v u q
eqalussuaq	ɜ q a l u ʃ ʃ uʷ ɑ q
eqalussuarnaq	ɜ q a l u s s uʷ ɑ n n ɑ q
eqalussuarsuaq	ɜ q a l u s s uʷ ɑ r s uʷ ɑ q
eqisaavaq	ɜ q i s aː v ɑ q
eqqaamiu	i q q a a m i u
eqqaanarneq	i q q a a n a r n i q
eqqaanarpoq	i q q a a n a r p u q
eqqaani	i q q a a n i
eqqaavaa	i q q a a v a a
eqqaq	i q q a q
eqqarsarpoq	i q q a r s a r p u q
eqqartorpaa	i q q a r t u r p a a
eqqartuussisoq	i q q a r t u u s s i s u q
eqqoq	ɜ q q ɔ q
eqqoqqortooq	i q q u q q u r t u u q
eqqortumik	i q q u r t u m i k
eqquiniunnguaq	i q q u i n i u ŋ ŋ u a q
eqqumiippoq	i q q u m i i p p u q
eqqusaq	ɜ q q u s ɑ q
equsaavaq	ɜ q u s aː v ɑ q
erfalavoq	i r f a l a v u q
erinarsorpoq	i r i n a r s u r p u q
erinarsortartoq	i r i n a r s u r t a r t u q
erneq	ɜ n n ɜ q
ernersiaq	i r n i r s i a q
erniaq	i r n i a q
errorpaa	i r r u r p a a
errorsivik	i r r u r s i v i k
errorsivoq	i r r u r s i v u q
erruivoq	i r r u i v u q
ersaq	i r s a q
ersiut	i r s i u t
fabrikki	f a p r i k k i
filmiliorneq	f i l m i l i u r n i q
filmiliorpoq	f i l m i l i u r p u q
finlandimiu	f i n l a n t i m i u
finlandimiutut	f i n l a n t i m i u t u t
fjernsyni	f j i r n s y n i
gulerodi	ɡ u l i r u t i
guuti	ɡ u u t i
guutipiluk	ɡ u u t i p i l u k
guutipilussiorneq	ɡ u u t i p i l u s s i u r n i q
guutipilussiorpoq	ɡ u u t i p i l u s s i u r p u q
iffiaq	i f f i a q
igaffik	i ɡ a f f i k
igalaaq	i ɡ a l a a q
igasoq	i ɡ a s u q
igavoq	i ɡ a v u q
igutsak	i ɣ u t t͡s a k
iguut	i ɡ u u t
iguutilik	i ɣ uː t͡s i l i k
iigaq	i i ɡ a q
iigarpoq	i i ɡ a r p u q
iipili	iː p i l i
iipilit	iː p i l i t
ikinngut	i k i ŋ ŋ u t
ikinngutigaa	i k i ŋ ŋ u t͡s i ɣ aː
ikinngutigiinneq	i k i ŋ ŋ u t͡s i ɣ iː n n ɜ q
ikivoq	i k i v u q
ikku	i k k u
ikorpoq	i k u r p u q
ikorsimmavik	i k u r s i m m a v i k
ikusik	i k u s i k
ila	i l a
ilaa	i l a a
ilaajunnaarsippaa	i l a a j u n n a a r s i p p a a
ilaasortaq	i l a a s u r t a q
ilaavoq	i l a a v u q
ilannguppaa	i l a ŋ ŋ u p p a a
ilaqutaq	i l a q u t a q
ilaqutariinneq	i l a q u t a r i i n n i q
ilaqutariit	i l a q u t a r i i t
ilikkarpoq	i l i k k a r p u q
ilinneq	i l i n n i q
ilinniagassat	i l i n n i a ɡ a s s a t
ilinniarnertooq	i l i n n i a r n i r t u u q
ilinniarpoq	i l i n n i a r p u q
ilinniartitsisoq	i l i n n i a r t i t s i s u q
ilinniartitsivoq	i l i n n i a r t i t s i v u q
ilippoq	i l i p p u q
ilisimasassarsiorpoq	i l i s i m a s a s s a r s i u r p u q
ilisimasassarsiortoq	i l i s i m a s a s s a r s i u r t u q
ilisimassuseq	i l i s i m a s s u s i q
ilisimatooq	i l i s i m a t u u q
ilisimatusarfik	i l i s i m a t u s a r f i k
ilisimatusarneq	i l i s i m a t u s a r n i q
ilisimatusarpoq	i l i s i m a t u s a r p u q
ilisimatusartoq	i l i s i m a t u s a r t u q
ilisimavaa	i l i s i m a v a a
ilissi	i l i s s i
iliuuseqarneq	i l i u u s i q a r n i q
illarpoq	i l l a r p u q
illeraq	i ɬ ɬ ɜ ʁ ɑ q
illerfik	i l l i r f i k
illiaq	i l l i a q
illillu	i ɬ ɬ i ɬ ɬ u
illit	i ɬ ɬ i t
illoqarfiit	i ɬ ɬ ɔ q ɑ f f iː t
illoqarfik	i ɬ ɬ ɔ q ɑ f f i k
illu	i l l u
illukoq	i l l u k u q
ilti	i l t i
iluaqut	i l u a q u t
iluaqutigaa	i l u a q u t i ɡ a a
iluleq	i l u l i q
iluliaq	i l u l i a q
ilumummi	i l u m u m m i
ilungersornertooq	i l u ŋ i r s u r n i r t u u q
ilungersorpoq	i l u ŋ i r s u r p u q
iluseq	i l u s i q
ima	i m a
imaappoq	i m a a p p u q
imaluunniit	i m a l u u n n i i t
imaneq	i m a n i q
imangertaq	i m a ŋ i r t a q
imaq	i m a q
imeq	i m i q
imeqqutaalaq	i m i q q u t a a l a q
imeqqutak	i m ɜ q q u t a k
imerajuppoq	i m i r a j u p p u q
imernaalanngitsoq	i m i r n a a l a ŋ ŋ i t s u q
imernaalasoq	i m i r n a a l a s u q
imerniartarfik	i m i r n i a r t a r f i k
imerpoq	i m i r p u q
iminngerpoq	i m i ŋ ŋ i r p u q
immannguaq	i m m a ŋ ŋ u a q
immaqa	i m m a q a
immiaq	i m m i a q
immigaq	i m m i ɡ a q
immiit	i m m i i t
immikkut	i m m i k k u t
imminnguaaraq	i m m i ŋ ŋ u a a r a q
imminnguaq	i m m i ŋ ŋ uʷ ɑ q
immuk	i m m u k
immussuaq	i m m u s s u a q
inalugalik	i n a l u ɣ a l i k
inalugaq	i n a l u ɣ ɑ q
inappaa	i n a p p a a
inatsivoq	i n a t s i v u q
ineriartortitsineq	i n i r i a r t u r t i t s i n i q
inerpoq	i n i r p u q
inersimasoq	i n i r s i m a s u q
ingerlavoq	i ŋ i r l a v u q
ingitippaa	i ŋ i t i p p a a
ini	i n i
inissisimavoq	i n i s s i s i m a v u q
innanniut	i n n a n n iʲ u t
inneq	i n n ɜ q
innga	i ŋː a
innuttaasoq	i n n u t t a a s u q
innuttaasut	i n n u t t a a s u t
inooqatigiinneq	i n u u q a t i ɡ i i n n i q
inoqat	i n u q a t
inuak	i n u a k
inuiaat	i n u i a a t
inunngorpoq	i n u ŋ ŋ u r p u q
inupiluk	i n u p i l u k
inussiaq	i n u s s i a q
inuttuumasoq	i n u t t u u m a s u q
inuulluaqquaa	i n u u l l u a q q u a a
inuuneq	i n u u n i q
inuusoq	i n u u s u q
inuusuppoq	i n u u s u p p u q
inuusuttoq	i n u u s u t t u q
inuusuttuaraq	i n u u s u t t u a r a q
inuuvoq	i n u u v u q
ippassaq	i p p a s s a q
ippat	i p p a t
ippeqivoq	i p p ɜ q i v ɔ q
ippernaaqqut	i p p i r n a a q q u t
ippernaq	i p p i r n a q
ippiarsuk	i p p iʲ ɑ s s u k
isaqqilavoq	i s a q q i l a v u q
isaqqivoq	i s a q q i v u q
isaroq	i s a r u q
iseriappoq	i s i r i a p p u q
iserpaa	i s i r p a a
iserpoq	i s i r p u q
isertarfik	i s i r t a r f i k
isertugaq	i s i r t u ɡ a q
isi	i s i
isigak	i s i ɣ a k
isigammaasaaraq	i s i ɡ a m m a a s a a r a q
isiginnaartartut	i s i ɡ i n n a a r t a r t u t
isiginnaartitsisarfik	i s i ɡ i n n a a r t i t s i s a r f i k
isiginnaartitsisartoq	i s i ɡ i n n a a r t i t s i s a r t u q
isiginnaartitsivoq	i s i ɡ i n n a a r t i t s i v u q
isikku	i s i k k u
isissutissaq	i s i s s u t i s s a q
issiavik	i s s i a v i k
issiavoq	i s s i a v u q
issingigassaat	i s s i ŋ i ɡ a s s a a t
issittoq	i s s i t t ɔ q
issulipoq	i s s u l i p u q
issuusaq	i s s u u s a q
isuma	i s u m a
isumaappoq	i s u m a a p p u q
isumagissaarpoq	i s u m a ɡ i s s a a r p u q
isumaliorpoq	i s u m a l i u r p u q
isumaluppoq	i s u m a l u p p u q
isumaqarpoq	i s u m a q a r p u q
isumaqatiginninniarpoq	i s u m a q a t i ɡ i n n i n n i a r p u q
isumavoq	i s u m a v u q
isunngaq	i s u ŋ ŋ ɑ q
isunngarsuaq	i s u ŋ ŋ ɑ s s uʷ ɑ q
isunngarujussuaq	i s u ŋ ŋ a r u j u s s u a q
italiamiu	i t a l i a m i u
iteq	i t i q
itigarpoq	i t i ɡ a r p u q
itigartippaa	i t i ɡ a r t i p p a a
ivigaq	i v i ɡ a q
ivik	i v i k
januaari	j a n uʷ ɑː ʁ i
japanimiutut	j a p a n i m i u t u t
juuli	j uː l i
juuni	j uː n i
kaagi	k a a ɡ i
kaak	k a a k
kaasarfik	k a a s a r f i k
kajorpoq	k a j u r p u q
kajortoq	k a j ɔ t t ɔ q
kakkik	k a k k i k
kakkiviaq	k a k k i v i a q
kakku	k a k k u
kakkua	k a k k u a
kalaaleq	k a l a a l i q
kalaalimernit	k a l a a l i m i r n i t
kalaallisut	k a l a a l l i s u t
kamaginnittoq	k a m a ɡ i n n i t t u q
kamappoq	k a m a p p u q
kamik	k a m i k
kamillartaat	k a m i ɬ ɬ ɑ t t aː t
kamillartartoq	k a m i ɬ ɬ ɑ t t ɑ t t ɔ q
kanaaq	k a n aː q
kanajoq	k a n a j u q
kangoq	k a ŋ u q
kanna	k a nː a
kanngorooq	k a ŋ ŋ u r u u q
kanngussak	k a ŋ ŋ u s s a k
kapitali	k a p i t a l i
kartoffeli	k a r t u f f i l i
katersugaasivik	k a t i r s u ɡ a a s i v i k
katersuuppoq	k a t i r s u u p p u q
katillugit	k a t i l l u ɡ i t
kiak	k i a k
kiappoq	k i a p p u q
kiassuseq	k i a s s u s i q
kiffaq	k i f f a q
kigut	k i ɡ u t
kiinaaleeraq	k i i n a a l i i r a q
kiinamiu	k i i n a m i u
kiinaq	k iː n a q
kiisalu	k i i s a l u
killeq	k i l l i q
killilerpaa	k i l l i l i r p a a
kina	k i n a
kinamiutut	k i n a m i u t u t
kinguaaq	k i ŋ u a a q
kinguaassiuutit	k i ŋ u a a s s i u u t i t
kingullerpaaq	k i ŋ u l l i r p a a q
kinguneq	k i ŋ u n i q
kinguporsorpoq	k i ŋ u p u r s u r p u q
kipivaa	k i p i v a a
kisianni	k i s i a n n i
kisitsineq	k i s i t s i n i q
kisitsit	k i s i t s i t
kissaviarsuk	k i s s a v i a r s u k
kissavik	k i s s a v i k
klaveri	k l a v i r i
koruuni	k u r u u n i
kræfti	k ʁ a f d i
kujalleq	k u j a l l i q
kukik	k u k i k
kukilik	k u k i l i k
kukkukooq	k u k k u k u u q
kukkukuuaraq	k u k k u k u u a r a q
kukkuvoq	k u k k u v u q
kumoorn	k u m ɔː n n
kunaat	k u n aː t
kunik	k u n i k
kunippaa	k u n i p p a a
kunissivoq	k u n i s s i v u q
kunngeqarfik	k u ŋ ŋ i q a r f i k
kunngi	k u ŋ ŋ i
kusagaa	k u s a ɣ aː
kusanarpoq	k u s a n ɑ p p ɔ q
kutaa	k u t aː
kuuk	k u u k
kuukkooriaasarsuaq	k u u k k u u r i a a s a r s u a q
kuukkooriarsuaq	k u u k k u u r i a r s u a q
kuulti	k u u l t i
